" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","393.64","0.12","0.87","0.0","7.61","0.87","6.63","0.0","0.0","0.0","0.0","38.58","57.43","256.03","128.02","217.45","198.61","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","393.64","0.12","0.88","0.0","7.15","0.88","6.3","0.0","0.0","0.0","0.0","44.88","57.43","256.03","128.02","211.15","198.61","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","393.64","0.12","0.89","0.0","6.39","0.89","5.68","0.0","0.0","0.0","0.0","50.56","57.43","256.03","128.02","205.47","198.61","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","393.64","0.12","0.9","0.0","6.42","0.9","5.76","0.0","0.0","0.0","0.0","56.33","57.43","256.03","128.02","199.71","198.61","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","393.64","0.12","0.91","0.0","6.46","0.91","5.86","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","62.18","","","","","","",""
"2016.0","7.0","8.0","190.0","393.64","0.12","0.92","0.0","7.14","0.92","6.53","0.0","0.0","0.0","0.0","6.53","57.43","256.03","128.02","249.5","198.61","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","393.64","0.12","0.92","0.0","6.6","0.92","6.1","0.0","0.0","0.0","0.0","12.63","57.43","256.03","128.02","243.4","198.61","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","393.64","0.12","0.93","0.0","6.38","0.93","5.95","0.0","0.0","0.0","0.0","18.58","57.43","256.03","128.02","237.45","198.61","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","393.64","0.12","0.94","0.0","7.2","0.94","6.78","0.0","0.0","0.0","0.0","25.36","57.43","256.03","128.02","230.67","198.61","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","393.64","0.12","0.95","0.0","6.95","0.95","6.6","0.0","0.0","0.0","0.0","31.96","57.43","256.03","128.02","224.07","198.61","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","393.64","0.11","0.95","0.0","7.33","0.95","6.96","0.0","0.0","0.0","0.0","38.93","57.43","256.03","128.02","217.11","198.61","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","393.64","0.11","0.95","0.0","7.52","0.95","7.14","0.0","0.0","0.0","0.0","46.07","57.43","256.03","128.02","209.96","198.61","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","393.64","0.11","0.95","0.0","7.52","0.95","7.14","0.0","0.0","0.0","0.0","53.21","57.43","256.03","128.02","202.82","198.61","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","393.64","0.11","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","59.99","","","","","","",""
"2016.0","7.0","17.0","199.0","393.64","0.11","0.95","0.0","6.87","0.95","6.53","0.0","0.0","0.0","0.0","6.53","57.43","256.03","128.02","249.51","198.61","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","393.64","0.11","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","12.67","57.43","256.03","128.02","243.36","198.61","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","393.64","0.11","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","18.98","57.43","256.03","128.02","237.05","198.61","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","393.64","0.11","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","25.57","57.43","256.03","128.02","230.46","198.61","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","393.64","0.11","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","32.6","57.43","256.03","128.02","223.43","198.61","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","393.64","0.11","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","39.25","57.43","256.03","128.02","216.78","198.61","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","393.64","0.11","0.95","0.0","7.65","0.95","7.27","0.0","0.0","0.0","0.0","46.52","57.43","256.03","128.02","209.51","198.61","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","393.64","0.11","0.95","0.0","7.51","0.95","7.13","0.0","0.0","0.0","0.0","53.66","57.43","256.03","128.02","202.38","198.61","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","393.64","0.11","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","60.69","","","","","","",""
"2016.0","7.0","26.0","208.0","393.64","0.1","0.95","0.0","7.34","0.95","6.97","0.0","0.0","0.0","0.0","6.97","57.43","256.03","128.02","249.06","198.61","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","393.64","0.1","0.95","0.0","7.92","0.95","7.52","0.0","0.0","0.0","0.0","14.5","57.43","256.03","128.02","241.54","198.61","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","393.64","0.1","0.95","0.0","7.83","0.95","7.44","0.0","0.0","0.0","0.0","21.94","57.43","256.03","128.02","234.1","198.61","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","393.64","0.1","0.95","0.0","7.76","0.95","7.37","0.0","0.0","0.0","0.0","29.31","57.43","256.03","128.02","226.72","198.61","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","393.64","0.1","0.95","0.0","8.21","0.95","7.8","0.0","0.0","0.0","0.0","37.11","57.43","256.03","128.02","218.93","198.61","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","393.64","0.1","0.95","0.0","7.36","0.95","6.99","0.0","0.0","0.0","0.0","44.1","57.43","256.03","128.02","211.93","198.61","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","393.64","0.1","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","50.68","57.43","256.03","128.02","205.35","198.61","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","393.64","0.1","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","56.99","57.43","256.03","128.02","199.04","198.61","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","393.64","0.1","0.95","0.0","7.25","0.95","6.89","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","63.88","","","","","","",""
"2016.0","8.0","4.0","217.0","393.64","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","6.01","57.43","256.03","128.02","250.02","198.61","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","393.64","0.1","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","11.49","57.43","256.03","128.02","244.55","198.61","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","393.64","0.1","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","17.33","57.43","256.03","128.02","238.7","198.61","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","393.64","0.1","0.95","0.0","6.08","0.95","5.78","0.0","0.0","0.0","0.0","23.1","57.43","256.03","128.02","232.93","198.61","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","393.64","0.1","0.95","0.0","6.56","0.95","6.23","0.0","0.0","0.0","0.0","29.34","57.43","256.03","128.02","226.7","198.61","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","393.64","0.1","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","35.29","57.43","256.03","128.02","220.74","198.61","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","393.64","0.1","0.95","0.0","6.41","0.95","6.09","0.0","0.0","0.0","0.0","41.38","57.43","256.03","128.02","214.65","198.61","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","393.64","0.1","0.95","0.0","6.57","0.95","6.24","0.0","0.0","0.0","0.0","47.62","57.43","256.03","128.02","208.41","198.61","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","393.64","0.1","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","54.05","57.43","256.03","128.02","201.98","198.61","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","393.64","0.1","0.95","0.0","7.07","0.95","6.72","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","60.77","","","","","","",""
"2016.0","8.0","14.0","227.0","393.64","0.09","0.95","0.0","7.33","0.95","6.96","0.0","0.0","0.0","0.0","6.96","57.43","256.03","128.02","249.07","198.61","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","393.64","0.09","0.95","0.0","6.72","0.95","6.38","0.0","0.0","0.0","0.0","13.35","57.43","256.03","128.02","242.68","198.61","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","393.64","0.09","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","19.79","57.43","256.03","128.02","236.24","198.61","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","393.64","0.09","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","26.12","57.43","256.03","128.02","229.92","198.61","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","393.64","0.09","0.95","0.0","6.59","0.95","6.26","0.0","0.0","0.0","0.0","32.38","57.43","256.03","128.02","223.66","198.61","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","393.64","0.09","0.95","0.0","6.54","0.95","6.21","0.0","0.0","0.0","0.0","38.59","57.43","256.03","128.02","217.44","198.61","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","393.64","0.09","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","44.72","57.43","256.03","128.02","211.32","198.61","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","393.64","0.09","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","50.84","57.43","256.03","128.02","205.19","198.61","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","393.64","0.09","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","56.78","57.43","256.03","128.02","199.25","198.61","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","393.64","0.09","0.95","0.0","6.05","0.95","5.75","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","62.53","","","","","","",""
"2016.0","8.0","24.0","237.0","393.64","0.09","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","5.71","57.43","256.03","128.02","250.32","198.61","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","393.64","0.09","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","11.36","57.43","256.03","128.02","244.67","198.61","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","393.64","0.09","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","16.66","57.43","256.03","128.02","239.37","198.61","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","393.64","0.09","0.95","0.0","5.4","0.95","5.13","0.0","0.0","0.0","0.0","21.79","57.43","256.03","128.02","234.24","198.61","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","393.64","0.09","0.95","0.0","5.72","0.95","5.43","0.0","0.0","0.0","0.0","27.23","57.43","256.03","128.02","228.81","198.61","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","393.64","0.09","0.95","0.0","5.81","0.95","5.52","0.0","0.0","0.0","0.0","32.75","57.43","256.03","128.02","223.29","198.61","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","393.64","0.09","0.95","0.0","6.2","0.95","5.89","0.0","0.0","0.0","0.0","38.64","57.43","256.03","128.02","217.4","198.61","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","393.64","0.09","0.95","0.0","6.02","0.95","5.72","0.0","0.0","0.0","0.0","44.36","57.43","256.03","128.02","211.68","198.61","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","393.64","0.09","0.95","0.0","5.18","0.95","4.92","0.0","0.0","0.0","0.0","49.28","57.43","256.03","128.02","206.76","198.61","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","393.64","0.09","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","54.32","57.43","256.03","128.02","201.71","198.61","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","393.64","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","59.41","","","","","","",""
"2016.0","9.0","4.0","248.0","393.64","0.09","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","4.39","57.43","256.03","128.02","251.64","198.61","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","393.64","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","9.48","57.43","256.03","128.02","246.55","198.61","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","393.64","0.09","0.95","0.0","5.11","0.95","4.85","0.0","0.0","0.0","0.0","14.34","57.43","256.03","128.02","241.7","198.61","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","393.64","0.09","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","19.81","57.43","256.03","128.02","236.22","198.61","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","393.64","0.09","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","25.48","57.43","256.03","128.02","230.55","198.61","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","393.64","0.09","0.94","0.0","5.42","0.94","5.11","0.0","0.0","0.0","0.0","30.59","57.43","256.03","128.02","225.44","198.61","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","393.64","0.09","0.94","0.0","5.51","0.94","5.16","0.0","0.0","0.0","0.0","35.76","57.43","256.03","128.02","220.27","198.61","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","393.64","0.09","0.93","0.0","5.02","0.93","4.67","0.0","0.0","0.0","0.0","40.43","57.43","256.03","128.02","215.6","198.61","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","393.64","0.09","0.92","0.0","4.43","0.92","4.1","0.0","0.0","0.0","0.0","44.53","57.43","256.03","128.02","211.51","198.61","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","393.64","0.09","0.92","0.0","3.89","0.92","3.57","0.0","0.0","0.0","0.0","48.1","57.43","256.03","128.02","207.93","198.61","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","393.64","0.09","0.91","0.0","4.24","0.91","3.87","0.0","0.0","0.0","0.0","51.96","57.43","256.03","128.02","204.07","198.61","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","393.64","0.08","0.91","0.0","4.62","0.91","4.18","0.0","0.0","0.0","0.0","56.15","57.43","256.03","128.02","199.88","198.61","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","393.64","0.08","0.9","0.0","4.84","0.9","4.35","0.0","0.0","0.0","0.0","60.5","64.01","256.03","128.02","195.53","192.02","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","393.64","0.08","0.89","0.0","4.94","0.89","4.41","0.0","0.0","0.0","0.0","0.0","64.01","256.03","128.02","256.03","192.02","64.91","","","","","","",""
"2016.0","9.0","18.0","262.0","393.64","0.08","0.89","0.0","4.75","0.89","4.21","0.0","0.0","0.0","0.0","4.21","64.01","256.03","128.02","251.82","192.02","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","393.64","0.08","0.88","0.0","5.35","0.88","4.71","0.0","0.0","0.0","0.0","8.92","64.01","256.03","128.02","247.11","192.02","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","393.64","0.08","0.87","0.0","6.16","0.87","5.38","0.0","0.0","0.0","0.0","14.3","64.01","256.03","128.02","241.73","192.02","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","393.64","0.08","0.87","0.0","5.64","0.87","4.89","0.0","0.0","0.0","0.0","19.19","64.01","256.03","128.02","236.84","192.02","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","393.64","0.08","0.86","0.0","4.31","0.86","3.71","0.0","0.0","0.0","0.0","22.9","64.01","256.03","128.02","233.13","192.02","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","393.64","0.08","0.85","0.0","4.58","0.85","3.91","0.0","0.0","0.0","0.0","26.82","64.01","256.03","128.02","229.22","192.02","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","393.64","0.08","0.85","0.0","4.82","0.85","4.09","0.0","0.0","0.0","0.0","30.9","64.01","256.03","128.02","225.13","192.02","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","393.64","0.08","0.84","0.0","4.47","0.84","3.76","0.0","0.0","0.0","0.0","34.67","64.01","256.03","128.02","221.37","192.02","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","393.64","0.08","0.84","0.0","4.57","0.84","3.82","0.0","0.0","0.0","0.0","38.48","64.01","256.03","128.02","217.55","192.02","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","393.64","0.08","0.83","0.0","4.73","0.83","3.92","0.0","0.0","0.0","0.0","42.41","64.01","256.03","128.02","213.63","192.02","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","393.64","0.08","0.82","0.0","4.93","0.82","4.06","0.0","0.0","0.0","0.0","46.46","64.01","256.03","128.02","209.57","192.02","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","393.64","0.08","0.82","0.0","4.89","0.82","3.99","0.0","0.0","0.0","0.0","50.45","64.01","256.03","128.02","205.58","192.02","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","393.64","0.08","0.81","0.0","3.76","0.81","3.05","0.31","0.31","0.0","0.0","53.19","64.01","256.03","128.02","202.84","192.02","0.0","","","","","","",""
