" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","226.18","0.12","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","5.84","30.76","128.0","64.0","122.16","97.24","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","226.18","0.12","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","11.31","30.76","128.0","64.0","116.69","97.24","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","226.18","0.12","0.8","0.0","6.11","0.8","4.89","0.0","0.0","0.0","0.0","16.2","30.76","128.0","64.0","111.8","97.24","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","226.18","0.12","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","21.18","30.76","128.0","64.0","106.82","97.24","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","226.18","0.11","0.8","0.0","6.27","0.8","5.02","0.0","0.0","0.0","0.0","26.19","30.76","128.0","64.0","101.81","97.24","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","226.18","0.11","0.8","0.0","6.98","0.8","5.58","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.78","","","","","","",""
"2016.0","7.0","9.0","191.0","226.18","0.11","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","5.14","30.76","128.0","64.0","122.86","97.24","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","226.18","0.11","0.8","0.0","6.35","0.8","5.08","0.0","0.0","0.0","0.0","10.22","30.76","128.0","64.0","117.78","97.24","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","226.18","0.11","0.8","0.0","7.11","0.8","5.69","0.0","0.0","0.0","0.0","15.91","30.76","128.0","64.0","112.09","97.24","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","226.18","0.11","0.8","0.0","6.79","0.8","5.43","0.0","0.0","0.0","0.0","21.34","30.76","128.0","64.0","106.66","97.24","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","226.18","0.11","0.8","0.0","7.18","0.8","5.74","0.0","0.0","0.0","0.0","27.09","30.76","128.0","64.0","100.91","97.24","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","226.18","0.11","0.8","0.0","7.36","0.8","5.89","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","32.98","","","","","","",""
"2016.0","7.0","15.0","197.0","226.18","0.11","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","5.8","30.76","128.0","64.0","122.2","97.24","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","226.18","0.11","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","11.27","30.76","128.0","64.0","116.73","97.24","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","226.18","0.11","0.8","0.0","6.57","0.8","5.26","0.0","0.0","0.0","0.0","16.53","30.76","128.0","64.0","111.47","97.24","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","226.18","0.11","0.8","0.0","6.23","0.8","4.98","0.0","0.0","0.0","0.0","21.51","30.76","128.0","64.0","106.49","97.24","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","226.18","0.11","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","26.68","30.76","128.0","64.0","101.32","97.24","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","226.18","0.11","0.8","0.0","6.83","0.8","5.46","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","32.14","","","","","","",""
"2016.0","7.0","21.0","203.0","226.18","0.11","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","5.72","30.76","128.0","64.0","122.28","97.24","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","226.18","0.1","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","11.24","30.76","128.0","64.0","116.76","97.24","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","226.18","0.1","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","17.28","30.76","128.0","64.0","110.72","97.24","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","226.18","0.1","0.8","0.0","7.36","0.8","5.89","0.0","0.0","0.0","0.0","23.17","30.76","128.0","64.0","104.83","97.24","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","226.18","0.1","0.8","0.0","7.16","0.8","5.73","0.0","0.0","0.0","0.0","28.9","30.76","128.0","64.0","99.1","97.24","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","226.18","0.1","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","34.65","","","","","","",""
"2016.0","7.0","27.0","209.0","226.18","0.1","0.8","0.0","7.68","0.8","6.14","0.0","0.0","0.0","0.0","6.14","30.76","128.0","64.0","121.86","97.24","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","226.18","0.1","0.8","0.0","7.58","0.8","6.06","0.0","0.0","0.0","0.0","12.21","30.76","128.0","64.0","115.79","97.24","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","226.18","0.1","0.8","0.0","7.51","0.8","6.01","0.0","0.0","0.0","0.0","18.22","30.76","128.0","64.0","109.78","97.24","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","226.18","0.1","0.8","0.0","7.81","0.8","6.25","0.0","0.0","0.0","0.0","24.46","30.76","128.0","64.0","103.54","97.24","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","226.18","0.1","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","30.04","30.76","128.0","64.0","97.96","97.24","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","226.18","0.1","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","35.34","","","","","","",""
"2016.0","8.0","2.0","215.0","226.18","0.1","0.8","0.0","6.47","0.8","5.18","0.0","0.0","0.0","0.0","5.18","30.76","128.0","64.0","122.82","97.24","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","226.18","0.1","0.8","0.0","6.96","0.8","5.57","0.0","0.0","0.0","0.0","10.74","30.76","128.0","64.0","117.26","97.24","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","226.18","0.1","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","15.51","30.76","128.0","64.0","112.49","97.24","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","226.18","0.1","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","19.96","30.76","128.0","64.0","108.04","97.24","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","226.18","0.1","0.8","0.0","5.9","0.8","4.72","0.0","0.0","0.0","0.0","24.68","30.76","128.0","64.0","103.32","97.24","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","226.18","0.1","0.8","0.0","5.95","0.8","4.76","0.0","0.0","0.0","0.0","29.44","30.76","128.0","64.0","98.56","97.24","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","226.18","0.1","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","34.58","","","","","","",""
"2016.0","8.0","9.0","222.0","226.18","0.1","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","4.91","30.76","128.0","64.0","123.09","97.24","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","226.18","0.09","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","9.89","30.76","128.0","64.0","118.11","97.24","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","226.18","0.09","0.8","0.0","6.36","0.8","5.09","0.0","0.0","0.0","0.0","14.98","30.76","128.0","64.0","113.02","97.24","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","226.18","0.09","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","20.24","30.76","128.0","64.0","107.76","97.24","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","226.18","0.09","0.8","0.0","6.92","0.8","5.54","0.0","0.0","0.0","0.0","25.78","30.76","128.0","64.0","102.22","97.24","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","226.18","0.09","0.8","0.0","7.12","0.8","5.7","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.47","","","","","","",""
"2016.0","8.0","15.0","228.0","226.18","0.09","0.8","0.0","6.45","0.8","5.16","0.0","0.0","0.0","0.0","5.16","30.76","128.0","64.0","122.84","97.24","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","226.18","0.09","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","10.4","30.76","128.0","64.0","117.6","97.24","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","226.18","0.09","0.8","0.0","6.44","0.8","5.15","0.0","0.0","0.0","0.0","15.55","30.76","128.0","64.0","112.45","97.24","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","226.18","0.09","0.8","0.0","6.38","0.8","5.1","0.0","0.0","0.0","0.0","20.66","30.76","128.0","64.0","107.34","97.24","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","226.18","0.09","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","25.72","30.76","128.0","64.0","102.28","97.24","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","226.18","0.09","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","30.7","30.76","128.0","64.0","97.3","97.24","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","226.18","0.09","0.8","0.0","6.26","0.8","5.01","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","35.7","","","","","","",""
"2016.0","8.0","22.0","235.0","226.18","0.09","0.8","0.0","6.08","0.8","4.86","0.0","0.0","0.0","0.0","4.86","30.76","128.0","64.0","123.14","97.24","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","226.18","0.09","0.8","0.0","5.88","0.8","4.7","0.0","0.0","0.0","0.0","9.57","30.76","128.0","64.0","118.43","97.24","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","226.18","0.09","0.8","0.0","5.82","0.8","4.66","0.0","0.0","0.0","0.0","14.22","30.76","128.0","64.0","113.78","97.24","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","226.18","0.09","0.8","0.0","5.7","0.8","4.56","0.0","0.0","0.0","0.0","18.78","30.76","128.0","64.0","109.22","97.24","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","226.18","0.09","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","23.06","30.76","128.0","64.0","104.94","97.24","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","226.18","0.09","0.8","0.0","5.22","0.8","4.18","0.0","0.0","0.0","0.0","27.24","30.76","128.0","64.0","100.76","97.24","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","226.18","0.09","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.69","","","","","","",""
"2016.0","8.0","29.0","242.0","226.18","0.09","0.8","0.0","5.67","0.8","4.54","0.0","0.0","0.0","0.0","4.54","30.76","128.0","64.0","123.46","97.24","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","226.18","0.09","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","9.42","30.76","128.0","64.0","118.58","97.24","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","226.18","0.09","0.8","0.0","5.9","0.8","4.72","0.0","0.0","0.0","0.0","14.14","30.76","128.0","64.0","113.86","97.24","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","226.18","0.09","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","18.19","30.76","128.0","64.0","109.81","97.24","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","226.18","0.09","0.8","0.0","5.2","0.8","4.16","0.0","0.0","0.0","0.0","22.35","30.76","128.0","64.0","105.65","97.24","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","226.18","0.09","0.8","0.0","5.2","0.8","4.16","0.0","0.0","0.0","0.0","26.51","30.76","128.0","64.0","101.49","97.24","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","226.18","0.09","0.8","0.0","4.61","0.8","3.69","0.0","0.0","0.0","0.0","30.2","30.76","128.0","64.0","97.8","97.24","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","226.18","0.09","0.8","0.0","5.32","0.8","4.26","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","34.46","","","","","","",""
"2016.0","9.0","6.0","250.0","226.18","0.09","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","4.02","30.76","128.0","64.0","123.98","97.24","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","226.18","0.09","0.8","0.0","5.69","0.8","4.55","0.0","0.0","0.0","0.0","8.58","30.76","128.0","64.0","119.42","97.24","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","226.18","0.09","0.8","0.0","5.74","0.8","4.59","0.0","0.0","0.0","0.0","13.17","30.76","128.0","64.0","114.83","97.24","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","226.18","0.09","0.8","0.0","5.32","0.8","4.26","0.0","0.0","0.0","0.0","17.42","30.76","128.0","64.0","110.58","97.24","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","226.18","0.08","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","21.71","30.76","128.0","64.0","106.29","97.24","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","226.18","0.08","0.8","0.0","4.8","0.8","3.84","0.0","0.0","0.0","0.0","25.55","30.76","128.0","64.0","102.45","97.24","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","226.18","0.08","0.8","0.0","4.31","0.8","3.45","0.0","0.0","0.0","0.0","29.0","30.76","128.0","64.0","99.0","97.24","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","226.18","0.08","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","32.1","","","","","","",""
"2016.0","9.0","14.0","258.0","226.18","0.08","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","3.38","30.76","128.0","64.0","124.62","97.24","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","226.18","0.08","0.8","0.0","4.57","0.8","3.66","0.0","0.0","0.0","0.0","7.03","30.76","128.0","64.0","120.97","97.24","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","226.18","0.08","0.8","0.0","4.78","0.8","3.82","0.0","0.0","0.0","0.0","10.86","30.76","128.0","64.0","117.14","97.24","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","226.18","0.08","0.8","0.0","4.82","0.8","3.86","0.0","0.0","0.0","0.0","14.71","30.76","128.0","64.0","113.29","97.24","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","226.18","0.08","0.8","0.0","4.66","0.8","3.73","0.0","0.0","0.0","0.0","18.44","30.76","128.0","64.0","109.56","97.24","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","226.18","0.08","0.8","0.0","5.22","0.8","4.18","0.0","0.0","0.0","0.0","22.62","30.76","128.0","64.0","105.38","97.24","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","226.18","0.08","0.8","0.0","5.89","0.8","4.71","0.0","0.0","0.0","0.0","27.33","30.76","128.0","64.0","100.67","97.24","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","226.18","0.08","0.8","0.0","5.55","0.8","4.44","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.77","","","","","","",""
"2016.0","9.0","22.0","266.0","226.18","0.08","0.8","0.0","4.34","0.8","3.47","0.0","0.0","0.0","0.0","3.47","30.76","128.0","64.0","124.53","97.24","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","226.18","0.08","0.8","0.0","4.55","0.8","3.64","0.0","0.0","0.0","0.0","7.11","30.76","128.0","64.0","120.89","97.24","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","226.18","0.08","0.8","0.0","4.69","0.8","3.75","0.0","0.0","0.0","0.0","10.86","30.76","128.0","64.0","117.14","97.24","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","226.18","0.08","0.8","0.0","4.35","0.8","3.48","0.0","0.0","0.0","0.0","14.34","30.76","128.0","64.0","113.66","97.24","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","226.18","0.08","0.8","0.0","4.5","0.8","3.6","0.0","0.0","0.0","0.0","17.94","30.76","128.0","64.0","110.06","97.24","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","226.18","0.08","0.8","0.0","4.67","0.8","3.74","0.0","0.0","0.0","0.0","21.68","30.76","128.0","64.0","106.32","97.24","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","226.18","0.08","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","25.46","30.76","128.0","64.0","102.54","97.24","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","226.18","0.08","0.8","0.0","4.64","0.8","3.71","0.0","0.0","0.0","0.0","29.18","30.76","128.0","64.0","98.82","97.24","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","226.18","0.08","0.8","0.0","3.66","0.8","2.93","0.49","0.49","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.61","","","","","","",""
