" Daily soil water balance output for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","6.0","30.0","182.0","4478.58","0.14","1.15","0.0","7.3","1.15","8.4","0.0","0.0","0.0","0.0","77.46","100.52","491.66","245.83","414.21","391.14","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","4478.58","0.14","1.15","0.0","7.23","1.15","8.31","0.0","0.0","0.0","0.0","85.77","100.52","491.66","245.83","405.89","391.14","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","4478.58","0.13","1.15","0.0","7.18","1.15","8.26","0.0","0.0","0.0","0.0","94.03","100.52","491.66","245.83","397.63","391.14","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","4478.58","0.13","1.15","0.0","7.44","1.15","8.56","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","102.58","","","","","","",""
"2016.0","7.0","4.0","186.0","4478.58","0.13","1.15","0.0","7.0","1.15","8.05","0.0","0.0","0.0","0.0","8.05","100.52","491.66","245.83","483.61","391.14","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","4478.58","0.13","1.15","0.0","6.29","1.15","7.23","0.0","0.0","0.0","0.0","15.28","100.52","491.66","245.83","476.38","391.14","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","4478.58","0.13","1.15","0.0","6.38","1.15","7.34","0.0","0.0","0.0","0.0","22.62","100.52","491.66","245.83","469.04","391.14","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","4478.58","0.13","1.15","0.0","6.53","1.15","7.51","0.0","0.0","0.0","0.0","30.13","100.52","491.66","245.83","461.53","391.14","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","4478.58","0.13","1.15","0.0","7.11","1.15","8.18","0.0","0.0","0.0","0.0","38.31","100.52","491.66","245.83","453.35","391.14","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","4478.58","0.13","1.15","0.0","6.6","1.15","7.59","0.0","0.0","0.0","0.0","45.9","100.52","491.66","245.83","445.76","391.14","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","4478.58","0.13","1.15","0.0","6.47","1.15","7.44","0.0","0.0","0.0","0.0","53.34","100.52","491.66","245.83","438.32","391.14","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","4478.58","0.12","1.15","0.0","7.23","1.15","8.31","0.0","0.0","0.0","0.0","61.65","100.52","491.66","245.83","430.01","391.14","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","4478.58","0.12","1.15","0.0","6.91","1.15","7.95","0.0","0.0","0.0","0.0","69.6","100.52","491.66","245.83","422.06","391.14","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","4478.58","0.12","1.15","0.0","7.23","1.15","8.31","0.0","0.0","0.0","0.0","77.91","100.52","491.66","245.83","413.75","391.14","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","4478.58","0.12","1.15","0.0","7.4","1.15","8.51","0.0","0.0","0.0","0.0","86.42","100.52","491.66","245.83","405.24","391.14","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","4478.58","0.12","1.15","0.0","7.32","1.15","8.42","0.0","0.0","0.0","0.0","94.84","100.52","491.66","245.83","396.82","391.14","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","4478.58","0.12","1.15","0.0","7.01","1.15","8.06","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","102.9","","","","","","",""
"2016.0","7.0","17.0","199.0","4478.58","0.12","1.15","0.0","6.76","1.15","7.77","0.0","0.0","0.0","0.0","7.77","100.52","491.66","245.83","483.89","391.14","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","4478.58","0.12","1.15","0.0","6.37","1.15","7.33","0.0","0.0","0.0","0.0","15.1","100.52","491.66","245.83","476.56","391.14","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","4478.58","0.12","1.15","0.0","6.63","1.15","7.62","0.0","0.0","0.0","0.0","22.72","100.52","491.66","245.83","468.94","391.14","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","4478.58","0.12","1.15","0.0","7.06","1.15","8.12","0.0","0.0","0.0","0.0","30.84","100.52","491.66","245.83","460.82","391.14","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","4478.58","0.11","1.15","0.0","7.27","1.15","8.36","0.0","0.0","0.0","0.0","39.2","100.52","491.66","245.83","452.46","391.14","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","4478.58","0.11","1.15","0.0","7.13","1.15","8.2","0.0","0.0","0.0","0.0","47.4","100.52","491.66","245.83","444.26","391.14","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","4478.58","0.11","1.15","0.0","7.72","1.15","8.88","0.0","0.0","0.0","0.0","56.28","100.52","491.66","245.83","435.38","391.14","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","4478.58","0.11","1.15","0.0","7.38","1.15","8.49","0.0","0.0","0.0","0.0","64.77","100.52","491.66","245.83","426.89","391.14","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","4478.58","0.11","1.15","0.0","7.29","1.15","8.38","0.0","0.0","0.0","0.0","73.15","100.52","491.66","245.83","418.51","391.14","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","4478.58","0.11","1.15","0.0","7.3","1.15","8.4","0.0","0.0","0.0","0.0","81.55","100.52","491.66","245.83","410.11","391.14","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","4478.58","0.11","1.15","0.0","7.67","1.15","8.82","0.0","0.0","0.0","0.0","90.37","100.52","491.66","245.83","401.29","391.14","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","4478.58","0.11","1.15","0.0","7.66","1.15","8.81","0.0","0.0","0.0","0.0","99.18","100.52","491.66","245.83","392.48","391.14","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","4478.58","0.11","1.15","0.0","7.57","1.15","8.71","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","107.88","","","","","","",""
"2016.0","7.0","30.0","212.0","4478.58","0.11","1.15","0.0","7.81","1.15","8.98","0.0","0.0","0.0","0.0","8.98","100.52","491.66","245.83","482.68","391.14","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","4478.58","0.11","1.15","0.0","6.98","1.15","8.03","0.0","0.0","0.0","0.0","17.01","100.52","491.66","245.83","474.65","391.14","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","4478.58","0.11","1.15","0.0","6.7","1.15","7.71","0.0","0.0","0.0","0.0","24.71","100.52","491.66","245.83","466.95","391.14","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","4478.58","0.11","1.15","0.0","6.65","1.15","7.65","0.0","0.0","0.0","0.0","32.36","100.52","491.66","245.83","459.3","391.14","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","4478.58","0.1","1.15","0.0","7.01","1.15","8.06","0.0","0.0","0.0","0.0","40.42","100.52","491.66","245.83","451.24","391.14","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","4478.58","0.1","1.15","0.0","6.22","1.15","7.15","0.0","0.0","0.0","0.0","47.58","100.52","491.66","245.83","444.08","391.14","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","4478.58","0.1","1.15","0.0","5.72","1.15","6.58","0.0","0.0","0.0","0.0","54.15","100.52","491.66","245.83","437.51","391.14","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","4478.58","0.1","1.15","0.0","6.01","1.15","6.91","0.0","0.0","0.0","0.0","61.07","100.52","491.66","245.83","430.6","391.14","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","4478.58","0.1","1.15","0.0","6.09","1.15","7.0","0.0","0.0","0.0","0.0","68.07","100.52","491.66","245.83","423.59","391.14","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","4478.58","0.1","1.15","0.0","6.44","1.15","7.41","0.0","0.0","0.0","0.0","75.47","100.52","491.66","245.83","416.19","391.14","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","4478.58","0.1","1.14","0.0","6.18","1.14","7.05","0.0","0.0","0.0","0.0","82.52","100.52","491.66","245.83","409.14","391.14","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","4478.58","0.1","1.13","0.0","6.26","1.13","7.08","0.0","0.0","0.0","0.0","89.61","100.52","491.66","245.83","402.05","391.14","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","4478.58","0.1","1.12","0.0","6.46","1.12","7.25","0.0","0.0","0.0","0.0","96.86","100.52","491.66","245.83","394.8","391.14","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","4478.58","0.1","1.11","0.0","6.65","1.11","7.4","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","104.26","","","","","","",""
"2016.0","8.0","13.0","226.0","4478.58","0.1","1.1","0.0","7.06","1.1","7.79","0.0","0.0","0.0","0.0","7.79","100.52","491.66","245.83","483.87","391.14","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","4478.58","0.1","1.09","0.0","7.26","1.09","7.95","0.0","0.0","0.0","0.0","15.74","100.52","491.66","245.83","475.92","391.14","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","4478.58","0.1","1.09","0.0","6.64","1.09","7.21","0.0","0.0","0.0","0.0","22.95","100.52","491.66","245.83","468.71","391.14","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","4478.58","0.1","1.08","0.0","6.57","1.08","7.07","0.0","0.0","0.0","0.0","30.02","100.52","491.66","245.83","461.64","391.14","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","4478.58","0.1","1.07","0.0","6.46","1.07","6.89","0.0","0.0","0.0","0.0","36.91","100.52","491.66","245.83","454.75","391.14","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","4478.58","0.1","1.06","0.0","6.42","1.06","6.79","0.0","0.0","0.0","0.0","43.71","100.52","491.66","245.83","447.95","391.14","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","4478.58","0.1","1.05","0.0","6.44","1.05","6.75","0.0","0.0","0.0","0.0","50.46","100.52","491.66","245.83","441.2","391.14","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","4478.58","0.1","1.04","0.0","6.34","1.04","6.59","0.0","0.0","0.0","0.0","57.05","100.52","491.66","245.83","434.61","391.14","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","4478.58","0.1","1.03","0.0","6.38","1.03","6.57","0.0","0.0","0.0","0.0","63.62","100.52","491.66","245.83","428.04","391.14","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","4478.58","0.1","1.02","0.0","5.96","1.02","6.09","0.0","0.0","0.0","0.0","69.71","122.92","491.66","245.83","421.95","368.75","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","4478.58","0.1","1.01","0.0","6.1","1.01","6.17","0.0","0.0","0.0","0.0","75.88","122.92","491.66","245.83","415.78","368.75","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","4478.58","0.09","1.0","0.0","6.02","1.0","6.04","0.0","0.0","0.0","0.0","81.92","122.92","491.66","245.83","409.74","368.75","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","4478.58","0.09","0.99","0.0","5.81","0.99","5.77","0.0","0.0","0.0","0.0","87.69","122.92","491.66","245.83","403.97","368.75","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","4478.58","0.09","0.98","0.0","5.42","0.98","5.33","0.0","0.0","0.0","0.0","93.02","122.92","491.66","245.83","398.64","368.75","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","4478.58","0.09","0.97","0.0","5.32","0.97","5.19","0.0","0.0","0.0","0.0","98.21","122.92","491.66","245.83","393.45","368.75","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","4478.58","0.09","0.97","0.0","5.62","0.97","5.43","0.0","0.0","0.0","0.0","103.64","122.92","491.66","245.83","388.02","368.75","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","4478.58","0.09","0.96","0.0","5.87","0.96","5.62","0.0","0.0","0.0","0.0","109.25","122.92","491.66","245.83","382.41","368.75","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","4478.58","0.09","0.95","0.0","6.32","0.95","5.99","0.0","0.0","0.0","0.0","115.24","122.92","491.66","245.83","376.42","368.75","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","4478.58","0.09","0.94","0.0","6.07","0.94","5.69","0.0","0.0","0.0","0.0","120.93","122.92","491.66","245.83","370.73","368.75","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","4478.58","0.09","0.93","0.0","5.28","0.93","4.9","0.0","0.0","0.0","0.0","0.0","122.92","491.66","245.83","491.66","368.75","125.84","","","","","","",""
"2016.0","9.0","2.0","246.0","4478.58","0.09","0.92","0.0","5.32","0.92","4.89","0.0","0.0","0.0","0.0","4.89","122.92","491.66","245.83","486.77","368.75","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","4478.58","0.09","0.91","0.0","5.21","0.91","4.74","0.0","0.0","0.0","0.0","9.64","122.92","491.66","245.83","482.02","368.75","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","4478.58","0.09","0.9","0.0","4.61","0.9","4.16","0.0","0.0","0.0","0.0","13.79","122.92","491.66","245.83","477.87","368.75","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","4478.58","0.09","0.89","0.0","5.35","0.89","4.77","0.0","0.0","0.0","0.0","18.56","122.92","491.66","245.83","473.1","368.75","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","4478.58","0.09","0.88","0.0","5.1","0.88","4.5","0.0","0.0","0.0","0.0","23.07","122.92","491.66","245.83","468.59","368.75","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","4478.58","0.09","0.87","0.0","5.65","0.87","4.94","0.0","0.0","0.0","0.0","28.0","122.92","491.66","245.83","463.66","368.75","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","4478.58","0.09","0.86","0.0","5.78","0.86","5.0","0.0","0.0","0.0","0.0","33.0","122.92","491.66","245.83","458.66","368.75","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","4478.58","0.09","0.86","0.0","5.43","0.86","4.64","0.0","0.0","0.0","0.0","37.64","122.92","491.66","245.83","454.02","368.75","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","4478.58","0.09","0.85","0.0","5.49","0.85","4.64","0.0","0.0","0.0","0.0","42.29","122.92","491.66","245.83","449.37","368.75","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","4478.58","0.09","0.84","0.0","5.04","0.84","4.22","0.0","0.0","0.0","0.0","46.51","122.92","491.66","245.83","445.15","368.75","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","4478.58","0.09","0.83","0.0","4.58","0.83","3.79","0.0","0.0","0.0","0.0","50.3","122.92","491.66","245.83","441.36","368.75","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","4478.58","0.09","0.82","0.0","3.88","0.82","3.18","0.0","0.0","0.0","0.0","53.47","122.92","491.66","245.83","438.19","368.75","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","4478.58","0.09","0.81","0.0","4.27","0.81","3.46","0.0","0.0","0.0","0.0","56.93","122.92","491.66","245.83","434.73","368.75","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","4478.58","0.09","0.8","0.0","4.71","0.8","3.77","0.0","0.0","0.0","0.0","60.7","122.92","491.66","245.83","430.96","368.75","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","4478.58","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","4478.58","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","24.73","24.3","491.66","245.83","466.93","467.36","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","4478.58","0.09","0.0","0.0","4.73","0.09","0.41","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","4478.58","0.09","0.0","0.0","5.2","0.09","0.45","0.0","0.0","0.0","0.0","24.75","24.3","491.66","245.83","466.91","467.36","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","4478.58","0.09","0.0","0.0","5.65","0.09","0.49","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","4478.58","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","24.77","24.3","491.66","245.83","466.89","467.36","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","4478.58","0.09","0.0","0.0","4.4","0.09","0.38","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","4478.58","0.09","0.0","0.0","4.74","0.09","0.41","0.0","0.0","0.0","0.0","24.71","24.3","491.66","245.83","466.95","467.36","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","4478.58","0.09","0.0","0.0","4.57","0.09","0.39","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","4478.58","0.09","0.0","0.0","4.23","0.09","0.36","0.0","0.0","0.0","0.0","24.66","24.3","491.66","245.83","467.0","467.36","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","4478.58","0.09","0.0","0.0","4.58","0.09","0.39","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","4478.58","0.09","0.0","0.0","4.68","0.09","0.4","0.0","0.0","0.0","0.0","24.7","24.3","491.66","245.83","466.96","467.36","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","4478.58","0.09","0.0","0.0","4.75","0.09","0.41","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","4478.58","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","24.7","24.3","491.66","245.83","466.96","467.36","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","4478.58","0.09","0.0","0.0","3.59","0.09","0.31","2.27","2.27","0.0","0.0","22.43","24.3","491.66","245.83","469.23","467.36","0.0","","","","","","",""
