" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","201.49","0.12","0.75","0.0","7.32","0.75","5.5","0.0","0.0","0.0","0.0","37.76","69.53","316.99","158.5","279.23","247.46","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","201.49","0.12","0.76","0.0","6.85","0.76","5.2","0.0","0.0","0.0","0.0","42.96","69.53","316.99","158.5","274.03","247.46","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","201.49","0.12","0.77","0.0","6.12","0.77","4.69","0.0","0.0","0.0","0.0","47.65","69.53","316.99","158.5","269.34","247.46","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","201.49","0.12","0.77","0.0","6.22","0.77","4.82","0.0","0.0","0.0","0.0","52.47","69.53","316.99","158.5","264.52","247.46","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","201.49","0.11","0.78","0.0","6.28","0.78","4.91","0.0","0.0","0.0","0.0","57.38","69.53","316.99","158.5","259.61","247.46","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","201.49","0.11","0.79","0.0","6.99","0.79","5.52","0.0","0.0","0.0","0.0","62.9","69.53","316.99","158.5","254.1","247.46","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","201.49","0.11","0.8","0.0","6.45","0.8","5.14","0.0","0.0","0.0","0.0","68.04","69.53","316.99","158.5","248.96","247.46","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","201.49","0.11","0.8","0.0","6.36","0.8","5.12","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","73.15","","","","","","",""
"2016.0","7.0","11.0","193.0","201.49","0.11","0.81","0.0","7.12","0.81","5.78","0.0","0.0","0.0","0.0","5.78","69.53","316.99","158.5","311.21","247.46","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","201.49","0.11","0.82","0.0","6.81","0.82","5.58","0.0","0.0","0.0","0.0","11.37","69.53","316.99","158.5","305.62","247.46","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","201.49","0.11","0.83","0.0","7.2","0.83","5.96","0.0","0.0","0.0","0.0","17.33","69.53","316.99","158.5","299.66","247.46","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","201.49","0.11","0.84","0.0","7.37","0.84","6.16","0.0","0.0","0.0","0.0","23.48","69.53","316.99","158.5","293.51","247.46","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","201.49","0.11","0.84","0.0","7.27","0.84","6.13","0.0","0.0","0.0","0.0","29.61","69.53","316.99","158.5","287.38","247.46","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","201.49","0.11","0.85","0.0","6.85","0.85","5.83","0.0","0.0","0.0","0.0","35.44","69.53","316.99","158.5","281.55","247.46","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","201.49","0.11","0.86","0.0","6.58","0.86","5.65","0.0","0.0","0.0","0.0","41.09","69.53","316.99","158.5","275.91","247.46","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","201.49","0.11","0.87","0.0","6.24","0.87","5.4","0.0","0.0","0.0","0.0","46.49","69.53","316.99","158.5","270.5","247.46","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","201.49","0.11","0.87","0.0","6.47","0.87","5.65","0.0","0.0","0.0","0.0","52.14","69.53","316.99","158.5","264.85","247.46","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","201.49","0.11","0.88","0.0","6.83","0.88","6.02","0.0","0.0","0.0","0.0","58.16","69.53","316.99","158.5","258.83","247.46","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","201.49","0.11","0.89","0.0","7.16","0.89","6.36","0.0","0.0","0.0","0.0","64.52","69.53","316.99","158.5","252.47","247.46","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","201.49","0.1","0.9","0.0","6.9","0.9","6.19","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","70.71","","","","","","",""
"2016.0","7.0","23.0","205.0","201.49","0.1","0.9","0.0","7.55","0.9","6.83","0.0","0.0","0.0","0.0","6.83","69.53","316.99","158.5","310.17","247.46","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","201.49","0.1","0.91","0.0","7.37","0.91","6.72","0.0","0.0","0.0","0.0","13.55","69.53","316.99","158.5","303.45","247.46","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","201.49","0.1","0.92","0.0","7.18","0.92","6.6","0.0","0.0","0.0","0.0","20.15","69.53","316.99","158.5","296.84","247.46","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","201.49","0.1","0.93","0.0","7.2","0.93","6.67","0.0","0.0","0.0","0.0","26.82","69.53","316.99","158.5","290.17","247.46","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","201.49","0.1","0.93","0.0","7.7","0.93","7.2","0.0","0.0","0.0","0.0","34.02","69.53","316.99","158.5","282.97","247.46","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","201.49","0.1","0.94","0.0","7.57","0.94","7.13","0.0","0.0","0.0","0.0","41.15","69.53","316.99","158.5","275.84","247.46","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","201.49","0.1","0.95","0.0","7.46","0.95","7.09","0.0","0.0","0.0","0.0","48.24","69.53","316.99","158.5","268.75","247.46","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","201.49","0.1","0.95","0.0","7.84","0.95","7.45","0.0","0.0","0.0","0.0","55.69","69.53","316.99","158.5","261.3","247.46","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","201.49","0.1","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","62.34","69.53","316.99","158.5","254.65","247.46","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","201.49","0.1","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","68.66","69.53","316.99","158.5","248.34","247.46","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","201.49","0.1","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","74.8","","","","","","",""
"2016.0","8.0","3.0","216.0","201.49","0.1","0.95","0.0","6.97","0.95","6.62","0.0","0.0","0.0","0.0","6.62","69.53","316.99","158.5","310.37","247.46","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","201.49","0.1","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","12.29","69.53","316.99","158.5","304.7","247.46","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","201.49","0.1","0.95","0.0","5.57","0.95","5.29","0.0","0.0","0.0","0.0","17.58","69.53","316.99","158.5","299.41","247.46","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","201.49","0.1","0.95","0.0","5.91","0.95","5.61","0.0","0.0","0.0","0.0","23.2","69.53","316.99","158.5","293.79","247.46","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","201.49","0.1","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","28.85","69.53","316.99","158.5","288.14","247.46","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","201.49","0.1","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","34.96","69.53","316.99","158.5","282.03","247.46","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","201.49","0.1","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","40.8","69.53","316.99","158.5","276.19","247.46","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","201.49","0.09","0.95","0.0","6.23","0.95","5.92","0.0","0.0","0.0","0.0","46.72","69.53","316.99","158.5","270.27","247.46","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","201.49","0.09","0.95","0.0","6.36","0.95","6.04","0.0","0.0","0.0","0.0","52.76","69.53","316.99","158.5","264.23","247.46","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","201.49","0.09","0.95","0.0","6.59","0.95","6.26","0.0","0.0","0.0","0.0","59.02","69.53","316.99","158.5","257.97","247.46","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","201.49","0.09","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","65.6","69.53","316.99","158.5","251.39","247.46","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","201.49","0.09","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","72.37","","","","","","",""
"2016.0","8.0","15.0","228.0","201.49","0.09","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","6.14","69.53","316.99","158.5","310.86","247.46","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","201.49","0.09","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","12.36","69.53","316.99","158.5","304.63","247.46","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","201.49","0.09","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","18.47","69.53","316.99","158.5","298.52","247.46","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","201.49","0.09","0.95","0.0","6.39","0.95","6.07","0.0","0.0","0.0","0.0","24.54","69.53","316.99","158.5","292.45","247.46","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","201.49","0.09","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","30.55","69.53","316.99","158.5","286.44","247.46","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","201.49","0.09","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","36.46","69.53","316.99","158.5","280.53","247.46","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","201.49","0.09","0.95","0.0","6.26","0.95","5.95","0.0","0.0","0.0","0.0","42.41","69.53","316.99","158.5","274.58","247.46","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","201.49","0.09","0.95","0.0","6.08","0.95","5.78","0.0","0.0","0.0","0.0","48.18","69.53","316.99","158.5","268.81","247.46","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","201.49","0.09","0.95","0.0","5.88","0.95","5.59","0.0","0.0","0.0","0.0","53.77","69.53","316.99","158.5","263.22","247.46","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","201.49","0.09","0.95","0.0","5.82","0.95","5.53","0.0","0.0","0.0","0.0","59.3","69.53","316.99","158.5","257.69","247.46","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","201.49","0.09","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","64.71","69.53","316.99","158.5","252.28","247.46","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","201.49","0.09","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","69.8","","","","","","",""
"2016.0","8.0","27.0","240.0","201.49","0.09","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","4.96","69.53","316.99","158.5","312.03","247.46","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","201.49","0.09","0.95","0.0","5.57","0.95","5.29","0.0","0.0","0.0","0.0","10.25","69.53","316.99","158.5","306.74","247.46","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","201.49","0.09","0.95","0.0","5.66","0.95","5.38","0.0","0.0","0.0","0.0","15.63","69.53","316.99","158.5","301.36","247.46","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","201.49","0.09","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","21.41","69.53","316.99","158.5","295.58","247.46","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","201.49","0.09","0.95","0.0","5.9","0.95","5.61","0.0","0.0","0.0","0.0","27.02","69.53","316.99","158.5","289.97","247.46","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","201.49","0.09","0.95","0.0","5.07","0.95","4.82","0.0","0.0","0.0","0.0","31.83","69.53","316.99","158.5","285.16","247.46","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","201.49","0.09","0.95","0.0","5.19","0.95","4.93","0.0","0.0","0.0","0.0","36.77","69.53","316.99","158.5","280.23","247.46","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","201.49","0.09","0.95","0.0","5.2","0.95","4.94","0.0","0.0","0.0","0.0","41.71","69.53","316.99","158.5","275.29","247.46","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","201.49","0.09","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","46.08","69.53","316.99","158.5","270.91","247.46","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","201.49","0.09","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","51.13","69.53","316.99","158.5","265.86","247.46","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","201.49","0.09","0.95","0.0","5.03","0.95","4.78","0.0","0.0","0.0","0.0","55.91","69.53","316.99","158.5","261.08","247.46","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","201.49","0.09","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","61.32","69.53","316.99","158.5","255.67","247.46","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","201.49","0.09","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","66.79","69.53","316.99","158.5","250.21","247.46","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","201.49","0.09","0.94","0.0","5.32","0.94","5.01","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","71.8","","","","","","",""
"2016.0","9.0","10.0","254.0","201.49","0.08","0.93","0.0","5.36","0.93","5.01","0.0","0.0","0.0","0.0","5.01","69.53","316.99","158.5","311.98","247.46","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","201.49","0.08","0.93","0.0","4.8","0.93","4.45","0.0","0.0","0.0","0.0","9.46","69.53","316.99","158.5","307.53","247.46","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","201.49","0.08","0.92","0.0","4.31","0.92","3.96","0.0","0.0","0.0","0.0","13.42","79.25","316.99","158.5","303.57","237.74","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","201.49","0.08","0.91","0.0","3.87","0.91","3.53","0.0","0.0","0.0","0.0","16.95","79.25","316.99","158.5","300.05","237.74","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","201.49","0.08","0.9","0.0","4.22","0.9","3.81","0.0","0.0","0.0","0.0","20.76","79.25","316.99","158.5","296.23","237.74","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","201.49","0.08","0.9","0.0","4.57","0.9","4.09","0.0","0.0","0.0","0.0","24.85","79.25","316.99","158.5","292.14","237.74","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","201.49","0.08","0.89","0.0","4.77","0.89","4.24","0.0","0.0","0.0","0.0","29.09","79.25","316.99","158.5","287.9","237.74","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","201.49","0.08","0.88","0.0","4.82","0.88","4.24","0.0","0.0","0.0","0.0","33.33","79.25","316.99","158.5","283.66","237.74","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","201.49","0.08","0.87","0.0","4.67","0.87","4.08","0.0","0.0","0.0","0.0","37.41","79.25","316.99","158.5","279.58","237.74","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","201.49","0.08","0.87","0.0","5.22","0.87","4.52","0.0","0.0","0.0","0.0","41.93","79.25","316.99","158.5","275.07","237.74","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","201.49","0.08","0.86","0.0","5.91","0.86","5.07","0.0","0.0","0.0","0.0","46.99","79.25","316.99","158.5","270.0","237.74","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","201.49","0.08","0.85","0.0","5.56","0.85","4.72","0.0","0.0","0.0","0.0","51.72","79.25","316.99","158.5","265.28","237.74","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","201.49","0.08","0.84","0.0","4.35","0.84","3.66","0.0","0.0","0.0","0.0","55.38","79.25","316.99","158.5","261.61","237.74","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","201.49","0.08","0.83","0.0","4.54","0.83","3.79","0.0","0.0","0.0","0.0","59.16","79.25","316.99","158.5","257.83","237.74","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","201.49","0.08","0.83","0.0","4.7","0.83","3.88","0.0","0.0","0.0","0.0","63.05","79.25","316.99","158.5","253.94","237.74","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","201.49","0.08","0.82","0.0","4.36","0.82","3.57","0.0","0.0","0.0","0.0","66.62","79.25","316.99","158.5","250.38","237.74","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","201.49","0.08","0.81","0.0","4.49","0.81","3.64","0.0","0.0","0.0","0.0","70.26","79.25","316.99","158.5","246.73","237.74","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","201.49","0.08","0.8","0.0","4.66","0.8","3.74","0.0","0.0","0.0","0.0","74.0","79.25","316.99","158.5","242.99","237.74","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","201.49","0.08","0.8","0.0","4.73","0.8","3.76","0.0","0.0","0.0","0.0","77.76","79.25","316.99","158.5","239.23","237.74","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","201.49","0.08","0.79","0.0","4.64","0.79","3.66","0.0","0.0","0.0","0.0","0.0","79.25","316.99","158.5","316.99","237.74","81.42","","","","","","",""
"2016.0","9.0","30.0","274.0","201.49","0.08","0.78","0.0","3.66","0.78","2.85","0.47","0.47","0.0","0.0","2.38","79.25","316.99","158.5","314.61","237.74","0.0","","","","","","",""
