" Daily soil water balance output for Tomato in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","6.0","30.0","182.0","3432.44","0.14","1.1","0.0","6.96","1.1","7.66","0.0","0.0","0.0","0.0","23.9","72.12","336.8","168.4","312.9","264.68","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","3432.44","0.14","1.1","0.0","6.82","1.1","7.5","0.0","0.0","0.0","0.0","31.41","72.12","336.8","168.4","305.4","264.68","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","3432.44","0.14","1.1","0.0","6.74","1.1","7.41","0.0","0.0","0.0","0.0","38.82","72.12","336.8","168.4","297.99","264.68","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","3432.44","0.14","1.1","0.0","7.01","1.1","7.71","0.0","0.0","0.0","0.0","46.53","72.12","336.8","168.4","290.27","264.68","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","3432.44","0.14","1.1","0.0","6.57","1.1","7.23","0.0","0.0","0.0","0.0","53.76","72.12","336.8","168.4","283.05","264.68","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","3432.44","0.13","1.08","0.0","5.91","1.08","6.41","0.0","0.0","0.0","0.0","60.16","72.12","336.8","168.4","276.64","264.68","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","3432.44","0.13","1.07","0.0","6.04","1.07","6.45","0.0","0.0","0.0","0.0","66.61","72.12","336.8","168.4","270.19","264.68","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","3432.44","0.13","1.05","0.0","6.16","1.05","6.48","0.0","0.0","0.0","0.0","0.0","72.12","336.8","168.4","336.8","264.68","73.09","","","","","","",""
"2016.0","7.0","8.0","190.0","3432.44","0.13","1.04","0.0","6.78","1.04","7.02","0.0","0.0","0.0","0.0","7.02","72.12","336.8","168.4","329.78","264.68","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","3432.44","0.13","1.02","0.0","6.33","1.02","6.45","0.0","0.0","0.0","0.0","13.48","72.12","336.8","168.4","323.33","264.68","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","3432.44","0.13","1.0","0.0","6.31","1.0","6.33","0.0","0.0","0.0","0.0","19.81","72.12","336.8","168.4","316.99","264.68","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","3432.44","0.13","0.99","0.0","6.98","0.99","6.89","0.0","0.0","0.0","0.0","26.7","72.12","336.8","168.4","310.1","264.68","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","3432.44","0.13","0.97","0.0","6.6","0.97","6.41","0.0","0.0","0.0","0.0","33.11","72.12","336.8","168.4","303.69","264.68","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","3432.44","0.13","0.96","0.0","6.97","0.96","6.66","0.0","0.0","0.0","0.0","39.77","72.12","336.8","168.4","297.03","264.68","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","3432.44","0.12","0.94","0.0","7.11","0.94","6.68","0.0","0.0","0.0","0.0","46.45","72.12","336.8","168.4","290.35","264.68","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","3432.44","0.12","0.92","0.0","6.93","0.92","6.4","0.0","0.0","0.0","0.0","52.85","72.12","336.8","168.4","283.96","264.68","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","3432.44","0.12","0.91","0.0","6.59","0.91","5.98","0.0","0.0","0.0","0.0","58.83","72.12","336.8","168.4","277.98","264.68","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","3432.44","0.12","0.89","0.0","6.32","0.89","5.63","0.0","0.0","0.0","0.0","64.46","72.12","336.8","168.4","272.35","264.68","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","3432.44","0.12","0.88","0.0","6.04","0.88","5.29","0.0","0.0","0.0","0.0","69.74","84.2","336.8","168.4","267.06","252.6","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","3432.44","0.12","0.86","0.0","6.33","0.86","5.44","0.0","0.0","0.0","0.0","75.18","84.2","336.8","168.4","261.62","252.6","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","3432.44","0.12","0.84","0.0","6.77","0.84","5.71","0.0","0.0","0.0","0.0","80.89","84.2","336.8","168.4","255.92","252.6","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","3432.44","0.12","0.83","0.0","6.91","0.83","5.71","0.0","0.0","0.0","0.0","0.0","84.2","336.8","168.4","336.8","252.6","86.6","","","","","","",""
"2016.0","7.0","22.0","204.0","3432.44","0.12","0.81","0.0","6.81","0.81","5.52","0.0","0.0","0.0","0.0","5.52","84.2","336.8","168.4","331.28","252.6","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","3432.44","0.12","0.79","0.0","7.41","0.79","5.89","0.0","0.0","0.0","0.0","11.41","84.2","336.8","168.4","325.39","252.6","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","3432.44","0.12","0.78","0.0","7.14","0.78","5.56","0.0","0.0","0.0","0.0","16.97","84.2","336.8","168.4","319.84","252.6","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","3432.44","0.11","0.76","0.0","6.89","0.76","5.25","0.0","0.0","0.0","0.0","22.22","84.2","336.8","168.4","314.58","252.6","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","3432.44","0.11","0.75","0.0","7.01","0.75","5.23","0.0","0.0","0.0","0.0","27.45","84.2","336.8","168.4","309.35","252.6","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","3432.44","0.11","0.73","0.0","7.35","0.73","5.37","0.0","0.0","0.0","0.0","32.82","84.2","336.8","168.4","303.98","252.6","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","3432.44","0.11","0.71","0.0","7.27","0.71","5.19","0.0","0.0","0.0","0.0","38.02","84.2","336.8","168.4","298.79","252.6","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","3432.44","0.11","0.7","0.0","7.1","0.7","4.96","0.0","0.0","0.0","0.0","42.97","84.2","336.8","168.4","293.83","252.6","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","3432.44","0.11","0.68","0.0","7.36","0.68","5.02","0.0","0.0","0.0","0.0","47.99","84.2","336.8","168.4","288.81","252.6","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","3432.44","0.11","0.67","0.0","6.54","0.67","4.36","0.0","0.0","0.0","0.0","52.35","84.2","336.8","168.4","284.45","252.6","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","3432.44","0.11","0.65","0.0","6.31","0.65","4.1","0.0","0.0","0.0","0.0","56.45","84.2","336.8","168.4","280.35","252.6","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","3432.44","0.11","0.0","0.0","6.3","0.11","0.68","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","3432.44","0.11","0.0","0.0","6.63","0.11","0.71","0.0","0.0","0.0","0.0","26.21","25.5","336.8","168.4","310.59","311.3","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","3432.44","0.11","0.0","0.0","5.71","0.11","0.61","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","3432.44","0.11","0.0","0.0","5.44","0.11","0.58","0.0","0.0","0.0","0.0","26.08","25.5","336.8","168.4","310.72","311.3","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","3432.44","0.11","0.0","0.0","5.68","0.11","0.6","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","3432.44","0.11","0.0","0.0","5.85","0.11","0.62","0.0","0.0","0.0","0.0","26.12","25.5","336.8","168.4","310.69","311.3","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","3432.44","0.11","0.0","0.0","6.22","0.11","0.65","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","3432.44","0.1","0.0","0.0","5.96","0.1","0.62","0.0","0.0","0.0","0.0","26.12","25.5","336.8","168.4","310.68","311.3","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","3432.44","0.1","0.0","0.0","6.0","0.1","0.63","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","3432.44","0.1","0.0","0.0","6.14","0.1","0.64","0.0","0.0","0.0","0.0","26.14","25.5","336.8","168.4","310.67","311.3","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","3432.44","0.1","0.0","0.0","6.32","0.1","0.65","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","3432.44","0.1","0.0","0.0","6.75","0.1","0.69","0.0","0.0","0.0","0.0","26.19","25.5","336.8","168.4","310.61","311.3","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","3432.44","0.1","0.0","0.0","6.91","0.1","0.7","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","3432.44","0.1","0.0","0.0","6.22","0.1","0.63","0.0","0.0","0.0","0.0","26.13","25.5","336.8","168.4","310.67","311.3","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","3432.44","0.1","0.0","0.0","6.25","0.1","0.63","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","3432.44","0.1","0.0","0.0","6.17","0.1","0.62","0.0","0.0","0.0","0.0","26.12","25.5","336.8","168.4","310.68","311.3","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","3432.44","0.1","0.0","0.0","6.13","0.1","0.61","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","3432.44","0.1","0.0","0.0","6.11","0.1","0.61","0.0","0.0","0.0","0.0","26.11","25.5","336.8","168.4","310.7","311.3","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","3432.44","0.1","0.0","0.0","5.97","0.1","0.59","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","3432.44","0.1","0.0","0.0","6.06","0.1","0.6","0.0","0.0","0.0","0.0","26.1","25.5","336.8","168.4","310.71","311.3","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","3432.44","0.1","0.0","0.0","5.78","0.1","0.57","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","3432.44","0.1","0.0","0.0","5.78","0.1","0.57","0.0","0.0","0.0","0.0","26.07","25.5","336.8","168.4","310.74","311.3","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","3432.44","0.1","0.0","0.0","5.68","0.1","0.55","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","3432.44","0.1","0.0","0.0","5.45","0.1","0.53","0.0","0.0","0.0","0.0","26.03","25.5","336.8","168.4","310.77","311.3","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","3432.44","0.1","0.0","0.0","5.13","0.1","0.5","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","3432.44","0.1","0.0","0.0","5.07","0.1","0.49","0.0","0.0","0.0","0.0","25.99","25.5","336.8","168.4","310.81","311.3","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","3432.44","0.1","0.0","0.0","5.37","0.1","0.52","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","3432.44","0.1","0.0","0.0","5.55","0.1","0.53","0.0","0.0","0.0","0.0","26.03","25.5","336.8","168.4","310.77","311.3","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","3432.44","0.1","0.0","0.0","6.02","0.1","0.57","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","3432.44","0.09","0.0","0.0","5.79","0.09","0.55","0.0","0.0","0.0","0.0","26.05","25.5","336.8","168.4","310.75","311.3","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","3432.44","0.09","0.0","0.0","5.01","0.09","0.47","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","3432.44","0.09","0.0","0.0","5.11","0.09","0.48","0.0","0.0","0.0","0.0","25.98","25.5","336.8","168.4","310.82","311.3","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","3432.44","0.09","0.0","0.0","5.0","0.09","0.47","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","3432.44","0.09","0.0","0.0","4.55","0.09","0.43","0.0","0.0","0.0","0.0","25.93","25.5","336.8","168.4","310.88","311.3","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","3432.44","0.09","0.0","0.0","5.22","0.09","0.49","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","3432.44","0.09","0.0","0.0","4.99","0.09","0.47","0.0","0.0","0.0","0.0","25.97","25.5","336.8","168.4","310.84","311.3","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","3432.44","0.09","0.0","0.0","5.6","0.09","0.52","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","3432.44","0.09","0.0","0.0","5.47","0.09","0.51","0.0","0.0","0.0","0.0","26.01","25.5","336.8","168.4","310.8","311.3","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","3432.44","0.09","0.0","0.0","5.19","0.09","0.48","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","3432.44","0.09","0.0","0.0","5.22","0.09","0.48","0.0","0.0","0.0","0.0","25.98","25.5","336.8","168.4","310.82","311.3","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","3432.44","0.09","0.0","0.0","4.69","0.09","0.43","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","3432.44","0.09","0.0","0.0","4.31","0.09","0.39","0.0","0.0","0.0","0.0","25.89","25.5","336.8","168.4","310.91","311.3","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","3432.44","0.09","0.0","0.0","3.86","0.09","0.35","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","3432.44","0.09","0.0","0.0","4.22","0.09","0.38","0.0","0.0","0.0","0.0","25.88","25.5","336.8","168.4","310.92","311.3","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","3432.44","0.09","0.0","0.0","4.56","0.09","0.41","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","3432.44","0.09","0.0","0.0","4.72","0.09","0.43","0.0","0.0","0.0","0.0","25.93","25.5","336.8","168.4","310.88","311.3","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","3432.44","0.09","0.0","0.0","4.74","0.09","0.43","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","3432.44","0.09","0.0","0.0","4.65","0.09","0.42","0.0","0.0","0.0","0.0","25.92","25.5","336.8","168.4","310.89","311.3","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","3432.44","0.09","0.0","0.0","5.09","0.09","0.46","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","3432.44","0.09","0.0","0.0","5.49","0.09","0.49","0.0","0.0","0.0","0.0","25.99","25.5","336.8","168.4","310.81","311.3","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","3432.44","0.09","0.0","0.0","5.4","0.09","0.48","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","3432.44","0.09","0.0","0.0","4.35","0.09","0.39","0.0","0.0","0.0","0.0","25.89","25.5","336.8","168.4","310.92","311.3","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","3432.44","0.09","0.0","0.0","4.54","0.09","0.4","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","3432.44","0.09","0.0","0.0","4.49","0.09","0.4","0.0","0.0","0.0","0.0","25.9","25.5","336.8","168.4","310.91","311.3","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","3432.44","0.09","0.0","0.0","4.2","0.09","0.37","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","3432.44","0.09","0.0","0.0","4.51","0.09","0.4","0.0","0.0","0.0","0.0","25.9","25.5","336.8","168.4","310.91","311.3","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","3432.44","0.09","0.0","0.0","4.62","0.09","0.41","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","3432.44","0.09","0.0","0.0","4.51","0.09","0.4","0.0","0.0","0.0","0.0","25.9","25.5","336.8","168.4","310.91","311.3","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","3432.44","0.09","0.0","0.0","4.4","0.09","0.39","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","3432.44","0.09","0.0","0.0","3.46","0.09","0.3","1.26","1.26","0.0","0.0","24.54","25.5","336.8","168.4","312.26","311.3","0.0","","","","","","",""
