" Daily soil water balance output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","2229.73","0.13","1.0","0.0","7.26","1.0","7.24","0.0","0.0","0.0","0.0","114.89","150.42","601.67","300.83","486.78","451.25","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","2229.73","0.13","0.94","0.0","7.24","0.94","6.83","0.0","0.0","0.0","0.0","121.72","150.42","601.67","300.83","479.95","451.25","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","2229.73","0.13","0.89","0.0","7.51","0.89","6.68","0.0","0.0","0.0","0.0","128.41","150.42","601.67","300.83","473.26","451.25","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","2229.73","0.13","0.84","0.0","7.04","0.84","5.89","0.0","0.0","0.0","0.0","134.3","150.42","601.67","300.83","467.37","451.25","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","2229.73","0.12","0.78","0.0","6.26","0.78","4.9","0.0","0.0","0.0","0.0","139.2","150.42","601.67","300.83","462.47","451.25","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","2229.73","0.12","0.73","0.0","6.37","0.73","4.65","0.0","0.0","0.0","0.0","143.85","150.42","601.67","300.83","457.82","451.25","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","2229.73","0.12","0.68","0.0","6.44","0.68","4.36","0.0","0.0","0.0","0.0","148.21","150.42","601.67","300.83","453.46","451.25","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","2229.73","0.12","0.62","0.0","7.13","0.62","4.44","0.0","0.0","0.0","0.0","0.0","150.42","601.67","300.83","601.67","451.25","152.65","","","","","","",""
"2016.0","7.0","9.0","191.0","2229.73","0.12","0.57","0.0","6.55","0.57","3.73","0.0","0.0","0.0","0.0","3.73","150.42","601.67","300.83","597.94","451.25","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","2229.73","0.12","0.52","0.0","6.42","0.52","3.32","0.0","0.0","0.0","0.0","7.05","150.42","601.67","300.83","594.62","451.25","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","2229.73","0.12","0.46","0.0","7.21","0.46","3.34","0.0","0.0","0.0","0.0","10.39","150.42","601.67","300.83","591.28","451.25","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","2229.73","0.12","0.41","0.0","6.93","0.41","2.84","0.0","0.0","0.0","0.0","13.23","150.42","601.67","300.83","588.44","451.25","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","2229.73","0.12","0.36","0.0","7.3","0.36","2.6","0.0","0.0","0.0","0.0","15.84","150.42","601.67","300.83","585.83","451.25","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","2229.73","0.12","0.3","0.0","7.47","0.3","2.27","0.0","0.0","0.0","0.0","18.1","150.42","601.67","300.83","583.57","451.25","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","2229.73","0.12","0.25","0.0","7.42","0.25","1.86","0.0","0.0","0.0","0.0","19.96","150.42","601.67","300.83","581.71","451.25","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","2229.73","0.11","0.0","0.0","7.04","0.11","0.8","0.0","0.0","0.0","0.0","20.76","31.35","601.67","300.83","580.91","570.32","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","2229.73","0.11","0.0","0.0","6.77","0.11","0.77","0.0","0.0","0.0","0.0","21.53","31.35","601.67","300.83","580.14","570.32","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","2229.73","0.11","0.0","0.0","6.39","0.11","0.72","0.0","0.0","0.0","0.0","22.25","31.35","601.67","300.83","579.42","570.32","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","2229.73","0.11","0.0","0.0","6.61","0.11","0.74","0.0","0.0","0.0","0.0","22.99","31.35","601.67","300.83","578.68","570.32","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","2229.73","0.11","0.0","0.0","6.99","0.11","0.78","0.0","0.0","0.0","0.0","23.77","31.35","601.67","300.83","577.9","570.32","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","2229.73","0.11","0.0","0.0","7.31","0.11","0.81","0.0","0.0","0.0","0.0","24.58","31.35","601.67","300.83","577.09","570.32","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","2229.73","0.11","0.0","0.0","7.05","0.11","0.77","0.0","0.0","0.0","0.0","25.35","31.35","601.67","300.83","576.32","570.32","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","2229.73","0.11","0.0","0.0","7.68","0.11","0.84","0.0","0.0","0.0","0.0","26.19","31.35","601.67","300.83","575.48","570.32","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","2229.73","0.11","0.0","0.0","7.45","0.11","0.81","0.0","0.0","0.0","0.0","27.0","31.35","601.67","300.83","574.67","570.32","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","2229.73","0.11","0.0","0.0","7.34","0.11","0.79","0.0","0.0","0.0","0.0","27.78","31.35","601.67","300.83","573.88","570.32","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","2229.73","0.11","0.0","0.0","7.28","0.11","0.78","0.0","0.0","0.0","0.0","28.56","31.35","601.67","300.83","573.11","570.32","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","2229.73","0.11","0.0","0.0","7.81","0.11","0.83","0.0","0.0","0.0","0.0","29.39","31.35","601.67","300.83","572.28","570.32","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","2229.73","0.11","0.0","0.0","7.74","0.11","0.82","0.0","0.0","0.0","0.0","30.2","31.35","601.67","300.83","571.46","570.32","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","2229.73","0.1","0.0","0.0","7.69","0.1","0.8","0.0","0.0","0.0","0.0","31.01","31.35","601.67","300.83","570.66","570.32","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","2229.73","0.1","0.0","0.0","8.02","0.1","0.83","0.0","0.0","0.0","0.0","31.84","31.35","601.67","300.83","569.83","570.32","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","2229.73","0.1","0.0","0.0","7.16","0.1","0.74","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","2229.73","0.1","0.0","0.0","6.81","0.1","0.7","0.0","0.0","0.0","0.0","32.05","31.35","601.67","300.83","569.62","570.32","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","2229.73","0.1","0.0","0.0","6.63","0.1","0.68","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","2229.73","0.1","0.0","0.0","7.11","0.1","0.72","0.0","0.0","0.0","0.0","32.07","31.35","601.67","300.83","569.6","570.32","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","2229.73","0.1","0.0","0.0","6.21","0.1","0.63","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","2229.73","0.1","0.0","0.0","5.71","0.1","0.57","0.0","0.0","0.0","0.0","31.92","31.35","601.67","300.83","569.74","570.32","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","2229.73","0.1","0.0","0.0","6.04","0.1","0.6","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","2229.73","0.1","0.0","0.0","6.06","0.1","0.6","0.0","0.0","0.0","0.0","31.95","31.35","601.67","300.83","569.72","570.32","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","2229.73","0.1","0.0","0.0","6.5","0.1","0.64","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","2229.73","0.1","0.0","0.0","6.23","0.1","0.61","0.0","0.0","0.0","0.0","31.96","31.35","601.67","300.83","569.7","570.32","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","2229.73","0.1","0.0","0.0","6.33","0.1","0.62","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","2229.73","0.1","0.0","0.0","6.49","0.1","0.63","0.0","0.0","0.0","0.0","31.98","31.35","601.67","300.83","569.68","570.32","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","2229.73","0.1","0.0","0.0","6.71","0.1","0.65","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","2229.73","0.1","0.0","0.0","7.07","0.1","0.68","0.0","0.0","0.0","0.0","32.03","31.35","601.67","300.83","569.63","570.32","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","2229.73","0.1","0.0","0.0","7.29","0.1","0.7","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","2229.73","0.1","0.0","0.0","6.66","0.1","0.64","0.0","0.0","0.0","0.0","31.99","31.35","601.67","300.83","569.68","570.32","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","2229.73","0.1","0.0","0.0","6.67","0.1","0.64","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","2229.73","0.09","0.0","0.0","6.55","0.09","0.62","0.0","0.0","0.0","0.0","31.97","31.35","601.67","300.83","569.7","570.32","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","2229.73","0.09","0.0","0.0","6.51","0.09","0.62","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","2229.73","0.09","0.0","0.0","6.48","0.09","0.61","0.0","0.0","0.0","0.0","31.96","31.35","601.67","300.83","569.71","570.32","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","2229.73","0.09","0.0","0.0","6.39","0.09","0.6","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","2229.73","0.09","0.0","0.0","6.41","0.09","0.6","0.0","0.0","0.0","0.0","31.95","31.35","601.67","300.83","569.72","570.32","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","2229.73","0.09","0.0","0.0","6.18","0.09","0.57","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","2229.73","0.09","0.0","0.0","6.06","0.09","0.56","0.0","0.0","0.0","0.0","31.91","31.35","601.67","300.83","569.76","570.32","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","2229.73","0.09","0.0","0.0","5.99","0.09","0.55","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","2229.73","0.09","0.0","0.0","5.86","0.09","0.54","0.0","0.0","0.0","0.0","31.89","31.35","601.67","300.83","569.78","570.32","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","2229.73","0.09","0.0","0.0","5.48","0.09","0.5","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","2229.73","0.09","0.0","0.0","5.34","0.09","0.49","0.0","0.0","0.0","0.0","31.84","31.35","601.67","300.83","569.83","570.32","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","2229.73","0.09","0.0","0.0","5.69","0.09","0.52","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","2229.73","0.09","0.0","0.0","5.85","0.09","0.53","0.0","0.0","0.0","0.0","31.88","31.35","601.67","300.83","569.79","570.32","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","2229.73","0.09","0.0","0.0","6.27","0.09","0.57","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","2229.73","0.09","0.0","0.0","6.04","0.09","0.54","0.0","0.0","0.0","0.0","31.89","31.35","601.67","300.83","569.78","570.32","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","2229.73","0.09","0.0","0.0","5.2","0.09","0.47","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","2229.73","0.09","0.0","0.0","5.28","0.09","0.47","0.0","0.0","0.0","0.0","31.82","31.35","601.67","300.83","569.85","570.32","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","2229.73","0.09","0.0","0.0","5.28","0.09","0.47","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","2229.73","0.09","0.0","0.0","4.62","0.09","0.41","0.0","0.0","0.0","0.0","31.76","31.35","601.67","300.83","569.91","570.32","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","2229.73","0.09","0.0","0.0","5.38","0.09","0.48","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","2229.73","0.09","0.0","0.0","5.09","0.09","0.45","0.0","0.0","0.0","0.0","31.8","31.35","601.67","300.83","569.87","570.32","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","2229.73","0.09","0.0","0.0","5.71","0.09","0.5","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","2229.73","0.09","0.0","0.0","5.88","0.09","0.52","0.0","0.0","0.0","0.0","31.87","31.35","601.67","300.83","569.8","570.32","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","2229.73","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","2229.73","0.09","0.0","0.0","5.5","0.09","0.48","0.0","0.0","0.0","0.0","31.83","31.35","601.67","300.83","569.84","570.32","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","2229.73","0.09","0.0","0.0","4.98","0.09","0.43","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","2229.73","0.09","0.0","0.0","4.45","0.09","0.39","0.0","0.0","0.0","0.0","31.74","31.35","601.67","300.83","569.93","570.32","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","2229.73","0.09","0.0","0.0","3.88","0.09","0.34","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","2229.73","0.09","0.0","0.0","4.26","0.09","0.37","0.0","0.0","0.0","0.0","31.72","31.35","601.67","300.83","569.95","570.32","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","2229.73","0.09","0.0","0.0","4.66","0.09","0.4","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","2229.73","0.09","0.0","0.0","4.85","0.09","0.42","0.0","0.0","0.0","0.0","31.77","31.35","601.67","300.83","569.9","570.32","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","2229.73","0.09","0.0","0.0","4.9","0.09","0.42","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","2229.73","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","31.75","31.35","601.67","300.83","569.92","570.32","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","2229.73","0.09","0.0","0.0","5.26","0.09","0.45","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","2229.73","0.09","0.0","0.0","5.95","0.09","0.51","0.0","0.0","0.0","0.0","31.86","31.35","601.67","300.83","569.81","570.32","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","2229.73","0.08","0.0","0.0","5.65","0.08","0.48","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","2229.73","0.08","0.0","0.0","4.38","0.08","0.37","0.0","0.0","0.0","0.0","31.72","31.35","601.67","300.83","569.95","570.32","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","2229.73","0.08","0.0","0.0","4.65","0.08","0.39","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","2229.73","0.08","0.0","0.0","4.71","0.08","0.4","0.0","0.0","0.0","0.0","31.75","31.35","601.67","300.83","569.92","570.32","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","2229.73","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","2229.73","0.08","0.0","0.0","4.55","0.08","0.38","0.0","0.0","0.0","0.0","31.73","31.35","601.67","300.83","569.94","570.32","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","2229.73","0.08","0.0","0.0","4.71","0.08","0.39","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","2229.73","0.08","0.0","0.0","4.84","0.08","0.4","0.0","0.0","0.0","0.0","31.75","31.35","601.67","300.83","569.92","570.32","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","2229.73","0.08","0.0","0.0","4.79","0.08","0.4","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","2229.73","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","31.2","31.35","601.67","300.83","570.47","570.32","0.0","","","","","","",""
