" Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","875.57","0.13","1.0","0.0","7.51","1.0","7.51","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.51","","","","","","",""
"2016.0","7.0","4.0","186.0","875.57","0.13","1.0","0.0","7.04","1.0","7.04","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.04","","","","","","",""
"2016.0","7.0","5.0","187.0","875.57","0.12","1.0","0.0","6.26","1.0","6.26","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.26","","","","","","",""
"2016.0","7.0","6.0","188.0","875.57","0.12","1.0","0.0","6.37","1.0","6.37","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.37","","","","","","",""
"2016.0","7.0","7.0","189.0","875.57","0.12","1.0","0.0","6.44","1.0","6.44","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.44","","","","","","",""
"2016.0","7.0","8.0","190.0","875.57","0.12","1.0","0.0","7.13","1.0","7.13","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.13","","","","","","",""
"2016.0","7.0","9.0","191.0","875.57","0.12","1.0","0.0","6.55","1.0","6.55","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.55","","","","","","",""
"2016.0","7.0","10.0","192.0","875.57","0.12","1.0","0.0","6.42","1.0","6.42","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.42","","","","","","",""
"2016.0","7.0","11.0","193.0","875.57","0.12","1.0","0.0","7.21","1.0","7.21","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.21","","","","","","",""
"2016.0","7.0","12.0","194.0","875.57","0.12","1.0","0.0","6.93","1.0","6.93","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.93","","","","","","",""
"2016.0","7.0","13.0","195.0","875.57","0.12","1.0","0.0","7.3","1.0","7.3","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.3","","","","","","",""
"2016.0","7.0","14.0","196.0","875.57","0.12","1.0","0.0","7.47","1.0","7.47","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.47","","","","","","",""
"2016.0","7.0","15.0","197.0","875.57","0.12","1.0","0.0","7.42","1.0","7.42","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.42","","","","","","",""
"2016.0","7.0","16.0","198.0","875.57","0.11","1.0","0.0","7.04","1.0","7.04","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.04","","","","","","",""
"2016.0","7.0","17.0","199.0","875.57","0.11","1.0","0.0","6.77","1.0","6.77","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.77","","","","","","",""
"2016.0","7.0","18.0","200.0","875.57","0.11","1.0","0.0","6.39","1.0","6.39","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.39","","","","","","",""
"2016.0","7.0","19.0","201.0","875.57","0.11","1.0","0.0","6.61","1.0","6.61","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.61","","","","","","",""
"2016.0","7.0","20.0","202.0","875.57","0.11","1.0","0.0","6.99","1.0","6.99","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.99","","","","","","",""
"2016.0","7.0","21.0","203.0","875.57","0.11","1.0","0.0","7.31","1.0","7.31","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.31","","","","","","",""
"2016.0","7.0","22.0","204.0","875.57","0.11","1.0","0.0","7.05","1.0","7.05","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.05","","","","","","",""
"2016.0","7.0","23.0","205.0","875.57","0.11","1.0","0.0","7.68","1.0","7.68","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.68","","","","","","",""
"2016.0","7.0","24.0","206.0","875.57","0.11","1.0","0.0","7.45","1.0","7.45","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.45","","","","","","",""
"2016.0","7.0","25.0","207.0","875.57","0.11","1.0","0.0","7.34","1.0","7.34","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.34","","","","","","",""
"2016.0","7.0","26.0","208.0","875.57","0.11","1.0","0.0","7.28","1.0","7.28","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.28","","","","","","",""
"2016.0","7.0","27.0","209.0","875.57","0.11","1.0","0.0","7.81","1.0","7.81","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.81","","","","","","",""
"2016.0","7.0","28.0","210.0","875.57","0.11","1.0","0.0","7.74","1.0","7.74","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.74","","","","","","",""
"2016.0","7.0","29.0","211.0","875.57","0.1","1.0","0.0","7.69","1.0","7.69","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.69","","","","","","",""
"2016.0","7.0","30.0","212.0","875.57","0.1","1.0","0.0","8.02","1.0","8.02","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","8.02","","","","","","",""
"2016.0","7.0","31.0","213.0","875.57","0.1","1.0","0.0","7.16","1.0","7.16","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.16","","","","","","",""
"2016.0","8.0","1.0","214.0","875.57","0.1","1.0","0.0","6.81","1.0","6.81","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.81","","","","","","",""
"2016.0","8.0","2.0","215.0","875.57","0.1","1.0","0.0","6.63","1.0","6.63","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.63","","","","","","",""
"2016.0","8.0","3.0","216.0","875.57","0.1","1.0","0.0","7.11","1.0","7.11","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.11","","","","","","",""
"2016.0","8.0","4.0","217.0","875.57","0.1","1.0","0.0","6.21","1.0","6.21","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.21","","","","","","",""
"2016.0","8.0","5.0","218.0","875.57","0.1","1.0","0.0","5.71","1.0","5.71","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.71","","","","","","",""
"2016.0","8.0","6.0","219.0","875.57","0.1","1.0","0.0","6.04","1.0","6.04","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.04","","","","","","",""
"2016.0","8.0","7.0","220.0","875.57","0.1","1.0","0.0","6.06","1.0","6.06","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.06","","","","","","",""
"2016.0","8.0","8.0","221.0","875.57","0.1","1.0","0.0","6.5","1.0","6.5","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.5","","","","","","",""
"2016.0","8.0","9.0","222.0","875.57","0.1","1.0","0.0","6.23","1.0","6.23","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.23","","","","","","",""
"2016.0","8.0","10.0","223.0","875.57","0.1","1.0","0.0","6.33","1.0","6.33","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.33","","","","","","",""
"2016.0","8.0","11.0","224.0","875.57","0.1","1.0","0.0","6.49","1.0","6.49","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.49","","","","","","",""
"2016.0","8.0","12.0","225.0","875.57","0.1","1.0","0.0","6.71","1.0","6.71","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.71","","","","","","",""
"2016.0","8.0","13.0","226.0","875.57","0.1","1.0","0.0","7.07","1.0","7.07","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.07","","","","","","",""
"2016.0","8.0","14.0","227.0","875.57","0.1","1.0","0.0","7.29","1.0","7.29","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","7.29","","","","","","",""
"2016.0","8.0","15.0","228.0","875.57","0.1","1.0","0.0","6.66","1.0","6.66","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.66","","","","","","",""
"2016.0","8.0","16.0","229.0","875.57","0.1","1.0","0.0","6.67","1.0","6.67","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.67","","","","","","",""
"2016.0","8.0","17.0","230.0","875.57","0.09","1.0","0.0","6.55","1.0","6.55","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.55","","","","","","",""
"2016.0","8.0","18.0","231.0","875.57","0.09","1.0","0.0","6.51","1.0","6.51","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.51","","","","","","",""
"2016.0","8.0","19.0","232.0","875.57","0.09","1.0","0.0","6.48","1.0","6.48","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.48","","","","","","",""
"2016.0","8.0","20.0","233.0","875.57","0.09","1.0","0.0","6.39","1.0","6.39","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.39","","","","","","",""
"2016.0","8.0","21.0","234.0","875.57","0.09","1.0","0.0","6.41","1.0","6.41","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.41","","","","","","",""
"2016.0","8.0","22.0","235.0","875.57","0.09","1.0","0.0","6.18","1.0","6.18","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.18","","","","","","",""
"2016.0","8.0","23.0","236.0","875.57","0.09","1.0","0.0","6.06","1.0","6.06","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.06","","","","","","",""
"2016.0","8.0","24.0","237.0","875.57","0.09","1.0","0.0","5.99","1.0","5.99","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.99","","","","","","",""
"2016.0","8.0","25.0","238.0","875.57","0.09","1.0","0.0","5.86","1.0","5.86","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.86","","","","","","",""
"2016.0","8.0","26.0","239.0","875.57","0.09","1.0","0.0","5.48","1.0","5.48","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.48","","","","","","",""
"2016.0","8.0","27.0","240.0","875.57","0.09","1.0","0.0","5.34","1.0","5.34","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.34","","","","","","",""
"2016.0","8.0","28.0","241.0","875.57","0.09","1.0","0.0","5.69","1.0","5.69","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.69","","","","","","",""
"2016.0","8.0","29.0","242.0","875.57","0.09","1.0","0.0","5.85","1.0","5.85","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.85","","","","","","",""
"2016.0","8.0","30.0","243.0","875.57","0.09","1.0","0.0","6.27","1.0","6.27","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.27","","","","","","",""
"2016.0","8.0","31.0","244.0","875.57","0.09","1.0","0.0","6.04","1.0","6.04","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","6.04","","","","","","",""
"2016.0","9.0","1.0","245.0","875.57","0.09","1.0","0.0","5.2","1.0","5.2","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.2","","","","","","",""
"2016.0","9.0","2.0","246.0","875.57","0.09","1.0","0.0","5.28","1.0","5.28","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.28","","","","","","",""
"2016.0","9.0","3.0","247.0","875.57","0.09","1.0","0.0","5.28","1.0","5.28","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.28","","","","","","",""
"2016.0","9.0","4.0","248.0","875.57","0.09","1.0","0.0","4.62","1.0","4.62","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.62","","","","","","",""
"2016.0","9.0","5.0","249.0","875.57","0.09","1.0","0.0","5.38","1.0","5.38","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.38","","","","","","",""
"2016.0","9.0","6.0","250.0","875.57","0.09","1.0","0.0","5.09","1.0","5.09","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.09","","","","","","",""
"2016.0","9.0","7.0","251.0","875.57","0.09","1.0","0.0","5.71","1.0","5.71","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.71","","","","","","",""
"2016.0","9.0","8.0","252.0","875.57","0.09","1.0","0.0","5.88","1.0","5.88","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.88","","","","","","",""
"2016.0","9.0","9.0","253.0","875.57","0.09","1.0","0.0","5.42","1.0","5.42","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.42","","","","","","",""
"2016.0","9.0","10.0","254.0","875.57","0.09","1.0","0.0","5.5","1.0","5.5","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.5","","","","","","",""
"2016.0","9.0","11.0","255.0","875.57","0.09","1.0","0.0","4.98","1.0","4.98","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.98","","","","","","",""
"2016.0","9.0","12.0","256.0","875.57","0.09","1.0","0.0","4.45","1.0","4.45","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.45","","","","","","",""
"2016.0","9.0","13.0","257.0","875.57","0.09","0.99","0.0","3.88","0.99","3.83","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","3.83","","","","","","",""
"2016.0","9.0","14.0","258.0","875.57","0.09","0.98","0.0","4.26","0.98","4.16","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.16","","","","","","",""
"2016.0","9.0","15.0","259.0","875.57","0.09","0.96","0.0","4.66","0.96","4.5","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.5","","","","","","",""
"2016.0","9.0","16.0","260.0","875.57","0.09","0.95","0.0","4.85","0.95","4.62","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.62","","","","","","",""
"2016.0","9.0","17.0","261.0","875.57","0.09","0.94","0.0","4.9","0.94","4.61","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.61","","","","","","",""
"2016.0","9.0","18.0","262.0","875.57","0.09","0.93","0.0","4.71","0.93","4.38","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.38","","","","","","",""
"2016.0","9.0","19.0","263.0","875.57","0.09","0.92","0.0","5.26","0.92","4.83","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.83","","","","","","",""
"2016.0","9.0","20.0","264.0","875.57","0.09","0.91","0.0","5.95","0.91","5.39","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.39","","","","","","",""
"2016.0","9.0","21.0","265.0","875.57","0.08","0.89","0.0","5.65","0.89","5.05","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","5.05","","","","","","",""
"2016.0","9.0","22.0","266.0","875.57","0.08","0.88","0.0","4.38","0.88","3.86","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","3.86","","","","","","",""
"2016.0","9.0","23.0","267.0","875.57","0.08","0.87","0.0","4.65","0.87","4.05","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.05","","","","","","",""
"2016.0","9.0","24.0","268.0","875.57","0.08","0.86","0.0","4.71","0.86","4.05","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","4.05","","","","","","",""
"2016.0","9.0","25.0","269.0","875.57","0.08","0.85","0.0","4.31","0.85","3.65","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","3.65","","","","","","",""
"2016.0","9.0","26.0","270.0","875.57","0.08","0.84","0.0","4.55","0.84","3.8","0.0","0.0","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","3.8","","","","","","",""
"2016.0","9.0","27.0","271.0","875.57","0.08","0.82","0.0","4.71","0.82","3.88","0.0","0.0","0.0","0.0","3.88","28.5","231.65","115.82","227.77","203.15","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","875.57","0.08","0.81","0.0","4.84","0.81","3.93","0.0","0.0","0.0","0.0","7.81","28.5","231.65","115.82","223.84","203.15","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","875.57","0.08","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","11.64","28.5","231.65","115.82","220.01","203.15","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","875.57","0.08","0.79","0.0","3.68","0.79","2.9","0.46","0.46","0.0","0.0","14.08","28.5","231.65","115.82","217.57","203.15","0.0","","","","","","",""
