" Daily soil water balance output for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","483.26","0.14","1.02","0.0","7.01","1.02","7.18","0.0","0.0","0.0","0.0","57.73","101.2","474.62","237.31","416.89","373.41","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","483.26","0.14","1.03","0.0","6.57","1.03","6.77","0.0","0.0","0.0","0.0","64.5","101.2","474.62","237.31","410.12","373.41","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","483.26","0.13","1.04","0.0","5.91","1.04","6.12","0.0","0.0","0.0","0.0","70.62","101.2","474.62","237.31","404.0","373.41","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","483.26","0.13","1.04","0.0","6.04","1.04","6.29","0.0","0.0","0.0","0.0","76.91","101.2","474.62","237.31","397.71","373.41","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","483.26","0.13","1.05","0.0","6.16","1.05","6.46","0.0","0.0","0.0","0.0","83.37","101.2","474.62","237.31","391.25","373.41","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","483.26","0.13","1.05","0.0","6.78","1.05","7.15","0.0","0.0","0.0","0.0","90.51","101.2","474.62","237.31","384.1","373.41","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","483.26","0.13","1.06","0.0","6.33","1.06","6.71","0.0","0.0","0.0","0.0","97.22","101.2","474.62","237.31","377.39","373.41","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","483.26","0.13","1.07","0.0","6.31","1.07","6.73","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","103.95","","","","","","",""
"2016.0","7.0","11.0","193.0","483.26","0.13","1.07","0.0","6.98","1.07","7.48","0.0","0.0","0.0","0.0","7.48","101.2","474.62","237.31","467.14","373.41","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","483.26","0.13","1.08","0.0","6.6","1.08","7.11","0.0","0.0","0.0","0.0","14.6","101.2","474.62","237.31","460.02","373.41","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","483.26","0.13","1.08","0.0","6.97","1.08","7.56","0.0","0.0","0.0","0.0","22.15","101.2","474.62","237.31","452.47","373.41","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","483.26","0.12","1.09","0.0","7.11","1.09","7.75","0.0","0.0","0.0","0.0","29.9","101.2","474.62","237.31","444.72","373.41","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","483.26","0.12","1.1","0.0","6.93","1.1","7.6","0.0","0.0","0.0","0.0","37.5","101.2","474.62","237.31","437.12","373.41","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","483.26","0.12","1.1","0.0","6.59","1.1","7.26","0.0","0.0","0.0","0.0","44.76","101.2","474.62","237.31","429.86","373.41","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","483.26","0.12","1.11","0.0","6.32","1.11","7.0","0.0","0.0","0.0","0.0","51.76","101.2","474.62","237.31","422.86","373.41","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","483.26","0.12","1.11","0.0","6.04","1.11","6.73","0.0","0.0","0.0","0.0","58.49","101.2","474.62","237.31","416.13","373.41","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","483.26","0.12","1.12","0.0","6.33","1.12","7.09","0.0","0.0","0.0","0.0","65.58","101.2","474.62","237.31","409.04","373.41","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","483.26","0.12","1.13","0.0","6.77","1.13","7.62","0.0","0.0","0.0","0.0","73.2","101.2","474.62","237.31","401.41","373.41","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","483.26","0.12","1.13","0.0","6.91","1.13","7.82","0.0","0.0","0.0","0.0","81.03","101.2","474.62","237.31","393.59","373.41","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","483.26","0.12","1.14","0.0","6.81","1.14","7.75","0.0","0.0","0.0","0.0","88.78","101.2","474.62","237.31","385.84","373.41","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","483.26","0.12","1.14","0.0","7.41","1.14","8.48","0.0","0.0","0.0","0.0","97.25","101.2","474.62","237.31","377.37","373.41","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","483.26","0.12","1.15","0.0","7.14","1.15","8.21","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","105.46","","","","","","",""
"2016.0","7.0","25.0","207.0","483.26","0.11","1.15","0.0","6.89","1.15","7.92","0.0","0.0","0.0","0.0","7.92","101.2","474.62","237.31","466.69","373.41","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","483.26","0.11","1.15","0.0","7.01","1.15","8.06","0.0","0.0","0.0","0.0","15.99","101.2","474.62","237.31","458.63","373.41","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","483.26","0.11","1.15","0.0","7.35","1.15","8.45","0.0","0.0","0.0","0.0","24.44","101.2","474.62","237.31","450.18","373.41","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","483.26","0.11","1.15","0.0","7.27","1.15","8.36","0.0","0.0","0.0","0.0","32.8","101.2","474.62","237.31","441.82","373.41","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","483.26","0.11","1.15","0.0","7.1","1.15","8.17","0.0","0.0","0.0","0.0","40.96","101.2","474.62","237.31","433.66","373.41","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","483.26","0.11","1.15","0.0","7.36","1.15","8.46","0.0","0.0","0.0","0.0","49.43","101.2","474.62","237.31","425.19","373.41","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","483.26","0.11","1.15","0.0","6.54","1.15","7.52","0.0","0.0","0.0","0.0","56.95","101.2","474.62","237.31","417.67","373.41","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","483.26","0.11","1.15","0.0","6.31","1.15","7.26","0.0","0.0","0.0","0.0","64.2","101.2","474.62","237.31","410.41","373.41","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","483.26","0.11","1.15","0.0","6.3","1.15","7.25","0.0","0.0","0.0","0.0","71.45","101.2","474.62","237.31","403.17","373.41","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","483.26","0.11","1.15","0.0","6.63","1.15","7.62","0.0","0.0","0.0","0.0","79.07","101.2","474.62","237.31","395.54","373.41","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","483.26","0.11","1.15","0.0","5.71","1.15","6.57","0.0","0.0","0.0","0.0","85.64","101.2","474.62","237.31","388.98","373.41","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","483.26","0.11","1.15","0.0","5.44","1.15","6.26","0.0","0.0","0.0","0.0","91.9","101.2","474.62","237.31","382.72","373.41","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","483.26","0.11","1.15","0.0","5.68","1.15","6.53","0.0","0.0","0.0","0.0","98.43","101.2","474.62","237.31","376.19","373.41","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","483.26","0.11","1.15","0.0","5.85","1.15","6.73","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","105.16","","","","","","",""
"2016.0","8.0","8.0","221.0","483.26","0.11","1.15","0.0","6.22","1.15","7.15","0.0","0.0","0.0","0.0","7.15","101.2","474.62","237.31","467.47","373.41","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","483.26","0.1","1.15","0.0","5.96","1.15","6.85","0.0","0.0","0.0","0.0","14.01","101.2","474.62","237.31","460.61","373.41","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","483.26","0.1","1.15","0.0","6.0","1.15","6.9","0.0","0.0","0.0","0.0","20.91","101.2","474.62","237.31","453.71","373.41","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","483.26","0.1","1.15","0.0","6.14","1.15","7.06","0.0","0.0","0.0","0.0","27.97","101.2","474.62","237.31","446.65","373.41","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","483.26","0.1","1.15","0.0","6.32","1.15","7.27","0.0","0.0","0.0","0.0","35.24","101.2","474.62","237.31","439.38","373.41","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","483.26","0.1","1.15","0.0","6.75","1.15","7.76","0.0","0.0","0.0","0.0","43.0","101.2","474.62","237.31","431.62","373.41","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","483.26","0.1","1.15","0.0","6.91","1.15","7.95","0.0","0.0","0.0","0.0","50.95","101.2","474.62","237.31","423.67","373.41","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","483.26","0.1","1.15","0.0","6.22","1.15","7.15","0.0","0.0","0.0","0.0","58.1","101.2","474.62","237.31","416.52","373.41","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","483.26","0.1","1.15","0.0","6.25","1.15","7.19","0.0","0.0","0.0","0.0","65.29","101.2","474.62","237.31","409.33","373.41","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","483.26","0.1","1.15","0.0","6.17","1.15","7.1","0.0","0.0","0.0","0.0","72.38","101.2","474.62","237.31","402.24","373.41","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","483.26","0.1","1.15","0.0","6.13","1.15","7.05","0.0","0.0","0.0","0.0","79.43","101.2","474.62","237.31","395.19","373.41","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","483.26","0.1","1.15","0.0","6.11","1.15","7.03","0.0","0.0","0.0","0.0","86.46","101.2","474.62","237.31","388.16","373.41","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","483.26","0.1","1.15","0.0","5.97","1.15","6.87","0.0","0.0","0.0","0.0","93.32","101.2","474.62","237.31","381.3","373.41","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","483.26","0.1","1.15","0.0","6.06","1.15","6.97","0.0","0.0","0.0","0.0","100.29","101.2","474.62","237.31","374.33","373.41","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","483.26","0.1","1.15","0.0","5.78","1.15","6.65","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","106.94","","","","","","",""
"2016.0","8.0","23.0","236.0","483.26","0.1","1.15","0.0","5.78","1.15","6.65","0.0","0.0","0.0","0.0","6.65","101.2","474.62","237.31","467.97","373.41","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","483.26","0.1","1.15","0.0","5.68","1.15","6.53","0.0","0.0","0.0","0.0","13.18","101.2","474.62","237.31","461.44","373.41","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","483.26","0.1","1.15","0.0","5.45","1.15","6.27","0.0","0.0","0.0","0.0","19.45","101.2","474.62","237.31","455.17","373.41","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","483.26","0.1","1.15","0.0","5.13","1.15","5.9","0.0","0.0","0.0","0.0","25.35","101.2","474.62","237.31","449.27","373.41","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","483.26","0.1","1.15","0.0","5.07","1.15","5.83","0.0","0.0","0.0","0.0","31.18","101.2","474.62","237.31","443.44","373.41","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","483.26","0.1","1.15","0.0","5.37","1.15","6.18","0.0","0.0","0.0","0.0","37.35","101.2","474.62","237.31","437.27","373.41","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","483.26","0.1","1.15","0.0","5.55","1.15","6.38","0.0","0.0","0.0","0.0","43.73","101.2","474.62","237.31","430.88","373.41","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","483.26","0.1","1.15","0.0","6.02","1.15","6.92","0.0","0.0","0.0","0.0","50.66","101.2","474.62","237.31","423.96","373.41","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","483.26","0.09","1.15","0.0","5.79","1.15","6.66","0.0","0.0","0.0","0.0","57.32","101.2","474.62","237.31","417.3","373.41","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","483.26","0.09","1.15","0.0","5.01","1.15","5.76","0.0","0.0","0.0","0.0","63.08","101.2","474.62","237.31","411.54","373.41","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","483.26","0.09","1.15","0.0","5.11","1.15","5.88","0.0","0.0","0.0","0.0","68.95","101.2","474.62","237.31","405.66","373.41","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","483.26","0.09","1.15","0.0","5.0","1.15","5.75","0.0","0.0","0.0","0.0","74.7","101.2","474.62","237.31","399.91","373.41","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","483.26","0.09","1.15","0.0","4.55","1.15","5.23","0.0","0.0","0.0","0.0","79.94","101.2","474.62","237.31","394.68","373.41","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","483.26","0.09","1.15","0.0","5.22","1.15","6.0","0.0","0.0","0.0","0.0","85.94","101.2","474.62","237.31","388.68","373.41","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","483.26","0.09","1.15","0.0","4.99","1.15","5.74","0.0","0.0","0.0","0.0","91.68","101.2","474.62","237.31","382.94","373.41","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","483.26","0.09","1.15","0.0","5.6","1.15","6.44","0.0","0.0","0.0","0.0","98.12","101.2","474.62","237.31","376.5","373.41","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","483.26","0.09","1.15","0.0","5.47","1.15","6.29","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","104.41","","","","","","",""
"2016.0","9.0","9.0","253.0","483.26","0.09","1.15","0.0","5.19","1.15","5.97","0.0","0.0","0.0","0.0","5.97","101.2","474.62","237.31","468.65","373.41","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","483.26","0.09","1.15","0.0","5.22","1.15","6.0","0.0","0.0","0.0","0.0","11.97","101.2","474.62","237.31","462.65","373.41","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","483.26","0.09","1.15","0.0","4.69","1.15","5.39","0.0","0.0","0.0","0.0","17.37","101.2","474.62","237.31","457.25","373.41","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","483.26","0.09","1.14","0.0","4.31","1.14","4.93","0.0","0.0","0.0","0.0","22.29","101.2","474.62","237.31","452.33","373.41","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","483.26","0.09","1.14","0.0","3.86","1.14","4.38","0.0","0.0","0.0","0.0","26.68","101.2","474.62","237.31","447.94","373.41","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","483.26","0.09","1.13","0.0","4.22","1.13","4.76","0.0","0.0","0.0","0.0","31.44","101.2","474.62","237.31","443.18","373.41","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","483.26","0.09","1.12","0.0","4.56","1.12","5.12","0.0","0.0","0.0","0.0","36.56","101.2","474.62","237.31","438.06","373.41","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","483.26","0.09","1.12","0.0","4.72","1.12","5.26","0.0","0.0","0.0","0.0","41.82","101.2","474.62","237.31","432.8","373.41","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","483.26","0.09","1.11","0.0","4.74","1.11","5.25","0.0","0.0","0.0","0.0","47.07","101.2","474.62","237.31","427.55","373.41","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","483.26","0.09","1.1","0.0","4.65","1.1","5.12","0.0","0.0","0.0","0.0","52.19","101.2","474.62","237.31","422.43","373.41","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","483.26","0.09","1.09","0.0","5.09","1.09","5.57","0.0","0.0","0.0","0.0","57.76","101.2","474.62","237.31","416.86","373.41","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","483.26","0.09","1.09","0.0","5.49","1.09","5.97","0.0","0.0","0.0","0.0","63.73","101.2","474.62","237.31","410.89","373.41","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","483.26","0.09","1.08","0.0","5.4","1.08","5.83","0.0","0.0","0.0","0.0","69.56","101.2","474.62","237.31","405.06","373.41","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","483.26","0.09","1.07","0.0","4.35","1.07","4.67","0.0","0.0","0.0","0.0","74.23","101.2","474.62","237.31","400.39","373.41","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","483.26","0.09","1.07","0.0","4.54","1.07","4.84","0.0","0.0","0.0","0.0","79.07","118.65","474.62","237.31","395.55","355.96","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","483.26","0.09","1.06","0.0","4.49","1.06","4.75","0.0","0.0","0.0","0.0","83.82","118.65","474.62","237.31","390.8","355.96","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","483.26","0.09","1.05","0.0","4.2","1.05","4.42","0.0","0.0","0.0","0.0","88.24","118.65","474.62","237.31","386.38","355.96","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","483.26","0.09","1.05","0.0","4.51","1.05","4.71","0.0","0.0","0.0","0.0","92.95","118.65","474.62","237.31","381.67","355.96","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","483.26","0.09","1.04","0.0","4.62","1.04","4.8","0.0","0.0","0.0","0.0","97.75","118.65","474.62","237.31","376.87","355.96","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","483.26","0.09","1.03","0.0","4.51","1.03","4.65","0.0","0.0","0.0","0.0","102.4","118.65","474.62","237.31","372.22","355.96","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","483.26","0.09","1.02","0.0","4.4","1.02","4.51","0.0","0.0","0.0","0.0","106.9","118.65","474.62","237.31","367.71","355.96","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","483.26","0.09","1.02","0.0","3.46","1.02","3.52","1.26","1.26","0.0","0.0","109.16","118.65","474.62","237.31","365.46","355.96","0.0","","","","","","",""
