" Daily soil water balance output for Tomato in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","1807.62","0.13","1.1","0.0","7.26","1.1","7.99","0.0","0.0","0.0","0.0","50.58","74.85","347.32","173.66","296.74","272.47","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","1807.62","0.13","1.1","0.0","7.24","1.1","7.96","0.0","0.0","0.0","0.0","58.54","74.85","347.32","173.66","288.78","272.47","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","1807.62","0.13","1.1","0.0","7.51","1.1","8.26","0.0","0.0","0.0","0.0","66.8","74.85","347.32","173.66","280.52","272.47","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","1807.62","0.13","1.1","0.0","7.04","1.1","7.74","0.0","0.0","0.0","0.0","74.55","74.85","347.32","173.66","272.77","272.47","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","1807.62","0.12","1.1","0.0","6.26","1.1","6.89","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","81.43","","","","","","",""
"2016.0","7.0","6.0","188.0","1807.62","0.12","1.1","0.0","6.37","1.1","7.01","0.0","0.0","0.0","0.0","7.01","74.85","347.32","173.66","340.31","272.47","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","1807.62","0.12","1.1","0.0","6.44","1.1","7.08","0.0","0.0","0.0","0.0","14.09","74.85","347.32","173.66","333.23","272.47","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","1807.62","0.12","1.1","0.0","7.13","1.1","7.84","0.0","0.0","0.0","0.0","21.93","74.85","347.32","173.66","325.39","272.47","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","1807.62","0.12","1.1","0.0","6.55","1.1","7.21","0.0","0.0","0.0","0.0","29.14","74.85","347.32","173.66","318.18","272.47","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","1807.62","0.12","1.1","0.0","6.42","1.1","7.06","0.0","0.0","0.0","0.0","36.2","74.85","347.32","173.66","311.12","272.47","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","1807.62","0.12","1.1","0.0","7.21","1.1","7.93","0.0","0.0","0.0","0.0","44.13","74.85","347.32","173.66","303.19","272.47","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","1807.62","0.12","1.1","0.0","6.93","1.1","7.62","0.0","0.0","0.0","0.0","51.76","74.85","347.32","173.66","295.57","272.47","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","1807.62","0.12","1.1","0.0","7.3","1.1","8.03","0.0","0.0","0.0","0.0","59.79","74.85","347.32","173.66","287.54","272.47","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","1807.62","0.12","1.1","0.0","7.47","1.1","8.22","0.0","0.0","0.0","0.0","68.0","74.85","347.32","173.66","279.32","272.47","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","1807.62","0.12","1.1","0.0","7.42","1.1","8.16","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","76.16","","","","","","",""
"2016.0","7.0","16.0","198.0","1807.62","0.11","1.1","0.0","7.04","1.1","7.74","0.0","0.0","0.0","0.0","7.74","74.85","347.32","173.66","339.58","272.47","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","1807.62","0.11","1.1","0.0","6.77","1.1","7.45","0.0","0.0","0.0","0.0","15.19","74.85","347.32","173.66","332.13","272.47","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","1807.62","0.11","1.1","0.0","6.39","1.1","7.03","0.0","0.0","0.0","0.0","22.22","74.85","347.32","173.66","325.1","272.47","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","1807.62","0.11","1.1","0.0","6.61","1.1","7.27","0.0","0.0","0.0","0.0","29.49","74.85","347.32","173.66","317.83","272.47","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","1807.62","0.11","1.1","0.0","6.99","1.1","7.69","0.0","0.0","0.0","0.0","37.18","74.85","347.32","173.66","310.14","272.47","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","1807.62","0.11","1.1","0.0","7.31","1.1","8.04","0.0","0.0","0.0","0.0","45.22","74.85","347.32","173.66","302.1","272.47","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","1807.62","0.11","1.1","0.0","7.05","1.1","7.76","0.0","0.0","0.0","0.0","52.98","74.85","347.32","173.66","294.34","272.47","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","1807.62","0.11","1.1","0.0","7.68","1.1","8.45","0.0","0.0","0.0","0.0","61.42","74.85","347.32","173.66","285.9","272.47","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","1807.62","0.11","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","69.62","74.85","347.32","173.66","277.7","272.47","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","1807.62","0.11","1.1","0.0","7.34","1.1","8.07","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","77.69","","","","","","",""
"2016.0","7.0","26.0","208.0","1807.62","0.11","1.1","0.0","7.28","1.1","8.01","0.0","0.0","0.0","0.0","8.01","74.85","347.32","173.66","339.31","272.47","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","1807.62","0.11","1.1","0.0","7.81","1.1","8.59","0.0","0.0","0.0","0.0","16.6","74.85","347.32","173.66","330.72","272.47","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","1807.62","0.11","1.1","0.0","7.74","1.1","8.51","0.0","0.0","0.0","0.0","25.11","74.85","347.32","173.66","322.21","272.47","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","1807.62","0.1","1.1","0.0","7.69","1.1","8.46","0.0","0.0","0.0","0.0","33.57","74.85","347.32","173.66","313.75","272.47","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","1807.62","0.1","1.1","0.0","8.02","1.1","8.82","0.0","0.0","0.0","0.0","42.39","74.85","347.32","173.66","304.93","272.47","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","1807.62","0.1","1.1","0.0","7.16","1.1","7.88","0.0","0.0","0.0","0.0","50.27","74.85","347.32","173.66","297.05","272.47","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","1807.62","0.1","1.1","0.0","6.81","1.1","7.49","0.0","0.0","0.0","0.0","57.76","74.85","347.32","173.66","289.56","272.47","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","1807.62","0.1","1.08","0.0","6.63","1.08","7.18","0.0","0.0","0.0","0.0","64.94","74.85","347.32","173.66","282.38","272.47","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","1807.62","0.1","1.07","0.0","7.11","1.07","7.58","0.0","0.0","0.0","0.0","72.53","74.85","347.32","173.66","274.79","272.47","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","1807.62","0.1","1.05","0.0","6.21","1.05","6.52","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","79.05","","","","","","",""
"2016.0","8.0","5.0","218.0","1807.62","0.1","1.03","0.0","5.71","1.03","5.9","0.0","0.0","0.0","0.0","5.9","74.85","347.32","173.66","341.42","272.47","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","1807.62","0.1","1.02","0.0","6.04","1.02","6.14","0.0","0.0","0.0","0.0","12.04","74.85","347.32","173.66","335.28","272.47","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","1807.62","0.1","1.0","0.0","6.06","1.0","6.06","0.0","0.0","0.0","0.0","18.1","74.85","347.32","173.66","329.22","272.47","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","1807.62","0.1","0.98","0.0","6.5","0.98","6.39","0.0","0.0","0.0","0.0","24.49","74.85","347.32","173.66","322.83","272.47","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","1807.62","0.1","0.97","0.0","6.23","0.97","6.02","0.0","0.0","0.0","0.0","30.52","74.85","347.32","173.66","316.81","272.47","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","1807.62","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","36.53","74.85","347.32","173.66","310.79","272.47","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","1807.62","0.1","0.93","0.0","6.49","0.93","6.06","0.0","0.0","0.0","0.0","42.59","74.85","347.32","173.66","304.73","272.47","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","1807.62","0.1","0.92","0.0","6.71","0.92","6.15","0.0","0.0","0.0","0.0","48.74","74.85","347.32","173.66","298.58","272.47","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","1807.62","0.1","0.9","0.0","7.07","0.9","6.36","0.0","0.0","0.0","0.0","55.1","74.85","347.32","173.66","292.22","272.47","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","1807.62","0.1","0.88","0.0","7.29","0.88","6.44","0.0","0.0","0.0","0.0","61.54","86.83","347.32","173.66","285.78","260.49","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","1807.62","0.1","0.87","0.0","6.66","0.87","5.77","0.0","0.0","0.0","0.0","67.31","86.83","347.32","173.66","280.01","260.49","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","1807.62","0.1","0.85","0.0","6.67","0.85","5.67","0.0","0.0","0.0","0.0","72.98","86.83","347.32","173.66","274.34","260.49","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","1807.62","0.09","0.83","0.0","6.55","0.83","5.46","0.0","0.0","0.0","0.0","78.44","86.83","347.32","173.66","268.88","260.49","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","1807.62","0.09","0.82","0.0","6.51","0.82","5.32","0.0","0.0","0.0","0.0","83.76","86.83","347.32","173.66","263.56","260.49","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","1807.62","0.09","0.8","0.0","6.48","0.8","5.18","0.0","0.0","0.0","0.0","0.0","86.83","347.32","173.66","347.32","260.49","88.94","","","","","","",""
"2016.0","8.0","20.0","233.0","1807.62","0.09","0.78","0.0","6.39","0.78","5.01","0.0","0.0","0.0","0.0","5.01","86.83","347.32","173.66","342.31","260.49","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","1807.62","0.09","0.77","0.0","6.41","0.77","4.91","0.0","0.0","0.0","0.0","9.92","86.83","347.32","173.66","337.4","260.49","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","1807.62","0.09","0.75","0.0","6.18","0.75","4.63","0.0","0.0","0.0","0.0","14.55","86.83","347.32","173.66","332.77","260.49","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","1807.62","0.09","0.73","0.0","6.06","0.73","4.44","0.0","0.0","0.0","0.0","19.0","86.83","347.32","173.66","328.32","260.49","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","1807.62","0.09","0.72","0.0","5.99","0.72","4.29","0.0","0.0","0.0","0.0","23.29","86.83","347.32","173.66","324.03","260.49","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","1807.62","0.09","0.7","0.0","5.86","0.7","4.1","0.0","0.0","0.0","0.0","27.39","86.83","347.32","173.66","319.93","260.49","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","1807.62","0.09","0.68","0.0","5.48","0.68","3.74","0.0","0.0","0.0","0.0","31.14","86.83","347.32","173.66","316.18","260.49","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","1807.62","0.09","0.67","0.0","5.34","0.67","3.56","0.0","0.0","0.0","0.0","34.7","86.83","347.32","173.66","312.62","260.49","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","1807.62","0.09","0.65","0.0","5.69","0.65","3.7","0.0","0.0","0.0","0.0","38.4","86.83","347.32","173.66","308.92","260.49","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","1807.62","0.09","0.63","0.0","5.85","0.63","3.7","0.0","0.0","0.0","0.0","42.1","86.83","347.32","173.66","305.22","260.49","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","1807.62","0.09","0.62","0.0","6.27","0.62","3.87","0.0","0.0","0.0","0.0","45.97","86.83","347.32","173.66","301.35","260.49","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","1807.62","0.09","0.6","0.0","6.04","0.6","3.62","0.0","0.0","0.0","0.0","49.59","86.83","347.32","173.66","297.73","260.49","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","1807.62","0.09","0.0","0.0","5.2","0.09","0.47","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","1807.62","0.09","0.0","0.0","5.28","0.09","0.47","0.0","0.0","0.0","0.0","28.97","28.5","347.32","173.66","318.35","318.82","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","1807.62","0.09","0.0","0.0","5.28","0.09","0.47","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","1807.62","0.09","0.0","0.0","4.62","0.09","0.41","0.0","0.0","0.0","0.0","28.91","28.5","347.32","173.66","318.41","318.82","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","1807.62","0.09","0.0","0.0","5.38","0.09","0.48","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","1807.62","0.09","0.0","0.0","5.09","0.09","0.45","0.0","0.0","0.0","0.0","28.95","28.5","347.32","173.66","318.37","318.82","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","1807.62","0.09","0.0","0.0","5.71","0.09","0.5","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","1807.62","0.09","0.0","0.0","5.88","0.09","0.52","0.0","0.0","0.0","0.0","29.02","28.5","347.32","173.66","318.3","318.82","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","1807.62","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","1807.62","0.09","0.0","0.0","5.5","0.09","0.48","0.0","0.0","0.0","0.0","28.98","28.5","347.32","173.66","318.34","318.82","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","1807.62","0.09","0.0","0.0","4.98","0.09","0.43","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","1807.62","0.09","0.0","0.0","4.45","0.09","0.39","0.0","0.0","0.0","0.0","28.89","28.5","347.32","173.66","318.43","318.82","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","1807.62","0.09","0.0","0.0","3.88","0.09","0.34","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","1807.62","0.09","0.0","0.0","4.26","0.09","0.37","0.0","0.0","0.0","0.0","28.87","28.5","347.32","173.66","318.45","318.82","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","1807.62","0.09","0.0","0.0","4.66","0.09","0.4","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","1807.62","0.09","0.0","0.0","4.85","0.09","0.42","0.0","0.0","0.0","0.0","28.92","28.5","347.32","173.66","318.4","318.82","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","1807.62","0.09","0.0","0.0","4.9","0.09","0.42","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","1807.62","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","28.9","28.5","347.32","173.66","318.42","318.82","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","1807.62","0.09","0.0","0.0","5.26","0.09","0.45","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","1807.62","0.09","0.0","0.0","5.95","0.09","0.51","0.0","0.0","0.0","0.0","29.01","28.5","347.32","173.66","318.31","318.82","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","1807.62","0.08","0.0","0.0","5.65","0.08","0.48","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","1807.62","0.08","0.0","0.0","4.38","0.08","0.37","0.0","0.0","0.0","0.0","28.87","28.5","347.32","173.66","318.45","318.82","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","1807.62","0.08","0.0","0.0","4.65","0.08","0.39","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","1807.62","0.08","0.0","0.0","4.71","0.08","0.4","0.0","0.0","0.0","0.0","28.9","28.5","347.32","173.66","318.42","318.82","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","1807.62","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","1807.62","0.08","0.0","0.0","4.55","0.08","0.38","0.0","0.0","0.0","0.0","28.88","28.5","347.32","173.66","318.44","318.82","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","1807.62","0.08","0.0","0.0","4.71","0.08","0.39","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","1807.62","0.08","0.0","0.0","4.84","0.08","0.4","0.0","0.0","0.0","0.0","28.9","28.5","347.32","173.66","318.42","318.82","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","1807.62","0.08","0.0","0.0","4.79","0.08","0.4","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","1807.62","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","28.35","28.5","347.32","173.66","318.97","318.82","0.0","","","","","","",""
