" Daily soil water balance output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","1200.49","0.12","1.1","0.0","7.09","1.1","7.8","0.0","0.0","0.0","0.0","58.1","66.37","292.48","146.24","234.38","226.11","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","1200.49","0.12","1.1","0.0","7.02","1.1","7.72","0.0","0.0","0.0","0.0","65.82","66.37","292.48","146.24","226.66","226.11","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","1200.49","0.12","1.1","0.0","7.32","1.1","8.05","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","73.88","","","","","","",""
"2016.0","7.0","4.0","186.0","1200.49","0.12","1.1","0.0","6.85","1.1","7.54","0.0","0.0","0.0","0.0","7.54","66.37","292.48","146.24","284.95","226.11","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","1200.49","0.12","1.1","0.0","6.12","1.1","6.73","0.0","0.0","0.0","0.0","14.27","66.37","292.48","146.24","278.21","226.11","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","1200.49","0.12","1.1","0.0","6.22","1.1","6.84","0.0","0.0","0.0","0.0","21.11","66.37","292.48","146.24","271.37","226.11","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","1200.49","0.11","1.1","0.0","6.28","1.1","6.91","0.0","0.0","0.0","0.0","28.02","66.37","292.48","146.24","264.46","226.11","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","1200.49","0.11","1.1","0.0","6.99","1.1","7.69","0.0","0.0","0.0","0.0","35.71","66.37","292.48","146.24","256.77","226.11","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","1200.49","0.11","1.1","0.0","6.45","1.1","7.1","0.0","0.0","0.0","0.0","42.8","66.37","292.48","146.24","249.68","226.11","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","1200.49","0.11","1.1","0.0","6.36","1.1","7.0","0.0","0.0","0.0","0.0","49.8","66.37","292.48","146.24","242.68","226.11","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","1200.49","0.11","1.1","0.0","7.12","1.1","7.83","0.0","0.0","0.0","0.0","57.63","66.37","292.48","146.24","234.85","226.11","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","1200.49","0.11","1.1","0.0","6.81","1.1","7.49","0.0","0.0","0.0","0.0","65.12","66.37","292.48","146.24","227.36","226.11","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","1200.49","0.11","1.1","0.0","7.2","1.1","7.92","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","73.04","","","","","","",""
"2016.0","7.0","14.0","196.0","1200.49","0.11","1.1","0.0","7.37","1.1","8.11","0.0","0.0","0.0","0.0","8.11","66.37","292.48","146.24","284.37","226.11","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","1200.49","0.11","1.1","0.0","7.27","1.1","8.0","0.0","0.0","0.0","0.0","16.1","66.37","292.48","146.24","276.38","226.11","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","1200.49","0.11","1.1","0.0","6.85","1.1","7.54","0.0","0.0","0.0","0.0","23.64","66.37","292.48","146.24","268.84","226.11","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","1200.49","0.11","1.1","0.0","6.58","1.1","7.24","0.0","0.0","0.0","0.0","30.88","66.37","292.48","146.24","261.6","226.11","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","1200.49","0.11","1.1","0.0","6.24","1.1","6.86","0.0","0.0","0.0","0.0","37.74","66.37","292.48","146.24","254.74","226.11","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","1200.49","0.11","1.1","0.0","6.47","1.1","7.12","0.0","0.0","0.0","0.0","44.86","66.37","292.48","146.24","247.62","226.11","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","1200.49","0.11","1.1","0.0","6.83","1.1","7.51","0.0","0.0","0.0","0.0","52.37","66.37","292.48","146.24","240.11","226.11","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","1200.49","0.11","1.1","0.0","7.16","1.1","7.88","0.0","0.0","0.0","0.0","60.25","66.37","292.48","146.24","232.23","226.11","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","1200.49","0.1","1.1","0.0","6.9","1.1","7.59","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","67.84","","","","","","",""
"2016.0","7.0","23.0","205.0","1200.49","0.1","1.1","0.0","7.55","1.1","8.31","0.0","0.0","0.0","0.0","8.31","66.37","292.48","146.24","284.18","226.11","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","1200.49","0.1","1.1","0.0","7.37","1.1","8.11","0.0","0.0","0.0","0.0","16.41","66.37","292.48","146.24","276.07","226.11","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","1200.49","0.1","1.1","0.0","7.18","1.1","7.9","0.0","0.0","0.0","0.0","24.31","66.37","292.48","146.24","268.17","226.11","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","1200.49","0.1","1.1","0.0","7.2","1.1","7.92","0.0","0.0","0.0","0.0","32.23","66.37","292.48","146.24","260.25","226.11","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","1200.49","0.1","1.1","0.0","7.7","1.1","8.47","0.0","0.0","0.0","0.0","40.7","66.37","292.48","146.24","251.78","226.11","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","1200.49","0.1","1.1","0.0","7.57","1.1","8.33","0.0","0.0","0.0","0.0","49.03","66.37","292.48","146.24","243.45","226.11","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","1200.49","0.1","1.1","0.0","7.46","1.1","8.21","0.0","0.0","0.0","0.0","57.23","66.37","292.48","146.24","235.25","226.11","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","1200.49","0.1","1.1","0.0","7.84","1.1","8.62","0.0","0.0","0.0","0.0","65.86","66.37","292.48","146.24","226.62","226.11","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","1200.49","0.1","1.1","0.0","7.0","1.1","7.7","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","73.56","","","","","","",""
"2016.0","8.0","1.0","214.0","1200.49","0.1","1.1","0.0","6.65","1.1","7.32","0.0","0.0","0.0","0.0","7.32","66.37","292.48","146.24","285.17","226.11","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","1200.49","0.1","1.08","0.0","6.47","1.08","7.01","0.0","0.0","0.0","0.0","14.32","66.37","292.48","146.24","278.16","226.11","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","1200.49","0.1","1.07","0.0","6.97","1.07","7.43","0.0","0.0","0.0","0.0","21.76","66.37","292.48","146.24","270.72","226.11","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","1200.49","0.1","1.05","0.0","5.97","1.05","6.27","0.0","0.0","0.0","0.0","28.03","66.37","292.48","146.24","264.45","226.11","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","1200.49","0.1","1.03","0.0","5.57","1.03","5.76","0.0","0.0","0.0","0.0","33.78","66.37","292.48","146.24","258.7","226.11","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","1200.49","0.1","1.02","0.0","5.91","1.02","6.01","0.0","0.0","0.0","0.0","39.79","66.37","292.48","146.24","252.69","226.11","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","1200.49","0.1","1.0","0.0","5.95","1.0","5.95","0.0","0.0","0.0","0.0","45.74","66.37","292.48","146.24","246.74","226.11","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","1200.49","0.1","0.98","0.0","6.43","0.98","6.32","0.0","0.0","0.0","0.0","52.06","66.37","292.48","146.24","240.42","226.11","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","1200.49","0.1","0.97","0.0","6.15","0.97","5.95","0.0","0.0","0.0","0.0","58.01","66.37","292.48","146.24","234.47","226.11","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","1200.49","0.09","0.95","0.0","6.23","0.95","5.92","0.0","0.0","0.0","0.0","63.93","66.37","292.48","146.24","228.55","226.11","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","1200.49","0.09","0.93","0.0","6.36","0.93","5.94","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","69.86","","","","","","",""
"2016.0","8.0","12.0","225.0","1200.49","0.09","0.92","0.0","6.59","0.92","6.04","0.0","0.0","0.0","0.0","6.04","66.37","292.48","146.24","286.44","226.11","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","1200.49","0.09","0.9","0.0","6.92","0.9","6.23","0.0","0.0","0.0","0.0","12.27","66.37","292.48","146.24","280.21","226.11","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","1200.49","0.09","0.88","0.0","7.13","0.88","6.3","0.0","0.0","0.0","0.0","18.57","66.37","292.48","146.24","273.91","226.11","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","1200.49","0.09","0.87","0.0","6.46","0.87","5.6","0.0","0.0","0.0","0.0","24.17","66.37","292.48","146.24","268.31","226.11","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","1200.49","0.09","0.85","0.0","6.55","0.85","5.57","0.0","0.0","0.0","0.0","29.73","73.12","292.48","146.24","262.75","219.36","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","1200.49","0.09","0.83","0.0","6.43","0.83","5.36","0.0","0.0","0.0","0.0","35.09","73.12","292.48","146.24","257.39","219.36","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","1200.49","0.09","0.82","0.0","6.39","0.82","5.22","0.0","0.0","0.0","0.0","40.31","73.12","292.48","146.24","252.17","219.36","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","1200.49","0.09","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","45.37","73.12","292.48","146.24","247.11","219.36","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","1200.49","0.09","0.78","0.0","6.22","0.78","4.87","0.0","0.0","0.0","0.0","50.25","73.12","292.48","146.24","242.23","219.36","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","1200.49","0.09","0.77","0.0","6.26","0.77","4.8","0.0","0.0","0.0","0.0","55.05","73.12","292.48","146.24","237.43","219.36","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","1200.49","0.09","0.75","0.0","6.08","0.75","4.56","0.0","0.0","0.0","0.0","59.61","73.12","292.48","146.24","232.87","219.36","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","1200.49","0.09","0.73","0.0","5.88","0.73","4.31","0.0","0.0","0.0","0.0","63.92","73.12","292.48","146.24","228.56","219.36","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","1200.49","0.09","0.72","0.0","5.82","0.72","4.17","0.0","0.0","0.0","0.0","68.09","73.12","292.48","146.24","224.39","219.36","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","1200.49","0.09","0.7","0.0","5.7","0.7","3.99","0.0","0.0","0.0","0.0","72.08","73.12","292.48","146.24","220.4","219.36","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","1200.49","0.09","0.68","0.0","5.35","0.68","3.66","0.0","0.0","0.0","0.0","0.0","73.12","292.48","146.24","292.48","219.36","75.73","","","","","","",""
"2016.0","8.0","27.0","240.0","1200.49","0.09","0.67","0.0","5.22","0.67","3.48","0.0","0.0","0.0","0.0","3.48","73.12","292.48","146.24","289.0","219.36","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","1200.49","0.09","0.65","0.0","5.57","0.65","3.62","0.0","0.0","0.0","0.0","7.1","73.12","292.48","146.24","285.38","219.36","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","1200.49","0.09","0.63","0.0","5.66","0.63","3.58","0.0","0.0","0.0","0.0","10.69","73.12","292.48","146.24","281.79","219.36","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","1200.49","0.09","0.62","0.0","6.09","0.62","3.76","0.0","0.0","0.0","0.0","14.44","73.12","292.48","146.24","278.04","219.36","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","1200.49","0.09","0.6","0.0","5.9","0.6","3.54","0.0","0.0","0.0","0.0","17.98","73.12","292.48","146.24","274.5","219.36","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","1200.49","0.09","0.0","0.0","5.07","0.09","0.44","0.0","0.0","0.0","0.0","18.42","24.0","292.48","146.24","274.06","268.48","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","1200.49","0.09","0.0","0.0","5.19","0.09","0.45","0.0","0.0","0.0","0.0","18.87","24.0","292.48","146.24","273.61","268.48","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","1200.49","0.09","0.0","0.0","5.2","0.09","0.45","0.0","0.0","0.0","0.0","19.32","24.0","292.48","146.24","273.16","268.48","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","1200.49","0.09","0.0","0.0","4.61","0.09","0.4","0.0","0.0","0.0","0.0","19.72","24.0","292.48","146.24","272.76","268.48","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","1200.49","0.09","0.0","0.0","5.31","0.09","0.46","0.0","0.0","0.0","0.0","20.18","24.0","292.48","146.24","272.3","268.48","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","1200.49","0.09","0.0","0.0","5.03","0.09","0.43","0.0","0.0","0.0","0.0","20.61","24.0","292.48","146.24","271.87","268.48","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","1200.49","0.09","0.0","0.0","5.7","0.09","0.49","0.0","0.0","0.0","0.0","21.1","24.0","292.48","146.24","271.38","268.48","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","1200.49","0.09","0.0","0.0","5.75","0.09","0.49","0.0","0.0","0.0","0.0","21.59","24.0","292.48","146.24","270.89","268.48","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","1200.49","0.09","0.0","0.0","5.32","0.09","0.45","0.0","0.0","0.0","0.0","22.04","24.0","292.48","146.24","270.44","268.48","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","1200.49","0.08","0.0","0.0","5.36","0.08","0.45","0.0","0.0","0.0","0.0","22.5","24.0","292.48","146.24","269.98","268.48","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","1200.49","0.08","0.0","0.0","4.8","0.08","0.41","0.0","0.0","0.0","0.0","22.9","24.0","292.48","146.24","269.58","268.48","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","1200.49","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","23.27","24.0","292.48","146.24","269.21","268.48","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","1200.49","0.08","0.0","0.0","3.87","0.08","0.33","0.0","0.0","0.0","0.0","23.59","24.0","292.48","146.24","268.89","268.48","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","1200.49","0.08","0.0","0.0","4.22","0.08","0.36","0.0","0.0","0.0","0.0","23.95","24.0","292.48","146.24","268.53","268.48","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","1200.49","0.08","0.0","0.0","4.57","0.08","0.38","0.0","0.0","0.0","0.0","24.33","24.0","292.48","146.24","268.15","268.48","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","1200.49","0.08","0.0","0.0","4.77","0.08","0.4","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","1200.49","0.08","0.0","0.0","4.82","0.08","0.4","0.0","0.0","0.0","0.0","24.4","24.0","292.48","146.24","268.08","268.48","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","1200.49","0.08","0.0","0.0","4.67","0.08","0.39","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","1200.49","0.08","0.0","0.0","5.22","0.08","0.43","0.0","0.0","0.0","0.0","24.43","24.0","292.48","146.24","268.05","268.48","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","1200.49","0.08","0.0","0.0","5.91","0.08","0.49","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","1200.49","0.08","0.0","0.0","5.56","0.08","0.46","0.0","0.0","0.0","0.0","24.46","24.0","292.48","146.24","268.02","268.48","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","1200.49","0.08","0.0","0.0","4.35","0.08","0.36","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","1200.49","0.08","0.0","0.0","4.54","0.08","0.37","0.0","0.0","0.0","0.0","24.37","24.0","292.48","146.24","268.11","268.48","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","1200.49","0.08","0.0","0.0","4.7","0.08","0.39","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","1200.49","0.08","0.0","0.0","4.36","0.08","0.36","0.0","0.0","0.0","0.0","24.36","24.0","292.48","146.24","268.12","268.48","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","1200.49","0.08","0.0","0.0","4.49","0.08","0.37","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","1200.49","0.08","0.0","0.0","4.66","0.08","0.38","0.0","0.0","0.0","0.0","24.38","24.0","292.48","146.24","268.1","268.48","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","1200.49","0.08","0.0","0.0","4.73","0.08","0.39","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","1200.49","0.08","0.0","0.0","4.64","0.08","0.38","0.0","0.0","0.0","0.0","24.38","24.0","292.48","146.24","268.1","268.48","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","1200.49","0.08","0.0","0.0","3.66","0.08","0.3","0.47","0.47","0.0","0.0","23.91","24.0","292.48","146.24","268.57","268.48","0.0","","","","","","",""
