" Daily soil water balance output for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","6.0","23.0","175.0","2498.6022075","0.14","1.07","0.0","7.63","1.07","8.1641","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","2498.6022075","0.13","1.08","0.0","6.97","1.08","7.5276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","2498.6022075","0.13","1.08","0.0","7.75","1.08","8.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","2498.6022075","0.13","1.08","0.0","7.6","1.08","8.208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","2498.6022075","0.13","1.09","0.0","8.04","1.09","8.7636","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","2498.6022075","0.13","1.09","0.0","8.07","1.09","8.7963","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","2498.6022075","0.13","1.09","0.0","7.48","1.09","8.1532","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","2498.6022075","0.13","1.1","0.0","7.42","1.1","8.162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","2498.6022075","0.13","1.1","0.0","7.33","1.1","8.063","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","2498.6022075","0.12","1.1","0.0","7.29","1.1","8.019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","2498.6022075","0.12","1.1","0.0","7.56","1.1","8.316","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","2498.6022075","0.12","1.1","0.0","7.1","1.1","7.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","2498.6022075","0.12","1.1","0.0","6.35","1.1","6.985","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","2498.6022075","0.12","1.1","0.0","6.38","1.1","7.018","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","2498.6022075","0.12","1.1","0.0","6.42","1.1","7.062","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","2498.6022075","0.12","1.1","0.0","7.1","1.1","7.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","2498.6022075","0.12","1.1","0.0","6.57","1.1","7.227","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","2498.6022075","0.12","1.1","0.0","6.37","1.1","7.007","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","2498.6022075","0.12","1.1","0.0","7.18","1.1","7.898","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","2498.6022075","0.12","1.1","0.0","6.92","1.1","7.612","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","2498.6022075","0.11","1.1","0.0","7.3","1.1","8.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","2498.6022075","0.11","1.1","0.0","7.49","1.1","8.239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","2498.6022075","0.11","1.1","0.0","7.48","1.1","8.228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","2498.6022075","0.11","1.1","0.0","7.08","1.1","7.788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","2498.6022075","0.11","1.1","0.0","6.82","1.1","7.502","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","2498.6022075","0.11","1.1","0.0","6.44","1.1","7.084","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","2498.6022075","0.11","1.1","0.0","6.6","1.1","7.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","2498.6022075","0.11","1.1","0.0","6.9","1.1","7.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","2498.6022075","0.11","1.1","0.0","7.37","1.1","8.107","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","2498.6022075","0.11","1.1","0.0","6.97","1.1","7.667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","2498.6022075","0.11","1.1","0.0","7.62","1.1","8.382","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","2498.6022075","0.11","1.1","0.0","7.48","1.1","8.228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","2498.6022075","0.11","1.1","0.0","7.36","1.1","8.096","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","2498.6022075","0.1","1.1","0.0","7.31","1.1","8.041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","2498.6022075","0.1","1.1","0.0","7.89","1.1","8.679","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","2498.6022075","0.1","1.1","0.0","7.8","1.1","8.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","2498.6022075","0.1","1.1","0.0","7.73","1.1","8.503","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","2498.6022075","0.1","1.1","0.0","8.15","1.1","8.965","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","2498.6022075","0.1","1.1","0.0","7.31","1.1","8.041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","2498.6022075","0.1","1.1","0.0","6.88","1.1","7.568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","2498.6022075","0.1","1.1","0.0","6.59","1.1","7.249","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","2498.6022075","0.1","1.1","0.0","7.21","1.1","7.931","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","2498.6022075","0.1","1.1","0.0","6.27","1.1","6.897","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","2498.6022075","0.1","1.1","0.0","5.73","1.1","6.303","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","2498.6022075","0.1","1.1","0.0","6.11","1.1","6.721","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","2498.6022075","0.1","1.1","0.0","6.05","1.1","6.655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","2498.6022075","0.1","1.1","0.0","6.53","1.1","7.183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","2498.6022075","0.1","1.1","0.0","6.26","1.1","6.886","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","2498.6022075","0.1","1.1","0.0","6.37","1.1","7.007","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","2498.6022075","0.1","1.1","0.0","6.52","1.1","7.172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","2498.6022075","0.1","1.1","0.0","6.73","1.1","7.403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","2498.6022075","0.09","1.1","0.0","7.04","1.1","7.744","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","2498.6022075","0.09","1.1","0.0","7.29","1.1","8.019","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","2498.6022075","0.09","1.1","0.0","6.67","1.1","7.337","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","2498.6022075","0.09","1.1","0.0","6.74","1.1","7.414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","2498.6022075","0.09","1.1","0.0","6.63","1.1","7.293","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","2498.6022075","0.09","1.1","0.0","6.56","1.1","7.216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","2498.6022075","0.09","1.1","0.0","6.5","1.1","7.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","2498.6022075","0.09","1.1","0.0","6.42","1.1","7.062","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","2498.6022075","0.09","1.1","0.0","6.42","1.1","7.062","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","2498.6022075","0.09","1.1","0.0","6.22","1.1","6.842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","2498.6022075","0.09","1.1","0.0","6.02","1.1","6.622","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","2498.6022075","0.09","1.1","0.0","5.97","1.1","6.567","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","2498.6022075","0.09","1.1","0.0","5.91","1.1","6.501","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","2498.6022075","0.09","1.1","0.0","5.55","1.1","6.105","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","2498.6022075","0.09","1.1","0.0","5.37","1.1","5.907","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","2498.6022075","0.09","1.1","0.0","5.69","1.1","6.259","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","2498.6022075","0.09","1.1","0.0","5.77","1.1","6.347","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","2498.6022075","0.09","1.1","0.0","6.16","1.1","6.776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","2498.6022075","0.09","1.1","0.0","5.99","1.1","6.589","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","2498.6022075","0.09","1.1","0.0","5.16","1.1","5.676","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","2498.6022075","0.09","1.1","0.0","5.31","1.1","5.841","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","2498.6022075","0.09","1.1","0.0","5.35","1.1","5.885","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","2498.6022075","0.09","1.1","0.0","4.62","1.1","5.082","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","2498.6022075","0.09","1.1","0.0","5.36","1.1","5.896","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","2498.6022075","0.09","1.1","0.0","5.1","1.1","5.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","2498.6022075","0.09","1.1","0.0","5.76","1.1","6.336","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","2498.6022075","0.09","1.1","0.0","5.94","1.1","6.534","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","2498.6022075","0.09","1.1","0.0","5.41","1.1","5.951","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","2498.6022075","0.09","1.1","0.0","5.48","1.1","6.028","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","2498.6022075","0.09","1.1","0.0","4.99","1.1","5.489","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","2498.6022075","0.09","1.1","0.0","4.4","1.1","4.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","2498.6022075","0.09","1.1","0.0","3.89","1.1","4.279","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","2498.6022075","0.08","1.1","0.0","4.23","1.1","4.653","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","2498.6022075","0.08","1.1","0.0","4.61","1.1","5.071","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","2498.6022075","0.08","1.1","0.0","4.83","1.1","5.313","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","2498.6022075","0.08","1.1","0.0","4.92","1.1","5.412","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","2498.6022075","0.08","1.1","0.0","4.74","1.1","5.214","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","2498.6022075","0.08","1.1","0.0","5.34","1.1","5.874","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","2498.6022075","0.08","1.1","0.0","6.15","1.1","6.765","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","2498.6022075","0.08","1.1","0.0","5.64","1.1","6.204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","2498.6022075","0.08","1.1","0.0","4.3","1.1","4.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","2498.6022075","0.08","1.1","0.0","4.56","1.1","5.016","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","2498.6022075","0.08","1.1","0.0","4.83","1.1","5.313","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","2498.6022075","0.08","1.1","0.0","4.49","1.1","4.939","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","2498.6022075","0.08","1.1","0.0","4.56","1.1","5.016","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","2498.6022075","0.08","1.1","0.0","4.72","1.1","5.192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","2498.6022075","0.08","1.1","0.0","4.9","1.1","5.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","2498.6022075","0.08","1.1","0.0","4.85","1.1","5.335","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","2498.6022075","0.08","1.1","0.0","3.75","1.1","4.125","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
