" Daily soil water balance output for Almonds in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","104.75","0.13","1.11","0.0","7.51","1.11","8.35","0.0","0.0","0.0","0.0","66.4","132.72","601.67","300.83","535.27","468.95","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","104.75","0.13","1.12","0.0","7.04","1.12","7.87","0.0","0.0","0.0","0.0","74.27","132.72","601.67","300.83","527.4","468.95","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","104.75","0.12","1.12","0.0","6.26","1.12","7.03","0.0","0.0","0.0","0.0","81.3","132.72","601.67","300.83","520.37","468.95","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","104.75","0.12","1.13","0.0","6.37","1.13","7.19","0.0","0.0","0.0","0.0","88.49","132.72","601.67","300.83","513.18","468.95","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","104.75","0.12","1.13","0.0","6.44","1.13","7.3","0.0","0.0","0.0","0.0","95.79","132.72","601.67","300.83","505.87","468.95","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","104.75","0.12","1.14","0.0","7.13","1.14","8.12","0.0","0.0","0.0","0.0","103.92","132.72","601.67","300.83","497.75","468.95","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","104.75","0.12","1.14","0.0","6.55","1.14","7.5","0.0","0.0","0.0","0.0","111.41","132.72","601.67","300.83","490.25","468.95","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","104.75","0.12","1.15","0.0","6.42","1.15","7.38","0.0","0.0","0.0","0.0","118.8","132.72","601.67","300.83","482.87","468.95","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","104.75","0.12","1.15","0.0","7.21","1.15","8.29","0.0","0.0","0.0","0.0","127.09","132.72","601.67","300.83","474.58","468.95","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","104.75","0.12","1.15","0.0","6.93","1.15","7.97","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","135.06","","","","","","",""
"2016.0","7.0","13.0","195.0","104.75","0.12","1.15","0.0","7.3","1.15","8.39","0.0","0.0","0.0","0.0","8.39","132.72","601.67","300.83","593.27","468.95","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","104.75","0.12","1.15","0.0","7.47","1.15","8.59","0.0","0.0","0.0","0.0","16.99","132.72","601.67","300.83","584.68","468.95","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","104.75","0.12","1.15","0.0","7.42","1.15","8.53","0.0","0.0","0.0","0.0","25.52","132.72","601.67","300.83","576.15","468.95","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","104.75","0.11","1.15","0.0","7.04","1.15","8.1","0.0","0.0","0.0","0.0","33.61","132.72","601.67","300.83","568.05","468.95","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","104.75","0.11","1.15","0.0","6.77","1.15","7.79","0.0","0.0","0.0","0.0","41.4","132.72","601.67","300.83","560.27","468.95","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","104.75","0.11","1.15","0.0","6.39","1.15","7.35","0.0","0.0","0.0","0.0","48.75","132.72","601.67","300.83","552.92","468.95","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","104.75","0.11","1.15","0.0","6.61","1.15","7.6","0.0","0.0","0.0","0.0","56.35","132.72","601.67","300.83","545.32","468.95","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","104.75","0.11","1.15","0.0","6.99","1.15","8.04","0.0","0.0","0.0","0.0","64.39","132.72","601.67","300.83","537.28","468.95","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","104.75","0.11","1.15","0.0","7.31","1.15","8.41","0.0","0.0","0.0","0.0","72.79","132.72","601.67","300.83","528.87","468.95","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","104.75","0.11","1.15","0.0","7.05","1.15","8.11","0.0","0.0","0.0","0.0","80.9","132.72","601.67","300.83","520.77","468.95","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","104.75","0.11","1.15","0.0","7.68","1.15","8.83","0.0","0.0","0.0","0.0","89.73","132.72","601.67","300.83","511.93","468.95","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","104.75","0.11","1.15","0.0","7.45","1.15","8.57","0.0","0.0","0.0","0.0","98.3","132.72","601.67","300.83","503.37","468.95","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","104.75","0.11","1.15","0.0","7.34","1.15","8.44","0.0","0.0","0.0","0.0","106.74","132.72","601.67","300.83","494.93","468.95","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","104.75","0.11","1.15","0.0","7.28","1.15","8.37","0.0","0.0","0.0","0.0","115.12","132.72","601.67","300.83","486.55","468.95","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","104.75","0.11","1.15","0.0","7.81","1.15","8.98","0.0","0.0","0.0","0.0","124.1","132.72","601.67","300.83","477.57","468.95","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","104.75","0.11","1.15","0.0","7.74","1.15","8.9","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","133.0","","","","","","",""
"2016.0","7.0","29.0","211.0","104.75","0.1","1.15","0.0","7.69","1.15","8.84","0.0","0.0","0.0","0.0","8.84","132.72","601.67","300.83","592.83","468.95","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","104.75","0.1","1.15","0.0","8.02","1.15","9.22","0.0","0.0","0.0","0.0","18.07","132.72","601.67","300.83","583.6","468.95","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","104.75","0.1","1.15","0.0","7.16","1.15","8.23","0.0","0.0","0.0","0.0","26.3","132.72","601.67","300.83","575.37","468.95","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","104.75","0.1","1.15","0.0","6.81","1.15","7.83","0.0","0.0","0.0","0.0","34.13","132.72","601.67","300.83","567.54","468.95","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","104.75","0.1","1.15","0.0","6.63","1.15","7.62","0.0","0.0","0.0","0.0","41.76","132.72","601.67","300.83","559.91","468.95","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","104.75","0.1","1.15","0.0","7.11","1.15","8.18","0.0","0.0","0.0","0.0","49.93","132.72","601.67","300.83","551.74","468.95","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","104.75","0.1","1.15","0.0","6.21","1.15","7.14","0.0","0.0","0.0","0.0","57.07","132.72","601.67","300.83","544.59","468.95","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","104.75","0.1","1.15","0.0","5.71","1.15","6.57","0.0","0.0","0.0","0.0","63.64","132.72","601.67","300.83","538.03","468.95","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","104.75","0.1","1.15","0.0","6.04","1.15","6.95","0.0","0.0","0.0","0.0","70.59","132.72","601.67","300.83","531.08","468.95","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","104.75","0.1","1.15","0.0","6.06","1.15","6.97","0.0","0.0","0.0","0.0","77.56","132.72","601.67","300.83","524.11","468.95","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","104.75","0.1","1.15","0.0","6.5","1.15","7.47","0.0","0.0","0.0","0.0","85.03","132.72","601.67","300.83","516.64","468.95","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","104.75","0.1","1.15","0.0","6.23","1.15","7.16","0.0","0.0","0.0","0.0","92.2","132.72","601.67","300.83","509.47","468.95","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","104.75","0.1","1.15","0.0","6.33","1.15","7.28","0.0","0.0","0.0","0.0","99.47","132.72","601.67","300.83","502.19","468.95","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","104.75","0.1","1.15","0.0","6.49","1.15","7.46","0.0","0.0","0.0","0.0","106.94","132.72","601.67","300.83","494.73","468.95","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","104.75","0.1","1.15","0.0","6.71","1.15","7.72","0.0","0.0","0.0","0.0","114.66","132.72","601.67","300.83","487.01","468.95","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","104.75","0.1","1.15","0.0","7.07","1.15","8.13","0.0","0.0","0.0","0.0","122.79","132.72","601.67","300.83","478.88","468.95","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","104.75","0.1","1.15","0.0","7.29","1.15","8.38","0.0","0.0","0.0","0.0","131.17","132.72","601.67","300.83","470.5","468.95","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","104.75","0.1","1.15","0.0","6.66","1.15","7.66","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","138.83","","","","","","",""
"2016.0","8.0","16.0","229.0","104.75","0.1","1.15","0.0","6.67","1.15","7.67","0.0","0.0","0.0","0.0","7.67","132.72","601.67","300.83","594.0","468.95","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","104.75","0.09","1.15","0.0","6.55","1.15","7.53","0.0","0.0","0.0","0.0","15.2","132.72","601.67","300.83","586.47","468.95","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","104.75","0.09","1.15","0.0","6.51","1.15","7.49","0.0","0.0","0.0","0.0","22.69","132.72","601.67","300.83","578.98","468.95","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","104.75","0.09","1.15","0.0","6.48","1.15","7.45","0.0","0.0","0.0","0.0","30.14","132.72","601.67","300.83","571.53","468.95","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","104.75","0.09","1.15","0.0","6.39","1.15","7.35","0.0","0.0","0.0","0.0","37.49","132.72","601.67","300.83","564.18","468.95","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","104.75","0.09","1.15","0.0","6.41","1.15","7.37","0.0","0.0","0.0","0.0","44.86","132.72","601.67","300.83","556.81","468.95","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","104.75","0.09","1.15","0.0","6.18","1.15","7.11","0.0","0.0","0.0","0.0","51.97","132.72","601.67","300.83","549.7","468.95","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","104.75","0.09","1.15","0.0","6.06","1.15","6.97","0.0","0.0","0.0","0.0","58.94","132.72","601.67","300.83","542.73","468.95","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","104.75","0.09","1.15","0.0","5.99","1.15","6.89","0.0","0.0","0.0","0.0","65.83","132.72","601.67","300.83","535.84","468.95","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","104.75","0.09","1.15","0.0","5.86","1.15","6.74","0.0","0.0","0.0","0.0","72.56","132.72","601.67","300.83","529.1","468.95","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","104.75","0.09","1.15","0.0","5.48","1.15","6.3","0.0","0.0","0.0","0.0","78.87","132.72","601.67","300.83","522.8","468.95","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","104.75","0.09","1.15","0.0","5.34","1.15","6.14","0.0","0.0","0.0","0.0","85.01","132.72","601.67","300.83","516.66","468.95","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","104.75","0.09","1.15","0.0","5.69","1.15","6.54","0.0","0.0","0.0","0.0","91.55","132.72","601.67","300.83","510.12","468.95","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","104.75","0.09","1.15","0.0","5.85","1.15","6.73","0.0","0.0","0.0","0.0","98.28","132.72","601.67","300.83","503.39","468.95","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","104.75","0.09","1.15","0.0","6.27","1.15","7.21","0.0","0.0","0.0","0.0","105.49","132.72","601.67","300.83","496.18","468.95","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","104.75","0.09","1.15","0.0","6.04","1.15","6.95","0.0","0.0","0.0","0.0","112.44","132.72","601.67","300.83","489.23","468.95","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","104.75","0.09","1.15","0.0","5.2","1.15","5.98","0.0","0.0","0.0","0.0","118.42","132.72","601.67","300.83","483.25","468.95","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","104.75","0.09","1.15","0.0","5.28","1.15","6.07","0.0","0.0","0.0","0.0","124.49","132.72","601.67","300.83","477.18","468.95","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","104.75","0.09","1.15","0.0","5.28","1.15","6.07","0.0","0.0","0.0","0.0","130.56","132.72","601.67","300.83","471.11","468.95","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","104.75","0.09","1.15","0.0","4.62","1.15","5.31","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","135.87","","","","","","",""
"2016.0","9.0","5.0","249.0","104.75","0.09","1.15","0.0","5.38","1.15","6.19","0.0","0.0","0.0","0.0","6.19","132.72","601.67","300.83","595.48","468.95","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","104.75","0.09","1.15","0.0","5.09","1.15","5.85","0.0","0.0","0.0","0.0","12.04","132.72","601.67","300.83","589.63","468.95","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","104.75","0.09","1.15","0.0","5.71","1.15","6.57","0.0","0.0","0.0","0.0","18.61","132.72","601.67","300.83","583.06","468.95","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","104.75","0.09","1.15","0.0","5.88","1.15","6.76","0.0","0.0","0.0","0.0","25.37","132.72","601.67","300.83","576.3","468.95","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","104.75","0.09","1.15","0.0","5.42","1.15","6.23","0.0","0.0","0.0","0.0","31.6","132.72","601.67","300.83","570.07","468.95","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","104.75","0.09","1.15","0.0","5.5","1.15","6.32","0.0","0.0","0.0","0.0","37.93","132.72","601.67","300.83","563.74","468.95","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","104.75","0.09","1.15","0.0","4.98","1.15","5.73","0.0","0.0","0.0","0.0","43.65","132.72","601.67","300.83","558.02","468.95","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","104.75","0.09","1.15","0.0","4.45","1.15","5.12","0.0","0.0","0.0","0.0","48.77","132.72","601.67","300.83","552.9","468.95","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","104.75","0.09","1.15","0.0","3.88","1.15","4.46","0.0","0.0","0.0","0.0","53.23","132.72","601.67","300.83","548.44","468.95","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","104.75","0.09","1.15","0.0","4.26","1.15","4.9","0.0","0.0","0.0","0.0","58.13","132.72","601.67","300.83","543.54","468.95","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","104.75","0.09","1.15","0.0","4.66","1.15","5.36","0.0","0.0","0.0","0.0","63.49","132.72","601.67","300.83","538.18","468.95","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","104.75","0.09","1.15","0.0","4.85","1.15","5.58","0.0","0.0","0.0","0.0","69.07","132.72","601.67","300.83","532.6","468.95","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","104.75","0.09","1.15","0.0","4.9","1.15","5.63","0.0","0.0","0.0","0.0","74.7","132.72","601.67","300.83","526.97","468.95","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","104.75","0.09","1.15","0.0","4.71","1.15","5.42","0.0","0.0","0.0","0.0","80.12","132.72","601.67","300.83","521.55","468.95","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","104.75","0.09","1.15","0.0","5.26","1.15","6.05","0.0","0.0","0.0","0.0","86.17","132.72","601.67","300.83","515.5","468.95","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","104.75","0.09","1.15","0.0","5.95","1.15","6.84","0.0","0.0","0.0","0.0","93.01","150.42","601.67","300.83","508.66","451.25","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","104.75","0.08","1.15","0.0","5.65","1.15","6.5","0.0","0.0","0.0","0.0","99.51","150.42","601.67","300.83","502.16","451.25","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","104.75","0.08","1.15","0.0","4.38","1.15","5.04","0.0","0.0","0.0","0.0","104.55","150.42","601.67","300.83","497.12","451.25","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","104.75","0.08","1.15","0.0","4.65","1.15","5.35","0.0","0.0","0.0","0.0","109.89","150.42","601.67","300.83","491.78","451.25","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","104.75","0.08","1.15","0.0","4.71","1.15","5.42","0.0","0.0","0.0","0.0","115.31","150.42","601.67","300.83","486.36","451.25","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","104.75","0.08","1.15","0.0","4.31","1.15","4.96","0.0","0.0","0.0","0.0","120.27","150.42","601.67","300.83","481.4","451.25","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","104.75","0.08","1.15","0.0","4.55","1.15","5.23","0.0","0.0","0.0","0.0","125.5","150.42","601.67","300.83","476.17","451.25","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","104.75","0.08","1.15","0.0","4.71","1.15","5.42","0.0","0.0","0.0","0.0","130.92","150.42","601.67","300.83","470.75","451.25","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","104.75","0.08","1.15","0.0","4.84","1.15","5.57","0.0","0.0","0.0","0.0","136.48","150.42","601.67","300.83","465.19","451.25","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","104.75","0.08","1.15","0.0","4.79","1.15","5.51","0.0","0.0","0.0","0.0","141.99","150.42","601.67","300.83","459.68","451.25","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","104.75","0.08","1.15","0.0","3.68","1.15","4.23","0.46","0.46","0.0","0.0","145.76","150.42","601.67","300.83","455.91","451.25","0.0","","","","","","",""
