" Daily soil water balance output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","113.42","0.14","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","44.42","110.95","569.98","284.99","525.56","459.03","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","113.42","0.14","1.05","0.0","6.57","1.05","6.9","0.0","0.0","0.0","0.0","51.31","110.95","569.98","284.99","518.66","459.03","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","113.42","0.13","1.05","0.0","5.91","1.05","6.21","0.0","0.0","0.0","0.0","57.52","110.95","569.98","284.99","512.46","459.03","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","113.42","0.13","1.05","0.0","6.04","1.05","6.34","0.0","0.0","0.0","0.0","63.86","110.95","569.98","284.99","506.12","459.03","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","113.42","0.13","1.05","0.0","6.16","1.05","6.47","0.0","0.0","0.0","0.0","70.33","110.95","569.98","284.99","499.65","459.03","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","113.42","0.13","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","77.45","110.95","569.98","284.99","492.53","459.03","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","113.42","0.13","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","84.09","110.95","569.98","284.99","485.88","459.03","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","113.42","0.13","1.05","0.0","6.31","1.05","6.63","0.0","0.0","0.0","0.0","90.72","110.95","569.98","284.99","479.26","459.03","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","113.42","0.13","1.05","0.0","6.98","1.05","7.33","0.0","0.0","0.0","0.0","98.05","110.95","569.98","284.99","471.93","459.03","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","113.42","0.13","1.05","0.0","6.6","1.05","6.93","0.0","0.0","0.0","0.0","104.98","110.95","569.98","284.99","465.0","459.03","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","113.42","0.13","1.05","0.0","6.97","1.05","7.32","0.0","0.0","0.0","0.0","0.0","110.95","569.98","284.99","569.98","459.03","112.3","","","","","","",""
"2016.0","7.0","14.0","196.0","113.42","0.12","1.05","0.0","7.11","1.05","7.47","0.0","0.0","0.0","0.0","7.47","110.95","569.98","284.99","562.51","459.03","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","113.42","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","14.74","110.95","569.98","284.99","555.23","459.03","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","113.42","0.12","1.05","0.0","6.59","1.05","6.92","0.0","0.0","0.0","0.0","21.66","110.95","569.98","284.99","548.31","459.03","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","113.42","0.12","1.05","0.0","6.32","1.05","6.64","0.0","0.0","0.0","0.0","28.3","110.95","569.98","284.99","541.68","459.03","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","113.42","0.12","1.05","0.0","6.04","1.05","6.34","0.0","0.0","0.0","0.0","34.64","110.95","569.98","284.99","535.34","459.03","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","113.42","0.12","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","41.29","110.95","569.98","284.99","528.69","459.03","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","113.42","0.12","1.05","0.0","6.77","1.05","7.11","0.0","0.0","0.0","0.0","48.39","110.95","569.98","284.99","521.58","459.03","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","113.42","0.12","1.05","0.0","6.91","1.05","7.26","0.0","0.0","0.0","0.0","55.65","110.95","569.98","284.99","514.33","459.03","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","113.42","0.12","1.05","0.0","6.81","1.05","7.15","0.0","0.0","0.0","0.0","62.8","110.95","569.98","284.99","507.18","459.03","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","113.42","0.12","1.05","0.0","7.41","1.05","7.78","0.0","0.0","0.0","0.0","70.58","110.95","569.98","284.99","499.4","459.03","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","113.42","0.12","1.05","0.0","7.14","1.05","7.5","0.0","0.0","0.0","0.0","78.08","110.95","569.98","284.99","491.9","459.03","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","113.42","0.11","1.05","0.0","6.89","1.05","7.23","0.0","0.0","0.0","0.0","85.31","110.95","569.98","284.99","484.66","459.03","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","113.42","0.11","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","92.67","110.95","569.98","284.99","477.3","459.03","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","113.42","0.11","1.05","0.0","7.35","1.05","7.72","0.0","0.0","0.0","0.0","100.39","110.95","569.98","284.99","469.59","459.03","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","113.42","0.11","1.05","0.0","7.27","1.05","7.63","0.0","0.0","0.0","0.0","108.02","110.95","569.98","284.99","461.95","459.03","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","113.42","0.11","1.05","0.0","7.1","1.05","7.46","0.0","0.0","0.0","0.0","0.0","110.95","569.98","284.99","569.98","459.03","115.48","","","","","","",""
"2016.0","7.0","30.0","212.0","113.42","0.11","1.05","0.0","7.36","1.05","7.73","0.0","0.0","0.0","0.0","7.73","110.95","569.98","284.99","562.25","459.03","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","113.42","0.11","1.05","0.0","6.54","1.05","6.87","0.0","0.0","0.0","0.0","14.6","110.95","569.98","284.99","555.38","459.03","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","113.42","0.11","1.05","0.0","6.31","1.05","6.63","0.0","0.0","0.0","0.0","21.22","142.49","569.98","284.99","548.76","427.48","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","113.42","0.11","1.05","0.0","6.3","1.05","6.62","0.0","0.0","0.0","0.0","27.84","142.49","569.98","284.99","542.14","427.48","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","113.42","0.11","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","34.8","142.49","569.98","284.99","535.18","427.48","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","113.42","0.11","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","40.79","142.49","569.98","284.99","529.18","427.48","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","113.42","0.11","1.05","0.0","5.44","1.05","5.71","0.0","0.0","0.0","0.0","46.5","142.49","569.98","284.99","523.47","427.48","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","113.42","0.11","1.05","0.0","5.68","1.05","5.96","0.0","0.0","0.0","0.0","52.47","142.49","569.98","284.99","517.51","427.48","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","113.42","0.11","1.05","0.0","5.85","1.05","6.14","0.0","0.0","0.0","0.0","58.61","142.49","569.98","284.99","511.37","427.48","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","113.42","0.11","1.02","0.0","6.22","1.02","6.32","0.0","0.0","0.0","0.0","64.93","142.49","569.98","284.99","505.04","427.48","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","113.42","0.1","0.98","0.0","5.96","0.98","5.86","0.0","0.0","0.0","0.0","70.8","142.49","569.98","284.99","499.18","427.48","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","113.42","0.1","0.95","0.0","6.0","0.95","5.7","0.0","0.0","0.0","0.0","76.5","142.49","569.98","284.99","493.48","427.48","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","113.42","0.1","0.92","0.0","6.14","0.92","5.63","0.0","0.0","0.0","0.0","82.12","142.49","569.98","284.99","487.85","427.48","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","113.42","0.1","0.88","0.0","6.32","0.88","5.58","0.0","0.0","0.0","0.0","87.71","142.49","569.98","284.99","482.27","427.48","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","113.42","0.1","0.85","0.0","6.75","0.85","5.74","0.0","0.0","0.0","0.0","93.44","142.49","569.98","284.99","476.53","427.48","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","113.42","0.1","0.82","0.0","6.91","0.82","5.64","0.0","0.0","0.0","0.0","99.09","142.49","569.98","284.99","470.89","427.48","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","113.42","0.1","0.78","0.0","6.22","0.78","4.87","0.0","0.0","0.0","0.0","103.96","142.49","569.98","284.99","466.02","427.48","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","113.42","0.1","0.75","0.0","6.25","0.75","4.69","0.0","0.0","0.0","0.0","108.65","142.49","569.98","284.99","461.33","427.48","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","113.42","0.1","0.72","0.0","6.17","0.72","4.42","0.0","0.0","0.0","0.0","113.07","142.49","569.98","284.99","456.91","427.48","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","113.42","0.1","0.68","0.0","6.13","0.68","4.19","0.0","0.0","0.0","0.0","117.26","142.49","569.98","284.99","452.72","427.48","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","113.42","0.1","0.65","0.0","6.11","0.65","3.97","0.0","0.0","0.0","0.0","121.23","142.49","569.98","284.99","448.75","427.48","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","113.42","0.1","0.62","0.0","5.97","0.62","3.68","0.0","0.0","0.0","0.0","124.91","142.49","569.98","284.99","445.07","427.48","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","113.42","0.1","0.58","0.0","6.06","0.58","3.54","0.0","0.0","0.0","0.0","128.45","142.49","569.98","284.99","441.53","427.48","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","113.42","0.1","0.55","0.0","5.78","0.55","3.18","0.0","0.0","0.0","0.0","131.62","142.49","569.98","284.99","438.35","427.48","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","113.42","0.1","0.52","0.0","5.78","0.52","2.99","0.0","0.0","0.0","0.0","134.61","142.49","569.98","284.99","435.37","427.48","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","113.42","0.1","0.48","0.0","5.68","0.48","2.75","0.0","0.0","0.0","0.0","137.36","142.49","569.98","284.99","432.62","427.48","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","113.42","0.1","0.45","0.0","5.45","0.45","2.45","0.0","0.0","0.0","0.0","139.81","142.49","569.98","284.99","430.17","427.48","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","113.42","0.1","0.42","0.0","5.13","0.42","2.14","0.0","0.0","0.0","0.0","141.95","142.49","569.98","284.99","428.03","427.48","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","113.42","0.1","0.38","0.0","5.07","0.38","1.94","0.0","0.0","0.0","0.0","0.0","142.49","569.98","284.99","569.98","427.48","143.89","","","","","","",""
"2016.0","8.0","28.0","241.0","113.42","0.1","0.35","0.0","5.37","0.35","1.88","0.0","0.0","0.0","0.0","1.88","142.49","569.98","284.99","568.1","427.48","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","113.42","0.1","0.32","0.0","5.55","0.32","1.76","0.0","0.0","0.0","0.0","3.64","142.49","569.98","284.99","566.34","427.48","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","113.42","0.1","0.28","0.0","6.02","0.28","1.71","0.0","0.0","0.0","0.0","5.34","142.49","569.98","284.99","564.63","427.48","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","113.42","0.09","0.25","0.0","5.79","0.25","1.45","0.0","0.0","0.0","0.0","6.79","142.49","569.98","284.99","563.19","427.48","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","113.42","0.09","0.0","0.0","5.01","0.09","0.47","0.0","0.0","0.0","0.0","7.26","28.05","569.98","284.99","562.71","541.93","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","113.42","0.09","0.0","0.0","5.11","0.09","0.48","0.0","0.0","0.0","0.0","7.75","28.05","569.98","284.99","562.23","541.93","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","113.42","0.09","0.0","0.0","5.0","0.09","0.47","0.0","0.0","0.0","0.0","8.22","28.05","569.98","284.99","561.76","541.93","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","113.42","0.09","0.0","0.0","4.55","0.09","0.43","0.0","0.0","0.0","0.0","8.64","28.05","569.98","284.99","561.33","541.93","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","113.42","0.09","0.0","0.0","5.22","0.09","0.49","0.0","0.0","0.0","0.0","9.13","28.05","569.98","284.99","560.84","541.93","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","113.42","0.09","0.0","0.0","4.99","0.09","0.47","0.0","0.0","0.0","0.0","9.6","28.05","569.98","284.99","560.38","541.93","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","113.42","0.09","0.0","0.0","5.6","0.09","0.52","0.0","0.0","0.0","0.0","10.12","28.05","569.98","284.99","559.86","541.93","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","113.42","0.09","0.0","0.0","5.47","0.09","0.51","0.0","0.0","0.0","0.0","10.62","28.05","569.98","284.99","559.35","541.93","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","113.42","0.09","0.0","0.0","5.19","0.09","0.48","0.0","0.0","0.0","0.0","11.1","28.05","569.98","284.99","558.87","541.93","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","113.42","0.09","0.0","0.0","5.22","0.09","0.48","0.0","0.0","0.0","0.0","11.58","28.05","569.98","284.99","558.39","541.93","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","113.42","0.09","0.0","0.0","4.69","0.09","0.43","0.0","0.0","0.0","0.0","12.01","28.05","569.98","284.99","557.96","541.93","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","113.42","0.09","0.0","0.0","4.31","0.09","0.39","0.0","0.0","0.0","0.0","12.41","28.05","569.98","284.99","557.57","541.93","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","113.42","0.09","0.0","0.0","3.86","0.09","0.35","0.0","0.0","0.0","0.0","12.76","28.05","569.98","284.99","557.22","541.93","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","113.42","0.09","0.0","0.0","4.22","0.09","0.38","0.0","0.0","0.0","0.0","13.14","28.05","569.98","284.99","556.83","541.93","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","113.42","0.09","0.0","0.0","4.56","0.09","0.41","0.0","0.0","0.0","0.0","13.56","28.05","569.98","284.99","556.42","541.93","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","113.42","0.09","0.0","0.0","4.72","0.09","0.43","0.0","0.0","0.0","0.0","13.98","28.05","569.98","284.99","555.99","541.93","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","113.42","0.09","0.0","0.0","4.74","0.09","0.43","0.0","0.0","0.0","0.0","14.41","28.05","569.98","284.99","555.56","541.93","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","113.42","0.09","0.0","0.0","4.65","0.09","0.42","0.0","0.0","0.0","0.0","14.83","28.05","569.98","284.99","555.14","541.93","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","113.42","0.09","0.0","0.0","5.09","0.09","0.46","0.0","0.0","0.0","0.0","15.29","28.05","569.98","284.99","554.69","541.93","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","113.42","0.09","0.0","0.0","5.49","0.09","0.49","0.0","0.0","0.0","0.0","15.78","28.05","569.98","284.99","554.2","541.93","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","113.42","0.09","0.0","0.0","5.4","0.09","0.48","0.0","0.0","0.0","0.0","16.26","28.05","569.98","284.99","553.71","541.93","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","113.42","0.09","0.0","0.0","4.35","0.09","0.39","0.0","0.0","0.0","0.0","16.65","28.05","569.98","284.99","553.33","541.93","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","113.42","0.09","0.0","0.0","4.54","0.09","0.4","0.0","0.0","0.0","0.0","17.05","28.05","569.98","284.99","552.92","541.93","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","113.42","0.09","0.0","0.0","4.49","0.09","0.4","0.0","0.0","0.0","0.0","17.45","28.05","569.98","284.99","552.53","541.93","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","113.42","0.09","0.0","0.0","4.2","0.09","0.37","0.0","0.0","0.0","0.0","17.82","28.05","569.98","284.99","552.15","541.93","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","113.42","0.09","0.0","0.0","4.51","0.09","0.4","0.0","0.0","0.0","0.0","18.22","28.05","569.98","284.99","551.76","541.93","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","113.42","0.09","0.0","0.0","4.62","0.09","0.41","0.0","0.0","0.0","0.0","18.63","28.05","569.98","284.99","551.35","541.93","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","113.42","0.09","0.0","0.0","4.51","0.09","0.4","0.0","0.0","0.0","0.0","19.02","28.05","569.98","284.99","550.95","541.93","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","113.42","0.09","0.0","0.0","4.4","0.09","0.39","0.0","0.0","0.0","0.0","19.41","28.05","569.98","284.99","550.57","541.93","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","113.42","0.09","0.0","0.0","3.46","0.09","0.3","1.26","1.26","0.0","0.0","18.45","28.05","569.98","284.99","551.53","541.93","0.0","","","","","","",""
