" Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","6.0","30.0","182.0","5695.75","0.14","0.95","0.0","7.3","0.95","6.94","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","58.33","","","","","","",""
"2016.0","7.0","1.0","183.0","5695.75","0.14","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","6.87","57.09","241.4","120.7","234.53","184.31","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","5695.75","0.13","0.95","0.0","7.18","0.95","6.82","0.0","0.0","0.0","0.0","13.69","57.09","241.4","120.7","227.71","184.31","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","5695.75","0.13","0.95","0.0","7.44","0.95","7.07","0.0","0.0","0.0","0.0","20.76","57.09","241.4","120.7","220.64","184.31","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","5695.75","0.13","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","27.41","57.09","241.4","120.7","213.99","184.31","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","5695.75","0.13","0.95","0.0","6.29","0.95","5.98","0.0","0.0","0.0","0.0","33.38","57.09","241.4","120.7","208.02","184.31","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","5695.75","0.13","0.95","0.0","6.38","0.95","6.06","0.0","0.0","0.0","0.0","39.44","57.09","241.4","120.7","201.96","184.31","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","5695.75","0.13","0.95","0.0","6.53","0.95","6.2","0.0","0.0","0.0","0.0","45.65","57.09","241.4","120.7","195.75","184.31","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","5695.75","0.13","0.95","0.0","7.11","0.95","6.75","0.0","0.0","0.0","0.0","52.4","57.09","241.4","120.7","189.0","184.31","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","5695.75","0.13","0.95","0.0","6.6","0.95","6.27","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","58.67","","","","","","",""
"2016.0","7.0","10.0","192.0","5695.75","0.13","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","6.15","57.09","241.4","120.7","235.26","184.31","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","5695.75","0.12","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","13.02","57.09","241.4","120.7","228.39","184.31","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","5695.75","0.12","0.95","0.0","6.91","0.95","6.56","0.0","0.0","0.0","0.0","19.58","57.09","241.4","120.7","221.82","184.31","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","5695.75","0.12","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","26.45","57.09","241.4","120.7","214.95","184.31","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","5695.75","0.12","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","33.48","57.09","241.4","120.7","207.92","184.31","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","5695.75","0.12","0.95","0.0","7.32","0.95","6.95","0.0","0.0","0.0","0.0","40.43","57.09","241.4","120.7","200.97","184.31","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","5695.75","0.12","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","47.09","57.09","241.4","120.7","194.31","184.31","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","5695.75","0.12","0.95","0.0","6.76","0.95","6.42","0.0","0.0","0.0","0.0","53.51","57.09","241.4","120.7","187.89","184.31","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","5695.75","0.12","0.95","0.0","6.37","0.95","6.05","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","59.57","","","","","","",""
"2016.0","7.0","19.0","201.0","5695.75","0.12","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","6.3","57.09","241.4","120.7","235.1","184.31","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","5695.75","0.12","0.95","0.0","7.06","0.95","6.71","0.0","0.0","0.0","0.0","13.01","57.09","241.4","120.7","228.4","184.31","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","5695.75","0.11","0.95","0.0","7.27","0.95","6.91","0.0","0.0","0.0","0.0","19.91","57.09","241.4","120.7","221.49","184.31","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","5695.75","0.11","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","26.69","57.09","241.4","120.7","214.72","184.31","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","5695.75","0.11","0.95","0.0","7.72","0.95","7.33","0.0","0.0","0.0","0.0","34.02","57.09","241.4","120.7","207.38","184.31","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","5695.75","0.11","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","41.03","57.09","241.4","120.7","200.37","184.31","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","5695.75","0.11","0.95","0.0","7.29","0.95","6.93","0.0","0.0","0.0","0.0","47.96","57.09","241.4","120.7","193.45","184.31","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","5695.75","0.11","0.95","0.0","7.3","0.95","6.94","0.0","0.0","0.0","0.0","54.89","57.09","241.4","120.7","186.51","184.31","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","5695.75","0.11","0.95","0.0","7.67","0.95","7.29","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","62.18","","","","","","",""
"2016.0","7.0","28.0","210.0","5695.75","0.11","0.95","0.0","7.66","0.95","7.28","0.0","0.0","0.0","0.0","7.28","57.09","241.4","120.7","234.12","184.31","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","5695.75","0.11","0.95","0.0","7.57","0.95","7.19","0.0","0.0","0.0","0.0","14.47","57.09","241.4","120.7","226.93","184.31","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","5695.75","0.11","0.95","0.0","7.81","0.95","7.42","0.0","0.0","0.0","0.0","21.89","57.09","241.4","120.7","219.51","184.31","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","5695.75","0.11","0.95","0.0","6.98","0.95","6.63","0.0","0.0","0.0","0.0","28.52","57.09","241.4","120.7","212.88","184.31","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","5695.75","0.11","0.95","0.0","6.7","0.95","6.37","0.0","0.0","0.0","0.0","34.88","57.09","241.4","120.7","206.52","184.31","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","5695.75","0.11","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","41.2","57.09","241.4","120.7","200.2","184.31","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","5695.75","0.1","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","47.86","57.09","241.4","120.7","193.54","184.31","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","5695.75","0.1","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","53.77","57.09","241.4","120.7","187.63","184.31","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","5695.75","0.1","0.95","0.0","5.72","0.95","5.43","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","59.2","","","","","","",""
"2016.0","8.0","6.0","219.0","5695.75","0.1","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","5.71","57.09","241.4","120.7","235.69","184.31","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","5695.75","0.1","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","11.5","57.09","241.4","120.7","229.91","184.31","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","5695.75","0.1","0.95","0.0","6.44","0.95","6.12","0.0","0.0","0.0","0.0","17.61","57.09","241.4","120.7","223.79","184.31","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","5695.75","0.1","0.95","0.0","6.18","0.95","5.87","0.0","0.0","0.0","0.0","23.48","57.09","241.4","120.7","217.92","184.31","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","5695.75","0.1","0.95","0.0","6.26","0.95","5.95","0.0","0.0","0.0","0.0","29.43","57.09","241.4","120.7","211.97","184.31","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","5695.75","0.1","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","35.57","57.09","241.4","120.7","205.83","184.31","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","5695.75","0.1","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","41.89","57.09","241.4","120.7","199.52","184.31","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","5695.75","0.1","0.95","0.0","7.06","0.95","6.71","0.0","0.0","0.0","0.0","48.59","57.09","241.4","120.7","192.81","184.31","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","5695.75","0.1","0.95","0.0","7.26","0.95","6.9","0.0","0.0","0.0","0.0","55.49","57.09","241.4","120.7","185.91","184.31","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","5695.75","0.1","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","61.8","","","","","","",""
"2016.0","8.0","16.0","229.0","5695.75","0.1","0.95","0.0","6.57","0.95","6.24","0.0","0.0","0.0","0.0","6.24","57.09","241.4","120.7","235.16","184.31","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","5695.75","0.1","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","12.38","57.09","241.4","120.7","229.02","184.31","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","5695.75","0.1","0.95","0.0","6.42","0.95","6.1","0.0","0.0","0.0","0.0","18.48","57.09","241.4","120.7","222.92","184.31","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","5695.75","0.1","0.95","0.0","6.44","0.95","6.12","0.0","0.0","0.0","0.0","24.6","57.09","241.4","120.7","216.81","184.31","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","5695.75","0.1","0.95","0.0","6.34","0.95","6.02","0.0","0.0","0.0","0.0","30.62","57.09","241.4","120.7","210.78","184.31","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","5695.75","0.1","0.95","0.0","6.38","0.95","6.06","0.0","0.0","0.0","0.0","36.68","57.09","241.4","120.7","204.72","184.31","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","5695.75","0.1","0.95","0.0","5.96","0.95","5.66","0.0","0.0","0.0","0.0","42.34","57.09","241.4","120.7","199.06","184.31","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","5695.75","0.1","0.95","0.0","6.1","0.95","5.8","0.0","0.0","0.0","0.0","48.14","57.09","241.4","120.7","193.27","184.31","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","5695.75","0.09","0.95","0.0","6.02","0.95","5.72","0.0","0.0","0.0","0.0","53.86","57.09","241.4","120.7","187.55","184.31","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","5695.75","0.09","0.95","0.0","5.81","0.95","5.52","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","59.38","","","","","","",""
"2016.0","8.0","26.0","239.0","5695.75","0.09","0.95","0.0","5.42","0.95","5.15","0.0","0.0","0.0","0.0","5.15","57.09","241.4","120.7","236.25","184.31","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","5695.75","0.09","0.95","0.0","5.32","0.95","5.05","0.0","0.0","0.0","0.0","10.2","57.09","241.4","120.7","231.2","184.31","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","5695.75","0.09","0.95","0.0","5.62","0.95","5.34","0.0","0.0","0.0","0.0","15.54","57.09","241.4","120.7","225.86","184.31","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","5695.75","0.09","0.95","0.0","5.87","0.95","5.58","0.0","0.0","0.0","0.0","21.12","57.09","241.4","120.7","220.28","184.31","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","5695.75","0.09","0.95","0.0","6.32","0.95","6.0","0.0","0.0","0.0","0.0","27.12","57.09","241.4","120.7","214.28","184.31","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","5695.75","0.09","0.95","0.0","6.07","0.95","5.77","0.0","0.0","0.0","0.0","32.89","57.09","241.4","120.7","208.51","184.31","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","5695.75","0.09","0.95","0.0","5.28","0.95","5.02","0.0","0.0","0.0","0.0","37.91","57.09","241.4","120.7","203.5","184.31","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","5695.75","0.09","0.95","0.0","5.32","0.95","5.05","0.0","0.0","0.0","0.0","42.96","57.09","241.4","120.7","198.44","184.31","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","5695.75","0.09","0.95","0.0","5.21","0.95","4.95","0.0","0.0","0.0","0.0","47.91","57.09","241.4","120.7","193.49","184.31","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","5695.75","0.09","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","52.29","57.09","241.4","120.7","189.11","184.31","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","5695.75","0.09","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","57.37","","","","","","",""
"2016.0","9.0","6.0","250.0","5695.75","0.09","0.95","0.0","5.1","0.95","4.85","0.0","0.0","0.0","0.0","4.85","57.09","241.4","120.7","236.56","184.31","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","5695.75","0.09","0.95","0.0","5.65","0.95","5.37","0.0","0.0","0.0","0.0","10.21","57.09","241.4","120.7","231.19","184.31","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","5695.75","0.09","0.95","0.0","5.78","0.95","5.49","0.0","0.0","0.0","0.0","15.7","57.09","241.4","120.7","225.7","184.31","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","5695.75","0.09","0.95","0.0","5.43","0.95","5.16","0.0","0.0","0.0","0.0","20.86","57.09","241.4","120.7","220.54","184.31","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","5695.75","0.09","0.95","0.0","5.49","0.95","5.22","0.0","0.0","0.0","0.0","26.08","57.09","241.4","120.7","215.32","184.31","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","5695.75","0.09","0.95","0.0","5.04","0.95","4.79","0.0","0.0","0.0","0.0","30.87","57.09","241.4","120.7","210.54","184.31","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","5695.75","0.09","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","35.22","57.09","241.4","120.7","206.19","184.31","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","5695.75","0.09","0.95","0.0","3.88","0.95","3.69","0.0","0.0","0.0","0.0","38.9","57.09","241.4","120.7","202.5","184.31","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","5695.75","0.09","0.95","0.0","4.27","0.95","4.06","0.0","0.0","0.0","0.0","42.96","57.09","241.4","120.7","198.44","184.31","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","5695.75","0.09","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","47.43","57.09","241.4","120.7","193.97","184.31","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","5695.75","0.09","0.95","0.0","4.88","0.95","4.64","0.0","0.0","0.0","0.0","52.07","57.09","241.4","120.7","189.33","184.31","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","5695.75","0.09","0.95","0.0","4.88","0.95","4.64","0.0","0.0","0.0","0.0","56.71","57.09","241.4","120.7","184.7","184.31","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","5695.75","0.09","0.95","0.0","4.73","0.95","4.49","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","61.2","","","","","","",""
"2016.0","9.0","19.0","263.0","5695.75","0.09","0.95","0.0","5.2","0.95","4.94","0.0","0.0","0.0","0.0","4.94","57.09","241.4","120.7","236.46","184.31","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","5695.75","0.09","0.95","0.0","5.65","0.95","5.37","0.0","0.0","0.0","0.0","10.31","57.09","241.4","120.7","231.09","184.31","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","5695.75","0.09","0.95","0.0","5.42","0.95","5.15","0.0","0.0","0.0","0.0","15.46","57.09","241.4","120.7","225.95","184.31","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","5695.75","0.09","0.95","0.0","4.4","0.95","4.18","0.0","0.0","0.0","0.0","19.64","57.09","241.4","120.7","221.77","184.31","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","5695.75","0.09","0.95","0.0","4.74","0.95","4.5","0.0","0.0","0.0","0.0","24.14","57.09","241.4","120.7","217.26","184.31","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","5695.75","0.09","0.95","0.0","4.57","0.95","4.34","0.0","0.0","0.0","0.0","28.48","57.09","241.4","120.7","212.92","184.31","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","5695.75","0.09","0.95","0.0","4.23","0.95","4.02","0.0","0.0","0.0","0.0","32.5","57.09","241.4","120.7","208.9","184.31","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","5695.75","0.09","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","36.85","57.09","241.4","120.7","204.55","184.31","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","5695.75","0.09","0.95","0.0","4.68","0.95","4.45","0.0","0.0","0.0","0.0","41.3","57.09","241.4","120.7","200.11","184.31","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","5695.75","0.09","0.95","0.0","4.75","0.95","4.51","0.0","0.0","0.0","0.0","45.81","57.09","241.4","120.7","195.59","184.31","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","5695.75","0.09","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","50.28","57.09","241.4","120.7","191.12","184.31","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","5695.75","0.09","0.95","0.0","3.59","0.95","3.41","2.27","2.27","0.0","0.0","51.42","57.09","241.4","120.7","189.98","184.31","0.0","","","","","","",""
