" Daily soil water balance output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","6.0","30.0","182.0","1904.36","0.14","0.95","0.0","7.3","0.95","6.94","0.0","0.0","0.0","0.0","36.79","71.28","356.62","178.31","319.82","285.34","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","1904.36","0.14","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","43.66","71.28","356.62","178.31","312.95","285.34","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","1904.36","0.13","0.95","0.0","7.18","0.95","6.82","0.0","0.0","0.0","0.0","50.48","71.28","356.62","178.31","306.13","285.34","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","1904.36","0.13","0.95","0.0","7.44","0.95","7.07","0.0","0.0","0.0","0.0","57.55","71.28","356.62","178.31","299.07","285.34","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","1904.36","0.13","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","64.2","71.28","356.62","178.31","292.42","285.34","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","1904.36","0.13","0.95","0.0","6.29","0.95","5.98","0.0","0.0","0.0","0.0","70.18","71.28","356.62","178.31","286.44","285.34","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","1904.36","0.13","0.95","0.0","6.38","0.95","6.06","0.0","0.0","0.0","0.0","0.0","71.28","356.62","178.31","356.62","285.34","76.24","","","","","","",""
"2016.0","7.0","7.0","189.0","1904.36","0.13","0.95","0.0","6.53","0.95","6.2","0.0","0.0","0.0","0.0","6.2","71.28","356.62","178.31","350.41","285.34","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","1904.36","0.13","0.95","0.0","7.11","0.95","6.75","0.0","0.0","0.0","0.0","12.96","71.28","356.62","178.31","343.66","285.34","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","1904.36","0.13","0.95","0.0","6.6","0.95","6.27","0.0","0.0","0.0","0.0","19.23","71.28","356.62","178.31","337.39","285.34","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","1904.36","0.13","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","25.37","71.28","356.62","178.31","331.24","285.34","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","1904.36","0.12","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","32.24","71.28","356.62","178.31","324.37","285.34","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","1904.36","0.12","0.95","0.0","6.91","0.95","6.56","0.0","0.0","0.0","0.0","38.81","71.28","356.62","178.31","317.81","285.34","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","1904.36","0.12","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","45.68","71.28","356.62","178.31","310.94","285.34","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","1904.36","0.12","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","52.71","71.28","356.62","178.31","303.91","285.34","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","1904.36","0.12","0.95","0.0","7.32","0.95","6.95","0.0","0.0","0.0","0.0","59.66","71.28","356.62","178.31","296.96","285.34","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","1904.36","0.12","0.94","0.0","7.01","0.94","6.59","0.0","0.0","0.0","0.0","66.25","71.28","356.62","178.31","290.37","285.34","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","1904.36","0.12","0.93","0.0","6.76","0.93","6.29","0.0","0.0","0.0","0.0","0.0","71.28","356.62","178.31","356.62","285.34","72.54","","","","","","",""
"2016.0","7.0","18.0","200.0","1904.36","0.12","0.92","0.0","6.37","0.92","5.86","0.0","0.0","0.0","0.0","5.86","71.28","356.62","178.31","350.76","285.34","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","1904.36","0.12","0.91","0.0","6.63","0.91","6.03","0.0","0.0","0.0","0.0","11.89","89.15","356.62","178.31","344.72","267.46","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","1904.36","0.12","0.9","0.0","7.06","0.9","6.35","0.0","0.0","0.0","0.0","18.25","89.15","356.62","178.31","338.37","267.46","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","1904.36","0.11","0.89","0.0","7.27","0.89","6.47","0.0","0.0","0.0","0.0","24.72","89.15","356.62","178.31","331.9","267.46","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","1904.36","0.11","0.88","0.0","7.13","0.88","6.27","0.0","0.0","0.0","0.0","30.99","89.15","356.62","178.31","325.62","267.46","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","1904.36","0.11","0.87","0.0","7.72","0.87","6.72","0.0","0.0","0.0","0.0","37.71","89.15","356.62","178.31","318.91","267.46","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","1904.36","0.11","0.86","0.0","7.38","0.86","6.35","0.0","0.0","0.0","0.0","44.06","89.15","356.62","178.31","312.56","267.46","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","1904.36","0.11","0.85","0.0","7.29","0.85","6.2","0.0","0.0","0.0","0.0","50.25","89.15","356.62","178.31","306.36","267.46","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","1904.36","0.11","0.84","0.0","7.3","0.84","6.13","0.0","0.0","0.0","0.0","56.38","89.15","356.62","178.31","300.23","267.46","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","1904.36","0.11","0.83","0.0","7.67","0.83","6.37","0.0","0.0","0.0","0.0","62.75","89.15","356.62","178.31","293.87","267.46","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","1904.36","0.11","0.82","0.0","7.66","0.82","6.28","0.0","0.0","0.0","0.0","69.03","89.15","356.62","178.31","287.58","267.46","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","1904.36","0.11","0.81","0.0","7.57","0.81","6.13","0.0","0.0","0.0","0.0","75.16","89.15","356.62","178.31","281.45","267.46","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","1904.36","0.11","0.8","0.0","7.81","0.8","6.25","0.0","0.0","0.0","0.0","81.41","89.15","356.62","178.31","275.2","267.46","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","1904.36","0.11","0.79","0.0","6.98","0.79","5.51","0.0","0.0","0.0","0.0","86.93","89.15","356.62","178.31","269.69","267.46","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","1904.36","0.11","0.78","0.0","6.7","0.78","5.23","0.0","0.0","0.0","0.0","0.0","89.15","356.62","178.31","356.62","267.46","92.15","","","","","","",""
"2016.0","8.0","2.0","215.0","1904.36","0.11","0.0","0.0","6.65","0.11","0.7","0.0","0.0","0.0","0.0","0.7","27.0","356.62","178.31","355.92","329.62","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","1904.36","0.1","0.0","0.0","7.01","0.1","0.73","0.0","0.0","0.0","0.0","1.43","27.0","356.62","178.31","355.18","329.62","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","1904.36","0.1","0.0","0.0","6.22","0.1","0.65","0.0","0.0","0.0","0.0","2.08","27.0","356.62","178.31","354.53","329.62","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","1904.36","0.1","0.0","0.0","5.72","0.1","0.59","0.0","0.0","0.0","0.0","2.68","27.0","356.62","178.31","353.94","329.62","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","1904.36","0.1","0.0","0.0","6.01","0.1","0.62","0.0","0.0","0.0","0.0","3.3","27.0","356.62","178.31","353.32","329.62","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","1904.36","0.1","0.0","0.0","6.09","0.1","0.63","0.0","0.0","0.0","0.0","3.92","27.0","356.62","178.31","352.69","329.62","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","1904.36","0.1","0.0","0.0","6.44","0.1","0.66","0.0","0.0","0.0","0.0","4.58","27.0","356.62","178.31","352.04","329.62","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","1904.36","0.1","0.0","0.0","6.18","0.1","0.63","0.0","0.0","0.0","0.0","5.21","27.0","356.62","178.31","351.41","329.62","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","1904.36","0.1","0.0","0.0","6.26","0.1","0.63","0.0","0.0","0.0","0.0","5.84","27.0","356.62","178.31","350.77","329.62","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","1904.36","0.1","0.0","0.0","6.46","0.1","0.65","0.0","0.0","0.0","0.0","6.49","27.0","356.62","178.31","350.12","329.62","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","1904.36","0.1","0.0","0.0","6.65","0.1","0.67","0.0","0.0","0.0","0.0","7.16","27.0","356.62","178.31","349.46","329.62","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","1904.36","0.1","0.0","0.0","7.06","0.1","0.7","0.0","0.0","0.0","0.0","7.86","27.0","356.62","178.31","348.75","329.62","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","1904.36","0.1","0.0","0.0","7.26","0.1","0.72","0.0","0.0","0.0","0.0","8.58","27.0","356.62","178.31","348.04","329.62","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","1904.36","0.1","0.0","0.0","6.64","0.1","0.65","0.0","0.0","0.0","0.0","9.23","27.0","356.62","178.31","347.38","329.62","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","1904.36","0.1","0.0","0.0","6.57","0.1","0.64","0.0","0.0","0.0","0.0","9.88","27.0","356.62","178.31","346.74","329.62","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","1904.36","0.1","0.0","0.0","6.46","0.1","0.63","0.0","0.0","0.0","0.0","10.51","27.0","356.62","178.31","346.11","329.62","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","1904.36","0.1","0.0","0.0","6.42","0.1","0.62","0.0","0.0","0.0","0.0","11.13","27.0","356.62","178.31","345.48","329.62","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","1904.36","0.1","0.0","0.0","6.44","0.1","0.62","0.0","0.0","0.0","0.0","11.76","27.0","356.62","178.31","344.86","329.62","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","1904.36","0.1","0.0","0.0","6.34","0.1","0.61","0.0","0.0","0.0","0.0","12.37","27.0","356.62","178.31","344.25","329.62","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","1904.36","0.1","0.0","0.0","6.38","0.1","0.61","0.0","0.0","0.0","0.0","12.98","27.0","356.62","178.31","343.64","329.62","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","1904.36","0.1","0.0","0.0","5.96","0.1","0.57","0.0","0.0","0.0","0.0","13.55","27.0","356.62","178.31","343.07","329.62","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","1904.36","0.1","0.0","0.0","6.1","0.1","0.58","0.0","0.0","0.0","0.0","14.13","27.0","356.62","178.31","342.49","329.62","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","1904.36","0.09","0.0","0.0","6.02","0.09","0.57","0.0","0.0","0.0","0.0","14.7","27.0","356.62","178.31","341.92","329.62","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","1904.36","0.09","0.0","0.0","5.81","0.09","0.55","0.0","0.0","0.0","0.0","15.24","27.0","356.62","178.31","341.37","329.62","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","1904.36","0.09","0.0","0.0","5.42","0.09","0.51","0.0","0.0","0.0","0.0","15.75","27.0","356.62","178.31","340.86","329.62","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","1904.36","0.09","0.0","0.0","5.32","0.09","0.5","0.0","0.0","0.0","0.0","16.25","27.0","356.62","178.31","340.37","329.62","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","1904.36","0.09","0.0","0.0","5.62","0.09","0.52","0.0","0.0","0.0","0.0","16.78","27.0","356.62","178.31","339.84","329.62","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","1904.36","0.09","0.0","0.0","5.87","0.09","0.55","0.0","0.0","0.0","0.0","17.32","27.0","356.62","178.31","339.3","329.62","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","1904.36","0.09","0.0","0.0","6.32","0.09","0.58","0.0","0.0","0.0","0.0","17.91","27.0","356.62","178.31","338.71","329.62","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","1904.36","0.09","0.0","0.0","6.07","0.09","0.56","0.0","0.0","0.0","0.0","18.47","27.0","356.62","178.31","338.15","329.62","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","1904.36","0.09","0.0","0.0","5.28","0.09","0.49","0.0","0.0","0.0","0.0","18.95","27.0","356.62","178.31","337.67","329.62","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","1904.36","0.09","0.0","0.0","5.32","0.09","0.49","0.0","0.0","0.0","0.0","19.44","27.0","356.62","178.31","337.18","329.62","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","1904.36","0.09","0.0","0.0","5.21","0.09","0.48","0.0","0.0","0.0","0.0","19.91","27.0","356.62","178.31","336.7","329.62","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","1904.36","0.09","0.0","0.0","4.61","0.09","0.42","0.0","0.0","0.0","0.0","20.33","27.0","356.62","178.31","336.28","329.62","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","1904.36","0.09","0.0","0.0","5.35","0.09","0.49","0.0","0.0","0.0","0.0","20.82","27.0","356.62","178.31","335.8","329.62","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","1904.36","0.09","0.0","0.0","5.1","0.09","0.46","0.0","0.0","0.0","0.0","21.28","27.0","356.62","178.31","335.34","329.62","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","1904.36","0.09","0.0","0.0","5.65","0.09","0.51","0.0","0.0","0.0","0.0","21.79","27.0","356.62","178.31","334.83","329.62","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","1904.36","0.09","0.0","0.0","5.78","0.09","0.52","0.0","0.0","0.0","0.0","22.31","27.0","356.62","178.31","334.31","329.62","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","1904.36","0.09","0.0","0.0","5.43","0.09","0.49","0.0","0.0","0.0","0.0","22.8","27.0","356.62","178.31","333.82","329.62","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","1904.36","0.09","0.0","0.0","5.49","0.09","0.49","0.0","0.0","0.0","0.0","23.29","27.0","356.62","178.31","333.33","329.62","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","1904.36","0.09","0.0","0.0","5.04","0.09","0.45","0.0","0.0","0.0","0.0","23.74","27.0","356.62","178.31","332.88","329.62","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","1904.36","0.09","0.0","0.0","4.58","0.09","0.41","0.0","0.0","0.0","0.0","24.14","27.0","356.62","178.31","332.47","329.62","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","1904.36","0.09","0.0","0.0","3.88","0.09","0.34","0.0","0.0","0.0","0.0","24.49","27.0","356.62","178.31","332.13","329.62","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","1904.36","0.09","0.0","0.0","4.27","0.09","0.38","0.0","0.0","0.0","0.0","24.86","27.0","356.62","178.31","331.75","329.62","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","1904.36","0.09","0.0","0.0","4.71","0.09","0.42","0.0","0.0","0.0","0.0","25.28","27.0","356.62","178.31","331.34","329.62","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","1904.36","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","25.71","27.0","356.62","178.31","330.91","329.62","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","1904.36","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","26.14","27.0","356.62","178.31","330.48","329.62","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","1904.36","0.09","0.0","0.0","4.73","0.09","0.41","0.0","0.0","0.0","0.0","26.55","27.0","356.62","178.31","330.06","329.62","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","1904.36","0.09","0.0","0.0","5.2","0.09","0.45","0.0","0.0","0.0","0.0","27.01","27.0","356.62","178.31","329.61","329.62","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","1904.36","0.09","0.0","0.0","5.65","0.09","0.49","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","1904.36","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","27.47","27.0","356.62","178.31","329.15","329.62","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","1904.36","0.09","0.0","0.0","4.4","0.09","0.38","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","1904.36","0.09","0.0","0.0","4.74","0.09","0.41","0.0","0.0","0.0","0.0","27.41","27.0","356.62","178.31","329.21","329.62","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","1904.36","0.09","0.0","0.0","4.57","0.09","0.39","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","1904.36","0.09","0.0","0.0","4.23","0.09","0.36","0.0","0.0","0.0","0.0","27.36","27.0","356.62","178.31","329.25","329.62","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","1904.36","0.09","0.0","0.0","4.58","0.09","0.39","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","1904.36","0.09","0.0","0.0","4.68","0.09","0.4","0.0","0.0","0.0","0.0","27.4","27.0","356.62","178.31","329.22","329.62","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","1904.36","0.09","0.0","0.0","4.75","0.09","0.41","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","1904.36","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","27.4","27.0","356.62","178.31","329.21","329.62","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","1904.36","0.09","0.0","0.0","3.59","0.09","0.31","2.27","2.27","0.0","0.0","25.13","27.0","356.62","178.31","331.48","329.62","0.0","","","","","","",""
