" Daily soil water balance output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","348.94","0.12","0.75","0.0","7.61","0.75","5.72","0.0","0.0","0.0","0.0","33.23","71.41","320.04","160.02","286.81","248.63","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","348.94","0.12","0.76","0.0","7.15","0.76","5.43","0.0","0.0","0.0","0.0","38.66","71.41","320.04","160.02","281.38","248.63","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","348.94","0.12","0.77","0.0","6.39","0.77","4.9","0.0","0.0","0.0","0.0","43.55","71.41","320.04","160.02","276.49","248.63","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","348.94","0.12","0.77","0.0","6.42","0.77","4.97","0.0","0.0","0.0","0.0","48.52","71.41","320.04","160.02","271.52","248.63","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","348.94","0.12","0.78","0.0","6.46","0.78","5.05","0.0","0.0","0.0","0.0","53.57","71.41","320.04","160.02","266.47","248.63","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","348.94","0.12","0.79","0.0","7.14","0.79","5.64","0.0","0.0","0.0","0.0","59.21","71.41","320.04","160.02","260.83","248.63","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","348.94","0.12","0.8","0.0","6.6","0.8","5.26","0.0","0.0","0.0","0.0","64.47","71.41","320.04","160.02","255.57","248.63","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","348.94","0.12","0.8","0.0","6.38","0.8","5.13","0.0","0.0","0.0","0.0","69.6","71.41","320.04","160.02","250.44","248.63","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","348.94","0.12","0.81","0.0","7.2","0.81","5.85","0.0","0.0","0.0","0.0","0.0","71.41","320.04","160.02","320.04","248.63","75.45","","","","","","",""
"2016.0","7.0","12.0","194.0","348.94","0.12","0.82","0.0","6.95","0.82","5.7","0.0","0.0","0.0","0.0","5.7","71.41","320.04","160.02","314.34","248.63","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","348.94","0.11","0.83","0.0","7.33","0.83","6.07","0.0","0.0","0.0","0.0","11.77","71.41","320.04","160.02","308.27","248.63","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","348.94","0.11","0.84","0.0","7.52","0.84","6.28","0.0","0.0","0.0","0.0","18.05","71.41","320.04","160.02","301.99","248.63","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","348.94","0.11","0.84","0.0","7.52","0.84","6.34","0.0","0.0","0.0","0.0","24.39","71.41","320.04","160.02","295.65","248.63","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","348.94","0.11","0.85","0.0","7.13","0.85","6.06","0.0","0.0","0.0","0.0","30.45","71.41","320.04","160.02","289.59","248.63","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","348.94","0.11","0.86","0.0","6.87","0.86","5.9","0.0","0.0","0.0","0.0","36.35","71.41","320.04","160.02","283.69","248.63","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","348.94","0.11","0.87","0.0","6.47","0.87","5.6","0.0","0.0","0.0","0.0","41.95","71.41","320.04","160.02","278.09","248.63","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","348.94","0.11","0.87","0.0","6.64","0.87","5.8","0.0","0.0","0.0","0.0","47.75","71.41","320.04","160.02","272.29","248.63","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","348.94","0.11","0.88","0.0","6.94","0.88","6.12","0.0","0.0","0.0","0.0","53.86","71.41","320.04","160.02","266.18","248.63","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","348.94","0.11","0.89","0.0","7.4","0.89","6.58","0.0","0.0","0.0","0.0","60.44","71.41","320.04","160.02","259.6","248.63","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","348.94","0.11","0.9","0.0","7.0","0.9","6.28","0.0","0.0","0.0","0.0","66.72","71.41","320.04","160.02","253.32","248.63","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","348.94","0.11","0.9","0.0","7.65","0.9","6.92","0.0","0.0","0.0","0.0","0.0","71.41","320.04","160.02","320.04","248.63","73.63","","","","","","",""
"2016.0","7.0","24.0","206.0","348.94","0.11","0.91","0.0","7.51","0.91","6.85","0.0","0.0","0.0","0.0","6.85","71.41","320.04","160.02","313.19","248.63","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","348.94","0.11","0.92","0.0","7.4","0.92","6.8","0.0","0.0","0.0","0.0","13.65","71.41","320.04","160.02","306.39","248.63","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","348.94","0.1","0.93","0.0","7.34","0.93","6.8","0.0","0.0","0.0","0.0","20.46","71.41","320.04","160.02","299.58","248.63","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","348.94","0.1","0.93","0.0","7.92","0.93","7.4","0.0","0.0","0.0","0.0","27.86","71.41","320.04","160.02","292.18","248.63","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","348.94","0.1","0.94","0.0","7.83","0.94","7.38","0.0","0.0","0.0","0.0","35.24","71.41","320.04","160.02","284.8","248.63","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","348.94","0.1","0.95","0.0","7.76","0.95","7.37","0.0","0.0","0.0","0.0","42.61","71.41","320.04","160.02","277.43","248.63","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","348.94","0.1","0.95","0.0","8.21","0.95","7.8","0.0","0.0","0.0","0.0","50.41","71.41","320.04","160.02","269.63","248.63","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","348.94","0.1","0.95","0.0","7.36","0.95","6.99","0.0","0.0","0.0","0.0","57.4","71.41","320.04","160.02","262.64","248.63","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","348.94","0.1","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","63.98","71.41","320.04","160.02","256.06","248.63","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","348.94","0.1","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","70.29","71.41","320.04","160.02","249.75","248.63","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","348.94","0.1","0.95","0.0","7.25","0.95","6.89","0.0","0.0","0.0","0.0","0.0","71.41","320.04","160.02","320.04","248.63","77.18","","","","","","",""
"2016.0","8.0","4.0","217.0","348.94","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","6.01","71.41","320.04","160.02","314.03","248.63","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","348.94","0.1","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","11.49","71.41","320.04","160.02","308.55","248.63","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","348.94","0.1","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","17.33","71.41","320.04","160.02","302.71","248.63","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","348.94","0.1","0.95","0.0","6.08","0.95","5.78","0.0","0.0","0.0","0.0","23.1","71.41","320.04","160.02","296.94","248.63","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","348.94","0.1","0.95","0.0","6.56","0.95","6.23","0.0","0.0","0.0","0.0","29.34","71.41","320.04","160.02","290.7","248.63","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","348.94","0.1","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","35.29","71.41","320.04","160.02","284.75","248.63","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","348.94","0.1","0.95","0.0","6.41","0.95","6.09","0.0","0.0","0.0","0.0","41.38","71.41","320.04","160.02","278.66","248.63","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","348.94","0.1","0.95","0.0","6.57","0.95","6.24","0.0","0.0","0.0","0.0","47.62","71.41","320.04","160.02","272.42","248.63","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","348.94","0.1","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","54.06","71.41","320.04","160.02","265.99","248.63","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","348.94","0.1","0.95","0.0","7.07","0.95","6.72","0.0","0.0","0.0","0.0","60.77","71.41","320.04","160.02","259.27","248.63","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","348.94","0.09","0.95","0.0","7.33","0.95","6.96","0.0","0.0","0.0","0.0","67.74","71.41","320.04","160.02","252.31","248.63","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","348.94","0.09","0.95","0.0","6.72","0.95","6.38","0.0","0.0","0.0","0.0","0.0","71.41","320.04","160.02","320.04","248.63","74.12","","","","","","",""
"2016.0","8.0","16.0","229.0","348.94","0.09","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","6.44","71.41","320.04","160.02","313.6","248.63","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","348.94","0.09","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","12.77","71.41","320.04","160.02","307.27","248.63","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","348.94","0.09","0.95","0.0","6.59","0.95","6.26","0.0","0.0","0.0","0.0","19.03","71.41","320.04","160.02","301.01","248.63","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","348.94","0.09","0.95","0.0","6.54","0.95","6.21","0.0","0.0","0.0","0.0","25.24","71.41","320.04","160.02","294.8","248.63","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","348.94","0.09","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","31.37","71.41","320.04","160.02","288.67","248.63","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","348.94","0.09","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","37.5","71.41","320.04","160.02","282.54","248.63","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","348.94","0.09","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","43.43","71.41","320.04","160.02","276.61","248.63","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","348.94","0.09","0.95","0.0","6.05","0.95","5.75","0.0","0.0","0.0","0.0","49.18","71.41","320.04","160.02","270.86","248.63","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","348.94","0.09","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","54.89","71.41","320.04","160.02","265.15","248.63","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","348.94","0.09","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","60.54","71.41","320.04","160.02","259.5","248.63","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","348.94","0.09","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","65.84","71.41","320.04","160.02","254.2","248.63","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","348.94","0.09","0.95","0.0","5.4","0.95","5.13","0.0","0.0","0.0","0.0","70.97","71.41","320.04","160.02","249.07","248.63","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","348.94","0.09","0.95","0.0","5.72","0.95","5.43","0.0","0.0","0.0","0.0","0.0","71.41","320.04","160.02","320.04","248.63","76.41","","","","","","",""
"2016.0","8.0","29.0","242.0","348.94","0.09","0.95","0.0","5.81","0.95","5.52","0.0","0.0","0.0","0.0","5.52","71.41","320.04","160.02","314.52","248.63","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","348.94","0.09","0.95","0.0","6.2","0.95","5.89","0.0","0.0","0.0","0.0","11.41","71.41","320.04","160.02","308.63","248.63","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","348.94","0.09","0.95","0.0","6.02","0.95","5.72","0.0","0.0","0.0","0.0","17.13","71.41","320.04","160.02","302.91","248.63","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","348.94","0.09","0.95","0.0","5.18","0.95","4.92","0.0","0.0","0.0","0.0","22.05","71.41","320.04","160.02","297.99","248.63","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","348.94","0.09","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","27.09","71.41","320.04","160.02","292.95","248.63","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","348.94","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","32.19","71.41","320.04","160.02","287.85","248.63","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","348.94","0.09","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","36.58","71.41","320.04","160.02","283.47","248.63","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","348.94","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","41.67","71.41","320.04","160.02","278.37","248.63","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","348.94","0.09","0.95","0.0","5.11","0.95","4.85","0.0","0.0","0.0","0.0","46.52","71.41","320.04","160.02","273.52","248.63","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","348.94","0.09","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","51.99","71.41","320.04","160.02","268.05","248.63","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","348.94","0.09","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","57.67","71.41","320.04","160.02","262.38","248.63","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","348.94","0.09","0.94","0.0","5.42","0.94","5.11","0.0","0.0","0.0","0.0","62.77","71.41","320.04","160.02","257.27","248.63","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","348.94","0.09","0.93","0.0","5.51","0.93","5.15","0.0","0.0","0.0","0.0","67.92","71.41","320.04","160.02","252.12","248.63","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","348.94","0.09","0.93","0.0","5.02","0.93","4.65","0.0","0.0","0.0","0.0","0.0","71.41","320.04","160.02","320.04","248.63","72.57","","","","","","",""
"2016.0","9.0","12.0","256.0","348.94","0.09","0.92","0.0","4.43","0.92","4.07","0.0","0.0","0.0","0.0","4.07","80.01","320.04","160.02","315.97","240.03","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","348.94","0.09","0.91","0.0","3.89","0.91","3.55","0.0","0.0","0.0","0.0","7.62","80.01","320.04","160.02","312.42","240.03","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","348.94","0.09","0.9","0.0","4.24","0.9","3.83","0.0","0.0","0.0","0.0","11.45","80.01","320.04","160.02","308.59","240.03","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","348.94","0.08","0.9","0.0","4.62","0.9","4.14","0.0","0.0","0.0","0.0","15.59","80.01","320.04","160.02","304.45","240.03","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","348.94","0.08","0.89","0.0","4.84","0.89","4.3","0.0","0.0","0.0","0.0","19.89","80.01","320.04","160.02","300.15","240.03","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","348.94","0.08","0.88","0.0","4.94","0.88","4.35","0.0","0.0","0.0","0.0","24.24","80.01","320.04","160.02","295.8","240.03","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","348.94","0.08","0.87","0.0","4.75","0.87","4.15","0.0","0.0","0.0","0.0","28.38","80.01","320.04","160.02","291.66","240.03","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","348.94","0.08","0.87","0.0","5.35","0.87","4.63","0.0","0.0","0.0","0.0","33.01","80.01","320.04","160.02","287.03","240.03","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","348.94","0.08","0.86","0.0","6.16","0.86","5.28","0.0","0.0","0.0","0.0","38.29","80.01","320.04","160.02","281.75","240.03","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","348.94","0.08","0.85","0.0","5.64","0.85","4.79","0.0","0.0","0.0","0.0","43.08","80.01","320.04","160.02","276.96","240.03","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","348.94","0.08","0.84","0.0","4.31","0.84","3.63","0.0","0.0","0.0","0.0","46.71","80.01","320.04","160.02","273.33","240.03","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","348.94","0.08","0.83","0.0","4.58","0.83","3.82","0.0","0.0","0.0","0.0","50.53","80.01","320.04","160.02","269.51","240.03","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","348.94","0.08","0.83","0.0","4.82","0.83","3.98","0.0","0.0","0.0","0.0","54.51","80.01","320.04","160.02","265.53","240.03","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","348.94","0.08","0.82","0.0","4.47","0.82","3.66","0.0","0.0","0.0","0.0","58.17","80.01","320.04","160.02","261.87","240.03","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","348.94","0.08","0.81","0.0","4.57","0.81","3.71","0.0","0.0","0.0","0.0","61.88","80.01","320.04","160.02","258.16","240.03","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","348.94","0.08","0.8","0.0","4.73","0.8","3.8","0.0","0.0","0.0","0.0","65.68","80.01","320.04","160.02","254.36","240.03","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","348.94","0.08","0.8","0.0","4.93","0.8","3.92","0.0","0.0","0.0","0.0","69.6","80.01","320.04","160.02","250.44","240.03","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","348.94","0.08","0.79","0.0","4.89","0.79","3.85","0.0","0.0","0.0","0.0","73.45","80.01","320.04","160.02","246.59","240.03","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","348.94","0.08","0.78","0.0","3.76","0.78","2.93","0.31","0.31","0.0","0.0","76.07","80.01","320.04","160.02","243.97","240.03","0.0","","","","","","",""
