" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","21.35","0.13","1.05","0.0","7.51","1.05","7.89","0.0","0.0","0.0","0.0","7.89","70.31","324.37","162.18","316.48","254.06","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","21.35","0.13","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","15.28","70.31","324.37","162.18","309.09","254.06","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","21.35","0.12","1.05","0.0","6.26","1.05","6.57","0.0","0.0","0.0","0.0","21.85","70.31","324.37","162.18","302.52","254.06","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","21.35","0.12","1.05","0.0","6.37","1.05","6.69","0.0","0.0","0.0","0.0","28.54","70.31","324.37","162.18","295.83","254.06","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","21.35","0.12","1.05","0.0","6.44","1.05","6.76","0.0","0.0","0.0","0.0","35.3","70.31","324.37","162.18","289.07","254.06","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","21.35","0.12","1.05","0.0","7.13","1.05","7.49","0.0","0.0","0.0","0.0","42.79","70.31","324.37","162.18","281.58","254.06","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","21.35","0.12","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","49.67","70.31","324.37","162.18","274.7","254.06","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","21.35","0.12","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","56.41","70.31","324.37","162.18","267.96","254.06","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","21.35","0.12","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","63.98","70.31","324.37","162.18","260.39","254.06","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","21.35","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","71.25","","","","","","",""
"2016.0","7.0","13.0","195.0","21.35","0.12","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","7.67","70.31","324.37","162.18","316.7","254.06","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","21.35","0.12","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","15.51","70.31","324.37","162.18","308.86","254.06","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","21.35","0.12","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","23.3","70.31","324.37","162.18","301.07","254.06","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","21.35","0.11","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","30.69","70.31","324.37","162.18","293.68","254.06","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","21.35","0.11","1.05","0.0","6.77","1.05","7.11","0.0","0.0","0.0","0.0","37.8","70.31","324.37","162.18","286.57","254.06","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","21.35","0.11","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","44.51","70.31","324.37","162.18","279.86","254.06","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","21.35","0.11","1.05","0.0","6.61","1.05","6.94","0.0","0.0","0.0","0.0","51.45","70.31","324.37","162.18","272.92","254.06","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","21.35","0.11","1.05","0.0","6.99","1.05","7.34","0.0","0.0","0.0","0.0","58.79","70.31","324.37","162.18","265.58","254.06","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","21.35","0.11","1.05","0.0","7.31","1.05","7.68","0.0","0.0","0.0","0.0","66.47","70.31","324.37","162.18","257.9","254.06","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","21.35","0.11","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","73.87","","","","","","",""
"2016.0","7.0","23.0","205.0","21.35","0.11","1.05","0.0","7.68","1.05","8.06","0.0","0.0","0.0","0.0","8.06","70.31","324.37","162.18","316.3","254.06","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","21.35","0.11","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","15.89","70.31","324.37","162.18","308.48","254.06","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","21.35","0.11","1.05","0.0","7.34","1.05","7.71","0.0","0.0","0.0","0.0","23.59","70.31","324.37","162.18","300.77","254.06","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","21.35","0.11","1.05","0.0","7.28","1.05","7.64","0.0","0.0","0.0","0.0","31.24","70.31","324.37","162.18","293.13","254.06","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","21.35","0.11","1.05","0.0","7.81","1.05","8.2","0.0","0.0","0.0","0.0","39.44","70.31","324.37","162.18","284.93","254.06","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","21.35","0.11","1.05","0.0","7.74","1.05","8.13","0.0","0.0","0.0","0.0","47.57","70.31","324.37","162.18","276.8","254.06","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","21.35","0.1","1.05","0.0","7.69","1.05","8.07","0.0","0.0","0.0","0.0","55.64","70.31","324.37","162.18","268.73","254.06","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","21.35","0.1","1.05","0.0","8.02","1.05","8.42","0.0","0.0","0.0","0.0","64.06","70.31","324.37","162.18","260.31","254.06","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","21.35","0.1","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","71.58","","","","","","",""
"2016.0","8.0","1.0","214.0","21.35","0.1","1.05","0.0","6.81","1.05","7.15","0.0","0.0","0.0","0.0","7.15","70.31","324.37","162.18","317.22","254.06","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","21.35","0.1","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","14.11","70.31","324.37","162.18","310.26","254.06","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","21.35","0.1","1.05","0.0","7.11","1.05","7.47","0.0","0.0","0.0","0.0","21.58","70.31","324.37","162.18","302.79","254.06","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","21.35","0.1","1.05","0.0","6.21","1.05","6.52","0.0","0.0","0.0","0.0","28.1","70.31","324.37","162.18","296.27","254.06","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","21.35","0.1","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","34.09","70.31","324.37","162.18","290.27","254.06","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","21.35","0.1","1.05","0.0","6.04","1.05","6.34","0.0","0.0","0.0","0.0","40.44","70.31","324.37","162.18","283.93","254.06","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","21.35","0.1","1.05","0.0","6.06","1.05","6.36","0.0","0.0","0.0","0.0","46.8","70.31","324.37","162.18","277.57","254.06","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","21.35","0.1","1.05","0.0","6.5","1.05","6.83","0.0","0.0","0.0","0.0","53.62","70.31","324.37","162.18","270.74","254.06","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","21.35","0.1","1.05","0.0","6.23","1.05","6.54","0.0","0.0","0.0","0.0","60.17","70.31","324.37","162.18","264.2","254.06","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","21.35","0.1","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","66.81","70.31","324.37","162.18","257.56","254.06","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","21.35","0.1","1.05","0.0","6.49","1.05","6.81","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","73.63","","","","","","",""
"2016.0","8.0","12.0","225.0","21.35","0.1","1.05","0.0","6.71","1.05","7.05","0.0","0.0","0.0","0.0","7.05","70.31","324.37","162.18","317.32","254.06","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","21.35","0.1","1.05","0.0","7.07","1.05","7.42","0.0","0.0","0.0","0.0","14.47","70.31","324.37","162.18","309.9","254.06","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","21.35","0.1","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","22.12","70.31","324.37","162.18","302.24","254.06","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","21.35","0.1","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","29.12","70.31","324.37","162.18","295.25","254.06","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","21.35","0.1","1.05","0.0","6.67","1.05","7.0","0.0","0.0","0.0","0.0","36.12","70.31","324.37","162.18","288.25","254.06","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","21.35","0.09","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","43.0","70.31","324.37","162.18","281.37","254.06","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","21.35","0.09","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","49.83","70.31","324.37","162.18","274.54","254.06","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","21.35","0.09","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","56.64","70.31","324.37","162.18","267.73","254.06","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","21.35","0.09","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","63.35","70.31","324.37","162.18","261.02","254.06","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","21.35","0.09","1.04","0.0","6.41","1.04","6.64","0.0","0.0","0.0","0.0","69.99","70.31","324.37","162.18","254.38","254.06","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","21.35","0.09","1.02","0.0","6.18","1.02","6.32","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","76.31","","","","","","",""
"2016.0","8.0","23.0","236.0","21.35","0.09","1.01","0.0","6.06","1.01","6.12","0.0","0.0","0.0","0.0","6.12","70.31","324.37","162.18","318.25","254.06","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","21.35","0.09","1.0","0.0","5.99","1.0","5.97","0.0","0.0","0.0","0.0","12.09","70.31","324.37","162.18","312.28","254.06","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","21.35","0.09","0.98","0.0","5.86","0.98","5.76","0.0","0.0","0.0","0.0","17.85","70.31","324.37","162.18","306.52","254.06","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","21.35","0.09","0.97","0.0","5.48","0.97","5.31","0.0","0.0","0.0","0.0","23.16","70.31","324.37","162.18","301.21","254.06","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","21.35","0.09","0.96","0.0","5.34","0.96","5.11","0.0","0.0","0.0","0.0","28.27","70.31","324.37","162.18","296.1","254.06","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","21.35","0.09","0.94","0.0","5.69","0.94","5.36","0.0","0.0","0.0","0.0","33.63","70.31","324.37","162.18","290.74","254.06","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","21.35","0.09","0.93","0.0","5.85","0.93","5.44","0.0","0.0","0.0","0.0","39.07","70.31","324.37","162.18","285.3","254.06","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","21.35","0.09","0.92","0.0","6.27","0.92","5.74","0.0","0.0","0.0","0.0","44.81","70.31","324.37","162.18","279.56","254.06","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","21.35","0.09","0.9","0.0","6.04","0.9","5.45","0.0","0.0","0.0","0.0","50.26","70.31","324.37","162.18","274.11","254.06","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","21.35","0.09","0.89","0.0","5.2","0.89","4.62","0.0","0.0","0.0","0.0","54.88","70.31","324.37","162.18","269.49","254.06","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","21.35","0.09","0.88","0.0","5.28","0.88","4.62","0.0","0.0","0.0","0.0","59.51","70.31","324.37","162.18","264.86","254.06","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","21.35","0.09","0.86","0.0","5.28","0.86","4.55","0.0","0.0","0.0","0.0","64.06","70.31","324.37","162.18","260.31","254.06","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","21.35","0.09","0.85","0.0","4.62","0.85","3.92","0.0","0.0","0.0","0.0","67.98","70.31","324.37","162.18","256.39","254.06","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","21.35","0.09","0.84","0.0","5.38","0.84","4.49","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","72.47","","","","","","",""
"2016.0","9.0","6.0","250.0","21.35","0.09","0.82","0.0","5.09","0.82","4.18","0.0","0.0","0.0","0.0","4.18","81.09","324.37","162.18","320.18","243.28","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","21.35","0.09","0.81","0.0","5.71","0.81","4.62","0.0","0.0","0.0","0.0","8.8","81.09","324.37","162.18","315.57","243.28","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","21.35","0.09","0.8","0.0","5.88","0.8","4.68","0.0","0.0","0.0","0.0","13.48","81.09","324.37","162.18","310.89","243.28","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","21.35","0.09","0.78","0.0","5.42","0.78","4.24","0.0","0.0","0.0","0.0","17.71","81.09","324.37","162.18","306.66","243.28","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","21.35","0.09","0.77","0.0","5.5","0.77","4.23","0.0","0.0","0.0","0.0","21.94","81.09","324.37","162.18","302.43","243.28","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","21.35","0.09","0.75","0.0","4.98","0.75","3.76","0.0","0.0","0.0","0.0","25.7","81.09","324.37","162.18","298.67","243.28","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","21.35","0.09","0.74","0.0","4.45","0.74","3.3","0.0","0.0","0.0","0.0","29.0","81.09","324.37","162.18","295.37","243.28","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","21.35","0.09","0.73","0.0","3.88","0.73","2.82","0.0","0.0","0.0","0.0","31.82","81.09","324.37","162.18","292.55","243.28","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","21.35","0.09","0.71","0.0","4.26","0.71","3.04","0.0","0.0","0.0","0.0","34.87","81.09","324.37","162.18","289.5","243.28","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","21.35","0.09","0.7","0.0","4.66","0.7","3.27","0.0","0.0","0.0","0.0","38.13","81.09","324.37","162.18","286.23","243.28","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","21.35","0.09","0.69","0.0","4.85","0.69","3.34","0.0","0.0","0.0","0.0","41.47","81.09","324.37","162.18","282.9","243.28","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","21.35","0.09","0.67","0.0","4.9","0.67","3.3","0.0","0.0","0.0","0.0","44.77","81.09","324.37","162.18","279.59","243.28","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","21.35","0.09","0.66","0.0","4.71","0.66","3.11","0.0","0.0","0.0","0.0","47.89","81.09","324.37","162.18","276.48","243.28","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","21.35","0.09","0.65","0.0","5.26","0.65","3.41","0.0","0.0","0.0","0.0","51.29","81.09","324.37","162.18","273.07","243.28","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","21.35","0.09","0.63","0.0","5.95","0.63","3.77","0.0","0.0","0.0","0.0","55.07","81.09","324.37","162.18","269.3","243.28","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","21.35","0.08","0.62","0.0","5.65","0.62","3.51","0.0","0.0","0.0","0.0","58.57","81.09","324.37","162.18","265.79","243.28","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","21.35","0.08","0.61","0.0","4.38","0.61","2.66","0.0","0.0","0.0","0.0","61.23","81.09","324.37","162.18","263.13","243.28","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","21.35","0.08","0.59","0.0","4.65","0.59","2.76","0.0","0.0","0.0","0.0","64.0","81.09","324.37","162.18","260.37","243.28","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","21.35","0.08","0.58","0.0","4.71","0.58","2.73","0.0","0.0","0.0","0.0","66.73","81.09","324.37","162.18","257.64","243.28","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","21.35","0.08","0.57","0.0","4.31","0.57","2.44","0.0","0.0","0.0","0.0","69.17","81.09","324.37","162.18","255.19","243.28","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","21.35","0.08","0.55","0.0","4.55","0.55","2.52","0.0","0.0","0.0","0.0","71.69","81.09","324.37","162.18","252.68","243.28","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","21.35","0.08","0.54","0.0","4.71","0.54","2.54","0.0","0.0","0.0","0.0","74.24","81.09","324.37","162.18","250.13","243.28","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","21.35","0.08","0.53","0.0","4.84","0.53","2.55","0.0","0.0","0.0","0.0","76.79","81.09","324.37","162.18","247.58","243.28","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","21.35","0.08","0.51","0.0","4.79","0.51","2.46","0.0","0.0","0.0","0.0","79.25","81.09","324.37","162.18","245.12","243.28","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","21.35","0.08","0.5","0.0","3.68","0.5","1.84","0.46","0.46","0.0","0.0","80.63","81.09","324.37","162.18","243.74","243.28","0.0","","","","","","",""
