" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","8087.82","0.13","0.95","0.0","7.37","0.95","7.0","0.0","0.0","0.0","0.0","43.87","48.22","201.17","100.58","157.3","152.95","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","8087.82","0.12","0.95","0.0","7.33","0.95","6.96","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","50.83","","","","","","",""
"2016.0","7.0","3.0","185.0","8087.82","0.12","0.95","0.0","7.61","0.95","7.23","0.0","0.0","0.0","0.0","7.23","48.22","201.17","100.58","193.94","152.95","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","8087.82","0.12","0.95","0.0","7.15","0.95","6.79","0.0","0.0","0.0","0.0","14.02","48.22","201.17","100.58","187.15","152.95","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","8087.82","0.12","0.95","0.0","6.39","0.95","6.07","0.0","0.0","0.0","0.0","20.09","48.22","201.17","100.58","181.08","152.95","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","8087.82","0.12","0.95","0.0","6.42","0.95","6.1","0.0","0.0","0.0","0.0","26.19","48.22","201.17","100.58","174.98","152.95","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","8087.82","0.12","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","32.33","48.22","201.17","100.58","168.84","152.95","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","8087.82","0.12","0.95","0.0","7.14","0.95","6.78","0.0","0.0","0.0","0.0","39.11","48.22","201.17","100.58","162.06","152.95","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","8087.82","0.12","0.95","0.0","6.6","0.95","6.27","0.0","0.0","0.0","0.0","45.38","48.22","201.17","100.58","155.79","152.95","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","8087.82","0.12","0.95","0.0","6.38","0.95","6.06","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.44","","","","","","",""
"2016.0","7.0","11.0","193.0","8087.82","0.12","0.95","0.0","7.2","0.95","6.84","0.0","0.0","0.0","0.0","6.84","48.22","201.17","100.58","194.33","152.95","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","8087.82","0.12","0.95","0.0","6.95","0.95","6.6","0.0","0.0","0.0","0.0","13.44","48.22","201.17","100.58","187.73","152.95","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","8087.82","0.11","0.95","0.0","7.33","0.95","6.96","0.0","0.0","0.0","0.0","20.41","48.22","201.17","100.58","180.76","152.95","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","8087.82","0.11","0.95","0.0","7.52","0.95","7.14","0.0","0.0","0.0","0.0","27.55","48.22","201.17","100.58","173.62","152.95","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","8087.82","0.11","0.95","0.0","7.52","0.95","7.14","0.0","0.0","0.0","0.0","34.69","48.22","201.17","100.58","166.47","152.95","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","8087.82","0.11","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","41.47","48.22","201.17","100.58","159.7","152.95","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","8087.82","0.11","0.95","0.0","6.87","0.95","6.53","0.0","0.0","0.0","0.0","47.99","48.22","201.17","100.58","153.17","152.95","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","8087.82","0.11","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","54.14","","","","","","",""
"2016.0","7.0","19.0","201.0","8087.82","0.11","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","6.31","48.22","201.17","100.58","194.86","152.95","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","8087.82","0.11","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","12.9","48.22","201.17","100.58","188.27","152.95","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","8087.82","0.11","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","19.93","48.22","201.17","100.58","181.24","152.95","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","8087.82","0.11","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","26.58","48.22","201.17","100.58","174.59","152.95","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","8087.82","0.11","0.95","0.0","7.65","0.95","7.27","0.0","0.0","0.0","0.0","33.85","48.22","201.17","100.58","167.32","152.95","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","8087.82","0.11","0.95","0.0","7.51","0.95","7.13","0.0","0.0","0.0","0.0","40.98","48.22","201.17","100.58","160.19","152.95","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","8087.82","0.11","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","48.01","48.22","201.17","100.58","153.16","152.95","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","8087.82","0.1","0.95","0.0","7.34","0.95","6.97","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","54.99","","","","","","",""
"2016.0","7.0","27.0","209.0","8087.82","0.1","0.95","0.0","7.92","0.95","7.52","0.0","0.0","0.0","0.0","7.52","48.22","201.17","100.58","193.64","152.95","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","8087.82","0.1","0.95","0.0","7.83","0.95","7.44","0.0","0.0","0.0","0.0","14.96","48.22","201.17","100.58","186.21","152.95","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","8087.82","0.1","0.95","0.0","7.76","0.95","7.37","0.0","0.0","0.0","0.0","22.33","48.22","201.17","100.58","178.83","152.95","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","8087.82","0.1","0.95","0.0","8.21","0.95","7.8","0.0","0.0","0.0","0.0","30.13","48.22","201.17","100.58","171.03","152.95","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","8087.82","0.1","0.95","0.0","7.36","0.95","6.99","0.0","0.0","0.0","0.0","37.13","48.22","201.17","100.58","164.04","152.95","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","8087.82","0.1","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","43.71","48.22","201.17","100.58","157.46","152.95","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","8087.82","0.1","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","50.02","","","","","","",""
"2016.0","8.0","3.0","216.0","8087.82","0.1","0.95","0.0","7.25","0.95","6.89","0.0","0.0","0.0","0.0","6.89","48.22","201.17","100.58","194.28","152.95","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","8087.82","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","12.9","48.22","201.17","100.58","188.27","152.95","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","8087.82","0.1","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","18.37","48.22","201.17","100.58","182.8","152.95","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","8087.82","0.1","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","24.22","48.22","201.17","100.58","176.95","152.95","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","8087.82","0.1","0.95","0.0","6.08","0.95","5.78","0.0","0.0","0.0","0.0","29.99","48.22","201.17","100.58","171.18","152.95","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","8087.82","0.1","0.95","0.0","6.56","0.95","6.23","0.0","0.0","0.0","0.0","36.22","48.22","201.17","100.58","164.94","152.95","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","8087.82","0.1","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","42.18","48.22","201.17","100.58","158.99","152.95","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","8087.82","0.1","0.95","0.0","6.41","0.95","6.09","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","48.27","","","","","","",""
"2016.0","8.0","11.0","224.0","8087.82","0.1","0.95","0.0","6.57","0.95","6.24","0.0","0.0","0.0","0.0","6.24","48.22","201.17","100.58","194.93","152.95","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","8087.82","0.1","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","12.67","48.22","201.17","100.58","188.5","152.95","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","8087.82","0.1","0.95","0.0","7.07","0.95","6.72","0.0","0.0","0.0","0.0","19.39","48.22","201.17","100.58","181.78","152.95","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","8087.82","0.09","0.95","0.0","7.33","0.95","6.96","0.0","0.0","0.0","0.0","26.35","48.22","201.17","100.58","174.82","152.95","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","8087.82","0.09","0.95","0.0","6.72","0.95","6.38","0.0","0.0","0.0","0.0","32.74","48.22","201.17","100.58","168.43","152.95","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","8087.82","0.09","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","39.18","48.22","201.17","100.58","161.99","152.95","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","8087.82","0.09","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","45.51","48.22","201.17","100.58","155.66","152.95","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","8087.82","0.09","0.95","0.0","6.59","0.95","6.26","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.77","","","","","","",""
"2016.0","8.0","19.0","232.0","8087.82","0.09","0.95","0.0","6.54","0.95","6.21","0.0","0.0","0.0","0.0","6.21","48.22","201.17","100.58","194.96","152.95","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","8087.82","0.09","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","12.34","48.22","201.17","100.58","188.83","152.95","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","8087.82","0.09","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","18.47","48.22","201.17","100.58","182.7","152.95","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","8087.82","0.09","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","24.41","48.22","201.17","100.58","176.76","152.95","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","8087.82","0.09","0.95","0.0","6.05","0.95","5.75","0.0","0.0","0.0","0.0","30.15","48.22","201.17","100.58","171.02","152.95","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","8087.82","0.09","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","35.86","48.22","201.17","100.58","165.31","152.95","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","8087.82","0.09","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","41.52","48.22","201.17","100.58","159.65","152.95","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","8087.82","0.09","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","46.82","48.22","201.17","100.58","154.35","152.95","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","8087.82","0.09","0.95","0.0","5.4","0.95","5.13","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.95","","","","","","",""
"2016.0","8.0","28.0","241.0","8087.82","0.09","0.95","0.0","5.72","0.95","5.43","0.0","0.0","0.0","0.0","5.43","48.22","201.17","100.58","195.73","152.95","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","8087.82","0.09","0.95","0.0","5.81","0.95","5.52","0.0","0.0","0.0","0.0","10.95","48.22","201.17","100.58","190.21","152.95","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","8087.82","0.09","0.95","0.0","6.2","0.95","5.89","0.0","0.0","0.0","0.0","16.84","48.22","201.17","100.58","184.32","152.95","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","8087.82","0.09","0.95","0.0","6.02","0.95","5.72","0.0","0.0","0.0","0.0","22.56","48.22","201.17","100.58","178.61","152.95","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","8087.82","0.09","0.95","0.0","5.18","0.95","4.92","0.0","0.0","0.0","0.0","27.48","48.22","201.17","100.58","173.68","152.95","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","8087.82","0.09","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","32.53","48.22","201.17","100.58","168.64","152.95","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","8087.82","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","37.62","48.22","201.17","100.58","163.55","152.95","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","8087.82","0.09","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","42.01","48.22","201.17","100.58","159.16","152.95","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","8087.82","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","47.1","48.22","201.17","100.58","154.07","152.95","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","8087.82","0.09","0.95","0.0","5.11","0.95","4.85","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.96","","","","","","",""
"2016.0","9.0","7.0","251.0","8087.82","0.09","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","5.47","48.22","201.17","100.58","195.7","152.95","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","8087.82","0.09","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","11.14","48.22","201.17","100.58","190.02","152.95","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","8087.82","0.09","0.95","0.0","5.42","0.95","5.15","0.0","0.0","0.0","0.0","16.29","48.22","201.17","100.58","184.88","152.95","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","8087.82","0.09","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","21.53","48.22","201.17","100.58","179.64","152.95","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","8087.82","0.09","0.95","0.0","5.02","0.95","4.77","0.0","0.0","0.0","0.0","26.3","48.22","201.17","100.58","174.87","152.95","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","8087.82","0.09","0.95","0.0","4.43","0.95","4.21","0.0","0.0","0.0","0.0","30.5","48.22","201.17","100.58","170.66","152.95","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","8087.82","0.09","0.95","0.0","3.89","0.95","3.7","0.0","0.0","0.0","0.0","34.2","48.22","201.17","100.58","166.97","152.95","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","8087.82","0.09","0.95","0.0","4.24","0.95","4.03","0.0","0.0","0.0","0.0","38.23","48.22","201.17","100.58","162.94","152.95","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","8087.82","0.08","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","42.62","48.22","201.17","100.58","158.55","152.95","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","8087.82","0.08","0.95","0.0","4.84","0.95","4.6","0.0","0.0","0.0","0.0","47.22","48.22","201.17","100.58","153.95","152.95","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","8087.82","0.08","0.95","0.0","4.94","0.95","4.69","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.91","","","","","","",""
"2016.0","9.0","18.0","262.0","8087.82","0.08","0.95","0.0","4.75","0.95","4.51","0.0","0.0","0.0","0.0","4.51","48.22","201.17","100.58","196.66","152.95","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","8087.82","0.08","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","9.6","48.22","201.17","100.58","191.57","152.95","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","8087.82","0.08","0.95","0.0","6.16","0.95","5.85","0.0","0.0","0.0","0.0","15.45","48.22","201.17","100.58","185.72","152.95","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","8087.82","0.08","0.95","0.0","5.64","0.95","5.36","0.0","0.0","0.0","0.0","20.81","48.22","201.17","100.58","180.36","152.95","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","8087.82","0.08","0.95","0.0","4.31","0.95","4.09","0.0","0.0","0.0","0.0","24.9","48.22","201.17","100.58","176.27","152.95","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","8087.82","0.08","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","29.25","48.22","201.17","100.58","171.92","152.95","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","8087.82","0.08","0.95","0.0","4.82","0.95","4.58","0.0","0.0","0.0","0.0","33.83","48.22","201.17","100.58","167.34","152.95","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","8087.82","0.08","0.95","0.0","4.47","0.95","4.25","0.0","0.0","0.0","0.0","38.08","48.22","201.17","100.58","163.09","152.95","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","8087.82","0.08","0.95","0.0","4.57","0.95","4.34","0.0","0.0","0.0","0.0","42.42","48.22","201.17","100.58","158.75","152.95","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","8087.82","0.08","0.95","0.0","4.73","0.95","4.49","0.0","0.0","0.0","0.0","46.91","48.22","201.17","100.58","154.26","152.95","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","8087.82","0.08","0.95","0.0","4.93","0.95","4.68","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.59","","","","","","",""
"2016.0","9.0","29.0","273.0","8087.82","0.08","0.95","0.0","4.89","0.95","4.65","0.0","0.0","0.0","0.0","4.65","48.22","201.17","100.58","196.52","152.95","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","8087.82","0.08","0.95","0.0","3.76","0.95","3.57","0.31","0.31","0.0","0.0","7.91","48.22","201.17","100.58","193.26","152.95","0.0","","","","","","",""
