" Daily soil water balance output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","5715.76","0.14","0.0","0.0","7.23","0.14","0.98","0.0","0.0","0.0","0.0","5.16","29.7","600.92","300.46","595.75","571.22","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","5715.76","0.13","0.0","0.0","7.18","0.13","0.96","0.0","0.0","0.0","0.0","6.13","29.7","600.92","300.46","594.79","571.22","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","5715.76","0.13","0.0","0.0","7.44","0.13","0.99","0.0","0.0","0.0","0.0","7.11","29.7","600.92","300.46","593.8","571.22","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","5715.76","0.13","0.0","0.0","7.0","0.13","0.92","0.0","0.0","0.0","0.0","8.03","29.7","600.92","300.46","592.88","571.22","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","5715.76","0.13","0.0","0.0","6.29","0.13","0.82","0.0","0.0","0.0","0.0","8.85","29.7","600.92","300.46","592.06","571.22","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","5715.76","0.13","0.0","0.0","6.38","0.13","0.82","0.0","0.0","0.0","0.0","9.68","29.7","600.92","300.46","591.24","571.22","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","5715.76","0.13","0.0","0.0","6.53","0.13","0.84","0.0","0.0","0.0","0.0","10.52","29.7","600.92","300.46","590.4","571.22","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","5715.76","0.13","0.0","0.0","7.11","0.13","0.9","0.0","0.0","0.0","0.0","11.42","29.7","600.92","300.46","589.5","571.22","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","5715.76","0.13","0.0","0.0","6.6","0.13","0.83","0.0","0.0","0.0","0.0","12.25","29.7","600.92","300.46","588.67","571.22","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","5715.76","0.13","0.0","0.0","6.47","0.13","0.81","0.0","0.0","0.0","0.0","13.06","29.7","600.92","300.46","587.86","571.22","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","5715.76","0.12","0.0","0.0","7.23","0.12","0.9","0.0","0.0","0.0","0.0","13.96","29.7","600.92","300.46","586.96","571.22","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","5715.76","0.12","0.0","0.0","6.91","0.12","0.85","0.0","0.0","0.0","0.0","14.8","29.7","600.92","300.46","586.11","571.22","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","5715.76","0.12","0.0","0.0","7.23","0.12","0.88","0.0","0.0","0.0","0.0","15.69","29.7","600.92","300.46","585.23","571.22","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","5715.76","0.12","0.0","0.0","7.4","0.12","0.89","0.0","0.0","0.0","0.0","16.58","29.7","600.92","300.46","584.34","571.22","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","5715.76","0.12","0.0","0.0","7.32","0.12","0.88","0.0","0.0","0.0","0.0","17.46","29.7","600.92","300.46","583.46","571.22","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","5715.76","0.12","0.0","0.0","7.01","0.12","0.83","0.0","0.0","0.0","0.0","18.29","29.7","600.92","300.46","582.63","571.22","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","5715.76","0.12","0.0","0.0","6.76","0.12","0.8","0.0","0.0","0.0","0.0","19.09","29.7","600.92","300.46","581.83","571.22","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","5715.76","0.12","0.0","0.0","6.37","0.12","0.75","0.0","0.0","0.0","0.0","19.83","29.7","600.92","300.46","581.08","571.22","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","5715.76","0.12","0.0","0.0","6.63","0.12","0.77","0.0","0.0","0.0","0.0","20.61","29.7","600.92","300.46","580.31","571.22","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","5715.76","0.12","0.0","0.0","7.06","0.12","0.82","0.0","0.0","0.0","0.0","21.42","29.7","600.92","300.46","579.5","571.22","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","5715.76","0.11","0.0","0.0","7.27","0.11","0.83","0.0","0.0","0.0","0.0","22.25","29.7","600.92","300.46","578.66","571.22","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","5715.76","0.11","0.0","0.0","7.13","0.11","0.81","0.0","0.0","0.0","0.0","23.07","29.7","600.92","300.46","577.85","571.22","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","5715.76","0.11","0.0","0.0","7.72","0.11","0.87","0.0","0.0","0.0","0.0","23.94","29.7","600.92","300.46","576.98","571.22","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","5715.76","0.11","0.0","0.0","7.38","0.11","0.83","0.0","0.0","0.0","0.0","24.76","29.7","600.92","300.46","576.15","571.22","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","5715.76","0.11","0.0","0.0","7.29","0.11","0.81","0.0","0.0","0.0","0.0","25.57","29.7","600.92","300.46","575.34","571.22","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","5715.76","0.11","0.0","0.0","7.3","0.11","0.81","0.0","0.0","0.0","0.0","26.38","29.7","600.92","300.46","574.54","571.22","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","5715.76","0.11","0.0","0.0","7.67","0.11","0.84","0.0","0.0","0.0","0.0","27.22","29.7","600.92","300.46","573.7","571.22","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","5715.76","0.11","0.0","0.0","7.66","0.11","0.83","0.0","0.0","0.0","0.0","28.06","29.7","600.92","300.46","572.86","571.22","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","5715.76","0.11","0.0","0.0","7.57","0.11","0.82","0.0","0.0","0.0","0.0","28.87","29.7","600.92","300.46","572.04","571.22","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","5715.76","0.11","0.0","0.0","7.81","0.11","0.84","0.0","0.0","0.0","0.0","29.71","29.7","600.92","300.46","571.21","571.22","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","5715.76","0.11","0.0","0.0","6.98","0.11","0.74","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","5715.76","0.11","0.0","0.0","6.7","0.11","0.71","0.0","0.0","0.0","0.0","30.41","29.7","600.92","300.46","570.51","571.22","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","5715.76","0.11","0.0","0.0","6.65","0.11","0.7","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","5715.76","0.1","0.0","0.0","7.01","0.1","0.73","0.0","0.0","0.0","0.0","30.43","29.7","600.92","300.46","570.48","571.22","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","5715.76","0.1","0.0","0.0","6.22","0.1","0.65","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","5715.76","0.1","0.0","0.0","5.72","0.1","0.59","0.0","0.0","0.0","0.0","30.29","29.7","600.92","300.46","570.62","571.22","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","5715.76","0.1","0.0","0.0","6.01","0.1","0.62","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","5715.76","0.1","0.0","0.0","6.09","0.1","0.63","0.0","0.0","0.0","0.0","30.33","29.7","600.92","300.46","570.59","571.22","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","5715.76","0.1","0.0","0.0","6.44","0.1","0.66","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","5715.76","0.1","0.0","0.0","6.18","0.1","0.63","0.0","0.0","0.0","0.0","30.33","29.7","600.92","300.46","570.59","571.22","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","5715.76","0.1","0.0","0.0","6.26","0.1","0.63","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","5715.76","0.1","0.0","0.0","6.46","0.1","0.65","0.0","0.0","0.0","0.0","30.35","29.7","600.92","300.46","570.57","571.22","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","5715.76","0.1","0.0","0.0","6.65","0.1","0.67","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","5715.76","0.1","0.0","0.0","7.06","0.1","0.7","0.0","0.0","0.0","0.0","30.4","29.7","600.92","300.46","570.51","571.22","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","5715.76","0.1","0.0","0.0","7.26","0.1","0.72","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","5715.76","0.1","0.0","0.0","6.64","0.1","0.65","0.0","0.0","0.0","0.0","30.35","29.7","600.92","300.46","570.56","571.22","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","5715.76","0.1","0.0","0.0","6.57","0.1","0.64","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","5715.76","0.1","0.0","0.0","6.46","0.1","0.63","0.0","0.0","0.0","0.0","30.33","29.7","600.92","300.46","570.59","571.22","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","5715.76","0.1","0.0","0.0","6.42","0.1","0.62","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","5715.76","0.1","0.0","0.0","6.44","0.1","0.62","0.0","0.0","0.0","0.0","30.32","29.7","600.92","300.46","570.6","571.22","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","5715.76","0.1","0.0","0.0","6.34","0.1","0.61","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","5715.76","0.1","0.0","0.0","6.38","0.1","0.61","0.0","0.0","0.0","0.0","30.31","29.7","600.92","300.46","570.61","571.22","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","5715.76","0.1","0.0","0.0","5.96","0.1","0.57","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","5715.76","0.1","0.0","0.0","6.1","0.1","0.58","0.0","0.0","0.0","0.0","30.28","29.7","600.92","300.46","570.64","571.22","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","5715.76","0.09","0.0","0.0","6.02","0.09","0.57","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","5715.76","0.09","0.0","0.0","5.81","0.09","0.55","0.0","0.0","0.0","0.0","30.25","29.7","600.92","300.46","570.67","571.22","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","5715.76","0.09","0.0","0.0","5.42","0.09","0.51","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","5715.76","0.09","0.0","0.0","5.32","0.09","0.5","0.0","0.0","0.0","0.0","30.2","29.7","600.92","300.46","570.72","571.22","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","5715.76","0.09","0.0","0.0","5.62","0.09","0.52","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","5715.76","0.09","0.0","0.0","5.87","0.09","0.55","0.0","0.0","0.0","0.0","30.25","29.7","600.92","300.46","570.67","571.22","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","5715.76","0.09","0.0","0.0","6.32","0.09","0.58","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","5715.76","0.09","0.0","0.0","6.07","0.09","0.56","0.0","0.0","0.0","0.0","30.26","29.7","600.92","300.46","570.66","571.22","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","5715.76","0.09","0.0","0.0","5.28","0.09","0.49","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","5715.76","0.09","0.0","0.0","5.32","0.09","0.49","0.0","0.0","0.0","0.0","30.19","29.7","600.92","300.46","570.73","571.22","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","5715.76","0.09","0.0","0.0","5.21","0.09","0.48","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","5715.76","0.09","0.0","0.0","4.61","0.09","0.42","0.0","0.0","0.0","0.0","30.12","29.7","600.92","300.46","570.8","571.22","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","5715.76","0.09","0.0","0.0","5.35","0.09","0.49","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","5715.76","0.09","0.0","0.0","5.1","0.09","0.46","0.0","0.0","0.0","0.0","30.16","29.7","600.92","300.46","570.76","571.22","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","5715.76","0.09","0.0","0.0","5.65","0.09","0.51","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","5715.76","0.09","0.0","0.0","5.78","0.09","0.52","0.0","0.0","0.0","0.0","30.22","29.7","600.92","300.46","570.7","571.22","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","5715.76","0.09","0.0","0.0","5.43","0.09","0.49","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","5715.76","0.09","0.0","0.0","5.49","0.09","0.49","0.0","0.0","0.0","0.0","30.19","29.7","600.92","300.46","570.73","571.22","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","5715.76","0.09","0.0","0.0","5.04","0.09","0.45","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","5715.76","0.09","0.0","0.0","4.58","0.09","0.41","0.0","0.0","0.0","0.0","30.11","29.7","600.92","300.46","570.81","571.22","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","5715.76","0.09","0.0","0.0","3.88","0.09","0.34","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","5715.76","0.09","0.0","0.0","4.27","0.09","0.38","0.0","0.0","0.0","0.0","30.08","29.7","600.92","300.46","570.84","571.22","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","5715.76","0.09","0.0","0.0","4.71","0.09","0.42","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","5715.76","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","30.13","29.7","600.92","300.46","570.79","571.22","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","5715.76","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","5715.76","0.09","0.0","0.0","4.73","0.09","0.41","0.0","0.0","0.0","0.0","30.11","29.7","600.92","300.46","570.8","571.22","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","5715.76","0.09","0.0","0.0","5.2","0.09","0.45","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","5715.76","0.09","0.0","0.0","5.65","0.09","0.49","0.0","0.0","0.0","0.0","30.19","29.7","600.92","300.46","570.73","571.22","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","5715.76","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","5715.76","0.09","0.0","0.0","4.4","0.09","0.38","0.0","0.0","0.0","0.0","30.08","29.7","600.92","300.46","570.84","571.22","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","5715.76","0.09","0.0","0.0","4.74","0.09","0.41","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","5715.76","0.09","0.0","0.0","4.57","0.09","0.39","0.0","0.0","0.0","0.0","30.09","29.7","600.92","300.46","570.82","571.22","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","5715.76","0.09","0.0","0.0","4.23","0.09","0.36","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","5715.76","0.09","0.0","0.0","4.58","0.09","0.39","0.0","0.0","0.0","0.0","30.09","29.7","600.92","300.46","570.83","571.22","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","5715.76","0.09","0.0","0.0","4.68","0.09","0.4","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","5715.76","0.09","0.0","0.0","4.75","0.09","0.41","0.0","0.0","0.0","0.0","30.11","29.7","600.92","300.46","570.81","571.22","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","5715.76","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","5715.76","0.09","0.0","0.0","3.59","0.09","0.31","2.27","2.27","0.0","0.0","27.74","29.7","600.92","300.46","573.18","571.22","0.0","","","","","","",""
