" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","11336.56","0.13","0.95","0.0","7.26","0.95","6.9","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","65.09","","","","","","",""
"2016.0","7.0","2.0","184.0","11336.56","0.13","0.95","0.0","7.24","0.95","6.88","0.0","0.0","0.0","0.0","6.88","59.69","254.81","127.41","247.93","195.13","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","11336.56","0.13","0.95","0.0","7.51","0.95","7.13","0.0","0.0","0.0","0.0","14.01","59.69","254.81","127.41","240.8","195.13","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","11336.56","0.13","0.95","0.0","7.04","0.95","6.69","0.0","0.0","0.0","0.0","20.7","59.69","254.81","127.41","234.11","195.13","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","11336.56","0.12","0.95","0.0","6.26","0.95","5.95","0.0","0.0","0.0","0.0","26.65","59.69","254.81","127.41","228.17","195.13","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","11336.56","0.12","0.95","0.0","6.37","0.95","6.05","0.0","0.0","0.0","0.0","32.7","59.69","254.81","127.41","222.11","195.13","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","11336.56","0.12","0.95","0.0","6.44","0.95","6.12","0.0","0.0","0.0","0.0","38.82","59.69","254.81","127.41","216.0","195.13","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","11336.56","0.12","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","45.59","59.69","254.81","127.41","209.22","195.13","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","11336.56","0.12","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","51.81","59.69","254.81","127.41","203.0","195.13","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","11336.56","0.12","0.95","0.0","6.42","0.95","6.1","0.0","0.0","0.0","0.0","57.91","59.69","254.81","127.41","196.9","195.13","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","11336.56","0.12","0.95","0.0","7.21","0.95","6.85","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","64.76","","","","","","",""
"2016.0","7.0","12.0","194.0","11336.56","0.12","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","6.58","59.69","254.81","127.41","248.23","195.13","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","11336.56","0.12","0.95","0.0","7.3","0.95","6.94","0.0","0.0","0.0","0.0","13.52","59.69","254.81","127.41","241.29","195.13","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","11336.56","0.12","0.95","0.0","7.47","0.95","7.1","0.0","0.0","0.0","0.0","20.62","59.69","254.81","127.41","234.2","195.13","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","11336.56","0.12","0.95","0.0","7.42","0.95","7.05","0.0","0.0","0.0","0.0","27.66","59.69","254.81","127.41","227.15","195.13","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","11336.56","0.11","0.95","0.0","7.04","0.95","6.69","0.0","0.0","0.0","0.0","34.35","59.69","254.81","127.41","220.46","195.13","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","11336.56","0.11","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","40.78","59.69","254.81","127.41","214.03","195.13","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","11336.56","0.11","0.95","0.0","6.39","0.95","6.07","0.0","0.0","0.0","0.0","46.85","59.69","254.81","127.41","207.96","195.13","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","11336.56","0.11","0.95","0.0","6.61","0.95","6.28","0.0","0.0","0.0","0.0","53.13","59.69","254.81","127.41","201.68","195.13","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","11336.56","0.11","0.95","0.0","6.99","0.95","6.64","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","59.77","","","","","","",""
"2016.0","7.0","21.0","203.0","11336.56","0.11","0.95","0.0","7.31","0.95","6.94","0.0","0.0","0.0","0.0","6.94","59.69","254.81","127.41","247.87","195.13","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","11336.56","0.11","0.95","0.0","7.05","0.95","6.7","0.0","0.0","0.0","0.0","13.64","59.69","254.81","127.41","241.17","195.13","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","11336.56","0.11","0.95","0.0","7.68","0.95","7.3","0.0","0.0","0.0","0.0","20.94","59.69","254.81","127.41","233.87","195.13","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","11336.56","0.11","0.95","0.0","7.45","0.95","7.08","0.0","0.0","0.0","0.0","28.02","59.69","254.81","127.41","226.8","195.13","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","11336.56","0.11","0.95","0.0","7.34","0.95","6.97","0.0","0.0","0.0","0.0","34.99","59.69","254.81","127.41","219.82","195.13","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","11336.56","0.11","0.95","0.0","7.28","0.95","6.92","0.0","0.0","0.0","0.0","41.9","59.69","254.81","127.41","212.91","195.13","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","11336.56","0.11","0.95","0.0","7.81","0.95","7.42","0.0","0.0","0.0","0.0","49.32","59.69","254.81","127.41","205.49","195.13","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","11336.56","0.11","0.95","0.0","7.74","0.95","7.35","0.0","0.0","0.0","0.0","56.68","59.69","254.81","127.41","198.14","195.13","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","11336.56","0.1","0.95","0.0","7.69","0.95","7.31","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","63.98","","","","","","",""
"2016.0","7.0","30.0","212.0","11336.56","0.1","0.95","0.0","8.02","0.95","7.62","0.0","0.0","0.0","0.0","7.62","59.69","254.81","127.41","247.19","195.13","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","11336.56","0.1","0.95","0.0","7.16","0.95","6.8","0.0","0.0","0.0","0.0","14.42","59.69","254.81","127.41","240.39","195.13","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","11336.56","0.1","0.95","0.0","6.81","0.95","6.47","0.0","0.0","0.0","0.0","20.89","59.69","254.81","127.41","233.92","195.13","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","11336.56","0.1","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","27.19","59.69","254.81","127.41","227.62","195.13","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","11336.56","0.1","0.95","0.0","7.11","0.95","6.75","0.0","0.0","0.0","0.0","33.94","59.69","254.81","127.41","220.87","195.13","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","11336.56","0.1","0.95","0.0","6.21","0.95","5.9","0.0","0.0","0.0","0.0","39.84","59.69","254.81","127.41","214.97","195.13","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","11336.56","0.1","0.95","0.0","5.71","0.95","5.42","0.0","0.0","0.0","0.0","45.27","59.69","254.81","127.41","209.55","195.13","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","11336.56","0.1","0.95","0.0","6.04","0.95","5.74","0.0","0.0","0.0","0.0","51.01","59.69","254.81","127.41","203.81","195.13","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","11336.56","0.1","0.95","0.0","6.06","0.95","5.76","0.0","0.0","0.0","0.0","56.76","59.69","254.81","127.41","198.05","195.13","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","11336.56","0.1","0.95","0.0","6.5","0.95","6.18","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","62.94","","","","","","",""
"2016.0","8.0","9.0","222.0","11336.56","0.1","0.95","0.0","6.23","0.95","5.92","0.0","0.0","0.0","0.0","5.92","59.69","254.81","127.41","248.89","195.13","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","11336.56","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","11.93","59.69","254.81","127.41","242.88","195.13","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","11336.56","0.1","0.95","0.0","6.49","0.95","6.17","0.0","0.0","0.0","0.0","18.1","59.69","254.81","127.41","236.72","195.13","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","11336.56","0.1","0.95","0.0","6.71","0.95","6.37","0.0","0.0","0.0","0.0","24.47","59.69","254.81","127.41","230.34","195.13","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","11336.56","0.1","0.95","0.0","7.07","0.95","6.72","0.0","0.0","0.0","0.0","31.19","59.69","254.81","127.41","223.62","195.13","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","11336.56","0.1","0.95","0.0","7.29","0.95","6.93","0.0","0.0","0.0","0.0","38.11","59.69","254.81","127.41","216.7","195.13","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","11336.56","0.1","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","44.44","59.69","254.81","127.41","210.37","195.13","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","11336.56","0.1","0.95","0.0","6.67","0.95","6.34","0.0","0.0","0.0","0.0","50.78","59.69","254.81","127.41","204.04","195.13","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","11336.56","0.09","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","57.0","59.69","254.81","127.41","197.81","195.13","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","11336.56","0.09","0.95","0.0","6.51","0.95","6.18","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","63.18","","","","","","",""
"2016.0","8.0","19.0","232.0","11336.56","0.09","0.95","0.0","6.48","0.95","6.16","0.0","0.0","0.0","0.0","6.16","59.69","254.81","127.41","248.66","195.13","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","11336.56","0.09","0.95","0.0","6.39","0.95","6.07","0.0","0.0","0.0","0.0","12.23","59.69","254.81","127.41","242.59","195.13","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","11336.56","0.09","0.95","0.0","6.41","0.95","6.09","0.0","0.0","0.0","0.0","18.32","59.69","254.81","127.41","236.5","195.13","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","11336.56","0.09","0.95","0.0","6.18","0.95","5.87","0.0","0.0","0.0","0.0","24.19","59.69","254.81","127.41","230.63","195.13","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","11336.56","0.09","0.95","0.0","6.06","0.95","5.76","0.0","0.0","0.0","0.0","29.94","59.69","254.81","127.41","224.87","195.13","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","11336.56","0.09","0.95","0.0","5.99","0.95","5.69","0.0","0.0","0.0","0.0","35.63","59.69","254.81","127.41","219.18","195.13","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","11336.56","0.09","0.95","0.0","5.86","0.95","5.57","0.0","0.0","0.0","0.0","41.2","59.69","254.81","127.41","213.61","195.13","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","11336.56","0.09","0.95","0.0","5.48","0.95","5.21","0.0","0.0","0.0","0.0","46.41","59.69","254.81","127.41","208.41","195.13","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","11336.56","0.09","0.95","0.0","5.34","0.95","5.07","0.0","0.0","0.0","0.0","51.48","59.69","254.81","127.41","203.33","195.13","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","11336.56","0.09","0.95","0.0","5.69","0.95","5.41","0.0","0.0","0.0","0.0","56.89","59.69","254.81","127.41","197.93","195.13","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","11336.56","0.09","0.95","0.0","5.85","0.95","5.56","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","62.44","","","","","","",""
"2016.0","8.0","30.0","243.0","11336.56","0.09","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","5.96","59.69","254.81","127.41","248.86","195.13","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","11336.56","0.09","0.95","0.0","6.04","0.95","5.74","0.0","0.0","0.0","0.0","11.69","59.69","254.81","127.41","243.12","195.13","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","11336.56","0.09","0.95","0.0","5.2","0.95","4.94","0.0","0.0","0.0","0.0","16.63","59.69","254.81","127.41","238.18","195.13","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","11336.56","0.09","0.95","0.0","5.28","0.95","5.02","0.0","0.0","0.0","0.0","21.65","59.69","254.81","127.41","233.16","195.13","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","11336.56","0.09","0.95","0.0","5.28","0.95","5.02","0.0","0.0","0.0","0.0","26.67","59.69","254.81","127.41","228.15","195.13","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","11336.56","0.09","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","31.06","59.69","254.81","127.41","223.76","195.13","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","11336.56","0.09","0.95","0.0","5.38","0.95","5.11","0.0","0.0","0.0","0.0","36.17","59.69","254.81","127.41","218.65","195.13","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","11336.56","0.09","0.95","0.0","5.09","0.95","4.84","0.0","0.0","0.0","0.0","41.0","59.69","254.81","127.41","213.81","195.13","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","11336.56","0.09","0.95","0.0","5.71","0.95","5.42","0.0","0.0","0.0","0.0","46.43","59.69","254.81","127.41","208.39","195.13","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","11336.56","0.09","0.95","0.0","5.88","0.95","5.59","0.0","0.0","0.0","0.0","52.01","59.69","254.81","127.41","202.8","195.13","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","11336.56","0.09","0.95","0.0","5.42","0.95","5.15","0.0","0.0","0.0","0.0","57.16","59.69","254.81","127.41","197.65","195.13","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","11336.56","0.09","0.95","0.0","5.5","0.95","5.23","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","62.39","","","","","","",""
"2016.0","9.0","11.0","255.0","11336.56","0.09","0.95","0.0","4.98","0.95","4.73","0.0","0.0","0.0","0.0","4.73","59.69","254.81","127.41","250.08","195.13","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","11336.56","0.09","0.95","0.0","4.45","0.95","4.23","0.0","0.0","0.0","0.0","8.96","59.69","254.81","127.41","245.85","195.13","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","11336.56","0.09","0.95","0.0","3.88","0.95","3.69","0.0","0.0","0.0","0.0","12.64","59.69","254.81","127.41","242.17","195.13","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","11336.56","0.09","0.95","0.0","4.26","0.95","4.05","0.0","0.0","0.0","0.0","16.69","59.69","254.81","127.41","238.12","195.13","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","11336.56","0.09","0.95","0.0","4.66","0.95","4.43","0.0","0.0","0.0","0.0","21.12","59.69","254.81","127.41","233.69","195.13","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","11336.56","0.09","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","25.73","59.69","254.81","127.41","229.09","195.13","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","11336.56","0.09","0.95","0.0","4.9","0.95","4.66","0.0","0.0","0.0","0.0","30.38","59.69","254.81","127.41","224.43","195.13","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","11336.56","0.09","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","34.86","59.69","254.81","127.41","219.96","195.13","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","11336.56","0.09","0.95","0.0","5.26","0.95","5.0","0.0","0.0","0.0","0.0","39.85","59.69","254.81","127.41","214.96","195.13","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","11336.56","0.09","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","45.51","59.69","254.81","127.41","209.31","195.13","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","11336.56","0.08","0.95","0.0","5.65","0.95","5.37","0.0","0.0","0.0","0.0","50.87","59.69","254.81","127.41","203.94","195.13","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","11336.56","0.08","0.95","0.0","4.38","0.95","4.16","0.0","0.0","0.0","0.0","55.03","59.69","254.81","127.41","199.78","195.13","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","11336.56","0.08","0.95","0.0","4.65","0.95","4.42","0.0","0.0","0.0","0.0","59.45","59.69","254.81","127.41","195.36","195.13","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","11336.56","0.08","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","63.93","","","","","","",""
"2016.0","9.0","25.0","269.0","11336.56","0.08","0.95","0.0","4.31","0.95","4.09","0.0","0.0","0.0","0.0","4.09","59.69","254.81","127.41","250.72","195.13","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","11336.56","0.08","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","8.42","59.69","254.81","127.41","246.4","195.13","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","11336.56","0.08","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","12.89","59.69","254.81","127.41","241.92","195.13","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","11336.56","0.08","0.95","0.0","4.84","0.95","4.6","0.0","0.0","0.0","0.0","17.49","59.69","254.81","127.41","237.32","195.13","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","11336.56","0.08","0.95","0.0","4.79","0.95","4.55","0.0","0.0","0.0","0.0","22.04","59.69","254.81","127.41","232.77","195.13","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","11336.56","0.08","0.95","0.0","3.68","0.95","3.5","0.46","0.46","0.0","0.0","25.08","59.69","254.81","127.41","229.74","195.13","0.0","","","","","","",""
