" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","401.64","0.14","0.73","0.0","7.01","0.73","5.12","0.0","0.0","0.0","0.0","5.12","63.11","290.17","145.08","285.05","227.06","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","401.64","0.14","0.74","0.0","6.57","0.74","4.87","0.0","0.0","0.0","0.0","9.99","63.11","290.17","145.08","280.18","227.06","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","401.64","0.13","0.75","0.0","5.91","0.75","4.44","0.0","0.0","0.0","0.0","14.43","63.11","290.17","145.08","275.74","227.06","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","401.64","0.13","0.76","0.0","6.04","0.76","4.6","0.0","0.0","0.0","0.0","19.03","63.11","290.17","145.08","271.14","227.06","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","401.64","0.13","0.77","0.0","6.16","0.77","4.76","0.0","0.0","0.0","0.0","23.79","63.11","290.17","145.08","266.38","227.06","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","401.64","0.13","0.78","0.0","6.78","0.78","5.31","0.0","0.0","0.0","0.0","29.1","63.11","290.17","145.08","261.07","227.06","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","401.64","0.13","0.79","0.0","6.33","0.79","5.02","0.0","0.0","0.0","0.0","34.12","63.11","290.17","145.08","256.05","227.06","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","401.64","0.13","0.8","0.0","6.31","0.8","5.07","0.0","0.0","0.0","0.0","39.2","63.11","290.17","145.08","250.97","227.06","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","401.64","0.13","0.81","0.0","6.98","0.81","5.69","0.0","0.0","0.0","0.0","44.88","63.11","290.17","145.08","245.29","227.06","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","401.64","0.13","0.82","0.0","6.6","0.82","5.44","0.0","0.0","0.0","0.0","50.33","63.11","290.17","145.08","239.84","227.06","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","401.64","0.13","0.84","0.0","6.97","0.84","5.82","0.0","0.0","0.0","0.0","56.15","63.11","290.17","145.08","234.02","227.06","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","401.64","0.12","0.85","0.0","7.11","0.85","6.02","0.0","0.0","0.0","0.0","62.17","63.11","290.17","145.08","228.0","227.06","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","401.64","0.12","0.86","0.0","6.93","0.86","5.94","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","68.1","","","","","","",""
"2016.0","7.0","16.0","198.0","401.64","0.12","0.87","0.0","6.59","0.87","5.71","0.0","0.0","0.0","0.0","5.71","63.11","290.17","145.08","284.46","227.06","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","401.64","0.12","0.88","0.0","6.32","0.88","5.55","0.0","0.0","0.0","0.0","11.26","63.11","290.17","145.08","278.91","227.06","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","401.64","0.12","0.89","0.0","6.04","0.89","5.36","0.0","0.0","0.0","0.0","16.62","63.11","290.17","145.08","273.55","227.06","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","401.64","0.12","0.9","0.0","6.33","0.9","5.69","0.0","0.0","0.0","0.0","22.31","63.11","290.17","145.08","267.86","227.06","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","401.64","0.12","0.91","0.0","6.77","0.91","6.15","0.0","0.0","0.0","0.0","28.46","63.11","290.17","145.08","261.71","227.06","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","401.64","0.12","0.92","0.0","6.91","0.92","6.35","0.0","0.0","0.0","0.0","34.82","63.11","290.17","145.08","255.35","227.06","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","401.64","0.12","0.93","0.0","6.81","0.93","6.33","0.0","0.0","0.0","0.0","41.15","63.11","290.17","145.08","249.02","227.06","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","401.64","0.12","0.93","0.0","7.41","0.93","6.89","0.0","0.0","0.0","0.0","48.04","63.11","290.17","145.08","242.13","227.06","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","401.64","0.12","0.93","0.0","7.14","0.93","6.64","0.0","0.0","0.0","0.0","54.68","63.11","290.17","145.08","235.49","227.06","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","401.64","0.11","0.93","0.0","6.89","0.93","6.41","0.0","0.0","0.0","0.0","61.09","63.11","290.17","145.08","229.08","227.06","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","401.64","0.11","0.93","0.0","7.01","0.93","6.52","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","67.61","","","","","","",""
"2016.0","7.0","27.0","209.0","401.64","0.11","0.93","0.0","7.35","0.93","6.84","0.0","0.0","0.0","0.0","6.84","63.11","290.17","145.08","283.33","227.06","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","401.64","0.11","0.93","0.0","7.27","0.93","6.76","0.0","0.0","0.0","0.0","13.6","63.11","290.17","145.08","276.57","227.06","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","401.64","0.11","0.93","0.0","7.1","0.93","6.6","0.0","0.0","0.0","0.0","20.2","63.11","290.17","145.08","269.97","227.06","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","401.64","0.11","0.93","0.0","7.36","0.93","6.84","0.0","0.0","0.0","0.0","27.04","63.11","290.17","145.08","263.13","227.06","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","401.64","0.11","0.93","0.0","6.54","0.93","6.08","0.0","0.0","0.0","0.0","33.13","63.11","290.17","145.08","257.04","227.06","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","401.64","0.11","0.93","0.0","6.31","0.93","5.87","0.0","0.0","0.0","0.0","38.99","63.11","290.17","145.08","251.17","227.06","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","401.64","0.11","0.93","0.0","6.3","0.93","5.86","0.0","0.0","0.0","0.0","44.85","63.11","290.17","145.08","245.32","227.06","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","401.64","0.11","0.93","0.0","6.63","0.93","6.17","0.0","0.0","0.0","0.0","51.02","63.11","290.17","145.08","239.15","227.06","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","401.64","0.11","0.93","0.0","5.71","0.93","5.31","0.0","0.0","0.0","0.0","56.33","63.11","290.17","145.08","233.84","227.06","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","401.64","0.11","0.93","0.0","5.44","0.93","5.06","0.0","0.0","0.0","0.0","61.39","63.11","290.17","145.08","228.78","227.06","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","401.64","0.11","0.93","0.0","5.68","0.93","5.28","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","66.67","","","","","","",""
"2016.0","8.0","7.0","220.0","401.64","0.11","0.93","0.0","5.85","0.93","5.44","0.0","0.0","0.0","0.0","5.44","63.11","290.17","145.08","284.73","227.06","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","401.64","0.11","0.93","0.0","6.22","0.93","5.78","0.0","0.0","0.0","0.0","11.23","63.11","290.17","145.08","278.94","227.06","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","401.64","0.1","0.93","0.0","5.96","0.93","5.54","0.0","0.0","0.0","0.0","16.77","63.11","290.17","145.08","273.4","227.06","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","401.64","0.1","0.93","0.0","6.0","0.93","5.58","0.0","0.0","0.0","0.0","22.35","63.11","290.17","145.08","267.82","227.06","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","401.64","0.1","0.93","0.0","6.14","0.93","5.71","0.0","0.0","0.0","0.0","28.06","63.11","290.17","145.08","262.11","227.06","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","401.64","0.1","0.93","0.0","6.32","0.93","5.88","0.0","0.0","0.0","0.0","33.94","63.11","290.17","145.08","256.23","227.06","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","401.64","0.1","0.93","0.0","6.75","0.93","6.28","0.0","0.0","0.0","0.0","40.21","63.11","290.17","145.08","249.96","227.06","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","401.64","0.1","0.93","0.0","6.91","0.93","6.43","0.0","0.0","0.0","0.0","46.64","63.11","290.17","145.08","243.53","227.06","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","401.64","0.1","0.93","0.0","6.22","0.93","5.78","0.0","0.0","0.0","0.0","52.42","63.11","290.17","145.08","237.75","227.06","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","401.64","0.1","0.93","0.0","6.25","0.93","5.81","0.0","0.0","0.0","0.0","58.24","63.11","290.17","145.08","231.93","227.06","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","401.64","0.1","0.93","0.0","6.17","0.93","5.74","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","63.97","","","","","","",""
"2016.0","8.0","18.0","231.0","401.64","0.1","0.93","0.0","6.13","0.93","5.7","0.0","0.0","0.0","0.0","5.7","63.11","290.17","145.08","284.47","227.06","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","401.64","0.1","0.93","0.0","6.11","0.93","5.68","0.0","0.0","0.0","0.0","11.38","63.11","290.17","145.08","278.79","227.06","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","401.64","0.1","0.93","0.0","5.97","0.93","5.55","0.0","0.0","0.0","0.0","16.94","63.11","290.17","145.08","273.23","227.06","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","401.64","0.1","0.93","0.0","6.06","0.93","5.64","0.0","0.0","0.0","0.0","22.57","63.11","290.17","145.08","267.6","227.06","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","401.64","0.1","0.93","0.0","5.78","0.93","5.38","0.0","0.0","0.0","0.0","27.95","63.11","290.17","145.08","262.22","227.06","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","401.64","0.1","0.93","0.0","5.78","0.93","5.38","0.0","0.0","0.0","0.0","33.32","63.11","290.17","145.08","256.85","227.06","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","401.64","0.1","0.93","0.0","5.68","0.93","5.28","0.0","0.0","0.0","0.0","38.6","63.11","290.17","145.08","251.57","227.06","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","401.64","0.1","0.93","0.0","5.45","0.93","5.07","0.0","0.0","0.0","0.0","43.67","63.11","290.17","145.08","246.5","227.06","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","401.64","0.1","0.93","0.0","5.13","0.93","4.77","0.0","0.0","0.0","0.0","48.44","63.11","290.17","145.08","241.73","227.06","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","401.64","0.1","0.93","0.0","5.07","0.93","4.72","0.0","0.0","0.0","0.0","53.16","63.11","290.17","145.08","237.01","227.06","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","401.64","0.1","0.93","0.0","5.37","0.93","4.99","0.0","0.0","0.0","0.0","58.15","63.11","290.17","145.08","232.02","227.06","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","401.64","0.1","0.93","0.0","5.55","0.93","5.16","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","63.31","","","","","","",""
"2016.0","8.0","30.0","243.0","401.64","0.1","0.93","0.0","6.02","0.93","5.6","0.0","0.0","0.0","0.0","5.6","63.11","290.17","145.08","284.57","227.06","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","401.64","0.09","0.93","0.0","5.79","0.93","5.38","0.0","0.0","0.0","0.0","10.98","63.11","290.17","145.08","279.19","227.06","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","401.64","0.09","0.93","0.0","5.01","0.93","4.66","0.0","0.0","0.0","0.0","15.64","63.11","290.17","145.08","274.53","227.06","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","401.64","0.09","0.93","0.0","5.11","0.93","4.75","0.0","0.0","0.0","0.0","20.39","63.11","290.17","145.08","269.77","227.06","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","401.64","0.09","0.93","0.0","5.0","0.93","4.65","0.0","0.0","0.0","0.0","25.04","63.11","290.17","145.08","265.12","227.06","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","401.64","0.09","0.93","0.0","4.55","0.93","4.23","0.0","0.0","0.0","0.0","29.28","63.11","290.17","145.08","260.89","227.06","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","401.64","0.09","0.93","0.0","5.22","0.93","4.85","0.0","0.0","0.0","0.0","34.13","63.11","290.17","145.08","256.04","227.06","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","401.64","0.09","0.93","0.0","4.99","0.93","4.64","0.0","0.0","0.0","0.0","38.77","63.11","290.17","145.08","251.4","227.06","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","401.64","0.09","0.93","0.0","5.6","0.93","5.21","0.0","0.0","0.0","0.0","43.98","63.11","290.17","145.08","246.19","227.06","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","401.64","0.09","0.93","0.0","5.47","0.93","5.09","0.0","0.0","0.0","0.0","49.07","63.11","290.17","145.08","241.1","227.06","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","401.64","0.09","0.93","0.0","5.19","0.93","4.83","0.0","0.0","0.0","0.0","53.89","63.11","290.17","145.08","236.28","227.06","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","401.64","0.09","0.92","0.0","5.22","0.92","4.82","0.0","0.0","0.0","0.0","58.72","63.11","290.17","145.08","231.45","227.06","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","401.64","0.09","0.92","0.0","4.69","0.92","4.3","0.0","0.0","0.0","0.0","63.02","63.11","290.17","145.08","227.15","227.06","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","401.64","0.09","0.91","0.0","4.31","0.91","3.93","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","66.95","","","","","","",""
"2016.0","9.0","13.0","257.0","401.64","0.09","0.91","0.0","3.86","0.91","3.49","0.0","0.0","0.0","0.0","3.49","72.54","290.17","145.08","286.68","217.63","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","401.64","0.09","0.9","0.0","4.22","0.9","3.79","0.0","0.0","0.0","0.0","7.29","72.54","290.17","145.08","282.88","217.63","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","401.64","0.09","0.89","0.0","4.56","0.89","4.07","0.0","0.0","0.0","0.0","11.36","72.54","290.17","145.08","278.81","217.63","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","401.64","0.09","0.89","0.0","4.72","0.89","4.19","0.0","0.0","0.0","0.0","15.54","72.54","290.17","145.08","274.62","217.63","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","401.64","0.09","0.88","0.0","4.74","0.88","4.17","0.0","0.0","0.0","0.0","19.72","72.54","290.17","145.08","270.45","217.63","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","401.64","0.09","0.87","0.0","4.65","0.87","4.07","0.0","0.0","0.0","0.0","23.78","72.54","290.17","145.08","266.39","217.63","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","401.64","0.09","0.87","0.0","5.09","0.87","4.42","0.0","0.0","0.0","0.0","28.2","72.54","290.17","145.08","261.97","217.63","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","401.64","0.09","0.86","0.0","5.49","0.86","4.73","0.0","0.0","0.0","0.0","32.93","72.54","290.17","145.08","257.24","217.63","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","401.64","0.09","0.86","0.0","5.4","0.86","4.62","0.0","0.0","0.0","0.0","37.55","72.54","290.17","145.08","252.61","217.63","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","401.64","0.09","0.85","0.0","4.35","0.85","3.7","0.0","0.0","0.0","0.0","41.25","72.54","290.17","145.08","248.92","217.63","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","401.64","0.09","0.84","0.0","4.54","0.84","3.83","0.0","0.0","0.0","0.0","45.08","72.54","290.17","145.08","245.09","217.63","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","401.64","0.09","0.84","0.0","4.49","0.84","3.76","0.0","0.0","0.0","0.0","48.84","72.54","290.17","145.08","241.33","217.63","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","401.64","0.09","0.83","0.0","4.2","0.83","3.49","0.0","0.0","0.0","0.0","52.33","72.54","290.17","145.08","237.84","217.63","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","401.64","0.09","0.82","0.0","4.51","0.82","3.72","0.0","0.0","0.0","0.0","56.05","72.54","290.17","145.08","234.12","217.63","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","401.64","0.09","0.82","0.0","4.62","0.82","3.78","0.0","0.0","0.0","0.0","59.83","72.54","290.17","145.08","230.34","217.63","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","401.64","0.09","0.81","0.0","4.51","0.81","3.66","0.0","0.0","0.0","0.0","63.49","72.54","290.17","145.08","226.68","217.63","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","401.64","0.09","0.81","0.0","4.4","0.81","3.55","0.0","0.0","0.0","0.0","67.04","72.54","290.17","145.08","223.13","217.63","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","401.64","0.09","0.8","0.0","3.46","0.8","2.77","1.26","1.26","0.0","0.0","68.55","72.54","290.17","145.08","221.62","217.63","0.0","","","","","","",""
