" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","205.49","0.12","1.02","0.0","7.61","1.02","7.79","0.0","0.0","0.0","0.0","83.06","97.36","421.01","210.51","337.95","323.65","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","205.49","0.12","1.03","0.0","7.15","1.03","7.36","0.0","0.0","0.0","0.0","90.43","97.36","421.01","210.51","330.59","323.65","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","205.49","0.12","1.04","0.0","6.39","1.04","6.62","0.0","0.0","0.0","0.0","97.05","97.36","421.01","210.51","323.97","323.65","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","205.49","0.12","1.04","0.0","6.42","1.04","6.69","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","103.74","","","","","","",""
"2016.0","7.0","7.0","189.0","205.49","0.12","1.05","0.0","6.46","1.05","6.77","0.0","0.0","0.0","0.0","6.77","97.36","421.01","210.51","414.24","323.65","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","205.49","0.12","1.05","0.0","7.14","1.05","7.53","0.0","0.0","0.0","0.0","14.3","97.36","421.01","210.51","406.72","323.65","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","205.49","0.12","1.06","0.0","6.6","1.06","7.0","0.0","0.0","0.0","0.0","21.29","97.36","421.01","210.51","399.72","323.65","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","205.49","0.12","1.07","0.0","6.38","1.07","6.8","0.0","0.0","0.0","0.0","28.09","97.36","421.01","210.51","392.92","323.65","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","205.49","0.12","1.07","0.0","7.2","1.07","7.72","0.0","0.0","0.0","0.0","35.81","97.36","421.01","210.51","385.2","323.65","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","205.49","0.12","1.08","0.0","6.95","1.08","7.49","0.0","0.0","0.0","0.0","43.3","97.36","421.01","210.51","377.71","323.65","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","205.49","0.11","1.08","0.0","7.33","1.08","7.95","0.0","0.0","0.0","0.0","51.25","97.36","421.01","210.51","369.76","323.65","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","205.49","0.11","1.09","0.0","7.52","1.09","8.2","0.0","0.0","0.0","0.0","59.45","97.36","421.01","210.51","361.57","323.65","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","205.49","0.11","1.1","0.0","7.52","1.1","8.24","0.0","0.0","0.0","0.0","67.69","97.36","421.01","210.51","353.33","323.65","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","205.49","0.11","1.1","0.0","7.13","1.1","7.86","0.0","0.0","0.0","0.0","75.54","97.36","421.01","210.51","345.47","323.65","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","205.49","0.11","1.11","0.0","6.87","1.11","7.61","0.0","0.0","0.0","0.0","83.16","97.36","421.01","210.51","337.86","323.65","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","205.49","0.11","1.11","0.0","6.47","1.11","7.21","0.0","0.0","0.0","0.0","90.36","97.36","421.01","210.51","330.65","323.65","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","205.49","0.11","1.12","0.0","6.64","1.12","7.44","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","97.8","","","","","","",""
"2016.0","7.0","20.0","202.0","205.49","0.11","1.13","0.0","6.94","1.13","7.81","0.0","0.0","0.0","0.0","7.81","97.36","421.01","210.51","413.2","323.65","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","205.49","0.11","1.13","0.0","7.4","1.13","8.38","0.0","0.0","0.0","0.0","16.19","97.36","421.01","210.51","404.82","323.65","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","205.49","0.11","1.14","0.0","7.0","1.14","7.97","0.0","0.0","0.0","0.0","24.16","97.36","421.01","210.51","396.86","323.65","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","205.49","0.11","1.14","0.0","7.65","1.14","8.75","0.0","0.0","0.0","0.0","32.91","97.36","421.01","210.51","388.1","323.65","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","205.49","0.11","1.15","0.0","7.51","1.15","8.64","0.0","0.0","0.0","0.0","41.55","97.36","421.01","210.51","379.47","323.65","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","205.49","0.11","1.15","0.0","7.4","1.15","8.51","0.0","0.0","0.0","0.0","50.06","97.36","421.01","210.51","370.96","323.65","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","205.49","0.1","1.15","0.0","7.34","1.15","8.44","0.0","0.0","0.0","0.0","58.5","97.36","421.01","210.51","362.52","323.65","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","205.49","0.1","1.15","0.0","7.92","1.15","9.11","0.0","0.0","0.0","0.0","67.6","97.36","421.01","210.51","353.41","323.65","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","205.49","0.1","1.15","0.0","7.83","1.15","9.0","0.0","0.0","0.0","0.0","76.61","97.36","421.01","210.51","344.4","323.65","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","205.49","0.1","1.15","0.0","7.76","1.15","8.92","0.0","0.0","0.0","0.0","85.53","97.36","421.01","210.51","335.48","323.65","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","205.49","0.1","1.15","0.0","8.21","1.15","9.44","0.0","0.0","0.0","0.0","94.97","97.36","421.01","210.51","326.04","323.65","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","205.49","0.1","1.15","0.0","7.36","1.15","8.46","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","103.44","","","","","","",""
"2016.0","8.0","1.0","214.0","205.49","0.1","1.15","0.0","6.93","1.15","7.97","0.0","0.0","0.0","0.0","7.97","97.36","421.01","210.51","413.04","323.65","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","205.49","0.1","1.15","0.0","6.64","1.15","7.64","0.0","0.0","0.0","0.0","15.61","97.36","421.01","210.51","405.41","323.65","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","205.49","0.1","1.15","0.0","7.25","1.15","8.34","0.0","0.0","0.0","0.0","23.94","97.36","421.01","210.51","397.07","323.65","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","205.49","0.1","1.15","0.0","6.33","1.15","7.28","0.0","0.0","0.0","0.0","31.22","97.36","421.01","210.51","389.79","323.65","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","205.49","0.1","1.15","0.0","5.76","1.15","6.62","0.0","0.0","0.0","0.0","37.85","97.36","421.01","210.51","383.17","323.65","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","205.49","0.1","1.15","0.0","6.15","1.15","7.07","0.0","0.0","0.0","0.0","44.92","97.36","421.01","210.51","376.09","323.65","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","205.49","0.1","1.15","0.0","6.08","1.15","6.99","0.0","0.0","0.0","0.0","51.91","97.36","421.01","210.51","369.1","323.65","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","205.49","0.1","1.15","0.0","6.56","1.15","7.54","0.0","0.0","0.0","0.0","59.46","97.36","421.01","210.51","361.56","323.65","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","205.49","0.1","1.15","0.0","6.27","1.15","7.21","0.0","0.0","0.0","0.0","66.67","97.36","421.01","210.51","354.35","323.65","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","205.49","0.1","1.15","0.0","6.41","1.15","7.37","0.0","0.0","0.0","0.0","74.04","97.36","421.01","210.51","346.98","323.65","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","205.49","0.1","1.15","0.0","6.57","1.15","7.56","0.0","0.0","0.0","0.0","81.59","97.36","421.01","210.51","339.42","323.65","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","205.49","0.1","1.15","0.0","6.77","1.15","7.79","0.0","0.0","0.0","0.0","89.38","97.36","421.01","210.51","331.64","323.65","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","205.49","0.1","1.15","0.0","7.07","1.15","8.13","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","97.51","","","","","","",""
"2016.0","8.0","14.0","227.0","205.49","0.09","1.15","0.0","7.33","1.15","8.43","0.0","0.0","0.0","0.0","8.43","97.36","421.01","210.51","412.58","323.65","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","205.49","0.09","1.15","0.0","6.72","1.15","7.73","0.0","0.0","0.0","0.0","16.16","97.36","421.01","210.51","404.86","323.65","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","205.49","0.09","1.15","0.0","6.78","1.15","7.8","0.0","0.0","0.0","0.0","23.95","97.36","421.01","210.51","397.06","323.65","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","205.49","0.09","1.15","0.0","6.66","1.15","7.66","0.0","0.0","0.0","0.0","31.61","97.36","421.01","210.51","389.4","323.65","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","205.49","0.09","1.15","0.0","6.59","1.15","7.58","0.0","0.0","0.0","0.0","39.19","97.36","421.01","210.51","381.82","323.65","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","205.49","0.09","1.15","0.0","6.54","1.15","7.52","0.0","0.0","0.0","0.0","46.71","97.36","421.01","210.51","374.3","323.65","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","205.49","0.09","1.15","0.0","6.45","1.15","7.42","0.0","0.0","0.0","0.0","54.13","97.36","421.01","210.51","366.88","323.65","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","205.49","0.09","1.15","0.0","6.45","1.15","7.42","0.0","0.0","0.0","0.0","61.55","97.36","421.01","210.51","359.47","323.65","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","205.49","0.09","1.15","0.0","6.25","1.15","7.19","0.0","0.0","0.0","0.0","68.74","97.36","421.01","210.51","352.28","323.65","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","205.49","0.09","1.15","0.0","6.05","1.15","6.96","0.0","0.0","0.0","0.0","75.69","97.36","421.01","210.51","345.32","323.65","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","205.49","0.09","1.15","0.0","6.01","1.15","6.91","0.0","0.0","0.0","0.0","82.6","97.36","421.01","210.51","338.41","323.65","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","205.49","0.09","1.15","0.0","5.95","1.15","6.84","0.0","0.0","0.0","0.0","89.45","97.36","421.01","210.51","331.57","323.65","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","205.49","0.09","1.15","0.0","5.58","1.15","6.42","0.0","0.0","0.0","0.0","95.86","97.36","421.01","210.51","325.15","323.65","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","205.49","0.09","1.15","0.0","5.4","1.15","6.21","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","102.07","","","","","","",""
"2016.0","8.0","28.0","241.0","205.49","0.09","1.15","0.0","5.72","1.15","6.58","0.0","0.0","0.0","0.0","6.58","97.36","421.01","210.51","414.44","323.65","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","205.49","0.09","1.15","0.0","5.81","1.15","6.68","0.0","0.0","0.0","0.0","13.26","97.36","421.01","210.51","407.75","323.65","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","205.49","0.09","1.15","0.0","6.2","1.15","7.13","0.0","0.0","0.0","0.0","20.39","97.36","421.01","210.51","400.62","323.65","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","205.49","0.09","1.15","0.0","6.02","1.15","6.92","0.0","0.0","0.0","0.0","27.31","97.36","421.01","210.51","393.7","323.65","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","205.49","0.09","1.15","0.0","5.18","1.15","5.96","0.0","0.0","0.0","0.0","33.27","97.36","421.01","210.51","387.74","323.65","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","205.49","0.09","1.15","0.0","5.31","1.15","6.11","0.0","0.0","0.0","0.0","39.38","97.36","421.01","210.51","381.64","323.65","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","205.49","0.09","1.15","0.0","5.36","1.15","6.16","0.0","0.0","0.0","0.0","45.54","97.36","421.01","210.51","375.47","323.65","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","205.49","0.09","1.15","0.0","4.62","1.15","5.31","0.0","0.0","0.0","0.0","50.85","97.36","421.01","210.51","370.16","323.65","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","205.49","0.09","1.15","0.0","5.36","1.15","6.16","0.0","0.0","0.0","0.0","57.02","97.36","421.01","210.51","364.0","323.65","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","205.49","0.09","1.15","0.0","5.11","1.15","5.88","0.0","0.0","0.0","0.0","62.89","97.36","421.01","210.51","358.12","323.65","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","205.49","0.09","1.15","0.0","5.76","1.15","6.62","0.0","0.0","0.0","0.0","69.52","97.36","421.01","210.51","351.5","323.65","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","205.49","0.09","1.15","0.0","5.97","1.15","6.87","0.0","0.0","0.0","0.0","76.38","97.36","421.01","210.51","344.63","323.65","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","205.49","0.09","1.15","0.0","5.42","1.15","6.23","0.0","0.0","0.0","0.0","82.62","97.36","421.01","210.51","338.4","323.65","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","205.49","0.09","1.15","0.0","5.51","1.15","6.34","0.0","0.0","0.0","0.0","88.95","97.36","421.01","210.51","332.06","323.65","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","205.49","0.09","1.15","0.0","5.02","1.15","5.77","0.0","0.0","0.0","0.0","94.73","97.36","421.01","210.51","326.29","323.65","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","205.49","0.09","1.14","0.0","4.43","1.14","5.06","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","99.79","","","","","","",""
"2016.0","9.0","13.0","257.0","205.49","0.09","1.14","0.0","3.89","1.14","4.42","0.0","0.0","0.0","0.0","4.42","97.36","421.01","210.51","416.59","323.65","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","205.49","0.09","1.13","0.0","4.24","1.13","4.79","0.0","0.0","0.0","0.0","9.21","97.36","421.01","210.51","411.81","323.65","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","205.49","0.08","1.12","0.0","4.62","1.12","5.18","0.0","0.0","0.0","0.0","14.39","97.36","421.01","210.51","406.62","323.65","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","205.49","0.08","1.12","0.0","4.84","1.12","5.4","0.0","0.0","0.0","0.0","19.79","97.36","421.01","210.51","401.23","323.65","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","205.49","0.08","1.11","0.0","4.94","1.11","5.47","0.0","0.0","0.0","0.0","25.26","97.36","421.01","210.51","395.75","323.65","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","205.49","0.08","1.1","0.0","4.75","1.1","5.23","0.0","0.0","0.0","0.0","30.49","97.36","421.01","210.51","390.52","323.65","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","205.49","0.08","1.09","0.0","5.35","1.09","5.85","0.0","0.0","0.0","0.0","36.34","97.36","421.01","210.51","384.67","323.65","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","205.49","0.08","1.09","0.0","6.16","1.09","6.7","0.0","0.0","0.0","0.0","43.04","97.36","421.01","210.51","377.98","323.65","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","205.49","0.08","1.08","0.0","5.64","1.08","6.09","0.0","0.0","0.0","0.0","49.13","97.36","421.01","210.51","371.88","323.65","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","205.49","0.08","1.07","0.0","4.31","1.07","4.62","0.0","0.0","0.0","0.0","53.75","97.36","421.01","210.51","367.26","323.65","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","205.49","0.08","1.07","0.0","4.58","1.07","4.88","0.0","0.0","0.0","0.0","58.64","97.36","421.01","210.51","362.38","323.65","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","205.49","0.08","1.06","0.0","4.82","1.06","5.1","0.0","0.0","0.0","0.0","63.74","97.36","421.01","210.51","357.27","323.65","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","205.49","0.08","1.05","0.0","4.47","1.05","4.7","0.0","0.0","0.0","0.0","68.44","97.36","421.01","210.51","352.57","323.65","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","205.49","0.08","1.05","0.0","4.57","1.05","4.78","0.0","0.0","0.0","0.0","73.22","105.25","421.01","210.51","347.79","315.76","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","205.49","0.08","1.04","0.0","4.73","1.04","4.91","0.0","0.0","0.0","0.0","78.13","105.25","421.01","210.51","342.89","315.76","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","205.49","0.08","1.03","0.0","4.93","1.03","5.08","0.0","0.0","0.0","0.0","83.21","105.25","421.01","210.51","337.8","315.76","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","205.49","0.08","1.02","0.0","4.89","1.02","5.01","0.0","0.0","0.0","0.0","88.22","105.25","421.01","210.51","332.79","315.76","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","205.49","0.08","1.02","0.0","3.76","1.02","3.82","0.31","0.31","0.0","0.0","91.73","105.25","421.01","210.51","329.28","315.76","0.0","","","","","","",""
