" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","6.0","30.0","182.0","1704.65","0.14","0.85","0.0","7.3","0.85","6.21","0.0","0.0","0.0","0.0","19.41","56.99","241.4","120.7","221.99","184.42","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","1704.65","0.14","0.85","0.0","7.23","0.85","6.15","0.0","0.0","0.0","0.0","25.56","56.99","241.4","120.7","215.84","184.42","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","1704.65","0.13","0.85","0.0","7.18","0.85","6.1","0.0","0.0","0.0","0.0","31.66","56.99","241.4","120.7","209.74","184.42","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","1704.65","0.13","0.85","0.0","7.44","0.85","6.32","0.0","0.0","0.0","0.0","37.99","56.99","241.4","120.7","203.42","184.42","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","1704.65","0.13","0.85","0.0","7.0","0.85","5.95","0.0","0.0","0.0","0.0","43.94","56.99","241.4","120.7","197.47","184.42","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","1704.65","0.13","0.85","0.0","6.29","0.85","5.35","0.0","0.0","0.0","0.0","49.28","56.99","241.4","120.7","192.12","184.42","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","1704.65","0.13","0.85","0.0","6.38","0.85","5.42","0.0","0.0","0.0","0.0","54.71","56.99","241.4","120.7","186.7","184.42","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","1704.65","0.13","0.85","0.0","6.53","0.85","5.55","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","60.26","","","","","","",""
"2016.0","7.0","8.0","190.0","1704.65","0.13","0.85","0.0","7.11","0.85","6.04","0.0","0.0","0.0","0.0","6.04","56.99","241.4","120.7","235.36","184.42","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","1704.65","0.13","0.85","0.0","6.6","0.85","5.61","0.0","0.0","0.0","0.0","11.65","56.99","241.4","120.7","229.75","184.42","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","1704.65","0.13","0.85","0.0","6.47","0.85","5.5","0.0","0.0","0.0","0.0","17.15","56.99","241.4","120.7","224.25","184.42","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","1704.65","0.12","0.85","0.0","7.23","0.85","6.15","0.0","0.0","0.0","0.0","23.3","56.99","241.4","120.7","218.1","184.42","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","1704.65","0.12","0.85","0.0","6.91","0.85","5.87","0.0","0.0","0.0","0.0","29.17","56.99","241.4","120.7","212.23","184.42","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","1704.65","0.12","0.85","0.0","7.23","0.85","6.15","0.0","0.0","0.0","0.0","35.32","56.99","241.4","120.7","206.08","184.42","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","1704.65","0.12","0.85","0.0","7.4","0.85","6.29","0.0","0.0","0.0","0.0","41.61","56.99","241.4","120.7","199.79","184.42","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","1704.65","0.12","0.85","0.0","7.32","0.85","6.22","0.0","0.0","0.0","0.0","47.83","56.99","241.4","120.7","193.57","184.42","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","1704.65","0.12","0.85","0.0","7.01","0.85","5.96","0.0","0.0","0.0","0.0","53.79","56.99","241.4","120.7","187.61","184.42","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","1704.65","0.12","0.85","0.0","6.76","0.85","5.75","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","59.53","","","","","","",""
"2016.0","7.0","18.0","200.0","1704.65","0.12","0.85","0.0","6.37","0.85","5.41","0.0","0.0","0.0","0.0","5.41","56.99","241.4","120.7","235.99","184.42","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","1704.65","0.12","0.85","0.0","6.63","0.85","5.64","0.0","0.0","0.0","0.0","11.05","56.99","241.4","120.7","230.35","184.42","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","1704.65","0.12","0.85","0.0","7.06","0.85","6.0","0.0","0.0","0.0","0.0","17.05","56.99","241.4","120.7","224.35","184.42","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","1704.65","0.11","0.85","0.0","7.27","0.85","6.18","0.0","0.0","0.0","0.0","23.23","56.99","241.4","120.7","218.17","184.42","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","1704.65","0.11","0.85","0.0","7.13","0.85","6.06","0.0","0.0","0.0","0.0","29.29","56.99","241.4","120.7","212.11","184.42","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","1704.65","0.11","0.85","0.0","7.72","0.85","6.56","0.0","0.0","0.0","0.0","35.85","56.99","241.4","120.7","205.55","184.42","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","1704.65","0.11","0.85","0.0","7.38","0.85","6.27","0.0","0.0","0.0","0.0","42.13","56.99","241.4","120.7","199.28","184.42","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","1704.65","0.11","0.85","0.0","7.29","0.85","6.2","0.0","0.0","0.0","0.0","48.32","56.99","241.4","120.7","193.08","184.42","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","1704.65","0.11","0.85","0.0","7.3","0.85","6.21","0.0","0.0","0.0","0.0","54.53","56.99","241.4","120.7","186.87","184.42","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","1704.65","0.11","0.85","0.0","7.67","0.85","6.52","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","61.05","","","","","","",""
"2016.0","7.0","28.0","210.0","1704.65","0.11","0.85","0.0","7.66","0.85","6.51","0.0","0.0","0.0","0.0","6.51","56.99","241.4","120.7","234.89","184.42","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","1704.65","0.11","0.85","0.0","7.57","0.85","6.43","0.0","0.0","0.0","0.0","12.95","56.99","241.4","120.7","228.46","184.42","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","1704.65","0.11","0.85","0.0","7.81","0.85","6.64","0.0","0.0","0.0","0.0","19.58","56.99","241.4","120.7","221.82","184.42","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","1704.65","0.11","0.85","0.0","6.98","0.85","5.93","0.0","0.0","0.0","0.0","25.52","56.99","241.4","120.7","215.88","184.42","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","1704.65","0.11","0.85","0.0","6.7","0.85","5.7","0.0","0.0","0.0","0.0","31.21","56.99","241.4","120.7","210.19","184.42","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","1704.65","0.11","0.85","0.0","6.65","0.85","5.65","0.0","0.0","0.0","0.0","36.86","56.99","241.4","120.7","204.54","184.42","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","1704.65","0.1","0.85","0.0","7.01","0.85","5.96","0.0","0.0","0.0","0.0","42.82","56.99","241.4","120.7","198.58","184.42","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","1704.65","0.1","0.85","0.0","6.22","0.85","5.29","0.0","0.0","0.0","0.0","48.11","56.99","241.4","120.7","193.29","184.42","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","1704.65","0.1","0.85","0.0","5.72","0.85","4.86","0.0","0.0","0.0","0.0","52.97","56.99","241.4","120.7","188.43","184.42","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","1704.65","0.1","0.85","0.0","6.01","0.85","5.11","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","58.08","","","","","","",""
"2016.0","8.0","7.0","220.0","1704.65","0.1","0.85","0.0","6.09","0.85","5.18","0.0","0.0","0.0","0.0","5.18","56.99","241.4","120.7","236.23","184.42","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","1704.65","0.1","0.85","0.0","6.44","0.85","5.47","0.0","0.0","0.0","0.0","10.65","56.99","241.4","120.7","230.75","184.42","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","1704.65","0.1","0.85","0.0","6.18","0.85","5.25","0.0","0.0","0.0","0.0","15.9","56.99","241.4","120.7","225.5","184.42","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","1704.65","0.1","0.85","0.0","6.26","0.85","5.32","0.0","0.0","0.0","0.0","21.22","56.99","241.4","120.7","220.18","184.42","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","1704.65","0.1","0.85","0.0","6.46","0.85","5.49","0.0","0.0","0.0","0.0","26.72","56.99","241.4","120.7","214.69","184.42","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","1704.65","0.1","0.85","0.0","6.65","0.85","5.65","0.0","0.0","0.0","0.0","32.37","56.99","241.4","120.7","209.03","184.42","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","1704.65","0.1","0.85","0.0","7.06","0.85","6.0","0.0","0.0","0.0","0.0","38.37","56.99","241.4","120.7","203.03","184.42","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","1704.65","0.1","0.85","0.0","7.26","0.85","6.17","0.0","0.0","0.0","0.0","44.54","56.99","241.4","120.7","196.86","184.42","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","1704.65","0.1","0.85","0.0","6.64","0.85","5.64","0.0","0.0","0.0","0.0","50.18","56.99","241.4","120.7","191.22","184.42","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","1704.65","0.1","0.85","0.0","6.57","0.85","5.58","0.0","0.0","0.0","0.0","55.77","56.99","241.4","120.7","185.63","184.42","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","1704.65","0.1","0.85","0.0","6.46","0.85","5.49","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","61.26","","","","","","",""
"2016.0","8.0","18.0","231.0","1704.65","0.1","0.85","0.0","6.42","0.85","5.46","0.0","0.0","0.0","0.0","5.46","56.99","241.4","120.7","235.94","184.42","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","1704.65","0.1","0.85","0.0","6.44","0.85","5.47","0.0","0.0","0.0","0.0","10.93","56.99","241.4","120.7","230.47","184.42","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","1704.65","0.1","0.85","0.0","6.34","0.85","5.39","0.0","0.0","0.0","0.0","16.32","56.99","241.4","120.7","225.08","184.42","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","1704.65","0.1","0.85","0.0","6.38","0.85","5.42","0.0","0.0","0.0","0.0","21.74","56.99","241.4","120.7","219.66","184.42","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","1704.65","0.1","0.85","0.0","5.96","0.85","5.07","0.0","0.0","0.0","0.0","26.81","56.99","241.4","120.7","214.59","184.42","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","1704.65","0.1","0.85","0.0","6.1","0.85","5.19","0.0","0.0","0.0","0.0","31.99","56.99","241.4","120.7","209.41","184.42","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","1704.65","0.09","0.85","0.0","6.02","0.85","5.12","0.0","0.0","0.0","0.0","37.11","56.99","241.4","120.7","204.29","184.42","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","1704.65","0.09","0.85","0.0","5.81","0.85","4.94","0.0","0.0","0.0","0.0","42.05","56.99","241.4","120.7","199.35","184.42","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","1704.65","0.09","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","46.66","56.99","241.4","120.7","194.75","184.42","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","1704.65","0.09","0.85","0.0","5.32","0.85","4.52","0.0","0.0","0.0","0.0","51.18","56.99","241.4","120.7","190.22","184.42","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","1704.65","0.09","0.85","0.0","5.62","0.85","4.78","0.0","0.0","0.0","0.0","55.96","56.99","241.4","120.7","185.45","184.42","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","1704.65","0.09","0.85","0.0","5.87","0.85","4.99","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","60.95","","","","","","",""
"2016.0","8.0","30.0","243.0","1704.65","0.09","0.85","0.0","6.32","0.85","5.37","0.0","0.0","0.0","0.0","5.37","56.99","241.4","120.7","236.03","184.42","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","1704.65","0.09","0.85","0.0","6.07","0.85","5.16","0.0","0.0","0.0","0.0","10.53","56.99","241.4","120.7","230.87","184.42","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","1704.65","0.09","0.85","0.0","5.28","0.85","4.49","0.0","0.0","0.0","0.0","15.02","56.99","241.4","120.7","226.38","184.42","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","1704.65","0.09","0.85","0.0","5.32","0.85","4.52","0.0","0.0","0.0","0.0","19.54","56.99","241.4","120.7","221.86","184.42","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","1704.65","0.09","0.85","0.0","5.21","0.85","4.43","0.0","0.0","0.0","0.0","23.97","56.99","241.4","120.7","217.43","184.42","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","1704.65","0.09","0.85","0.0","4.61","0.85","3.92","0.0","0.0","0.0","0.0","27.89","56.99","241.4","120.7","213.51","184.42","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","1704.65","0.09","0.85","0.0","5.35","0.85","4.55","0.0","0.0","0.0","0.0","32.44","56.99","241.4","120.7","208.97","184.42","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","1704.65","0.09","0.85","0.0","5.1","0.85","4.34","0.0","0.0","0.0","0.0","36.77","56.99","241.4","120.7","204.63","184.42","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","1704.65","0.09","0.85","0.0","5.65","0.85","4.8","0.0","0.0","0.0","0.0","41.57","56.99","241.4","120.7","199.83","184.42","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","1704.65","0.09","0.85","0.0","5.78","0.85","4.91","0.0","0.0","0.0","0.0","46.49","56.99","241.4","120.7","194.92","184.42","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","1704.65","0.09","0.85","0.0","5.43","0.85","4.62","0.0","0.0","0.0","0.0","51.1","56.99","241.4","120.7","190.3","184.42","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","1704.65","0.09","0.85","0.0","5.49","0.85","4.67","0.0","0.0","0.0","0.0","55.77","56.99","241.4","120.7","185.63","184.42","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","1704.65","0.09","0.85","0.0","5.04","0.85","4.28","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","60.05","","","","","","",""
"2016.0","9.0","12.0","256.0","1704.65","0.09","0.85","0.0","4.58","0.85","3.89","0.0","0.0","0.0","0.0","3.89","56.99","241.4","120.7","237.51","184.42","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","1704.65","0.09","0.85","0.0","3.88","0.85","3.3","0.0","0.0","0.0","0.0","7.19","56.99","241.4","120.7","234.21","184.42","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","1704.65","0.09","0.85","0.0","4.27","0.85","3.63","0.0","0.0","0.0","0.0","10.82","56.99","241.4","120.7","230.58","184.42","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","1704.65","0.09","0.85","0.0","4.71","0.85","4.0","0.0","0.0","0.0","0.0","14.82","56.99","241.4","120.7","226.58","184.42","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","1704.65","0.09","0.85","0.0","4.88","0.85","4.15","0.0","0.0","0.0","0.0","18.97","56.99","241.4","120.7","222.43","184.42","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","1704.65","0.09","0.85","0.0","4.88","0.85","4.15","0.0","0.0","0.0","0.0","23.12","56.99","241.4","120.7","218.28","184.42","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","1704.65","0.09","0.85","0.0","4.73","0.85","4.02","0.0","0.0","0.0","0.0","27.14","56.99","241.4","120.7","214.26","184.42","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","1704.65","0.09","0.85","0.0","5.2","0.85","4.42","0.0","0.0","0.0","0.0","31.56","56.99","241.4","120.7","209.84","184.42","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","1704.65","0.09","0.85","0.0","5.65","0.85","4.8","0.0","0.0","0.0","0.0","36.36","56.99","241.4","120.7","205.04","184.42","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","1704.65","0.09","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","40.97","56.99","241.4","120.7","200.43","184.42","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","1704.65","0.09","0.85","0.0","4.4","0.85","3.74","0.0","0.0","0.0","0.0","44.71","56.99","241.4","120.7","196.69","184.42","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","1704.65","0.09","0.85","0.0","4.74","0.85","4.03","0.0","0.0","0.0","0.0","48.74","56.99","241.4","120.7","192.66","184.42","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","1704.65","0.09","0.85","0.0","4.57","0.85","3.88","0.0","0.0","0.0","0.0","52.62","56.99","241.4","120.7","188.78","184.42","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","1704.65","0.09","0.85","0.0","4.23","0.85","3.6","0.0","0.0","0.0","0.0","56.22","56.99","241.4","120.7","185.18","184.42","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","1704.65","0.09","0.85","0.0","4.58","0.85","3.89","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","60.11","","","","","","",""
"2016.0","9.0","27.0","271.0","1704.65","0.09","0.85","0.0","4.68","0.85","3.98","0.0","0.0","0.0","0.0","3.98","56.99","241.4","120.7","237.42","184.42","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","1704.65","0.09","0.85","0.0","4.75","0.85","4.04","0.0","0.0","0.0","0.0","8.02","56.99","241.4","120.7","233.39","184.42","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","1704.65","0.09","0.85","0.0","4.71","0.85","4.0","0.0","0.0","0.0","0.0","12.02","56.99","241.4","120.7","229.38","184.42","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","1704.65","0.09","0.85","0.0","3.59","0.85","3.05","2.27","2.27","0.0","0.0","12.8","56.99","241.4","120.7","228.6","184.42","0.0","","","","","","",""
