" Daily soil water balance output for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","4920.26","0.13","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","88.32","103.38","492.27","246.14","403.96","388.89","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","4920.26","0.13","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","95.92","103.38","492.27","246.14","396.36","388.89","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","4920.26","0.13","1.05","0.0","7.51","1.05","7.89","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","103.8","","","","","","",""
"2016.0","7.0","4.0","186.0","4920.26","0.13","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","7.39","103.38","492.27","246.14","484.88","388.89","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","4920.26","0.12","1.05","0.0","6.26","1.05","6.57","0.0","0.0","0.0","0.0","13.97","103.38","492.27","246.14","478.31","388.89","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","4920.26","0.12","1.05","0.0","6.37","1.05","6.69","0.0","0.0","0.0","0.0","20.65","103.38","492.27","246.14","471.62","388.89","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","4920.26","0.12","1.05","0.0","6.44","1.05","6.76","0.0","0.0","0.0","0.0","27.42","103.38","492.27","246.14","464.86","388.89","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","4920.26","0.12","1.05","0.0","7.13","1.05","7.49","0.0","0.0","0.0","0.0","34.9","103.38","492.27","246.14","457.37","388.89","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","4920.26","0.12","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","41.78","103.38","492.27","246.14","450.5","388.89","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","4920.26","0.12","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","48.52","103.38","492.27","246.14","443.75","388.89","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","4920.26","0.12","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","56.09","103.38","492.27","246.14","436.18","388.89","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","4920.26","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","63.37","103.38","492.27","246.14","428.91","388.89","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","4920.26","0.12","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","71.03","103.38","492.27","246.14","421.24","388.89","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","4920.26","0.12","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","78.88","103.38","492.27","246.14","413.4","388.89","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","4920.26","0.12","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","86.67","103.38","492.27","246.14","405.61","388.89","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","4920.26","0.11","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","94.06","103.38","492.27","246.14","398.22","388.89","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","4920.26","0.11","1.05","0.0","6.77","1.05","7.11","0.0","0.0","0.0","0.0","101.17","103.38","492.27","246.14","391.11","388.89","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","4920.26","0.11","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","107.88","","","","","","",""
"2016.0","7.0","19.0","201.0","4920.26","0.11","1.05","0.0","6.61","1.05","6.94","0.0","0.0","0.0","0.0","6.94","103.38","492.27","246.14","485.33","388.89","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","4920.26","0.11","1.05","0.0","6.99","1.05","7.34","0.0","0.0","0.0","0.0","14.28","103.38","492.27","246.14","477.99","388.89","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","4920.26","0.11","1.05","0.0","7.31","1.05","7.68","0.0","0.0","0.0","0.0","21.96","103.38","492.27","246.14","470.32","388.89","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","4920.26","0.11","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","29.36","103.38","492.27","246.14","462.92","388.89","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","4920.26","0.11","1.05","0.0","7.68","1.05","8.06","0.0","0.0","0.0","0.0","37.42","103.38","492.27","246.14","454.85","388.89","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","4920.26","0.11","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","45.24","103.38","492.27","246.14","447.03","388.89","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","4920.26","0.11","1.05","0.0","7.34","1.05","7.71","0.0","0.0","0.0","0.0","52.95","103.38","492.27","246.14","439.32","388.89","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","4920.26","0.11","1.05","0.0","7.28","1.05","7.64","0.0","0.0","0.0","0.0","60.6","103.38","492.27","246.14","431.68","388.89","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","4920.26","0.11","1.05","0.0","7.81","1.05","8.2","0.0","0.0","0.0","0.0","68.8","103.38","492.27","246.14","423.48","388.89","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","4920.26","0.11","1.05","0.0","7.74","1.05","8.13","0.0","0.0","0.0","0.0","76.92","103.38","492.27","246.14","415.35","388.89","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","4920.26","0.1","1.05","0.0","7.69","1.05","8.07","0.0","0.0","0.0","0.0","85.0","103.38","492.27","246.14","407.28","388.89","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","4920.26","0.1","1.05","0.0","8.02","1.05","8.42","0.0","0.0","0.0","0.0","93.42","103.38","492.27","246.14","398.86","388.89","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","4920.26","0.1","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","100.94","103.38","492.27","246.14","391.34","388.89","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","4920.26","0.1","1.05","0.0","6.81","1.05","7.15","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","108.09","","","","","","",""
"2016.0","8.0","2.0","215.0","4920.26","0.1","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","6.96","103.38","492.27","246.14","485.31","388.89","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","4920.26","0.1","1.05","0.0","7.11","1.05","7.47","0.0","0.0","0.0","0.0","14.43","103.38","492.27","246.14","477.85","388.89","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","4920.26","0.1","1.05","0.0","6.21","1.05","6.52","0.0","0.0","0.0","0.0","20.95","103.38","492.27","246.14","471.33","388.89","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","4920.26","0.1","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","26.94","103.38","492.27","246.14","465.33","388.89","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","4920.26","0.1","1.05","0.0","6.04","1.05","6.34","0.0","0.0","0.0","0.0","33.29","103.38","492.27","246.14","458.99","388.89","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","4920.26","0.1","1.05","0.0","6.06","1.05","6.36","0.0","0.0","0.0","0.0","39.65","103.38","492.27","246.14","452.63","388.89","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","4920.26","0.1","1.05","0.0","6.5","1.05","6.83","0.0","0.0","0.0","0.0","46.47","103.38","492.27","246.14","445.8","388.89","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","4920.26","0.1","1.05","0.0","6.23","1.05","6.54","0.0","0.0","0.0","0.0","53.01","103.38","492.27","246.14","439.26","388.89","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","4920.26","0.1","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","59.66","103.38","492.27","246.14","432.61","388.89","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","4920.26","0.1","1.05","0.0","6.49","1.05","6.81","0.0","0.0","0.0","0.0","66.48","103.38","492.27","246.14","425.8","388.89","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","4920.26","0.1","1.05","0.0","6.71","1.05","7.05","0.0","0.0","0.0","0.0","73.52","103.38","492.27","246.14","418.75","388.89","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","4920.26","0.1","1.05","0.0","7.07","1.05","7.42","0.0","0.0","0.0","0.0","80.94","103.38","492.27","246.14","411.33","388.89","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","4920.26","0.1","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","88.6","103.38","492.27","246.14","403.68","388.89","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","4920.26","0.1","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","95.59","103.38","492.27","246.14","396.68","388.89","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","4920.26","0.1","1.05","0.0","6.67","1.05","7.0","0.0","0.0","0.0","0.0","102.6","103.38","492.27","246.14","389.68","388.89","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","4920.26","0.09","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","109.47","","","","","","",""
"2016.0","8.0","18.0","231.0","4920.26","0.09","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","6.84","103.38","492.27","246.14","485.44","388.89","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","4920.26","0.09","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","13.64","103.38","492.27","246.14","478.64","388.89","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","4920.26","0.09","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","20.35","103.38","492.27","246.14","471.93","388.89","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","4920.26","0.09","1.05","0.0","6.41","1.05","6.73","0.0","0.0","0.0","0.0","27.08","103.38","492.27","246.14","465.2","388.89","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","4920.26","0.09","1.05","0.0","6.18","1.05","6.49","0.0","0.0","0.0","0.0","33.57","103.38","492.27","246.14","458.71","388.89","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","4920.26","0.09","1.05","0.0","6.06","1.05","6.36","0.0","0.0","0.0","0.0","39.93","103.38","492.27","246.14","452.34","388.89","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","4920.26","0.09","1.05","0.0","5.99","1.05","6.29","0.0","0.0","0.0","0.0","46.22","103.38","492.27","246.14","446.05","388.89","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","4920.26","0.09","1.05","0.0","5.86","1.05","6.15","0.0","0.0","0.0","0.0","52.37","103.38","492.27","246.14","439.9","388.89","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","4920.26","0.09","1.05","0.0","5.48","1.05","5.75","0.0","0.0","0.0","0.0","58.13","103.38","492.27","246.14","434.15","388.89","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","4920.26","0.09","1.05","0.0","5.34","1.05","5.61","0.0","0.0","0.0","0.0","63.74","103.38","492.27","246.14","428.54","388.89","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","4920.26","0.09","1.05","0.0","5.69","1.05","5.97","0.0","0.0","0.0","0.0","69.71","103.38","492.27","246.14","422.57","388.89","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","4920.26","0.09","1.05","0.0","5.85","1.05","6.14","0.0","0.0","0.0","0.0","75.85","103.38","492.27","246.14","416.42","388.89","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","4920.26","0.09","1.05","0.0","6.27","1.05","6.58","0.0","0.0","0.0","0.0","82.44","103.38","492.27","246.14","409.84","388.89","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","4920.26","0.09","1.05","0.0","6.04","1.05","6.34","0.0","0.0","0.0","0.0","88.78","103.38","492.27","246.14","403.5","388.89","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","4920.26","0.09","1.05","0.0","5.2","1.05","5.44","0.0","0.0","0.0","0.0","94.22","103.38","492.27","246.14","398.06","388.89","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","4920.26","0.09","1.04","0.0","5.28","1.04","5.5","0.0","0.0","0.0","0.0","99.72","103.38","492.27","246.14","392.56","388.89","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","4920.26","0.09","1.04","0.0","5.28","1.04","5.48","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","105.2","","","","","","",""
"2016.0","9.0","4.0","248.0","4920.26","0.09","1.03","0.0","4.62","1.03","4.78","0.0","0.0","0.0","0.0","4.78","103.38","492.27","246.14","487.5","388.89","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","4920.26","0.09","1.03","0.0","5.38","1.03","5.54","0.0","0.0","0.0","0.0","10.31","103.38","492.27","246.14","481.96","388.89","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","4920.26","0.09","1.03","0.0","5.09","1.03","5.22","0.0","0.0","0.0","0.0","15.53","103.38","492.27","246.14","476.74","388.89","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","4920.26","0.09","1.02","0.0","5.71","1.02","5.83","0.0","0.0","0.0","0.0","21.37","103.38","492.27","246.14","470.91","388.89","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","4920.26","0.09","1.02","0.0","5.88","1.02","5.98","0.0","0.0","0.0","0.0","27.35","103.38","492.27","246.14","464.93","388.89","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","4920.26","0.09","1.01","0.0","5.42","1.01","5.49","0.0","0.0","0.0","0.0","32.84","103.38","492.27","246.14","459.44","388.89","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","4920.26","0.09","1.01","0.0","5.5","1.01","5.55","0.0","0.0","0.0","0.0","38.39","103.38","492.27","246.14","453.89","388.89","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","4920.26","0.09","1.0","0.0","4.98","1.0","5.0","0.0","0.0","0.0","0.0","43.39","103.38","492.27","246.14","448.88","388.89","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","4920.26","0.09","1.0","0.0","4.45","1.0","4.45","0.0","0.0","0.0","0.0","47.85","103.38","492.27","246.14","444.43","388.89","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","4920.26","0.09","1.0","0.0","3.88","1.0","3.87","0.0","0.0","0.0","0.0","51.71","103.38","492.27","246.14","440.56","388.89","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","4920.26","0.09","0.99","0.0","4.26","0.99","4.23","0.0","0.0","0.0","0.0","55.94","103.38","492.27","246.14","436.33","388.89","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","4920.26","0.09","0.99","0.0","4.66","0.99","4.61","0.0","0.0","0.0","0.0","60.55","103.38","492.27","246.14","431.73","388.89","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","4920.26","0.09","0.98","0.0","4.85","0.98","4.77","0.0","0.0","0.0","0.0","65.32","103.38","492.27","246.14","426.95","388.89","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","4920.26","0.09","0.98","0.0","4.9","0.98","4.8","0.0","0.0","0.0","0.0","70.13","103.38","492.27","246.14","422.15","388.89","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","4920.26","0.09","0.98","0.0","4.71","0.98","4.6","0.0","0.0","0.0","0.0","74.72","103.38","492.27","246.14","417.55","388.89","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","4920.26","0.09","0.97","0.0","5.26","0.97","5.11","0.0","0.0","0.0","0.0","79.84","103.38","492.27","246.14","412.44","388.89","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","4920.26","0.09","0.97","0.0","5.95","0.97","5.76","0.0","0.0","0.0","0.0","85.6","103.38","492.27","246.14","406.68","388.89","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","4920.26","0.08","0.96","0.0","5.65","0.96","5.45","0.0","0.0","0.0","0.0","91.04","123.07","492.27","246.14","401.23","369.21","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","4920.26","0.08","0.96","0.0","4.38","0.96","4.2","0.0","0.0","0.0","0.0","95.25","123.07","492.27","246.14","397.03","369.21","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","4920.26","0.08","0.96","0.0","4.65","0.96","4.44","0.0","0.0","0.0","0.0","99.69","123.07","492.27","246.14","392.58","369.21","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","4920.26","0.08","0.95","0.0","4.71","0.95","4.48","0.0","0.0","0.0","0.0","104.17","123.07","492.27","246.14","388.1","369.21","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","4920.26","0.08","0.95","0.0","4.31","0.95","4.08","0.0","0.0","0.0","0.0","108.26","123.07","492.27","246.14","384.02","369.21","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","4920.26","0.08","0.94","0.0","4.55","0.94","4.29","0.0","0.0","0.0","0.0","112.55","123.07","492.27","246.14","379.72","369.21","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","4920.26","0.08","0.94","0.0","4.71","0.94","4.42","0.0","0.0","0.0","0.0","116.97","123.07","492.27","246.14","375.3","369.21","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","4920.26","0.08","0.94","0.0","4.84","0.94","4.53","0.0","0.0","0.0","0.0","121.5","123.07","492.27","246.14","370.77","369.21","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","4920.26","0.08","0.93","0.0","4.79","0.93","4.46","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","125.96","","","","","","",""
"2016.0","9.0","30.0","274.0","4920.26","0.08","0.93","0.0","3.68","0.93","3.41","0.46","0.46","0.0","0.0","2.95","123.07","492.27","246.14","489.32","369.21","0.0","","","","","","",""
