" Daily soil water balance output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","3446.67","0.14","1.0","0.0","7.23","1.0","7.23","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.23","","","","","","",""
"2016.0","7.0","2.0","184.0","3446.67","0.13","1.0","0.0","7.18","1.0","7.18","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.18","","","","","","",""
"2016.0","7.0","3.0","185.0","3446.67","0.13","1.0","0.0","7.44","1.0","7.44","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.44","","","","","","",""
"2016.0","7.0","4.0","186.0","3446.67","0.13","1.0","0.0","7.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.0","","","","","","",""
"2016.0","7.0","5.0","187.0","3446.67","0.13","1.0","0.0","6.29","1.0","6.29","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.29","","","","","","",""
"2016.0","7.0","6.0","188.0","3446.67","0.13","1.0","0.0","6.38","1.0","6.38","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.38","","","","","","",""
"2016.0","7.0","7.0","189.0","3446.67","0.13","1.0","0.0","6.53","1.0","6.53","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.53","","","","","","",""
"2016.0","7.0","8.0","190.0","3446.67","0.13","1.0","0.0","7.11","1.0","7.11","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.11","","","","","","",""
"2016.0","7.0","9.0","191.0","3446.67","0.13","1.0","0.0","6.6","1.0","6.6","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.6","","","","","","",""
"2016.0","7.0","10.0","192.0","3446.67","0.13","1.0","0.0","6.47","1.0","6.47","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.47","","","","","","",""
"2016.0","7.0","11.0","193.0","3446.67","0.12","1.0","0.0","7.23","1.0","7.23","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.23","","","","","","",""
"2016.0","7.0","12.0","194.0","3446.67","0.12","1.0","0.0","6.91","1.0","6.91","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.91","","","","","","",""
"2016.0","7.0","13.0","195.0","3446.67","0.12","1.0","0.0","7.23","1.0","7.23","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.23","","","","","","",""
"2016.0","7.0","14.0","196.0","3446.67","0.12","1.0","0.0","7.4","1.0","7.4","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.4","","","","","","",""
"2016.0","7.0","15.0","197.0","3446.67","0.12","1.0","0.0","7.32","1.0","7.32","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.32","","","","","","",""
"2016.0","7.0","16.0","198.0","3446.67","0.12","1.0","0.0","7.01","1.0","7.01","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.01","","","","","","",""
"2016.0","7.0","17.0","199.0","3446.67","0.12","1.0","0.0","6.76","1.0","6.76","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.76","","","","","","",""
"2016.0","7.0","18.0","200.0","3446.67","0.12","1.0","0.0","6.37","1.0","6.37","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.37","","","","","","",""
"2016.0","7.0","19.0","201.0","3446.67","0.12","1.0","0.0","6.63","1.0","6.63","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.63","","","","","","",""
"2016.0","7.0","20.0","202.0","3446.67","0.12","1.0","0.0","7.06","1.0","7.06","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.06","","","","","","",""
"2016.0","7.0","21.0","203.0","3446.67","0.11","1.0","0.0","7.27","1.0","7.27","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.27","","","","","","",""
"2016.0","7.0","22.0","204.0","3446.67","0.11","1.0","0.0","7.13","1.0","7.13","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.13","","","","","","",""
"2016.0","7.0","23.0","205.0","3446.67","0.11","1.0","0.0","7.72","1.0","7.72","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.72","","","","","","",""
"2016.0","7.0","24.0","206.0","3446.67","0.11","1.0","0.0","7.38","1.0","7.38","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.38","","","","","","",""
"2016.0","7.0","25.0","207.0","3446.67","0.11","1.0","0.0","7.29","1.0","7.29","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.29","","","","","","",""
"2016.0","7.0","26.0","208.0","3446.67","0.11","1.0","0.0","7.3","1.0","7.3","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.3","","","","","","",""
"2016.0","7.0","27.0","209.0","3446.67","0.11","1.0","0.0","7.67","1.0","7.67","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.67","","","","","","",""
"2016.0","7.0","28.0","210.0","3446.67","0.11","1.0","0.0","7.66","1.0","7.66","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.66","","","","","","",""
"2016.0","7.0","29.0","211.0","3446.67","0.11","1.0","0.0","7.57","1.0","7.57","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.57","","","","","","",""
"2016.0","7.0","30.0","212.0","3446.67","0.11","1.0","0.0","7.81","1.0","7.81","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.81","","","","","","",""
"2016.0","7.0","31.0","213.0","3446.67","0.11","1.0","0.0","6.98","1.0","6.98","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.98","","","","","","",""
"2016.0","8.0","1.0","214.0","3446.67","0.11","1.0","0.0","6.7","1.0","6.7","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.7","","","","","","",""
"2016.0","8.0","2.0","215.0","3446.67","0.11","1.0","0.0","6.65","1.0","6.65","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.65","","","","","","",""
"2016.0","8.0","3.0","216.0","3446.67","0.1","1.0","0.0","7.01","1.0","7.01","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.01","","","","","","",""
"2016.0","8.0","4.0","217.0","3446.67","0.1","1.0","0.0","6.22","1.0","6.22","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.22","","","","","","",""
"2016.0","8.0","5.0","218.0","3446.67","0.1","1.0","0.0","5.72","1.0","5.72","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.72","","","","","","",""
"2016.0","8.0","6.0","219.0","3446.67","0.1","1.0","0.0","6.01","1.0","6.01","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.01","","","","","","",""
"2016.0","8.0","7.0","220.0","3446.67","0.1","1.0","0.0","6.09","1.0","6.09","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.09","","","","","","",""
"2016.0","8.0","8.0","221.0","3446.67","0.1","1.0","0.0","6.44","1.0","6.44","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.44","","","","","","",""
"2016.0","8.0","9.0","222.0","3446.67","0.1","1.0","0.0","6.18","1.0","6.18","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.18","","","","","","",""
"2016.0","8.0","10.0","223.0","3446.67","0.1","1.0","0.0","6.26","1.0","6.26","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.26","","","","","","",""
"2016.0","8.0","11.0","224.0","3446.67","0.1","1.0","0.0","6.46","1.0","6.46","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.46","","","","","","",""
"2016.0","8.0","12.0","225.0","3446.67","0.1","1.0","0.0","6.65","1.0","6.65","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.65","","","","","","",""
"2016.0","8.0","13.0","226.0","3446.67","0.1","1.0","0.0","7.06","1.0","7.06","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.06","","","","","","",""
"2016.0","8.0","14.0","227.0","3446.67","0.1","1.0","0.0","7.26","1.0","7.26","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.26","","","","","","",""
"2016.0","8.0","15.0","228.0","3446.67","0.1","1.0","0.0","6.64","1.0","6.64","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.64","","","","","","",""
"2016.0","8.0","16.0","229.0","3446.67","0.1","1.0","0.0","6.57","1.0","6.57","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.57","","","","","","",""
"2016.0","8.0","17.0","230.0","3446.67","0.1","1.0","0.0","6.46","1.0","6.46","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.46","","","","","","",""
"2016.0","8.0","18.0","231.0","3446.67","0.1","1.0","0.0","6.42","1.0","6.42","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.42","","","","","","",""
"2016.0","8.0","19.0","232.0","3446.67","0.1","1.0","0.0","6.44","1.0","6.44","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.44","","","","","","",""
"2016.0","8.0","20.0","233.0","3446.67","0.1","1.0","0.0","6.34","1.0","6.34","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.34","","","","","","",""
"2016.0","8.0","21.0","234.0","3446.67","0.1","1.0","0.0","6.38","1.0","6.38","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.38","","","","","","",""
"2016.0","8.0","22.0","235.0","3446.67","0.1","1.0","0.0","5.96","1.0","5.96","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.96","","","","","","",""
"2016.0","8.0","23.0","236.0","3446.67","0.1","1.0","0.0","6.1","1.0","6.1","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.1","","","","","","",""
"2016.0","8.0","24.0","237.0","3446.67","0.09","1.0","0.0","6.02","1.0","6.02","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.02","","","","","","",""
"2016.0","8.0","25.0","238.0","3446.67","0.09","1.0","0.0","5.81","1.0","5.81","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.81","","","","","","",""
"2016.0","8.0","26.0","239.0","3446.67","0.09","1.0","0.0","5.42","1.0","5.42","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.42","","","","","","",""
"2016.0","8.0","27.0","240.0","3446.67","0.09","1.0","0.0","5.32","1.0","5.32","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.32","","","","","","",""
"2016.0","8.0","28.0","241.0","3446.67","0.09","1.0","0.0","5.62","1.0","5.62","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.62","","","","","","",""
"2016.0","8.0","29.0","242.0","3446.67","0.09","1.0","0.0","5.87","1.0","5.87","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.87","","","","","","",""
"2016.0","8.0","30.0","243.0","3446.67","0.09","1.0","0.0","6.32","1.0","6.32","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.32","","","","","","",""
"2016.0","8.0","31.0","244.0","3446.67","0.09","1.0","0.0","6.07","1.0","6.07","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.07","","","","","","",""
"2016.0","9.0","1.0","245.0","3446.67","0.09","1.0","0.0","5.28","1.0","5.28","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.28","","","","","","",""
"2016.0","9.0","2.0","246.0","3446.67","0.09","1.0","0.0","5.32","1.0","5.32","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.32","","","","","","",""
"2016.0","9.0","3.0","247.0","3446.67","0.09","1.0","0.0","5.21","1.0","5.21","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.21","","","","","","",""
"2016.0","9.0","4.0","248.0","3446.67","0.09","1.0","0.0","4.61","1.0","4.61","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.61","","","","","","",""
"2016.0","9.0","5.0","249.0","3446.67","0.09","1.0","0.0","5.35","1.0","5.35","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.35","","","","","","",""
"2016.0","9.0","6.0","250.0","3446.67","0.09","1.0","0.0","5.1","1.0","5.1","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.1","","","","","","",""
"2016.0","9.0","7.0","251.0","3446.67","0.09","1.0","0.0","5.65","1.0","5.65","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.65","","","","","","",""
"2016.0","9.0","8.0","252.0","3446.67","0.09","1.0","0.0","5.78","1.0","5.78","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.78","","","","","","",""
"2016.0","9.0","9.0","253.0","3446.67","0.09","1.0","0.0","5.43","1.0","5.43","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.43","","","","","","",""
"2016.0","9.0","10.0","254.0","3446.67","0.09","0.99","0.0","5.49","0.99","5.43","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.43","","","","","","",""
"2016.0","9.0","11.0","255.0","3446.67","0.09","0.98","0.0","5.04","0.98","4.92","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.92","","","","","","",""
"2016.0","9.0","12.0","256.0","3446.67","0.09","0.97","0.0","4.58","0.97","4.42","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.42","","","","","","",""
"2016.0","9.0","13.0","257.0","3446.67","0.09","0.95","0.0","3.88","0.95","3.7","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.7","","","","","","",""
"2016.0","9.0","14.0","258.0","3446.67","0.09","0.94","0.0","4.27","0.94","4.03","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.03","","","","","","",""
"2016.0","9.0","15.0","259.0","3446.67","0.09","0.93","0.0","4.71","0.93","4.39","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.39","","","","","","",""
"2016.0","9.0","16.0","260.0","3446.67","0.09","0.92","0.0","4.88","0.92","4.49","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.49","","","","","","",""
"2016.0","9.0","17.0","261.0","3446.67","0.09","0.91","0.0","4.88","0.91","4.43","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.43","","","","","","",""
"2016.0","9.0","18.0","262.0","3446.67","0.09","0.9","0.0","4.73","0.9","4.24","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.24","","","","","","",""
"2016.0","9.0","19.0","263.0","3446.67","0.09","0.89","0.0","5.2","0.89","4.61","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.61","","","","","","",""
"2016.0","9.0","20.0","264.0","3446.67","0.09","0.87","0.0","5.65","0.87","4.94","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.94","","","","","","",""
"2016.0","9.0","21.0","265.0","3446.67","0.09","0.86","0.0","5.42","0.86","4.68","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.68","","","","","","",""
"2016.0","9.0","22.0","266.0","3446.67","0.09","0.85","0.0","4.4","0.85","3.75","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.75","","","","","","",""
"2016.0","9.0","23.0","267.0","3446.67","0.09","0.84","0.0","4.74","0.84","3.98","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.98","","","","","","",""
"2016.0","9.0","24.0","268.0","3446.67","0.09","0.83","0.0","4.57","0.83","3.79","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.79","","","","","","",""
"2016.0","9.0","25.0","269.0","3446.67","0.09","0.82","0.0","4.23","0.82","3.46","0.0","0.0","0.0","0.0","3.46","27.0","219.46","109.73","216.0","192.46","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","3446.67","0.09","0.81","0.0","4.58","0.81","3.69","0.0","0.0","0.0","0.0","7.15","27.0","219.46","109.73","212.31","192.46","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","3446.67","0.09","0.79","0.0","4.68","0.79","3.72","0.0","0.0","0.0","0.0","10.86","27.0","219.46","109.73","208.59","192.46","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","3446.67","0.09","0.78","0.0","4.75","0.78","3.72","0.0","0.0","0.0","0.0","14.58","27.0","219.46","109.73","204.87","192.46","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","3446.67","0.09","0.77","0.0","4.71","0.77","3.63","0.0","0.0","0.0","0.0","18.22","27.0","219.46","109.73","201.24","192.46","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","3446.67","0.09","0.76","0.0","3.59","0.76","2.73","2.27","2.27","0.0","0.0","18.67","27.0","219.46","109.73","200.78","192.46","0.0","","","","","","",""
