" Daily soil water balance output for Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly outputfor Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","15888.31","0.12","0.95","0.0","7.09","0.95","6.74","0.0","0.0","0.0","0.0","13.63","51.35","214.58","107.29","200.95","163.22","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","15888.31","0.12","0.95","0.0","7.02","0.95","6.67","0.0","0.0","0.0","0.0","20.3","51.35","214.58","107.29","194.28","163.22","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","15888.31","0.12","0.95","0.0","7.32","0.95","6.95","0.0","0.0","0.0","0.0","27.26","51.35","214.58","107.29","187.32","163.22","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","15888.31","0.12","0.95","0.0","6.85","0.95","6.51","0.0","0.0","0.0","0.0","33.76","51.35","214.58","107.29","180.82","163.22","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","15888.31","0.12","0.95","0.0","6.12","0.95","5.81","0.0","0.0","0.0","0.0","39.58","51.35","214.58","107.29","175.0","163.22","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","15888.31","0.12","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","45.49","51.35","214.58","107.29","169.09","163.22","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","15888.31","0.11","0.95","0.0","6.28","0.95","5.97","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","51.45","","","","","","",""
"2016.0","7.0","8.0","190.0","15888.31","0.11","0.95","0.0","6.99","0.95","6.64","0.0","0.0","0.0","0.0","6.64","51.35","214.58","107.29","207.94","163.22","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","15888.31","0.11","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","12.77","51.35","214.58","107.29","201.81","163.22","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","15888.31","0.11","0.95","0.0","6.36","0.95","6.04","0.0","0.0","0.0","0.0","18.81","51.35","214.58","107.29","195.77","163.22","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","15888.31","0.11","0.95","0.0","7.12","0.95","6.76","0.0","0.0","0.0","0.0","25.57","51.35","214.58","107.29","189.01","163.22","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","15888.31","0.11","0.95","0.0","6.81","0.95","6.47","0.0","0.0","0.0","0.0","32.04","51.35","214.58","107.29","182.54","163.22","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","15888.31","0.11","0.95","0.0","7.2","0.95","6.84","0.0","0.0","0.0","0.0","38.88","51.35","214.58","107.29","175.7","163.22","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","15888.31","0.11","0.95","0.0","7.37","0.95","7.0","0.0","0.0","0.0","0.0","45.89","51.35","214.58","107.29","168.69","163.22","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","15888.31","0.11","0.95","0.0","7.27","0.95","6.91","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","52.79","","","","","","",""
"2016.0","7.0","16.0","198.0","15888.31","0.11","0.95","0.0","6.85","0.95","6.51","0.0","0.0","0.0","0.0","6.51","51.35","214.58","107.29","208.07","163.22","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","15888.31","0.11","0.95","0.0","6.58","0.95","6.25","0.0","0.0","0.0","0.0","12.76","51.35","214.58","107.29","201.82","163.22","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","15888.31","0.11","0.95","0.0","6.24","0.95","5.93","0.0","0.0","0.0","0.0","18.69","51.35","214.58","107.29","195.89","163.22","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","15888.31","0.11","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","24.83","51.35","214.58","107.29","189.75","163.22","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","15888.31","0.11","0.95","0.0","6.83","0.95","6.49","0.0","0.0","0.0","0.0","31.32","51.35","214.58","107.29","183.26","163.22","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","15888.31","0.11","0.95","0.0","7.16","0.95","6.8","0.0","0.0","0.0","0.0","38.12","51.35","214.58","107.29","176.46","163.22","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","15888.31","0.1","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","44.68","51.35","214.58","107.29","169.9","163.22","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","15888.31","0.1","0.95","0.0","7.55","0.95","7.17","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","51.85","","","","","","",""
"2016.0","7.0","24.0","206.0","15888.31","0.1","0.95","0.0","7.37","0.95","7.0","0.0","0.0","0.0","0.0","7.0","51.35","214.58","107.29","207.58","163.22","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","15888.31","0.1","0.95","0.0","7.18","0.95","6.82","0.0","0.0","0.0","0.0","13.82","51.35","214.58","107.29","200.76","163.22","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","15888.31","0.1","0.95","0.0","7.2","0.95","6.84","0.0","0.0","0.0","0.0","20.66","51.35","214.58","107.29","193.92","163.22","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","15888.31","0.1","0.95","0.0","7.7","0.95","7.32","0.0","0.0","0.0","0.0","27.98","51.35","214.58","107.29","186.6","163.22","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","15888.31","0.1","0.95","0.0","7.57","0.95","7.19","0.0","0.0","0.0","0.0","35.17","51.35","214.58","107.29","179.41","163.22","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","15888.31","0.1","0.95","0.0","7.46","0.95","7.09","0.0","0.0","0.0","0.0","42.26","51.35","214.58","107.29","172.32","163.22","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","15888.31","0.1","0.95","0.0","7.84","0.95","7.45","0.0","0.0","0.0","0.0","49.7","51.35","214.58","107.29","164.88","163.22","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","15888.31","0.1","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","56.35","","","","","","",""
"2016.0","8.0","1.0","214.0","15888.31","0.1","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","6.32","51.35","214.58","107.29","208.26","163.22","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","15888.31","0.1","0.95","0.0","6.47","0.95","6.15","0.0","0.0","0.0","0.0","12.46","51.35","214.58","107.29","202.12","163.22","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","15888.31","0.1","0.95","0.0","6.97","0.95","6.62","0.0","0.0","0.0","0.0","19.09","51.35","214.58","107.29","195.49","163.22","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","15888.31","0.1","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","24.76","51.35","214.58","107.29","189.82","163.22","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","15888.31","0.1","0.95","0.0","5.57","0.95","5.29","0.0","0.0","0.0","0.0","30.05","51.35","214.58","107.29","184.53","163.22","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","15888.31","0.1","0.95","0.0","5.91","0.95","5.61","0.0","0.0","0.0","0.0","35.66","51.35","214.58","107.29","178.92","163.22","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","15888.31","0.1","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","41.32","51.35","214.58","107.29","173.26","163.22","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","15888.31","0.1","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","47.42","51.35","214.58","107.29","167.16","163.22","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","15888.31","0.1","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","53.27","","","","","","",""
"2016.0","8.0","10.0","223.0","15888.31","0.09","0.95","0.0","6.23","0.95","5.92","0.0","0.0","0.0","0.0","5.92","51.35","214.58","107.29","208.66","163.22","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","15888.31","0.09","0.95","0.0","6.36","0.95","6.04","0.0","0.0","0.0","0.0","11.96","51.35","214.58","107.29","202.62","163.22","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","15888.31","0.09","0.95","0.0","6.59","0.95","6.26","0.0","0.0","0.0","0.0","18.22","51.35","214.58","107.29","196.36","163.22","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","15888.31","0.09","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","24.8","51.35","214.58","107.29","189.78","163.22","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","15888.31","0.09","0.95","0.0","7.13","0.95","6.77","0.0","0.0","0.0","0.0","31.57","51.35","214.58","107.29","183.01","163.22","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","15888.31","0.09","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","37.71","51.35","214.58","107.29","176.87","163.22","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","15888.31","0.09","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","43.93","51.35","214.58","107.29","170.65","163.22","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","15888.31","0.09","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","50.04","51.35","214.58","107.29","164.54","163.22","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","15888.31","0.09","0.95","0.0","6.39","0.95","6.07","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","56.11","","","","","","",""
"2016.0","8.0","19.0","232.0","15888.31","0.09","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","6.01","51.35","214.58","107.29","208.57","163.22","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","15888.31","0.09","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","11.92","51.35","214.58","107.29","202.66","163.22","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","15888.31","0.09","0.95","0.0","6.26","0.95","5.95","0.0","0.0","0.0","0.0","17.87","51.35","214.58","107.29","196.71","163.22","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","15888.31","0.09","0.95","0.0","6.08","0.95","5.78","0.0","0.0","0.0","0.0","23.65","51.35","214.58","107.29","190.93","163.22","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","15888.31","0.09","0.95","0.0","5.88","0.95","5.59","0.0","0.0","0.0","0.0","29.23","51.35","214.58","107.29","185.35","163.22","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","15888.31","0.09","0.95","0.0","5.82","0.95","5.53","0.0","0.0","0.0","0.0","34.76","51.35","214.58","107.29","179.82","163.22","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","15888.31","0.09","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","40.18","51.35","214.58","107.29","174.4","163.22","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","15888.31","0.09","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","45.26","51.35","214.58","107.29","169.32","163.22","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","15888.31","0.09","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","50.22","51.35","214.58","107.29","164.36","163.22","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","15888.31","0.09","0.95","0.0","5.57","0.95","5.29","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","55.51","","","","","","",""
"2016.0","8.0","29.0","242.0","15888.31","0.09","0.95","0.0","5.66","0.95","5.38","0.0","0.0","0.0","0.0","5.38","51.35","214.58","107.29","209.2","163.22","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","15888.31","0.09","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","11.16","51.35","214.58","107.29","203.42","163.22","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","15888.31","0.09","0.95","0.0","5.9","0.95","5.61","0.0","0.0","0.0","0.0","16.77","51.35","214.58","107.29","197.81","163.22","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","15888.31","0.09","0.95","0.0","5.07","0.95","4.82","0.0","0.0","0.0","0.0","21.58","51.35","214.58","107.29","193.0","163.22","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","15888.31","0.09","0.95","0.0","5.19","0.95","4.93","0.0","0.0","0.0","0.0","26.51","51.35","214.58","107.29","188.06","163.22","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","15888.31","0.09","0.95","0.0","5.2","0.95","4.94","0.0","0.0","0.0","0.0","31.45","51.35","214.58","107.29","183.12","163.22","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","15888.31","0.09","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","35.83","51.35","214.58","107.29","178.75","163.22","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","15888.31","0.09","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","40.88","51.35","214.58","107.29","173.7","163.22","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","15888.31","0.09","0.95","0.0","5.03","0.95","4.78","0.0","0.0","0.0","0.0","45.66","51.35","214.58","107.29","168.92","163.22","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","15888.31","0.09","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","51.07","51.35","214.58","107.29","163.51","163.22","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","15888.31","0.09","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","56.53","","","","","","",""
"2016.0","9.0","9.0","253.0","15888.31","0.09","0.95","0.0","5.32","0.95","5.05","0.0","0.0","0.0","0.0","5.05","51.35","214.58","107.29","209.53","163.22","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","15888.31","0.08","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","10.15","51.35","214.58","107.29","204.43","163.22","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","15888.31","0.08","0.95","0.0","4.8","0.95","4.56","0.0","0.0","0.0","0.0","14.71","51.35","214.58","107.29","199.87","163.22","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","15888.31","0.08","0.95","0.0","4.31","0.95","4.09","0.0","0.0","0.0","0.0","18.8","51.35","214.58","107.29","195.78","163.22","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","15888.31","0.08","0.95","0.0","3.87","0.95","3.68","0.0","0.0","0.0","0.0","22.48","51.35","214.58","107.29","192.1","163.22","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","15888.31","0.08","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","26.49","51.35","214.58","107.29","188.09","163.22","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","15888.31","0.08","0.95","0.0","4.57","0.95","4.34","0.0","0.0","0.0","0.0","30.83","51.35","214.58","107.29","183.75","163.22","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","15888.31","0.08","0.95","0.0","4.77","0.95","4.53","0.0","0.0","0.0","0.0","35.36","51.35","214.58","107.29","179.22","163.22","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","15888.31","0.08","0.95","0.0","4.82","0.95","4.58","0.0","0.0","0.0","0.0","39.94","51.35","214.58","107.29","174.64","163.22","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","15888.31","0.08","0.95","0.0","4.67","0.95","4.44","0.0","0.0","0.0","0.0","44.37","51.35","214.58","107.29","170.2","163.22","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","15888.31","0.08","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","49.33","51.35","214.58","107.29","165.25","163.22","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","15888.31","0.08","0.95","0.0","5.91","0.95","5.61","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","54.95","","","","","","",""
"2016.0","9.0","21.0","265.0","15888.31","0.08","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","5.28","51.35","214.58","107.29","209.3","163.22","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","15888.31","0.08","0.95","0.0","4.35","0.95","4.13","0.0","0.0","0.0","0.0","9.41","51.35","214.58","107.29","205.16","163.22","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","15888.31","0.08","0.95","0.0","4.54","0.95","4.31","0.0","0.0","0.0","0.0","13.73","51.35","214.58","107.29","200.85","163.22","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","15888.31","0.08","0.95","0.0","4.7","0.95","4.47","0.0","0.0","0.0","0.0","18.19","51.35","214.58","107.29","196.39","163.22","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","15888.31","0.08","0.95","0.0","4.36","0.95","4.14","0.0","0.0","0.0","0.0","22.33","51.35","214.58","107.29","192.24","163.22","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","15888.31","0.08","0.95","0.0","4.49","0.95","4.27","0.0","0.0","0.0","0.0","26.6","51.35","214.58","107.29","187.98","163.22","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","15888.31","0.08","0.95","0.0","4.66","0.95","4.43","0.0","0.0","0.0","0.0","31.03","51.35","214.58","107.29","183.55","163.22","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","15888.31","0.08","0.95","0.0","4.73","0.95","4.49","0.0","0.0","0.0","0.0","35.52","51.35","214.58","107.29","179.06","163.22","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","15888.31","0.08","0.95","0.0","4.64","0.95","4.41","0.0","0.0","0.0","0.0","39.93","51.35","214.58","107.29","174.65","163.22","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","15888.31","0.08","0.95","0.0","3.66","0.95","3.48","0.47","0.47","0.0","0.0","42.94","51.35","214.58","107.29","171.64","163.22","0.0","","","","","","",""
