" Daily soil water balance output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","1.0","183.0","14927.12","0.13","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","48.28","98.29","486.46","243.23","438.18","388.17","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","14927.12","0.13","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","55.88","98.29","486.46","243.23","430.58","388.17","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","14927.12","0.13","1.05","0.0","7.51","1.05","7.89","0.0","0.0","0.0","0.0","63.77","98.29","486.46","243.23","422.69","388.17","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","14927.12","0.13","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","71.16","98.29","486.46","243.23","415.3","388.17","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","14927.12","0.12","1.05","0.0","6.26","1.05","6.57","0.0","0.0","0.0","0.0","77.73","98.29","486.46","243.23","408.73","388.17","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","14927.12","0.12","1.05","0.0","6.37","1.05","6.69","0.0","0.0","0.0","0.0","84.42","98.29","486.46","243.23","402.04","388.17","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","14927.12","0.12","1.05","0.0","6.44","1.05","6.76","0.0","0.0","0.0","0.0","91.18","98.29","486.46","243.23","395.28","388.17","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","14927.12","0.12","1.05","0.0","7.13","1.05","7.49","0.0","0.0","0.0","0.0","0.0","98.29","486.46","243.23","486.46","388.17","98.67","","","","","","",""
"2016.0","7.0","9.0","191.0","14927.12","0.12","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","6.88","98.29","486.46","243.23","479.58","388.17","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","14927.12","0.12","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","13.62","98.29","486.46","243.23","472.84","388.17","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","14927.12","0.12","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","21.19","98.29","486.46","243.23","465.27","388.17","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","14927.12","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","28.47","98.29","486.46","243.23","458.0","388.17","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","14927.12","0.12","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","36.13","98.29","486.46","243.23","450.33","388.17","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","14927.12","0.12","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","43.97","98.29","486.46","243.23","442.49","388.17","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","14927.12","0.12","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","51.77","98.29","486.46","243.23","434.7","388.17","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","14927.12","0.11","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","59.16","98.29","486.46","243.23","427.3","388.17","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","14927.12","0.11","1.05","0.0","6.77","1.05","7.11","0.0","0.0","0.0","0.0","66.27","98.29","486.46","243.23","420.2","388.17","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","14927.12","0.11","1.05","0.0","6.39","1.05","6.71","0.0","0.0","0.0","0.0","72.98","98.29","486.46","243.23","413.49","388.17","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","14927.12","0.11","1.05","0.0","6.61","1.05","6.94","0.0","0.0","0.0","0.0","79.92","98.29","486.46","243.23","406.55","388.17","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","14927.12","0.11","1.05","0.0","6.99","1.05","7.34","0.0","0.0","0.0","0.0","87.26","98.29","486.46","243.23","399.21","388.17","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","14927.12","0.11","1.05","0.0","7.31","1.05","7.68","0.0","0.0","0.0","0.0","94.93","98.29","486.46","243.23","391.53","388.17","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","14927.12","0.11","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","0.0","98.29","486.46","243.23","486.46","388.17","102.33","","","","","","",""
"2016.0","7.0","23.0","205.0","14927.12","0.11","1.05","0.0","7.68","1.05","8.06","0.0","0.0","0.0","0.0","8.06","98.29","486.46","243.23","478.4","388.17","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","14927.12","0.11","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","15.89","98.29","486.46","243.23","470.57","388.17","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","14927.12","0.11","1.05","0.0","7.34","1.05","7.71","0.0","0.0","0.0","0.0","23.59","98.29","486.46","243.23","462.87","388.17","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","14927.12","0.11","1.05","0.0","7.28","1.05","7.64","0.0","0.0","0.0","0.0","31.24","98.29","486.46","243.23","455.22","388.17","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","14927.12","0.11","1.05","0.0","7.81","1.05","8.2","0.0","0.0","0.0","0.0","39.44","98.29","486.46","243.23","447.02","388.17","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","14927.12","0.11","1.05","0.0","7.74","1.05","8.13","0.0","0.0","0.0","0.0","47.57","98.29","486.46","243.23","438.9","388.17","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","14927.12","0.1","1.05","0.0","7.69","1.05","8.07","0.0","0.0","0.0","0.0","55.64","98.29","486.46","243.23","430.82","388.17","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","14927.12","0.1","1.05","0.0","8.02","1.05","8.42","0.0","0.0","0.0","0.0","64.06","98.29","486.46","243.23","422.4","388.17","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","14927.12","0.1","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","71.58","98.29","486.46","243.23","414.88","388.17","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","14927.12","0.1","1.05","0.0","6.81","1.05","7.15","0.0","0.0","0.0","0.0","78.73","98.29","486.46","243.23","407.73","388.17","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","14927.12","0.1","1.04","0.0","6.63","1.04","6.87","0.0","0.0","0.0","0.0","85.59","98.29","486.46","243.23","400.87","388.17","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","14927.12","0.1","1.02","0.0","7.11","1.02","7.26","0.0","0.0","0.0","0.0","92.85","98.29","486.46","243.23","393.61","388.17","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","14927.12","0.1","1.01","0.0","6.21","1.01","6.25","0.0","0.0","0.0","0.0","0.0","98.29","486.46","243.23","486.46","388.17","99.1","","","","","","",""
"2016.0","8.0","5.0","218.0","14927.12","0.1","0.99","0.0","5.71","0.99","5.66","0.0","0.0","0.0","0.0","5.66","98.29","486.46","243.23","480.8","388.17","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","14927.12","0.1","0.98","0.0","6.04","0.98","5.9","0.0","0.0","0.0","0.0","11.57","98.29","486.46","243.23","474.89","388.17","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","14927.12","0.1","0.96","0.0","6.06","0.96","5.84","0.0","0.0","0.0","0.0","17.4","98.29","486.46","243.23","469.06","388.17","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","14927.12","0.1","0.95","0.0","6.5","0.95","6.16","0.0","0.0","0.0","0.0","23.57","98.29","486.46","243.23","462.89","388.17","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","14927.12","0.1","0.93","0.0","6.23","0.93","5.82","0.0","0.0","0.0","0.0","29.39","121.62","486.46","243.23","457.08","364.85","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","14927.12","0.1","0.92","0.0","6.33","0.92","5.82","0.0","0.0","0.0","0.0","35.2","121.62","486.46","243.23","451.26","364.85","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","14927.12","0.1","0.9","0.0","6.49","0.9","5.87","0.0","0.0","0.0","0.0","41.08","121.62","486.46","243.23","445.38","364.85","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","14927.12","0.1","0.89","0.0","6.71","0.89","5.97","0.0","0.0","0.0","0.0","47.05","121.62","486.46","243.23","439.41","364.85","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","14927.12","0.1","0.88","0.0","7.07","0.88","6.19","0.0","0.0","0.0","0.0","53.24","121.62","486.46","243.23","433.22","364.85","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","14927.12","0.1","0.86","0.0","7.29","0.86","6.28","0.0","0.0","0.0","0.0","59.52","121.62","486.46","243.23","426.94","364.85","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","14927.12","0.1","0.85","0.0","6.66","0.85","5.64","0.0","0.0","0.0","0.0","65.16","121.62","486.46","243.23","421.3","364.85","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","14927.12","0.1","0.83","0.0","6.67","0.83","5.55","0.0","0.0","0.0","0.0","70.71","121.62","486.46","243.23","415.75","364.85","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","14927.12","0.09","0.82","0.0","6.55","0.82","5.36","0.0","0.0","0.0","0.0","76.07","121.62","486.46","243.23","410.39","364.85","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","14927.12","0.09","0.8","0.0","6.51","0.8","5.23","0.0","0.0","0.0","0.0","81.3","121.62","486.46","243.23","405.16","364.85","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","14927.12","0.09","0.79","0.0","6.48","0.79","5.11","0.0","0.0","0.0","0.0","86.41","121.62","486.46","243.23","400.05","364.85","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","14927.12","0.09","0.77","0.0","6.39","0.77","4.95","0.0","0.0","0.0","0.0","91.36","121.62","486.46","243.23","395.1","364.85","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","14927.12","0.09","0.76","0.0","6.41","0.76","4.87","0.0","0.0","0.0","0.0","96.23","121.62","486.46","243.23","390.24","364.85","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","14927.12","0.09","0.75","0.0","6.18","0.75","4.61","0.0","0.0","0.0","0.0","100.83","121.62","486.46","243.23","385.63","364.85","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","14927.12","0.09","0.73","0.0","6.06","0.73","4.43","0.0","0.0","0.0","0.0","105.26","121.62","486.46","243.23","381.2","364.85","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","14927.12","0.09","0.72","0.0","5.99","0.72","4.29","0.0","0.0","0.0","0.0","109.55","121.62","486.46","243.23","376.91","364.85","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","14927.12","0.09","0.7","0.0","5.86","0.7","4.11","0.0","0.0","0.0","0.0","113.66","121.62","486.46","243.23","372.8","364.85","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","14927.12","0.09","0.69","0.0","5.48","0.69","3.77","0.0","0.0","0.0","0.0","117.42","121.62","486.46","243.23","369.04","364.85","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","14927.12","0.09","0.67","0.0","5.34","0.67","3.59","0.0","0.0","0.0","0.0","121.02","121.62","486.46","243.23","365.44","364.85","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","14927.12","0.09","0.66","0.0","5.69","0.66","3.74","0.0","0.0","0.0","0.0","0.0","121.62","486.46","243.23","486.46","364.85","124.76","","","","","","",""
"2016.0","8.0","29.0","242.0","14927.12","0.09","0.64","0.0","5.85","0.64","3.76","0.0","0.0","0.0","0.0","3.76","121.62","486.46","243.23","482.7","364.85","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","14927.12","0.09","0.63","0.0","6.27","0.63","3.94","0.0","0.0","0.0","0.0","7.71","121.62","486.46","243.23","478.75","364.85","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","14927.12","0.09","0.61","0.0","6.04","0.61","3.71","0.0","0.0","0.0","0.0","11.42","121.62","486.46","243.23","475.04","364.85","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","14927.12","0.09","0.6","0.0","5.2","0.6","3.12","0.0","0.0","0.0","0.0","14.54","121.62","486.46","243.23","471.92","364.85","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","14927.12","0.09","0.0","0.0","5.28","0.09","0.47","0.0","0.0","0.0","0.0","15.01","34.2","486.46","243.23","471.45","452.26","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","14927.12","0.09","0.0","0.0","5.28","0.09","0.47","0.0","0.0","0.0","0.0","15.48","34.2","486.46","243.23","470.98","452.26","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","14927.12","0.09","0.0","0.0","4.62","0.09","0.41","0.0","0.0","0.0","0.0","15.89","34.2","486.46","243.23","470.57","452.26","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","14927.12","0.09","0.0","0.0","5.38","0.09","0.48","0.0","0.0","0.0","0.0","16.37","34.2","486.46","243.23","470.09","452.26","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","14927.12","0.09","0.0","0.0","5.09","0.09","0.45","0.0","0.0","0.0","0.0","16.82","34.2","486.46","243.23","469.64","452.26","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","14927.12","0.09","0.0","0.0","5.71","0.09","0.5","0.0","0.0","0.0","0.0","17.32","34.2","486.46","243.23","469.14","452.26","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","14927.12","0.09","0.0","0.0","5.88","0.09","0.52","0.0","0.0","0.0","0.0","17.84","34.2","486.46","243.23","468.62","452.26","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","14927.12","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","18.31","34.2","486.46","243.23","468.15","452.26","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","14927.12","0.09","0.0","0.0","5.5","0.09","0.48","0.0","0.0","0.0","0.0","18.79","34.2","486.46","243.23","467.67","452.26","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","14927.12","0.09","0.0","0.0","4.98","0.09","0.43","0.0","0.0","0.0","0.0","19.22","34.2","486.46","243.23","467.24","452.26","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","14927.12","0.09","0.0","0.0","4.45","0.09","0.39","0.0","0.0","0.0","0.0","19.61","34.2","486.46","243.23","466.85","452.26","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","14927.12","0.09","0.0","0.0","3.88","0.09","0.34","0.0","0.0","0.0","0.0","19.95","34.2","486.46","243.23","466.51","452.26","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","14927.12","0.09","0.0","0.0","4.26","0.09","0.37","0.0","0.0","0.0","0.0","20.31","34.2","486.46","243.23","466.15","452.26","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","14927.12","0.09","0.0","0.0","4.66","0.09","0.4","0.0","0.0","0.0","0.0","20.72","34.2","486.46","243.23","465.74","452.26","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","14927.12","0.09","0.0","0.0","4.85","0.09","0.42","0.0","0.0","0.0","0.0","21.13","34.2","486.46","243.23","465.33","452.26","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","14927.12","0.09","0.0","0.0","4.9","0.09","0.42","0.0","0.0","0.0","0.0","21.55","34.2","486.46","243.23","464.91","452.26","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","14927.12","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","21.96","34.2","486.46","243.23","464.5","452.26","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","14927.12","0.09","0.0","0.0","5.26","0.09","0.45","0.0","0.0","0.0","0.0","22.41","34.2","486.46","243.23","464.06","452.26","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","14927.12","0.09","0.0","0.0","5.95","0.09","0.51","0.0","0.0","0.0","0.0","22.91","34.2","486.46","243.23","463.55","452.26","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","14927.12","0.08","0.0","0.0","5.65","0.08","0.48","0.0","0.0","0.0","0.0","23.39","34.2","486.46","243.23","463.07","452.26","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","14927.12","0.08","0.0","0.0","4.38","0.08","0.37","0.0","0.0","0.0","0.0","23.76","34.2","486.46","243.23","462.7","452.26","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","14927.12","0.08","0.0","0.0","4.65","0.08","0.39","0.0","0.0","0.0","0.0","24.15","34.2","486.46","243.23","462.31","452.26","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","14927.12","0.08","0.0","0.0","4.71","0.08","0.4","0.0","0.0","0.0","0.0","24.55","34.2","486.46","243.23","461.91","452.26","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","14927.12","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","24.91","34.2","486.46","243.23","461.55","452.26","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","14927.12","0.08","0.0","0.0","4.55","0.08","0.38","0.0","0.0","0.0","0.0","25.29","34.2","486.46","243.23","461.17","452.26","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","14927.12","0.08","0.0","0.0","4.71","0.08","0.39","0.0","0.0","0.0","0.0","25.69","34.2","486.46","243.23","460.77","452.26","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","14927.12","0.08","0.0","0.0","4.84","0.08","0.4","0.0","0.0","0.0","0.0","26.09","34.2","486.46","243.23","460.37","452.26","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","14927.12","0.08","0.0","0.0","4.79","0.08","0.4","0.0","0.0","0.0","0.0","26.49","34.2","486.46","243.23","459.97","452.26","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","14927.12","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","26.34","34.2","486.46","243.23","460.12","452.26","0.0","","","","","","",""
