" Daily soil water balance output for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","7.0","3.0","185.0","108.53","0.13","1.02","0.0","7.51","1.02","7.68","0.0","0.0","0.0","0.0","68.4","105.27","492.27","246.14","423.88","387.0","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","108.53","0.13","1.03","0.0","7.04","1.03","7.24","0.0","0.0","0.0","0.0","75.64","105.27","492.27","246.14","416.64","387.0","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","108.53","0.12","1.03","0.0","6.26","1.03","6.48","0.0","0.0","0.0","0.0","82.12","105.27","492.27","246.14","410.16","387.0","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","108.53","0.12","1.04","0.0","6.37","1.04","6.63","0.0","0.0","0.0","0.0","88.75","105.27","492.27","246.14","403.53","387.0","0.0","","","","","","",""
"2016.0","7.0","7.0","189.0","108.53","0.12","1.05","0.0","6.44","1.05","6.74","0.0","0.0","0.0","0.0","95.49","105.27","492.27","246.14","396.78","387.0","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","108.53","0.12","1.05","0.0","7.13","1.05","7.51","0.0","0.0","0.0","0.0","103.0","105.27","492.27","246.14","389.28","387.0","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","108.53","0.12","1.06","0.0","6.55","1.06","6.94","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","109.94","","","","","","",""
"2016.0","7.0","10.0","192.0","108.53","0.12","1.07","0.0","6.42","1.07","6.84","0.0","0.0","0.0","0.0","6.84","105.27","492.27","246.14","485.44","387.0","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","108.53","0.12","1.07","0.0","7.21","1.07","7.72","0.0","0.0","0.0","0.0","14.56","105.27","492.27","246.14","477.71","387.0","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","108.53","0.12","1.08","0.0","6.93","1.08","7.47","0.0","0.0","0.0","0.0","22.03","105.27","492.27","246.14","470.25","387.0","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","108.53","0.12","1.08","0.0","7.3","1.08","7.91","0.0","0.0","0.0","0.0","29.94","105.27","492.27","246.14","462.34","387.0","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","108.53","0.12","1.09","0.0","7.47","1.09","8.14","0.0","0.0","0.0","0.0","38.07","105.27","492.27","246.14","454.2","387.0","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","108.53","0.12","1.1","0.0","7.42","1.1","8.13","0.0","0.0","0.0","0.0","46.2","105.27","492.27","246.14","446.07","387.0","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","108.53","0.11","1.1","0.0","7.04","1.1","7.75","0.0","0.0","0.0","0.0","53.96","105.27","492.27","246.14","438.32","387.0","0.0","","","","","","",""
"2016.0","7.0","17.0","199.0","108.53","0.11","1.11","0.0","6.77","1.11","7.5","0.0","0.0","0.0","0.0","61.45","105.27","492.27","246.14","430.82","387.0","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","108.53","0.11","1.11","0.0","6.39","1.11","7.12","0.0","0.0","0.0","0.0","68.57","105.27","492.27","246.14","423.7","387.0","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","108.53","0.11","1.12","0.0","6.61","1.12","7.4","0.0","0.0","0.0","0.0","75.97","105.27","492.27","246.14","416.3","387.0","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","108.53","0.11","1.13","0.0","6.99","1.13","7.87","0.0","0.0","0.0","0.0","83.84","105.27","492.27","246.14","408.43","387.0","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","108.53","0.11","1.13","0.0","7.31","1.13","8.27","0.0","0.0","0.0","0.0","92.11","105.27","492.27","246.14","400.16","387.0","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","108.53","0.11","1.14","0.0","7.05","1.14","8.02","0.0","0.0","0.0","0.0","100.14","105.27","492.27","246.14","392.14","387.0","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","108.53","0.11","1.14","0.0","7.68","1.14","8.79","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","108.92","","","","","","",""
"2016.0","7.0","24.0","206.0","108.53","0.11","1.15","0.0","7.45","1.15","8.57","0.0","0.0","0.0","0.0","8.57","105.27","492.27","246.14","483.71","387.0","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","108.53","0.11","1.15","0.0","7.34","1.15","8.44","0.0","0.0","0.0","0.0","17.01","105.27","492.27","246.14","475.27","387.0","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","108.53","0.11","1.15","0.0","7.28","1.15","8.37","0.0","0.0","0.0","0.0","25.38","105.27","492.27","246.14","466.89","387.0","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","108.53","0.11","1.15","0.0","7.81","1.15","8.98","0.0","0.0","0.0","0.0","34.36","105.27","492.27","246.14","457.91","387.0","0.0","","","","","","",""
"2016.0","7.0","28.0","210.0","108.53","0.11","1.15","0.0","7.74","1.15","8.9","0.0","0.0","0.0","0.0","43.26","105.27","492.27","246.14","449.01","387.0","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","108.53","0.1","1.15","0.0","7.69","1.15","8.84","0.0","0.0","0.0","0.0","52.11","105.27","492.27","246.14","440.17","387.0","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","108.53","0.1","1.15","0.0","8.02","1.15","9.22","0.0","0.0","0.0","0.0","61.33","105.27","492.27","246.14","430.95","387.0","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","108.53","0.1","1.15","0.0","7.16","1.15","8.23","0.0","0.0","0.0","0.0","69.56","105.27","492.27","246.14","422.71","387.0","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","108.53","0.1","1.15","0.0","6.81","1.15","7.83","0.0","0.0","0.0","0.0","77.4","105.27","492.27","246.14","414.88","387.0","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","108.53","0.1","1.15","0.0","6.63","1.15","7.62","0.0","0.0","0.0","0.0","85.02","105.27","492.27","246.14","407.26","387.0","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","108.53","0.1","1.15","0.0","7.11","1.15","8.18","0.0","0.0","0.0","0.0","93.2","105.27","492.27","246.14","399.08","387.0","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","108.53","0.1","1.15","0.0","6.21","1.15","7.14","0.0","0.0","0.0","0.0","100.34","105.27","492.27","246.14","391.94","387.0","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","108.53","0.1","1.15","0.0","5.71","1.15","6.57","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","106.9","","","","","","",""
"2016.0","8.0","6.0","219.0","108.53","0.1","1.15","0.0","6.04","1.15","6.95","0.0","0.0","0.0","0.0","6.95","105.27","492.27","246.14","485.33","387.0","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","108.53","0.1","1.15","0.0","6.06","1.15","6.97","0.0","0.0","0.0","0.0","13.92","105.27","492.27","246.14","478.36","387.0","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","108.53","0.1","1.15","0.0","6.5","1.15","7.48","0.0","0.0","0.0","0.0","21.39","105.27","492.27","246.14","470.88","387.0","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","108.53","0.1","1.15","0.0","6.23","1.15","7.16","0.0","0.0","0.0","0.0","28.55","105.27","492.27","246.14","463.72","387.0","0.0","","","","","","",""
"2016.0","8.0","10.0","223.0","108.53","0.1","1.15","0.0","6.33","1.15","7.28","0.0","0.0","0.0","0.0","35.83","105.27","492.27","246.14","456.44","387.0","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","108.53","0.1","1.15","0.0","6.49","1.15","7.46","0.0","0.0","0.0","0.0","43.3","105.27","492.27","246.14","448.98","387.0","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","108.53","0.1","1.15","0.0","6.71","1.15","7.72","0.0","0.0","0.0","0.0","51.01","105.27","492.27","246.14","441.26","387.0","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","108.53","0.1","1.15","0.0","7.07","1.15","8.13","0.0","0.0","0.0","0.0","59.14","105.27","492.27","246.14","433.13","387.0","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","108.53","0.1","1.15","0.0","7.29","1.15","8.38","0.0","0.0","0.0","0.0","67.53","105.27","492.27","246.14","424.75","387.0","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","108.53","0.1","1.15","0.0","6.66","1.15","7.66","0.0","0.0","0.0","0.0","75.19","105.27","492.27","246.14","417.09","387.0","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","108.53","0.1","1.15","0.0","6.67","1.15","7.67","0.0","0.0","0.0","0.0","82.86","105.27","492.27","246.14","409.42","387.0","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","108.53","0.09","1.15","0.0","6.55","1.15","7.53","0.0","0.0","0.0","0.0","90.39","105.27","492.27","246.14","401.88","387.0","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","108.53","0.09","1.15","0.0","6.51","1.15","7.49","0.0","0.0","0.0","0.0","97.88","105.27","492.27","246.14","394.4","387.0","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","108.53","0.09","1.15","0.0","6.48","1.15","7.45","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","105.33","","","","","","",""
"2016.0","8.0","20.0","233.0","108.53","0.09","1.15","0.0","6.39","1.15","7.35","0.0","0.0","0.0","0.0","7.35","105.27","492.27","246.14","484.93","387.0","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","108.53","0.09","1.15","0.0","6.41","1.15","7.37","0.0","0.0","0.0","0.0","14.72","105.27","492.27","246.14","477.55","387.0","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","108.53","0.09","1.15","0.0","6.18","1.15","7.11","0.0","0.0","0.0","0.0","21.83","105.27","492.27","246.14","470.45","387.0","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","108.53","0.09","1.15","0.0","6.06","1.15","6.97","0.0","0.0","0.0","0.0","28.8","105.27","492.27","246.14","463.48","387.0","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","108.53","0.09","1.15","0.0","5.99","1.15","6.89","0.0","0.0","0.0","0.0","35.68","105.27","492.27","246.14","456.59","387.0","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","108.53","0.09","1.15","0.0","5.86","1.15","6.74","0.0","0.0","0.0","0.0","42.42","105.27","492.27","246.14","449.85","387.0","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","108.53","0.09","1.15","0.0","5.48","1.15","6.3","0.0","0.0","0.0","0.0","48.73","105.27","492.27","246.14","443.55","387.0","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","108.53","0.09","1.15","0.0","5.34","1.15","6.14","0.0","0.0","0.0","0.0","54.87","105.27","492.27","246.14","437.41","387.0","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","108.53","0.09","1.15","0.0","5.69","1.15","6.54","0.0","0.0","0.0","0.0","61.41","105.27","492.27","246.14","430.86","387.0","0.0","","","","","","",""
"2016.0","8.0","29.0","242.0","108.53","0.09","1.15","0.0","5.85","1.15","6.73","0.0","0.0","0.0","0.0","68.14","105.27","492.27","246.14","424.14","387.0","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","108.53","0.09","1.15","0.0","6.27","1.15","7.21","0.0","0.0","0.0","0.0","75.35","105.27","492.27","246.14","416.93","387.0","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","108.53","0.09","1.15","0.0","6.04","1.15","6.95","0.0","0.0","0.0","0.0","82.29","105.27","492.27","246.14","409.98","387.0","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","108.53","0.09","1.15","0.0","5.2","1.15","5.98","0.0","0.0","0.0","0.0","88.27","105.27","492.27","246.14","404.0","387.0","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","108.53","0.09","1.15","0.0","5.28","1.15","6.07","0.0","0.0","0.0","0.0","94.35","105.27","492.27","246.14","397.93","387.0","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","108.53","0.09","1.15","0.0","5.28","1.15","6.07","0.0","0.0","0.0","0.0","100.42","105.27","492.27","246.14","391.86","387.0","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","108.53","0.09","1.15","0.0","4.62","1.15","5.31","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","105.73","","","","","","",""
"2016.0","9.0","5.0","249.0","108.53","0.09","1.15","0.0","5.38","1.15","6.19","0.0","0.0","0.0","0.0","6.19","105.27","492.27","246.14","486.09","387.0","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","108.53","0.09","1.15","0.0","5.09","1.15","5.85","0.0","0.0","0.0","0.0","12.04","105.27","492.27","246.14","480.23","387.0","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","108.53","0.09","1.15","0.0","5.71","1.15","6.57","0.0","0.0","0.0","0.0","18.61","105.27","492.27","246.14","473.67","387.0","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","108.53","0.09","1.15","0.0","5.88","1.15","6.76","0.0","0.0","0.0","0.0","25.37","105.27","492.27","246.14","466.91","387.0","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","108.53","0.09","1.15","0.0","5.42","1.15","6.23","0.0","0.0","0.0","0.0","31.6","105.27","492.27","246.14","460.67","387.0","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","108.53","0.09","1.15","0.0","5.5","1.15","6.33","0.0","0.0","0.0","0.0","37.93","105.27","492.27","246.14","454.35","387.0","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","108.53","0.09","1.15","0.0","4.98","1.15","5.73","0.0","0.0","0.0","0.0","43.65","105.27","492.27","246.14","448.62","387.0","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","108.53","0.09","1.14","0.0","4.45","1.14","5.09","0.0","0.0","0.0","0.0","48.74","105.27","492.27","246.14","443.53","387.0","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","108.53","0.09","1.14","0.0","3.88","1.14","4.41","0.0","0.0","0.0","0.0","53.15","105.27","492.27","246.14","439.13","387.0","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","108.53","0.09","1.13","0.0","4.26","1.13","4.81","0.0","0.0","0.0","0.0","57.96","105.27","492.27","246.14","434.32","387.0","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","108.53","0.09","1.12","0.0","4.66","1.12","5.23","0.0","0.0","0.0","0.0","63.19","105.27","492.27","246.14","429.09","387.0","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","108.53","0.09","1.12","0.0","4.85","1.12","5.41","0.0","0.0","0.0","0.0","68.59","105.27","492.27","246.14","423.68","387.0","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","108.53","0.09","1.11","0.0","4.9","1.11","5.43","0.0","0.0","0.0","0.0","74.02","105.27","492.27","246.14","418.25","387.0","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","108.53","0.09","1.1","0.0","4.71","1.1","5.19","0.0","0.0","0.0","0.0","79.21","105.27","492.27","246.14","413.07","387.0","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","108.53","0.09","1.09","0.0","5.26","1.09","5.75","0.0","0.0","0.0","0.0","84.96","105.27","492.27","246.14","407.31","387.0","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","108.53","0.09","1.09","0.0","5.95","1.09","6.47","0.0","0.0","0.0","0.0","91.43","105.27","492.27","246.14","400.84","387.0","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","108.53","0.08","1.08","0.0","5.65","1.08","6.1","0.0","0.0","0.0","0.0","97.53","105.27","492.27","246.14","394.74","387.0","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","108.53","0.08","1.07","0.0","4.38","1.07","4.7","0.0","0.0","0.0","0.0","102.23","123.07","492.27","246.14","390.04","369.21","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","108.53","0.08","1.07","0.0","4.65","1.07","4.96","0.0","0.0","0.0","0.0","107.19","123.07","492.27","246.14","385.09","369.21","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","108.53","0.08","1.06","0.0","4.71","1.06","4.99","0.0","0.0","0.0","0.0","112.18","123.07","492.27","246.14","380.1","369.21","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","108.53","0.08","1.05","0.0","4.31","1.05","4.53","0.0","0.0","0.0","0.0","116.71","123.07","492.27","246.14","375.56","369.21","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","108.53","0.08","1.05","0.0","4.55","1.05","4.75","0.0","0.0","0.0","0.0","121.47","123.07","492.27","246.14","370.81","369.21","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","108.53","0.08","1.04","0.0","4.71","1.04","4.89","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","126.36","","","","","","",""
"2016.0","9.0","28.0","272.0","108.53","0.08","1.03","0.0","4.84","1.03","4.99","0.0","0.0","0.0","0.0","4.99","123.07","492.27","246.14","487.28","369.21","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","108.53","0.08","1.02","0.0","4.79","1.02","4.9","0.0","0.0","0.0","0.0","9.9","123.07","492.27","246.14","482.38","369.21","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","108.53","0.08","1.02","0.0","3.68","1.02","3.74","0.46","0.46","0.0","0.0","13.18","123.07","492.27","246.14","479.1","369.21","0.0","","","","","","",""
