" Daily soil water balance output for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","6.0","30.0","182.0","1236.74","0.14","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","32.57","72.53","307.3","153.65","274.73","234.77","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","1236.74","0.14","1.05","0.0","7.23","1.05","7.59","0.0","0.0","0.0","0.0","40.16","72.53","307.3","153.65","267.13","234.77","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","1236.74","0.13","1.05","0.0","7.18","1.05","7.54","0.0","0.0","0.0","0.0","47.7","72.53","307.3","153.65","259.59","234.77","0.0","","","","","","",""
"2016.0","7.0","3.0","185.0","1236.74","0.13","1.05","0.0","7.44","1.05","7.81","0.0","0.0","0.0","0.0","55.51","72.53","307.3","153.65","251.78","234.77","0.0","","","","","","",""
"2016.0","7.0","4.0","186.0","1236.74","0.13","1.05","0.0","7.0","1.05","7.35","0.0","0.0","0.0","0.0","62.86","72.53","307.3","153.65","244.43","234.77","0.0","","","","","","",""
"2016.0","7.0","5.0","187.0","1236.74","0.13","1.05","0.0","6.29","1.05","6.6","0.0","0.0","0.0","0.0","69.47","72.53","307.3","153.65","237.83","234.77","0.0","","","","","","",""
"2016.0","7.0","6.0","188.0","1236.74","0.13","1.05","0.0","6.38","1.05","6.7","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","76.17","","","","","","",""
"2016.0","7.0","7.0","189.0","1236.74","0.13","1.05","0.0","6.53","1.05","6.86","0.0","0.0","0.0","0.0","6.86","72.53","307.3","153.65","300.44","234.77","0.0","","","","","","",""
"2016.0","7.0","8.0","190.0","1236.74","0.13","1.05","0.0","7.11","1.05","7.47","0.0","0.0","0.0","0.0","14.32","72.53","307.3","153.65","292.97","234.77","0.0","","","","","","",""
"2016.0","7.0","9.0","191.0","1236.74","0.13","1.05","0.0","6.6","1.05","6.93","0.0","0.0","0.0","0.0","21.25","72.53","307.3","153.65","286.04","234.77","0.0","","","","","","",""
"2016.0","7.0","10.0","192.0","1236.74","0.13","1.05","0.0","6.47","1.05","6.79","0.0","0.0","0.0","0.0","28.05","72.53","307.3","153.65","279.25","234.77","0.0","","","","","","",""
"2016.0","7.0","11.0","193.0","1236.74","0.12","1.05","0.0","7.23","1.05","7.59","0.0","0.0","0.0","0.0","35.64","72.53","307.3","153.65","271.66","234.77","0.0","","","","","","",""
"2016.0","7.0","12.0","194.0","1236.74","0.12","1.05","0.0","6.91","1.05","7.26","0.0","0.0","0.0","0.0","42.89","72.53","307.3","153.65","264.4","234.77","0.0","","","","","","",""
"2016.0","7.0","13.0","195.0","1236.74","0.12","1.05","0.0","7.23","1.05","7.59","0.0","0.0","0.0","0.0","50.48","72.53","307.3","153.65","256.81","234.77","0.0","","","","","","",""
"2016.0","7.0","14.0","196.0","1236.74","0.12","1.05","0.0","7.4","1.05","7.77","0.0","0.0","0.0","0.0","58.25","72.53","307.3","153.65","249.04","234.77","0.0","","","","","","",""
"2016.0","7.0","15.0","197.0","1236.74","0.12","1.05","0.0","7.32","1.05","7.69","0.0","0.0","0.0","0.0","65.94","72.53","307.3","153.65","241.36","234.77","0.0","","","","","","",""
"2016.0","7.0","16.0","198.0","1236.74","0.12","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","73.3","","","","","","",""
"2016.0","7.0","17.0","199.0","1236.74","0.12","1.04","0.0","6.76","1.04","7.02","0.0","0.0","0.0","0.0","7.02","72.53","307.3","153.65","300.28","234.77","0.0","","","","","","",""
"2016.0","7.0","18.0","200.0","1236.74","0.12","1.03","0.0","6.37","1.03","6.54","0.0","0.0","0.0","0.0","13.55","72.53","307.3","153.65","293.74","234.77","0.0","","","","","","",""
"2016.0","7.0","19.0","201.0","1236.74","0.12","1.01","0.0","6.63","1.01","6.72","0.0","0.0","0.0","0.0","20.28","72.53","307.3","153.65","287.02","234.77","0.0","","","","","","",""
"2016.0","7.0","20.0","202.0","1236.74","0.12","1.0","0.0","7.06","1.0","7.08","0.0","0.0","0.0","0.0","27.35","72.53","307.3","153.65","279.94","234.77","0.0","","","","","","",""
"2016.0","7.0","21.0","203.0","1236.74","0.11","0.99","0.0","7.27","0.99","7.2","0.0","0.0","0.0","0.0","34.55","72.53","307.3","153.65","272.74","234.77","0.0","","","","","","",""
"2016.0","7.0","22.0","204.0","1236.74","0.11","0.98","0.0","7.13","0.98","6.98","0.0","0.0","0.0","0.0","41.53","72.53","307.3","153.65","265.77","234.77","0.0","","","","","","",""
"2016.0","7.0","23.0","205.0","1236.74","0.11","0.97","0.0","7.72","0.97","7.46","0.0","0.0","0.0","0.0","48.99","72.53","307.3","153.65","258.31","234.77","0.0","","","","","","",""
"2016.0","7.0","24.0","206.0","1236.74","0.11","0.95","0.0","7.38","0.95","7.04","0.0","0.0","0.0","0.0","56.03","72.53","307.3","153.65","251.27","234.77","0.0","","","","","","",""
"2016.0","7.0","25.0","207.0","1236.74","0.11","0.94","0.0","7.29","0.94","6.87","0.0","0.0","0.0","0.0","62.9","72.53","307.3","153.65","244.4","234.77","0.0","","","","","","",""
"2016.0","7.0","26.0","208.0","1236.74","0.11","0.93","0.0","7.3","0.93","6.79","0.0","0.0","0.0","0.0","69.69","72.53","307.3","153.65","237.6","234.77","0.0","","","","","","",""
"2016.0","7.0","27.0","209.0","1236.74","0.11","0.92","0.0","7.67","0.92","7.04","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","76.74","","","","","","",""
"2016.0","7.0","28.0","210.0","1236.74","0.11","0.91","0.0","7.66","0.91","6.94","0.0","0.0","0.0","0.0","6.94","72.53","307.3","153.65","300.35","234.77","0.0","","","","","","",""
"2016.0","7.0","29.0","211.0","1236.74","0.11","0.89","0.0","7.57","0.89","6.77","0.0","0.0","0.0","0.0","13.72","72.53","307.3","153.65","293.58","234.77","0.0","","","","","","",""
"2016.0","7.0","30.0","212.0","1236.74","0.11","0.88","0.0","7.81","0.88","6.89","0.0","0.0","0.0","0.0","20.61","72.53","307.3","153.65","286.69","234.77","0.0","","","","","","",""
"2016.0","7.0","31.0","213.0","1236.74","0.11","0.87","0.0","6.98","0.87","6.08","0.0","0.0","0.0","0.0","26.69","72.53","307.3","153.65","280.61","234.77","0.0","","","","","","",""
"2016.0","8.0","1.0","214.0","1236.74","0.11","0.86","0.0","6.7","0.86","5.75","0.0","0.0","0.0","0.0","32.44","72.53","307.3","153.65","274.86","234.77","0.0","","","","","","",""
"2016.0","8.0","2.0","215.0","1236.74","0.11","0.85","0.0","6.65","0.85","5.63","0.0","0.0","0.0","0.0","38.07","72.53","307.3","153.65","269.23","234.77","0.0","","","","","","",""
"2016.0","8.0","3.0","216.0","1236.74","0.1","0.83","0.0","7.01","0.83","5.85","0.0","0.0","0.0","0.0","43.92","72.53","307.3","153.65","263.37","234.77","0.0","","","","","","",""
"2016.0","8.0","4.0","217.0","1236.74","0.1","0.82","0.0","6.22","0.82","5.12","0.0","0.0","0.0","0.0","49.04","72.53","307.3","153.65","258.26","234.77","0.0","","","","","","",""
"2016.0","8.0","5.0","218.0","1236.74","0.1","0.81","0.0","5.72","0.81","4.64","0.0","0.0","0.0","0.0","53.68","72.53","307.3","153.65","253.62","234.77","0.0","","","","","","",""
"2016.0","8.0","6.0","219.0","1236.74","0.1","0.8","0.0","6.01","0.8","4.8","0.0","0.0","0.0","0.0","58.48","72.53","307.3","153.65","248.82","234.77","0.0","","","","","","",""
"2016.0","8.0","7.0","220.0","1236.74","0.1","0.79","0.0","6.09","0.79","4.79","0.0","0.0","0.0","0.0","63.27","72.53","307.3","153.65","244.02","234.77","0.0","","","","","","",""
"2016.0","8.0","8.0","221.0","1236.74","0.1","0.78","0.0","6.44","0.78","4.99","0.0","0.0","0.0","0.0","68.26","72.53","307.3","153.65","239.03","234.77","0.0","","","","","","",""
"2016.0","8.0","9.0","222.0","1236.74","0.1","0.76","0.0","6.18","0.76","4.72","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","72.98","","","","","","",""
"2016.0","8.0","10.0","223.0","1236.74","0.1","0.75","0.0","6.26","0.75","4.7","0.0","0.0","0.0","0.0","4.7","72.53","307.3","153.65","302.59","234.77","0.0","","","","","","",""
"2016.0","8.0","11.0","224.0","1236.74","0.1","0.74","0.0","6.46","0.74","4.77","0.0","0.0","0.0","0.0","9.48","72.53","307.3","153.65","297.82","234.77","0.0","","","","","","",""
"2016.0","8.0","12.0","225.0","1236.74","0.1","0.73","0.0","6.65","0.73","4.84","0.0","0.0","0.0","0.0","14.31","72.53","307.3","153.65","292.98","234.77","0.0","","","","","","",""
"2016.0","8.0","13.0","226.0","1236.74","0.1","0.72","0.0","7.06","0.72","5.05","0.0","0.0","0.0","0.0","19.36","76.82","307.3","153.65","287.93","230.47","0.0","","","","","","",""
"2016.0","8.0","14.0","227.0","1236.74","0.1","0.7","0.0","7.26","0.7","5.11","0.0","0.0","0.0","0.0","24.47","76.82","307.3","153.65","282.83","230.47","0.0","","","","","","",""
"2016.0","8.0","15.0","228.0","1236.74","0.1","0.69","0.0","6.64","0.69","4.59","0.0","0.0","0.0","0.0","29.06","76.82","307.3","153.65","278.24","230.47","0.0","","","","","","",""
"2016.0","8.0","16.0","229.0","1236.74","0.1","0.68","0.0","6.57","0.68","4.46","0.0","0.0","0.0","0.0","33.52","76.82","307.3","153.65","273.78","230.47","0.0","","","","","","",""
"2016.0","8.0","17.0","230.0","1236.74","0.1","0.67","0.0","6.46","0.67","4.31","0.0","0.0","0.0","0.0","37.83","76.82","307.3","153.65","269.46","230.47","0.0","","","","","","",""
"2016.0","8.0","18.0","231.0","1236.74","0.1","0.66","0.0","6.42","0.66","4.21","0.0","0.0","0.0","0.0","42.04","76.82","307.3","153.65","265.26","230.47","0.0","","","","","","",""
"2016.0","8.0","19.0","232.0","1236.74","0.1","0.64","0.0","6.44","0.64","4.14","0.0","0.0","0.0","0.0","46.18","76.82","307.3","153.65","261.11","230.47","0.0","","","","","","",""
"2016.0","8.0","20.0","233.0","1236.74","0.1","0.63","0.0","6.34","0.63","4.0","0.0","0.0","0.0","0.0","50.19","76.82","307.3","153.65","257.11","230.47","0.0","","","","","","",""
"2016.0","8.0","21.0","234.0","1236.74","0.1","0.62","0.0","6.38","0.62","3.95","0.0","0.0","0.0","0.0","54.14","76.82","307.3","153.65","253.16","230.47","0.0","","","","","","",""
"2016.0","8.0","22.0","235.0","1236.74","0.1","0.61","0.0","5.96","0.61","3.62","0.0","0.0","0.0","0.0","57.76","76.82","307.3","153.65","249.53","230.47","0.0","","","","","","",""
"2016.0","8.0","23.0","236.0","1236.74","0.1","0.6","0.0","6.1","0.6","3.63","0.0","0.0","0.0","0.0","61.4","76.82","307.3","153.65","245.9","230.47","0.0","","","","","","",""
"2016.0","8.0","24.0","237.0","1236.74","0.09","0.58","0.0","6.02","0.58","3.51","0.0","0.0","0.0","0.0","64.91","76.82","307.3","153.65","242.39","230.47","0.0","","","","","","",""
"2016.0","8.0","25.0","238.0","1236.74","0.09","0.57","0.0","5.81","0.57","3.32","0.0","0.0","0.0","0.0","68.23","76.82","307.3","153.65","239.06","230.47","0.0","","","","","","",""
"2016.0","8.0","26.0","239.0","1236.74","0.09","0.56","0.0","5.42","0.56","3.03","0.0","0.0","0.0","0.0","71.27","76.82","307.3","153.65","236.03","230.47","0.0","","","","","","",""
"2016.0","8.0","27.0","240.0","1236.74","0.09","0.55","0.0","5.32","0.55","2.91","0.0","0.0","0.0","0.0","74.18","76.82","307.3","153.65","233.12","230.47","0.0","","","","","","",""
"2016.0","8.0","28.0","241.0","1236.74","0.09","0.54","0.0","5.62","0.54","3.01","0.0","0.0","0.0","0.0","0.0","76.82","307.3","153.65","307.3","230.47","77.19","","","","","","",""
"2016.0","8.0","29.0","242.0","1236.74","0.09","0.52","0.0","5.87","0.52","3.08","0.0","0.0","0.0","0.0","3.08","76.82","307.3","153.65","304.22","230.47","0.0","","","","","","",""
"2016.0","8.0","30.0","243.0","1236.74","0.09","0.51","0.0","6.32","0.51","3.24","0.0","0.0","0.0","0.0","6.31","76.82","307.3","153.65","300.99","230.47","0.0","","","","","","",""
"2016.0","8.0","31.0","244.0","1236.74","0.09","0.5","0.0","6.07","0.5","3.04","0.0","0.0","0.0","0.0","9.35","76.82","307.3","153.65","297.95","230.47","0.0","","","","","","",""
"2016.0","9.0","1.0","245.0","1236.74","0.09","0.0","0.0","5.28","0.09","0.49","0.0","0.0","0.0","0.0","9.83","21.6","307.3","153.65","297.46","285.7","0.0","","","","","","",""
"2016.0","9.0","2.0","246.0","1236.74","0.09","0.0","0.0","5.32","0.09","0.49","0.0","0.0","0.0","0.0","10.32","21.6","307.3","153.65","296.98","285.7","0.0","","","","","","",""
"2016.0","9.0","3.0","247.0","1236.74","0.09","0.0","0.0","5.21","0.09","0.48","0.0","0.0","0.0","0.0","10.79","21.6","307.3","153.65","296.5","285.7","0.0","","","","","","",""
"2016.0","9.0","4.0","248.0","1236.74","0.09","0.0","0.0","4.61","0.09","0.42","0.0","0.0","0.0","0.0","11.21","21.6","307.3","153.65","296.08","285.7","0.0","","","","","","",""
"2016.0","9.0","5.0","249.0","1236.74","0.09","0.0","0.0","5.35","0.09","0.49","0.0","0.0","0.0","0.0","11.7","21.6","307.3","153.65","295.6","285.7","0.0","","","","","","",""
"2016.0","9.0","6.0","250.0","1236.74","0.09","0.0","0.0","5.1","0.09","0.46","0.0","0.0","0.0","0.0","12.16","21.6","307.3","153.65","295.13","285.7","0.0","","","","","","",""
"2016.0","9.0","7.0","251.0","1236.74","0.09","0.0","0.0","5.65","0.09","0.51","0.0","0.0","0.0","0.0","12.67","21.6","307.3","153.65","294.63","285.7","0.0","","","","","","",""
"2016.0","9.0","8.0","252.0","1236.74","0.09","0.0","0.0","5.78","0.09","0.52","0.0","0.0","0.0","0.0","13.19","21.6","307.3","153.65","294.11","285.7","0.0","","","","","","",""
"2016.0","9.0","9.0","253.0","1236.74","0.09","0.0","0.0","5.43","0.09","0.49","0.0","0.0","0.0","0.0","13.68","21.6","307.3","153.65","293.62","285.7","0.0","","","","","","",""
"2016.0","9.0","10.0","254.0","1236.74","0.09","0.0","0.0","5.49","0.09","0.49","0.0","0.0","0.0","0.0","14.17","21.6","307.3","153.65","293.13","285.7","0.0","","","","","","",""
"2016.0","9.0","11.0","255.0","1236.74","0.09","0.0","0.0","5.04","0.09","0.45","0.0","0.0","0.0","0.0","14.62","21.6","307.3","153.65","292.68","285.7","0.0","","","","","","",""
"2016.0","9.0","12.0","256.0","1236.74","0.09","0.0","0.0","4.58","0.09","0.41","0.0","0.0","0.0","0.0","15.02","21.6","307.3","153.65","292.27","285.7","0.0","","","","","","",""
"2016.0","9.0","13.0","257.0","1236.74","0.09","0.0","0.0","3.88","0.09","0.34","0.0","0.0","0.0","0.0","15.37","21.6","307.3","153.65","291.93","285.7","0.0","","","","","","",""
"2016.0","9.0","14.0","258.0","1236.74","0.09","0.0","0.0","4.27","0.09","0.38","0.0","0.0","0.0","0.0","15.74","21.6","307.3","153.65","291.55","285.7","0.0","","","","","","",""
"2016.0","9.0","15.0","259.0","1236.74","0.09","0.0","0.0","4.71","0.09","0.42","0.0","0.0","0.0","0.0","16.16","21.6","307.3","153.65","291.14","285.7","0.0","","","","","","",""
"2016.0","9.0","16.0","260.0","1236.74","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","16.59","21.6","307.3","153.65","290.71","285.7","0.0","","","","","","",""
"2016.0","9.0","17.0","261.0","1236.74","0.09","0.0","0.0","4.88","0.09","0.43","0.0","0.0","0.0","0.0","17.02","21.6","307.3","153.65","290.28","285.7","0.0","","","","","","",""
"2016.0","9.0","18.0","262.0","1236.74","0.09","0.0","0.0","4.73","0.09","0.41","0.0","0.0","0.0","0.0","17.43","21.6","307.3","153.65","289.86","285.7","0.0","","","","","","",""
"2016.0","9.0","19.0","263.0","1236.74","0.09","0.0","0.0","5.2","0.09","0.45","0.0","0.0","0.0","0.0","17.89","21.6","307.3","153.65","289.41","285.7","0.0","","","","","","",""
"2016.0","9.0","20.0","264.0","1236.74","0.09","0.0","0.0","5.65","0.09","0.49","0.0","0.0","0.0","0.0","18.38","21.6","307.3","153.65","288.92","285.7","0.0","","","","","","",""
"2016.0","9.0","21.0","265.0","1236.74","0.09","0.0","0.0","5.42","0.09","0.47","0.0","0.0","0.0","0.0","18.85","21.6","307.3","153.65","288.45","285.7","0.0","","","","","","",""
"2016.0","9.0","22.0","266.0","1236.74","0.09","0.0","0.0","4.4","0.09","0.38","0.0","0.0","0.0","0.0","19.23","21.6","307.3","153.65","288.07","285.7","0.0","","","","","","",""
"2016.0","9.0","23.0","267.0","1236.74","0.09","0.0","0.0","4.74","0.09","0.41","0.0","0.0","0.0","0.0","19.64","21.6","307.3","153.65","287.66","285.7","0.0","","","","","","",""
"2016.0","9.0","24.0","268.0","1236.74","0.09","0.0","0.0","4.57","0.09","0.39","0.0","0.0","0.0","0.0","20.03","21.6","307.3","153.65","287.26","285.7","0.0","","","","","","",""
"2016.0","9.0","25.0","269.0","1236.74","0.09","0.0","0.0","4.23","0.09","0.36","0.0","0.0","0.0","0.0","20.4","21.6","307.3","153.65","286.9","285.7","0.0","","","","","","",""
"2016.0","9.0","26.0","270.0","1236.74","0.09","0.0","0.0","4.58","0.09","0.39","0.0","0.0","0.0","0.0","20.79","21.6","307.3","153.65","286.51","285.7","0.0","","","","","","",""
"2016.0","9.0","27.0","271.0","1236.74","0.09","0.0","0.0","4.68","0.09","0.4","0.0","0.0","0.0","0.0","21.19","21.6","307.3","153.65","286.11","285.7","0.0","","","","","","",""
"2016.0","9.0","28.0","272.0","1236.74","0.09","0.0","0.0","4.75","0.09","0.41","0.0","0.0","0.0","0.0","21.59","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","9.0","29.0","273.0","1236.74","0.09","0.0","0.0","4.71","0.09","0.4","0.0","0.0","0.0","0.0","22.0","21.6","307.3","153.65","285.3","285.7","0.0","","","","","","",""
"2016.0","9.0","30.0","274.0","1236.74","0.09","0.0","0.0","3.59","0.09","0.31","2.27","2.27","0.0","0.0","19.73","21.6","307.3","153.65","287.57","285.7","0.0","","","","","","",""
