" Daily soil water balance output for Almonds in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Almonds at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","60.0","0.16","0.99","0.0","6.14","0.99","6.07","0.0","0.0","0.0","0.0","90.01","114.58","498.58","249.29","408.57","384.0","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","60.0","0.16","0.99","0.0","6.65","0.99","6.61","0.0","0.0","0.0","0.0","96.62","114.58","498.58","249.29","401.96","384.0","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","60.0","0.16","1.0","0.0","7.15","1.0","7.15","0.0","0.0","0.0","0.0","103.77","114.58","498.58","249.29","394.81","384.0","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","60.0","0.15","1.01","0.0","7.38","1.01","7.42","0.0","0.0","0.0","0.0","111.19","114.58","498.58","249.29","387.39","384.0","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","60.0","0.15","1.01","0.0","7.19","1.01","7.28","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","118.47","","","","","","","","",""
"2015.0","7.0","2.0","183.0","60.0","0.15","1.02","0.0","6.4","1.02","6.52","0.0","0.0","0.0","0.0","6.52","114.58","498.58","249.29","492.06","384.0","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","60.0","0.15","1.02","0.0","7.14","1.02","7.31","0.0","0.0","0.0","0.0","13.83","114.58","498.58","249.29","484.75","384.0","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","60.0","0.15","1.03","0.0","7.29","1.03","7.51","0.0","0.0","0.0","0.0","21.34","114.58","498.58","249.29","477.24","384.0","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","60.0","0.15","1.04","0.0","6.65","1.04","6.89","0.0","0.0","0.0","0.0","28.22","114.58","498.58","249.29","470.36","384.0","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","60.0","0.14","1.04","0.0","6.93","1.04","7.22","0.0","0.0","0.0","0.0","35.45","114.58","498.58","249.29","463.13","384.0","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","60.0","0.14","1.05","0.0","6.28","1.05","6.58","0.0","0.0","0.0","0.0","42.03","114.58","498.58","249.29","456.55","384.0","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","60.0","0.14","1.05","0.0","6.05","1.05","6.38","0.0","0.0","0.0","0.0","48.4","114.58","498.58","249.29","450.18","384.0","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","60.0","0.14","1.06","0.0","5.08","1.06","5.38","0.0","0.0","0.0","0.0","53.79","114.58","498.58","249.29","444.79","384.0","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","60.0","0.14","1.07","0.0","5.07","1.07","5.4","0.0","0.0","0.0","0.0","59.19","114.58","498.58","249.29","439.39","384.0","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","60.0","0.14","1.07","0.0","6.06","1.07","6.5","0.0","0.0","0.0","0.0","65.69","114.58","498.58","249.29","432.89","384.0","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","60.0","0.14","1.08","0.0","6.12","1.08","6.6","0.0","0.0","0.0","0.0","72.29","114.58","498.58","249.29","426.29","384.0","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","60.0","0.14","1.08","0.0","6.46","1.08","7.0","0.0","0.0","0.0","0.0","79.29","114.58","498.58","249.29","419.29","384.0","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","60.0","0.13","1.09","0.0","5.97","1.09","6.51","0.0","0.0","0.0","0.0","85.8","114.58","498.58","249.29","412.78","384.0","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","60.0","0.13","1.1","0.0","6.19","1.1","6.78","0.0","0.0","0.0","0.0","92.58","114.58","498.58","249.29","406.0","384.0","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","60.0","0.13","1.1","0.0","6.66","1.1","7.34","0.0","0.0","0.0","0.0","99.92","114.58","498.58","249.29","398.66","384.0","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","60.0","0.13","1.11","0.0","6.78","1.11","7.51","0.0","0.0","0.0","0.0","107.43","114.58","498.58","249.29","391.15","384.0","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","60.0","0.13","1.11","0.0","6.6","1.11","7.35","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","114.79","","","","","","","","",""
"2015.0","7.0","19.0","200.0","60.0","0.13","1.12","0.0","6.4","1.12","7.17","0.0","0.0","0.0","0.0","7.17","114.58","498.58","249.29","491.41","384.0","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","60.0","0.13","1.13","0.0","7.08","1.13","7.97","0.0","0.0","0.0","0.0","15.14","114.58","498.58","249.29","483.44","384.0","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","60.0","0.13","1.13","0.0","6.76","1.13","7.65","0.0","0.0","0.0","0.0","22.79","114.58","498.58","249.29","475.79","384.0","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","60.0","0.13","1.14","0.0","6.35","1.14","7.23","0.0","0.0","0.0","0.0","30.02","114.58","498.58","249.29","468.56","384.0","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","60.0","0.12","1.14","0.0","5.95","1.14","6.81","0.0","0.0","0.0","0.0","36.83","114.58","498.58","249.29","461.75","384.0","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","60.0","0.12","1.15","0.0","6.3","1.15","7.25","0.0","0.0","0.0","0.0","44.07","114.58","498.58","249.29","454.51","384.0","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","60.0","0.12","1.15","0.0","6.23","1.15","7.16","0.0","0.0","0.0","0.0","51.24","114.58","498.58","249.29","447.34","384.0","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","60.0","0.12","1.15","0.0","6.11","1.15","7.03","0.0","0.0","0.0","0.0","58.26","114.58","498.58","249.29","440.32","384.0","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","60.0","0.12","1.15","0.0","7.03","1.15","8.08","0.0","0.0","0.0","0.0","66.35","114.58","498.58","249.29","432.23","384.0","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","60.0","0.12","1.15","0.0","7.2","1.15","8.28","0.0","0.0","0.0","0.0","74.63","114.58","498.58","249.29","423.95","384.0","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","60.0","0.12","1.15","0.0","7.04","1.15","8.1","0.0","0.0","0.0","0.0","82.72","114.58","498.58","249.29","415.86","384.0","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","60.0","0.12","1.15","0.0","7.09","1.15","8.15","0.0","0.0","0.0","0.0","90.88","114.58","498.58","249.29","407.7","384.0","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","60.0","0.12","1.15","0.0","6.4","1.15","7.36","0.0","0.0","0.0","0.0","98.24","114.58","498.58","249.29","400.34","384.0","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","60.0","0.12","1.15","0.0","6.64","1.15","7.64","0.0","0.0","0.0","0.0","105.87","114.58","498.58","249.29","392.71","384.0","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","60.0","0.12","1.15","0.0","6.46","1.15","7.43","0.0","0.0","0.0","0.0","113.3","114.58","498.58","249.29","385.28","384.0","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","60.0","0.12","1.15","0.0","6.4","1.15","7.36","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","120.66","","","","","","","","",""
"2015.0","8.0","4.0","216.0","60.0","0.11","1.15","0.0","5.0","1.15","5.75","0.0","0.0","0.0","0.0","5.75","114.58","498.58","249.29","492.83","384.0","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","60.0","0.11","1.15","0.0","5.5","1.15","6.33","0.0","0.0","0.0","0.0","12.08","114.58","498.58","249.29","486.5","384.0","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","60.0","0.11","1.15","0.0","3.54","1.15","4.07","0.0","0.0","0.0","0.0","16.15","114.58","498.58","249.29","482.43","384.0","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","60.0","0.11","1.15","0.0","6.33","1.15","7.28","0.66","0.66","0.0","0.0","22.77","114.58","498.58","249.29","475.81","384.0","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","60.0","0.11","1.15","0.0","5.63","1.15","6.47","0.0","0.0","0.0","0.0","29.24","114.58","498.58","249.29","469.34","384.0","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","60.0","0.11","1.15","0.0","6.19","1.15","7.12","0.0","0.0","0.0","0.0","36.36","114.58","498.58","249.29","462.22","384.0","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","60.0","0.11","1.15","0.0","6.17","1.15","7.1","0.0","0.0","0.0","0.0","43.45","114.58","498.58","249.29","455.13","384.0","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","60.0","0.11","1.15","0.0","6.14","1.15","7.06","0.0","0.0","0.0","0.0","50.52","114.58","498.58","249.29","448.06","384.0","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","60.0","0.11","1.15","0.0","6.08","1.15","6.99","0.0","0.0","0.0","0.0","57.51","114.58","498.58","249.29","441.07","384.0","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","60.0","0.11","1.15","0.0","6.2","1.15","7.13","0.0","0.0","0.0","0.0","64.64","114.58","498.58","249.29","433.94","384.0","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","60.0","0.11","1.15","0.0","6.13","1.15","7.05","0.0","0.0","0.0","0.0","71.69","114.58","498.58","249.29","426.89","384.0","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","60.0","0.11","1.15","0.0","6.51","1.15","7.49","0.0","0.0","0.0","0.0","79.17","114.58","498.58","249.29","419.41","384.0","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","60.0","0.11","1.15","0.0","6.58","1.15","7.57","0.0","0.0","0.0","0.0","86.74","114.58","498.58","249.29","411.84","384.0","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","60.0","0.11","1.15","0.0","6.77","1.15","7.79","0.0","0.0","0.0","0.0","94.53","114.58","498.58","249.29","404.05","384.0","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","60.0","0.11","1.15","0.0","6.38","1.15","7.34","0.0","0.0","0.0","0.0","101.86","114.58","498.58","249.29","396.72","384.0","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","60.0","0.11","1.15","0.0","5.83","1.15","6.7","0.0","0.0","0.0","0.0","108.57","114.58","498.58","249.29","390.01","384.0","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","60.0","0.11","1.15","0.0","5.33","1.15","6.13","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","114.7","","","","","","","","",""
"2015.0","8.0","21.0","233.0","60.0","0.1","1.15","0.0","5.39","1.15","6.2","0.0","0.0","0.0","0.0","6.2","114.58","498.58","249.29","492.38","384.0","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","60.0","0.1","1.15","0.0","5.42","1.15","6.23","0.0","0.0","0.0","0.0","12.43","114.58","498.58","249.29","486.15","384.0","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","60.0","0.1","1.15","0.0","5.61","1.15","6.45","0.0","0.0","0.0","0.0","18.88","114.58","498.58","249.29","479.7","384.0","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","60.0","0.1","1.15","0.0","5.92","1.15","6.81","0.0","0.0","0.0","0.0","25.69","114.58","498.58","249.29","472.89","384.0","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","60.0","0.1","1.15","0.0","6.2","1.15","7.13","0.0","0.0","0.0","0.0","32.82","114.58","498.58","249.29","465.76","384.0","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","60.0","0.1","1.15","0.0","6.37","1.15","7.33","0.0","0.0","0.0","0.0","40.15","114.58","498.58","249.29","458.43","384.0","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","60.0","0.1","1.15","0.0","6.84","1.15","7.87","0.62","0.62","0.0","0.0","47.39","114.58","498.58","249.29","451.19","384.0","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","60.0","0.1","1.15","0.0","6.66","1.15","7.66","0.0","0.0","0.0","0.0","55.05","114.58","498.58","249.29","443.53","384.0","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","60.0","0.1","1.15","0.0","5.33","1.15","6.13","0.0","0.0","0.0","0.0","61.18","114.58","498.58","249.29","437.4","384.0","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","60.0","0.1","1.15","0.0","5.53","1.15","6.36","0.0","0.0","0.0","0.0","67.54","114.58","498.58","249.29","431.04","384.0","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","60.0","0.1","1.15","0.0","5.5","1.15","6.33","0.0","0.0","0.0","0.0","73.87","114.58","498.58","249.29","424.71","384.0","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","60.0","0.1","1.15","0.0","5.34","1.15","6.14","0.0","0.0","0.0","0.0","80.01","114.58","498.58","249.29","418.57","384.0","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","60.0","0.1","1.15","0.0","5.19","1.15","5.97","0.0","0.0","0.0","0.0","85.98","114.58","498.58","249.29","412.6","384.0","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","60.0","0.1","1.15","0.0","5.05","1.15","5.81","0.0","0.0","0.0","0.0","91.78","114.58","498.58","249.29","406.8","384.0","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","60.0","0.1","1.15","0.0","5.08","1.15","5.84","0.0","0.0","0.0","0.0","97.62","114.58","498.58","249.29","400.96","384.0","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","60.0","0.1","1.15","0.0","5.31","1.15","6.11","0.0","0.0","0.0","0.0","103.73","114.58","498.58","249.29","394.85","384.0","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","60.0","0.1","1.15","0.0","5.12","1.15","5.89","0.0","0.0","0.0","0.0","109.62","114.58","498.58","249.29","388.96","384.0","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","60.0","0.1","1.15","0.0","5.37","1.15","6.18","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","115.79","","","","","","","","",""
"2015.0","9.0","8.0","251.0","60.0","0.1","1.15","0.0","5.58","1.15","6.42","0.0","0.0","0.0","0.0","6.42","114.58","498.58","249.29","492.16","384.0","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","60.0","0.1","1.15","0.0","6.15","1.15","7.07","0.0","0.0","0.0","0.0","13.49","114.58","498.58","249.29","485.09","384.0","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","60.0","0.1","1.15","0.0","6.46","1.15","7.43","0.0","0.0","0.0","0.0","20.92","114.58","498.58","249.29","477.66","384.0","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","60.0","0.1","1.15","0.0","5.89","1.15","6.77","0.0","0.0","0.0","0.0","27.69","114.58","498.58","249.29","470.89","384.0","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","60.0","0.1","1.15","0.0","4.12","1.15","4.74","0.0","0.0","0.0","0.0","32.43","114.58","498.58","249.29","466.15","384.0","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","60.0","0.1","1.15","0.0","4.88","1.15","5.61","0.0","0.0","0.0","0.0","38.04","114.58","498.58","249.29","460.54","384.0","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","60.0","0.09","1.15","0.0","3.58","1.15","4.12","0.0","0.0","0.0","0.0","42.16","114.58","498.58","249.29","456.42","384.0","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","60.0","0.09","1.15","0.0","4.61","1.15","5.3","0.0","0.0","0.0","0.0","47.46","114.58","498.58","249.29","451.12","384.0","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","60.0","0.09","1.15","0.0","3.88","1.15","4.46","0.0","0.0","0.0","0.0","51.92","114.58","498.58","249.29","446.66","384.0","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","60.0","0.09","1.15","0.0","3.91","1.15","4.5","0.0","0.0","0.0","0.0","56.42","114.58","498.58","249.29","442.16","384.0","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","60.0","0.09","1.15","0.0","4.6","1.15","5.29","0.0","0.0","0.0","0.0","61.71","114.58","498.58","249.29","436.87","384.0","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","60.0","0.09","1.15","0.0","4.65","1.15","5.35","0.0","0.0","0.0","0.0","67.06","114.58","498.58","249.29","431.52","384.0","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","60.0","0.09","1.15","0.0","4.88","1.15","5.61","0.0","0.0","0.0","0.0","72.67","114.58","498.58","249.29","425.91","384.0","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","60.0","0.09","1.15","0.0","5.55","1.15","6.38","0.0","0.0","0.0","0.0","79.05","114.58","498.58","249.29","419.53","384.0","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","60.0","0.09","1.15","0.0","5.04","1.15","5.8","0.0","0.0","0.0","0.0","84.85","114.58","498.58","249.29","413.73","384.0","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","60.0","0.09","1.15","0.0","4.6","1.15","5.29","0.0","0.0","0.0","0.0","90.14","114.58","498.58","249.29","408.44","384.0","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","60.0","0.09","1.15","0.0","4.53","1.15","5.21","0.0","0.0","0.0","0.0","95.35","114.58","498.58","249.29","403.23","384.0","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","60.0","0.09","1.15","0.0","5.35","1.15","6.15","0.0","0.0","0.0","0.0","101.5","114.58","498.58","249.29","397.08","384.0","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","60.0","0.09","1.15","0.0","5.28","1.15","6.07","0.0","0.0","0.0","0.0","107.57","114.58","498.58","249.29","391.01","384.0","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","60.0","0.09","1.15","0.0","3.87","1.15","4.45","0.0","0.0","0.0","0.0","112.02","124.64","498.58","249.29","386.56","373.93","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","60.0","0.09","1.15","0.0","3.92","1.15","4.51","0.0","0.0","0.0","0.0","116.53","124.64","498.58","249.29","382.05","373.93","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","60.0","0.09","1.15","0.0","3.46","1.15","3.98","0.0","0.0","0.0","0.0","120.51","124.64","498.58","249.29","378.07","373.93","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","60.0","0.09","1.15","0.0","2.16","1.15","2.48","0.0","0.0","0.0","0.0","122.99","124.64","498.58","249.29","375.59","373.93","0.0","","","","","","","","",""
