" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","487.0","0.13","0.7","0.0","6.73","0.7","4.73","0.0","0.0","0.0","0.0","4.73","68.91","316.99","158.5","312.26","248.09","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","487.0","0.13","0.71","0.0","7.15","0.71","5.08","0.0","0.0","0.0","0.0","9.81","68.91","316.99","158.5","307.19","248.09","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","487.0","0.13","0.72","0.0","7.45","0.72","5.35","0.0","0.0","0.0","0.0","15.15","68.91","316.99","158.5","301.84","248.09","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","487.0","0.13","0.73","0.0","7.57","0.73","5.49","0.0","0.0","0.0","0.0","20.65","68.91","316.99","158.5","296.34","248.09","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","487.0","0.13","0.73","0.0","7.43","0.73","5.45","0.0","0.0","0.0","0.0","26.1","68.91","316.99","158.5","290.9","248.09","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","487.0","0.13","0.74","0.0","6.96","0.74","5.16","0.0","0.0","0.0","0.0","31.26","68.91","316.99","158.5","285.74","248.09","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","487.0","0.13","0.75","0.0","7.37","0.75","5.52","0.0","0.0","0.0","0.0","36.77","68.91","316.99","158.5","280.22","248.09","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","487.0","0.13","0.76","0.0","7.87","0.76","5.95","0.0","0.0","0.0","0.0","42.73","68.91","316.99","158.5","274.26","248.09","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","487.0","0.12","0.76","0.0","7.15","0.76","5.47","0.0","0.0","0.0","0.0","48.19","68.91","316.99","158.5","268.8","248.09","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","487.0","0.12","0.77","0.0","7.23","0.77","5.58","0.0","0.0","0.0","0.0","53.78","68.91","316.99","158.5","263.22","248.09","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","487.0","0.12","0.78","0.0","6.75","0.78","5.26","0.0","0.0","0.0","0.0","59.04","68.91","316.99","158.5","257.95","248.09","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","487.0","0.12","0.79","0.0","6.26","0.79","4.93","0.0","0.0","0.0","0.0","63.97","68.91","316.99","158.5","253.02","248.09","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","487.0","0.12","0.8","0.0","4.34","0.8","3.45","0.0","0.0","0.0","0.0","67.42","68.91","316.99","158.5","249.57","248.09","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","487.0","0.12","0.8","0.0","5.16","0.8","4.14","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","71.57","","","","","","","","",""
"2015.0","7.0","11.0","192.0","487.0","0.12","0.81","0.0","6.34","0.81","5.14","0.0","0.0","0.0","0.0","5.14","68.91","316.99","158.5","311.85","248.09","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","487.0","0.12","0.82","0.0","6.49","0.82","5.31","0.0","0.0","0.0","0.0","10.45","68.91","316.99","158.5","306.54","248.09","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","487.0","0.12","0.83","0.0","6.6","0.83","5.45","0.0","0.0","0.0","0.0","15.91","68.91","316.99","158.5","301.09","248.09","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","487.0","0.12","0.83","0.0","6.42","0.83","5.35","0.0","0.0","0.0","0.0","21.26","68.91","316.99","158.5","295.73","248.09","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","487.0","0.12","0.84","0.0","6.62","0.84","5.57","0.0","0.0","0.0","0.0","26.83","68.91","316.99","158.5","290.16","248.09","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","487.0","0.12","0.85","0.0","7.07","0.85","6.01","0.0","0.0","0.0","0.0","32.84","68.91","316.99","158.5","284.15","248.09","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","487.0","0.11","0.86","0.0","7.25","0.86","6.21","0.0","0.0","0.0","0.0","39.05","68.91","316.99","158.5","277.94","248.09","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","487.0","0.11","0.86","0.0","7.24","0.86","6.26","0.0","0.0","0.0","0.0","45.31","68.91","316.99","158.5","271.68","248.09","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","487.0","0.11","0.87","0.0","6.8","0.87","5.93","0.0","0.0","0.0","0.0","51.25","68.91","316.99","158.5","265.74","248.09","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","487.0","0.11","0.88","0.0","7.29","0.88","6.42","0.0","0.0","0.0","0.0","57.67","68.91","316.99","158.5","259.33","248.09","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","487.0","0.11","0.89","0.0","7.21","0.89","6.4","0.0","0.0","0.0","0.0","64.07","68.91","316.99","158.5","252.92","248.09","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","487.0","0.11","0.9","0.0","6.8","0.9","6.09","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","70.16","","","","","","","","",""
"2015.0","7.0","23.0","204.0","487.0","0.11","0.9","0.0","6.1","0.9","5.51","0.0","0.0","0.0","0.0","5.51","68.91","316.99","158.5","311.48","248.09","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","487.0","0.11","0.91","0.0","6.35","0.91","5.79","0.0","0.0","0.0","0.0","11.3","68.91","316.99","158.5","305.69","248.09","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","487.0","0.11","0.92","0.0","6.41","0.92","5.89","0.0","0.0","0.0","0.0","17.19","68.91","316.99","158.5","299.8","248.09","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","487.0","0.11","0.93","0.0","6.42","0.93","5.95","0.0","0.0","0.0","0.0","23.14","68.91","316.99","158.5","293.85","248.09","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","487.0","0.11","0.93","0.0","7.39","0.93","6.91","0.0","0.0","0.0","0.0","30.05","68.91","316.99","158.5","286.95","248.09","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","487.0","0.11","0.94","0.0","7.74","0.94","7.29","0.0","0.0","0.0","0.0","37.34","68.91","316.99","158.5","279.65","248.09","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","487.0","0.11","0.95","0.0","7.42","0.95","7.05","0.0","0.0","0.0","0.0","44.39","68.91","316.99","158.5","272.6","248.09","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","487.0","0.11","0.95","0.0","7.73","0.95","7.34","0.0","0.0","0.0","0.0","51.73","68.91","316.99","158.5","265.26","248.09","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","487.0","0.1","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","58.03","68.91","316.99","158.5","258.96","248.09","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","487.0","0.1","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","64.61","68.91","316.99","158.5","252.38","248.09","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","487.0","0.1","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","71.05","","","","","","","","",""
"2015.0","8.0","3.0","215.0","487.0","0.1","0.95","0.0","6.81","0.95","6.47","0.0","0.0","0.0","0.0","6.47","68.91","316.99","158.5","310.52","248.09","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","487.0","0.1","0.95","0.0","4.69","0.95","4.46","0.0","0.0","0.0","0.0","10.93","68.91","316.99","158.5","306.07","248.09","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","487.0","0.1","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","16.4","68.91","316.99","158.5","300.6","248.09","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","487.0","0.1","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","20.43","68.91","316.99","158.5","296.56","248.09","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","487.0","0.1","0.95","0.0","6.71","0.95","6.37","0.0","0.0","0.0","0.0","26.81","68.91","316.99","158.5","290.18","248.09","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","487.0","0.1","0.95","0.0","5.96","0.95","5.66","0.0","0.0","0.0","0.0","32.47","68.91","316.99","158.5","284.52","248.09","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","487.0","0.1","0.95","0.0","6.56","0.95","6.23","0.0","0.0","0.0","0.0","38.7","68.91","316.99","158.5","278.29","248.09","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","487.0","0.1","0.95","0.0","6.58","0.95","6.25","0.0","0.0","0.0","0.0","44.95","68.91","316.99","158.5","272.04","248.09","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","487.0","0.1","0.95","0.0","6.4","0.95","6.08","0.0","0.0","0.0","0.0","51.03","68.91","316.99","158.5","265.96","248.09","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","487.0","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","57.05","68.91","316.99","158.5","259.94","248.09","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","487.0","0.1","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","63.18","68.91","316.99","158.5","253.82","248.09","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","487.0","0.1","0.95","0.0","6.13","0.95","5.82","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","69.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","487.0","0.1","0.95","0.0","6.42","0.95","6.1","0.0","0.0","0.0","0.0","6.1","68.91","316.99","158.5","310.89","248.09","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","487.0","0.1","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","12.43","68.91","316.99","158.5","304.57","248.09","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","487.0","0.1","0.95","0.0","7.09","0.95","6.74","0.0","0.0","0.0","0.0","19.16","68.91","316.99","158.5","297.83","248.09","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","487.0","0.1","0.95","0.0","6.79","0.95","6.45","0.0","0.0","0.0","0.0","25.61","68.91","316.99","158.5","291.38","248.09","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","487.0","0.1","0.95","0.0","6.18","0.95","5.87","0.0","0.0","0.0","0.0","31.48","68.91","316.99","158.5","285.51","248.09","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","487.0","0.1","0.95","0.0","5.52","0.95","5.24","0.0","0.0","0.0","0.0","36.73","68.91","316.99","158.5","280.27","248.09","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","487.0","0.09","0.95","0.0","5.62","0.95","5.34","0.0","0.0","0.0","0.0","42.07","68.91","316.99","158.5","274.93","248.09","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","487.0","0.09","0.95","0.0","5.69","0.95","5.41","0.0","0.0","0.0","0.0","47.47","68.91","316.99","158.5","269.52","248.09","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","487.0","0.09","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","52.93","68.91","316.99","158.5","264.06","248.09","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","487.0","0.09","0.95","0.0","6.23","0.95","5.92","0.0","0.0","0.0","0.0","58.85","68.91","316.99","158.5","258.14","248.09","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","487.0","0.09","0.95","0.0","6.51","0.95","6.18","0.0","0.0","0.0","0.0","65.04","68.91","316.99","158.5","251.96","248.09","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","487.0","0.09","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","71.35","","","","","","","","",""
"2015.0","8.0","27.0","239.0","487.0","0.09","0.95","0.0","6.82","0.95","6.48","0.0","0.0","0.0","0.0","6.48","68.91","316.99","158.5","310.51","248.09","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","487.0","0.09","0.95","0.0","6.79","0.95","6.45","0.0","0.0","0.0","0.0","12.93","68.91","316.99","158.5","304.06","248.09","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","487.0","0.09","0.95","0.0","5.21","0.95","4.95","0.0","0.0","0.0","0.0","17.88","68.91","316.99","158.5","299.11","248.09","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","487.0","0.09","0.95","0.0","5.54","0.95","5.26","0.0","0.0","0.0","0.0","23.14","68.91","316.99","158.5","293.85","248.09","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","487.0","0.09","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","28.56","68.91","316.99","158.5","288.44","248.09","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","487.0","0.09","0.95","0.0","5.68","0.95","5.4","0.0","0.0","0.0","0.0","33.95","68.91","316.99","158.5","283.04","248.09","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","487.0","0.09","0.95","0.0","5.54","0.95","5.26","0.0","0.0","0.0","0.0","39.22","68.91","316.99","158.5","277.78","248.09","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","487.0","0.09","0.95","0.0","5.19","0.95","4.93","0.0","0.0","0.0","0.0","44.15","68.91","316.99","158.5","272.85","248.09","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","487.0","0.09","0.95","0.0","5.28","0.95","5.02","0.0","0.0","0.0","0.0","49.16","68.91","316.99","158.5","267.83","248.09","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","487.0","0.09","0.95","0.0","5.7","0.95","5.42","0.0","0.0","0.0","0.0","54.58","68.91","316.99","158.5","262.41","248.09","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","487.0","0.09","0.95","0.0","5.21","0.95","4.95","0.0","0.0","0.0","0.0","59.53","68.91","316.99","158.5","257.47","248.09","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","487.0","0.09","0.95","0.0","5.47","0.95","5.2","0.0","0.0","0.0","0.0","64.72","68.91","316.99","158.5","252.27","248.09","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","487.0","0.09","0.95","0.0","5.43","0.95","5.16","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","69.88","","","","","","","","",""
"2015.0","9.0","9.0","252.0","487.0","0.09","0.94","0.0","6.14","0.94","5.79","0.0","0.0","0.0","0.0","5.79","68.91","316.99","158.5","311.21","248.09","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","487.0","0.09","0.93","0.0","6.51","0.93","6.08","0.0","0.0","0.0","0.0","11.87","68.91","316.99","158.5","305.12","248.09","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","487.0","0.09","0.93","0.0","6.2","0.93","5.75","0.0","0.0","0.0","0.0","17.62","79.25","316.99","158.5","299.38","237.74","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","487.0","0.09","0.92","0.0","4.62","0.92","4.25","0.0","0.0","0.0","0.0","21.86","79.25","316.99","158.5","295.13","237.74","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","487.0","0.09","0.91","0.0","5.3","0.91","4.83","0.0","0.0","0.0","0.0","26.69","79.25","316.99","158.5","290.3","237.74","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","487.0","0.09","0.9","0.0","3.97","0.9","3.59","0.0","0.0","0.0","0.0","30.28","79.25","316.99","158.5","286.71","237.74","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","487.0","0.09","0.9","0.0","4.59","0.9","4.11","0.0","0.0","0.0","0.0","34.39","79.25","316.99","158.5","282.6","237.74","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","487.0","0.09","0.89","0.0","3.31","0.89","2.94","0.0","0.0","0.0","0.0","37.33","79.25","316.99","158.5","279.66","237.74","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","487.0","0.09","0.88","0.0","3.92","0.88","3.45","0.05","0.05","0.0","0.0","40.73","79.25","316.99","158.5","276.26","237.74","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","487.0","0.09","0.87","0.0","4.51","0.87","3.94","0.0","0.0","0.0","0.0","44.67","79.25","316.99","158.5","272.32","237.74","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","487.0","0.09","0.87","0.0","4.71","0.87","4.07","0.0","0.0","0.0","0.0","48.74","79.25","316.99","158.5","268.25","237.74","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","487.0","0.09","0.86","0.0","4.75","0.86","4.07","0.0","0.0","0.0","0.0","52.82","79.25","316.99","158.5","264.18","237.74","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","487.0","0.09","0.85","0.0","5.54","0.85","4.71","0.0","0.0","0.0","0.0","57.52","79.25","316.99","158.5","259.47","237.74","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","487.0","0.09","0.84","0.0","5.48","0.84","4.61","0.0","0.0","0.0","0.0","62.13","79.25","316.99","158.5","254.86","237.74","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","487.0","0.09","0.83","0.0","4.54","0.83","3.79","0.0","0.0","0.0","0.0","65.92","79.25","316.99","158.5","251.07","237.74","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","487.0","0.09","0.83","0.0","4.54","0.83","3.75","0.0","0.0","0.0","0.0","69.67","79.25","316.99","158.5","247.32","237.74","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","487.0","0.08","0.82","0.0","5.54","0.82","4.54","0.0","0.0","0.0","0.0","74.21","79.25","316.99","158.5","242.78","237.74","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","487.0","0.08","0.81","0.0","5.3","0.81","4.3","0.0","0.0","0.0","0.0","78.51","79.25","316.99","158.5","238.49","237.74","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","487.0","0.08","0.8","0.0","3.95","0.8","3.17","0.0","0.0","0.0","0.0","0.0","79.25","316.99","158.5","316.99","237.74","81.68","","","","","","","","",""
"2015.0","9.0","28.0","271.0","487.0","0.08","0.8","0.0","4.53","0.8","3.6","0.0","0.0","0.0","0.0","3.6","79.25","316.99","158.5","313.39","237.74","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","487.0","0.08","0.79","0.0","4.09","0.79","3.22","0.0","0.0","0.0","0.0","6.83","79.25","316.99","158.5","310.17","237.74","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","487.0","0.08","0.78","0.0","1.96","0.78","1.53","0.0","0.0","0.0","0.0","8.35","79.25","316.99","158.5","308.64","237.74","0.0","","","","","","","","",""
