" Daily soil water balance output for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","595.0","0.14","1.0","0.0","6.22","1.0","6.19","0.0","0.0","0.0","0.0","28.45","98.18","466.34","233.17","437.9","368.17","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","595.0","0.14","1.0","0.0","6.84","1.0","6.85","0.0","0.0","0.0","0.0","35.3","98.18","466.34","233.17","431.05","368.17","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","595.0","0.13","1.01","0.0","7.27","1.01","7.32","0.0","0.0","0.0","0.0","42.62","98.18","466.34","233.17","423.72","368.17","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","595.0","0.13","1.01","0.0","7.45","1.01","7.55","0.0","0.0","0.0","0.0","50.17","98.18","466.34","233.17","416.17","368.17","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","595.0","0.13","1.02","0.0","7.25","1.02","7.39","0.0","0.0","0.0","0.0","57.56","98.18","466.34","233.17","408.78","368.17","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","595.0","0.13","1.03","0.0","6.75","1.03","6.92","0.0","0.0","0.0","0.0","64.48","98.18","466.34","233.17","401.86","368.17","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","595.0","0.13","1.03","0.0","7.24","1.03","7.47","0.0","0.0","0.0","0.0","71.95","98.18","466.34","233.17","394.39","368.17","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","595.0","0.13","1.04","0.0","7.49","1.04","7.77","0.0","0.0","0.0","0.0","79.73","98.18","466.34","233.17","386.62","368.17","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","595.0","0.13","1.04","0.0","6.81","1.04","7.11","0.0","0.0","0.0","0.0","86.84","98.18","466.34","233.17","379.51","368.17","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","595.0","0.13","1.05","0.0","7.06","1.05","7.41","0.0","0.0","0.0","0.0","94.25","98.18","466.34","233.17","372.09","368.17","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","595.0","0.12","1.05","0.0","6.43","1.05","6.75","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","101.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","595.0","0.12","1.05","0.0","6.11","1.05","6.42","0.0","0.0","0.0","0.0","6.42","98.18","466.34","233.17","459.93","368.17","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","595.0","0.12","1.05","0.0","4.59","1.05","4.82","0.0","0.0","0.0","0.0","11.24","98.18","466.34","233.17","455.11","368.17","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","595.0","0.12","1.05","0.0","5.12","1.05","5.38","0.0","0.0","0.0","0.0","16.61","98.18","466.34","233.17","449.73","368.17","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","595.0","0.12","1.05","0.0","6.16","1.05","6.47","0.0","0.0","0.0","0.0","23.08","98.18","466.34","233.17","443.27","368.17","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","595.0","0.12","1.05","0.0","6.25","1.05","6.56","0.0","0.0","0.0","0.0","29.64","98.18","466.34","233.17","436.7","368.17","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","595.0","0.12","1.05","0.0","6.5","1.05","6.83","0.0","0.0","0.0","0.0","36.47","98.18","466.34","233.17","429.88","368.17","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","595.0","0.12","1.05","0.0","6.12","1.05","6.43","0.0","0.0","0.0","0.0","42.89","98.18","466.34","233.17","423.45","368.17","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","595.0","0.12","1.05","0.0","6.37","1.05","6.69","0.0","0.0","0.0","0.0","49.58","98.18","466.34","233.17","416.76","368.17","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","595.0","0.12","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","56.72","98.18","466.34","233.17","409.62","368.17","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","595.0","0.12","1.05","0.0","6.95","1.05","7.3","0.0","0.0","0.0","0.0","64.02","98.18","466.34","233.17","402.33","368.17","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","595.0","0.12","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","71.16","98.18","466.34","233.17","395.19","368.17","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","595.0","0.12","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","78.04","98.18","466.34","233.17","388.31","368.17","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","595.0","0.11","1.05","0.0","7.22","1.05","7.58","0.0","0.0","0.0","0.0","85.62","98.18","466.34","233.17","380.73","368.17","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","595.0","0.11","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","92.86","98.18","466.34","233.17","373.48","368.17","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","595.0","0.11","1.05","0.0","6.43","1.05","6.75","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","99.61","","","","","","","","",""
"2015.0","7.0","23.0","204.0","595.0","0.11","1.05","0.0","6.01","1.05","6.31","0.0","0.0","0.0","0.0","6.31","98.18","466.34","233.17","460.03","368.17","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","595.0","0.11","1.05","0.0","6.29","1.05","6.6","0.0","0.0","0.0","0.0","12.92","98.18","466.34","233.17","453.43","368.17","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","595.0","0.11","1.05","0.0","6.27","1.05","6.58","0.0","0.0","0.0","0.0","19.5","98.18","466.34","233.17","446.85","368.17","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","595.0","0.11","1.05","0.0","6.18","1.05","6.49","0.0","0.0","0.0","0.0","25.99","98.18","466.34","233.17","440.36","368.17","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","595.0","0.11","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","33.51","98.18","466.34","233.17","432.84","368.17","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","595.0","0.11","1.05","0.0","7.41","1.05","7.78","0.0","0.0","0.0","0.0","41.29","98.18","466.34","233.17","425.06","368.17","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","595.0","0.11","1.05","0.0","7.18","1.05","7.54","0.0","0.0","0.0","0.0","48.83","98.18","466.34","233.17","417.52","368.17","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","595.0","0.11","1.05","0.0","7.32","1.05","7.69","0.0","0.0","0.0","0.0","56.51","98.18","466.34","233.17","409.83","368.17","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","595.0","0.11","1.05","0.0","6.34","1.05","6.66","0.0","0.0","0.0","0.0","63.17","98.18","466.34","233.17","403.18","368.17","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","595.0","0.11","1.05","0.0","6.74","1.05","7.08","0.0","0.0","0.0","0.0","70.25","98.18","466.34","233.17","396.1","368.17","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","595.0","0.11","1.05","0.0","6.62","1.05","6.95","0.0","0.0","0.0","0.0","77.2","98.18","466.34","233.17","389.15","368.17","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","595.0","0.1","1.05","0.0","6.57","1.05","6.9","0.0","0.0","0.0","0.0","84.09","98.18","466.34","233.17","382.25","368.17","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","595.0","0.1","1.05","0.0","5.07","1.05","5.32","0.0","0.0","0.0","0.0","89.42","98.18","466.34","233.17","376.93","368.17","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","595.0","0.1","1.05","0.0","5.66","1.05","5.94","0.0","0.0","0.0","0.0","95.36","98.18","466.34","233.17","370.98","368.17","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","595.0","0.1","1.05","0.0","3.9","1.05","4.1","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","99.46","","","","","","","","",""
"2015.0","8.0","7.0","219.0","595.0","0.1","1.05","0.0","6.42","1.05","6.74","0.1","0.1","0.0","0.0","6.64","98.18","466.34","233.17","459.7","368.17","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","595.0","0.1","1.05","0.0","5.74","1.05","6.03","0.0","0.0","0.0","0.0","12.67","98.18","466.34","233.17","453.68","368.17","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","595.0","0.1","1.05","0.0","6.34","1.05","6.66","0.0","0.0","0.0","0.0","19.33","98.18","466.34","233.17","447.02","368.17","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","595.0","0.1","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","25.97","98.18","466.34","233.17","440.37","368.17","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","595.0","0.1","1.05","0.0","6.22","1.05","6.53","0.0","0.0","0.0","0.0","32.5","98.18","466.34","233.17","433.84","368.17","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","595.0","0.1","1.05","0.0","6.17","1.05","6.48","0.0","0.0","0.0","0.0","38.98","98.18","466.34","233.17","427.36","368.17","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","595.0","0.1","1.05","0.0","6.28","1.05","6.59","0.0","0.0","0.0","0.0","45.58","98.18","466.34","233.17","420.77","368.17","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","595.0","0.1","1.05","0.0","6.15","1.05","6.46","0.0","0.0","0.0","0.0","52.03","98.18","466.34","233.17","414.31","368.17","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","595.0","0.1","1.05","0.0","6.44","1.05","6.76","0.0","0.0","0.0","0.0","58.79","98.18","466.34","233.17","407.55","368.17","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","595.0","0.1","1.05","0.0","6.56","1.05","6.89","0.0","0.0","0.0","0.0","65.68","98.18","466.34","233.17","400.66","368.17","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","595.0","0.1","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","72.93","98.18","466.34","233.17","393.42","368.17","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","595.0","0.1","1.05","0.0","6.52","1.05","6.85","0.0","0.0","0.0","0.0","79.77","98.18","466.34","233.17","386.57","368.17","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","595.0","0.1","1.05","0.0","5.94","1.05","6.24","0.0","0.0","0.0","0.0","86.01","98.18","466.34","233.17","380.33","368.17","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","595.0","0.1","1.05","0.0","5.43","1.05","5.7","0.0","0.0","0.0","0.0","91.71","98.18","466.34","233.17","374.63","368.17","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","595.0","0.1","1.05","0.0","5.49","1.05","5.76","0.0","0.0","0.0","0.0","97.48","98.18","466.34","233.17","368.87","368.17","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","595.0","0.1","1.05","0.0","5.51","1.05","5.79","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","103.26","","","","","","","","",""
"2015.0","8.0","23.0","235.0","595.0","0.1","1.05","0.0","5.64","1.05","5.92","0.0","0.0","0.0","0.0","5.92","98.18","466.34","233.17","460.42","368.17","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","595.0","0.1","1.05","0.0","6.06","1.05","6.36","0.0","0.0","0.0","0.0","12.29","98.18","466.34","233.17","454.06","368.17","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","595.0","0.1","1.05","0.0","6.32","1.05","6.64","0.0","0.0","0.0","0.0","18.92","98.18","466.34","233.17","447.42","368.17","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","595.0","0.09","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","25.76","98.18","466.34","233.17","440.59","368.17","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","595.0","0.09","1.05","0.0","6.88","1.05","7.22","0.04","0.04","0.0","0.0","32.94","98.18","466.34","233.17","433.4","368.17","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","595.0","0.09","1.05","0.0","6.73","1.05","7.07","0.0","0.0","0.0","0.0","40.01","98.18","466.34","233.17","426.34","368.17","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","595.0","0.09","1.05","0.0","5.23","1.05","5.49","0.0","0.0","0.0","0.0","45.5","98.18","466.34","233.17","420.85","368.17","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","595.0","0.09","1.05","0.0","5.55","1.05","5.83","0.0","0.0","0.0","0.0","51.33","98.18","466.34","233.17","415.02","368.17","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","595.0","0.09","1.05","0.0","5.58","1.05","5.86","0.0","0.0","0.0","0.0","57.19","98.18","466.34","233.17","409.16","368.17","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","595.0","0.09","1.05","0.0","5.43","1.05","5.7","0.0","0.0","0.0","0.0","62.89","98.18","466.34","233.17","403.46","368.17","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","595.0","0.09","1.05","0.0","5.29","1.05","5.55","0.0","0.0","0.0","0.0","68.44","98.18","466.34","233.17","397.9","368.17","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","595.0","0.09","1.05","0.0","5.11","1.05","5.37","0.0","0.0","0.0","0.0","73.81","98.18","466.34","233.17","392.54","368.17","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","595.0","0.09","1.05","0.0","5.15","1.05","5.41","0.0","0.0","0.0","0.0","79.21","98.18","466.34","233.17","387.13","368.17","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","595.0","0.09","1.05","0.0","5.45","1.05","5.72","0.0","0.0","0.0","0.0","84.94","98.18","466.34","233.17","381.41","368.17","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","595.0","0.09","1.05","0.0","5.14","1.05","5.4","0.0","0.0","0.0","0.0","90.33","98.18","466.34","233.17","376.01","368.17","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","595.0","0.09","1.05","0.0","5.35","1.05","5.62","0.0","0.0","0.0","0.0","95.95","98.18","466.34","233.17","370.39","368.17","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","595.0","0.09","1.05","0.0","5.51","1.05","5.79","0.0","0.0","0.0","0.0","0.0","98.18","466.34","233.17","466.34","368.17","101.74","","","","","","","","",""
"2015.0","9.0","9.0","252.0","595.0","0.09","1.05","0.0","6.15","1.05","6.46","0.0","0.0","0.0","0.0","6.46","98.18","466.34","233.17","459.89","368.17","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","595.0","0.09","1.05","0.0","6.46","1.05","6.78","0.0","0.0","0.0","0.0","13.24","98.18","466.34","233.17","453.1","368.17","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","595.0","0.09","1.05","0.0","5.99","1.05","6.29","0.0","0.0","0.0","0.0","19.53","98.18","466.34","233.17","446.81","368.17","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","595.0","0.09","1.05","0.0","4.16","1.05","4.37","0.0","0.0","0.0","0.0","23.9","98.18","466.34","233.17","442.45","368.17","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","595.0","0.09","1.05","0.0","5.02","1.05","5.27","0.0","0.0","0.0","0.0","29.17","98.18","466.34","233.17","437.18","368.17","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","595.0","0.09","1.05","0.0","3.65","1.05","3.83","0.0","0.0","0.0","0.0","33.0","98.18","466.34","233.17","433.34","368.17","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","595.0","0.09","1.05","0.0","4.63","1.05","4.86","0.0","0.0","0.0","0.0","37.86","98.18","466.34","233.17","428.48","368.17","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","595.0","0.09","1.05","0.0","3.63","1.05","3.81","0.0","0.0","0.0","0.0","41.67","98.18","466.34","233.17","424.67","368.17","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","595.0","0.09","1.05","0.0","3.92","1.05","4.12","0.0","0.0","0.0","0.0","45.79","98.18","466.34","233.17","420.55","368.17","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","595.0","0.09","1.05","0.0","4.56","1.05","4.79","0.0","0.0","0.0","0.0","50.58","98.18","466.34","233.17","415.77","368.17","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","595.0","0.09","1.05","0.0","4.65","1.05","4.88","0.0","0.0","0.0","0.0","55.46","98.18","466.34","233.17","410.88","368.17","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","595.0","0.09","1.04","0.0","4.8","1.04","5.01","0.0","0.0","0.0","0.0","60.47","98.18","466.34","233.17","405.87","368.17","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","595.0","0.09","1.04","0.0","5.53","1.04","5.74","0.0","0.0","0.0","0.0","66.21","98.18","466.34","233.17","400.13","368.17","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","595.0","0.09","1.03","0.0","5.15","1.03","5.32","0.0","0.0","0.0","0.0","71.53","98.18","466.34","233.17","394.82","368.17","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","595.0","0.09","1.03","0.0","4.56","1.03","4.68","0.0","0.0","0.0","0.0","76.21","98.18","466.34","233.17","390.14","368.17","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","595.0","0.09","1.02","0.0","4.55","1.02","4.64","0.0","0.0","0.0","0.0","80.85","98.18","466.34","233.17","385.49","368.17","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","595.0","0.09","1.01","0.0","5.43","1.01","5.51","0.0","0.0","0.0","0.0","86.36","98.18","466.34","233.17","379.99","368.17","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","595.0","0.09","1.01","0.0","5.3","1.01","5.34","0.0","0.0","0.0","0.0","91.7","116.59","466.34","233.17","374.64","349.76","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","595.0","0.09","1.0","0.0","3.79","1.0","3.8","0.0","0.0","0.0","0.0","95.5","116.59","466.34","233.17","370.84","349.76","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","595.0","0.09","1.0","0.0","4.18","1.0","4.17","0.0","0.0","0.0","0.0","99.67","116.59","466.34","233.17","366.68","349.76","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","595.0","0.09","0.99","0.0","3.64","0.99","3.61","0.0","0.0","0.0","0.0","103.27","116.59","466.34","233.17","363.07","349.76","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","595.0","0.09","0.98","0.0","1.99","0.98","1.96","0.0","0.0","0.0","0.0","105.23","116.59","466.34","233.17","361.11","349.76","0.0","","","","","","","","",""
