" Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","7.0","1.0","182.0","9321.0","0.13","0.95","0.0","7.25","0.95","6.89","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","61.51","","","","","","",""
"2015.0","7.0","2.0","183.0","9321.0","0.13","0.95","0.0","6.75","0.95","6.41","0.0","0.0","0.0","0.0","6.41","55.05","227.99","114.0","221.58","172.94","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","9321.0","0.13","0.95","0.0","7.24","0.95","6.88","0.0","0.0","0.0","0.0","13.29","55.05","227.99","114.0","214.7","172.94","0.0","","","","","","",""
"2015.0","7.0","4.0","185.0","9321.0","0.13","0.95","0.0","7.49","0.95","7.12","0.0","0.0","0.0","0.0","20.41","55.05","227.99","114.0","207.58","172.94","0.0","","","","","","",""
"2015.0","7.0","5.0","186.0","9321.0","0.13","0.95","0.0","6.81","0.95","6.47","0.0","0.0","0.0","0.0","26.88","55.05","227.99","114.0","201.11","172.94","0.0","","","","","","",""
"2015.0","7.0","6.0","187.0","9321.0","0.13","0.95","0.0","7.06","0.95","6.71","0.0","0.0","0.0","0.0","33.58","55.05","227.99","114.0","194.41","172.94","0.0","","","","","","",""
"2015.0","7.0","7.0","188.0","9321.0","0.12","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","39.69","55.05","227.99","114.0","188.3","172.94","0.0","","","","","","",""
"2015.0","7.0","8.0","189.0","9321.0","0.12","0.95","0.0","6.11","0.95","5.8","0.0","0.0","0.0","0.0","45.5","55.05","227.99","114.0","182.49","172.94","0.0","","","","","","",""
"2015.0","7.0","9.0","190.0","9321.0","0.12","0.95","0.0","4.59","0.95","4.36","0.0","0.0","0.0","0.0","49.86","55.05","227.99","114.0","178.13","172.94","0.0","","","","","","",""
"2015.0","7.0","10.0","191.0","9321.0","0.12","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","54.72","55.05","227.99","114.0","173.27","172.94","0.0","","","","","","",""
"2015.0","7.0","11.0","192.0","9321.0","0.12","0.95","0.0","6.16","0.95","5.85","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","60.57","","","","","","",""
"2015.0","7.0","12.0","193.0","9321.0","0.12","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","5.94","55.05","227.99","114.0","222.05","172.94","0.0","","","","","","",""
"2015.0","7.0","13.0","194.0","9321.0","0.12","0.95","0.0","6.5","0.95","6.18","0.0","0.0","0.0","0.0","12.11","55.05","227.99","114.0","215.88","172.94","0.0","","","","","","",""
"2015.0","7.0","14.0","195.0","9321.0","0.12","0.95","0.0","6.12","0.95","5.81","0.0","0.0","0.0","0.0","17.93","55.05","227.99","114.0","210.06","172.94","0.0","","","","","","",""
"2015.0","7.0","15.0","196.0","9321.0","0.12","0.95","0.0","6.37","0.95","6.05","0.0","0.0","0.0","0.0","23.98","55.05","227.99","114.0","204.01","172.94","0.0","","","","","","",""
"2015.0","7.0","16.0","197.0","9321.0","0.12","0.95","0.0","6.8","0.95","6.46","0.0","0.0","0.0","0.0","30.44","55.05","227.99","114.0","197.55","172.94","0.0","","","","","","",""
"2015.0","7.0","17.0","198.0","9321.0","0.12","0.95","0.0","6.95","0.95","6.6","0.0","0.0","0.0","0.0","37.04","55.05","227.99","114.0","190.95","172.94","0.0","","","","","","",""
"2015.0","7.0","18.0","199.0","9321.0","0.12","0.95","0.0","6.8","0.95","6.46","0.0","0.0","0.0","0.0","43.5","55.05","227.99","114.0","184.49","172.94","0.0","","","","","","",""
"2015.0","7.0","19.0","200.0","9321.0","0.12","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","49.72","55.05","227.99","114.0","178.27","172.94","0.0","","","","","","",""
"2015.0","7.0","20.0","201.0","9321.0","0.11","0.95","0.0","7.22","0.95","6.86","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","56.58","","","","","","",""
"2015.0","7.0","21.0","202.0","9321.0","0.11","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","6.56","55.05","227.99","114.0","221.44","172.94","0.0","","","","","","",""
"2015.0","7.0","22.0","203.0","9321.0","0.11","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","12.66","55.05","227.99","114.0","215.33","172.94","0.0","","","","","","",""
"2015.0","7.0","23.0","204.0","9321.0","0.11","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","18.37","55.05","227.99","114.0","209.62","172.94","0.0","","","","","","",""
"2015.0","7.0","24.0","205.0","9321.0","0.11","0.95","0.0","6.29","0.95","5.98","0.0","0.0","0.0","0.0","24.35","55.05","227.99","114.0","203.64","172.94","0.0","","","","","","",""
"2015.0","7.0","25.0","206.0","9321.0","0.11","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","30.31","55.05","227.99","114.0","197.69","172.94","0.0","","","","","","",""
"2015.0","7.0","26.0","207.0","9321.0","0.11","0.95","0.0","6.18","0.95","5.87","0.0","0.0","0.0","0.0","36.18","55.05","227.99","114.0","191.81","172.94","0.0","","","","","","",""
"2015.0","7.0","27.0","208.0","9321.0","0.11","0.95","0.0","7.16","0.95","6.8","0.0","0.0","0.0","0.0","42.98","55.05","227.99","114.0","185.01","172.94","0.0","","","","","","",""
"2015.0","7.0","28.0","209.0","9321.0","0.11","0.95","0.0","7.41","0.95","7.04","0.0","0.0","0.0","0.0","50.02","55.05","227.99","114.0","177.97","172.94","0.0","","","","","","",""
"2015.0","7.0","29.0","210.0","9321.0","0.11","0.95","0.0","7.18","0.95","6.82","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","56.84","","","","","","",""
"2015.0","7.0","30.0","211.0","9321.0","0.11","0.95","0.0","7.32","0.95","6.95","0.0","0.0","0.0","0.0","6.95","55.05","227.99","114.0","221.04","172.94","0.0","","","","","","",""
"2015.0","7.0","31.0","212.0","9321.0","0.11","0.95","0.0","6.34","0.95","6.02","0.0","0.0","0.0","0.0","12.98","55.05","227.99","114.0","215.01","172.94","0.0","","","","","","",""
"2015.0","8.0","1.0","213.0","9321.0","0.11","0.95","0.0","6.74","0.95","6.4","0.0","0.0","0.0","0.0","19.38","55.05","227.99","114.0","208.61","172.94","0.0","","","","","","",""
"2015.0","8.0","2.0","214.0","9321.0","0.11","0.95","0.0","6.62","0.95","6.29","0.0","0.0","0.0","0.0","25.67","55.05","227.99","114.0","202.32","172.94","0.0","","","","","","",""
"2015.0","8.0","3.0","215.0","9321.0","0.1","0.95","0.0","6.57","0.95","6.24","0.0","0.0","0.0","0.0","31.91","55.05","227.99","114.0","196.08","172.94","0.0","","","","","","",""
"2015.0","8.0","4.0","216.0","9321.0","0.1","0.95","0.0","5.07","0.95","4.82","0.0","0.0","0.0","0.0","36.73","55.05","227.99","114.0","191.26","172.94","0.0","","","","","","",""
"2015.0","8.0","5.0","217.0","9321.0","0.1","0.95","0.0","5.66","0.95","5.38","0.0","0.0","0.0","0.0","42.1","55.05","227.99","114.0","185.89","172.94","0.0","","","","","","",""
"2015.0","8.0","6.0","218.0","9321.0","0.1","0.95","0.0","3.9","0.95","3.71","0.0","0.0","0.0","0.0","45.81","55.05","227.99","114.0","182.18","172.94","0.0","","","","","","",""
"2015.0","8.0","7.0","219.0","9321.0","0.1","0.95","0.0","6.42","0.95","6.1","0.1","0.1","0.0","0.0","51.81","55.05","227.99","114.0","176.18","172.94","0.0","","","","","","",""
"2015.0","8.0","8.0","220.0","9321.0","0.1","0.95","0.0","5.74","0.95","5.45","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","57.26","","","","","","",""
"2015.0","8.0","9.0","221.0","9321.0","0.1","0.95","0.0","6.34","0.95","6.02","0.0","0.0","0.0","0.0","6.02","55.05","227.99","114.0","221.97","172.94","0.0","","","","","","",""
"2015.0","8.0","10.0","222.0","9321.0","0.1","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","12.04","55.05","227.99","114.0","215.95","172.94","0.0","","","","","","",""
"2015.0","8.0","11.0","223.0","9321.0","0.1","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","17.95","55.05","227.99","114.0","210.04","172.94","0.0","","","","","","",""
"2015.0","8.0","12.0","224.0","9321.0","0.1","0.95","0.0","6.17","0.95","5.86","0.0","0.0","0.0","0.0","23.81","55.05","227.99","114.0","204.18","172.94","0.0","","","","","","",""
"2015.0","8.0","13.0","225.0","9321.0","0.1","0.95","0.0","6.28","0.95","5.97","0.0","0.0","0.0","0.0","29.77","55.05","227.99","114.0","198.22","172.94","0.0","","","","","","",""
"2015.0","8.0","14.0","226.0","9321.0","0.1","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","35.62","55.05","227.99","114.0","192.37","172.94","0.0","","","","","","",""
"2015.0","8.0","15.0","227.0","9321.0","0.1","0.95","0.0","6.44","0.95","6.12","0.0","0.0","0.0","0.0","41.73","55.05","227.99","114.0","186.26","172.94","0.0","","","","","","",""
"2015.0","8.0","16.0","228.0","9321.0","0.1","0.95","0.0","6.56","0.95","6.23","0.0","0.0","0.0","0.0","47.97","55.05","227.99","114.0","180.02","172.94","0.0","","","","","","",""
"2015.0","8.0","17.0","229.0","9321.0","0.1","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","54.52","55.05","227.99","114.0","173.47","172.94","0.0","","","","","","",""
"2015.0","8.0","18.0","230.0","9321.0","0.1","0.95","0.0","6.52","0.95","6.19","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","60.71","","","","","","",""
"2015.0","8.0","19.0","231.0","9321.0","0.1","0.95","0.0","5.94","0.95","5.64","0.0","0.0","0.0","0.0","5.64","55.05","227.99","114.0","222.35","172.94","0.0","","","","","","",""
"2015.0","8.0","20.0","232.0","9321.0","0.1","0.95","0.0","5.43","0.95","5.16","0.0","0.0","0.0","0.0","10.8","55.05","227.99","114.0","217.19","172.94","0.0","","","","","","",""
"2015.0","8.0","21.0","233.0","9321.0","0.1","0.95","0.0","5.49","0.95","5.22","0.0","0.0","0.0","0.0","16.02","55.05","227.99","114.0","211.97","172.94","0.0","","","","","","",""
"2015.0","8.0","22.0","234.0","9321.0","0.1","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","21.25","55.05","227.99","114.0","206.74","172.94","0.0","","","","","","",""
"2015.0","8.0","23.0","235.0","9321.0","0.1","0.95","0.0","5.64","0.95","5.36","0.0","0.0","0.0","0.0","26.61","55.05","227.99","114.0","201.38","172.94","0.0","","","","","","",""
"2015.0","8.0","24.0","236.0","9321.0","0.1","0.95","0.0","6.06","0.95","5.76","0.0","0.0","0.0","0.0","32.37","55.05","227.99","114.0","195.62","172.94","0.0","","","","","","",""
"2015.0","8.0","25.0","237.0","9321.0","0.1","0.95","0.0","6.32","0.95","6.0","0.0","0.0","0.0","0.0","38.37","55.05","227.99","114.0","189.62","172.94","0.0","","","","","","",""
"2015.0","8.0","26.0","238.0","9321.0","0.09","0.95","0.0","6.51","0.95","6.18","0.0","0.0","0.0","0.0","44.56","55.05","227.99","114.0","183.44","172.94","0.0","","","","","","",""
"2015.0","8.0","27.0","239.0","9321.0","0.09","0.95","0.0","6.88","0.95","6.54","0.04","0.04","0.0","0.0","51.05","55.05","227.99","114.0","176.94","172.94","0.0","","","","","","",""
"2015.0","8.0","28.0","240.0","9321.0","0.09","0.95","0.0","6.73","0.95","6.39","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","57.44","","","","","","",""
"2015.0","8.0","29.0","241.0","9321.0","0.09","0.95","0.0","5.23","0.95","4.97","0.0","0.0","0.0","0.0","4.97","55.05","227.99","114.0","223.02","172.94","0.0","","","","","","",""
"2015.0","8.0","30.0","242.0","9321.0","0.09","0.95","0.0","5.55","0.95","5.27","0.0","0.0","0.0","0.0","10.24","55.05","227.99","114.0","217.75","172.94","0.0","","","","","","",""
"2015.0","8.0","31.0","243.0","9321.0","0.09","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","15.54","55.05","227.99","114.0","212.45","172.94","0.0","","","","","","",""
"2015.0","9.0","1.0","244.0","9321.0","0.09","0.95","0.0","5.43","0.95","5.16","0.0","0.0","0.0","0.0","20.7","55.05","227.99","114.0","207.29","172.94","0.0","","","","","","",""
"2015.0","9.0","2.0","245.0","9321.0","0.09","0.95","0.0","5.29","0.95","5.03","0.0","0.0","0.0","0.0","25.73","55.05","227.99","114.0","202.26","172.94","0.0","","","","","","",""
"2015.0","9.0","3.0","246.0","9321.0","0.09","0.95","0.0","5.11","0.95","4.85","0.0","0.0","0.0","0.0","30.58","55.05","227.99","114.0","197.41","172.94","0.0","","","","","","",""
"2015.0","9.0","4.0","247.0","9321.0","0.09","0.95","0.0","5.15","0.95","4.89","0.0","0.0","0.0","0.0","35.47","55.05","227.99","114.0","192.52","172.94","0.0","","","","","","",""
"2015.0","9.0","5.0","248.0","9321.0","0.09","0.95","0.0","5.45","0.95","5.18","0.0","0.0","0.0","0.0","40.65","55.05","227.99","114.0","187.34","172.94","0.0","","","","","","",""
"2015.0","9.0","6.0","249.0","9321.0","0.09","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","45.53","55.05","227.99","114.0","182.46","172.94","0.0","","","","","","",""
"2015.0","9.0","7.0","250.0","9321.0","0.09","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","50.62","55.05","227.99","114.0","177.37","172.94","0.0","","","","","","",""
"2015.0","9.0","8.0","251.0","9321.0","0.09","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","55.85","","","","","","",""
"2015.0","9.0","9.0","252.0","9321.0","0.09","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","5.84","55.05","227.99","114.0","222.15","172.94","0.0","","","","","","",""
"2015.0","9.0","10.0","253.0","9321.0","0.09","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","11.98","55.05","227.99","114.0","216.01","172.94","0.0","","","","","","",""
"2015.0","9.0","11.0","254.0","9321.0","0.09","0.95","0.0","5.99","0.95","5.69","0.0","0.0","0.0","0.0","17.67","55.05","227.99","114.0","210.32","172.94","0.0","","","","","","",""
"2015.0","9.0","12.0","255.0","9321.0","0.09","0.95","0.0","4.16","0.95","3.95","0.0","0.0","0.0","0.0","21.62","55.05","227.99","114.0","206.37","172.94","0.0","","","","","","",""
"2015.0","9.0","13.0","256.0","9321.0","0.09","0.95","0.0","5.02","0.95","4.77","0.0","0.0","0.0","0.0","26.39","55.05","227.99","114.0","201.6","172.94","0.0","","","","","","",""
"2015.0","9.0","14.0","257.0","9321.0","0.09","0.95","0.0","3.65","0.95","3.47","0.0","0.0","0.0","0.0","29.86","55.05","227.99","114.0","198.13","172.94","0.0","","","","","","",""
"2015.0","9.0","15.0","258.0","9321.0","0.09","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","34.26","55.05","227.99","114.0","193.73","172.94","0.0","","","","","","",""
"2015.0","9.0","16.0","259.0","9321.0","0.09","0.95","0.0","3.63","0.95","3.45","0.0","0.0","0.0","0.0","37.71","55.05","227.99","114.0","190.28","172.94","0.0","","","","","","",""
"2015.0","9.0","17.0","260.0","9321.0","0.09","0.95","0.0","3.92","0.95","3.72","0.0","0.0","0.0","0.0","41.43","55.05","227.99","114.0","186.56","172.94","0.0","","","","","","",""
"2015.0","9.0","18.0","261.0","9321.0","0.09","0.95","0.0","4.56","0.95","4.33","0.0","0.0","0.0","0.0","45.76","55.05","227.99","114.0","182.23","172.94","0.0","","","","","","",""
"2015.0","9.0","19.0","262.0","9321.0","0.09","0.95","0.0","4.65","0.95","4.42","0.0","0.0","0.0","0.0","50.18","55.05","227.99","114.0","177.81","172.94","0.0","","","","","","",""
"2015.0","9.0","20.0","263.0","9321.0","0.09","0.95","0.0","4.8","0.95","4.56","0.0","0.0","0.0","0.0","54.74","55.05","227.99","114.0","173.25","172.94","0.0","","","","","","",""
"2015.0","9.0","21.0","264.0","9321.0","0.09","0.95","0.0","5.53","0.95","5.25","0.0","0.0","0.0","0.0","0.0","55.05","227.99","114.0","227.99","172.94","59.99","","","","","","",""
"2015.0","9.0","22.0","265.0","9321.0","0.09","0.95","0.0","5.15","0.95","4.89","0.0","0.0","0.0","0.0","4.89","55.05","227.99","114.0","223.1","172.94","0.0","","","","","","",""
"2015.0","9.0","23.0","266.0","9321.0","0.09","0.95","0.0","4.56","0.95","4.33","0.0","0.0","0.0","0.0","9.22","55.05","227.99","114.0","218.77","172.94","0.0","","","","","","",""
"2015.0","9.0","24.0","267.0","9321.0","0.09","0.95","0.0","4.55","0.95","4.32","0.0","0.0","0.0","0.0","13.55","55.05","227.99","114.0","214.44","172.94","0.0","","","","","","",""
"2015.0","9.0","25.0","268.0","9321.0","0.09","0.95","0.0","5.43","0.95","5.16","0.0","0.0","0.0","0.0","18.71","55.05","227.99","114.0","209.28","172.94","0.0","","","","","","",""
"2015.0","9.0","26.0","269.0","9321.0","0.09","0.95","0.0","5.3","0.95","5.04","0.0","0.0","0.0","0.0","23.74","55.05","227.99","114.0","204.25","172.94","0.0","","","","","","",""
"2015.0","9.0","27.0","270.0","9321.0","0.09","0.95","0.0","3.79","0.95","3.6","0.0","0.0","0.0","0.0","27.34","55.05","227.99","114.0","200.65","172.94","0.0","","","","","","",""
"2015.0","9.0","28.0","271.0","9321.0","0.09","0.95","0.0","4.18","0.95","3.97","0.0","0.0","0.0","0.0","31.31","55.05","227.99","114.0","196.68","172.94","0.0","","","","","","",""
"2015.0","9.0","29.0","272.0","9321.0","0.09","0.95","0.0","3.64","0.95","3.46","0.0","0.0","0.0","0.0","34.77","55.05","227.99","114.0","193.22","172.94","0.0","","","","","","",""
"2015.0","9.0","30.0","273.0","9321.0","0.09","0.95","0.0","1.99","0.95","1.89","0.0","0.0","0.0","0.0","36.66","55.05","227.99","114.0","191.33","172.94","0.0","","","","","","",""
