" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","22.0","0.13","0.98","0.0","6.94","0.98","6.8","0.0","0.0","0.0","0.0","35.56","44.12","185.32","92.66","149.76","141.2","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","22.0","0.13","1.0","0.0","7.3","1.0","7.32","0.0","0.0","0.0","0.0","42.88","44.12","185.32","92.66","142.44","141.2","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","22.0","0.13","1.03","0.0","7.58","1.03","7.78","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","50.66","","","","","","","","",""
"2015.0","6.0","30.0","181.0","22.0","0.13","1.05","0.0","7.69","1.05","8.07","0.0","0.0","0.0","0.0","8.07","44.12","185.32","92.66","177.24","141.2","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","22.0","0.13","1.05","0.0","7.56","1.05","7.94","0.0","0.0","0.0","0.0","16.01","44.12","185.32","92.66","169.31","141.2","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","22.0","0.13","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","23.61","44.12","185.32","92.66","161.7","141.2","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","22.0","0.13","1.05","0.0","7.52","1.05","7.9","0.0","0.0","0.0","0.0","31.51","44.12","185.32","92.66","153.81","141.2","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","22.0","0.12","1.05","0.0","8.01","1.05","8.41","0.0","0.0","0.0","0.0","39.92","44.12","185.32","92.66","145.4","141.2","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","22.0","0.12","1.05","0.0","7.28","1.05","7.64","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","47.57","","","","","","","","",""
"2015.0","7.0","6.0","187.0","22.0","0.12","1.05","0.0","7.4","1.05","7.77","0.0","0.0","0.0","0.0","7.77","44.12","185.32","92.66","177.55","141.2","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","22.0","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","15.05","44.12","185.32","92.66","170.27","141.2","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","22.0","0.12","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","21.71","44.12","185.32","92.66","163.6","141.2","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","22.0","0.12","1.05","0.0","4.42","1.05","4.64","0.0","0.0","0.0","0.0","26.36","44.12","185.32","92.66","158.96","141.2","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","22.0","0.12","1.05","0.0","5.2","1.05","5.46","0.0","0.0","0.0","0.0","31.82","44.12","185.32","92.66","153.5","141.2","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","22.0","0.12","1.05","0.0","6.4","1.05","6.72","0.0","0.0","0.0","0.0","38.54","44.12","185.32","92.66","146.78","141.2","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","22.0","0.12","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","45.34","","","","","","","","",""
"2015.0","7.0","13.0","194.0","22.0","0.12","1.05","0.0","6.7","1.05","7.04","0.0","0.0","0.0","0.0","7.04","44.12","185.32","92.66","178.28","141.2","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","22.0","0.12","1.05","0.0","6.5","1.05","6.83","0.0","0.0","0.0","0.0","13.86","44.12","185.32","92.66","171.46","141.2","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","22.0","0.12","1.05","0.0","6.67","1.05","7.0","0.0","0.0","0.0","0.0","20.86","44.12","185.32","92.66","164.45","141.2","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","22.0","0.11","1.05","0.0","7.18","1.05","7.54","0.0","0.0","0.0","0.0","28.4","44.12","185.32","92.66","156.92","141.2","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","22.0","0.11","1.05","0.0","7.37","1.05","7.74","0.0","0.0","0.0","0.0","36.14","44.12","185.32","92.66","149.18","141.2","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","22.0","0.11","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","43.81","44.12","185.32","92.66","141.51","141.2","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","22.0","0.11","1.05","0.0","6.82","1.05","7.16","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","50.97","","","","","","","","",""
"2015.0","7.0","20.0","201.0","22.0","0.11","1.05","0.0","7.38","1.05","7.75","0.0","0.0","0.0","0.0","7.75","44.12","185.32","92.66","177.57","141.2","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","22.0","0.11","1.05","0.0","7.36","1.05","7.73","0.0","0.0","0.0","0.0","15.48","44.12","185.32","92.66","169.84","141.2","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","22.0","0.11","1.05","0.0","6.92","1.05","7.27","0.0","0.0","0.0","0.0","22.74","44.12","185.32","92.66","162.58","141.2","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","22.0","0.11","1.05","0.0","6.25","1.05","6.56","0.0","0.0","0.0","0.0","29.31","44.12","185.32","92.66","156.01","141.2","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","22.0","0.11","1.05","0.0","6.45","1.05","6.77","0.0","0.0","0.0","0.0","36.08","44.12","185.32","92.66","149.24","141.2","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","22.0","0.11","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","42.96","44.12","185.32","92.66","142.36","141.2","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","22.0","0.11","1.05","0.0","6.49","1.05","6.81","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","49.77","","","","","","","","",""
"2015.0","7.0","27.0","208.0","22.0","0.11","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","7.84","44.12","185.32","92.66","177.47","141.2","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","22.0","0.11","1.05","0.0","7.77","1.05","8.16","0.0","0.0","0.0","0.0","16.0","44.12","185.32","92.66","169.32","141.2","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","22.0","0.1","1.05","0.0","7.5","1.05","7.88","0.0","0.0","0.0","0.0","23.88","44.12","185.32","92.66","161.44","141.2","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","22.0","0.1","1.05","0.0","7.84","1.05","8.23","0.0","0.0","0.0","0.0","32.11","44.12","185.32","92.66","153.21","141.2","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","22.0","0.1","1.05","0.0","6.75","1.05","7.09","0.0","0.0","0.0","0.0","39.2","44.12","185.32","92.66","146.12","141.2","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","22.0","0.1","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","46.59","","","","","","","","",""
"2015.0","8.0","2.0","214.0","22.0","0.1","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","7.28","44.12","185.32","92.66","178.04","141.2","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","22.0","0.1","1.05","0.0","6.91","1.05","7.26","0.0","0.0","0.0","0.0","14.53","44.12","185.32","92.66","170.79","141.2","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","22.0","0.1","1.05","0.0","5.01","1.05","5.26","0.0","0.0","0.0","0.0","19.79","44.12","185.32","92.66","165.53","141.2","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","22.0","0.1","1.05","0.0","5.82","1.05","6.11","0.0","0.0","0.0","0.0","25.9","44.12","185.32","92.66","159.41","141.2","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","22.0","0.1","1.05","0.0","4.19","1.05","4.4","0.0","0.0","0.0","0.0","30.3","44.12","185.32","92.66","155.02","141.2","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","22.0","0.1","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","37.42","44.12","185.32","92.66","147.9","141.2","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","22.0","0.1","1.05","0.0","6.09","1.05","6.39","0.0","0.0","0.0","0.0","43.82","44.12","185.32","92.66","141.5","141.2","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","22.0","0.1","1.05","0.0","6.64","1.05","6.97","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","50.79","","","","","","","","",""
"2015.0","8.0","10.0","222.0","22.0","0.1","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","6.99","44.12","185.32","92.66","178.33","141.2","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","22.0","0.1","1.05","0.0","6.52","1.05","6.85","0.0","0.0","0.0","0.0","13.84","44.12","185.32","92.66","171.48","141.2","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","22.0","0.1","1.05","0.0","6.43","1.05","6.75","0.0","0.0","0.0","0.0","20.59","44.12","185.32","92.66","164.73","141.2","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","22.0","0.1","1.05","0.0","6.58","1.05","6.91","0.0","0.0","0.0","0.0","27.5","44.12","185.32","92.66","157.82","141.2","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","22.0","0.1","1.05","0.0","6.27","1.05","6.58","0.0","0.0","0.0","0.0","34.08","44.12","185.32","92.66","151.24","141.2","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","22.0","0.1","1.05","0.0","6.53","1.05","6.86","0.0","0.0","0.0","0.0","40.94","44.12","185.32","92.66","144.38","141.2","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","22.0","0.1","1.05","0.0","6.74","1.05","7.08","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","48.02","","","","","","","","",""
"2015.0","8.0","17.0","229.0","22.0","0.1","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","7.57","44.12","185.32","92.66","177.75","141.2","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","22.0","0.09","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","14.86","44.12","185.32","92.66","170.46","141.2","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","22.0","0.09","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","21.5","44.12","185.32","92.66","163.81","141.2","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","22.0","0.09","1.05","0.0","5.68","1.05","5.96","0.0","0.0","0.0","0.0","27.47","44.12","185.32","92.66","157.85","141.2","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","22.0","0.09","1.04","0.0","5.73","1.04","5.94","0.0","0.0","0.0","0.0","33.41","44.12","185.32","92.66","151.91","141.2","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","22.0","0.09","1.02","0.0","5.78","1.02","5.91","0.0","0.0","0.0","0.0","39.32","44.12","185.32","92.66","146.0","141.2","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","22.0","0.09","1.01","0.0","5.88","1.01","5.94","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","45.26","","","","","","","","",""
"2015.0","8.0","24.0","236.0","22.0","0.09","1.0","0.0","6.35","1.0","6.33","0.0","0.0","0.0","0.0","6.33","44.12","185.32","92.66","178.99","141.2","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","22.0","0.09","0.98","0.0","6.65","0.98","6.54","0.0","0.0","0.0","0.0","12.86","44.12","185.32","92.66","172.46","141.2","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","22.0","0.09","0.97","0.0","6.78","0.97","6.57","0.0","0.0","0.0","0.0","19.44","44.12","185.32","92.66","165.88","141.2","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","22.0","0.09","0.96","0.0","6.93","0.96","6.63","0.0","0.0","0.0","0.0","26.06","44.12","185.32","92.66","159.26","141.2","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","22.0","0.09","0.94","0.0","6.87","0.94","6.48","0.0","0.0","0.0","0.0","32.54","44.12","185.32","92.66","152.78","141.2","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","22.0","0.09","0.93","0.0","5.34","0.93","4.96","0.0","0.0","0.0","0.0","37.5","44.12","185.32","92.66","147.82","141.2","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","22.0","0.09","0.92","0.0","5.64","0.92","5.17","0.0","0.0","0.0","0.0","42.67","44.12","185.32","92.66","142.65","141.2","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","22.0","0.09","0.9","0.0","5.74","0.9","5.18","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","47.85","","","","","","","","",""
"2015.0","9.0","1.0","244.0","22.0","0.09","0.89","0.0","5.75","0.89","5.11","0.0","0.0","0.0","0.0","5.11","44.12","185.32","92.66","180.21","141.2","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","22.0","0.09","0.88","0.0","5.63","0.88","4.93","0.0","0.0","0.0","0.0","10.04","44.12","185.32","92.66","175.28","141.2","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","22.0","0.09","0.86","0.0","5.25","0.86","4.53","0.0","0.0","0.0","0.0","14.57","44.12","185.32","92.66","170.75","141.2","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","22.0","0.09","0.85","0.0","5.32","0.85","4.52","0.0","0.0","0.0","0.0","19.08","44.12","185.32","92.66","166.23","141.2","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","22.0","0.09","0.84","0.0","5.71","0.84","4.77","0.0","0.0","0.0","0.0","23.85","44.12","185.32","92.66","161.46","141.2","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","22.0","0.09","0.82","0.0","5.22","0.82","4.29","0.0","0.0","0.0","0.0","28.14","44.12","185.32","92.66","157.17","141.2","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","22.0","0.09","0.81","0.0","5.51","0.81","4.46","0.0","0.0","0.0","0.0","32.6","44.12","185.32","92.66","152.72","141.2","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","22.0","0.09","0.8","0.0","5.49","0.8","4.37","0.0","0.0","0.0","0.0","36.96","44.12","185.32","92.66","148.35","141.2","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","22.0","0.09","0.78","0.0","6.25","0.78","4.89","0.0","0.0","0.0","0.0","41.85","44.12","185.32","92.66","143.47","141.2","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","22.0","0.09","0.77","0.0","6.63","0.77","5.09","0.0","0.0","0.0","0.0","0.0","44.12","185.32","92.66","185.32","141.2","46.94","","","","","","","","",""
"2015.0","9.0","11.0","254.0","22.0","0.09","0.75","0.0","6.3","0.75","4.76","0.0","0.0","0.0","0.0","4.76","44.12","185.32","92.66","180.56","141.2","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","22.0","0.09","0.74","0.0","4.61","0.74","3.42","0.0","0.0","0.0","0.0","8.17","44.12","185.32","92.66","177.14","141.2","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","22.0","0.09","0.73","0.0","5.3","0.73","3.86","0.0","0.0","0.0","0.0","12.03","44.12","185.32","92.66","173.29","141.2","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","22.0","0.09","0.71","0.0","4.07","0.71","2.91","0.0","0.0","0.0","0.0","14.94","44.12","185.32","92.66","170.38","141.2","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","22.0","0.09","0.7","0.0","4.66","0.7","3.27","0.0","0.0","0.0","0.0","18.21","46.33","185.32","92.66","167.11","138.99","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","22.0","0.09","0.69","0.0","3.58","0.69","2.46","0.0","0.0","0.0","0.0","20.67","46.33","185.32","92.66","164.65","138.99","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","22.0","0.09","0.67","0.0","3.96","0.67","2.67","0.0","0.0","0.0","0.0","23.34","46.33","185.32","92.66","161.98","138.99","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","22.0","0.09","0.66","0.0","4.57","0.66","3.02","0.0","0.0","0.0","0.0","26.36","46.33","185.32","92.66","158.96","138.99","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","22.0","0.09","0.65","0.0","4.73","0.65","3.06","0.0","0.0","0.0","0.0","29.43","46.33","185.32","92.66","155.89","138.99","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","22.0","0.09","0.63","0.0","4.79","0.63","3.04","0.0","0.0","0.0","0.0","32.46","46.33","185.32","92.66","152.86","138.99","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","22.0","0.08","0.62","0.0","5.59","0.62","3.47","0.0","0.0","0.0","0.0","35.93","46.33","185.32","92.66","149.39","138.99","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","22.0","0.08","0.61","0.0","5.63","0.61","3.42","0.0","0.0","0.0","0.0","39.35","46.33","185.32","92.66","145.97","138.99","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","22.0","0.08","0.59","0.0","4.66","0.59","2.77","0.0","0.0","0.0","0.0","42.12","46.33","185.32","92.66","143.2","138.99","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","22.0","0.08","0.58","0.0","4.62","0.58","2.68","0.0","0.0","0.0","0.0","44.8","46.33","185.32","92.66","140.52","138.99","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","22.0","0.08","0.57","0.0","5.64","0.57","3.2","0.0","0.0","0.0","0.0","0.0","46.33","185.32","92.66","185.32","138.99","48.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","22.0","0.08","0.55","0.0","5.48","0.55","3.03","0.0","0.0","0.0","0.0","3.03","46.33","185.32","92.66","182.28","138.99","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","22.0","0.08","0.54","0.0","3.94","0.54","2.13","0.0","0.0","0.0","0.0","5.16","46.33","185.32","92.66","180.16","138.99","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","22.0","0.08","0.53","0.0","4.53","0.53","2.39","0.0","0.0","0.0","0.0","7.55","46.33","185.32","92.66","177.77","138.99","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","22.0","0.08","0.51","0.0","4.04","0.51","2.07","0.0","0.0","0.0","0.0","9.62","46.33","185.32","92.66","175.7","138.99","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","22.0","0.08","0.5","0.0","2.06","0.5","1.03","0.0","0.0","0.0","0.0","10.65","46.33","185.32","92.66","174.67","138.99","0.0","","","","","","","","",""
