" Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","11322.0","0.14","0.8","0.0","7.98","0.8","6.38","0.0","0.0","0.0","0.0","100.96","112.06","502.92","251.46","401.96","390.86","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","11322.0","0.13","0.8","0.0","8.46","0.8","6.77","0.0","0.0","0.0","0.0","107.73","112.06","502.92","251.46","395.19","390.86","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","11322.0","0.13","0.8","0.0","7.16","0.8","5.73","0.0","0.0","0.0","0.0","0.0","112.06","502.92","251.46","502.92","390.86","113.45","","","","","","","","",""
"2015.0","6.0","28.0","179.0","11322.0","0.13","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","5.94","112.06","502.92","251.46","496.98","390.86","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","11322.0","0.13","0.8","0.0","7.6","0.8","6.08","0.0","0.0","0.0","0.0","12.02","112.06","502.92","251.46","490.9","390.86","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","11322.0","0.13","0.8","0.0","7.68","0.8","6.14","0.0","0.0","0.0","0.0","18.17","112.06","502.92","251.46","484.75","390.86","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","11322.0","0.13","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","24.1","112.06","502.92","251.46","478.82","390.86","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","11322.0","0.13","0.8","0.0","7.56","0.8","6.05","0.0","0.0","0.0","0.0","30.15","112.06","502.92","251.46","472.77","390.86","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","11322.0","0.12","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","36.1","112.06","502.92","251.46","466.82","390.86","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","11322.0","0.12","0.8","0.0","8.14","0.8","6.51","0.0","0.0","0.0","0.0","42.61","112.06","502.92","251.46","460.31","390.86","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","11322.0","0.12","0.8","0.0","7.47","0.8","5.98","0.0","0.0","0.0","0.0","48.58","112.06","502.92","251.46","454.34","390.86","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","11322.0","0.12","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","54.54","112.06","502.92","251.46","448.38","390.86","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","11322.0","0.12","0.8","0.0","7.05","0.8","5.64","0.0","0.0","0.0","0.0","60.18","112.06","502.92","251.46","442.74","390.86","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","11322.0","0.12","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","65.32","112.06","502.92","251.46","437.6","390.86","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","11322.0","0.12","0.8","0.0","4.51","0.8","3.61","0.0","0.0","0.0","0.0","68.93","112.06","502.92","251.46","433.99","390.86","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","11322.0","0.12","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","73.12","112.06","502.92","251.46","429.8","390.86","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","11322.0","0.12","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","78.29","112.06","502.92","251.46","424.63","390.86","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","11322.0","0.12","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","83.57","112.06","502.92","251.46","419.35","390.86","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","11322.0","0.12","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","88.94","112.06","502.92","251.46","413.98","390.86","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","11322.0","0.11","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","94.27","112.06","502.92","251.46","408.65","390.86","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","11322.0","0.11","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","99.69","112.06","502.92","251.46","403.23","390.86","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","11322.0","0.11","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","105.52","112.06","502.92","251.46","397.4","390.86","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","11322.0","0.11","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","111.48","112.06","502.92","251.46","391.44","390.86","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","11322.0","0.11","0.8","0.0","7.52","0.8","6.02","0.0","0.0","0.0","0.0","0.0","112.06","502.92","251.46","502.92","390.86","117.5","","","","","","","","",""
"2015.0","7.0","19.0","200.0","11322.0","0.11","0.8","0.0","6.89","0.8","5.51","0.0","0.0","0.0","0.0","5.51","112.06","502.92","251.46","497.41","390.86","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","11322.0","0.11","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","11.46","112.06","502.92","251.46","491.46","390.86","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","11322.0","0.11","0.8","0.0","7.44","0.8","5.95","0.0","0.0","0.0","0.0","17.41","112.06","502.92","251.46","485.51","390.86","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","11322.0","0.11","0.8","0.0","7.1","0.8","5.68","0.0","0.0","0.0","0.0","23.09","112.06","502.92","251.46","479.83","390.86","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","11322.0","0.11","0.8","0.0","6.23","0.8","4.98","0.0","0.0","0.0","0.0","28.07","112.06","502.92","251.46","474.85","390.86","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","11322.0","0.11","0.8","0.0","6.45","0.8","5.16","0.0","0.0","0.0","0.0","33.23","112.06","502.92","251.46","469.69","390.86","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","11322.0","0.11","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","38.51","112.06","502.92","251.46","464.41","390.86","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","11322.0","0.11","0.8","0.0","6.59","0.8","5.27","0.0","0.0","0.0","0.0","43.78","112.06","502.92","251.46","459.14","390.86","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","11322.0","0.11","0.8","0.0","7.51","0.8","6.01","0.0","0.0","0.0","0.0","49.79","112.06","502.92","251.46","453.13","390.86","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","11322.0","0.1","0.8","0.0","7.9","0.8","6.32","0.0","0.0","0.0","0.0","56.11","112.06","502.92","251.46","446.81","390.86","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","11322.0","0.1","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","62.15","112.06","502.92","251.46","440.77","390.86","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","11322.0","0.1","0.8","0.0","8.0","0.8","6.4","0.0","0.0","0.0","0.0","68.55","112.06","502.92","251.46","434.37","390.86","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","11322.0","0.1","0.8","0.0","6.92","0.8","5.54","0.0","0.0","0.0","0.0","74.09","112.06","502.92","251.46","428.83","390.86","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","11322.0","0.1","0.8","0.0","7.08","0.8","5.66","0.0","0.0","0.0","0.0","79.75","112.06","502.92","251.46","423.17","390.86","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","11322.0","0.1","0.8","0.0","6.92","0.8","5.54","0.0","0.0","0.0","0.0","85.29","112.06","502.92","251.46","417.63","390.86","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","11322.0","0.1","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","90.89","112.06","502.92","251.46","412.03","390.86","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","11322.0","0.1","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","94.77","112.06","502.92","251.46","408.15","390.86","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","11322.0","0.1","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","99.43","112.06","502.92","251.46","403.49","390.86","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","11322.0","0.1","0.8","0.0","4.52","0.8","3.62","0.0","0.0","0.0","0.0","103.05","112.06","502.92","251.46","399.87","390.86","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","11322.0","0.1","0.8","0.0","6.88","0.8","5.5","0.0","0.0","0.0","0.0","108.55","112.06","502.92","251.46","394.37","390.86","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","11322.0","0.1","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","0.0","112.06","502.92","251.46","502.92","390.86","113.53","","","","","","","","",""
"2015.0","8.0","9.0","221.0","11322.0","0.1","0.8","0.0","6.69","0.8","5.35","0.0","0.0","0.0","0.0","5.35","112.06","502.92","251.46","497.57","390.86","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","11322.0","0.1","0.8","0.0","6.74","0.8","5.39","0.0","0.0","0.0","0.0","10.74","112.06","502.92","251.46","492.18","390.86","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","11322.0","0.1","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","16.01","112.06","502.92","251.46","486.91","390.86","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","11322.0","0.1","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","21.18","112.06","502.92","251.46","481.74","390.86","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","11322.0","0.1","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","26.48","112.06","502.92","251.46","476.44","390.86","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","11322.0","0.1","0.8","0.0","6.2","0.8","4.96","0.0","0.0","0.0","0.0","31.44","112.06","502.92","251.46","471.48","390.86","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","11322.0","0.1","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","36.65","112.06","502.92","251.46","466.27","390.86","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","11322.0","0.1","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","42.07","112.06","502.92","251.46","460.85","390.86","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","11322.0","0.09","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","47.87","112.06","502.92","251.46","455.05","390.86","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","11322.0","0.09","0.8","0.0","7.05","0.8","5.64","0.0","0.0","0.0","0.0","53.51","112.06","502.92","251.46","449.41","390.86","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","11322.0","0.09","0.8","0.0","6.44","0.8","5.15","0.0","0.0","0.0","0.0","58.66","112.06","502.92","251.46","444.26","390.86","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","11322.0","0.09","0.8","0.0","5.71","0.8","4.57","0.0","0.0","0.0","0.0","63.23","112.06","502.92","251.46","439.69","390.86","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","11322.0","0.09","0.8","0.0","5.79","0.8","4.63","0.0","0.0","0.0","0.0","67.86","112.06","502.92","251.46","435.06","390.86","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","11322.0","0.09","0.8","0.0","5.86","0.8","4.69","0.0","0.0","0.0","0.0","72.55","112.06","502.92","251.46","430.37","390.86","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","11322.0","0.09","0.8","0.0","5.93","0.8","4.74","0.0","0.0","0.0","0.0","77.3","112.06","502.92","251.46","425.62","390.86","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","11322.0","0.09","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","82.42","112.06","502.92","251.46","420.5","390.86","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","11322.0","0.09","0.8","0.0","6.7","0.8","5.36","0.0","0.0","0.0","0.0","87.78","112.06","502.92","251.46","415.14","390.86","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","11322.0","0.09","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","93.22","112.06","502.92","251.46","409.7","390.86","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","11322.0","0.09","0.8","0.0","6.81","0.8","5.45","0.0","0.0","0.0","0.0","98.66","112.06","502.92","251.46","404.26","390.86","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","11322.0","0.09","0.8","0.0","6.87","0.8","5.5","0.0","0.0","0.0","0.0","104.16","112.06","502.92","251.46","398.76","390.86","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","11322.0","0.09","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","108.51","112.06","502.92","251.46","394.41","390.86","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","11322.0","0.09","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","0.0","112.06","502.92","251.46","502.92","390.86","112.96","","","","","","","","",""
"2015.0","8.0","31.0","243.0","11322.0","0.09","0.8","0.0","5.76","0.8","4.61","0.0","0.0","0.0","0.0","4.61","112.06","502.92","251.46","498.31","390.86","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","11322.0","0.09","0.8","0.0","5.9","0.8","4.72","0.0","0.0","0.0","0.0","9.33","112.06","502.92","251.46","493.59","390.86","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","11322.0","0.09","0.8","0.0","5.77","0.8","4.62","0.0","0.0","0.0","0.0","13.94","112.06","502.92","251.46","488.98","390.86","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","11322.0","0.09","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","18.14","112.06","502.92","251.46","484.78","390.86","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","11322.0","0.09","0.8","0.0","5.36","0.8","4.29","0.0","0.0","0.0","0.0","22.43","112.06","502.92","251.46","480.49","390.86","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","11322.0","0.09","0.8","0.0","5.84","0.8","4.67","0.0","0.0","0.0","0.0","27.1","112.06","502.92","251.46","475.82","390.86","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","11322.0","0.09","0.8","0.0","5.27","0.8","4.22","0.0","0.0","0.0","0.0","31.32","112.06","502.92","251.46","471.6","390.86","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","11322.0","0.09","0.8","0.0","5.59","0.8","4.47","0.0","0.0","0.0","0.0","35.79","112.06","502.92","251.46","467.13","390.86","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","11322.0","0.09","0.8","0.0","5.46","0.8","4.37","0.0","0.0","0.0","0.0","40.16","112.06","502.92","251.46","462.76","390.86","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","11322.0","0.09","0.8","0.0","6.23","0.8","4.98","0.0","0.0","0.0","0.0","45.14","112.06","502.92","251.46","457.78","390.86","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","11322.0","0.09","0.8","0.0","6.64","0.8","5.31","0.0","0.0","0.0","0.0","50.46","112.06","502.92","251.46","452.46","390.86","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","11322.0","0.09","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","55.53","112.06","502.92","251.46","447.39","390.86","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","11322.0","0.09","0.8","0.0","4.82","0.8","3.86","0.0","0.0","0.0","0.0","59.38","112.06","502.92","251.46","443.54","390.86","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","11322.0","0.09","0.8","0.0","5.41","0.8","4.33","0.0","0.0","0.0","0.0","63.71","112.06","502.92","251.46","439.21","390.86","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","11322.0","0.09","0.8","0.0","4.19","0.8","3.35","0.0","0.0","0.0","0.0","67.06","112.06","502.92","251.46","435.86","390.86","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","11322.0","0.09","0.8","0.0","4.58","0.8","3.66","0.0","0.0","0.0","0.0","70.73","112.06","502.92","251.46","432.19","390.86","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","11322.0","0.09","0.8","0.0","3.32","0.8","2.66","0.0","0.0","0.0","0.0","73.38","112.06","502.92","251.46","429.54","390.86","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","11322.0","0.09","0.8","0.0","3.93","0.8","3.14","0.23","0.23","0.0","0.0","76.3","112.06","502.92","251.46","426.62","390.86","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","11322.0","0.08","0.8","0.0","4.53","0.8","3.62","0.0","0.0","0.0","0.0","79.92","112.06","502.92","251.46","423.0","390.86","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","11322.0","0.08","0.8","0.0","4.78","0.8","3.82","0.0","0.0","0.0","0.0","83.75","112.06","502.92","251.46","419.17","390.86","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","11322.0","0.08","0.79","0.0","4.79","0.79","3.79","0.0","0.0","0.0","0.0","87.54","112.06","502.92","251.46","415.38","390.86","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","11322.0","0.08","0.78","0.0","5.6","0.78","4.39","0.0","0.0","0.0","0.0","91.93","125.73","502.92","251.46","410.99","377.19","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","11322.0","0.08","0.78","0.0","5.83","0.78","4.53","0.0","0.0","0.0","0.0","96.46","125.73","502.92","251.46","406.46","377.19","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","11322.0","0.08","0.77","0.0","4.62","0.77","3.55","0.0","0.0","0.0","0.0","100.01","125.73","502.92","251.46","402.91","377.19","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","11322.0","0.08","0.76","0.0","4.63","0.76","3.52","0.0","0.0","0.0","0.0","103.53","125.73","502.92","251.46","399.39","377.19","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","11322.0","0.08","0.75","0.0","5.62","0.75","4.23","0.0","0.0","0.0","0.0","107.76","125.73","502.92","251.46","395.16","377.19","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","11322.0","0.08","0.74","0.0","5.39","0.74","4.01","0.0","0.0","0.0","0.0","111.77","125.73","502.92","251.46","391.15","377.19","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","11322.0","0.08","0.74","0.0","4.08","0.74","3.01","0.0","0.0","0.0","0.0","114.78","125.73","502.92","251.46","388.14","377.19","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","11322.0","0.08","0.73","0.0","4.73","0.73","3.45","0.0","0.0","0.0","0.0","118.23","125.73","502.92","251.46","384.69","377.19","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","11322.0","0.08","0.72","0.0","4.31","0.72","3.11","0.0","0.0","0.0","0.0","121.33","125.73","502.92","251.46","381.59","377.19","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","11322.0","0.08","0.71","0.0","2.04","0.71","1.45","0.0","0.0","0.0","0.0","122.79","125.73","502.92","251.46","380.13","377.19","0.0","","","","","","","","",""
