" Daily soil water balance output for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","1678.0","0.14","0.8","0.0","7.89","0.8","6.31","0.0","0.0","0.0","0.0","0.0","107.74","536.45","268.22","536.45","428.7","107.96","","","","","","","","",""
"2015.0","6.0","26.0","177.0","1678.0","0.14","0.8","0.0","8.25","0.8","6.6","0.0","0.0","0.0","0.0","6.6","107.74","536.45","268.22","529.85","428.7","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","1678.0","0.13","0.8","0.0","6.73","0.8","5.38","0.0","0.0","0.0","0.0","11.98","107.74","536.45","268.22","524.46","428.7","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","1678.0","0.13","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","17.7","107.74","536.45","268.22","518.74","428.7","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","1678.0","0.13","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","23.66","107.74","536.45","268.22","512.78","428.7","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","1678.0","0.13","0.8","0.0","7.57","0.8","6.06","0.0","0.0","0.0","0.0","29.72","107.74","536.45","268.22","506.73","428.7","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","1678.0","0.13","0.8","0.0","7.43","0.8","5.94","0.0","0.0","0.0","0.0","35.66","107.74","536.45","268.22","500.78","428.7","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","1678.0","0.13","0.8","0.0","6.96","0.8","5.57","0.0","0.0","0.0","0.0","41.23","107.74","536.45","268.22","495.22","428.7","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","1678.0","0.13","0.8","0.0","7.37","0.8","5.9","0.0","0.0","0.0","0.0","47.13","107.74","536.45","268.22","489.32","428.7","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","1678.0","0.13","0.8","0.0","7.87","0.8","6.3","0.0","0.0","0.0","0.0","53.42","107.74","536.45","268.22","483.02","428.7","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","1678.0","0.12","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","59.14","107.74","536.45","268.22","477.3","428.7","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","1678.0","0.12","0.8","0.0","7.23","0.8","5.78","0.0","0.0","0.0","0.0","64.93","107.74","536.45","268.22","471.52","428.7","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","1678.0","0.12","0.8","0.0","6.75","0.8","5.4","0.0","0.0","0.0","0.0","70.33","107.74","536.45","268.22","466.12","428.7","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","1678.0","0.12","0.8","0.0","6.26","0.8","5.01","0.0","0.0","0.0","0.0","75.34","107.74","536.45","268.22","461.11","428.7","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","1678.0","0.12","0.8","0.0","4.34","0.8","3.47","0.0","0.0","0.0","0.0","78.81","107.74","536.45","268.22","457.64","428.7","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","1678.0","0.12","0.8","0.0","5.16","0.8","4.13","0.0","0.0","0.0","0.0","82.94","107.74","536.45","268.22","453.51","428.7","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","1678.0","0.12","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","88.01","107.74","536.45","268.22","448.44","428.7","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","1678.0","0.12","0.8","0.0","6.49","0.8","5.19","0.0","0.0","0.0","0.0","93.2","107.74","536.45","268.22","443.25","428.7","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","1678.0","0.12","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","98.48","107.74","536.45","268.22","437.97","428.7","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","1678.0","0.12","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","103.62","107.74","536.45","268.22","432.83","428.7","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","1678.0","0.12","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","0.0","107.74","536.45","268.22","536.45","428.7","108.91","","","","","","","","",""
"2015.0","7.0","16.0","197.0","1678.0","0.12","0.8","0.0","7.07","0.8","5.66","0.0","0.0","0.0","0.0","5.66","107.74","536.45","268.22","530.79","428.7","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","1678.0","0.11","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","11.46","107.74","536.45","268.22","524.99","428.7","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","1678.0","0.11","0.8","0.0","7.24","0.8","5.79","0.0","0.0","0.0","0.0","17.25","107.74","536.45","268.22","519.2","428.7","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","1678.0","0.11","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","22.69","107.74","536.45","268.22","513.76","428.7","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","1678.0","0.11","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","28.52","107.74","536.45","268.22","507.93","428.7","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","1678.0","0.11","0.8","0.0","7.21","0.8","5.77","0.0","0.0","0.0","0.0","34.29","107.74","536.45","268.22","502.16","428.7","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","1678.0","0.11","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","39.73","107.74","536.45","268.22","496.72","428.7","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","1678.0","0.11","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","44.61","107.74","536.45","268.22","491.84","428.7","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","1678.0","0.11","0.8","0.0","6.35","0.8","5.08","0.0","0.0","0.0","0.0","49.69","107.74","536.45","268.22","486.76","428.7","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","1678.0","0.11","0.8","0.0","6.41","0.8","5.13","0.0","0.0","0.0","0.0","54.82","107.74","536.45","268.22","481.63","428.7","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","1678.0","0.11","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","59.95","107.74","536.45","268.22","476.5","428.7","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","1678.0","0.11","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","65.86","107.74","536.45","268.22","470.58","428.7","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","1678.0","0.11","0.8","0.0","7.74","0.8","6.19","0.0","0.0","0.0","0.0","72.06","107.74","536.45","268.22","464.39","428.7","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","1678.0","0.11","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","77.99","107.74","536.45","268.22","458.46","428.7","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","1678.0","0.11","0.8","0.0","7.73","0.8","6.18","0.0","0.0","0.0","0.0","84.18","107.74","536.45","268.22","452.27","428.7","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","1678.0","0.1","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","89.48","107.74","536.45","268.22","446.97","428.7","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","1678.0","0.1","0.8","0.0","6.93","0.8","5.54","0.0","0.0","0.0","0.0","95.02","107.74","536.45","268.22","441.42","428.7","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","1678.0","0.1","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","100.45","107.74","536.45","268.22","436.0","428.7","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","1678.0","0.1","0.8","0.0","6.81","0.8","5.45","0.0","0.0","0.0","0.0","105.9","107.74","536.45","268.22","430.55","428.7","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","1678.0","0.1","0.8","0.0","4.69","0.8","3.75","0.0","0.0","0.0","0.0","0.0","107.74","536.45","268.22","536.45","428.7","109.65","","","","","","","","",""
"2015.0","8.0","5.0","217.0","1678.0","0.1","0.8","0.0","5.76","0.8","4.61","0.0","0.0","0.0","0.0","4.61","107.74","536.45","268.22","531.84","428.7","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","1678.0","0.1","0.8","0.0","4.25","0.8","3.4","0.0","0.0","0.0","0.0","8.01","107.74","536.45","268.22","528.44","428.7","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","1678.0","0.1","0.8","0.0","6.71","0.8","5.37","0.0","0.0","0.0","0.0","13.38","107.74","536.45","268.22","523.07","428.7","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","1678.0","0.1","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","18.14","107.74","536.45","268.22","518.3","428.7","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","1678.0","0.1","0.8","0.0","6.56","0.8","5.25","0.0","0.0","0.0","0.0","23.39","107.74","536.45","268.22","513.06","428.7","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","1678.0","0.1","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","28.66","107.74","536.45","268.22","507.79","428.7","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","1678.0","0.1","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","33.78","107.74","536.45","268.22","502.67","428.7","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","1678.0","0.1","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","38.84","107.74","536.45","268.22","497.61","428.7","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","1678.0","0.1","0.8","0.0","6.45","0.8","5.16","0.0","0.0","0.0","0.0","44.0","107.74","536.45","268.22","492.45","428.7","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","1678.0","0.1","0.8","0.0","6.13","0.8","4.9","0.0","0.0","0.0","0.0","48.9","107.74","536.45","268.22","487.54","428.7","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","1678.0","0.1","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","54.04","107.74","536.45","268.22","482.41","428.7","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","1678.0","0.1","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","59.37","107.74","536.45","268.22","477.08","428.7","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","1678.0","0.1","0.8","0.0","7.09","0.8","5.67","0.0","0.0","0.0","0.0","65.04","107.74","536.45","268.22","471.41","428.7","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","1678.0","0.1","0.8","0.0","6.79","0.8","5.43","0.0","0.0","0.0","0.0","70.47","107.74","536.45","268.22","465.98","428.7","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","1678.0","0.1","0.8","0.0","6.18","0.8","4.94","0.0","0.0","0.0","0.0","75.42","107.74","536.45","268.22","461.03","428.7","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","1678.0","0.1","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","79.83","107.74","536.45","268.22","456.62","428.7","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","1678.0","0.09","0.8","0.0","5.62","0.8","4.5","0.0","0.0","0.0","0.0","84.33","107.74","536.45","268.22","452.12","428.7","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","1678.0","0.09","0.8","0.0","5.69","0.8","4.55","0.0","0.0","0.0","0.0","88.88","107.74","536.45","268.22","447.57","428.7","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","1678.0","0.09","0.8","0.0","5.75","0.8","4.6","0.0","0.0","0.0","0.0","93.48","107.74","536.45","268.22","442.97","428.7","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","1678.0","0.09","0.8","0.0","6.23","0.8","4.98","0.0","0.0","0.0","0.0","98.46","107.74","536.45","268.22","437.98","428.7","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","1678.0","0.09","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","103.67","107.74","536.45","268.22","432.78","428.7","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","1678.0","0.09","0.8","0.0","6.64","0.8","5.31","0.0","0.0","0.0","0.0","0.0","107.74","536.45","268.22","536.45","428.7","108.98","","","","","","","","",""
"2015.0","8.0","27.0","239.0","1678.0","0.09","0.8","0.0","6.82","0.8","5.46","0.0","0.0","0.0","0.0","5.46","107.74","536.45","268.22","530.99","428.7","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","1678.0","0.09","0.8","0.0","6.79","0.8","5.43","0.0","0.0","0.0","0.0","10.89","107.74","536.45","268.22","525.56","428.7","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","1678.0","0.09","0.8","0.0","5.21","0.8","4.17","0.0","0.0","0.0","0.0","15.06","107.74","536.45","268.22","521.39","428.7","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","1678.0","0.09","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","19.49","107.74","536.45","268.22","516.96","428.7","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","1678.0","0.09","0.8","0.0","5.7","0.8","4.56","0.0","0.0","0.0","0.0","24.05","107.74","536.45","268.22","512.4","428.7","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","1678.0","0.09","0.8","0.0","5.68","0.8","4.54","0.0","0.0","0.0","0.0","28.59","107.74","536.45","268.22","507.86","428.7","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","1678.0","0.09","0.8","0.0","5.54","0.8","4.43","0.0","0.0","0.0","0.0","33.02","107.74","536.45","268.22","503.42","428.7","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","1678.0","0.09","0.8","0.0","5.19","0.8","4.15","0.0","0.0","0.0","0.0","37.18","107.74","536.45","268.22","499.27","428.7","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","1678.0","0.09","0.8","0.0","5.28","0.8","4.22","0.0","0.0","0.0","0.0","41.4","107.74","536.45","268.22","495.05","428.7","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","1678.0","0.09","0.8","0.0","5.7","0.8","4.56","0.0","0.0","0.0","0.0","45.96","107.74","536.45","268.22","490.49","428.7","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","1678.0","0.09","0.8","0.0","5.21","0.8","4.17","0.0","0.0","0.0","0.0","50.13","107.74","536.45","268.22","486.32","428.7","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","1678.0","0.09","0.8","0.0","5.47","0.8","4.38","0.0","0.0","0.0","0.0","54.5","107.74","536.45","268.22","481.94","428.7","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","1678.0","0.09","0.8","0.0","5.43","0.8","4.34","0.0","0.0","0.0","0.0","58.85","107.74","536.45","268.22","477.6","428.7","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","1678.0","0.09","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","63.76","107.74","536.45","268.22","472.69","428.7","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","1678.0","0.09","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","68.97","107.74","536.45","268.22","467.48","428.7","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","1678.0","0.09","0.8","0.0","6.2","0.8","4.96","0.0","0.0","0.0","0.0","73.93","107.74","536.45","268.22","462.52","428.7","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","1678.0","0.09","0.8","0.0","4.62","0.8","3.7","0.0","0.0","0.0","0.0","77.62","107.74","536.45","268.22","458.82","428.7","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","1678.0","0.09","0.8","0.0","5.3","0.8","4.24","0.0","0.0","0.0","0.0","81.86","107.74","536.45","268.22","454.58","428.7","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","1678.0","0.09","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","85.04","107.74","536.45","268.22","451.41","428.7","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","1678.0","0.09","0.8","0.0","4.59","0.8","3.67","0.0","0.0","0.0","0.0","88.71","107.74","536.45","268.22","447.74","428.7","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","1678.0","0.09","0.8","0.0","3.31","0.8","2.65","0.0","0.0","0.0","0.0","91.36","107.74","536.45","268.22","445.09","428.7","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","1678.0","0.09","0.8","0.0","3.92","0.8","3.14","0.05","0.05","0.0","0.0","94.45","107.74","536.45","268.22","442.0","428.7","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","1678.0","0.09","0.8","0.0","4.51","0.8","3.61","0.0","0.0","0.0","0.0","98.05","134.11","536.45","268.22","438.39","402.34","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","1678.0","0.09","0.8","0.0","4.71","0.8","3.77","0.0","0.0","0.0","0.0","101.82","134.11","536.45","268.22","434.63","402.34","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","1678.0","0.09","0.79","0.0","4.75","0.79","3.76","0.0","0.0","0.0","0.0","105.58","134.11","536.45","268.22","430.86","402.34","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","1678.0","0.09","0.78","0.0","5.54","0.78","4.34","0.0","0.0","0.0","0.0","109.93","134.11","536.45","268.22","426.52","402.34","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","1678.0","0.09","0.78","0.0","5.48","0.78","4.25","0.0","0.0","0.0","0.0","114.18","134.11","536.45","268.22","422.26","402.34","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","1678.0","0.09","0.77","0.0","4.54","0.77","3.49","0.0","0.0","0.0","0.0","117.67","134.11","536.45","268.22","418.78","402.34","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","1678.0","0.09","0.76","0.0","4.54","0.76","3.45","0.0","0.0","0.0","0.0","121.12","134.11","536.45","268.22","415.32","402.34","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","1678.0","0.08","0.75","0.0","5.54","0.75","4.17","0.0","0.0","0.0","0.0","125.29","134.11","536.45","268.22","411.15","402.34","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","1678.0","0.08","0.74","0.0","5.3","0.74","3.95","0.0","0.0","0.0","0.0","129.24","134.11","536.45","268.22","407.21","402.34","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","1678.0","0.08","0.74","0.0","3.95","0.74","2.91","0.0","0.0","0.0","0.0","132.15","134.11","536.45","268.22","404.3","402.34","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","1678.0","0.08","0.73","0.0","4.53","0.73","3.3","0.0","0.0","0.0","0.0","0.0","134.11","536.45","268.22","536.45","402.34","135.45","","","","","","","","",""
"2015.0","9.0","29.0","272.0","1678.0","0.08","0.72","0.0","4.09","0.72","2.95","0.0","0.0","0.0","0.0","2.95","134.11","536.45","268.22","533.5","402.34","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","1678.0","0.08","0.71","0.0","1.96","0.71","1.4","0.0","0.0","0.0","0.0","4.35","134.11","536.45","268.22","532.1","402.34","0.0","","","","","","","","",""
