" Daily soil water balance output for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","505.0","0.13","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","55.37","103.8","492.27","246.14","436.91","388.47","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","505.0","0.13","1.05","0.0","7.3","1.05","7.66","0.0","0.0","0.0","0.0","63.03","103.8","492.27","246.14","429.24","388.47","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","505.0","0.13","1.05","0.0","7.58","1.05","7.96","0.0","0.0","0.0","0.0","70.99","103.8","492.27","246.14","421.28","388.47","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","505.0","0.13","1.05","0.0","7.69","1.05","8.07","0.0","0.0","0.0","0.0","79.06","103.8","492.27","246.14","413.21","388.47","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","505.0","0.13","1.05","0.0","7.56","1.05","7.94","0.0","0.0","0.0","0.0","87.0","103.8","492.27","246.14","405.27","388.47","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","505.0","0.13","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","94.6","103.8","492.27","246.14","397.67","388.47","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","505.0","0.13","1.05","0.0","7.52","1.05","7.9","0.0","0.0","0.0","0.0","102.5","103.8","492.27","246.14","389.77","388.47","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","505.0","0.12","1.05","0.0","8.01","1.05","8.41","0.0","0.0","0.0","0.0","0.0","103.8","492.27","246.14","492.27","388.47","110.91","","","","","","","","",""
"2015.0","7.0","5.0","186.0","505.0","0.12","1.05","0.0","7.28","1.05","7.64","0.0","0.0","0.0","0.0","7.64","103.8","492.27","246.14","484.63","388.47","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","505.0","0.12","1.05","0.0","7.4","1.05","7.77","0.0","0.0","0.0","0.0","15.41","103.8","492.27","246.14","476.86","388.47","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","505.0","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","22.69","103.8","492.27","246.14","469.58","388.47","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","505.0","0.12","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","29.36","103.8","492.27","246.14","462.92","388.47","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","505.0","0.12","1.05","0.0","4.42","1.05","4.64","0.0","0.0","0.0","0.0","34.0","103.8","492.27","246.14","458.28","388.47","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","505.0","0.12","1.05","0.0","5.2","1.05","5.46","0.0","0.0","0.0","0.0","39.46","103.8","492.27","246.14","452.82","388.47","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","505.0","0.12","1.05","0.0","6.4","1.05","6.72","0.0","0.0","0.0","0.0","46.18","103.8","492.27","246.14","446.1","388.47","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","505.0","0.12","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","52.98","103.8","492.27","246.14","439.29","388.47","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","505.0","0.12","1.05","0.0","6.7","1.05","7.03","0.0","0.0","0.0","0.0","60.02","103.8","492.27","246.14","432.26","388.47","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","505.0","0.12","1.05","0.0","6.5","1.05","6.82","0.0","0.0","0.0","0.0","66.84","103.8","492.27","246.14","425.43","388.47","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","505.0","0.12","1.05","0.0","6.67","1.05","7.0","0.0","0.0","0.0","0.0","73.85","103.8","492.27","246.14","418.43","388.47","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","505.0","0.11","1.05","0.0","7.18","1.05","7.54","0.0","0.0","0.0","0.0","81.39","103.8","492.27","246.14","410.89","388.47","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","505.0","0.11","1.05","0.0","7.37","1.05","7.74","0.0","0.0","0.0","0.0","89.12","103.8","492.27","246.14","403.15","388.47","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","505.0","0.11","1.05","0.0","7.3","1.05","7.66","0.0","0.0","0.0","0.0","96.79","103.8","492.27","246.14","395.49","388.47","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","505.0","0.11","1.05","0.0","6.82","1.05","7.16","0.0","0.0","0.0","0.0","0.0","103.8","492.27","246.14","492.27","388.47","103.95","","","","","","","","",""
"2015.0","7.0","20.0","201.0","505.0","0.11","1.05","0.0","7.38","1.05","7.75","0.0","0.0","0.0","0.0","7.75","103.8","492.27","246.14","484.53","388.47","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","505.0","0.11","1.05","0.0","7.36","1.05","7.73","0.0","0.0","0.0","0.0","15.48","103.8","492.27","246.14","476.8","388.47","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","505.0","0.11","1.05","0.0","6.92","1.05","7.27","0.0","0.0","0.0","0.0","22.74","103.8","492.27","246.14","469.53","388.47","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","505.0","0.11","1.05","0.0","6.25","1.05","6.56","0.0","0.0","0.0","0.0","29.31","103.8","492.27","246.14","462.97","388.47","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","505.0","0.11","1.05","0.0","6.45","1.05","6.77","0.0","0.0","0.0","0.0","36.08","103.8","492.27","246.14","456.2","388.47","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","505.0","0.11","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","42.96","103.8","492.27","246.14","449.32","388.47","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","505.0","0.11","1.05","0.0","6.49","1.05","6.81","0.0","0.0","0.0","0.0","49.77","103.8","492.27","246.14","442.5","388.47","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","505.0","0.11","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","57.61","103.8","492.27","246.14","434.66","388.47","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","505.0","0.11","1.05","0.0","7.77","1.05","8.16","0.0","0.0","0.0","0.0","65.77","103.8","492.27","246.14","426.5","388.47","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","505.0","0.1","1.05","0.0","7.5","1.05","7.87","0.0","0.0","0.0","0.0","73.65","103.8","492.27","246.14","418.63","388.47","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","505.0","0.1","1.05","0.0","7.84","1.05","8.23","0.0","0.0","0.0","0.0","81.88","103.8","492.27","246.14","410.4","388.47","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","505.0","0.1","1.05","0.0","6.75","1.05","7.09","0.0","0.0","0.0","0.0","88.97","103.8","492.27","246.14","403.31","388.47","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","505.0","0.1","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","96.36","103.8","492.27","246.14","395.92","388.47","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","505.0","0.1","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","103.64","103.8","492.27","246.14","388.64","388.47","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","505.0","0.1","1.05","0.0","6.91","1.05","7.26","0.0","0.0","0.0","0.0","0.0","103.8","492.27","246.14","492.27","388.47","110.89","","","","","","","","",""
"2015.0","8.0","4.0","216.0","505.0","0.1","1.05","0.0","5.01","1.05","5.26","0.0","0.0","0.0","0.0","5.26","103.8","492.27","246.14","487.01","388.47","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","505.0","0.1","1.05","0.0","5.82","1.05","6.11","0.0","0.0","0.0","0.0","11.37","103.8","492.27","246.14","480.9","388.47","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","505.0","0.1","1.05","0.0","4.19","1.05","4.4","0.0","0.0","0.0","0.0","15.77","103.8","492.27","246.14","476.5","388.47","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","505.0","0.1","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","22.89","103.8","492.27","246.14","469.38","388.47","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","505.0","0.1","1.05","0.0","6.09","1.05","6.39","0.0","0.0","0.0","0.0","29.28","103.8","492.27","246.14","462.99","388.47","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","505.0","0.1","1.05","0.0","6.64","1.05","6.97","0.0","0.0","0.0","0.0","36.26","103.8","492.27","246.14","456.02","388.47","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","505.0","0.1","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","43.25","103.8","492.27","246.14","449.03","388.47","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","505.0","0.1","1.05","0.0","6.52","1.05","6.85","0.0","0.0","0.0","0.0","50.1","103.8","492.27","246.14","442.18","388.47","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","505.0","0.1","1.05","0.0","6.43","1.05","6.75","0.0","0.0","0.0","0.0","56.85","103.8","492.27","246.14","435.43","388.47","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","505.0","0.1","1.05","0.0","6.58","1.05","6.91","0.0","0.0","0.0","0.0","63.76","103.8","492.27","246.14","428.52","388.47","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","505.0","0.1","1.05","0.0","6.27","1.05","6.58","0.0","0.0","0.0","0.0","70.34","103.8","492.27","246.14","421.94","388.47","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","505.0","0.1","1.05","0.0","6.53","1.05","6.86","0.0","0.0","0.0","0.0","77.2","103.8","492.27","246.14","415.08","388.47","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","505.0","0.1","1.05","0.0","6.74","1.05","7.08","0.0","0.0","0.0","0.0","84.27","103.8","492.27","246.14","408.0","388.47","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","505.0","0.1","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","91.84","103.8","492.27","246.14","400.43","388.47","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","505.0","0.09","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","99.13","103.8","492.27","246.14","393.14","388.47","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","505.0","0.09","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","0.0","103.8","492.27","246.14","492.27","388.47","105.78","","","","","","","","",""
"2015.0","8.0","20.0","232.0","505.0","0.09","1.05","0.0","5.68","1.05","5.96","0.0","0.0","0.0","0.0","5.96","103.8","492.27","246.14","486.31","388.47","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","505.0","0.09","1.05","0.0","5.73","1.05","6.02","0.0","0.0","0.0","0.0","11.98","103.8","492.27","246.14","480.29","388.47","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","505.0","0.09","1.05","0.0","5.78","1.05","6.07","0.0","0.0","0.0","0.0","18.05","103.8","492.27","246.14","474.23","388.47","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","505.0","0.09","1.05","0.0","5.88","1.05","6.17","0.0","0.0","0.0","0.0","24.22","103.8","492.27","246.14","468.05","388.47","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","505.0","0.09","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","30.89","103.8","492.27","246.14","461.38","388.47","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","505.0","0.09","1.05","0.0","6.65","1.05","6.98","0.0","0.0","0.0","0.0","37.87","103.8","492.27","246.14","454.4","388.47","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","505.0","0.09","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","44.99","103.8","492.27","246.14","447.28","388.47","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","505.0","0.09","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","52.27","103.8","492.27","246.14","440.01","388.47","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","505.0","0.09","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","59.48","103.8","492.27","246.14","432.79","388.47","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","505.0","0.09","1.05","0.0","5.34","1.05","5.61","0.0","0.0","0.0","0.0","65.09","103.8","492.27","246.14","427.19","388.47","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","505.0","0.09","1.05","0.0","5.64","1.05","5.92","0.0","0.0","0.0","0.0","71.01","103.8","492.27","246.14","421.26","388.47","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","505.0","0.09","1.05","0.0","5.74","1.05","6.03","0.0","0.0","0.0","0.0","77.04","103.8","492.27","246.14","415.24","388.47","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","505.0","0.09","1.05","0.0","5.75","1.05","6.04","0.0","0.0","0.0","0.0","83.08","103.8","492.27","246.14","409.2","388.47","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","505.0","0.09","1.05","0.0","5.63","1.05","5.91","0.0","0.0","0.0","0.0","88.99","103.8","492.27","246.14","403.29","388.47","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","505.0","0.09","1.05","0.0","5.25","1.05","5.51","0.0","0.0","0.0","0.0","94.5","103.8","492.27","246.14","397.77","388.47","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","505.0","0.09","1.05","0.0","5.32","1.05","5.59","0.0","0.0","0.0","0.0","100.09","103.8","492.27","246.14","392.19","388.47","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","505.0","0.09","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","0.0","103.8","492.27","246.14","492.27","388.47","106.08","","","","","","","","",""
"2015.0","9.0","6.0","249.0","505.0","0.09","1.05","0.0","5.22","1.05","5.48","0.0","0.0","0.0","0.0","5.48","103.8","492.27","246.14","486.79","388.47","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","505.0","0.09","1.05","0.0","5.51","1.05","5.79","0.0","0.0","0.0","0.0","11.27","103.8","492.27","246.14","481.01","388.47","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","505.0","0.09","1.05","0.0","5.49","1.05","5.76","0.0","0.0","0.0","0.0","17.03","103.8","492.27","246.14","475.24","388.47","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","505.0","0.09","1.05","0.0","6.25","1.05","6.53","0.0","0.0","0.0","0.0","23.56","103.8","492.27","246.14","468.71","388.47","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","505.0","0.09","1.04","0.0","6.63","1.04","6.9","0.0","0.0","0.0","0.0","30.46","103.8","492.27","246.14","461.81","388.47","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","505.0","0.09","1.04","0.0","6.3","1.04","6.53","0.0","0.0","0.0","0.0","36.99","103.8","492.27","246.14","455.29","388.47","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","505.0","0.09","1.03","0.0","4.61","1.03","4.75","0.0","0.0","0.0","0.0","41.74","103.8","492.27","246.14","450.53","388.47","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","505.0","0.09","1.03","0.0","5.3","1.03","5.44","0.0","0.0","0.0","0.0","47.18","103.8","492.27","246.14","445.09","388.47","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","505.0","0.09","1.02","0.0","4.07","1.02","4.16","0.0","0.0","0.0","0.0","51.34","103.8","492.27","246.14","440.93","388.47","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","505.0","0.09","1.02","0.0","4.66","1.02","4.74","0.0","0.0","0.0","0.0","56.08","103.8","492.27","246.14","436.2","388.47","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","505.0","0.09","1.01","0.0","3.58","1.01","3.62","0.0","0.0","0.0","0.0","59.7","103.8","492.27","246.14","432.57","388.47","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","505.0","0.09","1.01","0.0","3.96","1.01","3.99","0.0","0.0","0.0","0.0","63.69","103.8","492.27","246.14","428.58","388.47","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","505.0","0.09","1.0","0.0","4.57","1.0","4.58","0.0","0.0","0.0","0.0","68.28","103.8","492.27","246.14","424.0","388.47","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","505.0","0.09","1.0","0.0","4.73","1.0","4.72","0.0","0.0","0.0","0.0","73.0","103.8","492.27","246.14","419.28","388.47","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","505.0","0.09","0.99","0.0","4.79","0.99","4.76","0.0","0.0","0.0","0.0","77.76","103.8","492.27","246.14","414.52","388.47","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","505.0","0.08","0.99","0.0","5.59","0.99","5.53","0.0","0.0","0.0","0.0","83.28","103.8","492.27","246.14","408.99","388.47","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","505.0","0.08","0.98","0.0","5.63","0.98","5.54","0.0","0.0","0.0","0.0","88.82","103.8","492.27","246.14","403.45","388.47","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","505.0","0.08","0.98","0.0","4.66","0.98","4.56","0.0","0.0","0.0","0.0","93.39","103.8","492.27","246.14","398.89","388.47","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","505.0","0.08","0.97","0.0","4.62","0.97","4.5","0.0","0.0","0.0","0.0","97.89","103.8","492.27","246.14","394.39","388.47","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","505.0","0.08","0.97","0.0","5.64","0.97","5.47","0.0","0.0","0.0","0.0","103.36","123.07","492.27","246.14","388.92","369.21","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","505.0","0.08","0.97","0.0","5.48","0.97","5.29","0.0","0.0","0.0","0.0","108.65","123.07","492.27","246.14","383.63","369.21","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","505.0","0.08","0.96","0.0","3.94","0.96","3.78","0.0","0.0","0.0","0.0","112.43","123.07","492.27","246.14","379.84","369.21","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","505.0","0.08","0.96","0.0","4.53","0.96","4.33","0.0","0.0","0.0","0.0","116.76","123.07","492.27","246.14","375.52","369.21","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","505.0","0.08","0.95","0.0","4.04","0.95","3.84","0.0","0.0","0.0","0.0","120.6","123.07","492.27","246.14","371.67","369.21","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","505.0","0.08","0.95","0.0","2.06","0.95","1.95","0.0","0.0","0.0","0.0","122.55","123.07","492.27","246.14","369.72","369.21","0.0","","","","","","","","",""
