" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","227.0","0.13","0.99","0.0","7.16","0.99","7.07","0.0","0.0","0.0","0.0","72.75","90.06","411.48","205.74","338.73","321.42","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","227.0","0.13","0.99","0.0","7.43","0.99","7.39","0.0","0.0","0.0","0.0","80.13","90.06","411.48","205.74","331.35","321.42","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","227.0","0.13","1.0","0.0","7.6","1.0","7.6","0.0","0.0","0.0","0.0","87.73","90.06","411.48","205.74","323.75","321.42","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","227.0","0.13","1.01","0.0","7.68","1.01","7.73","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","95.46","","","","","","","","",""
"2015.0","7.0","1.0","182.0","227.0","0.13","1.01","0.0","7.42","1.01","7.51","0.0","0.0","0.0","0.0","7.51","90.06","411.48","205.74","403.97","321.42","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","227.0","0.13","1.02","0.0","7.56","1.02","7.7","0.0","0.0","0.0","0.0","15.21","90.06","411.48","205.74","396.27","321.42","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","227.0","0.12","1.02","0.0","7.43","1.02","7.61","0.0","0.0","0.0","0.0","22.81","90.06","411.48","205.74","388.67","321.42","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","227.0","0.12","1.03","0.0","8.14","1.03","8.38","0.0","0.0","0.0","0.0","31.2","90.06","411.48","205.74","380.28","321.42","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","227.0","0.12","1.04","0.0","7.47","1.04","7.74","0.0","0.0","0.0","0.0","38.94","90.06","411.48","205.74","372.54","321.42","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","227.0","0.12","1.04","0.0","7.45","1.04","7.76","0.0","0.0","0.0","0.0","46.7","90.06","411.48","205.74","364.78","321.42","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","227.0","0.12","1.05","0.0","7.05","1.05","7.39","0.0","0.0","0.0","0.0","54.09","90.06","411.48","205.74","357.39","321.42","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","227.0","0.12","1.05","0.0","6.42","1.05","6.77","0.0","0.0","0.0","0.0","60.85","90.06","411.48","205.74","350.63","321.42","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","227.0","0.12","1.06","0.0","4.51","1.06","4.78","0.0","0.0","0.0","0.0","65.64","90.06","411.48","205.74","345.84","321.42","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","227.0","0.12","1.07","0.0","5.24","1.07","5.59","0.0","0.0","0.0","0.0","71.22","90.06","411.48","205.74","340.26","321.42","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","227.0","0.12","1.07","0.0","6.46","1.07","6.93","0.0","0.0","0.0","0.0","78.15","90.06","411.48","205.74","333.33","321.42","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","227.0","0.12","1.08","0.0","6.6","1.08","7.11","0.0","0.0","0.0","0.0","85.26","90.06","411.48","205.74","326.22","321.42","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","227.0","0.12","1.08","0.0","6.72","1.08","7.28","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","92.55","","","","","","","","",""
"2015.0","7.0","14.0","195.0","227.0","0.11","1.09","0.0","6.66","1.09","7.26","0.0","0.0","0.0","0.0","7.26","90.06","411.48","205.74","404.22","321.42","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","227.0","0.11","1.1","0.0","6.77","1.1","7.42","0.0","0.0","0.0","0.0","14.68","90.06","411.48","205.74","396.8","321.42","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","227.0","0.11","1.1","0.0","7.29","1.1","8.03","0.0","0.0","0.0","0.0","22.71","90.06","411.48","205.74","388.77","321.42","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","227.0","0.11","1.11","0.0","7.45","1.11","8.25","0.0","0.0","0.0","0.0","30.97","90.06","411.48","205.74","380.51","321.42","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","227.0","0.11","1.11","0.0","7.52","1.11","8.38","0.0","0.0","0.0","0.0","39.34","90.06","411.48","205.74","372.14","321.42","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","227.0","0.11","1.12","0.0","6.89","1.12","7.72","0.0","0.0","0.0","0.0","47.06","90.06","411.48","205.74","364.42","321.42","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","227.0","0.11","1.13","0.0","7.43","1.13","8.37","0.0","0.0","0.0","0.0","55.43","90.06","411.48","205.74","356.05","321.42","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","227.0","0.11","1.13","0.0","7.44","1.13","8.42","0.0","0.0","0.0","0.0","63.85","90.06","411.48","205.74","347.63","321.42","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","227.0","0.11","1.14","0.0","7.1","1.14","8.08","0.0","0.0","0.0","0.0","71.93","90.06","411.48","205.74","339.55","321.42","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","227.0","0.11","1.14","0.0","6.23","1.14","7.13","0.0","0.0","0.0","0.0","79.06","90.06","411.48","205.74","332.42","321.42","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","227.0","0.11","1.15","0.0","6.45","1.15","7.42","0.0","0.0","0.0","0.0","86.47","90.06","411.48","205.74","325.01","321.42","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","227.0","0.11","1.15","0.0","6.6","1.15","7.59","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","94.06","","","","","","","","",""
"2015.0","7.0","26.0","207.0","227.0","0.11","1.15","0.0","6.59","1.15","7.58","0.0","0.0","0.0","0.0","7.58","90.06","411.48","205.74","403.9","321.42","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","227.0","0.11","1.15","0.0","7.51","1.15","8.64","0.0","0.0","0.0","0.0","16.22","90.06","411.48","205.74","395.27","321.42","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","227.0","0.1","1.15","0.0","7.9","1.15","9.09","0.0","0.0","0.0","0.0","25.3","90.06","411.48","205.74","386.18","321.42","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","227.0","0.1","1.15","0.0","7.55","1.15","8.68","0.0","0.0","0.0","0.0","33.98","90.06","411.48","205.74","377.5","321.42","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","227.0","0.1","1.15","0.0","8.0","1.15","9.2","0.0","0.0","0.0","0.0","43.18","90.06","411.48","205.74","368.3","321.42","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","227.0","0.1","1.15","0.0","6.92","1.15","7.96","0.0","0.0","0.0","0.0","51.14","90.06","411.48","205.74","360.34","321.42","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","227.0","0.1","1.15","0.0","7.08","1.15","8.14","0.0","0.0","0.0","0.0","59.28","90.06","411.48","205.74","352.2","321.42","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","227.0","0.1","1.15","0.0","6.92","1.15","7.96","0.0","0.0","0.0","0.0","67.24","90.06","411.48","205.74","344.24","321.42","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","227.0","0.1","1.15","0.0","7.0","1.15","8.05","0.0","0.0","0.0","0.0","75.29","90.06","411.48","205.74","336.19","321.42","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","227.0","0.1","1.15","0.0","4.85","1.15","5.58","0.0","0.0","0.0","0.0","80.87","90.06","411.48","205.74","330.61","321.42","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","227.0","0.1","1.15","0.0","5.83","1.15","6.7","0.0","0.0","0.0","0.0","87.57","90.06","411.48","205.74","323.91","321.42","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","227.0","0.1","1.15","0.0","4.52","1.15","5.2","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","92.77","","","","","","","","",""
"2015.0","8.0","7.0","219.0","227.0","0.1","1.15","0.0","6.88","1.15","7.91","0.0","0.0","0.0","0.0","7.91","90.06","411.48","205.74","403.57","321.42","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","227.0","0.1","1.15","0.0","6.22","1.15","7.15","0.0","0.0","0.0","0.0","15.07","90.06","411.48","205.74","396.42","321.42","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","227.0","0.1","1.15","0.0","6.69","1.15","7.69","0.0","0.0","0.0","0.0","22.76","90.06","411.48","205.74","388.72","321.42","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","227.0","0.1","1.15","0.0","6.74","1.15","7.75","0.0","0.0","0.0","0.0","30.51","90.06","411.48","205.74","380.97","321.42","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","227.0","0.1","1.15","0.0","6.58","1.15","7.57","0.0","0.0","0.0","0.0","38.08","90.06","411.48","205.74","373.4","321.42","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","227.0","0.1","1.15","0.0","6.46","1.15","7.43","0.0","0.0","0.0","0.0","45.51","90.06","411.48","205.74","365.97","321.42","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","227.0","0.1","1.15","0.0","6.63","1.15","7.62","0.0","0.0","0.0","0.0","53.13","90.06","411.48","205.74","358.35","321.42","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","227.0","0.1","1.15","0.0","6.2","1.15","7.13","0.0","0.0","0.0","0.0","60.26","90.06","411.48","205.74","351.22","321.42","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","227.0","0.1","1.15","0.0","6.51","1.15","7.49","0.0","0.0","0.0","0.0","67.75","90.06","411.48","205.74","343.73","321.42","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","227.0","0.1","1.15","0.0","6.78","1.15","7.8","0.0","0.0","0.0","0.0","75.54","90.06","411.48","205.74","335.94","321.42","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","227.0","0.09","1.15","0.0","7.25","1.15","8.34","0.0","0.0","0.0","0.0","83.88","90.06","411.48","205.74","327.6","321.42","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","227.0","0.09","1.15","0.0","7.05","1.15","8.11","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","91.99","","","","","","","","",""
"2015.0","8.0","19.0","231.0","227.0","0.09","1.15","0.0","6.44","1.15","7.41","0.0","0.0","0.0","0.0","7.41","90.06","411.48","205.74","404.07","321.42","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","227.0","0.09","1.15","0.0","5.71","1.15","6.57","0.0","0.0","0.0","0.0","13.97","90.06","411.48","205.74","397.51","321.42","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","227.0","0.09","1.15","0.0","5.79","1.15","6.66","0.0","0.0","0.0","0.0","20.63","90.06","411.48","205.74","390.85","321.42","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","227.0","0.09","1.15","0.0","5.86","1.15","6.74","0.0","0.0","0.0","0.0","27.37","90.06","411.48","205.74","384.11","321.42","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","227.0","0.09","1.15","0.0","5.93","1.15","6.82","0.0","0.0","0.0","0.0","34.19","90.06","411.48","205.74","377.29","321.42","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","227.0","0.09","1.15","0.0","6.4","1.15","7.36","0.0","0.0","0.0","0.0","41.55","90.06","411.48","205.74","369.93","321.42","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","227.0","0.09","1.15","0.0","6.7","1.15","7.71","0.0","0.0","0.0","0.0","49.25","90.06","411.48","205.74","362.23","321.42","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","227.0","0.09","1.15","0.0","6.8","1.15","7.82","0.0","0.0","0.0","0.0","57.07","90.06","411.48","205.74","354.41","321.42","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","227.0","0.09","1.15","0.0","6.81","1.15","7.83","0.0","0.0","0.0","0.0","64.91","90.06","411.48","205.74","346.57","321.42","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","227.0","0.09","1.15","0.0","6.87","1.15","7.9","0.0","0.0","0.0","0.0","72.81","90.06","411.48","205.74","338.67","321.42","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","227.0","0.09","1.15","0.0","5.44","1.15","6.26","0.0","0.0","0.0","0.0","79.06","90.06","411.48","205.74","332.42","321.42","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","227.0","0.09","1.15","0.0","5.56","1.15","6.39","0.0","0.0","0.0","0.0","85.46","90.06","411.48","205.74","326.02","321.42","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","227.0","0.09","1.15","0.0","5.76","1.15","6.62","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","92.08","","","","","","","","",""
"2015.0","9.0","1.0","244.0","227.0","0.09","1.15","0.0","5.9","1.15","6.79","0.0","0.0","0.0","0.0","6.79","90.06","411.48","205.74","404.7","321.42","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","227.0","0.09","1.15","0.0","5.77","1.15","6.64","0.0","0.0","0.0","0.0","13.42","90.06","411.48","205.74","398.06","321.42","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","227.0","0.09","1.15","0.0","5.25","1.15","6.04","0.0","0.0","0.0","0.0","19.46","90.06","411.48","205.74","392.02","321.42","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","227.0","0.09","1.15","0.0","5.36","1.15","6.16","0.0","0.0","0.0","0.0","25.62","90.06","411.48","205.74","385.86","321.42","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","227.0","0.09","1.15","0.0","5.84","1.15","6.72","0.0","0.0","0.0","0.0","32.34","90.06","411.48","205.74","379.14","321.42","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","227.0","0.09","1.15","0.0","5.27","1.15","6.06","0.0","0.0","0.0","0.0","38.4","90.06","411.48","205.74","373.08","321.42","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","227.0","0.09","1.15","0.0","5.59","1.15","6.43","0.0","0.0","0.0","0.0","44.83","90.06","411.48","205.74","366.65","321.42","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","227.0","0.09","1.15","0.0","5.46","1.15","6.28","0.0","0.0","0.0","0.0","51.11","90.06","411.48","205.74","360.37","321.42","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","227.0","0.09","1.15","0.0","6.23","1.15","7.16","0.0","0.0","0.0","0.0","58.27","90.06","411.48","205.74","353.21","321.42","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","227.0","0.09","1.15","0.0","6.64","1.15","7.64","0.0","0.0","0.0","0.0","65.91","90.06","411.48","205.74","345.57","321.42","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","227.0","0.09","1.15","0.0","6.34","1.15","7.29","0.0","0.0","0.0","0.0","73.2","90.06","411.48","205.74","338.28","321.42","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","227.0","0.09","1.14","0.0","4.82","1.14","5.51","0.0","0.0","0.0","0.0","78.71","90.06","411.48","205.74","332.77","321.42","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","227.0","0.09","1.14","0.0","5.41","1.14","6.15","0.0","0.0","0.0","0.0","84.85","90.06","411.48","205.74","326.63","321.42","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","227.0","0.09","1.13","0.0","4.19","1.13","4.73","0.0","0.0","0.0","0.0","89.58","90.06","411.48","205.74","321.9","321.42","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","227.0","0.09","1.12","0.0","4.58","1.12","5.14","0.0","0.0","0.0","0.0","0.0","90.06","411.48","205.74","411.48","321.42","94.72","","","","","","","","",""
"2015.0","9.0","16.0","259.0","227.0","0.09","1.12","0.0","3.32","1.12","3.7","0.0","0.0","0.0","0.0","3.7","90.06","411.48","205.74","407.78","321.42","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","227.0","0.09","1.11","0.0","3.93","1.11","4.35","0.23","0.23","0.0","0.0","7.83","90.06","411.48","205.74","403.65","321.42","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","227.0","0.08","1.1","0.0","4.53","1.1","4.99","0.0","0.0","0.0","0.0","12.81","90.06","411.48","205.74","398.67","321.42","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","227.0","0.08","1.09","0.0","4.78","1.09","5.23","0.0","0.0","0.0","0.0","18.04","90.06","411.48","205.74","393.44","321.42","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","227.0","0.08","1.09","0.0","4.79","1.09","5.21","0.0","0.0","0.0","0.0","23.25","90.06","411.48","205.74","388.23","321.42","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","227.0","0.08","1.08","0.0","5.6","1.08","6.05","0.0","0.0","0.0","0.0","29.3","90.06","411.48","205.74","382.18","321.42","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","227.0","0.08","1.07","0.0","5.83","1.07","6.26","0.0","0.0","0.0","0.0","35.55","90.06","411.48","205.74","375.93","321.42","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","227.0","0.08","1.07","0.0","4.62","1.07","4.92","0.0","0.0","0.0","0.0","40.48","90.06","411.48","205.74","371.0","321.42","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","227.0","0.08","1.06","0.0","4.63","1.06","4.9","0.0","0.0","0.0","0.0","45.38","90.06","411.48","205.74","366.1","321.42","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","227.0","0.08","1.05","0.0","5.62","1.05","5.91","0.0","0.0","0.0","0.0","51.29","90.06","411.48","205.74","360.19","321.42","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","227.0","0.08","1.05","0.0","5.39","1.05","5.63","0.0","0.0","0.0","0.0","56.93","90.06","411.48","205.74","354.55","321.42","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","227.0","0.08","1.04","0.0","4.08","1.04","4.24","0.0","0.0","0.0","0.0","61.16","90.06","411.48","205.74","350.32","321.42","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","227.0","0.08","1.03","0.0","4.73","1.03","4.88","0.0","0.0","0.0","0.0","66.04","90.06","411.48","205.74","345.44","321.42","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","227.0","0.08","1.02","0.0","4.31","1.02","4.41","0.0","0.0","0.0","0.0","70.45","90.06","411.48","205.74","341.03","321.42","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","227.0","0.08","1.02","0.0","2.04","1.02","2.07","0.0","0.0","0.0","0.0","72.53","102.87","411.48","205.74","338.95","308.61","0.0","","","","","","","","",""
