" Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","17.0","0.13","1.03","0.0","6.73","1.03","6.93","0.0","0.0","0.0","0.0","66.26","93.36","438.91","219.46","372.65","345.55","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","17.0","0.13","1.04","0.0","7.15","1.04","7.41","0.0","0.0","0.0","0.0","73.67","93.36","438.91","219.46","365.24","345.55","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","17.0","0.13","1.04","0.0","7.45","1.04","7.77","0.0","0.0","0.0","0.0","81.45","93.36","438.91","219.46","357.46","345.55","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","17.0","0.13","1.05","0.0","7.57","1.05","7.95","0.0","0.0","0.0","0.0","89.4","93.36","438.91","219.46","349.52","345.55","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","17.0","0.13","1.05","0.0","7.43","1.05","7.8","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","97.2","","","","","","","","",""
"2015.0","7.0","2.0","183.0","17.0","0.13","1.05","0.0","6.96","1.05","7.31","0.0","0.0","0.0","0.0","7.31","93.36","438.91","219.46","431.6","345.55","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","17.0","0.13","1.05","0.0","7.37","1.05","7.74","0.0","0.0","0.0","0.0","15.05","93.36","438.91","219.46","423.87","345.55","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","17.0","0.13","1.05","0.0","7.87","1.05","8.26","0.0","0.0","0.0","0.0","23.31","93.36","438.91","219.46","415.6","345.55","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","17.0","0.12","1.05","0.0","7.15","1.05","7.51","0.0","0.0","0.0","0.0","30.82","93.36","438.91","219.46","408.09","345.55","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","17.0","0.12","1.05","0.0","7.23","1.05","7.59","0.0","0.0","0.0","0.0","38.41","93.36","438.91","219.46","400.5","345.55","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","17.0","0.12","1.05","0.0","6.75","1.05","7.09","0.0","0.0","0.0","0.0","45.5","93.36","438.91","219.46","393.42","345.55","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","17.0","0.12","1.05","0.0","6.26","1.05","6.57","0.0","0.0","0.0","0.0","52.07","93.36","438.91","219.46","386.84","345.55","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","17.0","0.12","1.05","0.0","4.34","1.05","4.56","0.0","0.0","0.0","0.0","56.63","93.36","438.91","219.46","382.29","345.55","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","17.0","0.12","1.05","0.0","5.16","1.05","5.42","0.0","0.0","0.0","0.0","62.04","93.36","438.91","219.46","376.87","345.55","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","17.0","0.12","1.05","0.0","6.34","1.05","6.66","0.0","0.0","0.0","0.0","68.7","93.36","438.91","219.46","370.21","345.55","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","17.0","0.12","1.05","0.0","6.49","1.05","6.81","0.0","0.0","0.0","0.0","75.52","93.36","438.91","219.46","363.4","345.55","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","17.0","0.12","1.05","0.0","6.6","1.05","6.93","0.0","0.0","0.0","0.0","82.45","93.36","438.91","219.46","356.47","345.55","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","17.0","0.12","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","89.19","93.36","438.91","219.46","349.73","345.55","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","17.0","0.12","1.05","0.0","6.62","1.05","6.95","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","96.14","","","","","","","","",""
"2015.0","7.0","16.0","197.0","17.0","0.12","1.05","0.0","7.07","1.05","7.42","0.0","0.0","0.0","0.0","7.42","93.36","438.91","219.46","431.49","345.55","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","17.0","0.11","1.05","0.0","7.25","1.05","7.61","0.0","0.0","0.0","0.0","15.04","93.36","438.91","219.46","423.88","345.55","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","17.0","0.11","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","22.64","93.36","438.91","219.46","416.27","345.55","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","17.0","0.11","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","29.78","93.36","438.91","219.46","409.13","345.55","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","17.0","0.11","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","37.43","93.36","438.91","219.46","401.48","345.55","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","17.0","0.11","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","45.0","93.36","438.91","219.46","393.91","345.55","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","17.0","0.11","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","52.14","93.36","438.91","219.46","386.77","345.55","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","17.0","0.11","1.05","0.0","6.1","1.05","6.4","0.0","0.0","0.0","0.0","58.55","93.36","438.91","219.46","380.36","345.55","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","17.0","0.11","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","65.22","93.36","438.91","219.46","373.7","345.55","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","17.0","0.11","1.05","0.0","6.41","1.05","6.73","0.0","0.0","0.0","0.0","71.95","93.36","438.91","219.46","366.97","345.55","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","17.0","0.11","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","78.69","93.36","438.91","219.46","360.23","345.55","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","17.0","0.11","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","86.45","93.36","438.91","219.46","352.47","345.55","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","17.0","0.11","1.05","0.0","7.74","1.05","8.13","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","94.57","","","","","","","","",""
"2015.0","7.0","29.0","210.0","17.0","0.11","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","7.79","93.36","438.91","219.46","431.12","345.55","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","17.0","0.11","1.05","0.0","7.73","1.05","8.12","0.0","0.0","0.0","0.0","15.91","93.36","438.91","219.46","423.0","345.55","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","17.0","0.1","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","22.87","93.36","438.91","219.46","416.04","345.55","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","17.0","0.1","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","30.15","93.36","438.91","219.46","408.77","345.55","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","17.0","0.1","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","37.26","93.36","438.91","219.46","401.65","345.55","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","17.0","0.1","1.05","0.0","6.81","1.05","7.15","0.0","0.0","0.0","0.0","44.41","93.36","438.91","219.46","394.5","345.55","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","17.0","0.1","1.05","0.0","4.69","1.05","4.92","0.0","0.0","0.0","0.0","49.34","93.36","438.91","219.46","389.57","345.55","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","17.0","0.1","1.05","0.0","5.76","1.05","6.05","0.0","0.0","0.0","0.0","55.39","93.36","438.91","219.46","383.52","345.55","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","17.0","0.1","1.05","0.0","4.25","1.05","4.46","0.0","0.0","0.0","0.0","59.85","93.36","438.91","219.46","379.06","345.55","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","17.0","0.1","1.05","0.0","6.71","1.05","7.05","0.0","0.0","0.0","0.0","66.9","93.36","438.91","219.46","372.02","345.55","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","17.0","0.1","1.05","0.0","5.96","1.05","6.26","0.0","0.0","0.0","0.0","73.15","93.36","438.91","219.46","365.76","345.55","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","17.0","0.1","1.05","0.0","6.56","1.05","6.89","0.0","0.0","0.0","0.0","80.04","93.36","438.91","219.46","358.87","345.55","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","17.0","0.1","1.05","0.0","6.58","1.05","6.91","0.0","0.0","0.0","0.0","86.95","93.36","438.91","219.46","351.96","345.55","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","17.0","0.1","1.05","0.0","6.4","1.05","6.72","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","93.67","","","","","","","","",""
"2015.0","8.0","12.0","224.0","17.0","0.1","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","6.65","93.36","438.91","219.46","432.27","345.55","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","17.0","0.1","1.05","0.0","6.45","1.05","6.77","0.0","0.0","0.0","0.0","13.42","93.36","438.91","219.46","425.49","345.55","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","17.0","0.1","1.05","0.0","6.13","1.05","6.44","0.0","0.0","0.0","0.0","19.86","93.36","438.91","219.46","419.06","345.55","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","17.0","0.1","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","26.6","93.36","438.91","219.46","412.32","345.55","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","17.0","0.1","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","33.59","93.36","438.91","219.46","405.32","345.55","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","17.0","0.1","1.05","0.0","7.09","1.05","7.44","0.0","0.0","0.0","0.0","41.03","93.36","438.91","219.46","397.88","345.55","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","17.0","0.1","1.05","0.0","6.79","1.05","7.13","0.0","0.0","0.0","0.0","48.16","93.36","438.91","219.46","390.75","345.55","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","17.0","0.1","1.05","0.0","6.18","1.05","6.49","0.0","0.0","0.0","0.0","54.65","93.36","438.91","219.46","384.26","345.55","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","17.0","0.1","1.05","0.0","5.52","1.05","5.8","0.0","0.0","0.0","0.0","60.45","93.36","438.91","219.46","378.46","345.55","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","17.0","0.09","1.05","0.0","5.62","1.05","5.9","0.0","0.0","0.0","0.0","66.35","93.36","438.91","219.46","372.56","345.55","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","17.0","0.09","1.05","0.0","5.69","1.05","5.97","0.0","0.0","0.0","0.0","72.32","93.36","438.91","219.46","366.59","345.55","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","17.0","0.09","1.05","0.0","5.75","1.05","6.04","0.0","0.0","0.0","0.0","78.36","93.36","438.91","219.46","360.55","345.55","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","17.0","0.09","1.05","0.0","6.23","1.05","6.54","0.0","0.0","0.0","0.0","84.9","93.36","438.91","219.46","354.01","345.55","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","17.0","0.09","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","91.74","93.36","438.91","219.46","347.17","345.55","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","17.0","0.09","1.05","0.0","6.64","1.05","6.97","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","98.71","","","","","","","","",""
"2015.0","8.0","27.0","239.0","17.0","0.09","1.05","0.0","6.82","1.05","7.16","0.0","0.0","0.0","0.0","7.16","93.36","438.91","219.46","431.75","345.55","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","17.0","0.09","1.05","0.0","6.79","1.05","7.13","0.0","0.0","0.0","0.0","14.29","93.36","438.91","219.46","424.62","345.55","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","17.0","0.09","1.05","0.0","5.21","1.05","5.47","0.0","0.0","0.0","0.0","19.76","93.36","438.91","219.46","419.15","345.55","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","17.0","0.09","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","25.58","93.36","438.91","219.46","413.33","345.55","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","17.0","0.09","1.05","0.0","5.7","1.05","5.98","0.0","0.0","0.0","0.0","31.56","93.36","438.91","219.46","407.35","345.55","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","17.0","0.09","1.05","0.0","5.68","1.05","5.96","0.0","0.0","0.0","0.0","37.53","93.36","438.91","219.46","401.39","345.55","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","17.0","0.09","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","43.34","93.36","438.91","219.46","395.57","345.55","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","17.0","0.09","1.05","0.0","5.19","1.05","5.45","0.0","0.0","0.0","0.0","48.79","93.36","438.91","219.46","390.12","345.55","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","17.0","0.09","1.05","0.0","5.28","1.05","5.54","0.0","0.0","0.0","0.0","54.34","93.36","438.91","219.46","384.57","345.55","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","17.0","0.09","1.05","0.0","5.7","1.05","5.98","0.0","0.0","0.0","0.0","60.32","93.36","438.91","219.46","378.59","345.55","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","17.0","0.09","1.05","0.0","5.21","1.05","5.47","0.0","0.0","0.0","0.0","65.79","93.36","438.91","219.46","373.12","345.55","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","17.0","0.09","1.05","0.0","5.47","1.05","5.74","0.0","0.0","0.0","0.0","71.54","93.36","438.91","219.46","367.38","345.55","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","17.0","0.09","1.05","0.0","5.43","1.05","5.7","0.0","0.0","0.0","0.0","77.24","93.36","438.91","219.46","361.67","345.55","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","17.0","0.09","1.05","0.0","6.14","1.05","6.45","0.0","0.0","0.0","0.0","83.68","93.36","438.91","219.46","355.23","345.55","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","17.0","0.09","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","90.52","93.36","438.91","219.46","348.39","345.55","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","17.0","0.09","1.05","0.0","6.2","1.05","6.51","0.0","0.0","0.0","0.0","0.0","93.36","438.91","219.46","438.91","345.55","97.03","","","","","","","","",""
"2015.0","9.0","12.0","255.0","17.0","0.09","1.05","0.0","4.62","1.05","4.85","0.0","0.0","0.0","0.0","4.85","93.36","438.91","219.46","434.06","345.55","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","17.0","0.09","1.05","0.0","5.3","1.05","5.56","0.0","0.0","0.0","0.0","10.42","93.36","438.91","219.46","428.5","345.55","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","17.0","0.09","1.05","0.0","3.97","1.05","4.17","0.0","0.0","0.0","0.0","14.58","93.36","438.91","219.46","424.33","345.55","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","17.0","0.09","1.05","0.0","4.59","1.05","4.82","0.0","0.0","0.0","0.0","19.4","93.36","438.91","219.46","419.51","345.55","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","17.0","0.09","1.05","0.0","3.31","1.05","3.48","0.0","0.0","0.0","0.0","22.88","93.36","438.91","219.46","416.03","345.55","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","17.0","0.09","1.05","0.0","3.92","1.05","4.12","0.05","0.05","0.0","0.0","26.95","93.36","438.91","219.46","411.97","345.55","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","17.0","0.09","1.05","0.0","4.51","1.05","4.74","0.0","0.0","0.0","0.0","31.68","93.36","438.91","219.46","407.23","345.55","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","17.0","0.09","1.05","0.0","4.71","1.05","4.95","0.0","0.0","0.0","0.0","36.63","93.36","438.91","219.46","402.29","345.55","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","17.0","0.09","1.05","0.0","4.75","1.05","4.99","0.0","0.0","0.0","0.0","41.61","93.36","438.91","219.46","397.3","345.55","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","17.0","0.09","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","47.43","93.36","438.91","219.46","391.48","345.55","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","17.0","0.09","1.05","0.0","5.48","1.05","5.75","0.0","0.0","0.0","0.0","53.18","93.36","438.91","219.46","385.73","345.55","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","17.0","0.09","1.05","0.0","4.54","1.05","4.77","0.0","0.0","0.0","0.0","57.95","93.36","438.91","219.46","380.96","345.55","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","17.0","0.09","1.05","0.0","4.54","1.05","4.77","0.0","0.0","0.0","0.0","62.72","93.36","438.91","219.46","376.19","345.55","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","17.0","0.08","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","68.54","93.36","438.91","219.46","370.38","345.55","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","17.0","0.08","1.05","0.0","5.3","1.05","5.56","0.0","0.0","0.0","0.0","74.1","93.36","438.91","219.46","364.81","345.55","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","17.0","0.08","1.05","0.0","3.95","1.05","4.15","0.0","0.0","0.0","0.0","78.25","93.36","438.91","219.46","360.66","345.55","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","17.0","0.08","1.05","0.0","4.53","1.05","4.76","0.0","0.0","0.0","0.0","83.0","93.36","438.91","219.46","355.91","345.55","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","17.0","0.08","1.05","0.0","4.09","1.05","4.29","0.0","0.0","0.0","0.0","87.3","109.73","438.91","219.46","351.61","329.18","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","17.0","0.08","1.05","0.0","1.96","1.05","2.06","0.0","0.0","0.0","0.0","89.36","109.73","438.91","219.46","349.55","329.18","0.0","","","","","","","","",""
