" Daily soil water balance output for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","7.0","4.0","185.0","2.0","0.12","0.7","0.0","8.14","0.7","5.7","0.0","0.0","0.0","0.0","10.9","70.21","310.9","155.45","300.0","240.69","0.0","","","","","","",""
"2015.0","7.0","5.0","186.0","2.0","0.12","0.7","0.0","7.47","0.7","5.23","0.0","0.0","0.0","0.0","16.13","70.21","310.9","155.45","294.77","240.69","0.0","","","","","","",""
"2015.0","7.0","6.0","187.0","2.0","0.12","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","21.34","70.21","310.9","155.45","289.55","240.69","0.0","","","","","","",""
"2015.0","7.0","7.0","188.0","2.0","0.12","0.7","0.0","7.05","0.7","4.94","0.0","0.0","0.0","0.0","26.28","70.21","310.9","155.45","284.62","240.69","0.0","","","","","","",""
"2015.0","7.0","8.0","189.0","2.0","0.12","0.7","0.0","6.42","0.7","4.49","0.0","0.0","0.0","0.0","30.77","70.21","310.9","155.45","280.12","240.69","0.0","","","","","","",""
"2015.0","7.0","9.0","190.0","2.0","0.12","0.7","0.0","4.51","0.7","3.16","0.0","0.0","0.0","0.0","33.93","70.21","310.9","155.45","276.97","240.69","0.0","","","","","","",""
"2015.0","7.0","10.0","191.0","2.0","0.12","0.7","0.0","5.24","0.7","3.67","0.0","0.0","0.0","0.0","37.6","70.21","310.9","155.45","273.3","240.69","0.0","","","","","","",""
"2015.0","7.0","11.0","192.0","2.0","0.12","0.7","0.0","6.46","0.7","4.52","0.0","0.0","0.0","0.0","42.12","70.21","310.9","155.45","268.78","240.69","0.0","","","","","","",""
"2015.0","7.0","12.0","193.0","2.0","0.12","0.7","0.0","6.6","0.7","4.62","0.0","0.0","0.0","0.0","46.74","70.21","310.9","155.45","264.16","240.69","0.0","","","","","","",""
"2015.0","7.0","13.0","194.0","2.0","0.12","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","51.44","70.21","310.9","155.45","259.45","240.69","0.0","","","","","","",""
"2015.0","7.0","14.0","195.0","2.0","0.11","0.7","0.0","6.66","0.7","4.66","0.0","0.0","0.0","0.0","56.11","70.21","310.9","155.45","254.79","240.69","0.0","","","","","","",""
"2015.0","7.0","15.0","196.0","2.0","0.11","0.7","0.0","6.77","0.7","4.74","0.0","0.0","0.0","0.0","60.84","70.21","310.9","155.45","250.05","240.69","0.0","","","","","","",""
"2015.0","7.0","16.0","197.0","2.0","0.11","0.7","0.0","7.29","0.7","5.1","0.0","0.0","0.0","0.0","65.95","70.21","310.9","155.45","244.95","240.69","0.0","","","","","","",""
"2015.0","7.0","17.0","198.0","2.0","0.11","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","71.16","","","","","","",""
"2015.0","7.0","18.0","199.0","2.0","0.11","0.7","0.0","7.52","0.7","5.26","0.0","0.0","0.0","0.0","5.26","70.21","310.9","155.45","305.63","240.69","0.0","","","","","","",""
"2015.0","7.0","19.0","200.0","2.0","0.11","0.7","0.0","6.89","0.7","4.82","0.0","0.0","0.0","0.0","10.09","70.21","310.9","155.45","300.81","240.69","0.0","","","","","","",""
"2015.0","7.0","20.0","201.0","2.0","0.11","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","15.29","70.21","310.9","155.45","295.61","240.69","0.0","","","","","","",""
"2015.0","7.0","21.0","202.0","2.0","0.11","0.7","0.0","7.44","0.7","5.21","0.0","0.0","0.0","0.0","20.5","70.21","310.9","155.45","290.4","240.69","0.0","","","","","","",""
"2015.0","7.0","22.0","203.0","2.0","0.11","0.7","0.0","7.1","0.7","4.97","0.0","0.0","0.0","0.0","25.47","70.21","310.9","155.45","285.43","240.69","0.0","","","","","","",""
"2015.0","7.0","23.0","204.0","2.0","0.11","0.7","0.0","6.23","0.7","4.36","0.0","0.0","0.0","0.0","29.83","70.21","310.9","155.45","281.07","240.69","0.0","","","","","","",""
"2015.0","7.0","24.0","205.0","2.0","0.11","0.7","0.0","6.45","0.7","4.52","0.0","0.0","0.0","0.0","34.34","70.21","310.9","155.45","276.55","240.69","0.0","","","","","","",""
"2015.0","7.0","25.0","206.0","2.0","0.11","0.7","0.0","6.6","0.7","4.62","0.0","0.0","0.0","0.0","38.96","70.21","310.9","155.45","271.93","240.69","0.0","","","","","","",""
"2015.0","7.0","26.0","207.0","2.0","0.11","0.7","0.0","6.59","0.7","4.61","0.0","0.0","0.0","0.0","43.58","70.21","310.9","155.45","267.32","240.69","0.0","","","","","","",""
"2015.0","7.0","27.0","208.0","2.0","0.11","0.7","0.0","7.51","0.7","5.26","0.0","0.0","0.0","0.0","48.83","70.21","310.9","155.45","262.06","240.69","0.0","","","","","","",""
"2015.0","7.0","28.0","209.0","2.0","0.1","0.7","0.0","7.9","0.7","5.53","0.0","0.0","0.0","0.0","54.36","70.21","310.9","155.45","256.53","240.69","0.0","","","","","","",""
"2015.0","7.0","29.0","210.0","2.0","0.1","0.7","0.0","7.55","0.7","5.29","0.0","0.0","0.0","0.0","59.65","70.21","310.9","155.45","251.25","240.69","0.0","","","","","","",""
"2015.0","7.0","30.0","211.0","2.0","0.1","0.7","0.0","8.0","0.7","5.6","0.0","0.0","0.0","0.0","65.25","70.21","310.9","155.45","245.65","240.69","0.0","","","","","","",""
"2015.0","7.0","31.0","212.0","2.0","0.1","0.7","0.0","6.92","0.7","4.84","0.0","0.0","0.0","0.0","70.09","70.21","310.9","155.45","240.81","240.69","0.0","","","","","","",""
"2015.0","8.0","1.0","213.0","2.0","0.1","0.7","0.0","7.08","0.7","4.96","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","75.05","","","","","","",""
"2015.0","8.0","2.0","214.0","2.0","0.1","0.7","0.0","6.92","0.7","4.84","0.0","0.0","0.0","0.0","4.84","70.21","310.9","155.45","306.05","240.69","0.0","","","","","","",""
"2015.0","8.0","3.0","215.0","2.0","0.1","0.7","0.0","7.0","0.7","4.9","0.0","0.0","0.0","0.0","9.74","70.21","310.9","155.45","301.15","240.69","0.0","","","","","","",""
"2015.0","8.0","4.0","216.0","2.0","0.1","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","13.14","70.21","310.9","155.45","297.76","240.69","0.0","","","","","","",""
"2015.0","8.0","5.0","217.0","2.0","0.1","0.7","0.0","5.83","0.7","4.08","0.0","0.0","0.0","0.0","17.22","70.21","310.9","155.45","293.68","240.69","0.0","","","","","","",""
"2015.0","8.0","6.0","218.0","2.0","0.1","0.7","0.0","4.52","0.7","3.16","0.0","0.0","0.0","0.0","20.38","70.21","310.9","155.45","290.51","240.69","0.0","","","","","","",""
"2015.0","8.0","7.0","219.0","2.0","0.1","0.7","0.0","6.88","0.7","4.82","0.0","0.0","0.0","0.0","25.2","70.21","310.9","155.45","285.7","240.69","0.0","","","","","","",""
"2015.0","8.0","8.0","220.0","2.0","0.1","0.7","0.0","6.22","0.7","4.35","0.0","0.0","0.0","0.0","29.55","70.21","310.9","155.45","281.34","240.69","0.0","","","","","","",""
"2015.0","8.0","9.0","221.0","2.0","0.1","0.7","0.0","6.69","0.7","4.68","0.0","0.0","0.0","0.0","34.24","70.21","310.9","155.45","276.66","240.69","0.0","","","","","","",""
"2015.0","8.0","10.0","222.0","2.0","0.1","0.7","0.0","6.74","0.7","4.72","0.0","0.0","0.0","0.0","38.96","70.21","310.9","155.45","271.94","240.69","0.0","","","","","","",""
"2015.0","8.0","11.0","223.0","2.0","0.1","0.7","0.0","6.58","0.7","4.61","0.0","0.0","0.0","0.0","43.56","70.21","310.9","155.45","267.34","240.69","0.0","","","","","","",""
"2015.0","8.0","12.0","224.0","2.0","0.1","0.7","0.0","6.46","0.7","4.52","0.0","0.0","0.0","0.0","48.08","70.21","310.9","155.45","262.81","240.69","0.0","","","","","","",""
"2015.0","8.0","13.0","225.0","2.0","0.1","0.7","0.0","6.63","0.7","4.64","0.0","0.0","0.0","0.0","52.72","70.21","310.9","155.45","258.17","240.69","0.0","","","","","","",""
"2015.0","8.0","14.0","226.0","2.0","0.1","0.7","0.0","6.2","0.7","4.34","0.0","0.0","0.0","0.0","57.06","70.21","310.9","155.45","253.83","240.69","0.0","","","","","","",""
"2015.0","8.0","15.0","227.0","2.0","0.1","0.7","0.0","6.51","0.7","4.56","0.0","0.0","0.0","0.0","61.62","70.21","310.9","155.45","249.28","240.69","0.0","","","","","","",""
"2015.0","8.0","16.0","228.0","2.0","0.1","0.7","0.0","6.78","0.7","4.75","0.0","0.0","0.0","0.0","66.37","70.21","310.9","155.45","244.53","240.69","0.0","","","","","","",""
"2015.0","8.0","17.0","229.0","2.0","0.09","0.7","0.0","7.25","0.7","5.08","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","71.44","","","","","","",""
"2015.0","8.0","18.0","230.0","2.0","0.09","0.7","0.0","7.05","0.7","4.94","0.0","0.0","0.0","0.0","4.94","70.21","310.9","155.45","305.96","240.69","0.0","","","","","","",""
"2015.0","8.0","19.0","231.0","2.0","0.09","0.7","0.0","6.44","0.7","4.51","0.0","0.0","0.0","0.0","9.44","70.21","310.9","155.45","301.45","240.69","0.0","","","","","","",""
"2015.0","8.0","20.0","232.0","2.0","0.09","0.7","0.0","5.71","0.7","4.0","0.0","0.0","0.0","0.0","13.44","70.21","310.9","155.45","297.46","240.69","0.0","","","","","","",""
"2015.0","8.0","21.0","233.0","2.0","0.09","0.7","0.0","5.79","0.7","4.05","0.0","0.0","0.0","0.0","17.49","70.21","310.9","155.45","293.4","240.69","0.0","","","","","","",""
"2015.0","8.0","22.0","234.0","2.0","0.09","0.7","0.0","5.86","0.7","4.1","0.0","0.0","0.0","0.0","21.6","70.21","310.9","155.45","289.3","240.69","0.0","","","","","","",""
"2015.0","8.0","23.0","235.0","2.0","0.09","0.7","0.0","5.93","0.7","4.15","0.0","0.0","0.0","0.0","25.75","70.21","310.9","155.45","285.15","240.69","0.0","","","","","","",""
"2015.0","8.0","24.0","236.0","2.0","0.09","0.7","0.0","6.4","0.7","4.48","0.0","0.0","0.0","0.0","30.23","70.21","310.9","155.45","280.67","240.69","0.0","","","","","","",""
"2015.0","8.0","25.0","237.0","2.0","0.09","0.7","0.0","6.7","0.7","4.69","0.0","0.0","0.0","0.0","34.92","70.21","310.9","155.45","275.98","240.69","0.0","","","","","","",""
"2015.0","8.0","26.0","238.0","2.0","0.09","0.7","0.0","6.8","0.7","4.76","0.0","0.0","0.0","0.0","39.68","70.21","310.9","155.45","271.22","240.69","0.0","","","","","","",""
"2015.0","8.0","27.0","239.0","2.0","0.09","0.7","0.0","6.81","0.7","4.77","0.0","0.0","0.0","0.0","44.44","70.21","310.9","155.45","266.45","240.69","0.0","","","","","","",""
"2015.0","8.0","28.0","240.0","2.0","0.09","0.7","0.0","6.87","0.7","4.81","0.0","0.0","0.0","0.0","49.25","70.21","310.9","155.45","261.64","240.69","0.0","","","","","","",""
"2015.0","8.0","29.0","241.0","2.0","0.09","0.7","0.0","5.44","0.7","3.81","0.0","0.0","0.0","0.0","53.06","70.21","310.9","155.45","257.84","240.69","0.0","","","","","","",""
"2015.0","8.0","30.0","242.0","2.0","0.09","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","56.95","70.21","310.9","155.45","253.94","240.69","0.0","","","","","","",""
"2015.0","8.0","31.0","243.0","2.0","0.09","0.7","0.0","5.76","0.7","4.03","0.0","0.0","0.0","0.0","60.98","70.21","310.9","155.45","249.91","240.69","0.0","","","","","","",""
"2015.0","9.0","1.0","244.0","2.0","0.09","0.7","0.0","5.9","0.7","4.13","0.0","0.0","0.0","0.0","65.11","70.21","310.9","155.45","245.78","240.69","0.0","","","","","","",""
"2015.0","9.0","2.0","245.0","2.0","0.09","0.7","0.0","5.77","0.7","4.04","0.0","0.0","0.0","0.0","69.15","70.21","310.9","155.45","241.74","240.69","0.0","","","","","","",""
"2015.0","9.0","3.0","246.0","2.0","0.09","0.7","0.0","5.25","0.7","3.68","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","72.83","","","","","","",""
"2015.0","9.0","4.0","247.0","2.0","0.09","0.7","0.0","5.36","0.7","3.75","0.0","0.0","0.0","0.0","3.75","70.21","310.9","155.45","307.14","240.69","0.0","","","","","","",""
"2015.0","9.0","5.0","248.0","2.0","0.09","0.7","0.0","5.84","0.7","4.09","0.0","0.0","0.0","0.0","7.84","70.21","310.9","155.45","303.06","240.69","0.0","","","","","","",""
"2015.0","9.0","6.0","249.0","2.0","0.09","0.7","0.0","5.27","0.7","3.69","0.0","0.0","0.0","0.0","11.53","70.21","310.9","155.45","299.37","240.69","0.0","","","","","","",""
"2015.0","9.0","7.0","250.0","2.0","0.09","0.7","0.0","5.59","0.7","3.91","0.0","0.0","0.0","0.0","15.44","70.21","310.9","155.45","295.45","240.69","0.0","","","","","","",""
"2015.0","9.0","8.0","251.0","2.0","0.09","0.7","0.0","5.46","0.7","3.82","0.0","0.0","0.0","0.0","19.26","70.21","310.9","155.45","291.63","240.69","0.0","","","","","","",""
"2015.0","9.0","9.0","252.0","2.0","0.09","0.7","0.0","6.23","0.7","4.36","0.0","0.0","0.0","0.0","23.63","70.21","310.9","155.45","287.27","240.69","0.0","","","","","","",""
"2015.0","9.0","10.0","253.0","2.0","0.09","0.7","0.0","6.64","0.7","4.65","0.0","0.0","0.0","0.0","28.27","70.21","310.9","155.45","282.62","240.69","0.0","","","","","","",""
"2015.0","9.0","11.0","254.0","2.0","0.09","0.7","0.0","6.34","0.7","4.44","0.0","0.0","0.0","0.0","32.71","70.21","310.9","155.45","278.19","240.69","0.0","","","","","","",""
"2015.0","9.0","12.0","255.0","2.0","0.09","0.7","0.0","4.82","0.7","3.37","0.0","0.0","0.0","0.0","36.09","70.21","310.9","155.45","274.81","240.69","0.0","","","","","","",""
"2015.0","9.0","13.0","256.0","2.0","0.09","0.7","0.0","5.41","0.7","3.79","0.0","0.0","0.0","0.0","39.87","70.21","310.9","155.45","271.02","240.69","0.0","","","","","","",""
"2015.0","9.0","14.0","257.0","2.0","0.09","0.7","0.0","4.19","0.7","2.93","0.0","0.0","0.0","0.0","42.81","70.21","310.9","155.45","268.09","240.69","0.0","","","","","","",""
"2015.0","9.0","15.0","258.0","2.0","0.09","0.7","0.0","4.58","0.7","3.21","0.0","0.0","0.0","0.0","46.01","70.21","310.9","155.45","264.89","240.69","0.0","","","","","","",""
"2015.0","9.0","16.0","259.0","2.0","0.09","0.7","0.0","3.32","0.7","2.32","0.0","0.0","0.0","0.0","48.34","70.21","310.9","155.45","262.56","240.69","0.0","","","","","","",""
"2015.0","9.0","17.0","260.0","2.0","0.09","0.7","0.0","3.93","0.7","2.75","0.23","0.23","0.0","0.0","50.86","70.21","310.9","155.45","260.04","240.69","0.0","","","","","","",""
"2015.0","9.0","18.0","261.0","2.0","0.08","0.7","0.0","4.53","0.7","3.17","0.0","0.0","0.0","0.0","54.03","70.21","310.9","155.45","256.87","240.69","0.0","","","","","","",""
"2015.0","9.0","19.0","262.0","2.0","0.08","0.7","0.0","4.78","0.7","3.35","0.0","0.0","0.0","0.0","57.37","70.21","310.9","155.45","253.52","240.69","0.0","","","","","","",""
"2015.0","9.0","20.0","263.0","2.0","0.08","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","60.73","70.21","310.9","155.45","250.17","240.69","0.0","","","","","","",""
"2015.0","9.0","21.0","264.0","2.0","0.08","0.7","0.0","5.6","0.7","3.92","0.0","0.0","0.0","0.0","64.65","70.21","310.9","155.45","246.25","240.69","0.0","","","","","","",""
"2015.0","9.0","22.0","265.0","2.0","0.08","0.7","0.0","5.83","0.7","4.08","0.0","0.0","0.0","0.0","68.73","70.21","310.9","155.45","242.17","240.69","0.0","","","","","","",""
"2015.0","9.0","23.0","266.0","2.0","0.08","0.7","0.0","4.62","0.7","3.23","0.0","0.0","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","71.96","","","","","","",""
"2015.0","9.0","24.0","267.0","2.0","0.08","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","3.24","70.21","310.9","155.45","307.66","240.69","0.0","","","","","","",""
"2015.0","9.0","25.0","268.0","2.0","0.08","0.7","0.0","5.62","0.7","3.93","0.0","0.0","0.0","0.0","7.18","70.21","310.9","155.45","303.72","240.69","0.0","","","","","","",""
"2015.0","9.0","26.0","269.0","2.0","0.08","0.7","0.0","5.39","0.7","3.77","0.0","0.0","0.0","0.0","10.95","70.21","310.9","155.45","299.95","240.69","0.0","","","","","","",""
"2015.0","9.0","27.0","270.0","2.0","0.08","0.7","0.0","4.08","0.7","2.86","0.0","0.0","0.0","0.0","13.8","70.21","310.9","155.45","297.09","240.69","0.0","","","","","","",""
"2015.0","9.0","28.0","271.0","2.0","0.08","0.7","0.0","4.73","0.7","3.31","0.0","0.0","0.0","0.0","17.12","70.21","310.9","155.45","293.78","240.69","0.0","","","","","","",""
"2015.0","9.0","29.0","272.0","2.0","0.08","0.7","0.0","4.31","0.7","3.02","0.0","0.0","0.0","0.0","20.13","70.21","310.9","155.45","290.76","240.69","0.0","","","","","","",""
"2015.0","9.0","30.0","273.0","2.0","0.08","0.7","0.0","2.04","0.7","1.43","0.0","0.0","0.0","0.0","21.56","70.21","310.9","155.45","289.34","240.69","0.0","","","","","","",""
