" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","414.0","0.13","0.82","0.0","7.16","0.82","5.85","0.0","0.0","0.0","0.0","12.69","56.83","256.03","128.02","243.35","199.21","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","414.0","0.13","0.83","0.0","7.43","0.83","6.13","0.0","0.0","0.0","0.0","18.82","56.83","256.03","128.02","237.21","199.21","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","414.0","0.13","0.83","0.0","7.6","0.83","6.34","0.0","0.0","0.0","0.0","25.16","56.83","256.03","128.02","230.87","199.21","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","414.0","0.13","0.84","0.0","7.68","0.84","6.47","0.0","0.0","0.0","0.0","31.63","56.83","256.03","128.02","224.4","199.21","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","414.0","0.13","0.85","0.0","7.42","0.85","6.32","0.0","0.0","0.0","0.0","37.95","56.83","256.03","128.02","218.08","199.21","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","414.0","0.13","0.86","0.0","7.56","0.86","6.5","0.0","0.0","0.0","0.0","44.45","56.83","256.03","128.02","211.58","199.21","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","414.0","0.12","0.87","0.0","7.43","0.87","6.45","0.0","0.0","0.0","0.0","50.9","56.83","256.03","128.02","205.13","199.21","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","414.0","0.12","0.88","0.0","8.14","0.88","7.14","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","58.04","","","","","","","","",""
"2015.0","7.0","5.0","186.0","414.0","0.12","0.89","0.0","7.47","0.89","6.62","0.0","0.0","0.0","0.0","6.62","56.83","256.03","128.02","249.42","199.21","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","414.0","0.12","0.89","0.0","7.45","0.89","6.66","0.0","0.0","0.0","0.0","13.28","56.83","256.03","128.02","242.75","199.21","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","414.0","0.12","0.9","0.0","7.05","0.9","6.37","0.0","0.0","0.0","0.0","19.65","56.83","256.03","128.02","236.39","199.21","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","414.0","0.12","0.91","0.0","6.42","0.91","5.85","0.0","0.0","0.0","0.0","25.5","56.83","256.03","128.02","230.53","199.21","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","414.0","0.12","0.92","0.0","4.51","0.92","4.15","0.0","0.0","0.0","0.0","29.65","56.83","256.03","128.02","226.38","199.21","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","414.0","0.12","0.93","0.0","5.24","0.93","4.87","0.0","0.0","0.0","0.0","34.51","56.83","256.03","128.02","221.52","199.21","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","414.0","0.12","0.94","0.0","6.46","0.94","6.06","0.0","0.0","0.0","0.0","40.57","56.83","256.03","128.02","215.46","199.21","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","414.0","0.12","0.95","0.0","6.6","0.95","6.24","0.0","0.0","0.0","0.0","46.81","56.83","256.03","128.02","209.22","199.21","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","414.0","0.12","0.95","0.0","6.72","0.95","6.36","0.0","0.0","0.0","0.0","53.17","56.83","256.03","128.02","202.86","199.21","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","414.0","0.11","0.95","0.0","6.66","0.95","6.3","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","59.47","","","","","","","","",""
"2015.0","7.0","15.0","196.0","414.0","0.11","0.95","0.0","6.77","0.95","6.4","0.0","0.0","0.0","0.0","6.4","56.83","256.03","128.02","249.63","199.21","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","414.0","0.11","0.95","0.0","7.29","0.95","6.9","0.0","0.0","0.0","0.0","13.3","56.83","256.03","128.02","242.73","199.21","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","414.0","0.11","0.95","0.0","7.45","0.95","7.05","0.0","0.0","0.0","0.0","20.35","56.83","256.03","128.02","235.68","199.21","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","414.0","0.11","0.95","0.0","7.52","0.95","7.11","0.0","0.0","0.0","0.0","27.46","56.83","256.03","128.02","228.57","199.21","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","414.0","0.11","0.95","0.0","6.89","0.95","6.52","0.0","0.0","0.0","0.0","33.98","56.83","256.03","128.02","222.05","199.21","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","414.0","0.11","0.95","0.0","7.43","0.95","7.03","0.0","0.0","0.0","0.0","41.01","56.83","256.03","128.02","215.02","199.21","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","414.0","0.11","0.95","0.0","7.44","0.95","7.04","0.0","0.0","0.0","0.0","48.05","56.83","256.03","128.02","207.98","199.21","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","414.0","0.11","0.95","0.0","7.1","0.95","6.72","0.0","0.0","0.0","0.0","54.76","56.83","256.03","128.02","201.27","199.21","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","414.0","0.11","0.95","0.0","6.23","0.95","5.89","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","60.66","","","","","","","","",""
"2015.0","7.0","24.0","205.0","414.0","0.11","0.95","0.0","6.45","0.95","6.1","0.0","0.0","0.0","0.0","6.1","56.83","256.03","128.02","249.93","199.21","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","414.0","0.11","0.95","0.0","6.6","0.95","6.24","0.0","0.0","0.0","0.0","12.35","56.83","256.03","128.02","243.69","199.21","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","414.0","0.11","0.95","0.0","6.59","0.95","6.23","0.0","0.0","0.0","0.0","18.58","56.83","256.03","128.02","237.45","199.21","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","414.0","0.11","0.95","0.0","7.51","0.95","7.1","0.0","0.0","0.0","0.0","25.68","56.83","256.03","128.02","230.35","199.21","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","414.0","0.1","0.95","0.0","7.9","0.95","7.47","0.0","0.0","0.0","0.0","33.16","56.83","256.03","128.02","222.87","199.21","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","414.0","0.1","0.95","0.0","7.55","0.95","7.14","0.0","0.0","0.0","0.0","40.3","56.83","256.03","128.02","215.73","199.21","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","414.0","0.1","0.95","0.0","8.0","0.95","7.57","0.0","0.0","0.0","0.0","47.87","56.83","256.03","128.02","208.16","199.21","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","414.0","0.1","0.95","0.0","6.92","0.95","6.55","0.0","0.0","0.0","0.0","54.41","56.83","256.03","128.02","201.62","199.21","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","414.0","0.1","0.95","0.0","7.08","0.95","6.7","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","61.11","","","","","","","","",""
"2015.0","8.0","2.0","214.0","414.0","0.1","0.95","0.0","6.92","0.95","6.55","0.0","0.0","0.0","0.0","6.55","56.83","256.03","128.02","249.49","199.21","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","414.0","0.1","0.95","0.0","7.0","0.95","6.62","0.0","0.0","0.0","0.0","13.17","56.83","256.03","128.02","242.86","199.21","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","414.0","0.1","0.95","0.0","4.85","0.95","4.59","0.0","0.0","0.0","0.0","17.76","56.83","256.03","128.02","238.28","199.21","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","414.0","0.1","0.95","0.0","5.83","0.95","5.52","0.0","0.0","0.0","0.0","23.27","56.83","256.03","128.02","232.76","199.21","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","414.0","0.1","0.95","0.0","4.52","0.95","4.28","0.0","0.0","0.0","0.0","27.55","56.83","256.03","128.02","228.48","199.21","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","414.0","0.1","0.95","0.0","6.88","0.95","6.51","0.0","0.0","0.0","0.0","34.06","56.83","256.03","128.02","221.98","199.21","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","414.0","0.1","0.95","0.0","6.22","0.95","5.88","0.0","0.0","0.0","0.0","39.94","56.83","256.03","128.02","216.09","199.21","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","414.0","0.1","0.95","0.0","6.69","0.95","6.33","0.0","0.0","0.0","0.0","46.27","56.83","256.03","128.02","209.76","199.21","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","414.0","0.1","0.95","0.0","6.74","0.95","6.38","0.0","0.0","0.0","0.0","52.64","56.83","256.03","128.02","203.39","199.21","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","414.0","0.1","0.95","0.0","6.58","0.95","6.22","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","58.87","","","","","","","","",""
"2015.0","8.0","12.0","224.0","414.0","0.1","0.95","0.0","6.46","0.95","6.11","0.0","0.0","0.0","0.0","6.11","56.83","256.03","128.02","249.92","199.21","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","414.0","0.1","0.95","0.0","6.63","0.95","6.27","0.0","0.0","0.0","0.0","12.38","56.83","256.03","128.02","243.65","199.21","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","414.0","0.1","0.95","0.0","6.2","0.95","5.87","0.0","0.0","0.0","0.0","18.25","56.83","256.03","128.02","237.78","199.21","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","414.0","0.1","0.95","0.0","6.51","0.95","6.16","0.0","0.0","0.0","0.0","24.41","56.83","256.03","128.02","231.63","199.21","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","414.0","0.1","0.95","0.0","6.78","0.95","6.41","0.0","0.0","0.0","0.0","30.82","56.83","256.03","128.02","225.21","199.21","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","414.0","0.09","0.95","0.0","7.25","0.95","6.86","0.0","0.0","0.0","0.0","37.68","56.83","256.03","128.02","218.35","199.21","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","414.0","0.09","0.95","0.0","7.05","0.95","6.67","0.0","0.0","0.0","0.0","44.35","56.83","256.03","128.02","211.68","199.21","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","414.0","0.09","0.95","0.0","6.44","0.95","6.09","0.0","0.0","0.0","0.0","50.44","56.83","256.03","128.02","205.59","199.21","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","414.0","0.09","0.95","0.0","5.71","0.95","5.4","0.0","0.0","0.0","0.0","55.84","56.83","256.03","128.02","200.19","199.21","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","414.0","0.09","0.95","0.0","5.79","0.95","5.48","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","61.32","","","","","","","","",""
"2015.0","8.0","22.0","234.0","414.0","0.09","0.95","0.0","5.86","0.95","5.54","0.0","0.0","0.0","0.0","5.54","56.83","256.03","128.02","250.49","199.21","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","414.0","0.09","0.95","0.0","5.93","0.95","5.61","0.0","0.0","0.0","0.0","11.15","56.83","256.03","128.02","244.88","199.21","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","414.0","0.09","0.95","0.0","6.4","0.95","6.05","0.0","0.0","0.0","0.0","17.21","56.83","256.03","128.02","238.82","199.21","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","414.0","0.09","0.95","0.0","6.7","0.95","6.34","0.0","0.0","0.0","0.0","23.55","56.83","256.03","128.02","232.49","199.21","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","414.0","0.09","0.95","0.0","6.8","0.95","6.43","0.0","0.0","0.0","0.0","29.98","56.83","256.03","128.02","226.05","199.21","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","414.0","0.09","0.95","0.0","6.81","0.95","6.44","0.0","0.0","0.0","0.0","36.42","56.83","256.03","128.02","219.61","199.21","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","414.0","0.09","0.95","0.0","6.87","0.95","6.5","0.0","0.0","0.0","0.0","42.92","56.83","256.03","128.02","213.11","199.21","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","414.0","0.09","0.95","0.0","5.44","0.95","5.15","0.0","0.0","0.0","0.0","48.07","56.83","256.03","128.02","207.97","199.21","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","414.0","0.09","0.95","0.0","5.56","0.95","5.26","0.0","0.0","0.0","0.0","53.33","56.83","256.03","128.02","202.71","199.21","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","414.0","0.09","0.95","0.0","5.76","0.95","5.45","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","58.77","","","","","","","","",""
"2015.0","9.0","1.0","244.0","414.0","0.09","0.95","0.0","5.9","0.95","5.58","0.0","0.0","0.0","0.0","5.58","56.83","256.03","128.02","250.45","199.21","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","414.0","0.09","0.95","0.0","5.77","0.95","5.46","0.0","0.0","0.0","0.0","11.04","56.83","256.03","128.02","244.99","199.21","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","414.0","0.09","0.95","0.0","5.25","0.95","4.97","0.0","0.0","0.0","0.0","16.01","56.83","256.03","128.02","240.03","199.21","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","414.0","0.09","0.95","0.0","5.36","0.95","5.07","0.0","0.0","0.0","0.0","21.08","56.83","256.03","128.02","234.96","199.21","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","414.0","0.09","0.95","0.0","5.84","0.95","5.52","0.0","0.0","0.0","0.0","26.6","56.83","256.03","128.02","229.43","199.21","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","414.0","0.09","0.95","0.0","5.27","0.95","4.99","0.0","0.0","0.0","0.0","31.59","56.83","256.03","128.02","224.45","199.21","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","414.0","0.09","0.95","0.0","5.59","0.95","5.29","0.0","0.0","0.0","0.0","36.88","56.83","256.03","128.02","219.16","199.21","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","414.0","0.09","0.95","0.0","5.46","0.95","5.17","0.0","0.0","0.0","0.0","42.04","56.83","256.03","128.02","213.99","199.21","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","414.0","0.09","0.94","0.0","6.23","0.94","5.86","0.0","0.0","0.0","0.0","47.9","56.83","256.03","128.02","208.14","199.21","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","414.0","0.09","0.93","0.0","6.64","0.93","6.2","0.0","0.0","0.0","0.0","54.09","56.83","256.03","128.02","201.94","199.21","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","414.0","0.09","0.93","0.0","6.34","0.93","5.88","0.0","0.0","0.0","0.0","0.0","56.83","256.03","128.02","256.03","199.21","59.97","","","","","","","","",""
"2015.0","9.0","12.0","255.0","414.0","0.09","0.92","0.0","4.82","0.92","4.44","0.0","0.0","0.0","0.0","4.44","56.83","256.03","128.02","251.59","199.21","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","414.0","0.09","0.92","0.0","5.41","0.92","4.95","0.0","0.0","0.0","0.0","9.39","56.83","256.03","128.02","246.64","199.21","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","414.0","0.09","0.91","0.0","4.19","0.91","3.81","0.0","0.0","0.0","0.0","13.2","56.83","256.03","128.02","242.83","199.21","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","414.0","0.09","0.9","0.0","4.58","0.9","4.13","0.0","0.0","0.0","0.0","17.33","64.01","256.03","128.02","238.7","192.02","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","414.0","0.09","0.9","0.0","3.32","0.9","2.98","0.0","0.0","0.0","0.0","20.31","64.01","256.03","128.02","235.72","192.02","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","414.0","0.09","0.89","0.0","3.93","0.89","3.5","0.23","0.23","0.0","0.0","23.58","64.01","256.03","128.02","232.45","192.02","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","414.0","0.08","0.88","0.0","4.53","0.88","4.01","0.0","0.0","0.0","0.0","27.59","64.01","256.03","128.02","228.45","192.02","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","414.0","0.08","0.88","0.0","4.78","0.88","4.2","0.0","0.0","0.0","0.0","31.78","64.01","256.03","128.02","224.25","192.02","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","414.0","0.08","0.87","0.0","4.79","0.87","4.18","0.0","0.0","0.0","0.0","35.96","64.01","256.03","128.02","220.07","192.02","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","414.0","0.08","0.87","0.0","5.6","0.87","4.85","0.0","0.0","0.0","0.0","40.81","64.01","256.03","128.02","215.23","192.02","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","414.0","0.08","0.86","0.0","5.83","0.86","5.01","0.0","0.0","0.0","0.0","45.82","64.01","256.03","128.02","210.22","192.02","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","414.0","0.08","0.85","0.0","4.62","0.85","3.94","0.0","0.0","0.0","0.0","49.76","64.01","256.03","128.02","206.27","192.02","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","414.0","0.08","0.85","0.0","4.63","0.85","3.92","0.0","0.0","0.0","0.0","53.68","64.01","256.03","128.02","202.35","192.02","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","414.0","0.08","0.84","0.0","5.62","0.84","4.73","0.0","0.0","0.0","0.0","58.41","64.01","256.03","128.02","197.63","192.02","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","414.0","0.08","0.83","0.0","5.39","0.83","4.5","0.0","0.0","0.0","0.0","62.91","64.01","256.03","128.02","193.13","192.02","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","414.0","0.08","0.83","0.0","4.08","0.83","3.38","0.0","0.0","0.0","0.0","0.0","64.01","256.03","128.02","256.03","192.02","66.29","","","","","","","","",""
"2015.0","9.0","28.0","271.0","414.0","0.08","0.82","0.0","4.73","0.82","3.89","0.0","0.0","0.0","0.0","3.89","64.01","256.03","128.02","252.14","192.02","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","414.0","0.08","0.82","0.0","4.31","0.82","3.52","0.0","0.0","0.0","0.0","7.41","64.01","256.03","128.02","248.62","192.02","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","414.0","0.08","0.81","0.0","2.04","0.81","1.65","0.0","0.0","0.0","0.0","9.06","64.01","256.03","128.02","246.97","192.02","0.0","","","","","","","","",""
