" Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","4088.0","0.14","1.0","0.0","7.98","1.0","7.98","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.98","","","","","","","","",""
"2015.0","6.0","26.0","177.0","4088.0","0.13","1.0","0.0","8.46","1.0","8.46","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.46","","","","","","","","",""
"2015.0","6.0","27.0","178.0","4088.0","0.13","1.0","0.0","7.16","1.0","7.16","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.16","","","","","","","","",""
"2015.0","6.0","28.0","179.0","4088.0","0.13","1.0","0.0","7.43","1.0","7.43","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.43","","","","","","","","",""
"2015.0","6.0","29.0","180.0","4088.0","0.13","1.0","0.0","7.6","1.0","7.6","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.6","","","","","","","","",""
"2015.0","6.0","30.0","181.0","4088.0","0.13","1.0","0.0","7.68","1.0","7.68","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.68","","","","","","","","",""
"2015.0","7.0","1.0","182.0","4088.0","0.13","1.0","0.0","7.42","1.0","7.42","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.42","","","","","","","","",""
"2015.0","7.0","2.0","183.0","4088.0","0.13","1.0","0.0","7.56","1.0","7.56","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.56","","","","","","","","",""
"2015.0","7.0","3.0","184.0","4088.0","0.12","1.0","0.0","7.43","1.0","7.43","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.43","","","","","","","","",""
"2015.0","7.0","4.0","185.0","4088.0","0.12","1.0","0.0","8.14","1.0","8.14","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.14","","","","","","","","",""
"2015.0","7.0","5.0","186.0","4088.0","0.12","1.0","0.0","7.47","1.0","7.47","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.47","","","","","","","","",""
"2015.0","7.0","6.0","187.0","4088.0","0.12","1.0","0.0","7.45","1.0","7.45","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.45","","","","","","","","",""
"2015.0","7.0","7.0","188.0","4088.0","0.12","1.0","0.0","7.05","1.0","7.05","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.05","","","","","","","","",""
"2015.0","7.0","8.0","189.0","4088.0","0.12","1.0","0.0","6.42","1.0","6.42","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.42","","","","","","","","",""
"2015.0","7.0","9.0","190.0","4088.0","0.12","1.0","0.0","4.51","1.0","4.51","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.51","","","","","","","","",""
"2015.0","7.0","10.0","191.0","4088.0","0.12","1.0","0.0","5.24","1.0","5.24","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.24","","","","","","","","",""
"2015.0","7.0","11.0","192.0","4088.0","0.12","1.0","0.0","6.46","1.0","6.46","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.46","","","","","","","","",""
"2015.0","7.0","12.0","193.0","4088.0","0.12","1.0","0.0","6.6","1.0","6.6","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.6","","","","","","","","",""
"2015.0","7.0","13.0","194.0","4088.0","0.12","1.0","0.0","6.72","1.0","6.72","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.72","","","","","","","","",""
"2015.0","7.0","14.0","195.0","4088.0","0.11","1.0","0.0","6.66","1.0","6.66","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.66","","","","","","","","",""
"2015.0","7.0","15.0","196.0","4088.0","0.11","1.0","0.0","6.77","1.0","6.77","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.77","","","","","","","","",""
"2015.0","7.0","16.0","197.0","4088.0","0.11","1.0","0.0","7.29","1.0","7.29","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.29","","","","","","","","",""
"2015.0","7.0","17.0","198.0","4088.0","0.11","1.0","0.0","7.45","1.0","7.45","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.45","","","","","","","","",""
"2015.0","7.0","18.0","199.0","4088.0","0.11","1.0","0.0","7.52","1.0","7.52","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.52","","","","","","","","",""
"2015.0","7.0","19.0","200.0","4088.0","0.11","1.0","0.0","6.89","1.0","6.89","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.89","","","","","","","","",""
"2015.0","7.0","20.0","201.0","4088.0","0.11","1.0","0.0","7.43","1.0","7.43","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.43","","","","","","","","",""
"2015.0","7.0","21.0","202.0","4088.0","0.11","1.0","0.0","7.44","1.0","7.44","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.44","","","","","","","","",""
"2015.0","7.0","22.0","203.0","4088.0","0.11","1.0","0.0","7.1","1.0","7.1","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.1","","","","","","","","",""
"2015.0","7.0","23.0","204.0","4088.0","0.11","1.0","0.0","6.23","1.0","6.23","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.23","","","","","","","","",""
"2015.0","7.0","24.0","205.0","4088.0","0.11","1.0","0.0","6.45","1.0","6.45","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.45","","","","","","","","",""
"2015.0","7.0","25.0","206.0","4088.0","0.11","1.0","0.0","6.6","1.0","6.6","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.6","","","","","","","","",""
"2015.0","7.0","26.0","207.0","4088.0","0.11","1.0","0.0","6.59","1.0","6.59","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.59","","","","","","","","",""
"2015.0","7.0","27.0","208.0","4088.0","0.11","1.0","0.0","7.51","1.0","7.51","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.51","","","","","","","","",""
"2015.0","7.0","28.0","209.0","4088.0","0.1","1.0","0.0","7.9","1.0","7.9","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.9","","","","","","","","",""
"2015.0","7.0","29.0","210.0","4088.0","0.1","1.0","0.0","7.55","1.0","7.55","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.55","","","","","","","","",""
"2015.0","7.0","30.0","211.0","4088.0","0.1","1.0","0.0","8.0","1.0","8.0","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","4088.0","0.1","1.0","0.0","6.92","1.0","6.92","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.92","","","","","","","","",""
"2015.0","8.0","1.0","213.0","4088.0","0.1","1.0","0.0","7.08","1.0","7.08","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.08","","","","","","","","",""
"2015.0","8.0","2.0","214.0","4088.0","0.1","1.0","0.0","6.92","1.0","6.92","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.92","","","","","","","","",""
"2015.0","8.0","3.0","215.0","4088.0","0.1","1.0","0.0","7.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","4088.0","0.1","1.0","0.0","4.85","1.0","4.85","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.85","","","","","","","","",""
"2015.0","8.0","5.0","217.0","4088.0","0.1","1.0","0.0","5.83","1.0","5.83","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.83","","","","","","","","",""
"2015.0","8.0","6.0","218.0","4088.0","0.1","1.0","0.0","4.52","1.0","4.52","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.52","","","","","","","","",""
"2015.0","8.0","7.0","219.0","4088.0","0.1","1.0","0.0","6.88","1.0","6.88","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.88","","","","","","","","",""
"2015.0","8.0","8.0","220.0","4088.0","0.1","1.0","0.0","6.22","1.0","6.22","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.22","","","","","","","","",""
"2015.0","8.0","9.0","221.0","4088.0","0.1","1.0","0.0","6.69","1.0","6.69","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.69","","","","","","","","",""
"2015.0","8.0","10.0","222.0","4088.0","0.1","1.0","0.0","6.74","1.0","6.74","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.74","","","","","","","","",""
"2015.0","8.0","11.0","223.0","4088.0","0.1","1.0","0.0","6.58","1.0","6.58","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.58","","","","","","","","",""
"2015.0","8.0","12.0","224.0","4088.0","0.1","1.0","0.0","6.46","1.0","6.46","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.46","","","","","","","","",""
"2015.0","8.0","13.0","225.0","4088.0","0.1","1.0","0.0","6.63","1.0","6.63","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.63","","","","","","","","",""
"2015.0","8.0","14.0","226.0","4088.0","0.1","1.0","0.0","6.2","1.0","6.2","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.2","","","","","","","","",""
"2015.0","8.0","15.0","227.0","4088.0","0.1","1.0","0.0","6.51","1.0","6.51","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.51","","","","","","","","",""
"2015.0","8.0","16.0","228.0","4088.0","0.1","1.0","0.0","6.78","1.0","6.78","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.78","","","","","","","","",""
"2015.0","8.0","17.0","229.0","4088.0","0.09","1.0","0.0","7.25","1.0","7.25","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.25","","","","","","","","",""
"2015.0","8.0","18.0","230.0","4088.0","0.09","1.0","0.0","7.05","1.0","7.05","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.05","","","","","","","","",""
"2015.0","8.0","19.0","231.0","4088.0","0.09","1.0","0.0","6.44","1.0","6.44","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.44","","","","","","","","",""
"2015.0","8.0","20.0","232.0","4088.0","0.09","1.0","0.0","5.71","1.0","5.71","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.71","","","","","","","","",""
"2015.0","8.0","21.0","233.0","4088.0","0.09","1.0","0.0","5.79","1.0","5.79","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.79","","","","","","","","",""
"2015.0","8.0","22.0","234.0","4088.0","0.09","0.99","0.0","5.86","0.99","5.79","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.79","","","","","","","","",""
"2015.0","8.0","23.0","235.0","4088.0","0.09","0.98","0.0","5.93","0.98","5.78","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.78","","","","","","","","",""
"2015.0","8.0","24.0","236.0","4088.0","0.09","0.96","0.0","6.4","0.96","6.16","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.16","","","","","","","","",""
"2015.0","8.0","25.0","237.0","4088.0","0.09","0.95","0.0","6.7","0.95","6.37","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.37","","","","","","","","",""
"2015.0","8.0","26.0","238.0","4088.0","0.09","0.94","0.0","6.8","0.94","6.38","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.38","","","","","","","","",""
"2015.0","8.0","27.0","239.0","4088.0","0.09","0.93","0.0","6.81","0.93","6.3","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.3","","","","","","","","",""
"2015.0","8.0","28.0","240.0","4088.0","0.09","0.91","0.0","6.87","0.91","6.27","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.27","","","","","","","","",""
"2015.0","8.0","29.0","241.0","4088.0","0.09","0.9","0.0","5.44","0.9","4.9","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.9","","","","","","","","",""
"2015.0","8.0","30.0","242.0","4088.0","0.09","0.89","0.0","5.56","0.89","4.93","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.93","","","","","","","","",""
"2015.0","8.0","31.0","243.0","4088.0","0.09","0.88","0.0","5.76","0.88","5.04","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.04","","","","","","","","",""
"2015.0","9.0","1.0","244.0","4088.0","0.09","0.86","0.0","5.9","0.86","5.09","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.09","","","","","","","","",""
"2015.0","9.0","2.0","245.0","4088.0","0.09","0.85","0.0","5.77","0.85","4.9","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.9","","","","","","","","",""
"2015.0","9.0","3.0","246.0","4088.0","0.09","0.84","0.0","5.25","0.84","4.4","0.0","0.0","0.0","0.0","4.4","22.5","182.88","91.44","178.48","160.38","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","4088.0","0.09","0.83","0.0","5.36","0.83","4.42","0.0","0.0","0.0","0.0","8.82","22.5","182.88","91.44","174.06","160.38","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","4088.0","0.09","0.81","0.0","5.84","0.81","4.75","0.0","0.0","0.0","0.0","13.56","22.5","182.88","91.44","169.32","160.38","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","4088.0","0.09","0.8","0.0","5.27","0.8","4.22","0.0","0.0","0.0","0.0","17.78","22.5","182.88","91.44","165.1","160.38","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","4088.0","0.09","0.79","0.0","5.59","0.79","4.4","0.0","0.0","0.0","0.0","22.18","22.5","182.88","91.44","160.7","160.38","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","4088.0","0.09","0.78","0.0","5.46","0.78","4.23","0.0","0.0","0.0","0.0","26.41","22.5","182.88","91.44","156.47","160.38","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","4088.0","0.09","0.76","0.0","6.23","0.76","4.75","0.0","0.0","0.0","0.0","31.16","22.5","182.88","91.44","151.72","160.38","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","4088.0","0.09","0.75","0.0","6.64","0.75","4.98","0.0","0.0","0.0","0.0","36.14","22.5","182.88","91.44","146.74","160.38","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","4088.0","0.09","0.74","0.0","6.34","0.74","4.68","0.0","0.0","0.0","0.0","40.82","22.5","182.88","91.44","142.06","160.38","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","4088.0","0.09","0.73","0.0","4.82","0.73","3.49","0.0","0.0","0.0","0.0","44.31","22.5","182.88","91.44","138.57","160.38","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","4088.0","0.09","0.71","0.0","5.41","0.71","3.85","0.0","0.0","0.0","0.0","48.17","22.5","182.88","91.44","134.71","160.38","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","4088.0","0.09","0.7","0.0","4.19","0.7","2.93","0.0","0.0","0.0","0.0","51.1","22.5","182.88","91.44","131.78","160.38","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","4088.0","0.09","0.69","0.0","4.58","0.69","3.15","0.0","0.0","0.0","0.0","54.25","22.5","182.88","91.44","128.63","160.38","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","4088.0","0.09","0.68","0.0","3.32","0.68","2.24","0.0","0.0","0.0","0.0","56.49","22.5","182.88","91.44","126.39","160.38","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","4088.0","0.09","0.66","0.0","3.93","0.66","2.6","0.23","0.23","0.0","0.0","58.87","22.5","182.88","91.44","124.01","160.38","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","4088.0","0.08","0.65","0.0","4.53","0.65","2.94","0.0","0.0","0.0","0.0","61.81","22.5","182.88","91.44","121.07","160.38","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","4088.0","0.08","0.64","0.0","4.78","0.64","3.05","0.0","0.0","0.0","0.0","64.86","22.5","182.88","91.44","118.02","160.38","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","4088.0","0.08","0.63","0.0","4.79","0.63","2.99","0.0","0.0","0.0","0.0","67.85","22.5","182.88","91.44","115.03","160.38","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","4088.0","0.08","0.61","0.0","5.6","0.61","3.43","0.0","0.0","0.0","0.0","71.28","22.5","182.88","91.44","111.6","160.38","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","4088.0","0.08","0.6","0.0","5.83","0.6","3.5","0.0","0.0","0.0","0.0","74.78","22.5","182.88","91.44","108.1","160.38","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","4088.0","0.08","0.0","0.0","4.62","0.08","0.39","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","4088.0","0.08","0.0","0.0","4.63","0.08","0.39","0.0","0.0","0.0","0.0","22.89","22.5","182.88","91.44","159.99","160.38","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","4088.0","0.08","0.0","0.0","5.62","0.08","0.47","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","4088.0","0.08","0.0","0.0","5.39","0.08","0.45","0.0","0.0","0.0","0.0","22.95","22.5","182.88","91.44","159.93","160.38","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","4088.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","4088.0","0.08","0.0","0.0","4.73","0.08","0.39","0.0","0.0","0.0","0.0","22.89","22.5","182.88","91.44","159.99","160.38","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","4088.0","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","4088.0","0.08","0.0","0.0","2.04","0.08","0.17","0.0","0.0","0.0","0.0","22.67","22.5","182.88","91.44","160.21","160.38","0.0","","","","","","","","",""
