" Daily soil water balance output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","999.0","0.13","0.7","0.0","7.16","0.7","5.03","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","76.42","","","","","","","","",""
"2015.0","6.0","28.0","179.0","999.0","0.13","0.71","0.0","7.43","0.71","5.28","0.0","0.0","0.0","0.0","5.28","71.47","320.04","160.02","314.76","248.57","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","999.0","0.13","0.72","0.0","7.6","0.72","5.46","0.0","0.0","0.0","0.0","10.73","71.47","320.04","160.02","309.31","248.57","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","999.0","0.13","0.73","0.0","7.68","0.73","5.57","0.0","0.0","0.0","0.0","16.31","71.47","320.04","160.02","303.73","248.57","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","999.0","0.13","0.73","0.0","7.42","0.73","5.44","0.0","0.0","0.0","0.0","21.75","71.47","320.04","160.02","298.29","248.57","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","999.0","0.13","0.74","0.0","7.56","0.74","5.6","0.0","0.0","0.0","0.0","27.35","71.47","320.04","160.02","292.69","248.57","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","999.0","0.12","0.75","0.0","7.43","0.75","5.56","0.0","0.0","0.0","0.0","32.92","71.47","320.04","160.02","287.12","248.57","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","999.0","0.12","0.76","0.0","8.14","0.76","6.16","0.0","0.0","0.0","0.0","39.07","71.47","320.04","160.02","280.97","248.57","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","999.0","0.12","0.76","0.0","7.47","0.76","5.71","0.0","0.0","0.0","0.0","44.78","71.47","320.04","160.02","275.26","248.57","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","999.0","0.12","0.77","0.0","7.45","0.77","5.75","0.0","0.0","0.0","0.0","50.54","71.47","320.04","160.02","269.5","248.57","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","999.0","0.12","0.78","0.0","7.05","0.78","5.5","0.0","0.0","0.0","0.0","56.03","71.47","320.04","160.02","264.01","248.57","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","999.0","0.12","0.79","0.0","6.42","0.79","5.06","0.0","0.0","0.0","0.0","61.09","71.47","320.04","160.02","258.95","248.57","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","999.0","0.12","0.8","0.0","4.51","0.8","3.59","0.0","0.0","0.0","0.0","64.68","71.47","320.04","160.02","255.36","248.57","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","999.0","0.12","0.8","0.0","5.24","0.8","4.21","0.0","0.0","0.0","0.0","68.88","71.47","320.04","160.02","251.16","248.57","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","999.0","0.12","0.81","0.0","6.46","0.81","5.24","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","74.12","","","","","","","","",""
"2015.0","7.0","12.0","193.0","999.0","0.12","0.82","0.0","6.6","0.82","5.4","0.0","0.0","0.0","0.0","5.4","71.47","320.04","160.02","314.64","248.57","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","999.0","0.12","0.83","0.0","6.72","0.83","5.55","0.0","0.0","0.0","0.0","10.95","71.47","320.04","160.02","309.09","248.57","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","999.0","0.11","0.83","0.0","6.66","0.83","5.55","0.0","0.0","0.0","0.0","16.51","71.47","320.04","160.02","303.53","248.57","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","999.0","0.11","0.84","0.0","6.77","0.84","5.7","0.0","0.0","0.0","0.0","22.21","71.47","320.04","160.02","297.83","248.57","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","999.0","0.11","0.85","0.0","7.29","0.85","6.19","0.0","0.0","0.0","0.0","28.4","71.47","320.04","160.02","291.64","248.57","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","999.0","0.11","0.86","0.0","7.45","0.86","6.39","0.0","0.0","0.0","0.0","34.79","71.47","320.04","160.02","285.25","248.57","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","999.0","0.11","0.86","0.0","7.52","0.86","6.5","0.0","0.0","0.0","0.0","41.29","71.47","320.04","160.02","278.75","248.57","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","999.0","0.11","0.87","0.0","6.89","0.87","6.01","0.0","0.0","0.0","0.0","47.3","71.47","320.04","160.02","272.74","248.57","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","999.0","0.11","0.88","0.0","7.43","0.88","6.54","0.0","0.0","0.0","0.0","53.84","71.47","320.04","160.02","266.2","248.57","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","999.0","0.11","0.89","0.0","7.44","0.89","6.61","0.0","0.0","0.0","0.0","60.45","71.47","320.04","160.02","259.59","248.57","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","999.0","0.11","0.9","0.0","7.1","0.9","6.36","0.0","0.0","0.0","0.0","66.81","71.47","320.04","160.02","253.23","248.57","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","999.0","0.11","0.9","0.0","6.23","0.9","5.63","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","72.44","","","","","","","","",""
"2015.0","7.0","24.0","205.0","999.0","0.11","0.91","0.0","6.45","0.91","5.88","0.0","0.0","0.0","0.0","5.88","71.47","320.04","160.02","314.16","248.57","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","999.0","0.11","0.92","0.0","6.6","0.92","6.07","0.0","0.0","0.0","0.0","11.94","71.47","320.04","160.02","308.1","248.57","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","999.0","0.11","0.93","0.0","6.59","0.93","6.11","0.0","0.0","0.0","0.0","18.05","71.47","320.04","160.02","301.99","248.57","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","999.0","0.11","0.93","0.0","7.51","0.93","7.02","0.0","0.0","0.0","0.0","25.07","71.47","320.04","160.02","294.97","248.57","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","999.0","0.1","0.94","0.0","7.9","0.94","7.44","0.0","0.0","0.0","0.0","32.51","71.47","320.04","160.02","287.53","248.57","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","999.0","0.1","0.95","0.0","7.55","0.95","7.17","0.0","0.0","0.0","0.0","39.69","71.47","320.04","160.02","280.35","248.57","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","999.0","0.1","0.95","0.0","8.0","0.95","7.6","0.0","0.0","0.0","0.0","47.29","71.47","320.04","160.02","272.75","248.57","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","999.0","0.1","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","53.86","71.47","320.04","160.02","266.18","248.57","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","999.0","0.1","0.95","0.0","7.08","0.95","6.73","0.0","0.0","0.0","0.0","60.59","71.47","320.04","160.02","259.45","248.57","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","999.0","0.1","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","67.16","71.47","320.04","160.02","252.88","248.57","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","999.0","0.1","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","73.81","","","","","","","","",""
"2015.0","8.0","4.0","216.0","999.0","0.1","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","4.61","71.47","320.04","160.02","315.43","248.57","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","999.0","0.1","0.95","0.0","5.83","0.95","5.54","0.0","0.0","0.0","0.0","10.15","71.47","320.04","160.02","309.89","248.57","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","999.0","0.1","0.95","0.0","4.52","0.95","4.29","0.0","0.0","0.0","0.0","14.44","71.47","320.04","160.02","305.6","248.57","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","999.0","0.1","0.95","0.0","6.88","0.95","6.54","0.0","0.0","0.0","0.0","20.98","71.47","320.04","160.02","299.06","248.57","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","999.0","0.1","0.95","0.0","6.22","0.95","5.91","0.0","0.0","0.0","0.0","26.89","71.47","320.04","160.02","293.16","248.57","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","999.0","0.1","0.95","0.0","6.69","0.95","6.36","0.0","0.0","0.0","0.0","33.24","71.47","320.04","160.02","286.8","248.57","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","999.0","0.1","0.95","0.0","6.74","0.95","6.4","0.0","0.0","0.0","0.0","39.64","71.47","320.04","160.02","280.4","248.57","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","999.0","0.1","0.95","0.0","6.58","0.95","6.25","0.0","0.0","0.0","0.0","45.89","71.47","320.04","160.02","274.15","248.57","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","999.0","0.1","0.95","0.0","6.46","0.95","6.14","0.0","0.0","0.0","0.0","52.03","71.47","320.04","160.02","268.01","248.57","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","999.0","0.1","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","58.33","71.47","320.04","160.02","261.71","248.57","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","999.0","0.1","0.95","0.0","6.2","0.95","5.89","0.0","0.0","0.0","0.0","64.22","71.47","320.04","160.02","255.82","248.57","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","999.0","0.1","0.95","0.0","6.51","0.95","6.18","0.0","0.0","0.0","0.0","70.4","71.47","320.04","160.02","249.64","248.57","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","999.0","0.1","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","76.85","","","","","","","","",""
"2015.0","8.0","17.0","229.0","999.0","0.09","0.95","0.0","7.25","0.95","6.89","0.0","0.0","0.0","0.0","6.89","71.47","320.04","160.02","313.15","248.57","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","999.0","0.09","0.95","0.0","7.05","0.95","6.7","0.0","0.0","0.0","0.0","13.59","71.47","320.04","160.02","306.46","248.57","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","999.0","0.09","0.95","0.0","6.44","0.95","6.12","0.0","0.0","0.0","0.0","19.7","71.47","320.04","160.02","300.34","248.57","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","999.0","0.09","0.95","0.0","5.71","0.95","5.42","0.0","0.0","0.0","0.0","25.13","71.47","320.04","160.02","294.91","248.57","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","999.0","0.09","0.95","0.0","5.79","0.95","5.5","0.0","0.0","0.0","0.0","30.63","71.47","320.04","160.02","289.41","248.57","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","999.0","0.09","0.95","0.0","5.86","0.95","5.57","0.0","0.0","0.0","0.0","36.2","71.47","320.04","160.02","283.85","248.57","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","999.0","0.09","0.95","0.0","5.93","0.95","5.63","0.0","0.0","0.0","0.0","41.83","71.47","320.04","160.02","278.21","248.57","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","999.0","0.09","0.95","0.0","6.4","0.95","6.08","0.0","0.0","0.0","0.0","47.91","71.47","320.04","160.02","272.13","248.57","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","999.0","0.09","0.95","0.0","6.7","0.95","6.37","0.0","0.0","0.0","0.0","54.27","71.47","320.04","160.02","265.77","248.57","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","999.0","0.09","0.95","0.0","6.8","0.95","6.46","0.0","0.0","0.0","0.0","60.73","71.47","320.04","160.02","259.31","248.57","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","999.0","0.09","0.95","0.0","6.81","0.95","6.47","0.0","0.0","0.0","0.0","67.2","71.47","320.04","160.02","252.84","248.57","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","999.0","0.09","0.95","0.0","6.87","0.95","6.53","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","73.73","","","","","","","","",""
"2015.0","8.0","29.0","241.0","999.0","0.09","0.95","0.0","5.44","0.95","5.17","0.0","0.0","0.0","0.0","5.17","71.47","320.04","160.02","314.87","248.57","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","999.0","0.09","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","10.45","71.47","320.04","160.02","309.59","248.57","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","999.0","0.09","0.95","0.0","5.76","0.95","5.47","0.0","0.0","0.0","0.0","15.92","71.47","320.04","160.02","304.12","248.57","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","999.0","0.09","0.95","0.0","5.9","0.95","5.61","0.0","0.0","0.0","0.0","21.53","71.47","320.04","160.02","298.51","248.57","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","999.0","0.09","0.95","0.0","5.77","0.95","5.48","0.0","0.0","0.0","0.0","27.01","71.47","320.04","160.02","293.03","248.57","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","999.0","0.09","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","32.0","71.47","320.04","160.02","288.04","248.57","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","999.0","0.09","0.95","0.0","5.36","0.95","5.09","0.0","0.0","0.0","0.0","37.09","71.47","320.04","160.02","282.95","248.57","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","999.0","0.09","0.95","0.0","5.84","0.95","5.55","0.0","0.0","0.0","0.0","42.64","71.47","320.04","160.02","277.4","248.57","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","999.0","0.09","0.95","0.0","5.27","0.95","5.01","0.0","0.0","0.0","0.0","47.64","71.47","320.04","160.02","272.4","248.57","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","999.0","0.09","0.95","0.0","5.59","0.95","5.31","0.0","0.0","0.0","0.0","52.95","71.47","320.04","160.02","267.09","248.57","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","999.0","0.09","0.95","0.0","5.46","0.95","5.19","0.0","0.0","0.0","0.0","58.14","71.47","320.04","160.02","261.9","248.57","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","999.0","0.09","0.94","0.0","6.23","0.94","5.87","0.0","0.0","0.0","0.0","64.01","71.47","320.04","160.02","256.03","248.57","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","999.0","0.09","0.93","0.0","6.64","0.93","6.21","0.0","0.0","0.0","0.0","70.22","71.47","320.04","160.02","249.82","248.57","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","999.0","0.09","0.93","0.0","6.34","0.93","5.88","0.0","0.0","0.0","0.0","0.0","71.47","320.04","160.02","320.04","248.57","76.1","","","","","","","","",""
"2015.0","9.0","12.0","255.0","999.0","0.09","0.92","0.0","4.82","0.92","4.43","0.0","0.0","0.0","0.0","4.43","80.01","320.04","160.02","315.61","240.03","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","999.0","0.09","0.91","0.0","5.41","0.91","4.93","0.0","0.0","0.0","0.0","9.37","80.01","320.04","160.02","310.67","240.03","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","999.0","0.09","0.9","0.0","4.19","0.9","3.79","0.0","0.0","0.0","0.0","13.16","80.01","320.04","160.02","306.88","240.03","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","999.0","0.09","0.9","0.0","4.58","0.9","4.11","0.0","0.0","0.0","0.0","17.26","80.01","320.04","160.02","302.78","240.03","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","999.0","0.09","0.89","0.0","3.32","0.89","2.95","0.0","0.0","0.0","0.0","20.22","80.01","320.04","160.02","299.82","240.03","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","999.0","0.09","0.88","0.0","3.93","0.88","3.47","0.23","0.23","0.0","0.0","23.45","80.01","320.04","160.02","296.59","240.03","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","999.0","0.08","0.87","0.0","4.53","0.87","3.96","0.0","0.0","0.0","0.0","27.41","80.01","320.04","160.02","292.63","240.03","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","999.0","0.08","0.87","0.0","4.78","0.87","4.14","0.0","0.0","0.0","0.0","31.55","80.01","320.04","160.02","288.49","240.03","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","999.0","0.08","0.86","0.0","4.79","0.86","4.11","0.0","0.0","0.0","0.0","35.67","80.01","320.04","160.02","284.37","240.03","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","999.0","0.08","0.85","0.0","5.6","0.85","4.77","0.0","0.0","0.0","0.0","40.43","80.01","320.04","160.02","279.61","240.03","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","999.0","0.08","0.84","0.0","5.83","0.84","4.92","0.0","0.0","0.0","0.0","45.35","80.01","320.04","160.02","274.69","240.03","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","999.0","0.08","0.84","0.0","4.62","0.84","3.86","0.0","0.0","0.0","0.0","49.22","80.01","320.04","160.02","270.82","240.03","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","999.0","0.08","0.83","0.0","4.63","0.83","3.84","0.0","0.0","0.0","0.0","53.05","80.01","320.04","160.02","266.99","240.03","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","999.0","0.08","0.82","0.0","5.62","0.82","4.61","0.0","0.0","0.0","0.0","57.67","80.01","320.04","160.02","262.37","240.03","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","999.0","0.08","0.81","0.0","5.39","0.81","4.38","0.0","0.0","0.0","0.0","62.05","80.01","320.04","160.02","257.99","240.03","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","999.0","0.08","0.81","0.0","4.08","0.81","3.29","0.0","0.0","0.0","0.0","65.34","80.01","320.04","160.02","254.7","240.03","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","999.0","0.08","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","69.11","80.01","320.04","160.02","250.93","240.03","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","999.0","0.08","0.79","0.0","4.31","0.79","3.41","0.0","0.0","0.0","0.0","72.52","80.01","320.04","160.02","247.52","240.03","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","999.0","0.08","0.78","0.0","2.04","0.78","1.6","0.0","0.0","0.0","0.0","74.12","80.01","320.04","160.02","245.92","240.03","0.0","","","","","","","","",""
