" Daily soil water balance output for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","7.0","4.0","185.0","4.0","0.13","0.7","0.0","7.49","0.7","5.24","0.0","0.0","0.0","0.0","5.24","84.63","373.08","186.54","367.83","288.45","0.0","","","","","","",""
"2015.0","7.0","5.0","186.0","4.0","0.13","0.7","0.0","6.81","0.7","4.77","0.0","0.0","0.0","0.0","10.01","84.63","373.08","186.54","363.07","288.45","0.0","","","","","","",""
"2015.0","7.0","6.0","187.0","4.0","0.13","0.7","0.0","7.06","0.7","4.94","0.0","0.0","0.0","0.0","14.95","84.63","373.08","186.54","358.12","288.45","0.0","","","","","","",""
"2015.0","7.0","7.0","188.0","4.0","0.12","0.7","0.0","6.43","0.7","4.5","0.0","0.0","0.0","0.0","19.45","84.63","373.08","186.54","353.62","288.45","0.0","","","","","","",""
"2015.0","7.0","8.0","189.0","4.0","0.12","0.7","0.0","6.11","0.7","4.28","0.0","0.0","0.0","0.0","23.73","84.63","373.08","186.54","349.35","288.45","0.0","","","","","","",""
"2015.0","7.0","9.0","190.0","4.0","0.12","0.7","0.0","4.59","0.7","3.21","0.0","0.0","0.0","0.0","26.94","84.63","373.08","186.54","346.13","288.45","0.0","","","","","","",""
"2015.0","7.0","10.0","191.0","4.0","0.12","0.7","0.0","5.12","0.7","3.58","0.0","0.0","0.0","0.0","30.53","84.63","373.08","186.54","342.55","288.45","0.0","","","","","","",""
"2015.0","7.0","11.0","192.0","4.0","0.12","0.7","0.0","6.16","0.7","4.31","0.0","0.0","0.0","0.0","34.84","84.63","373.08","186.54","338.24","288.45","0.0","","","","","","",""
"2015.0","7.0","12.0","193.0","4.0","0.12","0.7","0.0","6.25","0.7","4.38","0.0","0.0","0.0","0.0","39.21","84.63","373.08","186.54","333.86","288.45","0.0","","","","","","",""
"2015.0","7.0","13.0","194.0","4.0","0.12","0.7","0.0","6.5","0.7","4.55","0.0","0.0","0.0","0.0","43.76","84.63","373.08","186.54","329.31","288.45","0.0","","","","","","",""
"2015.0","7.0","14.0","195.0","4.0","0.12","0.7","0.0","6.12","0.7","4.28","0.0","0.0","0.0","0.0","48.05","84.63","373.08","186.54","325.03","288.45","0.0","","","","","","",""
"2015.0","7.0","15.0","196.0","4.0","0.12","0.7","0.0","6.37","0.7","4.46","0.0","0.0","0.0","0.0","52.51","84.63","373.08","186.54","320.57","288.45","0.0","","","","","","",""
"2015.0","7.0","16.0","197.0","4.0","0.12","0.7","0.0","6.8","0.7","4.76","0.0","0.0","0.0","0.0","57.27","84.63","373.08","186.54","315.81","288.45","0.0","","","","","","",""
"2015.0","7.0","17.0","198.0","4.0","0.12","0.7","0.0","6.95","0.7","4.87","0.0","0.0","0.0","0.0","62.13","84.63","373.08","186.54","310.94","288.45","0.0","","","","","","",""
"2015.0","7.0","18.0","199.0","4.0","0.12","0.7","0.0","6.8","0.7","4.76","0.0","0.0","0.0","0.0","66.89","84.63","373.08","186.54","306.18","288.45","0.0","","","","","","",""
"2015.0","7.0","19.0","200.0","4.0","0.12","0.7","0.0","6.55","0.7","4.59","0.0","0.0","0.0","0.0","71.48","84.63","373.08","186.54","301.6","288.45","0.0","","","","","","",""
"2015.0","7.0","20.0","201.0","4.0","0.11","0.7","0.0","7.22","0.7","5.05","0.0","0.0","0.0","0.0","76.53","84.63","373.08","186.54","296.54","288.45","0.0","","","","","","",""
"2015.0","7.0","21.0","202.0","4.0","0.11","0.7","0.0","6.9","0.7","4.83","0.0","0.0","0.0","0.0","81.36","84.63","373.08","186.54","291.71","288.45","0.0","","","","","","",""
"2015.0","7.0","22.0","203.0","4.0","0.11","0.7","0.0","6.43","0.7","4.5","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","85.86","","","","","","",""
"2015.0","7.0","23.0","204.0","4.0","0.11","0.7","0.0","6.01","0.7","4.21","0.0","0.0","0.0","0.0","4.21","84.63","373.08","186.54","368.87","288.45","0.0","","","","","","",""
"2015.0","7.0","24.0","205.0","4.0","0.11","0.7","0.0","6.29","0.7","4.4","0.0","0.0","0.0","0.0","8.61","84.63","373.08","186.54","364.47","288.45","0.0","","","","","","",""
"2015.0","7.0","25.0","206.0","4.0","0.11","0.7","0.0","6.27","0.7","4.39","0.0","0.0","0.0","0.0","13.0","84.63","373.08","186.54","360.08","288.45","0.0","","","","","","",""
"2015.0","7.0","26.0","207.0","4.0","0.11","0.7","0.0","6.18","0.7","4.33","0.0","0.0","0.0","0.0","17.33","84.63","373.08","186.54","355.75","288.45","0.0","","","","","","",""
"2015.0","7.0","27.0","208.0","4.0","0.11","0.7","0.0","7.16","0.7","5.01","0.0","0.0","0.0","0.0","22.34","84.63","373.08","186.54","350.74","288.45","0.0","","","","","","",""
"2015.0","7.0","28.0","209.0","4.0","0.11","0.7","0.0","7.41","0.7","5.19","0.0","0.0","0.0","0.0","27.52","84.63","373.08","186.54","345.55","288.45","0.0","","","","","","",""
"2015.0","7.0","29.0","210.0","4.0","0.11","0.7","0.0","7.18","0.7","5.03","0.0","0.0","0.0","0.0","32.55","84.63","373.08","186.54","340.53","288.45","0.0","","","","","","",""
"2015.0","7.0","30.0","211.0","4.0","0.11","0.7","0.0","7.32","0.7","5.12","0.0","0.0","0.0","0.0","37.67","84.63","373.08","186.54","335.4","288.45","0.0","","","","","","",""
"2015.0","7.0","31.0","212.0","4.0","0.11","0.7","0.0","6.34","0.7","4.44","0.0","0.0","0.0","0.0","42.11","84.63","373.08","186.54","330.96","288.45","0.0","","","","","","",""
"2015.0","8.0","1.0","213.0","4.0","0.11","0.7","0.0","6.74","0.7","4.72","0.0","0.0","0.0","0.0","46.83","84.63","373.08","186.54","326.25","288.45","0.0","","","","","","",""
"2015.0","8.0","2.0","214.0","4.0","0.11","0.7","0.0","6.62","0.7","4.63","0.0","0.0","0.0","0.0","51.46","84.63","373.08","186.54","321.61","288.45","0.0","","","","","","",""
"2015.0","8.0","3.0","215.0","4.0","0.1","0.7","0.0","6.57","0.7","4.6","0.0","0.0","0.0","0.0","56.06","84.63","373.08","186.54","317.01","288.45","0.0","","","","","","",""
"2015.0","8.0","4.0","216.0","4.0","0.1","0.7","0.0","5.07","0.7","3.55","0.0","0.0","0.0","0.0","59.61","84.63","373.08","186.54","313.46","288.45","0.0","","","","","","",""
"2015.0","8.0","5.0","217.0","4.0","0.1","0.7","0.0","5.66","0.7","3.96","0.0","0.0","0.0","0.0","63.57","84.63","373.08","186.54","309.5","288.45","0.0","","","","","","",""
"2015.0","8.0","6.0","218.0","4.0","0.1","0.7","0.0","3.9","0.7","2.73","0.0","0.0","0.0","0.0","66.3","84.63","373.08","186.54","306.77","288.45","0.0","","","","","","",""
"2015.0","8.0","7.0","219.0","4.0","0.1","0.7","0.0","6.42","0.7","4.49","0.1","0.1","0.0","0.0","70.7","84.63","373.08","186.54","302.38","288.45","0.0","","","","","","",""
"2015.0","8.0","8.0","220.0","4.0","0.1","0.7","0.0","5.74","0.7","4.02","0.0","0.0","0.0","0.0","74.72","84.63","373.08","186.54","298.36","288.45","0.0","","","","","","",""
"2015.0","8.0","9.0","221.0","4.0","0.1","0.7","0.0","6.34","0.7","4.44","0.0","0.0","0.0","0.0","79.15","84.63","373.08","186.54","293.92","288.45","0.0","","","","","","",""
"2015.0","8.0","10.0","222.0","4.0","0.1","0.7","0.0","6.33","0.7","4.43","0.0","0.0","0.0","0.0","83.59","84.63","373.08","186.54","289.49","288.45","0.0","","","","","","",""
"2015.0","8.0","11.0","223.0","4.0","0.1","0.7","0.0","6.22","0.7","4.35","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","87.94","","","","","","",""
"2015.0","8.0","12.0","224.0","4.0","0.1","0.7","0.0","6.17","0.7","4.32","0.0","0.0","0.0","0.0","4.32","84.63","373.08","186.54","368.76","288.45","0.0","","","","","","",""
"2015.0","8.0","13.0","225.0","4.0","0.1","0.7","0.0","6.28","0.7","4.4","0.0","0.0","0.0","0.0","8.72","84.63","373.08","186.54","364.36","288.45","0.0","","","","","","",""
"2015.0","8.0","14.0","226.0","4.0","0.1","0.7","0.0","6.15","0.7","4.31","0.0","0.0","0.0","0.0","13.02","84.63","373.08","186.54","360.06","288.45","0.0","","","","","","",""
"2015.0","8.0","15.0","227.0","4.0","0.1","0.7","0.0","6.44","0.7","4.51","0.0","0.0","0.0","0.0","17.53","84.63","373.08","186.54","355.55","288.45","0.0","","","","","","",""
"2015.0","8.0","16.0","228.0","4.0","0.1","0.7","0.0","6.56","0.7","4.59","0.0","0.0","0.0","0.0","22.12","84.63","373.08","186.54","350.96","288.45","0.0","","","","","","",""
"2015.0","8.0","17.0","229.0","4.0","0.1","0.7","0.0","6.9","0.7","4.83","0.0","0.0","0.0","0.0","26.95","84.63","373.08","186.54","346.13","288.45","0.0","","","","","","",""
"2015.0","8.0","18.0","230.0","4.0","0.1","0.7","0.0","6.52","0.7","4.56","0.0","0.0","0.0","0.0","31.51","84.63","373.08","186.54","341.56","288.45","0.0","","","","","","",""
"2015.0","8.0","19.0","231.0","4.0","0.1","0.7","0.0","5.94","0.7","4.16","0.0","0.0","0.0","0.0","35.67","84.63","373.08","186.54","337.4","288.45","0.0","","","","","","",""
"2015.0","8.0","20.0","232.0","4.0","0.1","0.7","0.0","5.43","0.7","3.8","0.0","0.0","0.0","0.0","39.47","84.63","373.08","186.54","333.6","288.45","0.0","","","","","","",""
"2015.0","8.0","21.0","233.0","4.0","0.1","0.7","0.0","5.49","0.7","3.84","0.0","0.0","0.0","0.0","43.32","84.63","373.08","186.54","329.76","288.45","0.0","","","","","","",""
"2015.0","8.0","22.0","234.0","4.0","0.1","0.7","0.0","5.51","0.7","3.86","0.0","0.0","0.0","0.0","47.17","84.63","373.08","186.54","325.9","288.45","0.0","","","","","","",""
"2015.0","8.0","23.0","235.0","4.0","0.1","0.7","0.0","5.64","0.7","3.95","0.0","0.0","0.0","0.0","51.12","84.63","373.08","186.54","321.95","288.45","0.0","","","","","","",""
"2015.0","8.0","24.0","236.0","4.0","0.1","0.7","0.0","6.06","0.7","4.24","0.0","0.0","0.0","0.0","55.36","84.63","373.08","186.54","317.71","288.45","0.0","","","","","","",""
"2015.0","8.0","25.0","237.0","4.0","0.1","0.7","0.0","6.32","0.7","4.42","0.0","0.0","0.0","0.0","59.79","84.63","373.08","186.54","313.29","288.45","0.0","","","","","","",""
"2015.0","8.0","26.0","238.0","4.0","0.09","0.7","0.0","6.51","0.7","4.56","0.0","0.0","0.0","0.0","64.34","84.63","373.08","186.54","308.73","288.45","0.0","","","","","","",""
"2015.0","8.0","27.0","239.0","4.0","0.09","0.7","0.0","6.88","0.7","4.82","0.04","0.04","0.0","0.0","69.12","84.63","373.08","186.54","303.96","288.45","0.0","","","","","","",""
"2015.0","8.0","28.0","240.0","4.0","0.09","0.7","0.0","6.73","0.7","4.71","0.0","0.0","0.0","0.0","73.83","84.63","373.08","186.54","299.24","288.45","0.0","","","","","","",""
"2015.0","8.0","29.0","241.0","4.0","0.09","0.7","0.0","5.23","0.7","3.66","0.0","0.0","0.0","0.0","77.49","84.63","373.08","186.54","295.58","288.45","0.0","","","","","","",""
"2015.0","8.0","30.0","242.0","4.0","0.09","0.7","0.0","5.55","0.7","3.89","0.0","0.0","0.0","0.0","81.38","84.63","373.08","186.54","291.7","288.45","0.0","","","","","","",""
"2015.0","8.0","31.0","243.0","4.0","0.09","0.7","0.0","5.58","0.7","3.91","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","85.28","","","","","","",""
"2015.0","9.0","1.0","244.0","4.0","0.09","0.7","0.0","5.43","0.7","3.8","0.0","0.0","0.0","0.0","3.8","84.63","373.08","186.54","369.27","288.45","0.0","","","","","","",""
"2015.0","9.0","2.0","245.0","4.0","0.09","0.7","0.0","5.29","0.7","3.7","0.0","0.0","0.0","0.0","7.5","84.63","373.08","186.54","365.57","288.45","0.0","","","","","","",""
"2015.0","9.0","3.0","246.0","4.0","0.09","0.7","0.0","5.11","0.7","3.58","0.0","0.0","0.0","0.0","11.08","84.63","373.08","186.54","361.99","288.45","0.0","","","","","","",""
"2015.0","9.0","4.0","247.0","4.0","0.09","0.7","0.0","5.15","0.7","3.61","0.0","0.0","0.0","0.0","14.69","84.63","373.08","186.54","358.39","288.45","0.0","","","","","","",""
"2015.0","9.0","5.0","248.0","4.0","0.09","0.7","0.0","5.45","0.7","3.82","0.0","0.0","0.0","0.0","18.5","84.63","373.08","186.54","354.57","288.45","0.0","","","","","","",""
"2015.0","9.0","6.0","249.0","4.0","0.09","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","22.1","84.63","373.08","186.54","350.98","288.45","0.0","","","","","","",""
"2015.0","9.0","7.0","250.0","4.0","0.09","0.7","0.0","5.35","0.7","3.75","0.0","0.0","0.0","0.0","25.84","84.63","373.08","186.54","347.23","288.45","0.0","","","","","","",""
"2015.0","9.0","8.0","251.0","4.0","0.09","0.7","0.0","5.51","0.7","3.86","0.0","0.0","0.0","0.0","29.7","84.63","373.08","186.54","343.37","288.45","0.0","","","","","","",""
"2015.0","9.0","9.0","252.0","4.0","0.09","0.7","0.0","6.15","0.7","4.31","0.0","0.0","0.0","0.0","34.01","84.63","373.08","186.54","339.07","288.45","0.0","","","","","","",""
"2015.0","9.0","10.0","253.0","4.0","0.09","0.7","0.0","6.46","0.7","4.52","0.0","0.0","0.0","0.0","38.53","84.63","373.08","186.54","334.55","288.45","0.0","","","","","","",""
"2015.0","9.0","11.0","254.0","4.0","0.09","0.7","0.0","5.99","0.7","4.19","0.0","0.0","0.0","0.0","42.72","84.63","373.08","186.54","330.35","288.45","0.0","","","","","","",""
"2015.0","9.0","12.0","255.0","4.0","0.09","0.7","0.0","4.16","0.7","2.91","0.0","0.0","0.0","0.0","45.63","84.63","373.08","186.54","327.44","288.45","0.0","","","","","","",""
"2015.0","9.0","13.0","256.0","4.0","0.09","0.7","0.0","5.02","0.7","3.51","0.0","0.0","0.0","0.0","49.15","84.63","373.08","186.54","323.93","288.45","0.0","","","","","","",""
"2015.0","9.0","14.0","257.0","4.0","0.09","0.7","0.0","3.65","0.7","2.56","0.0","0.0","0.0","0.0","51.7","84.63","373.08","186.54","321.37","288.45","0.0","","","","","","",""
"2015.0","9.0","15.0","258.0","4.0","0.09","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","54.94","84.63","373.08","186.54","318.13","288.45","0.0","","","","","","",""
"2015.0","9.0","16.0","259.0","4.0","0.09","0.7","0.0","3.63","0.7","2.54","0.0","0.0","0.0","0.0","57.48","84.63","373.08","186.54","315.59","288.45","0.0","","","","","","",""
"2015.0","9.0","17.0","260.0","4.0","0.09","0.7","0.0","3.92","0.7","2.74","0.0","0.0","0.0","0.0","60.23","84.63","373.08","186.54","312.85","288.45","0.0","","","","","","",""
"2015.0","9.0","18.0","261.0","4.0","0.09","0.7","0.0","4.56","0.7","3.19","0.0","0.0","0.0","0.0","63.42","84.63","373.08","186.54","309.66","288.45","0.0","","","","","","",""
"2015.0","9.0","19.0","262.0","4.0","0.09","0.7","0.0","4.65","0.7","3.26","0.0","0.0","0.0","0.0","66.68","84.63","373.08","186.54","306.4","288.45","0.0","","","","","","",""
"2015.0","9.0","20.0","263.0","4.0","0.09","0.7","0.0","4.8","0.7","3.36","0.0","0.0","0.0","0.0","70.04","84.63","373.08","186.54","303.04","288.45","0.0","","","","","","",""
"2015.0","9.0","21.0","264.0","4.0","0.09","0.7","0.0","5.53","0.7","3.87","0.0","0.0","0.0","0.0","73.91","84.63","373.08","186.54","299.17","288.45","0.0","","","","","","",""
"2015.0","9.0","22.0","265.0","4.0","0.09","0.7","0.0","5.15","0.7","3.61","0.0","0.0","0.0","0.0","77.51","84.63","373.08","186.54","295.56","288.45","0.0","","","","","","",""
"2015.0","9.0","23.0","266.0","4.0","0.09","0.7","0.0","4.56","0.7","3.19","0.0","0.0","0.0","0.0","80.7","84.63","373.08","186.54","292.37","288.45","0.0","","","","","","",""
"2015.0","9.0","24.0","267.0","4.0","0.09","0.7","0.0","4.55","0.7","3.19","0.0","0.0","0.0","0.0","83.89","84.63","373.08","186.54","289.19","288.45","0.0","","","","","","",""
"2015.0","9.0","25.0","268.0","4.0","0.09","0.7","0.0","5.43","0.7","3.8","0.0","0.0","0.0","0.0","0.0","84.63","373.08","186.54","373.08","288.45","87.69","","","","","","",""
"2015.0","9.0","26.0","269.0","4.0","0.09","0.7","0.0","5.3","0.7","3.71","0.0","0.0","0.0","0.0","3.71","84.63","373.08","186.54","369.37","288.45","0.0","","","","","","",""
"2015.0","9.0","27.0","270.0","4.0","0.09","0.7","0.0","3.79","0.7","2.65","0.0","0.0","0.0","0.0","6.36","84.63","373.08","186.54","366.71","288.45","0.0","","","","","","",""
"2015.0","9.0","28.0","271.0","4.0","0.09","0.7","0.0","4.18","0.7","2.93","0.0","0.0","0.0","0.0","9.29","84.63","373.08","186.54","363.79","288.45","0.0","","","","","","",""
"2015.0","9.0","29.0","272.0","4.0","0.09","0.7","0.0","3.64","0.7","2.55","0.0","0.0","0.0","0.0","11.84","84.63","373.08","186.54","361.24","288.45","0.0","","","","","","",""
"2015.0","9.0","30.0","273.0","4.0","0.09","0.7","0.0","1.99","0.7","1.39","0.0","0.0","0.0","0.0","13.23","84.63","373.08","186.54","359.85","288.45","0.0","","","","","","",""
