" Daily soil water balance output for Tomato Fresh in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","3770.0","0.14","1.1","0.0","7.98","1.1","8.78","0.0","0.0","0.0","0.0","49.37","60.57","274.2","137.1","224.83","213.63","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","3770.0","0.13","1.1","0.0","8.46","1.1","9.31","0.0","0.0","0.0","0.0","58.67","60.57","274.2","137.1","215.53","213.63","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","3770.0","0.13","1.1","0.0","7.16","1.1","7.88","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","66.55","","","","","","","","",""
"2015.0","6.0","28.0","179.0","3770.0","0.13","1.1","0.0","7.43","1.1","8.17","0.0","0.0","0.0","0.0","8.17","60.57","274.2","137.1","266.03","213.63","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","3770.0","0.13","1.1","0.0","7.6","1.1","8.36","0.0","0.0","0.0","0.0","16.53","60.57","274.2","137.1","257.67","213.63","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","3770.0","0.13","1.1","0.0","7.68","1.1","8.45","0.0","0.0","0.0","0.0","24.98","60.57","274.2","137.1","249.22","213.63","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","3770.0","0.13","1.1","0.0","7.42","1.1","8.16","0.0","0.0","0.0","0.0","33.14","60.57","274.2","137.1","241.06","213.63","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","3770.0","0.13","1.1","0.0","7.56","1.1","8.32","0.0","0.0","0.0","0.0","41.46","60.57","274.2","137.1","232.74","213.63","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","3770.0","0.12","1.1","0.0","7.43","1.1","8.17","0.0","0.0","0.0","0.0","49.63","60.57","274.2","137.1","224.57","213.63","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","3770.0","0.12","1.1","0.0","8.14","1.1","8.95","0.0","0.0","0.0","0.0","58.59","60.57","274.2","137.1","215.61","213.63","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","3770.0","0.12","1.1","0.0","7.47","1.1","8.22","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","66.8","","","","","","","","",""
"2015.0","7.0","6.0","187.0","3770.0","0.12","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","8.2","60.57","274.2","137.1","266.01","213.63","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","3770.0","0.12","1.1","0.0","7.05","1.1","7.76","0.0","0.0","0.0","0.0","15.95","60.57","274.2","137.1","258.25","213.63","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","3770.0","0.12","1.1","0.0","6.42","1.1","7.06","0.0","0.0","0.0","0.0","23.01","60.57","274.2","137.1","251.19","213.63","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","3770.0","0.12","1.1","0.0","4.51","1.1","4.96","0.0","0.0","0.0","0.0","27.97","60.57","274.2","137.1","246.23","213.63","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","3770.0","0.12","1.1","0.0","5.24","1.1","5.76","0.0","0.0","0.0","0.0","33.74","60.57","274.2","137.1","240.46","213.63","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","3770.0","0.12","1.1","0.0","6.46","1.1","7.11","0.0","0.0","0.0","0.0","40.84","60.57","274.2","137.1","233.36","213.63","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","3770.0","0.12","1.1","0.0","6.6","1.1","7.26","0.0","0.0","0.0","0.0","48.1","60.57","274.2","137.1","226.1","213.63","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","3770.0","0.12","1.1","0.0","6.72","1.1","7.39","0.0","0.0","0.0","0.0","55.5","60.57","274.2","137.1","218.71","213.63","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","3770.0","0.11","1.1","0.0","6.66","1.1","7.33","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","62.82","","","","","","","","",""
"2015.0","7.0","15.0","196.0","3770.0","0.11","1.1","0.0","6.77","1.1","7.45","0.0","0.0","0.0","0.0","7.45","60.57","274.2","137.1","266.75","213.63","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","3770.0","0.11","1.1","0.0","7.29","1.1","8.02","0.0","0.0","0.0","0.0","15.47","60.57","274.2","137.1","258.73","213.63","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","3770.0","0.11","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","23.66","60.57","274.2","137.1","250.54","213.63","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","3770.0","0.11","1.1","0.0","7.52","1.1","8.27","0.0","0.0","0.0","0.0","31.93","60.57","274.2","137.1","242.27","213.63","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","3770.0","0.11","1.1","0.0","6.89","1.1","7.58","0.0","0.0","0.0","0.0","39.51","60.57","274.2","137.1","234.69","213.63","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","3770.0","0.11","1.1","0.0","7.43","1.1","8.17","0.0","0.0","0.0","0.0","47.69","60.57","274.2","137.1","226.52","213.63","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","3770.0","0.11","1.1","0.0","7.44","1.1","8.18","0.0","0.0","0.0","0.0","55.87","60.57","274.2","137.1","218.33","213.63","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","3770.0","0.11","1.1","0.0","7.1","1.1","7.81","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","63.68","","","","","","","","",""
"2015.0","7.0","23.0","204.0","3770.0","0.11","1.1","0.0","6.23","1.1","6.85","0.0","0.0","0.0","0.0","6.85","60.57","274.2","137.1","267.35","213.63","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","3770.0","0.11","1.1","0.0","6.45","1.1","7.1","0.0","0.0","0.0","0.0","13.95","60.57","274.2","137.1","260.25","213.63","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","3770.0","0.11","1.1","0.0","6.6","1.1","7.26","0.0","0.0","0.0","0.0","21.21","60.57","274.2","137.1","252.99","213.63","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","3770.0","0.11","1.1","0.0","6.59","1.1","7.25","0.0","0.0","0.0","0.0","28.46","60.57","274.2","137.1","245.74","213.63","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","3770.0","0.11","1.1","0.0","7.51","1.1","8.26","0.0","0.0","0.0","0.0","36.72","60.57","274.2","137.1","237.48","213.63","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","3770.0","0.1","1.1","0.0","7.9","1.1","8.69","0.0","0.0","0.0","0.0","45.41","60.57","274.2","137.1","228.79","213.63","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","3770.0","0.1","1.1","0.0","7.55","1.1","8.31","0.0","0.0","0.0","0.0","53.71","60.57","274.2","137.1","220.49","213.63","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","3770.0","0.1","1.1","0.0","8.0","1.1","8.8","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","62.51","","","","","","","","",""
"2015.0","7.0","31.0","212.0","3770.0","0.1","1.1","0.0","6.92","1.1","7.61","0.0","0.0","0.0","0.0","7.61","60.57","274.2","137.1","266.59","213.63","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","3770.0","0.1","1.1","0.0","7.08","1.1","7.79","0.0","0.0","0.0","0.0","15.4","60.57","274.2","137.1","258.8","213.63","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","3770.0","0.1","1.08","0.0","6.92","1.08","7.5","0.0","0.0","0.0","0.0","22.9","60.57","274.2","137.1","251.3","213.63","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","3770.0","0.1","1.07","0.0","7.0","1.07","7.47","0.0","0.0","0.0","0.0","30.36","60.57","274.2","137.1","243.84","213.63","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","3770.0","0.1","1.05","0.0","4.85","1.05","5.09","0.0","0.0","0.0","0.0","35.46","60.57","274.2","137.1","238.74","213.63","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","3770.0","0.1","1.03","0.0","5.83","1.03","6.02","0.0","0.0","0.0","0.0","41.48","60.57","274.2","137.1","232.72","213.63","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","3770.0","0.1","1.02","0.0","4.52","1.02","4.6","0.0","0.0","0.0","0.0","46.08","60.57","274.2","137.1","228.12","213.63","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","3770.0","0.1","1.0","0.0","6.88","1.0","6.88","0.0","0.0","0.0","0.0","52.96","60.57","274.2","137.1","221.24","213.63","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","3770.0","0.1","0.98","0.0","6.22","0.98","6.12","0.0","0.0","0.0","0.0","59.07","60.57","274.2","137.1","215.13","213.63","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","3770.0","0.1","0.97","0.0","6.69","0.97","6.47","0.0","0.0","0.0","0.0","0.0","60.57","274.2","137.1","274.2","213.63","65.54","","","","","","","","",""
"2015.0","8.0","10.0","222.0","3770.0","0.1","0.95","0.0","6.74","0.95","6.4","0.0","0.0","0.0","0.0","6.4","60.57","274.2","137.1","267.8","213.63","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","3770.0","0.1","0.93","0.0","6.58","0.93","6.14","0.0","0.0","0.0","0.0","12.54","60.57","274.2","137.1","261.66","213.63","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","3770.0","0.1","0.92","0.0","6.46","0.92","5.92","0.0","0.0","0.0","0.0","18.47","60.57","274.2","137.1","255.73","213.63","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","3770.0","0.1","0.9","0.0","6.63","0.9","5.97","0.0","0.0","0.0","0.0","24.43","60.57","274.2","137.1","249.77","213.63","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","3770.0","0.1","0.88","0.0","6.2","0.88","5.48","0.0","0.0","0.0","0.0","29.91","60.57","274.2","137.1","244.29","213.63","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","3770.0","0.1","0.87","0.0","6.51","0.87","5.64","0.0","0.0","0.0","0.0","35.55","60.57","274.2","137.1","238.65","213.63","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","3770.0","0.1","0.85","0.0","6.78","0.85","5.76","0.0","0.0","0.0","0.0","41.31","60.57","274.2","137.1","232.89","213.63","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","3770.0","0.09","0.83","0.0","7.25","0.83","6.04","0.0","0.0","0.0","0.0","47.36","68.55","274.2","137.1","226.84","205.65","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","3770.0","0.09","0.82","0.0","7.05","0.82","5.76","0.0","0.0","0.0","0.0","53.11","68.55","274.2","137.1","221.09","205.65","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","3770.0","0.09","0.8","0.0","6.44","0.8","5.15","0.0","0.0","0.0","0.0","58.27","68.55","274.2","137.1","215.93","205.65","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","3770.0","0.09","0.78","0.0","5.71","0.78","4.47","0.0","0.0","0.0","0.0","62.74","68.55","274.2","137.1","211.46","205.65","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","3770.0","0.09","0.77","0.0","5.79","0.77","4.44","0.0","0.0","0.0","0.0","67.18","68.55","274.2","137.1","207.02","205.65","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","3770.0","0.09","0.75","0.0","5.86","0.75","4.39","0.0","0.0","0.0","0.0","0.0","68.55","274.2","137.1","274.2","205.65","71.57","","","","","","","","",""
"2015.0","8.0","23.0","235.0","3770.0","0.09","0.73","0.0","5.93","0.73","4.35","0.0","0.0","0.0","0.0","4.35","68.55","274.2","137.1","269.85","205.65","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","3770.0","0.09","0.72","0.0","6.4","0.72","4.59","0.0","0.0","0.0","0.0","8.94","68.55","274.2","137.1","265.26","205.65","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","3770.0","0.09","0.7","0.0","6.7","0.7","4.69","0.0","0.0","0.0","0.0","13.63","68.55","274.2","137.1","260.57","205.65","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","3770.0","0.09","0.68","0.0","6.8","0.68","4.65","0.0","0.0","0.0","0.0","18.27","68.55","274.2","137.1","255.93","205.65","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","3770.0","0.09","0.67","0.0","6.81","0.67","4.54","0.0","0.0","0.0","0.0","22.81","68.55","274.2","137.1","251.39","205.65","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","3770.0","0.09","0.65","0.0","6.87","0.65","4.47","0.0","0.0","0.0","0.0","27.28","68.55","274.2","137.1","246.92","205.65","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","3770.0","0.09","0.63","0.0","5.44","0.63","3.45","0.0","0.0","0.0","0.0","30.72","68.55","274.2","137.1","243.48","205.65","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","3770.0","0.09","0.62","0.0","5.56","0.62","3.43","0.0","0.0","0.0","0.0","34.15","68.55","274.2","137.1","240.05","205.65","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","3770.0","0.09","0.6","0.0","5.76","0.6","3.46","0.0","0.0","0.0","0.0","37.61","68.55","274.2","137.1","236.59","205.65","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","3770.0","0.09","0.0","0.0","5.9","0.09","0.53","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","3770.0","0.09","0.0","0.0","5.77","0.09","0.51","0.0","0.0","0.0","0.0","23.01","22.5","274.2","137.1","251.19","251.7","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","3770.0","0.09","0.0","0.0","5.25","0.09","0.47","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","3770.0","0.09","0.0","0.0","5.36","0.09","0.47","0.0","0.0","0.0","0.0","22.97","22.5","274.2","137.1","251.23","251.7","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","3770.0","0.09","0.0","0.0","5.84","0.09","0.51","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","3770.0","0.09","0.0","0.0","5.27","0.09","0.46","0.0","0.0","0.0","0.0","22.96","22.5","274.2","137.1","251.24","251.7","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","3770.0","0.09","0.0","0.0","5.59","0.09","0.49","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","3770.0","0.09","0.0","0.0","5.46","0.09","0.48","0.0","0.0","0.0","0.0","22.98","22.5","274.2","137.1","251.22","251.7","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","3770.0","0.09","0.0","0.0","6.23","0.09","0.54","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","3770.0","0.09","0.0","0.0","6.64","0.09","0.57","0.0","0.0","0.0","0.0","23.07","22.5","274.2","137.1","251.13","251.7","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","3770.0","0.09","0.0","0.0","6.34","0.09","0.55","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","3770.0","0.09","0.0","0.0","4.82","0.09","0.41","0.0","0.0","0.0","0.0","22.91","22.5","274.2","137.1","251.29","251.7","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","3770.0","0.09","0.0","0.0","5.41","0.09","0.46","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","3770.0","0.09","0.0","0.0","4.19","0.09","0.36","0.0","0.0","0.0","0.0","22.86","22.5","274.2","137.1","251.34","251.7","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","3770.0","0.09","0.0","0.0","4.58","0.09","0.39","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","3770.0","0.09","0.0","0.0","3.32","0.09","0.28","0.0","0.0","0.0","0.0","22.78","22.5","274.2","137.1","251.42","251.7","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","3770.0","0.09","0.0","0.0","3.93","0.09","0.33","0.23","0.23","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","3770.0","0.08","0.0","0.0","4.53","0.08","0.38","0.0","0.0","0.0","0.0","22.88","22.5","274.2","137.1","251.32","251.7","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","3770.0","0.08","0.0","0.0","4.78","0.08","0.41","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","3770.0","0.08","0.0","0.0","4.79","0.08","0.4","0.0","0.0","0.0","0.0","22.9","22.5","274.2","137.1","251.3","251.7","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","3770.0","0.08","0.0","0.0","5.6","0.08","0.47","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","3770.0","0.08","0.0","0.0","5.83","0.08","0.49","0.0","0.0","0.0","0.0","22.99","22.5","274.2","137.1","251.21","251.7","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","3770.0","0.08","0.0","0.0","4.62","0.08","0.39","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","3770.0","0.08","0.0","0.0","4.63","0.08","0.39","0.0","0.0","0.0","0.0","22.89","22.5","274.2","137.1","251.31","251.7","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","3770.0","0.08","0.0","0.0","5.62","0.08","0.47","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","3770.0","0.08","0.0","0.0","5.39","0.08","0.45","0.0","0.0","0.0","0.0","22.95","22.5","274.2","137.1","251.25","251.7","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","3770.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","3770.0","0.08","0.0","0.0","4.73","0.08","0.39","0.0","0.0","0.0","0.0","22.89","22.5","274.2","137.1","251.31","251.7","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","3770.0","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","3770.0","0.08","0.0","0.0","2.04","0.08","0.17","0.0","0.0","0.0","0.0","22.67","22.5","274.2","137.1","251.53","251.7","0.0","","","","","","","","",""
