" Daily soil water balance output for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","1517.0","0.14","0.8","0.0","7.72","0.8","6.18","0.0","0.0","0.0","0.0","28.49","126.96","569.98","284.99","541.49","443.01","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","1517.0","0.14","0.8","0.0","7.92","0.8","6.34","0.0","0.0","0.0","0.0","34.82","126.96","569.98","284.99","535.15","443.01","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","1517.0","0.14","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","39.8","126.96","569.98","284.99","530.18","443.01","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","1517.0","0.14","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","45.27","126.96","569.98","284.99","524.7","443.01","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","1517.0","0.13","0.8","0.0","7.27","0.8","5.82","0.0","0.0","0.0","0.0","51.09","126.96","569.98","284.99","518.89","443.01","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","1517.0","0.13","0.8","0.0","7.45","0.8","5.96","0.0","0.0","0.0","0.0","57.05","126.96","569.98","284.99","512.93","443.01","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","1517.0","0.13","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","62.85","126.96","569.98","284.99","507.13","443.01","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","1517.0","0.13","0.8","0.0","6.75","0.8","5.4","0.0","0.0","0.0","0.0","68.25","126.96","569.98","284.99","501.73","443.01","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","1517.0","0.13","0.8","0.0","7.24","0.8","5.79","0.0","0.0","0.0","0.0","74.04","126.96","569.98","284.99","495.94","443.01","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","1517.0","0.13","0.8","0.0","7.49","0.8","5.99","0.0","0.0","0.0","0.0","80.03","126.96","569.98","284.99","489.94","443.01","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","1517.0","0.13","0.8","0.0","6.81","0.8","5.45","0.0","0.0","0.0","0.0","85.48","126.96","569.98","284.99","484.5","443.01","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","1517.0","0.13","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","91.13","126.96","569.98","284.99","478.85","443.01","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","1517.0","0.12","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","96.27","126.96","569.98","284.99","473.7","443.01","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","1517.0","0.12","0.8","0.0","6.11","0.8","4.89","0.0","0.0","0.0","0.0","101.16","126.96","569.98","284.99","468.82","443.01","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","1517.0","0.12","0.8","0.0","4.59","0.8","3.67","0.0","0.0","0.0","0.0","104.83","126.96","569.98","284.99","465.14","443.01","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","1517.0","0.12","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","108.93","126.96","569.98","284.99","461.05","443.01","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","1517.0","0.12","0.8","0.0","6.16","0.8","4.93","0.0","0.0","0.0","0.0","113.86","126.96","569.98","284.99","456.12","443.01","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","1517.0","0.12","0.8","0.0","6.25","0.8","5.0","0.0","0.0","0.0","0.0","118.86","126.96","569.98","284.99","451.12","443.01","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","1517.0","0.12","0.8","0.0","6.5","0.8","5.2","0.0","0.0","0.0","0.0","124.06","126.96","569.98","284.99","445.92","443.01","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","1517.0","0.12","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","0.0","126.96","569.98","284.99","569.98","443.01","128.95","","","","","","","","",""
"2015.0","7.0","15.0","196.0","1517.0","0.12","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","5.1","126.96","569.98","284.99","564.88","443.01","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","1517.0","0.12","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","10.54","126.96","569.98","284.99","559.44","443.01","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","1517.0","0.12","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","16.1","126.96","569.98","284.99","553.88","443.01","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","1517.0","0.12","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","21.54","126.96","569.98","284.99","548.44","443.01","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","1517.0","0.12","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","26.78","126.96","569.98","284.99","543.2","443.01","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","1517.0","0.11","0.8","0.0","7.22","0.8","5.78","0.0","0.0","0.0","0.0","32.55","126.96","569.98","284.99","537.42","443.01","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","1517.0","0.11","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","38.07","126.96","569.98","284.99","531.9","443.01","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","1517.0","0.11","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","43.22","126.96","569.98","284.99","526.76","443.01","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","1517.0","0.11","0.8","0.0","6.01","0.8","4.81","0.0","0.0","0.0","0.0","48.02","126.96","569.98","284.99","521.95","443.01","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","1517.0","0.11","0.8","0.0","6.29","0.8","5.03","0.0","0.0","0.0","0.0","53.06","126.96","569.98","284.99","516.92","443.01","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","1517.0","0.11","0.8","0.0","6.27","0.8","5.02","0.0","0.0","0.0","0.0","58.07","126.96","569.98","284.99","511.9","443.01","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","1517.0","0.11","0.8","0.0","6.18","0.8","4.94","0.0","0.0","0.0","0.0","63.02","126.96","569.98","284.99","506.96","443.01","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","1517.0","0.11","0.8","0.0","7.16","0.8","5.73","0.0","0.0","0.0","0.0","68.74","126.96","569.98","284.99","501.23","443.01","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","1517.0","0.11","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","74.67","126.96","569.98","284.99","495.3","443.01","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","1517.0","0.11","0.8","0.0","7.18","0.8","5.74","0.0","0.0","0.0","0.0","80.42","126.96","569.98","284.99","489.56","443.01","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","1517.0","0.11","0.8","0.0","7.32","0.8","5.86","0.0","0.0","0.0","0.0","86.27","126.96","569.98","284.99","483.7","443.01","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","1517.0","0.11","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","91.34","126.96","569.98","284.99","478.63","443.01","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","1517.0","0.11","0.8","0.0","6.74","0.8","5.39","0.0","0.0","0.0","0.0","96.74","126.96","569.98","284.99","473.24","443.01","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","1517.0","0.11","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","102.03","126.96","569.98","284.99","467.94","443.01","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","1517.0","0.1","0.8","0.0","6.57","0.8","5.26","0.0","0.0","0.0","0.0","107.29","126.96","569.98","284.99","462.69","443.01","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","1517.0","0.1","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","111.34","126.96","569.98","284.99","458.63","443.01","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","1517.0","0.1","0.8","0.0","5.66","0.8","4.53","0.0","0.0","0.0","0.0","115.87","126.96","569.98","284.99","454.1","443.01","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","1517.0","0.1","0.8","0.0","3.9","0.8","3.12","0.0","0.0","0.0","0.0","118.99","126.96","569.98","284.99","450.98","443.01","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","1517.0","0.1","0.8","0.0","6.42","0.8","5.14","0.1","0.1","0.0","0.0","124.03","126.96","569.98","284.99","445.95","443.01","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","1517.0","0.1","0.8","0.0","5.74","0.8","4.59","0.0","0.0","0.0","0.0","0.0","126.96","569.98","284.99","569.98","443.01","128.62","","","","","","","","",""
"2015.0","8.0","9.0","221.0","1517.0","0.1","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","5.07","126.96","569.98","284.99","564.9","443.01","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","1517.0","0.1","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","10.14","126.96","569.98","284.99","559.84","443.01","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","1517.0","0.1","0.8","0.0","6.22","0.8","4.98","0.0","0.0","0.0","0.0","15.11","126.96","569.98","284.99","554.86","443.01","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","1517.0","0.1","0.8","0.0","6.17","0.8","4.94","0.0","0.0","0.0","0.0","20.05","126.96","569.98","284.99","549.93","443.01","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","1517.0","0.1","0.8","0.0","6.28","0.8","5.02","0.0","0.0","0.0","0.0","25.07","126.96","569.98","284.99","544.9","443.01","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","1517.0","0.1","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","29.99","126.96","569.98","284.99","539.98","443.01","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","1517.0","0.1","0.8","0.0","6.44","0.8","5.15","0.0","0.0","0.0","0.0","35.14","126.96","569.98","284.99","534.83","443.01","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","1517.0","0.1","0.8","0.0","6.56","0.8","5.25","0.0","0.0","0.0","0.0","40.39","126.96","569.98","284.99","529.58","443.01","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","1517.0","0.1","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","45.91","126.96","569.98","284.99","524.06","443.01","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","1517.0","0.1","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","51.13","126.96","569.98","284.99","518.85","443.01","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","1517.0","0.1","0.8","0.0","5.94","0.8","4.75","0.0","0.0","0.0","0.0","55.88","126.96","569.98","284.99","514.1","443.01","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","1517.0","0.1","0.8","0.0","5.43","0.8","4.34","0.0","0.0","0.0","0.0","60.22","126.96","569.98","284.99","509.75","443.01","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","1517.0","0.1","0.8","0.0","5.49","0.8","4.39","0.0","0.0","0.0","0.0","64.62","126.96","569.98","284.99","505.36","443.01","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","1517.0","0.1","0.8","0.0","5.51","0.8","4.41","0.0","0.0","0.0","0.0","69.02","126.96","569.98","284.99","500.95","443.01","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","1517.0","0.1","0.8","0.0","5.64","0.8","4.51","0.0","0.0","0.0","0.0","73.54","126.96","569.98","284.99","496.44","443.01","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","1517.0","0.1","0.8","0.0","6.06","0.8","4.85","0.0","0.0","0.0","0.0","78.38","126.96","569.98","284.99","491.59","443.01","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","1517.0","0.1","0.8","0.0","6.32","0.8","5.06","0.0","0.0","0.0","0.0","83.44","126.96","569.98","284.99","486.54","443.01","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","1517.0","0.09","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","88.65","126.96","569.98","284.99","481.33","443.01","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","1517.0","0.09","0.8","0.0","6.88","0.8","5.5","0.04","0.04","0.0","0.0","94.11","126.96","569.98","284.99","475.86","443.01","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","1517.0","0.09","0.8","0.0","6.73","0.8","5.38","0.0","0.0","0.0","0.0","99.5","126.96","569.98","284.99","470.48","443.01","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","1517.0","0.09","0.8","0.0","5.23","0.8","4.18","0.0","0.0","0.0","0.0","103.68","126.96","569.98","284.99","466.3","443.01","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","1517.0","0.09","0.8","0.0","5.55","0.8","4.44","0.0","0.0","0.0","0.0","108.12","126.96","569.98","284.99","461.86","443.01","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","1517.0","0.09","0.8","0.0","5.58","0.8","4.46","0.0","0.0","0.0","0.0","112.58","126.96","569.98","284.99","457.39","443.01","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","1517.0","0.09","0.8","0.0","5.43","0.8","4.34","0.0","0.0","0.0","0.0","116.93","126.96","569.98","284.99","453.05","443.01","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","1517.0","0.09","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","121.16","126.96","569.98","284.99","448.82","443.01","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","1517.0","0.09","0.8","0.0","5.11","0.8","4.09","0.0","0.0","0.0","0.0","125.25","126.96","569.98","284.99","444.73","443.01","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","1517.0","0.09","0.8","0.0","5.15","0.8","4.12","0.0","0.0","0.0","0.0","0.0","126.96","569.98","284.99","569.98","443.01","129.37","","","","","","","","",""
"2015.0","9.0","5.0","248.0","1517.0","0.09","0.8","0.0","5.45","0.8","4.36","0.0","0.0","0.0","0.0","4.36","126.96","569.98","284.99","565.62","443.01","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","1517.0","0.09","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","8.47","142.49","569.98","284.99","561.5","427.48","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","1517.0","0.09","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","12.75","142.49","569.98","284.99","557.22","427.48","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","1517.0","0.09","0.8","0.0","5.51","0.8","4.41","0.0","0.0","0.0","0.0","17.16","142.49","569.98","284.99","552.82","427.48","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","1517.0","0.09","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","22.08","142.49","569.98","284.99","547.9","427.48","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","1517.0","0.09","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","27.25","142.49","569.98","284.99","542.73","427.48","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","1517.0","0.09","0.8","0.0","5.99","0.8","4.79","0.0","0.0","0.0","0.0","32.04","142.49","569.98","284.99","537.94","427.48","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","1517.0","0.09","0.79","0.0","4.16","0.79","3.29","0.0","0.0","0.0","0.0","35.33","142.49","569.98","284.99","534.65","427.48","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","1517.0","0.09","0.78","0.0","5.02","0.78","3.93","0.0","0.0","0.0","0.0","39.26","142.49","569.98","284.99","530.72","427.48","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","1517.0","0.09","0.77","0.0","3.65","0.77","2.82","0.0","0.0","0.0","0.0","42.08","142.49","569.98","284.99","527.9","427.48","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","1517.0","0.09","0.76","0.0","4.63","0.76","3.54","0.0","0.0","0.0","0.0","45.61","142.49","569.98","284.99","524.36","427.48","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","1517.0","0.09","0.76","0.0","3.63","0.76","2.74","0.0","0.0","0.0","0.0","48.36","142.49","569.98","284.99","521.62","427.48","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","1517.0","0.09","0.75","0.0","3.92","0.75","2.92","0.0","0.0","0.0","0.0","51.28","142.49","569.98","284.99","518.7","427.48","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","1517.0","0.09","0.74","0.0","4.56","0.74","3.36","0.0","0.0","0.0","0.0","54.64","142.49","569.98","284.99","515.34","427.48","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","1517.0","0.09","0.73","0.0","4.65","0.73","3.39","0.0","0.0","0.0","0.0","58.03","142.49","569.98","284.99","511.95","427.48","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","1517.0","0.09","0.72","0.0","4.8","0.72","3.45","0.0","0.0","0.0","0.0","61.48","142.49","569.98","284.99","508.5","427.48","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","1517.0","0.09","0.71","0.0","5.53","0.71","3.93","0.0","0.0","0.0","0.0","65.4","142.49","569.98","284.99","504.57","427.48","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","1517.0","0.09","0.7","0.0","5.15","0.7","3.61","0.0","0.0","0.0","0.0","69.01","142.49","569.98","284.99","500.96","427.48","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","1517.0","0.09","0.69","0.0","4.56","0.69","3.16","0.0","0.0","0.0","0.0","72.17","142.49","569.98","284.99","497.81","427.48","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","1517.0","0.09","0.68","0.0","4.55","0.68","3.11","0.0","0.0","0.0","0.0","75.28","142.49","569.98","284.99","494.7","427.48","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","1517.0","0.09","0.67","0.0","5.43","0.67","3.66","0.0","0.0","0.0","0.0","78.94","142.49","569.98","284.99","491.04","427.48","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","1517.0","0.09","0.67","0.0","5.3","0.67","3.52","0.0","0.0","0.0","0.0","82.46","142.49","569.98","284.99","487.52","427.48","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","1517.0","0.09","0.66","0.0","3.79","0.66","2.49","0.0","0.0","0.0","0.0","84.95","142.49","569.98","284.99","485.03","427.48","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","1517.0","0.09","0.65","0.0","4.18","0.65","2.7","0.0","0.0","0.0","0.0","87.65","142.49","569.98","284.99","482.32","427.48","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","1517.0","0.09","0.64","0.0","3.64","0.64","2.32","0.0","0.0","0.0","0.0","89.97","142.49","569.98","284.99","480.0","427.48","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","1517.0","0.09","0.63","0.0","1.99","0.63","1.25","0.0","0.0","0.0","0.0","91.23","142.49","569.98","284.99","478.75","427.48","0.0","","","","","","","","",""
