" Daily soil water balance output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","2072.0","0.14","1.05","0.0","7.98","1.05","8.38","0.0","0.0","0.0","0.0","31.43","128.64","514.57","257.29","483.15","385.93","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","2072.0","0.13","1.05","0.0","8.46","1.05","8.88","0.0","0.0","0.0","0.0","40.31","128.64","514.57","257.29","474.26","385.93","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","2072.0","0.13","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","47.83","128.64","514.57","257.29","466.74","385.93","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","2072.0","0.13","1.05","0.0","7.43","1.05","7.8","0.0","0.0","0.0","0.0","55.63","128.64","514.57","257.29","458.94","385.93","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","2072.0","0.13","1.05","0.0","7.6","1.05","7.98","0.0","0.0","0.0","0.0","63.61","128.64","514.57","257.29","450.96","385.93","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","2072.0","0.13","1.05","0.0","7.68","1.05","8.06","0.0","0.0","0.0","0.0","71.67","128.64","514.57","257.29","442.9","385.93","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","2072.0","0.13","1.0","0.0","7.42","1.0","7.4","0.0","0.0","0.0","0.0","79.07","128.64","514.57","257.29","435.5","385.93","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","2072.0","0.13","0.94","0.0","7.56","0.94","7.13","0.0","0.0","0.0","0.0","86.2","128.64","514.57","257.29","428.37","385.93","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","2072.0","0.12","0.89","0.0","7.43","0.89","6.61","0.0","0.0","0.0","0.0","92.81","128.64","514.57","257.29","421.76","385.93","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","2072.0","0.12","0.84","0.0","8.14","0.84","6.81","0.0","0.0","0.0","0.0","99.62","128.64","514.57","257.29","414.95","385.93","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","2072.0","0.12","0.78","0.0","7.47","0.78","5.85","0.0","0.0","0.0","0.0","105.47","128.64","514.57","257.29","409.1","385.93","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","2072.0","0.12","0.73","0.0","7.45","0.73","5.44","0.0","0.0","0.0","0.0","110.91","128.64","514.57","257.29","403.66","385.93","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","2072.0","0.12","0.68","0.0","7.05","0.68","4.77","0.0","0.0","0.0","0.0","115.68","128.64","514.57","257.29","398.89","385.93","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","2072.0","0.12","0.62","0.0","6.42","0.62","4.0","0.0","0.0","0.0","0.0","119.69","128.64","514.57","257.29","394.89","385.93","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","2072.0","0.12","0.57","0.0","4.51","0.57","2.57","0.0","0.0","0.0","0.0","122.26","128.64","514.57","257.29","392.32","385.93","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","2072.0","0.12","0.52","0.0","5.24","0.52","2.71","0.0","0.0","0.0","0.0","124.96","128.64","514.57","257.29","389.61","385.93","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","2072.0","0.12","0.46","0.0","6.46","0.46","2.99","0.0","0.0","0.0","0.0","127.96","128.64","514.57","257.29","386.62","385.93","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","2072.0","0.12","0.41","0.0","6.6","0.41","2.71","0.0","0.0","0.0","0.0","0.0","128.64","514.57","257.29","514.57","385.93","130.66","","","","","","","","",""
"2015.0","7.0","13.0","194.0","2072.0","0.12","0.36","0.0","6.72","0.36","2.4","0.0","0.0","0.0","0.0","2.4","128.64","514.57","257.29","512.18","385.93","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","2072.0","0.11","0.3","0.0","6.66","0.3","2.02","0.0","0.0","0.0","0.0","4.42","128.64","514.57","257.29","510.16","385.93","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","2072.0","0.11","0.25","0.0","6.77","0.25","1.69","0.0","0.0","0.0","0.0","6.11","128.64","514.57","257.29","508.46","385.93","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","2072.0","0.11","0.0","0.0","7.29","0.11","0.83","0.0","0.0","0.0","0.0","6.94","24.75","514.57","257.29","507.64","489.82","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","2072.0","0.11","0.0","0.0","7.45","0.11","0.84","0.0","0.0","0.0","0.0","7.77","24.75","514.57","257.29","506.8","489.82","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","2072.0","0.11","0.0","0.0","7.52","0.11","0.84","0.0","0.0","0.0","0.0","8.61","24.75","514.57","257.29","505.96","489.82","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","2072.0","0.11","0.0","0.0","6.89","0.11","0.76","0.0","0.0","0.0","0.0","9.38","24.75","514.57","257.29","505.2","489.82","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","2072.0","0.11","0.0","0.0","7.43","0.11","0.82","0.0","0.0","0.0","0.0","10.2","24.75","514.57","257.29","504.38","489.82","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","2072.0","0.11","0.0","0.0","7.44","0.11","0.81","0.0","0.0","0.0","0.0","11.01","24.75","514.57","257.29","503.56","489.82","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","2072.0","0.11","0.0","0.0","7.1","0.11","0.77","0.0","0.0","0.0","0.0","11.78","24.75","514.57","257.29","502.79","489.82","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","2072.0","0.11","0.0","0.0","6.23","0.11","0.67","0.0","0.0","0.0","0.0","12.45","24.75","514.57","257.29","502.12","489.82","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","2072.0","0.11","0.0","0.0","6.45","0.11","0.69","0.0","0.0","0.0","0.0","13.14","24.75","514.57","257.29","501.43","489.82","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","2072.0","0.11","0.0","0.0","6.6","0.11","0.7","0.0","0.0","0.0","0.0","13.85","24.75","514.57","257.29","500.72","489.82","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","2072.0","0.11","0.0","0.0","6.59","0.11","0.7","0.0","0.0","0.0","0.0","14.55","24.75","514.57","257.29","500.02","489.82","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","2072.0","0.11","0.0","0.0","7.51","0.11","0.79","0.0","0.0","0.0","0.0","15.34","24.75","514.57","257.29","499.23","489.82","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","2072.0","0.1","0.0","0.0","7.9","0.1","0.83","0.0","0.0","0.0","0.0","16.17","24.75","514.57","257.29","498.4","489.82","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","2072.0","0.1","0.0","0.0","7.55","0.1","0.79","0.0","0.0","0.0","0.0","16.95","24.75","514.57","257.29","497.62","489.82","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","2072.0","0.1","0.0","0.0","8.0","0.1","0.83","0.0","0.0","0.0","0.0","17.78","24.75","514.57","257.29","496.79","489.82","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","2072.0","0.1","0.0","0.0","6.92","0.1","0.71","0.0","0.0","0.0","0.0","18.49","24.75","514.57","257.29","496.08","489.82","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","2072.0","0.1","0.0","0.0","7.08","0.1","0.72","0.0","0.0","0.0","0.0","19.21","24.75","514.57","257.29","495.36","489.82","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","2072.0","0.1","0.0","0.0","6.92","0.1","0.7","0.0","0.0","0.0","0.0","19.91","24.75","514.57","257.29","494.66","489.82","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","2072.0","0.1","0.0","0.0","7.0","0.1","0.71","0.0","0.0","0.0","0.0","20.62","24.75","514.57","257.29","493.95","489.82","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","2072.0","0.1","0.0","0.0","4.85","0.1","0.49","0.0","0.0","0.0","0.0","21.11","24.75","514.57","257.29","493.46","489.82","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","2072.0","0.1","0.0","0.0","5.83","0.1","0.58","0.0","0.0","0.0","0.0","21.69","24.75","514.57","257.29","492.88","489.82","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","2072.0","0.1","0.0","0.0","4.52","0.1","0.45","0.0","0.0","0.0","0.0","22.14","24.75","514.57","257.29","492.43","489.82","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","2072.0","0.1","0.0","0.0","6.88","0.1","0.68","0.0","0.0","0.0","0.0","22.83","24.75","514.57","257.29","491.74","489.82","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","2072.0","0.1","0.0","0.0","6.22","0.1","0.61","0.0","0.0","0.0","0.0","23.44","24.75","514.57","257.29","491.13","489.82","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","2072.0","0.1","0.0","0.0","6.69","0.1","0.66","0.0","0.0","0.0","0.0","24.1","24.75","514.57","257.29","490.47","489.82","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","2072.0","0.1","0.0","0.0","6.74","0.1","0.66","0.0","0.0","0.0","0.0","24.76","24.75","514.57","257.29","489.81","489.82","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","2072.0","0.1","0.0","0.0","6.58","0.1","0.64","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","2072.0","0.1","0.0","0.0","6.46","0.1","0.63","0.0","0.0","0.0","0.0","25.38","24.75","514.57","257.29","489.2","489.82","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","2072.0","0.1","0.0","0.0","6.63","0.1","0.64","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","2072.0","0.1","0.0","0.0","6.2","0.1","0.6","0.0","0.0","0.0","0.0","25.35","24.75","514.57","257.29","489.23","489.82","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","2072.0","0.1","0.0","0.0","6.51","0.1","0.62","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","2072.0","0.1","0.0","0.0","6.78","0.1","0.65","0.0","0.0","0.0","0.0","25.4","24.75","514.57","257.29","489.18","489.82","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","2072.0","0.09","0.0","0.0","7.25","0.09","0.69","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","2072.0","0.09","0.0","0.0","7.05","0.09","0.66","0.0","0.0","0.0","0.0","25.41","24.75","514.57","257.29","489.16","489.82","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","2072.0","0.09","0.0","0.0","6.44","0.09","0.6","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","2072.0","0.09","0.0","0.0","5.71","0.09","0.53","0.0","0.0","0.0","0.0","25.28","24.75","514.57","257.29","489.29","489.82","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","2072.0","0.09","0.0","0.0","5.79","0.09","0.54","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","2072.0","0.09","0.0","0.0","5.86","0.09","0.54","0.0","0.0","0.0","0.0","25.29","24.75","514.57","257.29","489.28","489.82","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","2072.0","0.09","0.0","0.0","5.93","0.09","0.55","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","2072.0","0.09","0.0","0.0","6.4","0.09","0.59","0.0","0.0","0.0","0.0","25.34","24.75","514.57","257.29","489.23","489.82","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","2072.0","0.09","0.0","0.0","6.7","0.09","0.61","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","2072.0","0.09","0.0","0.0","6.8","0.09","0.62","0.0","0.0","0.0","0.0","25.37","24.75","514.57","257.29","489.2","489.82","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","2072.0","0.09","0.0","0.0","6.81","0.09","0.62","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","2072.0","0.09","0.0","0.0","6.87","0.09","0.62","0.0","0.0","0.0","0.0","25.37","24.75","514.57","257.29","489.2","489.82","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","2072.0","0.09","0.0","0.0","5.44","0.09","0.49","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","2072.0","0.09","0.0","0.0","5.56","0.09","0.5","0.0","0.0","0.0","0.0","25.25","24.75","514.57","257.29","489.32","489.82","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","2072.0","0.09","0.0","0.0","5.76","0.09","0.52","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","2072.0","0.09","0.0","0.0","5.9","0.09","0.53","0.0","0.0","0.0","0.0","25.28","24.75","514.57","257.29","489.3","489.82","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","2072.0","0.09","0.0","0.0","5.77","0.09","0.51","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","2072.0","0.09","0.0","0.0","5.25","0.09","0.47","0.0","0.0","0.0","0.0","25.22","24.75","514.57","257.29","489.36","489.82","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","2072.0","0.09","0.0","0.0","5.36","0.09","0.47","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","2072.0","0.09","0.0","0.0","5.84","0.09","0.51","0.0","0.0","0.0","0.0","25.26","24.75","514.57","257.29","489.31","489.82","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","2072.0","0.09","0.0","0.0","5.27","0.09","0.46","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","2072.0","0.09","0.0","0.0","5.59","0.09","0.49","0.0","0.0","0.0","0.0","25.24","24.75","514.57","257.29","489.33","489.82","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","2072.0","0.09","0.0","0.0","5.46","0.09","0.48","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","2072.0","0.09","0.0","0.0","6.23","0.09","0.54","0.0","0.0","0.0","0.0","25.29","24.75","514.57","257.29","489.28","489.82","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","2072.0","0.09","0.0","0.0","6.64","0.09","0.57","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","2072.0","0.09","0.0","0.0","6.34","0.09","0.55","0.0","0.0","0.0","0.0","25.3","24.75","514.57","257.29","489.28","489.82","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","2072.0","0.09","0.0","0.0","4.82","0.09","0.41","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","2072.0","0.09","0.0","0.0","5.41","0.09","0.46","0.0","0.0","0.0","0.0","25.21","24.75","514.57","257.29","489.36","489.82","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","2072.0","0.09","0.0","0.0","4.19","0.09","0.36","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","2072.0","0.09","0.0","0.0","4.58","0.09","0.39","0.0","0.0","0.0","0.0","25.14","24.75","514.57","257.29","489.43","489.82","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","2072.0","0.09","0.0","0.0","3.32","0.09","0.28","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","2072.0","0.09","0.0","0.0","3.93","0.09","0.33","0.23","0.23","0.0","0.0","24.85","24.75","514.57","257.29","489.72","489.82","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","2072.0","0.08","0.0","0.0","4.53","0.08","0.38","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","2072.0","0.08","0.0","0.0","4.78","0.08","0.41","0.0","0.0","0.0","0.0","25.16","24.75","514.57","257.29","489.42","489.82","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","2072.0","0.08","0.0","0.0","4.79","0.08","0.4","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","2072.0","0.08","0.0","0.0","5.6","0.08","0.47","0.0","0.0","0.0","0.0","25.22","24.75","514.57","257.29","489.35","489.82","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","2072.0","0.08","0.0","0.0","5.83","0.08","0.49","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","2072.0","0.08","0.0","0.0","4.62","0.08","0.39","0.0","0.0","0.0","0.0","25.14","24.75","514.57","257.29","489.43","489.82","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","2072.0","0.08","0.0","0.0","4.63","0.08","0.39","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","2072.0","0.08","0.0","0.0","5.62","0.08","0.47","0.0","0.0","0.0","0.0","25.22","24.75","514.57","257.29","489.35","489.82","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","2072.0","0.08","0.0","0.0","5.39","0.08","0.45","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","2072.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","25.09","24.75","514.57","257.29","489.48","489.82","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","2072.0","0.08","0.0","0.0","4.73","0.08","0.39","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","2072.0","0.08","0.0","0.0","4.31","0.08","0.36","0.0","0.0","0.0","0.0","25.11","24.75","514.57","257.29","489.47","489.82","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","2072.0","0.08","0.0","0.0","2.04","0.08","0.17","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
