" Daily soil water balance output for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","38.0","0.13","1.03","0.0","7.16","1.03","7.38","0.0","0.0","0.0","0.0","53.9","96.75","411.48","205.74","357.58","314.73","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","38.0","0.13","1.04","0.0","7.43","1.04","7.7","0.0","0.0","0.0","0.0","61.61","96.75","411.48","205.74","349.87","314.73","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","38.0","0.13","1.04","0.0","7.6","1.04","7.93","0.0","0.0","0.0","0.0","69.54","96.75","411.48","205.74","341.94","314.73","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","38.0","0.13","1.05","0.0","7.68","1.05","8.06","0.0","0.0","0.0","0.0","77.6","96.75","411.48","205.74","333.88","314.73","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","38.0","0.13","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","85.39","96.75","411.48","205.74","326.09","314.73","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","38.0","0.13","1.05","0.0","7.56","1.05","7.94","0.0","0.0","0.0","0.0","93.33","96.75","411.48","205.74","318.15","314.73","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","38.0","0.12","1.05","0.0","7.43","1.05","7.8","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","101.13","","","","","","","","",""
"2015.0","7.0","4.0","185.0","38.0","0.12","1.05","0.0","8.14","1.05","8.55","0.0","0.0","0.0","0.0","8.55","96.75","411.48","205.74","402.93","314.73","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","38.0","0.12","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","16.39","96.75","411.48","205.74","395.09","314.73","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","38.0","0.12","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","24.21","96.75","411.48","205.74","387.27","314.73","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","38.0","0.12","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","31.62","96.75","411.48","205.74","379.86","314.73","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","38.0","0.12","1.05","0.0","6.42","1.05","6.74","0.0","0.0","0.0","0.0","38.36","96.75","411.48","205.74","373.12","314.73","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","38.0","0.12","1.05","0.0","4.51","1.05","4.74","0.0","0.0","0.0","0.0","43.09","96.75","411.48","205.74","368.39","314.73","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","38.0","0.12","1.05","0.0","5.24","1.05","5.5","0.0","0.0","0.0","0.0","48.59","96.75","411.48","205.74","362.89","314.73","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","38.0","0.12","1.05","0.0","6.46","1.05","6.78","0.0","0.0","0.0","0.0","55.38","96.75","411.48","205.74","356.1","314.73","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","38.0","0.12","1.05","0.0","6.6","1.05","6.93","0.0","0.0","0.0","0.0","62.31","96.75","411.48","205.74","349.17","314.73","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","38.0","0.12","1.05","0.0","6.72","1.05","7.06","0.0","0.0","0.0","0.0","69.36","96.75","411.48","205.74","342.12","314.73","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","38.0","0.11","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","76.36","96.75","411.48","205.74","335.12","314.73","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","38.0","0.11","1.05","0.0","6.77","1.05","7.11","0.0","0.0","0.0","0.0","83.46","96.75","411.48","205.74","328.02","314.73","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","38.0","0.11","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","91.12","96.75","411.48","205.74","320.36","314.73","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","38.0","0.11","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","98.94","","","","","","","","",""
"2015.0","7.0","18.0","199.0","38.0","0.11","1.05","0.0","7.52","1.05","7.9","0.0","0.0","0.0","0.0","7.9","96.75","411.48","205.74","403.58","314.73","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","38.0","0.11","1.05","0.0","6.89","1.05","7.23","0.0","0.0","0.0","0.0","15.13","96.75","411.48","205.74","396.35","314.73","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","38.0","0.11","1.05","0.0","7.43","1.05","7.8","0.0","0.0","0.0","0.0","22.93","96.75","411.48","205.74","388.55","314.73","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","38.0","0.11","1.05","0.0","7.44","1.05","7.81","0.0","0.0","0.0","0.0","30.74","96.75","411.48","205.74","380.74","314.73","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","38.0","0.11","1.05","0.0","7.1","1.05","7.45","0.0","0.0","0.0","0.0","38.2","96.75","411.48","205.74","373.28","314.73","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","38.0","0.11","1.05","0.0","6.23","1.05","6.54","0.0","0.0","0.0","0.0","44.74","96.75","411.48","205.74","366.74","314.73","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","38.0","0.11","1.05","0.0","6.45","1.05","6.77","0.0","0.0","0.0","0.0","51.51","96.75","411.48","205.74","359.97","314.73","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","38.0","0.11","1.05","0.0","6.6","1.05","6.93","0.0","0.0","0.0","0.0","58.44","96.75","411.48","205.74","353.04","314.73","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","38.0","0.11","1.05","0.0","6.59","1.05","6.92","0.0","0.0","0.0","0.0","65.36","96.75","411.48","205.74","346.12","314.73","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","38.0","0.11","1.05","0.0","7.51","1.05","7.89","0.0","0.0","0.0","0.0","73.25","96.75","411.48","205.74","338.23","314.73","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","38.0","0.1","1.05","0.0","7.9","1.05","8.29","0.0","0.0","0.0","0.0","81.54","96.75","411.48","205.74","329.94","314.73","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","38.0","0.1","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","89.47","96.75","411.48","205.74","322.01","314.73","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","38.0","0.1","1.05","0.0","8.0","1.05","8.4","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","97.87","","","","","","","","",""
"2015.0","7.0","31.0","212.0","38.0","0.1","1.05","0.0","6.92","1.05","7.27","0.0","0.0","0.0","0.0","7.27","96.75","411.48","205.74","404.21","314.73","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","38.0","0.1","1.05","0.0","7.08","1.05","7.43","0.0","0.0","0.0","0.0","14.7","96.75","411.48","205.74","396.78","314.73","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","38.0","0.1","1.05","0.0","6.92","1.05","7.27","0.0","0.0","0.0","0.0","21.97","96.75","411.48","205.74","389.51","314.73","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","38.0","0.1","1.05","0.0","7.0","1.05","7.35","0.0","0.0","0.0","0.0","29.32","96.75","411.48","205.74","382.16","314.73","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","38.0","0.1","1.05","0.0","4.85","1.05","5.09","0.0","0.0","0.0","0.0","34.41","96.75","411.48","205.74","377.07","314.73","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","38.0","0.1","1.05","0.0","5.83","1.05","6.12","0.0","0.0","0.0","0.0","40.53","96.75","411.48","205.74","370.95","314.73","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","38.0","0.1","1.05","0.0","4.52","1.05","4.75","0.0","0.0","0.0","0.0","45.28","96.75","411.48","205.74","366.2","314.73","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","38.0","0.1","1.05","0.0","6.88","1.05","7.22","0.0","0.0","0.0","0.0","52.5","96.75","411.48","205.74","358.98","314.73","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","38.0","0.1","1.05","0.0","6.22","1.05","6.53","0.0","0.0","0.0","0.0","59.03","96.75","411.48","205.74","352.45","314.73","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","38.0","0.1","1.05","0.0","6.69","1.05","7.02","0.0","0.0","0.0","0.0","66.06","96.75","411.48","205.74","345.42","314.73","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","38.0","0.1","1.05","0.0","6.74","1.05","7.08","0.0","0.0","0.0","0.0","73.13","96.75","411.48","205.74","338.35","314.73","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","38.0","0.1","1.05","0.0","6.58","1.05","6.91","0.0","0.0","0.0","0.0","80.04","96.75","411.48","205.74","331.44","314.73","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","38.0","0.1","1.05","0.0","6.46","1.05","6.78","0.0","0.0","0.0","0.0","86.82","96.75","411.48","205.74","324.66","314.73","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","38.0","0.1","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","93.79","96.75","411.48","205.74","317.69","314.73","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","38.0","0.1","1.05","0.0","6.2","1.05","6.51","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","100.3","","","","","","","","",""
"2015.0","8.0","15.0","227.0","38.0","0.1","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","6.84","96.75","411.48","205.74","404.64","314.73","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","38.0","0.1","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","13.95","96.75","411.48","205.74","397.53","314.73","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","38.0","0.09","1.05","0.0","7.25","1.05","7.61","0.0","0.0","0.0","0.0","21.57","96.75","411.48","205.74","389.91","314.73","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","38.0","0.09","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","28.97","96.75","411.48","205.74","382.51","314.73","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","38.0","0.09","1.05","0.0","6.44","1.05","6.76","0.0","0.0","0.0","0.0","35.73","96.75","411.48","205.74","375.75","314.73","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","38.0","0.09","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","41.73","96.75","411.48","205.74","369.75","314.73","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","38.0","0.09","1.05","0.0","5.79","1.05","6.08","0.0","0.0","0.0","0.0","47.81","96.75","411.48","205.74","363.67","314.73","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","38.0","0.09","1.05","0.0","5.86","1.05","6.15","0.0","0.0","0.0","0.0","53.96","96.75","411.48","205.74","357.52","314.73","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","38.0","0.09","1.05","0.0","5.93","1.05","6.23","0.0","0.0","0.0","0.0","60.19","96.75","411.48","205.74","351.29","314.73","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","38.0","0.09","1.05","0.0","6.4","1.05","6.72","0.0","0.0","0.0","0.0","66.91","96.75","411.48","205.74","344.57","314.73","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","38.0","0.09","1.05","0.0","6.7","1.05","7.03","0.0","0.0","0.0","0.0","73.94","96.75","411.48","205.74","337.54","314.73","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","38.0","0.09","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","81.08","96.75","411.48","205.74","330.4","314.73","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","38.0","0.09","1.05","0.0","6.81","1.05","7.15","0.0","0.0","0.0","0.0","88.23","96.75","411.48","205.74","323.25","314.73","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","38.0","0.09","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","95.44","96.75","411.48","205.74","316.04","314.73","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","38.0","0.09","1.05","0.0","5.44","1.05","5.71","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","101.16","","","","","","","","",""
"2015.0","8.0","30.0","242.0","38.0","0.09","1.05","0.0","5.56","1.05","5.84","0.0","0.0","0.0","0.0","5.84","96.75","411.48","205.74","405.64","314.73","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","38.0","0.09","1.05","0.0","5.76","1.05","6.05","0.0","0.0","0.0","0.0","11.89","96.75","411.48","205.74","399.59","314.73","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","38.0","0.09","1.05","0.0","5.9","1.05","6.19","0.0","0.0","0.0","0.0","18.08","96.75","411.48","205.74","393.4","314.73","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","38.0","0.09","1.05","0.0","5.77","1.05","6.06","0.0","0.0","0.0","0.0","24.14","96.75","411.48","205.74","387.34","314.73","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","38.0","0.09","1.05","0.0","5.25","1.05","5.51","0.0","0.0","0.0","0.0","29.65","96.75","411.48","205.74","381.83","314.73","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","38.0","0.09","1.05","0.0","5.36","1.05","5.63","0.0","0.0","0.0","0.0","35.28","96.75","411.48","205.74","376.2","314.73","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","38.0","0.09","1.05","0.0","5.84","1.05","6.13","0.0","0.0","0.0","0.0","41.41","96.75","411.48","205.74","370.07","314.73","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","38.0","0.09","1.05","0.0","5.27","1.05","5.53","0.0","0.0","0.0","0.0","46.95","96.75","411.48","205.74","364.53","314.73","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","38.0","0.09","1.05","0.0","5.59","1.05","5.87","0.0","0.0","0.0","0.0","52.81","96.75","411.48","205.74","358.67","314.73","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","38.0","0.09","1.05","0.0","5.46","1.05","5.73","0.0","0.0","0.0","0.0","58.55","96.75","411.48","205.74","352.93","314.73","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","38.0","0.09","1.05","0.0","6.23","1.05","6.54","0.0","0.0","0.0","0.0","65.09","96.75","411.48","205.74","346.39","314.73","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","38.0","0.09","1.05","0.0","6.64","1.05","6.97","0.0","0.0","0.0","0.0","72.06","96.75","411.48","205.74","339.42","314.73","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","38.0","0.09","1.05","0.0","6.34","1.05","6.66","0.0","0.0","0.0","0.0","78.72","96.75","411.48","205.74","332.76","314.73","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","38.0","0.09","1.05","0.0","4.82","1.05","5.06","0.0","0.0","0.0","0.0","83.78","96.75","411.48","205.74","327.7","314.73","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","38.0","0.09","1.05","0.0","5.41","1.05","5.68","0.0","0.0","0.0","0.0","89.46","96.75","411.48","205.74","322.02","314.73","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","38.0","0.09","1.05","0.0","4.19","1.05","4.4","0.0","0.0","0.0","0.0","93.86","96.75","411.48","205.74","317.62","314.73","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","38.0","0.09","1.05","0.0","4.58","1.05","4.81","0.0","0.0","0.0","0.0","0.0","96.75","411.48","205.74","411.48","314.73","98.67","","","","","","","","",""
"2015.0","9.0","16.0","259.0","38.0","0.09","1.05","0.0","3.32","1.05","3.49","0.0","0.0","0.0","0.0","3.49","96.75","411.48","205.74","407.99","314.73","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","38.0","0.09","1.05","0.0","3.93","1.05","4.13","0.23","0.23","0.0","0.0","7.38","96.75","411.48","205.74","404.1","314.73","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","38.0","0.08","1.05","0.0","4.53","1.05","4.76","0.0","0.0","0.0","0.0","12.14","96.75","411.48","205.74","399.34","314.73","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","38.0","0.08","1.05","0.0","4.78","1.05","5.02","0.0","0.0","0.0","0.0","17.16","96.75","411.48","205.74","394.32","314.73","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","38.0","0.08","1.05","0.0","4.79","1.05","5.03","0.0","0.0","0.0","0.0","22.19","96.75","411.48","205.74","389.29","314.73","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","38.0","0.08","1.05","0.0","5.6","1.05","5.88","0.0","0.0","0.0","0.0","28.07","96.75","411.48","205.74","383.41","314.73","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","38.0","0.08","1.05","0.0","5.83","1.05","6.12","0.0","0.0","0.0","0.0","34.19","96.75","411.48","205.74","377.29","314.73","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","38.0","0.08","1.05","0.0","4.62","1.05","4.85","0.0","0.0","0.0","0.0","39.04","96.75","411.48","205.74","372.44","314.73","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","38.0","0.08","1.05","0.0","4.63","1.05","4.86","0.0","0.0","0.0","0.0","43.9","96.75","411.48","205.74","367.58","314.73","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","38.0","0.08","1.05","0.0","5.62","1.05","5.9","0.0","0.0","0.0","0.0","49.8","96.75","411.48","205.74","361.68","314.73","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","38.0","0.08","1.05","0.0","5.39","1.05","5.66","0.0","0.0","0.0","0.0","55.46","96.75","411.48","205.74","356.02","314.73","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","38.0","0.08","1.05","0.0","4.08","1.05","4.28","0.0","0.0","0.0","0.0","59.75","96.75","411.48","205.74","351.73","314.73","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","38.0","0.08","1.05","0.0","4.73","1.05","4.97","0.0","0.0","0.0","0.0","64.71","96.75","411.48","205.74","346.77","314.73","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","38.0","0.08","1.05","0.0","4.31","1.05","4.53","0.0","0.0","0.0","0.0","69.24","96.75","411.48","205.74","342.24","314.73","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","38.0","0.08","1.05","0.0","2.04","1.05","2.14","0.0","0.0","0.0","0.0","71.38","96.75","411.48","205.74","340.1","314.73","0.0","","","","","","","","",""
