" Daily soil water balance output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","6.0","24.0","175.0","24528.0","0.14","1.1","0.0","7.29","1.1","8.02","0.0","0.0","0.0","0.0","0.0","105.78","546.29","273.14","546.29","440.51","110.91","","","","","","","","",""
"2015.0","6.0","25.0","176.0","24528.0","0.14","1.1","0.0","7.98","1.1","8.78","0.0","0.0","0.0","0.0","8.78","105.78","546.29","273.14","537.51","440.51","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","24528.0","0.14","1.1","0.0","8.25","1.1","9.08","0.0","0.0","0.0","0.0","17.85","105.78","546.29","273.14","528.44","440.51","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","24528.0","0.13","1.1","0.0","6.76","1.1","7.44","0.0","0.0","0.0","0.0","25.29","105.78","546.29","273.14","521.0","440.51","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","24528.0","0.13","1.1","0.0","7.21","1.1","7.93","0.0","0.0","0.0","0.0","33.22","105.78","546.29","273.14","513.07","440.51","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","24528.0","0.13","1.1","0.0","7.58","1.1","8.34","0.0","0.0","0.0","0.0","41.56","105.78","546.29","273.14","504.73","440.51","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","24528.0","0.13","1.1","0.0","7.7","1.1","8.47","0.0","0.0","0.0","0.0","50.03","105.78","546.29","273.14","496.26","440.51","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","24528.0","0.13","1.1","0.0","7.4","1.1","8.14","0.0","0.0","0.0","0.0","58.17","105.78","546.29","273.14","488.12","440.51","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","24528.0","0.13","1.1","0.0","7.05","1.1","7.76","0.0","0.0","0.0","0.0","65.92","105.78","546.29","273.14","480.37","440.51","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","24528.0","0.13","1.1","0.0","7.61","1.1","8.37","0.0","0.0","0.0","0.0","74.29","105.78","546.29","273.14","472.0","440.51","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","24528.0","0.13","1.1","0.0","7.92","1.1","8.71","0.0","0.0","0.0","0.0","83.01","105.78","546.29","273.14","463.28","440.51","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","24528.0","0.12","1.1","0.0","7.19","1.1","7.91","0.0","0.0","0.0","0.0","90.92","105.78","546.29","273.14","455.37","440.51","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","24528.0","0.12","1.1","0.0","7.41","1.1","8.15","0.0","0.0","0.0","0.0","99.07","105.78","546.29","273.14","447.22","440.51","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","24528.0","0.12","1.1","0.0","6.84","1.1","7.52","0.0","0.0","0.0","0.0","0.0","105.78","546.29","273.14","546.29","440.51","106.59","","","","","","","","",""
"2015.0","7.0","8.0","189.0","24528.0","0.12","1.1","0.0","6.4","1.1","7.04","0.0","0.0","0.0","0.0","7.04","105.78","546.29","273.14","539.25","440.51","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","24528.0","0.12","1.1","0.0","5.04","1.1","5.54","0.0","0.0","0.0","0.0","12.58","105.78","546.29","273.14","533.71","440.51","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","24528.0","0.12","1.1","0.0","5.3","1.1","5.83","0.0","0.0","0.0","0.0","18.41","105.78","546.29","273.14","527.88","440.51","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","24528.0","0.12","1.1","0.0","6.37","1.1","7.01","0.0","0.0","0.0","0.0","25.42","136.57","546.29","273.14","520.87","409.72","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","24528.0","0.12","1.1","0.0","6.44","1.1","7.08","0.0","0.0","0.0","0.0","32.51","136.57","546.29","273.14","513.78","409.72","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","24528.0","0.12","1.1","0.0","6.8","1.1","7.48","0.0","0.0","0.0","0.0","39.99","136.57","546.29","273.14","506.3","409.72","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","24528.0","0.12","1.1","0.0","6.39","1.1","7.03","0.0","0.0","0.0","0.0","47.01","136.57","546.29","273.14","499.28","409.72","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","24528.0","0.12","1.07","0.0","6.57","1.07","7.04","0.0","0.0","0.0","0.0","54.06","136.57","546.29","273.14","492.23","409.72","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","24528.0","0.11","1.04","0.0","7.1","1.04","7.42","0.0","0.0","0.0","0.0","61.47","136.57","546.29","273.14","484.82","409.72","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","24528.0","0.11","1.02","0.0","7.27","1.02","7.39","0.0","0.0","0.0","0.0","68.87","136.57","546.29","273.14","477.42","409.72","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","24528.0","0.11","0.99","0.0","7.05","0.99","6.97","0.0","0.0","0.0","0.0","75.84","136.57","546.29","273.14","470.45","409.72","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","24528.0","0.11","0.96","0.0","6.59","0.96","6.33","0.0","0.0","0.0","0.0","82.17","136.57","546.29","273.14","464.12","409.72","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","24528.0","0.11","0.93","0.0","7.34","0.93","6.85","0.0","0.0","0.0","0.0","89.02","136.57","546.29","273.14","457.27","409.72","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","24528.0","0.11","0.91","0.0","7.25","0.91","6.57","0.0","0.0","0.0","0.0","95.59","136.57","546.29","273.14","450.7","409.72","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","24528.0","0.11","0.88","0.0","6.76","0.88","5.93","0.0","0.0","0.0","0.0","101.52","136.57","546.29","273.14","444.77","409.72","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","24528.0","0.11","0.85","0.0","6.27","0.85","5.33","0.0","0.0","0.0","0.0","106.85","136.57","546.29","273.14","439.44","409.72","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","24528.0","0.11","0.82","0.0","6.52","0.82","5.36","0.0","0.0","0.0","0.0","112.21","136.57","546.29","273.14","434.08","409.72","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","24528.0","0.11","0.79","0.0","6.61","0.79","5.25","0.0","0.0","0.0","0.0","117.46","136.57","546.29","273.14","428.83","409.72","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","24528.0","0.11","0.77","0.0","6.44","0.77","4.94","0.0","0.0","0.0","0.0","122.4","136.57","546.29","273.14","423.89","409.72","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","24528.0","0.11","0.74","0.0","7.4","0.74","5.47","0.0","0.0","0.0","0.0","127.87","136.57","546.29","273.14","418.42","409.72","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","24528.0","0.11","0.71","0.0","7.6","0.71","5.4","0.0","0.0","0.0","0.0","133.27","136.57","546.29","273.14","413.02","409.72","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","24528.0","0.11","0.68","0.0","7.4","0.68","5.06","0.0","0.0","0.0","0.0","0.0","136.57","546.29","273.14","546.29","409.72","138.33","","","","","","","","",""
"2015.0","7.0","30.0","211.0","24528.0","0.1","0.66","0.0","7.62","0.66","5.0","0.0","0.0","0.0","0.0","5.0","136.57","546.29","273.14","541.29","409.72","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","24528.0","0.1","0.63","0.0","6.8","0.63","4.27","0.0","0.0","0.0","0.0","9.26","136.57","546.29","273.14","537.02","409.72","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","24528.0","0.1","0.6","0.0","7.01","0.6","4.21","0.0","0.0","0.0","0.0","13.47","136.57","546.29","273.14","532.82","409.72","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","24528.0","0.1","0.0","0.0","6.94","0.1","0.71","0.0","0.0","0.0","0.0","14.18","27.0","546.29","273.14","532.11","519.29","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","24528.0","0.1","0.0","0.0","6.82","0.1","0.7","0.0","0.0","0.0","0.0","14.88","27.0","546.29","273.14","531.41","519.29","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","24528.0","0.1","0.0","0.0","5.18","0.1","0.53","0.0","0.0","0.0","0.0","15.41","27.0","546.29","273.14","530.88","519.29","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","24528.0","0.1","0.0","0.0","5.74","0.1","0.58","0.0","0.0","0.0","0.0","15.99","27.0","546.29","273.14","530.3","519.29","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","24528.0","0.1","0.0","0.0","3.84","0.1","0.39","0.0","0.0","0.0","0.0","16.38","27.0","546.29","273.14","529.91","519.29","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","24528.0","0.1","0.0","0.0","6.68","0.1","0.67","0.28","0.28","0.0","0.0","16.77","27.0","546.29","273.14","529.52","519.29","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","24528.0","0.1","0.0","0.0","6.05","0.1","0.61","0.0","0.0","0.0","0.0","17.38","27.0","546.29","273.14","528.91","519.29","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","24528.0","0.1","0.0","0.0","6.56","0.1","0.65","0.0","0.0","0.0","0.0","18.03","27.0","546.29","273.14","528.26","519.29","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","24528.0","0.1","0.0","0.0","6.58","0.1","0.65","0.0","0.0","0.0","0.0","18.68","27.0","546.29","273.14","527.6","519.29","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","24528.0","0.1","0.0","0.0","6.51","0.1","0.64","0.0","0.0","0.0","0.0","19.33","27.0","546.29","273.14","526.96","519.29","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","24528.0","0.1","0.0","0.0","6.4","0.1","0.63","0.0","0.0","0.0","0.0","19.96","27.0","546.29","273.14","526.33","519.29","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","24528.0","0.1","0.0","0.0","6.59","0.1","0.64","0.0","0.0","0.0","0.0","20.6","27.0","546.29","273.14","525.69","519.29","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","24528.0","0.1","0.0","0.0","6.41","0.1","0.62","0.0","0.0","0.0","0.0","21.22","27.0","546.29","273.14","525.07","519.29","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","24528.0","0.1","0.0","0.0","6.64","0.1","0.64","0.0","0.0","0.0","0.0","21.87","27.0","546.29","273.14","524.42","519.29","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","24528.0","0.1","0.0","0.0","6.79","0.1","0.65","0.0","0.0","0.0","0.0","22.52","27.0","546.29","273.14","523.77","519.29","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","24528.0","0.1","0.0","0.0","7.17","0.1","0.69","0.0","0.0","0.0","0.0","23.21","27.0","546.29","273.14","523.08","519.29","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","24528.0","0.1","0.0","0.0","6.9","0.1","0.66","0.0","0.0","0.0","0.0","23.87","27.0","546.29","273.14","522.42","519.29","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","24528.0","0.09","0.0","0.0","6.3","0.09","0.6","0.0","0.0","0.0","0.0","24.46","27.0","546.29","273.14","521.83","519.29","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","24528.0","0.09","0.0","0.0","5.73","0.09","0.54","0.0","0.0","0.0","0.0","25.01","27.0","546.29","273.14","521.28","519.29","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","24528.0","0.09","0.0","0.0","5.74","0.09","0.54","0.0","0.0","0.0","0.0","25.55","27.0","546.29","273.14","520.74","519.29","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","24528.0","0.09","0.0","0.0","5.73","0.09","0.54","0.0","0.0","0.0","0.0","26.08","27.0","546.29","273.14","520.2","519.29","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","24528.0","0.09","0.0","0.0","5.93","0.09","0.55","0.0","0.0","0.0","0.0","26.64","27.0","546.29","273.14","519.65","519.29","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","24528.0","0.09","0.0","0.0","6.34","0.09","0.59","0.0","0.0","0.0","0.0","27.23","27.0","546.29","273.14","519.06","519.29","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","24528.0","0.09","0.0","0.0","6.64","0.09","0.62","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","24528.0","0.09","0.0","0.0","6.81","0.09","0.63","0.0","0.0","0.0","0.0","27.63","27.0","546.29","273.14","518.66","519.29","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","24528.0","0.09","0.0","0.0","7.07","0.09","0.65","0.02","0.02","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","24528.0","0.09","0.0","0.0","6.97","0.09","0.64","0.0","0.0","0.0","0.0","27.64","27.0","546.29","273.14","518.65","519.29","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","24528.0","0.09","0.0","0.0","5.56","0.09","0.51","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","24528.0","0.09","0.0","0.0","5.74","0.09","0.52","0.0","0.0","0.0","0.0","27.52","27.0","546.29","273.14","518.77","519.29","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","24528.0","0.09","0.0","0.0","5.7","0.09","0.52","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","24528.0","0.09","0.0","0.0","5.68","0.09","0.51","0.0","0.0","0.0","0.0","27.51","27.0","546.29","273.14","518.78","519.29","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","24528.0","0.09","0.0","0.0","5.54","0.09","0.5","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","24528.0","0.09","0.0","0.0","5.27","0.09","0.47","0.0","0.0","0.0","0.0","27.47","27.0","546.29","273.14","518.82","519.29","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","24528.0","0.09","0.0","0.0","5.29","0.09","0.47","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","24528.0","0.09","0.0","0.0","5.58","0.09","0.5","0.0","0.0","0.0","0.0","27.5","27.0","546.29","273.14","518.79","519.29","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","24528.0","0.09","0.0","0.0","5.17","0.09","0.46","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","24528.0","0.09","0.0","0.0","5.45","0.09","0.48","0.0","0.0","0.0","0.0","27.48","27.0","546.29","273.14","518.81","519.29","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","24528.0","0.09","0.0","0.0","5.6","0.09","0.49","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","24528.0","0.09","0.0","0.0","6.36","0.09","0.56","0.0","0.0","0.0","0.0","27.56","27.0","546.29","273.14","518.73","519.29","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","24528.0","0.09","0.0","0.0","6.71","0.09","0.59","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","24528.0","0.09","0.0","0.0","6.2","0.09","0.54","0.0","0.0","0.0","0.0","27.54","27.0","546.29","273.14","518.75","519.29","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","24528.0","0.09","0.0","0.0","4.33","0.09","0.38","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","24528.0","0.09","0.0","0.0","5.05","0.09","0.44","0.0","0.0","0.0","0.0","27.44","27.0","546.29","273.14","518.85","519.29","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","24528.0","0.09","0.0","0.0","3.92","0.09","0.34","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","24528.0","0.09","0.0","0.0","4.74","0.09","0.41","0.0","0.0","0.0","0.0","27.41","27.0","546.29","273.14","518.88","519.29","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","24528.0","0.09","0.0","0.0","3.96","0.09","0.34","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","24528.0","0.09","0.0","0.0","4.02","0.09","0.35","0.0","0.0","0.0","0.0","27.35","27.0","546.29","273.14","518.94","519.29","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","24528.0","0.09","0.0","0.0","4.69","0.09","0.4","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","24528.0","0.09","0.0","0.0","4.72","0.09","0.4","0.0","0.0","0.0","0.0","27.4","27.0","546.29","273.14","518.89","519.29","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","24528.0","0.09","0.0","0.0","4.88","0.09","0.42","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","24528.0","0.09","0.0","0.0","5.65","0.09","0.48","0.0","0.0","0.0","0.0","27.48","27.0","546.29","273.14","518.81","519.29","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","24528.0","0.08","0.0","0.0","5.56","0.08","0.47","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","24528.0","0.08","0.0","0.0","4.77","0.08","0.4","0.0","0.0","0.0","0.0","27.4","27.0","546.29","273.14","518.89","519.29","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","24528.0","0.08","0.0","0.0","4.64","0.08","0.39","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","24528.0","0.08","0.0","0.0","5.61","0.08","0.47","0.0","0.0","0.0","0.0","27.47","27.0","546.29","273.14","518.82","519.29","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","24528.0","0.08","0.0","0.0","5.61","0.08","0.47","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","24528.0","0.08","0.0","0.0","3.95","0.08","0.33","0.0","0.0","0.0","0.0","27.33","27.0","546.29","273.14","518.96","519.29","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","24528.0","0.08","0.0","0.0","4.29","0.08","0.36","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","24528.0","0.08","0.0","0.0","3.68","0.08","0.31","0.0","0.0","0.0","0.0","27.31","27.0","546.29","273.14","518.98","519.29","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","24528.0","0.08","0.0","0.0","2.2","0.08","0.18","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
