" Daily soil water balance output for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","1194.0","0.14","1.02","0.0","8.0","1.02","8.13","0.0","0.0","0.0","0.0","23.04","103.77","492.27","246.14","469.23","388.51","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","1194.0","0.13","1.02","0.0","8.37","1.02","8.57","0.0","0.0","0.0","0.0","31.61","103.77","492.27","246.14","460.67","388.51","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","1194.0","0.13","1.03","0.0","6.94","1.03","7.15","0.0","0.0","0.0","0.0","38.76","103.77","492.27","246.14","453.52","388.51","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","1194.0","0.13","1.04","0.0","7.3","1.04","7.57","0.0","0.0","0.0","0.0","46.32","103.77","492.27","246.14","445.95","388.51","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","1194.0","0.13","1.04","0.0","7.58","1.04","7.91","0.0","0.0","0.0","0.0","54.23","103.77","492.27","246.14","438.04","388.51","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","1194.0","0.13","1.05","0.0","7.69","1.05","8.07","0.0","0.0","0.0","0.0","62.31","103.77","492.27","246.14","429.97","388.51","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","1194.0","0.13","1.05","0.0","7.56","1.05","7.94","0.0","0.0","0.0","0.0","70.24","103.77","492.27","246.14","422.03","388.51","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","1194.0","0.13","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","77.85","103.77","492.27","246.14","414.43","388.51","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","1194.0","0.13","1.05","0.0","7.52","1.05","7.9","0.0","0.0","0.0","0.0","85.74","103.77","492.27","246.14","406.53","388.51","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","1194.0","0.12","1.05","0.0","8.01","1.05","8.41","0.0","0.0","0.0","0.0","94.15","103.77","492.27","246.14","398.12","388.51","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","1194.0","0.12","1.05","0.0","7.28","1.05","7.64","0.0","0.0","0.0","0.0","101.8","103.77","492.27","246.14","390.48","388.51","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","1194.0","0.12","1.05","0.0","7.4","1.05","7.77","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","109.57","","","","","","","","",""
"2015.0","7.0","7.0","188.0","1194.0","0.12","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","7.28","103.77","492.27","246.14","485.0","388.51","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","1194.0","0.12","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","13.94","103.77","492.27","246.14","478.33","388.51","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","1194.0","0.12","1.05","0.0","4.42","1.05","4.64","0.0","0.0","0.0","0.0","18.59","103.77","492.27","246.14","473.69","388.51","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","1194.0","0.12","1.05","0.0","5.2","1.05","5.46","0.0","0.0","0.0","0.0","24.05","103.77","492.27","246.14","468.23","388.51","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","1194.0","0.12","1.05","0.0","6.4","1.05","6.72","0.0","0.0","0.0","0.0","30.77","103.77","492.27","246.14","461.51","388.51","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","1194.0","0.12","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","37.57","103.77","492.27","246.14","454.71","388.51","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","1194.0","0.12","1.05","0.0","6.7","1.05","7.04","0.0","0.0","0.0","0.0","44.6","103.77","492.27","246.14","447.67","388.51","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","1194.0","0.12","1.05","0.0","6.5","1.05","6.83","0.0","0.0","0.0","0.0","51.43","103.77","492.27","246.14","440.85","388.51","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","1194.0","0.12","1.05","0.0","6.67","1.05","7.0","0.0","0.0","0.0","0.0","58.43","103.77","492.27","246.14","433.84","388.51","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","1194.0","0.11","1.05","0.0","7.18","1.05","7.54","0.0","0.0","0.0","0.0","65.97","103.77","492.27","246.14","426.3","388.51","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","1194.0","0.11","1.05","0.0","7.37","1.05","7.74","0.0","0.0","0.0","0.0","73.71","103.77","492.27","246.14","418.56","388.51","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","1194.0","0.11","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","81.38","103.77","492.27","246.14","410.9","388.51","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","1194.0","0.11","1.05","0.0","6.82","1.05","7.16","0.0","0.0","0.0","0.0","88.54","103.77","492.27","246.14","403.74","388.51","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","1194.0","0.11","1.05","0.0","7.38","1.05","7.75","0.0","0.0","0.0","0.0","96.29","103.77","492.27","246.14","395.99","388.51","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","1194.0","0.11","1.05","0.0","7.36","1.05","7.73","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","104.01","","","","","","","","",""
"2015.0","7.0","22.0","203.0","1194.0","0.11","1.05","0.0","6.92","1.05","7.27","0.0","0.0","0.0","0.0","7.27","103.77","492.27","246.14","485.01","388.51","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","1194.0","0.11","1.05","0.0","6.25","1.05","6.56","0.0","0.0","0.0","0.0","13.83","103.77","492.27","246.14","478.45","388.51","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","1194.0","0.11","1.05","0.0","6.45","1.05","6.77","0.0","0.0","0.0","0.0","20.6","103.77","492.27","246.14","471.67","388.51","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","1194.0","0.11","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","27.48","103.77","492.27","246.14","464.8","388.51","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","1194.0","0.11","1.05","0.0","6.49","1.05","6.81","0.0","0.0","0.0","0.0","34.29","103.77","492.27","246.14","457.98","388.51","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","1194.0","0.11","1.05","0.0","7.47","1.05","7.84","0.0","0.0","0.0","0.0","42.14","103.77","492.27","246.14","450.14","388.51","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","1194.0","0.11","1.05","0.0","7.77","1.05","8.16","0.0","0.0","0.0","0.0","50.3","103.77","492.27","246.14","441.98","388.51","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","1194.0","0.1","1.05","0.0","7.5","1.05","7.88","0.0","0.0","0.0","0.0","58.17","103.77","492.27","246.14","434.1","388.51","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","1194.0","0.1","1.05","0.0","7.84","1.05","8.23","0.0","0.0","0.0","0.0","66.4","103.77","492.27","246.14","425.87","388.51","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","1194.0","0.1","1.05","0.0","6.75","1.05","7.09","0.0","0.0","0.0","0.0","73.49","103.77","492.27","246.14","418.79","388.51","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","1194.0","0.1","1.05","0.0","7.04","1.05","7.39","0.0","0.0","0.0","0.0","80.88","103.77","492.27","246.14","411.39","388.51","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","1194.0","0.1","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","88.16","103.77","492.27","246.14","404.12","388.51","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","1194.0","0.1","1.05","0.0","6.91","1.05","7.26","0.0","0.0","0.0","0.0","95.41","103.77","492.27","246.14","396.86","388.51","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","1194.0","0.1","1.05","0.0","5.01","1.05","5.26","0.0","0.0","0.0","0.0","100.67","103.77","492.27","246.14","391.6","388.51","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","1194.0","0.1","1.05","0.0","5.82","1.05","6.11","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","106.79","","","","","","","","",""
"2015.0","8.0","6.0","218.0","1194.0","0.1","1.05","0.0","4.19","1.05","4.4","0.0","0.0","0.0","0.0","4.4","103.77","492.27","246.14","487.88","388.51","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","1194.0","0.1","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","11.52","103.77","492.27","246.14","480.76","388.51","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","1194.0","0.1","1.05","0.0","6.09","1.05","6.39","0.0","0.0","0.0","0.0","17.91","103.77","492.27","246.14","474.36","388.51","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","1194.0","0.1","1.05","0.0","6.64","1.05","6.97","0.0","0.0","0.0","0.0","24.89","103.77","492.27","246.14","467.39","388.51","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","1194.0","0.1","1.05","0.0","6.66","1.05","6.99","0.0","0.0","0.0","0.0","31.88","103.77","492.27","246.14","460.4","388.51","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","1194.0","0.1","1.05","0.0","6.52","1.05","6.85","0.0","0.0","0.0","0.0","38.72","103.77","492.27","246.14","453.55","388.51","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","1194.0","0.1","1.05","0.0","6.43","1.05","6.75","0.0","0.0","0.0","0.0","45.48","103.77","492.27","246.14","446.8","388.51","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","1194.0","0.1","1.05","0.0","6.58","1.05","6.91","0.0","0.0","0.0","0.0","52.38","103.77","492.27","246.14","439.89","388.51","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","1194.0","0.1","1.05","0.0","6.27","1.05","6.58","0.0","0.0","0.0","0.0","58.97","103.77","492.27","246.14","433.31","388.51","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","1194.0","0.1","1.05","0.0","6.53","1.05","6.86","0.0","0.0","0.0","0.0","65.82","103.77","492.27","246.14","426.45","388.51","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","1194.0","0.1","1.05","0.0","6.74","1.05","7.08","0.0","0.0","0.0","0.0","72.9","103.77","492.27","246.14","419.37","388.51","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","1194.0","0.1","1.05","0.0","7.21","1.05","7.57","0.0","0.0","0.0","0.0","80.47","103.77","492.27","246.14","411.8","388.51","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","1194.0","0.09","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","87.76","103.77","492.27","246.14","404.52","388.51","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","1194.0","0.09","1.05","0.0","6.33","1.05","6.65","0.0","0.0","0.0","0.0","94.41","103.77","492.27","246.14","397.87","388.51","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","1194.0","0.09","1.05","0.0","5.68","1.05","5.96","0.0","0.0","0.0","0.0","100.37","103.77","492.27","246.14","391.91","388.51","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","1194.0","0.09","1.05","0.0","5.73","1.05","6.02","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","106.39","","","","","","","","",""
"2015.0","8.0","22.0","234.0","1194.0","0.09","1.05","0.0","5.78","1.05","6.07","0.0","0.0","0.0","0.0","6.07","103.77","492.27","246.14","486.21","388.51","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","1194.0","0.09","1.05","0.0","5.88","1.05","6.17","0.0","0.0","0.0","0.0","12.24","103.77","492.27","246.14","480.03","388.51","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","1194.0","0.09","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","18.91","103.77","492.27","246.14","473.36","388.51","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","1194.0","0.09","1.05","0.0","6.65","1.05","6.98","0.0","0.0","0.0","0.0","25.89","103.77","492.27","246.14","466.38","388.51","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","1194.0","0.09","1.05","0.0","6.78","1.05","7.12","0.0","0.0","0.0","0.0","33.01","103.77","492.27","246.14","459.26","388.51","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","1194.0","0.09","1.05","0.0","6.93","1.05","7.28","0.0","0.0","0.0","0.0","40.29","103.77","492.27","246.14","451.99","388.51","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","1194.0","0.09","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","47.5","103.77","492.27","246.14","444.77","388.51","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","1194.0","0.09","1.05","0.0","5.34","1.05","5.61","0.0","0.0","0.0","0.0","53.11","103.77","492.27","246.14","439.17","388.51","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","1194.0","0.09","1.05","0.0","5.64","1.05","5.92","0.0","0.0","0.0","0.0","59.03","103.77","492.27","246.14","433.24","388.51","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","1194.0","0.09","1.05","0.0","5.74","1.05","6.03","0.0","0.0","0.0","0.0","65.06","103.77","492.27","246.14","427.22","388.51","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","1194.0","0.09","1.05","0.0","5.75","1.05","6.04","0.0","0.0","0.0","0.0","71.1","103.77","492.27","246.14","421.18","388.51","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","1194.0","0.09","1.05","0.0","5.63","1.05","5.91","0.0","0.0","0.0","0.0","77.01","103.77","492.27","246.14","415.27","388.51","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","1194.0","0.09","1.05","0.0","5.25","1.05","5.51","0.0","0.0","0.0","0.0","82.52","103.77","492.27","246.14","409.76","388.51","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","1194.0","0.09","1.05","0.0","5.32","1.05","5.59","0.0","0.0","0.0","0.0","88.11","103.77","492.27","246.14","404.17","388.51","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","1194.0","0.09","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","94.1","103.77","492.27","246.14","398.17","388.51","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","1194.0","0.09","1.05","0.0","5.22","1.05","5.48","0.0","0.0","0.0","0.0","99.58","103.77","492.27","246.14","392.69","388.51","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","1194.0","0.09","1.05","0.0","5.51","1.05","5.79","0.0","0.0","0.0","0.0","0.0","103.77","492.27","246.14","492.27","388.51","105.37","","","","","","","","",""
"2015.0","9.0","8.0","251.0","1194.0","0.09","1.05","0.0","5.49","1.05","5.76","0.0","0.0","0.0","0.0","5.76","103.77","492.27","246.14","486.51","388.51","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","1194.0","0.09","1.05","0.0","6.25","1.05","6.56","0.0","0.0","0.0","0.0","12.33","103.77","492.27","246.14","479.95","388.51","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","1194.0","0.09","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","19.29","103.77","492.27","246.14","472.99","388.51","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","1194.0","0.09","1.05","0.0","6.3","1.05","6.62","0.0","0.0","0.0","0.0","25.9","103.77","492.27","246.14","466.37","388.51","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","1194.0","0.09","1.05","0.0","4.61","1.05","4.84","0.0","0.0","0.0","0.0","30.74","103.77","492.27","246.14","461.53","388.51","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","1194.0","0.09","1.05","0.0","5.3","1.05","5.57","0.0","0.0","0.0","0.0","36.31","103.77","492.27","246.14","455.97","388.51","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","1194.0","0.09","1.05","0.0","4.07","1.05","4.27","0.0","0.0","0.0","0.0","40.58","103.77","492.27","246.14","451.69","388.51","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","1194.0","0.09","1.05","0.0","4.66","1.05","4.89","0.0","0.0","0.0","0.0","45.48","103.77","492.27","246.14","446.8","388.51","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","1194.0","0.09","1.05","0.0","3.58","1.05","3.76","0.0","0.0","0.0","0.0","49.23","103.77","492.27","246.14","443.04","388.51","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","1194.0","0.09","1.05","0.0","3.96","1.05","4.16","0.0","0.0","0.0","0.0","53.39","103.77","492.27","246.14","438.88","388.51","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","1194.0","0.09","1.05","0.0","4.57","1.05","4.8","0.0","0.0","0.0","0.0","58.19","103.77","492.27","246.14","434.08","388.51","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","1194.0","0.09","1.05","0.0","4.73","1.05","4.97","0.0","0.0","0.0","0.0","63.16","103.77","492.27","246.14","429.12","388.51","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","1194.0","0.09","1.05","0.0","4.79","1.05","5.03","0.0","0.0","0.0","0.0","68.19","103.77","492.27","246.14","424.09","388.51","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","1194.0","0.08","1.05","0.0","5.59","1.05","5.87","0.0","0.0","0.0","0.0","74.06","103.77","492.27","246.14","418.22","388.51","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","1194.0","0.08","1.05","0.0","5.63","1.05","5.91","0.0","0.0","0.0","0.0","79.97","103.77","492.27","246.14","412.31","388.51","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","1194.0","0.08","1.05","0.0","4.66","1.05","4.89","0.0","0.0","0.0","0.0","84.86","103.77","492.27","246.14","407.41","388.51","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","1194.0","0.08","1.05","0.0","4.62","1.05","4.85","0.0","0.0","0.0","0.0","89.71","103.77","492.27","246.14","402.56","388.51","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","1194.0","0.08","1.05","0.0","5.64","1.05","5.92","0.0","0.0","0.0","0.0","95.63","103.77","492.27","246.14","396.64","388.51","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","1194.0","0.08","1.05","0.0","5.48","1.05","5.75","0.0","0.0","0.0","0.0","101.39","103.77","492.27","246.14","390.89","388.51","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","1194.0","0.08","1.05","0.0","3.94","1.05","4.14","0.0","0.0","0.0","0.0","105.53","123.07","492.27","246.14","386.75","369.21","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","1194.0","0.08","1.05","0.0","4.53","1.05","4.76","0.0","0.0","0.0","0.0","110.28","123.07","492.27","246.14","381.99","369.21","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","1194.0","0.08","1.05","0.0","4.04","1.05","4.24","0.0","0.0","0.0","0.0","114.52","123.07","492.27","246.14","377.75","369.21","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","1194.0","0.08","1.05","0.0","2.06","1.05","2.16","0.0","0.0","0.0","0.0","116.69","123.07","492.27","246.14","375.59","369.21","0.0","","","","","","","","",""
