" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","7.0","1.0","182.0","7857.0","0.13","0.9","0.0","7.43","0.9","6.69","0.0","0.0","0.0","0.0","53.81","124.14","536.45","268.22","482.64","412.31","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","7857.0","0.13","0.9","0.0","6.96","0.9","6.26","0.0","0.0","0.0","0.0","60.08","124.14","536.45","268.22","476.37","412.31","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","7857.0","0.13","0.9","0.0","7.37","0.9","6.63","0.0","0.0","0.0","0.0","66.71","124.14","536.45","268.22","469.74","412.31","0.0","","","","","","",""
"2015.0","7.0","4.0","185.0","7857.0","0.13","0.9","0.0","7.87","0.9","7.08","0.0","0.0","0.0","0.0","73.79","124.14","536.45","268.22","462.66","412.31","0.0","","","","","","",""
"2015.0","7.0","5.0","186.0","7857.0","0.12","0.9","0.0","7.15","0.9","6.44","0.0","0.0","0.0","0.0","80.23","124.14","536.45","268.22","456.22","412.31","0.0","","","","","","",""
"2015.0","7.0","6.0","187.0","7857.0","0.12","0.9","0.0","7.23","0.9","6.51","0.0","0.0","0.0","0.0","86.73","124.14","536.45","268.22","449.72","412.31","0.0","","","","","","",""
"2015.0","7.0","7.0","188.0","7857.0","0.12","0.9","0.0","6.75","0.9","6.08","0.0","0.0","0.0","0.0","92.81","124.14","536.45","268.22","443.64","412.31","0.0","","","","","","",""
"2015.0","7.0","8.0","189.0","7857.0","0.12","0.9","0.0","6.26","0.9","5.63","0.0","0.0","0.0","0.0","98.44","124.14","536.45","268.22","438.01","412.31","0.0","","","","","","",""
"2015.0","7.0","9.0","190.0","7857.0","0.12","0.9","0.0","4.34","0.9","3.91","0.0","0.0","0.0","0.0","102.35","124.14","536.45","268.22","434.1","412.31","0.0","","","","","","",""
"2015.0","7.0","10.0","191.0","7857.0","0.12","0.9","0.0","5.16","0.9","4.64","0.0","0.0","0.0","0.0","106.99","124.14","536.45","268.22","429.46","412.31","0.0","","","","","","",""
"2015.0","7.0","11.0","192.0","7857.0","0.12","0.9","0.0","6.34","0.9","5.71","0.0","0.0","0.0","0.0","112.7","124.14","536.45","268.22","423.75","412.31","0.0","","","","","","",""
"2015.0","7.0","12.0","193.0","7857.0","0.12","0.9","0.0","6.49","0.9","5.84","0.0","0.0","0.0","0.0","118.54","124.14","536.45","268.22","417.91","412.31","0.0","","","","","","",""
"2015.0","7.0","13.0","194.0","7857.0","0.12","0.9","0.0","6.6","0.9","5.94","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","124.48","","","","","","",""
"2015.0","7.0","14.0","195.0","7857.0","0.12","0.9","0.0","6.42","0.9","5.78","0.0","0.0","0.0","0.0","5.78","124.14","536.45","268.22","530.67","412.31","0.0","","","","","","",""
"2015.0","7.0","15.0","196.0","7857.0","0.12","0.9","0.0","6.62","0.9","5.96","0.0","0.0","0.0","0.0","11.74","124.14","536.45","268.22","524.71","412.31","0.0","","","","","","",""
"2015.0","7.0","16.0","197.0","7857.0","0.12","0.9","0.0","7.07","0.9","6.36","0.0","0.0","0.0","0.0","18.1","124.14","536.45","268.22","518.35","412.31","0.0","","","","","","",""
"2015.0","7.0","17.0","198.0","7857.0","0.11","0.9","0.0","7.25","0.9","6.53","0.0","0.0","0.0","0.0","24.62","124.14","536.45","268.22","511.82","412.31","0.0","","","","","","",""
"2015.0","7.0","18.0","199.0","7857.0","0.11","0.9","0.0","7.24","0.9","6.52","0.0","0.0","0.0","0.0","31.14","124.14","536.45","268.22","505.31","412.31","0.0","","","","","","",""
"2015.0","7.0","19.0","200.0","7857.0","0.11","0.9","0.0","6.8","0.9","6.12","0.0","0.0","0.0","0.0","37.26","124.14","536.45","268.22","499.19","412.31","0.0","","","","","","",""
"2015.0","7.0","20.0","201.0","7857.0","0.11","0.9","0.0","7.29","0.9","6.56","0.0","0.0","0.0","0.0","43.82","124.14","536.45","268.22","492.63","412.31","0.0","","","","","","",""
"2015.0","7.0","21.0","202.0","7857.0","0.11","0.9","0.0","7.21","0.9","6.49","0.0","0.0","0.0","0.0","50.31","124.14","536.45","268.22","486.14","412.31","0.0","","","","","","",""
"2015.0","7.0","22.0","203.0","7857.0","0.11","0.9","0.0","6.8","0.9","6.12","0.0","0.0","0.0","0.0","56.43","124.14","536.45","268.22","480.02","412.31","0.0","","","","","","",""
"2015.0","7.0","23.0","204.0","7857.0","0.11","0.9","0.0","6.1","0.9","5.49","0.0","0.0","0.0","0.0","61.92","124.14","536.45","268.22","474.53","412.31","0.0","","","","","","",""
"2015.0","7.0","24.0","205.0","7857.0","0.11","0.9","0.0","6.35","0.9","5.72","0.0","0.0","0.0","0.0","67.64","124.14","536.45","268.22","468.81","412.31","0.0","","","","","","",""
"2015.0","7.0","25.0","206.0","7857.0","0.11","0.9","0.0","6.41","0.9","5.77","0.0","0.0","0.0","0.0","73.4","124.14","536.45","268.22","463.04","412.31","0.0","","","","","","",""
"2015.0","7.0","26.0","207.0","7857.0","0.11","0.9","0.0","6.42","0.9","5.78","0.0","0.0","0.0","0.0","79.18","124.14","536.45","268.22","457.27","412.31","0.0","","","","","","",""
"2015.0","7.0","27.0","208.0","7857.0","0.11","0.9","0.0","7.39","0.9","6.65","0.0","0.0","0.0","0.0","85.83","124.14","536.45","268.22","450.62","412.31","0.0","","","","","","",""
"2015.0","7.0","28.0","209.0","7857.0","0.11","0.9","0.0","7.74","0.9","6.97","0.0","0.0","0.0","0.0","92.8","124.14","536.45","268.22","443.65","412.31","0.0","","","","","","",""
"2015.0","7.0","29.0","210.0","7857.0","0.11","0.9","0.0","7.42","0.9","6.68","0.0","0.0","0.0","0.0","99.48","124.14","536.45","268.22","436.97","412.31","0.0","","","","","","",""
"2015.0","7.0","30.0","211.0","7857.0","0.11","0.9","0.0","7.73","0.9","6.96","0.0","0.0","0.0","0.0","106.43","124.14","536.45","268.22","430.01","412.31","0.0","","","","","","",""
"2015.0","7.0","31.0","212.0","7857.0","0.1","0.9","0.0","6.63","0.9","5.97","0.0","0.0","0.0","0.0","112.4","124.14","536.45","268.22","424.05","412.31","0.0","","","","","","",""
"2015.0","8.0","1.0","213.0","7857.0","0.1","0.9","0.0","6.93","0.9","6.24","0.0","0.0","0.0","0.0","118.64","124.14","536.45","268.22","417.81","412.31","0.0","","","","","","",""
"2015.0","8.0","2.0","214.0","7857.0","0.1","0.9","0.0","6.78","0.9","6.1","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","124.74","","","","","","",""
"2015.0","8.0","3.0","215.0","7857.0","0.1","0.9","0.0","6.81","0.9","6.13","0.0","0.0","0.0","0.0","6.13","124.14","536.45","268.22","530.32","412.31","0.0","","","","","","",""
"2015.0","8.0","4.0","216.0","7857.0","0.1","0.9","0.0","4.69","0.9","4.22","0.0","0.0","0.0","0.0","10.35","124.14","536.45","268.22","526.1","412.31","0.0","","","","","","",""
"2015.0","8.0","5.0","217.0","7857.0","0.1","0.9","0.0","5.76","0.9","5.18","0.0","0.0","0.0","0.0","15.53","124.14","536.45","268.22","520.91","412.31","0.0","","","","","","",""
"2015.0","8.0","6.0","218.0","7857.0","0.1","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","19.36","124.14","536.45","268.22","517.09","412.31","0.0","","","","","","",""
"2015.0","8.0","7.0","219.0","7857.0","0.1","0.9","0.0","6.71","0.9","6.04","0.0","0.0","0.0","0.0","25.4","124.14","536.45","268.22","511.05","412.31","0.0","","","","","","",""
"2015.0","8.0","8.0","220.0","7857.0","0.1","0.9","0.0","5.96","0.9","5.36","0.0","0.0","0.0","0.0","30.76","124.14","536.45","268.22","505.69","412.31","0.0","","","","","","",""
"2015.0","8.0","9.0","221.0","7857.0","0.1","0.9","0.0","6.56","0.9","5.9","0.0","0.0","0.0","0.0","36.67","124.14","536.45","268.22","499.78","412.31","0.0","","","","","","",""
"2015.0","8.0","10.0","222.0","7857.0","0.1","0.9","0.0","6.58","0.9","5.92","0.0","0.0","0.0","0.0","42.59","124.14","536.45","268.22","493.86","412.31","0.0","","","","","","",""
"2015.0","8.0","11.0","223.0","7857.0","0.1","0.9","0.0","6.4","0.9","5.76","0.0","0.0","0.0","0.0","48.35","124.14","536.45","268.22","488.1","412.31","0.0","","","","","","",""
"2015.0","8.0","12.0","224.0","7857.0","0.1","0.9","0.0","6.33","0.9","5.7","0.0","0.0","0.0","0.0","54.05","124.14","536.45","268.22","482.4","412.31","0.0","","","","","","",""
"2015.0","8.0","13.0","225.0","7857.0","0.1","0.9","0.0","6.45","0.9","5.81","0.0","0.0","0.0","0.0","59.85","124.14","536.45","268.22","476.6","412.31","0.0","","","","","","",""
"2015.0","8.0","14.0","226.0","7857.0","0.1","0.9","0.0","6.13","0.9","5.52","0.0","0.0","0.0","0.0","65.37","124.14","536.45","268.22","471.08","412.31","0.0","","","","","","",""
"2015.0","8.0","15.0","227.0","7857.0","0.1","0.9","0.0","6.42","0.9","5.78","0.0","0.0","0.0","0.0","71.15","124.14","536.45","268.22","465.3","412.31","0.0","","","","","","",""
"2015.0","8.0","16.0","228.0","7857.0","0.1","0.9","0.0","6.66","0.9","5.99","0.0","0.0","0.0","0.0","77.14","124.14","536.45","268.22","459.31","412.31","0.0","","","","","","",""
"2015.0","8.0","17.0","229.0","7857.0","0.1","0.9","0.0","7.09","0.9","6.38","0.0","0.0","0.0","0.0","83.52","124.14","536.45","268.22","452.93","412.31","0.0","","","","","","",""
"2015.0","8.0","18.0","230.0","7857.0","0.1","0.9","0.0","6.79","0.9","6.11","0.0","0.0","0.0","0.0","89.63","124.14","536.45","268.22","446.82","412.31","0.0","","","","","","",""
"2015.0","8.0","19.0","231.0","7857.0","0.1","0.9","0.0","6.18","0.9","5.56","0.0","0.0","0.0","0.0","95.19","124.14","536.45","268.22","441.26","412.31","0.0","","","","","","",""
"2015.0","8.0","20.0","232.0","7857.0","0.1","0.9","0.0","5.52","0.9","4.97","0.0","0.0","0.0","0.0","100.16","124.14","536.45","268.22","436.29","412.31","0.0","","","","","","",""
"2015.0","8.0","21.0","233.0","7857.0","0.09","0.9","0.0","5.62","0.9","5.06","0.0","0.0","0.0","0.0","105.22","124.14","536.45","268.22","431.23","412.31","0.0","","","","","","",""
"2015.0","8.0","22.0","234.0","7857.0","0.09","0.9","0.0","5.69","0.9","5.12","0.0","0.0","0.0","0.0","110.34","124.14","536.45","268.22","426.11","412.31","0.0","","","","","","",""
"2015.0","8.0","23.0","235.0","7857.0","0.09","0.9","0.0","5.75","0.9","5.18","0.0","0.0","0.0","0.0","115.52","124.14","536.45","268.22","420.93","412.31","0.0","","","","","","",""
"2015.0","8.0","24.0","236.0","7857.0","0.09","0.9","0.0","6.23","0.9","5.61","0.0","0.0","0.0","0.0","121.12","124.14","536.45","268.22","415.33","412.31","0.0","","","","","","",""
"2015.0","8.0","25.0","237.0","7857.0","0.09","0.9","0.0","6.51","0.9","5.86","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","126.98","","","","","","",""
"2015.0","8.0","26.0","238.0","7857.0","0.09","0.9","0.0","6.64","0.9","5.98","0.0","0.0","0.0","0.0","5.98","124.14","536.45","268.22","530.47","412.31","0.0","","","","","","",""
"2015.0","8.0","27.0","239.0","7857.0","0.09","0.9","0.0","6.82","0.9","6.14","0.0","0.0","0.0","0.0","12.11","124.14","536.45","268.22","524.33","412.31","0.0","","","","","","",""
"2015.0","8.0","28.0","240.0","7857.0","0.09","0.9","0.0","6.79","0.9","6.11","0.0","0.0","0.0","0.0","18.23","124.14","536.45","268.22","518.22","412.31","0.0","","","","","","",""
"2015.0","8.0","29.0","241.0","7857.0","0.09","0.9","0.0","5.21","0.9","4.69","0.0","0.0","0.0","0.0","22.91","124.14","536.45","268.22","513.53","412.31","0.0","","","","","","",""
"2015.0","8.0","30.0","242.0","7857.0","0.09","0.9","0.0","5.54","0.9","4.99","0.0","0.0","0.0","0.0","27.9","124.14","536.45","268.22","508.55","412.31","0.0","","","","","","",""
"2015.0","8.0","31.0","243.0","7857.0","0.09","0.9","0.0","5.7","0.9","5.13","0.0","0.0","0.0","0.0","33.03","124.14","536.45","268.22","503.42","412.31","0.0","","","","","","",""
"2015.0","9.0","1.0","244.0","7857.0","0.09","0.9","0.0","5.68","0.9","5.11","0.0","0.0","0.0","0.0","38.14","124.14","536.45","268.22","498.31","412.31","0.0","","","","","","",""
"2015.0","9.0","2.0","245.0","7857.0","0.09","0.9","0.0","5.54","0.9","4.99","0.0","0.0","0.0","0.0","43.13","124.14","536.45","268.22","493.32","412.31","0.0","","","","","","",""
"2015.0","9.0","3.0","246.0","7857.0","0.09","0.9","0.0","5.19","0.9","4.67","0.0","0.0","0.0","0.0","47.8","124.14","536.45","268.22","488.65","412.31","0.0","","","","","","",""
"2015.0","9.0","4.0","247.0","7857.0","0.09","0.9","0.0","5.28","0.9","4.75","0.0","0.0","0.0","0.0","52.55","124.14","536.45","268.22","483.9","412.31","0.0","","","","","","",""
"2015.0","9.0","5.0","248.0","7857.0","0.09","0.9","0.0","5.7","0.9","5.13","0.0","0.0","0.0","0.0","57.68","124.14","536.45","268.22","478.77","412.31","0.0","","","","","","",""
"2015.0","9.0","6.0","249.0","7857.0","0.09","0.9","0.0","5.21","0.9","4.69","0.0","0.0","0.0","0.0","62.37","124.14","536.45","268.22","474.08","412.31","0.0","","","","","","",""
"2015.0","9.0","7.0","250.0","7857.0","0.09","0.9","0.0","5.47","0.9","4.92","0.0","0.0","0.0","0.0","67.29","124.14","536.45","268.22","469.16","412.31","0.0","","","","","","",""
"2015.0","9.0","8.0","251.0","7857.0","0.09","0.9","0.0","5.43","0.9","4.89","0.0","0.0","0.0","0.0","72.18","124.14","536.45","268.22","464.27","412.31","0.0","","","","","","",""
"2015.0","9.0","9.0","252.0","7857.0","0.09","0.9","0.0","6.14","0.9","5.53","0.0","0.0","0.0","0.0","77.71","124.14","536.45","268.22","458.74","412.31","0.0","","","","","","",""
"2015.0","9.0","10.0","253.0","7857.0","0.09","0.9","0.0","6.51","0.9","5.86","0.0","0.0","0.0","0.0","83.57","124.14","536.45","268.22","452.88","412.31","0.0","","","","","","",""
"2015.0","9.0","11.0","254.0","7857.0","0.09","0.9","0.0","6.2","0.9","5.58","0.0","0.0","0.0","0.0","89.15","124.14","536.45","268.22","447.3","412.31","0.0","","","","","","",""
"2015.0","9.0","12.0","255.0","7857.0","0.09","0.9","0.0","4.62","0.9","4.16","0.0","0.0","0.0","0.0","93.3","124.14","536.45","268.22","443.15","412.31","0.0","","","","","","",""
"2015.0","9.0","13.0","256.0","7857.0","0.09","0.9","0.0","5.3","0.9","4.77","0.0","0.0","0.0","0.0","98.07","124.14","536.45","268.22","438.38","412.31","0.0","","","","","","",""
"2015.0","9.0","14.0","257.0","7857.0","0.09","0.9","0.0","3.97","0.9","3.57","0.0","0.0","0.0","0.0","101.65","124.14","536.45","268.22","434.8","412.31","0.0","","","","","","",""
"2015.0","9.0","15.0","258.0","7857.0","0.09","0.9","0.0","4.59","0.9","4.13","0.0","0.0","0.0","0.0","105.78","124.14","536.45","268.22","430.67","412.31","0.0","","","","","","",""
"2015.0","9.0","16.0","259.0","7857.0","0.09","0.9","0.0","3.31","0.9","2.98","0.0","0.0","0.0","0.0","108.76","124.14","536.45","268.22","427.69","412.31","0.0","","","","","","",""
"2015.0","9.0","17.0","260.0","7857.0","0.09","0.9","0.0","3.92","0.9","3.53","0.05","0.05","0.0","0.0","112.23","124.14","536.45","268.22","424.21","412.31","0.0","","","","","","",""
"2015.0","9.0","18.0","261.0","7857.0","0.09","0.9","0.0","4.51","0.9","4.06","0.0","0.0","0.0","0.0","116.29","124.14","536.45","268.22","420.16","412.31","0.0","","","","","","",""
"2015.0","9.0","19.0","262.0","7857.0","0.09","0.9","0.0","4.71","0.9","4.24","0.0","0.0","0.0","0.0","120.53","124.14","536.45","268.22","415.92","412.31","0.0","","","","","","",""
"2015.0","9.0","20.0","263.0","7857.0","0.09","0.9","0.0","4.75","0.9","4.28","0.0","0.0","0.0","0.0","0.0","124.14","536.45","268.22","536.45","412.31","124.81","","","","","","",""
"2015.0","9.0","21.0","264.0","7857.0","0.09","0.9","0.0","5.54","0.9","4.99","0.0","0.0","0.0","0.0","4.99","124.14","536.45","268.22","531.46","412.31","0.0","","","","","","",""
"2015.0","9.0","22.0","265.0","7857.0","0.09","0.9","0.0","5.48","0.9","4.93","0.0","0.0","0.0","0.0","9.92","124.14","536.45","268.22","526.53","412.31","0.0","","","","","","",""
"2015.0","9.0","23.0","266.0","7857.0","0.09","0.9","0.0","4.54","0.9","4.09","0.0","0.0","0.0","0.0","14.0","124.14","536.45","268.22","522.44","412.31","0.0","","","","","","",""
"2015.0","9.0","24.0","267.0","7857.0","0.09","0.9","0.0","4.54","0.9","4.09","0.0","0.0","0.0","0.0","18.09","124.14","536.45","268.22","518.36","412.31","0.0","","","","","","",""
"2015.0","9.0","25.0","268.0","7857.0","0.08","0.9","0.0","5.54","0.9","4.99","0.0","0.0","0.0","0.0","23.08","124.14","536.45","268.22","513.37","412.31","0.0","","","","","","",""
"2015.0","9.0","26.0","269.0","7857.0","0.08","0.9","0.0","5.3","0.9","4.77","0.0","0.0","0.0","0.0","27.85","124.14","536.45","268.22","508.6","412.31","0.0","","","","","","",""
"2015.0","9.0","27.0","270.0","7857.0","0.08","0.9","0.0","3.95","0.9","3.56","0.0","0.0","0.0","0.0","31.4","124.14","536.45","268.22","505.05","412.31","0.0","","","","","","",""
"2015.0","9.0","28.0","271.0","7857.0","0.08","0.9","0.0","4.53","0.9","4.08","0.0","0.0","0.0","0.0","35.48","124.14","536.45","268.22","500.97","412.31","0.0","","","","","","",""
"2015.0","9.0","29.0","272.0","7857.0","0.08","0.9","0.0","4.09","0.9","3.68","0.0","0.0","0.0","0.0","39.16","124.14","536.45","268.22","497.29","412.31","0.0","","","","","","",""
"2015.0","9.0","30.0","273.0","7857.0","0.08","0.9","0.0","1.96","0.9","1.76","0.0","0.0","0.0","0.0","40.92","124.14","536.45","268.22","495.53","412.31","0.0","","","","","","",""
