" Daily soil water balance output for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","7.0","4.0","185.0","63.0","0.12","0.7","0.0","8.14","0.7","5.7","0.0","0.0","0.0","0.0","109.61","115.49","548.64","274.32","439.03","433.15","0.0","","","","","","",""
"2015.0","7.0","5.0","186.0","63.0","0.12","0.7","0.0","7.47","0.7","5.23","0.0","0.0","0.0","0.0","114.84","115.49","548.64","274.32","433.81","433.15","0.0","","","","","","",""
"2015.0","7.0","6.0","187.0","63.0","0.12","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","120.05","","","","","","",""
"2015.0","7.0","7.0","188.0","63.0","0.12","0.7","0.0","7.05","0.7","4.94","0.0","0.0","0.0","0.0","4.94","115.49","548.64","274.32","543.71","433.15","0.0","","","","","","",""
"2015.0","7.0","8.0","189.0","63.0","0.12","0.7","0.0","6.42","0.7","4.49","0.0","0.0","0.0","0.0","9.43","115.49","548.64","274.32","539.21","433.15","0.0","","","","","","",""
"2015.0","7.0","9.0","190.0","63.0","0.12","0.7","0.0","4.51","0.7","3.16","0.0","0.0","0.0","0.0","12.59","115.49","548.64","274.32","536.05","433.15","0.0","","","","","","",""
"2015.0","7.0","10.0","191.0","63.0","0.12","0.7","0.0","5.24","0.7","3.67","0.0","0.0","0.0","0.0","16.25","115.49","548.64","274.32","532.39","433.15","0.0","","","","","","",""
"2015.0","7.0","11.0","192.0","63.0","0.12","0.7","0.0","6.46","0.7","4.52","0.0","0.0","0.0","0.0","20.78","115.49","548.64","274.32","527.86","433.15","0.0","","","","","","",""
"2015.0","7.0","12.0","193.0","63.0","0.12","0.7","0.0","6.6","0.7","4.62","0.0","0.0","0.0","0.0","25.4","115.49","548.64","274.32","523.24","433.15","0.0","","","","","","",""
"2015.0","7.0","13.0","194.0","63.0","0.12","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","30.1","115.49","548.64","274.32","518.54","433.15","0.0","","","","","","",""
"2015.0","7.0","14.0","195.0","63.0","0.11","0.7","0.0","6.66","0.7","4.66","0.0","0.0","0.0","0.0","34.76","115.49","548.64","274.32","513.88","433.15","0.0","","","","","","",""
"2015.0","7.0","15.0","196.0","63.0","0.11","0.7","0.0","6.77","0.7","4.74","0.0","0.0","0.0","0.0","39.5","115.49","548.64","274.32","509.14","433.15","0.0","","","","","","",""
"2015.0","7.0","16.0","197.0","63.0","0.11","0.7","0.0","7.29","0.7","5.1","0.0","0.0","0.0","0.0","44.6","115.49","548.64","274.32","504.04","433.15","0.0","","","","","","",""
"2015.0","7.0","17.0","198.0","63.0","0.11","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","49.82","115.49","548.64","274.32","498.82","433.15","0.0","","","","","","",""
"2015.0","7.0","18.0","199.0","63.0","0.11","0.7","0.0","7.52","0.7","5.26","0.0","0.0","0.0","0.0","55.08","115.49","548.64","274.32","493.56","433.15","0.0","","","","","","",""
"2015.0","7.0","19.0","200.0","63.0","0.11","0.7","0.0","6.89","0.7","4.82","0.0","0.0","0.0","0.0","59.91","115.49","548.64","274.32","488.73","433.15","0.0","","","","","","",""
"2015.0","7.0","20.0","201.0","63.0","0.11","0.7","0.0","7.43","0.7","5.2","0.0","0.0","0.0","0.0","65.11","115.49","548.64","274.32","483.53","433.15","0.0","","","","","","",""
"2015.0","7.0","21.0","202.0","63.0","0.11","0.7","0.0","7.44","0.7","5.21","0.0","0.0","0.0","0.0","70.32","115.49","548.64","274.32","478.33","433.15","0.0","","","","","","",""
"2015.0","7.0","22.0","203.0","63.0","0.11","0.7","0.0","7.1","0.7","4.97","0.0","0.0","0.0","0.0","75.29","115.49","548.64","274.32","473.36","433.15","0.0","","","","","","",""
"2015.0","7.0","23.0","204.0","63.0","0.11","0.7","0.0","6.23","0.7","4.36","0.0","0.0","0.0","0.0","79.65","115.49","548.64","274.32","468.99","433.15","0.0","","","","","","",""
"2015.0","7.0","24.0","205.0","63.0","0.11","0.7","0.0","6.45","0.7","4.52","0.0","0.0","0.0","0.0","84.16","115.49","548.64","274.32","464.48","433.15","0.0","","","","","","",""
"2015.0","7.0","25.0","206.0","63.0","0.11","0.7","0.0","6.6","0.7","4.62","0.0","0.0","0.0","0.0","88.78","115.49","548.64","274.32","459.86","433.15","0.0","","","","","","",""
"2015.0","7.0","26.0","207.0","63.0","0.11","0.7","0.0","6.59","0.7","4.61","0.0","0.0","0.0","0.0","93.39","115.49","548.64","274.32","455.25","433.15","0.0","","","","","","",""
"2015.0","7.0","27.0","208.0","63.0","0.11","0.7","0.0","7.51","0.7","5.26","0.0","0.0","0.0","0.0","98.65","115.49","548.64","274.32","449.99","433.15","0.0","","","","","","",""
"2015.0","7.0","28.0","209.0","63.0","0.1","0.7","0.0","7.9","0.7","5.53","0.0","0.0","0.0","0.0","104.18","115.49","548.64","274.32","444.46","433.15","0.0","","","","","","",""
"2015.0","7.0","29.0","210.0","63.0","0.1","0.7","0.0","7.55","0.7","5.29","0.0","0.0","0.0","0.0","109.47","115.49","548.64","274.32","439.17","433.15","0.0","","","","","","",""
"2015.0","7.0","30.0","211.0","63.0","0.1","0.7","0.0","8.0","0.7","5.6","0.0","0.0","0.0","0.0","115.07","115.49","548.64","274.32","433.57","433.15","0.0","","","","","","",""
"2015.0","7.0","31.0","212.0","63.0","0.1","0.7","0.0","6.92","0.7","4.84","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","119.91","","","","","","",""
"2015.0","8.0","1.0","213.0","63.0","0.1","0.7","0.0","7.08","0.7","4.96","0.0","0.0","0.0","0.0","4.96","115.49","548.64","274.32","543.68","433.15","0.0","","","","","","",""
"2015.0","8.0","2.0","214.0","63.0","0.1","0.7","0.0","6.92","0.7","4.84","0.0","0.0","0.0","0.0","9.8","115.49","548.64","274.32","538.84","433.15","0.0","","","","","","",""
"2015.0","8.0","3.0","215.0","63.0","0.1","0.7","0.0","7.0","0.7","4.9","0.0","0.0","0.0","0.0","14.7","115.49","548.64","274.32","533.94","433.15","0.0","","","","","","",""
"2015.0","8.0","4.0","216.0","63.0","0.1","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","18.1","115.49","548.64","274.32","530.55","433.15","0.0","","","","","","",""
"2015.0","8.0","5.0","217.0","63.0","0.1","0.7","0.0","5.83","0.7","4.08","0.0","0.0","0.0","0.0","22.18","115.49","548.64","274.32","526.46","433.15","0.0","","","","","","",""
"2015.0","8.0","6.0","218.0","63.0","0.1","0.7","0.0","4.52","0.7","3.16","0.0","0.0","0.0","0.0","25.34","115.49","548.64","274.32","523.3","433.15","0.0","","","","","","",""
"2015.0","8.0","7.0","219.0","63.0","0.1","0.7","0.0","6.88","0.7","4.82","0.0","0.0","0.0","0.0","30.16","115.49","548.64","274.32","518.48","433.15","0.0","","","","","","",""
"2015.0","8.0","8.0","220.0","63.0","0.1","0.7","0.0","6.22","0.7","4.35","0.0","0.0","0.0","0.0","34.51","115.49","548.64","274.32","514.13","433.15","0.0","","","","","","",""
"2015.0","8.0","9.0","221.0","63.0","0.1","0.7","0.0","6.69","0.7","4.68","0.0","0.0","0.0","0.0","39.19","115.49","548.64","274.32","509.45","433.15","0.0","","","","","","",""
"2015.0","8.0","10.0","222.0","63.0","0.1","0.7","0.0","6.74","0.7","4.72","0.0","0.0","0.0","0.0","43.91","115.49","548.64","274.32","504.73","433.15","0.0","","","","","","",""
"2015.0","8.0","11.0","223.0","63.0","0.1","0.7","0.0","6.58","0.7","4.61","0.0","0.0","0.0","0.0","48.52","115.49","548.64","274.32","500.12","433.15","0.0","","","","","","",""
"2015.0","8.0","12.0","224.0","63.0","0.1","0.7","0.0","6.46","0.7","4.52","0.0","0.0","0.0","0.0","53.04","115.49","548.64","274.32","495.6","433.15","0.0","","","","","","",""
"2015.0","8.0","13.0","225.0","63.0","0.1","0.7","0.0","6.63","0.7","4.64","0.0","0.0","0.0","0.0","57.68","115.49","548.64","274.32","490.96","433.15","0.0","","","","","","",""
"2015.0","8.0","14.0","226.0","63.0","0.1","0.7","0.0","6.2","0.7","4.34","0.0","0.0","0.0","0.0","62.02","115.49","548.64","274.32","486.62","433.15","0.0","","","","","","",""
"2015.0","8.0","15.0","227.0","63.0","0.1","0.7","0.0","6.51","0.7","4.56","0.0","0.0","0.0","0.0","66.58","115.49","548.64","274.32","482.06","433.15","0.0","","","","","","",""
"2015.0","8.0","16.0","228.0","63.0","0.1","0.7","0.0","6.78","0.7","4.75","0.0","0.0","0.0","0.0","71.32","115.49","548.64","274.32","477.32","433.15","0.0","","","","","","",""
"2015.0","8.0","17.0","229.0","63.0","0.09","0.7","0.0","7.25","0.7","5.08","0.0","0.0","0.0","0.0","76.4","115.49","548.64","274.32","472.24","433.15","0.0","","","","","","",""
"2015.0","8.0","18.0","230.0","63.0","0.09","0.7","0.0","7.05","0.7","4.94","0.0","0.0","0.0","0.0","81.33","115.49","548.64","274.32","467.31","433.15","0.0","","","","","","",""
"2015.0","8.0","19.0","231.0","63.0","0.09","0.7","0.0","6.44","0.7","4.51","0.0","0.0","0.0","0.0","85.84","115.49","548.64","274.32","462.8","433.15","0.0","","","","","","",""
"2015.0","8.0","20.0","232.0","63.0","0.09","0.7","0.0","5.71","0.7","4.0","0.0","0.0","0.0","0.0","89.84","115.49","548.64","274.32","458.8","433.15","0.0","","","","","","",""
"2015.0","8.0","21.0","233.0","63.0","0.09","0.7","0.0","5.79","0.7","4.05","0.0","0.0","0.0","0.0","93.89","115.49","548.64","274.32","454.75","433.15","0.0","","","","","","",""
"2015.0","8.0","22.0","234.0","63.0","0.09","0.7","0.0","5.86","0.7","4.1","0.0","0.0","0.0","0.0","97.99","115.49","548.64","274.32","450.65","433.15","0.0","","","","","","",""
"2015.0","8.0","23.0","235.0","63.0","0.09","0.7","0.0","5.93","0.7","4.15","0.0","0.0","0.0","0.0","102.14","115.49","548.64","274.32","446.5","433.15","0.0","","","","","","",""
"2015.0","8.0","24.0","236.0","63.0","0.09","0.7","0.0","6.4","0.7","4.48","0.0","0.0","0.0","0.0","106.62","115.49","548.64","274.32","442.02","433.15","0.0","","","","","","",""
"2015.0","8.0","25.0","237.0","63.0","0.09","0.7","0.0","6.7","0.7","4.69","0.0","0.0","0.0","0.0","111.31","115.49","548.64","274.32","437.33","433.15","0.0","","","","","","",""
"2015.0","8.0","26.0","238.0","63.0","0.09","0.7","0.0","6.8","0.7","4.76","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","116.07","","","","","","",""
"2015.0","8.0","27.0","239.0","63.0","0.09","0.7","0.0","6.81","0.7","4.77","0.0","0.0","0.0","0.0","4.77","115.49","548.64","274.32","543.87","433.15","0.0","","","","","","",""
"2015.0","8.0","28.0","240.0","63.0","0.09","0.7","0.0","6.87","0.7","4.81","0.0","0.0","0.0","0.0","9.58","115.49","548.64","274.32","539.06","433.15","0.0","","","","","","",""
"2015.0","8.0","29.0","241.0","63.0","0.09","0.7","0.0","5.44","0.7","3.81","0.0","0.0","0.0","0.0","13.38","115.49","548.64","274.32","535.26","433.15","0.0","","","","","","",""
"2015.0","8.0","30.0","242.0","63.0","0.09","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","17.28","115.49","548.64","274.32","531.36","433.15","0.0","","","","","","",""
"2015.0","8.0","31.0","243.0","63.0","0.09","0.7","0.0","5.76","0.7","4.03","0.0","0.0","0.0","0.0","21.31","115.49","548.64","274.32","527.33","433.15","0.0","","","","","","",""
"2015.0","9.0","1.0","244.0","63.0","0.09","0.7","0.0","5.9","0.7","4.13","0.0","0.0","0.0","0.0","25.44","115.49","548.64","274.32","523.2","433.15","0.0","","","","","","",""
"2015.0","9.0","2.0","245.0","63.0","0.09","0.7","0.0","5.77","0.7","4.04","0.0","0.0","0.0","0.0","29.48","115.49","548.64","274.32","519.16","433.15","0.0","","","","","","",""
"2015.0","9.0","3.0","246.0","63.0","0.09","0.7","0.0","5.25","0.7","3.68","0.0","0.0","0.0","0.0","33.15","115.49","548.64","274.32","515.49","433.15","0.0","","","","","","",""
"2015.0","9.0","4.0","247.0","63.0","0.09","0.7","0.0","5.36","0.7","3.75","0.0","0.0","0.0","0.0","36.9","115.49","548.64","274.32","511.74","433.15","0.0","","","","","","",""
"2015.0","9.0","5.0","248.0","63.0","0.09","0.7","0.0","5.84","0.7","4.09","0.0","0.0","0.0","0.0","40.99","115.49","548.64","274.32","507.65","433.15","0.0","","","","","","",""
"2015.0","9.0","6.0","249.0","63.0","0.09","0.7","0.0","5.27","0.7","3.69","0.0","0.0","0.0","0.0","44.68","115.49","548.64","274.32","503.96","433.15","0.0","","","","","","",""
"2015.0","9.0","7.0","250.0","63.0","0.09","0.7","0.0","5.59","0.7","3.91","0.0","0.0","0.0","0.0","48.59","115.49","548.64","274.32","500.05","433.15","0.0","","","","","","",""
"2015.0","9.0","8.0","251.0","63.0","0.09","0.7","0.0","5.46","0.7","3.82","0.0","0.0","0.0","0.0","52.42","115.49","548.64","274.32","496.22","433.15","0.0","","","","","","",""
"2015.0","9.0","9.0","252.0","63.0","0.09","0.7","0.0","6.23","0.7","4.36","0.0","0.0","0.0","0.0","56.78","115.49","548.64","274.32","491.86","433.15","0.0","","","","","","",""
"2015.0","9.0","10.0","253.0","63.0","0.09","0.7","0.0","6.64","0.7","4.65","0.0","0.0","0.0","0.0","61.43","115.49","548.64","274.32","487.22","433.15","0.0","","","","","","",""
"2015.0","9.0","11.0","254.0","63.0","0.09","0.7","0.0","6.34","0.7","4.44","0.0","0.0","0.0","0.0","65.86","115.49","548.64","274.32","482.78","433.15","0.0","","","","","","",""
"2015.0","9.0","12.0","255.0","63.0","0.09","0.7","0.0","4.82","0.7","3.37","0.0","0.0","0.0","0.0","69.24","115.49","548.64","274.32","479.4","433.15","0.0","","","","","","",""
"2015.0","9.0","13.0","256.0","63.0","0.09","0.7","0.0","5.41","0.7","3.79","0.0","0.0","0.0","0.0","73.02","115.49","548.64","274.32","475.62","433.15","0.0","","","","","","",""
"2015.0","9.0","14.0","257.0","63.0","0.09","0.7","0.0","4.19","0.7","2.93","0.0","0.0","0.0","0.0","75.96","115.49","548.64","274.32","472.68","433.15","0.0","","","","","","",""
"2015.0","9.0","15.0","258.0","63.0","0.09","0.7","0.0","4.58","0.7","3.21","0.0","0.0","0.0","0.0","79.16","115.49","548.64","274.32","469.48","433.15","0.0","","","","","","",""
"2015.0","9.0","16.0","259.0","63.0","0.09","0.7","0.0","3.32","0.7","2.32","0.0","0.0","0.0","0.0","81.49","115.49","548.64","274.32","467.15","433.15","0.0","","","","","","",""
"2015.0","9.0","17.0","260.0","63.0","0.09","0.7","0.0","3.93","0.7","2.75","0.23","0.23","0.0","0.0","84.01","115.49","548.64","274.32","464.63","433.15","0.0","","","","","","",""
"2015.0","9.0","18.0","261.0","63.0","0.08","0.7","0.0","4.53","0.7","3.17","0.0","0.0","0.0","0.0","87.18","115.49","548.64","274.32","461.46","433.15","0.0","","","","","","",""
"2015.0","9.0","19.0","262.0","63.0","0.08","0.7","0.0","4.78","0.7","3.35","0.0","0.0","0.0","0.0","90.53","115.49","548.64","274.32","458.12","433.15","0.0","","","","","","",""
"2015.0","9.0","20.0","263.0","63.0","0.08","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","93.88","115.49","548.64","274.32","454.76","433.15","0.0","","","","","","",""
"2015.0","9.0","21.0","264.0","63.0","0.08","0.7","0.0","5.6","0.7","3.92","0.0","0.0","0.0","0.0","97.8","115.49","548.64","274.32","450.84","433.15","0.0","","","","","","",""
"2015.0","9.0","22.0","265.0","63.0","0.08","0.7","0.0","5.83","0.7","4.08","0.0","0.0","0.0","0.0","101.88","115.49","548.64","274.32","446.76","433.15","0.0","","","","","","",""
"2015.0","9.0","23.0","266.0","63.0","0.08","0.7","0.0","4.62","0.7","3.23","0.0","0.0","0.0","0.0","105.11","115.49","548.64","274.32","443.53","433.15","0.0","","","","","","",""
"2015.0","9.0","24.0","267.0","63.0","0.08","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","108.35","115.49","548.64","274.32","440.29","433.15","0.0","","","","","","",""
"2015.0","9.0","25.0","268.0","63.0","0.08","0.7","0.0","5.62","0.7","3.93","0.0","0.0","0.0","0.0","112.29","115.49","548.64","274.32","436.35","433.15","0.0","","","","","","",""
"2015.0","9.0","26.0","269.0","63.0","0.08","0.7","0.0","5.39","0.7","3.77","0.0","0.0","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","116.06","","","","","","",""
"2015.0","9.0","27.0","270.0","63.0","0.08","0.7","0.0","4.08","0.7","2.86","0.0","0.0","0.0","0.0","2.86","115.49","548.64","274.32","545.78","433.15","0.0","","","","","","",""
"2015.0","9.0","28.0","271.0","63.0","0.08","0.7","0.0","4.73","0.7","3.31","0.0","0.0","0.0","0.0","6.17","115.49","548.64","274.32","542.47","433.15","0.0","","","","","","",""
"2015.0","9.0","29.0","272.0","63.0","0.08","0.7","0.0","4.31","0.7","3.02","0.0","0.0","0.0","0.0","9.18","115.49","548.64","274.32","539.46","433.15","0.0","","","","","","",""
"2015.0","9.0","30.0","273.0","63.0","0.08","0.7","0.0","2.04","0.7","1.43","0.0","0.0","0.0","0.0","10.61","115.49","548.64","274.32","538.03","433.15","0.0","","","","","","",""
