" Daily soil water balance output for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","6.0","24.0","175.0","12638.0","0.14","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","115.33","132.85","600.92","300.46","485.59","468.06","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","12638.0","0.14","0.8","0.0","7.98","0.8","6.38","0.0","0.0","0.0","0.0","121.71","132.85","600.92","300.46","479.2","468.06","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","12638.0","0.14","0.8","0.0","8.25","0.8","6.6","0.0","0.0","0.0","0.0","128.31","132.85","600.92","300.46","472.6","468.06","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","12638.0","0.13","0.8","0.0","6.76","0.8","5.41","0.0","0.0","0.0","0.0","0.0","132.85","600.92","300.46","600.92","468.06","133.72","","","","","","","","",""
"2015.0","6.0","28.0","179.0","12638.0","0.13","0.8","0.0","7.21","0.8","5.77","0.0","0.0","0.0","0.0","5.77","132.85","600.92","300.46","595.15","468.06","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","12638.0","0.13","0.8","0.0","7.58","0.8","6.06","0.0","0.0","0.0","0.0","11.83","132.85","600.92","300.46","589.09","468.06","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","12638.0","0.13","0.8","0.0","7.7","0.8","6.16","0.0","0.0","0.0","0.0","17.99","132.85","600.92","300.46","582.93","468.06","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","12638.0","0.13","0.8","0.0","7.4","0.8","5.92","0.0","0.0","0.0","0.0","23.91","132.85","600.92","300.46","577.01","468.06","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","12638.0","0.13","0.8","0.0","7.05","0.8","5.64","0.0","0.0","0.0","0.0","29.55","132.85","600.92","300.46","571.37","468.06","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","12638.0","0.13","0.8","0.0","7.61","0.8","6.09","0.0","0.0","0.0","0.0","35.64","132.85","600.92","300.46","565.28","468.06","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","12638.0","0.13","0.8","0.0","7.92","0.8","6.34","0.0","0.0","0.0","0.0","41.98","132.85","600.92","300.46","558.94","468.06","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","12638.0","0.12","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","47.73","132.85","600.92","300.46","553.19","468.06","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","12638.0","0.12","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","53.66","132.85","600.92","300.46","547.26","468.06","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","12638.0","0.12","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","59.13","132.85","600.92","300.46","541.79","468.06","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","12638.0","0.12","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","64.25","132.85","600.92","300.46","536.67","468.06","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","12638.0","0.12","0.8","0.0","5.04","0.8","4.03","0.0","0.0","0.0","0.0","68.28","132.85","600.92","300.46","532.64","468.06","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","12638.0","0.12","0.8","0.0","5.3","0.8","4.24","0.0","0.0","0.0","0.0","72.52","132.85","600.92","300.46","528.4","468.06","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","12638.0","0.12","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","77.62","132.85","600.92","300.46","523.3","468.06","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","12638.0","0.12","0.8","0.0","6.44","0.8","5.15","0.0","0.0","0.0","0.0","82.77","132.85","600.92","300.46","518.15","468.06","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","12638.0","0.12","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","88.21","132.85","600.92","300.46","512.71","468.06","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","12638.0","0.12","0.8","0.0","6.39","0.8","5.11","0.0","0.0","0.0","0.0","93.32","132.85","600.92","300.46","507.6","468.06","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","12638.0","0.12","0.8","0.0","6.57","0.8","5.26","0.0","0.0","0.0","0.0","98.58","132.85","600.92","300.46","502.34","468.06","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","12638.0","0.11","0.8","0.0","7.1","0.8","5.68","0.0","0.0","0.0","0.0","104.26","132.85","600.92","300.46","496.66","468.06","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","12638.0","0.11","0.8","0.0","7.27","0.8","5.82","0.0","0.0","0.0","0.0","110.07","132.85","600.92","300.46","490.85","468.06","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","12638.0","0.11","0.8","0.0","7.05","0.8","5.64","0.0","0.0","0.0","0.0","115.71","132.85","600.92","300.46","485.21","468.06","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","12638.0","0.11","0.8","0.0","6.59","0.8","5.27","0.0","0.0","0.0","0.0","120.98","132.85","600.92","300.46","479.93","468.06","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","12638.0","0.11","0.8","0.0","7.34","0.8","5.87","0.0","0.0","0.0","0.0","126.86","132.85","600.92","300.46","474.06","468.06","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","12638.0","0.11","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","132.66","132.85","600.92","300.46","468.26","468.06","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","12638.0","0.11","0.8","0.0","6.76","0.8","5.41","0.0","0.0","0.0","0.0","0.0","132.85","600.92","300.46","600.92","468.06","138.06","","","","","","","","",""
"2015.0","7.0","23.0","204.0","12638.0","0.11","0.8","0.0","6.27","0.8","5.02","0.0","0.0","0.0","0.0","5.02","132.85","600.92","300.46","595.9","468.06","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","12638.0","0.11","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","10.23","132.85","600.92","300.46","590.69","468.06","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","12638.0","0.11","0.8","0.0","6.61","0.8","5.29","0.0","0.0","0.0","0.0","15.52","132.85","600.92","300.46","585.4","468.06","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","12638.0","0.11","0.8","0.0","6.44","0.8","5.15","0.0","0.0","0.0","0.0","20.67","132.85","600.92","300.46","580.25","468.06","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","12638.0","0.11","0.8","0.0","7.4","0.8","5.92","0.0","0.0","0.0","0.0","26.59","132.85","600.92","300.46","574.33","468.06","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","12638.0","0.11","0.8","0.0","7.6","0.8","6.08","0.0","0.0","0.0","0.0","32.67","132.85","600.92","300.46","568.25","468.06","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","12638.0","0.11","0.8","0.0","7.4","0.8","5.92","0.0","0.0","0.0","0.0","38.59","132.85","600.92","300.46","562.33","468.06","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","12638.0","0.1","0.8","0.0","7.62","0.8","6.1","0.0","0.0","0.0","0.0","44.69","132.85","600.92","300.46","556.23","468.06","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","12638.0","0.1","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","50.13","132.85","600.92","300.46","550.79","468.06","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","12638.0","0.1","0.8","0.0","7.01","0.8","5.61","0.0","0.0","0.0","0.0","55.74","132.85","600.92","300.46","545.18","468.06","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","12638.0","0.1","0.8","0.0","6.94","0.8","5.55","0.0","0.0","0.0","0.0","61.29","132.85","600.92","300.46","539.63","468.06","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","12638.0","0.1","0.8","0.0","6.82","0.8","5.46","0.0","0.0","0.0","0.0","66.74","132.85","600.92","300.46","534.17","468.06","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","12638.0","0.1","0.8","0.0","5.18","0.8","4.14","0.0","0.0","0.0","0.0","70.89","132.85","600.92","300.46","530.03","468.06","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","12638.0","0.1","0.8","0.0","5.74","0.8","4.59","0.0","0.0","0.0","0.0","75.48","132.85","600.92","300.46","525.44","468.06","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","12638.0","0.1","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","78.55","132.85","600.92","300.46","522.37","468.06","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","12638.0","0.1","0.8","0.0","6.68","0.8","5.34","0.28","0.28","0.0","0.0","83.62","132.85","600.92","300.46","517.3","468.06","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","12638.0","0.1","0.8","0.0","6.05","0.8","4.84","0.0","0.0","0.0","0.0","88.46","132.85","600.92","300.46","512.46","468.06","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","12638.0","0.1","0.8","0.0","6.56","0.8","5.25","0.0","0.0","0.0","0.0","93.7","132.85","600.92","300.46","507.21","468.06","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","12638.0","0.1","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","98.97","132.85","600.92","300.46","501.95","468.06","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","12638.0","0.1","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","104.18","132.85","600.92","300.46","496.74","468.06","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","12638.0","0.1","0.79","0.0","6.4","0.79","5.06","0.0","0.0","0.0","0.0","109.24","132.85","600.92","300.46","491.68","468.06","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","12638.0","0.1","0.78","0.0","6.59","0.78","5.15","0.0","0.0","0.0","0.0","114.39","132.85","600.92","300.46","486.53","468.06","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","12638.0","0.1","0.77","0.0","6.41","0.77","4.95","0.0","0.0","0.0","0.0","119.35","132.85","600.92","300.46","481.57","468.06","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","12638.0","0.1","0.76","0.0","6.64","0.76","5.07","0.0","0.0","0.0","0.0","124.42","150.23","600.92","300.46","476.5","450.69","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","12638.0","0.1","0.76","0.0","6.79","0.76","5.13","0.0","0.0","0.0","0.0","129.55","150.23","600.92","300.46","471.37","450.69","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","12638.0","0.1","0.75","0.0","7.17","0.75","5.35","0.0","0.0","0.0","0.0","134.89","150.23","600.92","300.46","466.02","450.69","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","12638.0","0.1","0.74","0.0","6.9","0.74","5.09","0.0","0.0","0.0","0.0","139.98","150.23","600.92","300.46","460.94","450.69","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","12638.0","0.09","0.73","0.0","6.3","0.73","4.59","0.0","0.0","0.0","0.0","144.57","150.23","600.92","300.46","456.35","450.69","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","12638.0","0.09","0.72","0.0","5.73","0.72","4.12","0.0","0.0","0.0","0.0","148.69","150.23","600.92","300.46","452.23","450.69","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","12638.0","0.09","0.71","0.0","5.74","0.71","4.08","0.0","0.0","0.0","0.0","0.0","150.23","600.92","300.46","600.92","450.69","152.76","","","","","","","","",""
"2015.0","8.0","22.0","234.0","12638.0","0.09","0.7","0.0","5.73","0.7","4.02","0.0","0.0","0.0","0.0","4.02","150.23","600.92","300.46","596.9","450.69","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","12638.0","0.09","0.69","0.0","5.93","0.69","4.1","0.0","0.0","0.0","0.0","8.12","150.23","600.92","300.46","592.8","450.69","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","12638.0","0.09","0.68","0.0","6.34","0.68","4.33","0.0","0.0","0.0","0.0","12.45","150.23","600.92","300.46","588.47","450.69","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","12638.0","0.09","0.67","0.0","6.64","0.67","4.48","0.0","0.0","0.0","0.0","16.93","150.23","600.92","300.46","583.99","450.69","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","12638.0","0.09","0.67","0.0","6.81","0.67","4.53","0.0","0.0","0.0","0.0","21.45","150.23","600.92","300.46","579.46","450.69","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","12638.0","0.09","0.66","0.0","7.07","0.66","4.64","0.02","0.02","0.0","0.0","26.07","150.23","600.92","300.46","574.85","450.69","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","12638.0","0.09","0.65","0.0","6.97","0.65","4.51","0.0","0.0","0.0","0.0","30.58","150.23","600.92","300.46","570.34","450.69","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","12638.0","0.09","0.64","0.0","5.56","0.64","3.55","0.0","0.0","0.0","0.0","34.13","150.23","600.92","300.46","566.79","450.69","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","12638.0","0.09","0.63","0.0","5.74","0.63","3.61","0.0","0.0","0.0","0.0","37.74","150.23","600.92","300.46","563.18","450.69","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","12638.0","0.09","0.62","0.0","5.7","0.62","3.53","0.0","0.0","0.0","0.0","41.27","150.23","600.92","300.46","559.64","450.69","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","12638.0","0.09","0.61","0.0","5.68","0.61","3.47","0.0","0.0","0.0","0.0","44.74","150.23","600.92","300.46","556.17","450.69","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","12638.0","0.09","0.6","0.0","5.54","0.6","3.34","0.0","0.0","0.0","0.0","48.08","150.23","600.92","300.46","552.84","450.69","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","12638.0","0.09","0.59","0.0","5.27","0.59","3.13","0.0","0.0","0.0","0.0","51.2","150.23","600.92","300.46","549.71","450.69","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","12638.0","0.09","0.58","0.0","5.29","0.58","3.09","0.0","0.0","0.0","0.0","54.29","150.23","600.92","300.46","546.62","450.69","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","12638.0","0.09","0.58","0.0","5.58","0.58","3.21","0.0","0.0","0.0","0.0","57.5","150.23","600.92","300.46","543.42","450.69","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","12638.0","0.09","0.57","0.0","5.17","0.57","2.93","0.0","0.0","0.0","0.0","60.43","150.23","600.92","300.46","540.49","450.69","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","12638.0","0.09","0.56","0.0","5.45","0.56","3.04","0.0","0.0","0.0","0.0","63.46","150.23","600.92","300.46","537.45","450.69","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","12638.0","0.09","0.55","0.0","5.6","0.55","3.07","0.0","0.0","0.0","0.0","66.53","150.23","600.92","300.46","534.39","450.69","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","12638.0","0.09","0.54","0.0","6.36","0.54","3.43","0.0","0.0","0.0","0.0","69.96","150.23","600.92","300.46","530.96","450.69","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","12638.0","0.09","0.53","0.0","6.71","0.53","3.56","0.0","0.0","0.0","0.0","73.52","150.23","600.92","300.46","527.4","450.69","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","12638.0","0.09","0.52","0.0","6.2","0.52","3.23","0.0","0.0","0.0","0.0","76.75","150.23","600.92","300.46","524.17","450.69","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","12638.0","0.09","0.51","0.0","4.33","0.51","2.22","0.0","0.0","0.0","0.0","78.96","150.23","600.92","300.46","521.95","450.69","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","12638.0","0.09","0.5","0.0","5.05","0.5","2.54","0.0","0.0","0.0","0.0","81.5","150.23","600.92","300.46","519.41","450.69","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","12638.0","0.09","0.49","0.0","3.92","0.49","1.94","0.0","0.0","0.0","0.0","83.44","150.23","600.92","300.46","517.48","450.69","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","12638.0","0.09","0.49","0.0","4.74","0.49","2.3","0.0","0.0","0.0","0.0","85.74","150.23","600.92","300.46","515.18","450.69","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","12638.0","0.09","0.48","0.0","3.96","0.48","1.88","0.0","0.0","0.0","0.0","87.62","150.23","600.92","300.46","513.29","450.69","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","12638.0","0.09","0.47","0.0","4.02","0.47","1.88","0.0","0.0","0.0","0.0","89.5","150.23","600.92","300.46","511.42","450.69","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","12638.0","0.09","0.46","0.0","4.69","0.46","2.15","0.0","0.0","0.0","0.0","91.65","150.23","600.92","300.46","509.27","450.69","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","12638.0","0.09","0.45","0.0","4.72","0.45","2.12","0.0","0.0","0.0","0.0","93.77","150.23","600.92","300.46","507.15","450.69","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","12638.0","0.09","0.44","0.0","4.88","0.44","2.15","0.0","0.0","0.0","0.0","95.92","150.23","600.92","300.46","505.0","450.69","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","12638.0","0.09","0.43","0.0","5.65","0.43","2.44","0.0","0.0","0.0","0.0","98.35","150.23","600.92","300.46","502.57","450.69","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","12638.0","0.08","0.42","0.0","5.56","0.42","2.35","0.0","0.0","0.0","0.0","100.7","150.23","600.92","300.46","500.22","450.69","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","12638.0","0.08","0.41","0.0","4.77","0.41","1.97","0.0","0.0","0.0","0.0","102.67","150.23","600.92","300.46","498.25","450.69","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","12638.0","0.08","0.4","0.0","4.64","0.4","1.87","0.0","0.0","0.0","0.0","104.54","150.23","600.92","300.46","496.38","450.69","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","12638.0","0.08","0.4","0.0","5.61","0.4","2.22","0.0","0.0","0.0","0.0","106.76","150.23","600.92","300.46","494.16","450.69","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","12638.0","0.08","0.39","0.0","5.61","0.39","2.17","0.0","0.0","0.0","0.0","108.92","150.23","600.92","300.46","491.99","450.69","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","12638.0","0.08","0.38","0.0","3.95","0.38","1.49","0.0","0.0","0.0","0.0","110.41","150.23","600.92","300.46","490.5","450.69","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","12638.0","0.08","0.37","0.0","4.29","0.37","1.58","0.0","0.0","0.0","0.0","111.99","150.23","600.92","300.46","488.93","450.69","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","12638.0","0.08","0.36","0.0","3.68","0.36","1.32","0.0","0.0","0.0","0.0","113.31","150.23","600.92","300.46","487.6","450.69","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","12638.0","0.08","0.35","0.0","2.2","0.35","0.77","0.0","0.0","0.0","0.0","114.08","150.23","600.92","300.46","486.83","450.69","0.0","","","","","","","","",""
