" Daily soil water balance output for Vineyard in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Vineyard at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","7.0","0.16","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","70.79","106.89","498.58","249.29","427.79","391.69","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","7.0","0.16","0.8","0.0","6.65","0.8","5.32","0.0","0.0","0.0","0.0","76.11","106.89","498.58","249.29","422.47","391.69","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","7.0","0.16","0.8","0.0","7.15","0.8","5.72","0.0","0.0","0.0","0.0","81.83","106.89","498.58","249.29","416.75","391.69","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","7.0","0.15","0.8","0.0","7.38","0.8","5.9","0.0","0.0","0.0","0.0","87.74","106.89","498.58","249.29","410.84","391.69","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","7.0","0.15","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","93.49","106.89","498.58","249.29","405.09","391.69","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","7.0","0.15","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","98.61","106.89","498.58","249.29","399.97","391.69","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","7.0","0.15","0.8","0.0","7.14","0.8","5.71","0.0","0.0","0.0","0.0","104.32","106.89","498.58","249.29","394.26","391.69","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","7.0","0.15","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","0.0","106.89","498.58","249.29","498.58","391.69","110.15","","","","","","","","",""
"2015.0","7.0","5.0","186.0","7.0","0.15","0.8","0.0","6.65","0.8","5.32","0.0","0.0","0.0","0.0","5.32","106.89","498.58","249.29","493.26","391.69","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","7.0","0.14","0.8","0.0","6.93","0.8","5.54","0.0","0.0","0.0","0.0","10.86","106.89","498.58","249.29","487.72","391.69","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","7.0","0.14","0.8","0.0","6.28","0.8","5.02","0.0","0.0","0.0","0.0","15.89","106.89","498.58","249.29","482.69","391.69","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","7.0","0.14","0.8","0.0","6.05","0.8","4.84","0.0","0.0","0.0","0.0","20.73","106.89","498.58","249.29","477.85","391.69","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","7.0","0.14","0.8","0.0","5.08","0.8","4.06","0.0","0.0","0.0","0.0","24.79","106.89","498.58","249.29","473.79","391.69","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","7.0","0.14","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","28.85","106.89","498.58","249.29","469.73","391.69","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","7.0","0.14","0.8","0.0","6.06","0.8","4.85","0.0","0.0","0.0","0.0","33.7","106.89","498.58","249.29","464.88","391.69","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","7.0","0.14","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","38.59","106.89","498.58","249.29","459.99","391.69","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","7.0","0.14","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","43.76","106.89","498.58","249.29","454.82","391.69","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","7.0","0.13","0.8","0.0","5.97","0.8","4.78","0.0","0.0","0.0","0.0","48.54","106.89","498.58","249.29","450.04","391.69","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","7.0","0.13","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","53.49","106.89","498.58","249.29","445.09","391.69","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","7.0","0.13","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","58.82","106.89","498.58","249.29","439.76","391.69","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","7.0","0.13","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","64.24","106.89","498.58","249.29","434.34","391.69","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","7.0","0.13","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","69.52","106.89","498.58","249.29","429.06","391.69","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","7.0","0.13","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","74.64","106.89","498.58","249.29","423.94","391.69","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","7.0","0.13","0.8","0.0","7.08","0.8","5.66","0.0","0.0","0.0","0.0","80.3","106.89","498.58","249.29","418.28","391.69","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","7.0","0.13","0.8","0.0","6.76","0.8","5.41","0.0","0.0","0.0","0.0","85.71","106.89","498.58","249.29","412.87","391.69","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","7.0","0.13","0.8","0.0","6.35","0.8","5.08","0.0","0.0","0.0","0.0","90.79","106.89","498.58","249.29","407.79","391.69","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","7.0","0.12","0.8","0.0","5.95","0.8","4.76","0.0","0.0","0.0","0.0","95.55","106.89","498.58","249.29","403.03","391.69","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","7.0","0.12","0.8","0.0","6.3","0.8","5.04","0.0","0.0","0.0","0.0","100.59","106.89","498.58","249.29","397.99","391.69","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","7.0","0.12","0.8","0.0","6.23","0.8","4.98","0.0","0.0","0.0","0.0","105.58","106.89","498.58","249.29","393.0","391.69","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","7.0","0.12","0.8","0.0","6.11","0.8","4.89","0.0","0.0","0.0","0.0","0.0","106.89","498.58","249.29","498.58","391.69","110.46","","","","","","","","",""
"2015.0","7.0","27.0","208.0","7.0","0.12","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","5.62","106.89","498.58","249.29","492.96","391.69","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","7.0","0.12","0.8","0.0","7.2","0.8","5.76","0.0","0.0","0.0","0.0","11.38","106.89","498.58","249.29","487.2","391.69","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","7.0","0.12","0.8","0.0","7.04","0.8","5.63","0.0","0.0","0.0","0.0","17.02","106.89","498.58","249.29","481.56","391.69","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","7.0","0.12","0.8","0.0","7.09","0.8","5.67","0.0","0.0","0.0","0.0","22.69","106.89","498.58","249.29","475.89","391.69","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","7.0","0.12","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","27.81","106.89","498.58","249.29","470.77","391.69","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","7.0","0.12","0.8","0.0","6.64","0.8","5.31","0.0","0.0","0.0","0.0","33.12","106.89","498.58","249.29","465.46","391.69","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","7.0","0.12","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","38.29","106.89","498.58","249.29","460.29","391.69","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","7.0","0.12","0.8","0.0","6.4","0.8","5.12","0.0","0.0","0.0","0.0","43.41","106.89","498.58","249.29","455.17","391.69","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","7.0","0.11","0.8","0.0","5.0","0.8","4.0","0.0","0.0","0.0","0.0","47.41","106.89","498.58","249.29","451.17","391.69","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","7.0","0.11","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","51.81","106.89","498.58","249.29","446.77","391.69","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","7.0","0.11","0.8","0.0","3.54","0.8","2.83","0.0","0.0","0.0","0.0","54.64","106.89","498.58","249.29","443.94","391.69","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","7.0","0.11","0.8","0.0","6.33","0.8","5.06","0.66","0.66","0.0","0.0","59.04","106.89","498.58","249.29","439.54","391.69","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","7.0","0.11","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","63.55","106.89","498.58","249.29","435.03","391.69","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","7.0","0.11","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","68.5","106.89","498.58","249.29","430.08","391.69","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","7.0","0.11","0.8","0.0","6.17","0.8","4.94","0.0","0.0","0.0","0.0","73.44","106.89","498.58","249.29","425.14","391.69","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","7.0","0.11","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","78.35","106.89","498.58","249.29","420.23","391.69","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","7.0","0.11","0.8","0.0","6.08","0.8","4.86","0.0","0.0","0.0","0.0","83.21","106.89","498.58","249.29","415.37","391.69","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","7.0","0.11","0.8","0.0","6.2","0.8","4.96","0.0","0.0","0.0","0.0","88.17","106.89","498.58","249.29","410.41","391.69","0.0","","","","","","","","",""
"2015.0","8.0","14.0","226.0","7.0","0.11","0.8","0.0","6.13","0.8","4.9","0.0","0.0","0.0","0.0","93.08","106.89","498.58","249.29","405.5","391.69","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","7.0","0.11","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","98.28","106.89","498.58","249.29","400.3","391.69","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","7.0","0.11","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","103.55","106.89","498.58","249.29","395.03","391.69","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","7.0","0.11","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","0.0","106.89","498.58","249.29","498.58","391.69","108.96","","","","","","","","",""
"2015.0","8.0","18.0","230.0","7.0","0.11","0.8","0.0","6.38","0.8","5.1","0.0","0.0","0.0","0.0","5.1","106.89","498.58","249.29","493.48","391.69","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","7.0","0.11","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","9.77","106.89","498.58","249.29","488.81","391.69","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","7.0","0.11","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","14.03","106.89","498.58","249.29","484.55","391.69","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","7.0","0.1","0.8","0.0","5.39","0.8","4.31","0.0","0.0","0.0","0.0","18.34","106.89","498.58","249.29","480.24","391.69","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","7.0","0.1","0.8","0.0","5.42","0.8","4.34","0.0","0.0","0.0","0.0","22.68","106.89","498.58","249.29","475.9","391.69","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","7.0","0.1","0.8","0.0","5.61","0.8","4.49","0.0","0.0","0.0","0.0","27.17","106.89","498.58","249.29","471.41","391.69","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","7.0","0.1","0.8","0.0","5.92","0.8","4.74","0.0","0.0","0.0","0.0","31.9","106.89","498.58","249.29","466.68","391.69","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","7.0","0.1","0.8","0.0","6.2","0.8","4.96","0.0","0.0","0.0","0.0","36.86","106.89","498.58","249.29","461.72","391.69","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","7.0","0.1","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","41.96","106.89","498.58","249.29","456.62","391.69","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","7.0","0.1","0.8","0.0","6.84","0.8","5.47","0.62","0.62","0.0","0.0","46.81","106.89","498.58","249.29","451.77","391.69","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","7.0","0.1","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","52.14","106.89","498.58","249.29","446.44","391.69","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","7.0","0.1","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","56.4","106.89","498.58","249.29","442.18","391.69","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","7.0","0.1","0.8","0.0","5.53","0.8","4.42","0.0","0.0","0.0","0.0","60.83","106.89","498.58","249.29","437.75","391.69","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","7.0","0.1","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","65.23","106.89","498.58","249.29","433.35","391.69","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","7.0","0.1","0.8","0.0","5.34","0.8","4.27","0.0","0.0","0.0","0.0","69.5","106.89","498.58","249.29","429.08","391.69","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","7.0","0.1","0.8","0.0","5.19","0.8","4.15","0.0","0.0","0.0","0.0","73.65","106.89","498.58","249.29","424.93","391.69","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","7.0","0.1","0.8","0.0","5.05","0.8","4.04","0.0","0.0","0.0","0.0","77.69","106.89","498.58","249.29","420.89","391.69","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","7.0","0.1","0.8","0.0","5.08","0.8","4.06","0.0","0.0","0.0","0.0","81.76","106.89","498.58","249.29","416.82","391.69","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","7.0","0.1","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","86.0","106.89","498.58","249.29","412.58","391.69","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","7.0","0.1","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","90.1","106.89","498.58","249.29","408.48","391.69","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","7.0","0.1","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","94.4","106.89","498.58","249.29","404.18","391.69","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","7.0","0.1","0.8","0.0","5.58","0.8","4.46","0.0","0.0","0.0","0.0","98.86","106.89","498.58","249.29","399.72","391.69","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","7.0","0.1","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","103.78","106.89","498.58","249.29","394.8","391.69","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","7.0","0.1","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","108.95","124.64","498.58","249.29","389.63","373.93","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","7.0","0.1","0.8","0.0","5.89","0.8","4.71","0.0","0.0","0.0","0.0","113.66","124.64","498.58","249.29","384.92","373.93","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","7.0","0.1","0.79","0.0","4.12","0.79","3.26","0.0","0.0","0.0","0.0","116.92","124.64","498.58","249.29","381.66","373.93","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","7.0","0.1","0.78","0.0","4.88","0.78","3.82","0.0","0.0","0.0","0.0","120.74","124.64","498.58","249.29","377.84","373.93","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","7.0","0.09","0.77","0.0","3.58","0.77","2.77","0.0","0.0","0.0","0.0","123.5","124.64","498.58","249.29","375.08","373.93","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","7.0","0.09","0.76","0.0","4.61","0.76","3.52","0.0","0.0","0.0","0.0","0.0","124.64","498.58","249.29","498.58","373.93","127.02","","","","","","","","",""
"2015.0","9.0","16.0","259.0","7.0","0.09","0.76","0.0","3.88","0.76","2.93","0.0","0.0","0.0","0.0","2.93","124.64","498.58","249.29","495.65","373.93","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","7.0","0.09","0.75","0.0","3.91","0.75","2.92","0.0","0.0","0.0","0.0","5.85","124.64","498.58","249.29","492.73","373.93","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","7.0","0.09","0.74","0.0","4.6","0.74","3.39","0.0","0.0","0.0","0.0","9.24","124.64","498.58","249.29","489.34","373.93","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","7.0","0.09","0.73","0.0","4.65","0.73","3.39","0.0","0.0","0.0","0.0","12.62","124.64","498.58","249.29","485.96","373.93","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","7.0","0.09","0.72","0.0","4.88","0.72","3.51","0.0","0.0","0.0","0.0","16.13","124.64","498.58","249.29","482.45","373.93","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","7.0","0.09","0.71","0.0","5.55","0.71","3.94","0.0","0.0","0.0","0.0","20.07","124.64","498.58","249.29","478.51","373.93","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","7.0","0.09","0.7","0.0","5.04","0.7","3.53","0.0","0.0","0.0","0.0","23.6","124.64","498.58","249.29","474.98","373.93","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","7.0","0.09","0.69","0.0","4.6","0.69","3.18","0.0","0.0","0.0","0.0","26.79","124.64","498.58","249.29","471.79","373.93","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","7.0","0.09","0.68","0.0","4.53","0.68","3.09","0.0","0.0","0.0","0.0","29.88","124.64","498.58","249.29","468.7","373.93","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","7.0","0.09","0.67","0.0","5.35","0.67","3.61","0.0","0.0","0.0","0.0","33.49","124.64","498.58","249.29","465.09","373.93","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","7.0","0.09","0.67","0.0","5.28","0.67","3.51","0.0","0.0","0.0","0.0","37.0","124.64","498.58","249.29","461.58","373.93","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","7.0","0.09","0.66","0.0","3.87","0.66","2.54","0.0","0.0","0.0","0.0","39.54","124.64","498.58","249.29","459.04","373.93","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","7.0","0.09","0.65","0.0","3.92","0.65","2.54","0.0","0.0","0.0","0.0","42.07","124.64","498.58","249.29","456.51","373.93","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","7.0","0.09","0.64","0.0","3.46","0.64","2.21","0.0","0.0","0.0","0.0","44.28","124.64","498.58","249.29","454.3","373.93","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","7.0","0.09","0.63","0.0","2.16","0.63","1.36","0.0","0.0","0.0","0.0","45.64","124.64","498.58","249.29","452.94","373.93","0.0","","","","","","","","",""
