" Daily soil water balance output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","27.0","178.0","44.0","0.13","0.89","0.0","6.73","0.89","5.98","0.0","0.0","0.0","0.0","32.86","64.51","273.1","136.55","240.24","208.6","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","44.0","0.13","0.89","0.0","7.15","0.89","6.39","0.0","0.0","0.0","0.0","39.25","64.51","273.1","136.55","233.85","208.6","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","44.0","0.13","0.9","0.0","7.45","0.9","6.71","0.0","0.0","0.0","0.0","45.96","64.51","273.1","136.55","227.15","208.6","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","44.0","0.13","0.91","0.0","7.57","0.91","6.86","0.0","0.0","0.0","0.0","52.81","64.51","273.1","136.55","220.29","208.6","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","44.0","0.13","0.91","0.0","7.43","0.91","6.77","0.0","0.0","0.0","0.0","59.59","64.51","273.1","136.55","213.51","208.6","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","44.0","0.13","0.92","0.0","6.96","0.92","6.39","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","65.97","","","","","","","","",""
"2015.0","7.0","3.0","184.0","44.0","0.13","0.92","0.0","7.37","0.92","6.81","0.0","0.0","0.0","0.0","6.81","64.51","273.1","136.55","266.29","208.6","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","44.0","0.13","0.93","0.0","7.87","0.93","7.31","0.0","0.0","0.0","0.0","14.12","64.51","273.1","136.55","258.98","208.6","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","44.0","0.12","0.94","0.0","7.15","0.94","6.69","0.0","0.0","0.0","0.0","20.81","64.51","273.1","136.55","252.29","208.6","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","44.0","0.12","0.94","0.0","7.23","0.94","6.8","0.0","0.0","0.0","0.0","27.61","64.51","273.1","136.55","245.49","208.6","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","44.0","0.12","0.95","0.0","6.75","0.95","6.39","0.0","0.0","0.0","0.0","34.01","64.51","273.1","136.55","239.1","208.6","0.0","","","","","","","","",""
"2015.0","7.0","8.0","189.0","44.0","0.12","0.95","0.0","6.26","0.95","5.97","0.0","0.0","0.0","0.0","39.97","64.51","273.1","136.55","233.13","208.6","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","44.0","0.12","0.96","0.0","4.34","0.96","4.16","0.0","0.0","0.0","0.0","44.13","64.51","273.1","136.55","228.97","208.6","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","44.0","0.12","0.96","0.0","5.16","0.96","4.98","0.0","0.0","0.0","0.0","49.11","64.51","273.1","136.55","223.99","208.6","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","44.0","0.12","0.97","0.0","6.34","0.97","6.15","0.0","0.0","0.0","0.0","55.26","64.51","273.1","136.55","217.84","208.6","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","44.0","0.12","0.98","0.0","6.49","0.98","6.34","0.0","0.0","0.0","0.0","61.6","64.51","273.1","136.55","211.5","208.6","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","44.0","0.12","0.98","0.0","6.6","0.98","6.48","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","68.08","","","","","","","","",""
"2015.0","7.0","14.0","195.0","44.0","0.12","0.99","0.0","6.42","0.99","6.34","0.0","0.0","0.0","0.0","6.34","64.51","273.1","136.55","266.76","208.6","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","44.0","0.12","0.99","0.0","6.62","0.99","6.58","0.0","0.0","0.0","0.0","12.93","64.51","273.1","136.55","260.18","208.6","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","44.0","0.12","1.0","0.0","7.07","1.0","7.07","0.0","0.0","0.0","0.0","20.0","64.51","273.1","136.55","253.11","208.6","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","44.0","0.11","1.0","0.0","7.25","1.0","7.25","0.0","0.0","0.0","0.0","27.25","64.51","273.1","136.55","245.86","208.6","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","44.0","0.11","1.0","0.0","7.24","1.0","7.24","0.0","0.0","0.0","0.0","34.49","64.51","273.1","136.55","238.62","208.6","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","44.0","0.11","1.0","0.0","6.8","1.0","6.8","0.0","0.0","0.0","0.0","41.29","64.51","273.1","136.55","231.82","208.6","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","44.0","0.11","1.0","0.0","7.29","1.0","7.29","0.0","0.0","0.0","0.0","48.58","64.51","273.1","136.55","224.53","208.6","0.0","","","","","","","","",""
"2015.0","7.0","21.0","202.0","44.0","0.11","1.0","0.0","7.21","1.0","7.21","0.0","0.0","0.0","0.0","55.79","64.51","273.1","136.55","217.32","208.6","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","44.0","0.11","1.0","0.0","6.8","1.0","6.8","0.0","0.0","0.0","0.0","62.59","64.51","273.1","136.55","210.52","208.6","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","44.0","0.11","1.0","0.0","6.1","1.0","6.1","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","68.69","","","","","","","","",""
"2015.0","7.0","24.0","205.0","44.0","0.11","1.0","0.0","6.35","1.0","6.35","0.0","0.0","0.0","0.0","6.35","64.51","273.1","136.55","266.75","208.6","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","44.0","0.11","1.0","0.0","6.41","1.0","6.41","0.0","0.0","0.0","0.0","12.76","64.51","273.1","136.55","260.34","208.6","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","44.0","0.11","1.0","0.0","6.42","1.0","6.42","0.0","0.0","0.0","0.0","19.18","64.51","273.1","136.55","253.92","208.6","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","44.0","0.11","1.0","0.0","7.39","1.0","7.39","0.0","0.0","0.0","0.0","26.57","64.51","273.1","136.55","246.53","208.6","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","44.0","0.11","1.0","0.0","7.74","1.0","7.74","0.0","0.0","0.0","0.0","34.31","64.51","273.1","136.55","238.79","208.6","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","44.0","0.11","1.0","0.0","7.42","1.0","7.42","0.0","0.0","0.0","0.0","41.73","64.51","273.1","136.55","231.37","208.6","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","44.0","0.11","1.0","0.0","7.73","1.0","7.73","0.0","0.0","0.0","0.0","49.46","64.51","273.1","136.55","223.64","208.6","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","44.0","0.1","1.0","0.0","6.63","1.0","6.63","0.0","0.0","0.0","0.0","56.09","64.51","273.1","136.55","217.01","208.6","0.0","","","","","","","","",""
"2015.0","8.0","1.0","213.0","44.0","0.1","1.0","0.0","6.93","1.0","6.93","0.0","0.0","0.0","0.0","63.02","64.51","273.1","136.55","210.08","208.6","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","44.0","0.1","1.0","0.0","6.78","1.0","6.78","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","69.8","","","","","","","","",""
"2015.0","8.0","3.0","215.0","44.0","0.1","1.0","0.0","6.81","1.0","6.81","0.0","0.0","0.0","0.0","6.81","64.51","273.1","136.55","266.29","208.6","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","44.0","0.1","1.0","0.0","4.69","1.0","4.69","0.0","0.0","0.0","0.0","11.5","64.51","273.1","136.55","261.6","208.6","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","44.0","0.1","1.0","0.0","5.76","1.0","5.76","0.0","0.0","0.0","0.0","17.26","64.51","273.1","136.55","255.84","208.6","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","44.0","0.1","1.0","0.0","4.25","1.0","4.25","0.0","0.0","0.0","0.0","21.51","64.51","273.1","136.55","251.59","208.6","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","44.0","0.1","1.0","0.0","6.71","1.0","6.71","0.0","0.0","0.0","0.0","28.22","64.51","273.1","136.55","244.88","208.6","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","44.0","0.1","1.0","0.0","5.96","1.0","5.96","0.0","0.0","0.0","0.0","34.18","64.51","273.1","136.55","238.92","208.6","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","44.0","0.1","1.0","0.0","6.56","1.0","6.56","0.0","0.0","0.0","0.0","40.74","64.51","273.1","136.55","232.36","208.6","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","44.0","0.1","1.0","0.0","6.58","1.0","6.58","0.0","0.0","0.0","0.0","47.32","64.51","273.1","136.55","225.78","208.6","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","44.0","0.1","1.0","0.0","6.4","1.0","6.4","0.0","0.0","0.0","0.0","53.72","64.51","273.1","136.55","219.38","208.6","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","44.0","0.1","1.0","0.0","6.33","1.0","6.33","0.0","0.0","0.0","0.0","60.05","64.51","273.1","136.55","213.05","208.6","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","44.0","0.1","1.0","0.0","6.45","1.0","6.45","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","66.5","","","","","","","","",""
"2015.0","8.0","14.0","226.0","44.0","0.1","1.0","0.0","6.13","1.0","6.13","0.0","0.0","0.0","0.0","6.13","64.51","273.1","136.55","266.97","208.6","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","44.0","0.1","1.0","0.0","6.42","1.0","6.42","0.0","0.0","0.0","0.0","12.55","64.51","273.1","136.55","260.55","208.6","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","44.0","0.1","1.0","0.0","6.66","1.0","6.66","0.0","0.0","0.0","0.0","19.21","64.51","273.1","136.55","253.89","208.6","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","44.0","0.1","1.0","0.0","7.09","1.0","7.09","0.0","0.0","0.0","0.0","26.3","64.51","273.1","136.55","246.8","208.6","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","44.0","0.1","1.0","0.0","6.79","1.0","6.79","0.0","0.0","0.0","0.0","33.09","64.51","273.1","136.55","240.01","208.6","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","44.0","0.1","1.0","0.0","6.18","1.0","6.18","0.0","0.0","0.0","0.0","39.27","64.51","273.1","136.55","233.83","208.6","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","44.0","0.1","1.0","0.0","5.52","1.0","5.52","0.0","0.0","0.0","0.0","44.79","64.51","273.1","136.55","228.31","208.6","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","44.0","0.09","1.0","0.0","5.62","1.0","5.62","0.0","0.0","0.0","0.0","50.41","64.51","273.1","136.55","222.69","208.6","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","44.0","0.09","1.0","0.0","5.69","1.0","5.69","0.0","0.0","0.0","0.0","56.1","64.51","273.1","136.55","217.0","208.6","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","44.0","0.09","1.0","0.0","5.75","1.0","5.75","0.0","0.0","0.0","0.0","61.85","64.51","273.1","136.55","211.25","208.6","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","44.0","0.09","1.0","0.0","6.23","1.0","6.23","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","68.08","","","","","","","","",""
"2015.0","8.0","25.0","237.0","44.0","0.09","1.0","0.0","6.51","1.0","6.51","0.0","0.0","0.0","0.0","6.51","64.51","273.1","136.55","266.59","208.6","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","44.0","0.09","1.0","0.0","6.64","1.0","6.64","0.0","0.0","0.0","0.0","13.15","64.51","273.1","136.55","259.95","208.6","0.0","","","","","","","","",""
"2015.0","8.0","27.0","239.0","44.0","0.09","1.0","0.0","6.82","1.0","6.82","0.0","0.0","0.0","0.0","19.97","64.51","273.1","136.55","253.13","208.6","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","44.0","0.09","1.0","0.0","6.79","1.0","6.79","0.0","0.0","0.0","0.0","26.76","64.51","273.1","136.55","246.34","208.6","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","44.0","0.09","1.0","0.0","5.21","1.0","5.21","0.0","0.0","0.0","0.0","31.97","64.51","273.1","136.55","241.13","208.6","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","44.0","0.09","1.0","0.0","5.54","1.0","5.54","0.0","0.0","0.0","0.0","37.51","64.51","273.1","136.55","235.59","208.6","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","44.0","0.09","1.0","0.0","5.7","1.0","5.7","0.0","0.0","0.0","0.0","43.21","64.51","273.1","136.55","229.89","208.6","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","44.0","0.09","1.0","0.0","5.68","1.0","5.68","0.0","0.0","0.0","0.0","48.89","64.51","273.1","136.55","224.21","208.6","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","44.0","0.09","1.0","0.0","5.54","1.0","5.54","0.0","0.0","0.0","0.0","54.43","64.51","273.1","136.55","218.67","208.6","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","44.0","0.09","1.0","0.0","5.19","1.0","5.19","0.0","0.0","0.0","0.0","59.62","64.51","273.1","136.55","213.48","208.6","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","44.0","0.09","1.0","0.0","5.28","1.0","5.28","0.0","0.0","0.0","0.0","0.0","64.51","273.1","136.55","273.1","208.6","64.9","","","","","","","","",""
"2015.0","9.0","5.0","248.0","44.0","0.09","1.0","0.0","5.7","1.0","5.7","0.0","0.0","0.0","0.0","5.7","64.51","273.1","136.55","267.4","208.6","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","44.0","0.09","1.0","0.0","5.21","1.0","5.21","0.0","0.0","0.0","0.0","10.91","64.51","273.1","136.55","262.19","208.6","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","44.0","0.09","1.0","0.0","5.47","1.0","5.47","0.0","0.0","0.0","0.0","16.38","64.51","273.1","136.55","256.72","208.6","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","44.0","0.09","1.0","0.0","5.43","1.0","5.43","0.0","0.0","0.0","0.0","21.81","64.51","273.1","136.55","251.29","208.6","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","44.0","0.09","1.0","0.0","6.14","1.0","6.14","0.0","0.0","0.0","0.0","27.95","64.51","273.1","136.55","245.15","208.6","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","44.0","0.09","1.0","0.0","6.51","1.0","6.51","0.0","0.0","0.0","0.0","34.46","64.51","273.1","136.55","238.64","208.6","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","44.0","0.09","1.0","0.0","6.2","1.0","6.2","0.0","0.0","0.0","0.0","40.66","64.51","273.1","136.55","232.44","208.6","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","44.0","0.09","0.99","0.0","4.62","0.99","4.58","0.0","0.0","0.0","0.0","45.24","64.51","273.1","136.55","227.86","208.6","0.0","","","","","","","","",""
"2015.0","9.0","13.0","256.0","44.0","0.09","0.98","0.0","5.3","0.98","5.22","0.0","0.0","0.0","0.0","50.46","64.51","273.1","136.55","222.64","208.6","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","44.0","0.09","0.98","0.0","3.97","0.98","3.88","0.0","0.0","0.0","0.0","54.34","64.51","273.1","136.55","218.76","208.6","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","44.0","0.09","0.97","0.0","4.59","0.97","4.45","0.0","0.0","0.0","0.0","58.78","68.28","273.1","136.55","214.32","204.83","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","44.0","0.09","0.96","0.0","3.31","0.96","3.18","0.0","0.0","0.0","0.0","61.96","68.28","273.1","136.55","211.14","204.83","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","44.0","0.09","0.95","0.0","3.92","0.95","3.73","0.05","0.05","0.0","0.0","65.64","68.28","273.1","136.55","207.46","204.83","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","44.0","0.09","0.94","0.0","4.51","0.94","4.26","0.0","0.0","0.0","0.0","0.0","68.28","273.1","136.55","273.1","204.83","69.91","","","","","","","","",""
"2015.0","9.0","19.0","262.0","44.0","0.09","0.94","0.0","4.71","0.94","4.41","0.0","0.0","0.0","0.0","4.41","68.28","273.1","136.55","268.69","204.83","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","44.0","0.09","0.93","0.0","4.75","0.93","4.41","0.0","0.0","0.0","0.0","8.83","68.28","273.1","136.55","264.28","204.83","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","44.0","0.09","0.92","0.0","5.54","0.92","5.1","0.0","0.0","0.0","0.0","13.93","68.28","273.1","136.55","259.17","204.83","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","44.0","0.09","0.91","0.0","5.48","0.91","5.0","0.0","0.0","0.0","0.0","18.93","68.28","273.1","136.55","254.17","204.83","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","44.0","0.09","0.91","0.0","4.54","0.91","4.11","0.0","0.0","0.0","0.0","23.04","68.28","273.1","136.55","250.06","204.83","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","44.0","0.09","0.9","0.0","4.54","0.9","4.07","0.0","0.0","0.0","0.0","27.12","68.28","273.1","136.55","245.99","204.83","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","44.0","0.08","0.89","0.0","5.54","0.89","4.93","0.0","0.0","0.0","0.0","32.04","68.28","273.1","136.55","241.06","204.83","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","44.0","0.08","0.88","0.0","5.3","0.88","4.67","0.0","0.0","0.0","0.0","36.72","68.28","273.1","136.55","236.39","204.83","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","44.0","0.08","0.87","0.0","3.95","0.87","3.45","0.0","0.0","0.0","0.0","40.17","68.28","273.1","136.55","232.93","204.83","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","44.0","0.08","0.87","0.0","4.53","0.87","3.92","0.0","0.0","0.0","0.0","44.09","68.28","273.1","136.55","229.01","204.83","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","44.0","0.08","0.86","0.0","4.09","0.86","3.51","0.0","0.0","0.0","0.0","47.6","68.28","273.1","136.55","225.5","204.83","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","44.0","0.08","0.85","0.0","1.96","0.85","1.67","0.0","0.0","0.0","0.0","49.26","68.28","273.1","136.55","223.84","204.83","0.0","","","","","","","","",""
