" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","7.0","1.0","182.0","10805.0","0.13","0.95","0.0","7.56","0.95","7.18","0.0","0.0","0.0","0.0","28.62","59.87","254.81","127.41","226.19","194.94","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","10805.0","0.13","0.95","0.0","7.24","0.95","6.88","0.0","0.0","0.0","0.0","35.5","59.87","254.81","127.41","219.31","194.94","0.0","","","","","","",""
"2015.0","7.0","3.0","184.0","10805.0","0.13","0.95","0.0","7.52","0.95","7.14","0.0","0.0","0.0","0.0","42.65","59.87","254.81","127.41","212.17","194.94","0.0","","","","","","",""
"2015.0","7.0","4.0","185.0","10805.0","0.12","0.95","0.0","8.01","0.95","7.61","0.0","0.0","0.0","0.0","50.26","59.87","254.81","127.41","204.56","194.94","0.0","","","","","","",""
"2015.0","7.0","5.0","186.0","10805.0","0.12","0.95","0.0","7.28","0.95","6.92","0.0","0.0","0.0","0.0","57.17","59.87","254.81","127.41","197.64","194.94","0.0","","","","","","",""
"2015.0","7.0","6.0","187.0","10805.0","0.12","0.95","0.0","7.4","0.95","7.03","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","64.2","","","","","","",""
"2015.0","7.0","7.0","188.0","10805.0","0.12","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","6.58","59.87","254.81","127.41","248.23","194.94","0.0","","","","","","",""
"2015.0","7.0","8.0","189.0","10805.0","0.12","0.95","0.0","6.35","0.95","6.03","0.0","0.0","0.0","0.0","12.62","59.87","254.81","127.41","242.2","194.94","0.0","","","","","","",""
"2015.0","7.0","9.0","190.0","10805.0","0.12","0.95","0.0","4.42","0.95","4.2","0.0","0.0","0.0","0.0","16.82","59.87","254.81","127.41","238.0","194.94","0.0","","","","","","",""
"2015.0","7.0","10.0","191.0","10805.0","0.12","0.95","0.0","5.2","0.95","4.94","0.0","0.0","0.0","0.0","21.76","59.87","254.81","127.41","233.06","194.94","0.0","","","","","","",""
"2015.0","7.0","11.0","192.0","10805.0","0.12","0.95","0.0","6.4","0.95","6.08","0.0","0.0","0.0","0.0","27.84","59.87","254.81","127.41","226.98","194.94","0.0","","","","","","",""
"2015.0","7.0","12.0","193.0","10805.0","0.12","0.95","0.0","6.48","0.95","6.16","0.0","0.0","0.0","0.0","33.99","59.87","254.81","127.41","220.82","194.94","0.0","","","","","","",""
"2015.0","7.0","13.0","194.0","10805.0","0.12","0.95","0.0","6.7","0.95","6.37","0.0","0.0","0.0","0.0","40.36","59.87","254.81","127.41","214.46","194.94","0.0","","","","","","",""
"2015.0","7.0","14.0","195.0","10805.0","0.12","0.95","0.0","6.5","0.95","6.18","0.0","0.0","0.0","0.0","46.53","59.87","254.81","127.41","208.28","194.94","0.0","","","","","","",""
"2015.0","7.0","15.0","196.0","10805.0","0.12","0.95","0.0","6.67","0.95","6.34","0.0","0.0","0.0","0.0","52.87","59.87","254.81","127.41","201.95","194.94","0.0","","","","","","",""
"2015.0","7.0","16.0","197.0","10805.0","0.11","0.95","0.0","7.18","0.95","6.82","0.0","0.0","0.0","0.0","59.69","59.87","254.81","127.41","195.12","194.94","0.0","","","","","","",""
"2015.0","7.0","17.0","198.0","10805.0","0.11","0.95","0.0","7.37","0.95","7.0","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","66.69","","","","","","",""
"2015.0","7.0","18.0","199.0","10805.0","0.11","0.95","0.0","7.3","0.95","6.94","0.0","0.0","0.0","0.0","6.94","59.87","254.81","127.41","247.88","194.94","0.0","","","","","","",""
"2015.0","7.0","19.0","200.0","10805.0","0.11","0.95","0.0","6.82","0.95","6.48","0.0","0.0","0.0","0.0","13.41","59.87","254.81","127.41","241.4","194.94","0.0","","","","","","",""
"2015.0","7.0","20.0","201.0","10805.0","0.11","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","20.43","59.87","254.81","127.41","234.39","194.94","0.0","","","","","","",""
"2015.0","7.0","21.0","202.0","10805.0","0.11","0.95","0.0","7.36","0.95","6.99","0.0","0.0","0.0","0.0","27.42","59.87","254.81","127.41","227.4","194.94","0.0","","","","","","",""
"2015.0","7.0","22.0","203.0","10805.0","0.11","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","33.99","59.87","254.81","127.41","220.82","194.94","0.0","","","","","","",""
"2015.0","7.0","23.0","204.0","10805.0","0.11","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","39.93","59.87","254.81","127.41","214.88","194.94","0.0","","","","","","",""
"2015.0","7.0","24.0","205.0","10805.0","0.11","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","46.06","59.87","254.81","127.41","208.76","194.94","0.0","","","","","","",""
"2015.0","7.0","25.0","206.0","10805.0","0.11","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","52.28","59.87","254.81","127.41","202.53","194.94","0.0","","","","","","",""
"2015.0","7.0","26.0","207.0","10805.0","0.11","0.95","0.0","6.49","0.95","6.17","0.0","0.0","0.0","0.0","58.44","59.87","254.81","127.41","196.37","194.94","0.0","","","","","","",""
"2015.0","7.0","27.0","208.0","10805.0","0.11","0.95","0.0","7.47","0.95","7.1","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","65.54","","","","","","",""
"2015.0","7.0","28.0","209.0","10805.0","0.11","0.95","0.0","7.77","0.95","7.38","0.0","0.0","0.0","0.0","7.38","59.87","254.81","127.41","247.43","194.94","0.0","","","","","","",""
"2015.0","7.0","29.0","210.0","10805.0","0.1","0.95","0.0","7.5","0.95","7.13","0.0","0.0","0.0","0.0","14.51","59.87","254.81","127.41","240.31","194.94","0.0","","","","","","",""
"2015.0","7.0","30.0","211.0","10805.0","0.1","0.95","0.0","7.84","0.95","7.45","0.0","0.0","0.0","0.0","21.95","59.87","254.81","127.41","232.86","194.94","0.0","","","","","","",""
"2015.0","7.0","31.0","212.0","10805.0","0.1","0.95","0.0","6.75","0.95","6.41","0.0","0.0","0.0","0.0","28.37","59.87","254.81","127.41","226.45","194.94","0.0","","","","","","",""
"2015.0","8.0","1.0","213.0","10805.0","0.1","0.95","0.0","7.04","0.95","6.69","0.0","0.0","0.0","0.0","35.06","59.87","254.81","127.41","219.76","194.94","0.0","","","","","","",""
"2015.0","8.0","2.0","214.0","10805.0","0.1","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","41.64","59.87","254.81","127.41","213.17","194.94","0.0","","","","","","",""
"2015.0","8.0","3.0","215.0","10805.0","0.1","0.95","0.0","6.91","0.95","6.56","0.0","0.0","0.0","0.0","48.2","59.87","254.81","127.41","206.61","194.94","0.0","","","","","","",""
"2015.0","8.0","4.0","216.0","10805.0","0.1","0.95","0.0","5.01","0.95","4.76","0.0","0.0","0.0","0.0","52.96","59.87","254.81","127.41","201.85","194.94","0.0","","","","","","",""
"2015.0","8.0","5.0","217.0","10805.0","0.1","0.95","0.0","5.82","0.95","5.53","0.0","0.0","0.0","0.0","58.49","59.87","254.81","127.41","196.32","194.94","0.0","","","","","","",""
"2015.0","8.0","6.0","218.0","10805.0","0.1","0.95","0.0","4.19","0.95","3.98","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","62.47","","","","","","",""
"2015.0","8.0","7.0","219.0","10805.0","0.1","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","6.44","59.87","254.81","127.41","248.37","194.94","0.0","","","","","","",""
"2015.0","8.0","8.0","220.0","10805.0","0.1","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","12.23","59.87","254.81","127.41","242.59","194.94","0.0","","","","","","",""
"2015.0","8.0","9.0","221.0","10805.0","0.1","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","18.53","59.87","254.81","127.41","236.28","194.94","0.0","","","","","","",""
"2015.0","8.0","10.0","222.0","10805.0","0.1","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","24.86","59.87","254.81","127.41","229.95","194.94","0.0","","","","","","",""
"2015.0","8.0","11.0","223.0","10805.0","0.1","0.95","0.0","6.52","0.95","6.19","0.0","0.0","0.0","0.0","31.06","59.87","254.81","127.41","223.76","194.94","0.0","","","","","","",""
"2015.0","8.0","12.0","224.0","10805.0","0.1","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","37.16","59.87","254.81","127.41","217.65","194.94","0.0","","","","","","",""
"2015.0","8.0","13.0","225.0","10805.0","0.1","0.95","0.0","6.58","0.95","6.25","0.0","0.0","0.0","0.0","43.42","59.87","254.81","127.41","211.4","194.94","0.0","","","","","","",""
"2015.0","8.0","14.0","226.0","10805.0","0.1","0.95","0.0","6.27","0.95","5.96","0.0","0.0","0.0","0.0","49.37","59.87","254.81","127.41","205.44","194.94","0.0","","","","","","",""
"2015.0","8.0","15.0","227.0","10805.0","0.1","0.95","0.0","6.53","0.95","6.2","0.0","0.0","0.0","0.0","55.58","59.87","254.81","127.41","199.24","194.94","0.0","","","","","","",""
"2015.0","8.0","16.0","228.0","10805.0","0.1","0.95","0.0","6.74","0.95","6.4","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","61.98","","","","","","",""
"2015.0","8.0","17.0","229.0","10805.0","0.1","0.95","0.0","7.21","0.95","6.85","0.0","0.0","0.0","0.0","6.85","59.87","254.81","127.41","247.96","194.94","0.0","","","","","","",""
"2015.0","8.0","18.0","230.0","10805.0","0.09","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","13.44","59.87","254.81","127.41","241.37","194.94","0.0","","","","","","",""
"2015.0","8.0","19.0","231.0","10805.0","0.09","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","19.46","59.87","254.81","127.41","235.36","194.94","0.0","","","","","","",""
"2015.0","8.0","20.0","232.0","10805.0","0.09","0.95","0.0","5.68","0.95","5.4","0.0","0.0","0.0","0.0","24.85","59.87","254.81","127.41","229.96","194.94","0.0","","","","","","",""
"2015.0","8.0","21.0","233.0","10805.0","0.09","0.95","0.0","5.73","0.95","5.44","0.0","0.0","0.0","0.0","30.3","59.87","254.81","127.41","224.52","194.94","0.0","","","","","","",""
"2015.0","8.0","22.0","234.0","10805.0","0.09","0.95","0.0","5.78","0.95","5.49","0.0","0.0","0.0","0.0","35.79","59.87","254.81","127.41","219.03","194.94","0.0","","","","","","",""
"2015.0","8.0","23.0","235.0","10805.0","0.09","0.95","0.0","5.88","0.95","5.59","0.0","0.0","0.0","0.0","41.37","59.87","254.81","127.41","213.44","194.94","0.0","","","","","","",""
"2015.0","8.0","24.0","236.0","10805.0","0.09","0.95","0.0","6.35","0.95","6.03","0.0","0.0","0.0","0.0","47.41","59.87","254.81","127.41","207.41","194.94","0.0","","","","","","",""
"2015.0","8.0","25.0","237.0","10805.0","0.09","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","53.72","59.87","254.81","127.41","201.09","194.94","0.0","","","","","","",""
"2015.0","8.0","26.0","238.0","10805.0","0.09","0.95","0.0","6.78","0.95","6.44","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","60.16","","","","","","",""
"2015.0","8.0","27.0","239.0","10805.0","0.09","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","6.58","59.87","254.81","127.41","248.23","194.94","0.0","","","","","","",""
"2015.0","8.0","28.0","240.0","10805.0","0.09","0.95","0.0","6.87","0.95","6.53","0.0","0.0","0.0","0.0","13.11","59.87","254.81","127.41","241.7","194.94","0.0","","","","","","",""
"2015.0","8.0","29.0","241.0","10805.0","0.09","0.95","0.0","5.34","0.95","5.07","0.0","0.0","0.0","0.0","18.18","59.87","254.81","127.41","236.63","194.94","0.0","","","","","","",""
"2015.0","8.0","30.0","242.0","10805.0","0.09","0.95","0.0","5.64","0.95","5.36","0.0","0.0","0.0","0.0","23.54","59.87","254.81","127.41","231.27","194.94","0.0","","","","","","",""
"2015.0","8.0","31.0","243.0","10805.0","0.09","0.95","0.0","5.74","0.95","5.45","0.0","0.0","0.0","0.0","28.99","59.87","254.81","127.41","225.82","194.94","0.0","","","","","","",""
"2015.0","9.0","1.0","244.0","10805.0","0.09","0.95","0.0","5.75","0.95","5.46","0.0","0.0","0.0","0.0","34.46","59.87","254.81","127.41","220.36","194.94","0.0","","","","","","",""
"2015.0","9.0","2.0","245.0","10805.0","0.09","0.95","0.0","5.63","0.95","5.35","0.0","0.0","0.0","0.0","39.81","59.87","254.81","127.41","215.01","194.94","0.0","","","","","","",""
"2015.0","9.0","3.0","246.0","10805.0","0.09","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","44.79","59.87","254.81","127.41","210.02","194.94","0.0","","","","","","",""
"2015.0","9.0","4.0","247.0","10805.0","0.09","0.95","0.0","5.32","0.95","5.05","0.0","0.0","0.0","0.0","49.85","59.87","254.81","127.41","204.97","194.94","0.0","","","","","","",""
"2015.0","9.0","5.0","248.0","10805.0","0.09","0.95","0.0","5.71","0.95","5.42","0.0","0.0","0.0","0.0","55.27","59.87","254.81","127.41","199.54","194.94","0.0","","","","","","",""
"2015.0","9.0","6.0","249.0","10805.0","0.09","0.95","0.0","5.22","0.95","4.96","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","60.23","","","","","","",""
"2015.0","9.0","7.0","250.0","10805.0","0.09","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","5.23","59.87","254.81","127.41","249.58","194.94","0.0","","","","","","",""
"2015.0","9.0","8.0","251.0","10805.0","0.09","0.95","0.0","5.49","0.95","5.22","0.0","0.0","0.0","0.0","10.45","59.87","254.81","127.41","244.36","194.94","0.0","","","","","","",""
"2015.0","9.0","9.0","252.0","10805.0","0.09","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","16.39","59.87","254.81","127.41","238.43","194.94","0.0","","","","","","",""
"2015.0","9.0","10.0","253.0","10805.0","0.09","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","22.69","59.87","254.81","127.41","232.13","194.94","0.0","","","","","","",""
"2015.0","9.0","11.0","254.0","10805.0","0.09","0.95","0.0","6.3","0.95","5.99","0.0","0.0","0.0","0.0","28.67","59.87","254.81","127.41","226.14","194.94","0.0","","","","","","",""
"2015.0","9.0","12.0","255.0","10805.0","0.09","0.95","0.0","4.61","0.95","4.38","0.0","0.0","0.0","0.0","33.05","59.87","254.81","127.41","221.76","194.94","0.0","","","","","","",""
"2015.0","9.0","13.0","256.0","10805.0","0.09","0.95","0.0","5.3","0.95","5.04","0.0","0.0","0.0","0.0","38.09","59.87","254.81","127.41","216.73","194.94","0.0","","","","","","",""
"2015.0","9.0","14.0","257.0","10805.0","0.09","0.95","0.0","4.07","0.95","3.87","0.0","0.0","0.0","0.0","41.95","59.87","254.81","127.41","212.86","194.94","0.0","","","","","","",""
"2015.0","9.0","15.0","258.0","10805.0","0.09","0.95","0.0","4.66","0.95","4.43","0.0","0.0","0.0","0.0","46.38","59.87","254.81","127.41","208.43","194.94","0.0","","","","","","",""
"2015.0","9.0","16.0","259.0","10805.0","0.09","0.95","0.0","3.58","0.95","3.4","0.0","0.0","0.0","0.0","49.78","59.87","254.81","127.41","205.03","194.94","0.0","","","","","","",""
"2015.0","9.0","17.0","260.0","10805.0","0.09","0.95","0.0","3.96","0.95","3.76","0.0","0.0","0.0","0.0","53.54","59.87","254.81","127.41","201.27","194.94","0.0","","","","","","",""
"2015.0","9.0","18.0","261.0","10805.0","0.09","0.95","0.0","4.57","0.95","4.34","0.0","0.0","0.0","0.0","57.88","59.87","254.81","127.41","196.93","194.94","0.0","","","","","","",""
"2015.0","9.0","19.0","262.0","10805.0","0.09","0.95","0.0","4.73","0.95","4.49","0.0","0.0","0.0","0.0","0.0","59.87","254.81","127.41","254.81","194.94","62.38","","","","","","",""
"2015.0","9.0","20.0","263.0","10805.0","0.09","0.95","0.0","4.79","0.95","4.55","0.0","0.0","0.0","0.0","4.55","59.87","254.81","127.41","250.26","194.94","0.0","","","","","","",""
"2015.0","9.0","21.0","264.0","10805.0","0.08","0.95","0.0","5.59","0.95","5.31","0.0","0.0","0.0","0.0","9.86","59.87","254.81","127.41","244.95","194.94","0.0","","","","","","",""
"2015.0","9.0","22.0","265.0","10805.0","0.08","0.95","0.0","5.63","0.95","5.35","0.0","0.0","0.0","0.0","15.21","59.87","254.81","127.41","239.6","194.94","0.0","","","","","","",""
"2015.0","9.0","23.0","266.0","10805.0","0.08","0.95","0.0","4.66","0.95","4.43","0.0","0.0","0.0","0.0","19.64","59.87","254.81","127.41","235.18","194.94","0.0","","","","","","",""
"2015.0","9.0","24.0","267.0","10805.0","0.08","0.95","0.0","4.62","0.95","4.39","0.0","0.0","0.0","0.0","24.03","59.87","254.81","127.41","230.79","194.94","0.0","","","","","","",""
"2015.0","9.0","25.0","268.0","10805.0","0.08","0.95","0.0","5.64","0.95","5.36","0.0","0.0","0.0","0.0","29.38","59.87","254.81","127.41","225.43","194.94","0.0","","","","","","",""
"2015.0","9.0","26.0","269.0","10805.0","0.08","0.95","0.0","5.48","0.95","5.21","0.0","0.0","0.0","0.0","34.59","59.87","254.81","127.41","220.22","194.94","0.0","","","","","","",""
"2015.0","9.0","27.0","270.0","10805.0","0.08","0.95","0.0","3.94","0.95","3.74","0.0","0.0","0.0","0.0","38.33","59.87","254.81","127.41","216.48","194.94","0.0","","","","","","",""
"2015.0","9.0","28.0","271.0","10805.0","0.08","0.95","0.0","4.53","0.95","4.3","0.0","0.0","0.0","0.0","42.64","59.87","254.81","127.41","212.18","194.94","0.0","","","","","","",""
"2015.0","9.0","29.0","272.0","10805.0","0.08","0.95","0.0","4.04","0.95","3.84","0.0","0.0","0.0","0.0","46.47","59.87","254.81","127.41","208.34","194.94","0.0","","","","","","",""
"2015.0","9.0","30.0","273.0","10805.0","0.08","0.95","0.0","2.06","0.95","1.96","0.0","0.0","0.0","0.0","48.43","59.87","254.81","127.41","206.38","194.94","0.0","","","","","","",""
