" Daily soil water balance output for Truck Crops in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","6.0","25.0","176.0","1417.0","0.14","0.82","0.0","8.0","0.82","6.55","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","74.61","","","","","","","","",""
"2015.0","6.0","26.0","177.0","1417.0","0.13","0.82","0.0","8.37","0.82","6.89","0.0","0.0","0.0","0.0","6.89","70.54","324.31","162.15","317.42","253.77","0.0","","","","","","","","",""
"2015.0","6.0","27.0","178.0","1417.0","0.13","0.83","0.0","6.94","0.83","5.74","0.0","0.0","0.0","0.0","12.63","70.54","324.31","162.15","311.67","253.77","0.0","","","","","","","","",""
"2015.0","6.0","28.0","179.0","1417.0","0.13","0.83","0.0","7.3","0.83","6.07","0.0","0.0","0.0","0.0","18.7","70.54","324.31","162.15","305.6","253.77","0.0","","","","","","","","",""
"2015.0","6.0","29.0","180.0","1417.0","0.13","0.84","0.0","7.58","0.84","6.33","0.0","0.0","0.0","0.0","25.03","70.54","324.31","162.15","299.27","253.77","0.0","","","","","","","","",""
"2015.0","6.0","30.0","181.0","1417.0","0.13","0.84","0.0","7.69","0.84","6.46","0.0","0.0","0.0","0.0","31.49","70.54","324.31","162.15","292.82","253.77","0.0","","","","","","","","",""
"2015.0","7.0","1.0","182.0","1417.0","0.13","0.84","0.0","7.56","0.84","6.38","0.0","0.0","0.0","0.0","37.87","70.54","324.31","162.15","286.44","253.77","0.0","","","","","","","","",""
"2015.0","7.0","2.0","183.0","1417.0","0.13","0.85","0.0","7.24","0.85","6.14","0.0","0.0","0.0","0.0","44.0","70.54","324.31","162.15","280.31","253.77","0.0","","","","","","","","",""
"2015.0","7.0","3.0","184.0","1417.0","0.13","0.85","0.0","7.52","0.85","6.4","0.0","0.0","0.0","0.0","50.41","70.54","324.31","162.15","273.9","253.77","0.0","","","","","","","","",""
"2015.0","7.0","4.0","185.0","1417.0","0.12","0.86","0.0","8.01","0.86","6.85","0.0","0.0","0.0","0.0","57.26","70.54","324.31","162.15","267.05","253.77","0.0","","","","","","","","",""
"2015.0","7.0","5.0","186.0","1417.0","0.12","0.86","0.0","7.28","0.86","6.26","0.0","0.0","0.0","0.0","63.52","70.54","324.31","162.15","260.79","253.77","0.0","","","","","","","","",""
"2015.0","7.0","6.0","187.0","1417.0","0.12","0.86","0.0","7.4","0.86","6.39","0.0","0.0","0.0","0.0","69.91","70.54","324.31","162.15","254.4","253.77","0.0","","","","","","","","",""
"2015.0","7.0","7.0","188.0","1417.0","0.12","0.87","0.0","6.93","0.87","6.01","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","75.92","","","","","","","","",""
"2015.0","7.0","8.0","189.0","1417.0","0.12","0.87","0.0","6.35","0.87","5.53","0.0","0.0","0.0","0.0","5.53","70.54","324.31","162.15","318.77","253.77","0.0","","","","","","","","",""
"2015.0","7.0","9.0","190.0","1417.0","0.12","0.88","0.0","4.42","0.88","3.87","0.0","0.0","0.0","0.0","9.41","70.54","324.31","162.15","314.9","253.77","0.0","","","","","","","","",""
"2015.0","7.0","10.0","191.0","1417.0","0.12","0.88","0.0","5.2","0.88","4.57","0.0","0.0","0.0","0.0","13.98","70.54","324.31","162.15","310.33","253.77","0.0","","","","","","","","",""
"2015.0","7.0","11.0","192.0","1417.0","0.12","0.88","0.0","6.4","0.88","5.66","0.0","0.0","0.0","0.0","19.64","70.54","324.31","162.15","304.67","253.77","0.0","","","","","","","","",""
"2015.0","7.0","12.0","193.0","1417.0","0.12","0.89","0.0","6.48","0.89","5.75","0.0","0.0","0.0","0.0","25.39","70.54","324.31","162.15","298.92","253.77","0.0","","","","","","","","",""
"2015.0","7.0","13.0","194.0","1417.0","0.12","0.89","0.0","6.7","0.89","5.97","0.0","0.0","0.0","0.0","31.36","70.54","324.31","162.15","292.95","253.77","0.0","","","","","","","","",""
"2015.0","7.0","14.0","195.0","1417.0","0.12","0.9","0.0","6.5","0.9","5.82","0.0","0.0","0.0","0.0","37.18","70.54","324.31","162.15","287.12","253.77","0.0","","","","","","","","",""
"2015.0","7.0","15.0","196.0","1417.0","0.12","0.9","0.0","6.67","0.9","6.0","0.0","0.0","0.0","0.0","43.19","70.54","324.31","162.15","281.12","253.77","0.0","","","","","","","","",""
"2015.0","7.0","16.0","197.0","1417.0","0.11","0.9","0.0","7.18","0.9","6.49","0.0","0.0","0.0","0.0","49.68","70.54","324.31","162.15","274.63","253.77","0.0","","","","","","","","",""
"2015.0","7.0","17.0","198.0","1417.0","0.11","0.91","0.0","7.37","0.91","6.69","0.0","0.0","0.0","0.0","56.37","70.54","324.31","162.15","267.94","253.77","0.0","","","","","","","","",""
"2015.0","7.0","18.0","199.0","1417.0","0.11","0.91","0.0","7.3","0.91","6.66","0.0","0.0","0.0","0.0","63.02","70.54","324.31","162.15","261.28","253.77","0.0","","","","","","","","",""
"2015.0","7.0","19.0","200.0","1417.0","0.11","0.92","0.0","6.82","0.92","6.25","0.0","0.0","0.0","0.0","69.27","70.54","324.31","162.15","255.04","253.77","0.0","","","","","","","","",""
"2015.0","7.0","20.0","201.0","1417.0","0.11","0.92","0.0","7.38","0.92","6.79","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","76.06","","","","","","","","",""
"2015.0","7.0","21.0","202.0","1417.0","0.11","0.92","0.0","7.36","0.92","6.8","0.0","0.0","0.0","0.0","6.8","70.54","324.31","162.15","317.51","253.77","0.0","","","","","","","","",""
"2015.0","7.0","22.0","203.0","1417.0","0.11","0.93","0.0","6.92","0.93","6.42","0.0","0.0","0.0","0.0","13.22","70.54","324.31","162.15","311.09","253.77","0.0","","","","","","","","",""
"2015.0","7.0","23.0","204.0","1417.0","0.11","0.93","0.0","6.25","0.93","5.82","0.0","0.0","0.0","0.0","19.05","70.54","324.31","162.15","305.26","253.77","0.0","","","","","","","","",""
"2015.0","7.0","24.0","205.0","1417.0","0.11","0.94","0.0","6.45","0.94","6.04","0.0","0.0","0.0","0.0","25.08","70.54","324.31","162.15","299.22","253.77","0.0","","","","","","","","",""
"2015.0","7.0","25.0","206.0","1417.0","0.11","0.93","0.0","6.55","0.93","6.12","0.0","0.0","0.0","0.0","31.2","70.54","324.31","162.15","293.11","253.77","0.0","","","","","","","","",""
"2015.0","7.0","26.0","207.0","1417.0","0.11","0.93","0.0","6.49","0.93","6.05","0.0","0.0","0.0","0.0","37.25","70.54","324.31","162.15","287.06","253.77","0.0","","","","","","","","",""
"2015.0","7.0","27.0","208.0","1417.0","0.11","0.93","0.0","7.47","0.93","6.94","0.0","0.0","0.0","0.0","44.19","70.54","324.31","162.15","280.12","253.77","0.0","","","","","","","","",""
"2015.0","7.0","28.0","209.0","1417.0","0.11","0.93","0.0","7.77","0.93","7.21","0.0","0.0","0.0","0.0","51.39","70.54","324.31","162.15","272.91","253.77","0.0","","","","","","","","",""
"2015.0","7.0","29.0","210.0","1417.0","0.1","0.93","0.0","7.5","0.93","6.94","0.0","0.0","0.0","0.0","58.33","70.54","324.31","162.15","265.97","253.77","0.0","","","","","","","","",""
"2015.0","7.0","30.0","211.0","1417.0","0.1","0.92","0.0","7.84","0.92","7.24","0.0","0.0","0.0","0.0","65.57","70.54","324.31","162.15","258.74","253.77","0.0","","","","","","","","",""
"2015.0","7.0","31.0","212.0","1417.0","0.1","0.92","0.0","6.75","0.92","6.22","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","71.78","","","","","","","","",""
"2015.0","8.0","1.0","213.0","1417.0","0.1","0.92","0.0","7.04","0.92","6.47","0.0","0.0","0.0","0.0","6.47","70.54","324.31","162.15","317.84","253.77","0.0","","","","","","","","",""
"2015.0","8.0","2.0","214.0","1417.0","0.1","0.92","0.0","6.93","0.92","6.35","0.0","0.0","0.0","0.0","12.82","70.54","324.31","162.15","311.49","253.77","0.0","","","","","","","","",""
"2015.0","8.0","3.0","215.0","1417.0","0.1","0.91","0.0","6.91","0.91","6.32","0.0","0.0","0.0","0.0","19.14","70.54","324.31","162.15","305.17","253.77","0.0","","","","","","","","",""
"2015.0","8.0","4.0","216.0","1417.0","0.1","0.91","0.0","5.01","0.91","4.57","0.0","0.0","0.0","0.0","23.7","70.54","324.31","162.15","300.6","253.77","0.0","","","","","","","","",""
"2015.0","8.0","5.0","217.0","1417.0","0.1","0.91","0.0","5.82","0.91","5.3","0.0","0.0","0.0","0.0","29.0","70.54","324.31","162.15","295.31","253.77","0.0","","","","","","","","",""
"2015.0","8.0","6.0","218.0","1417.0","0.1","0.91","0.0","4.19","0.91","3.8","0.0","0.0","0.0","0.0","32.8","70.54","324.31","162.15","291.5","253.77","0.0","","","","","","","","",""
"2015.0","8.0","7.0","219.0","1417.0","0.1","0.91","0.0","6.78","0.91","6.14","0.0","0.0","0.0","0.0","38.94","70.54","324.31","162.15","285.36","253.77","0.0","","","","","","","","",""
"2015.0","8.0","8.0","220.0","1417.0","0.1","0.9","0.0","6.09","0.9","5.5","0.0","0.0","0.0","0.0","44.45","70.54","324.31","162.15","279.86","253.77","0.0","","","","","","","","",""
"2015.0","8.0","9.0","221.0","1417.0","0.1","0.9","0.0","6.64","0.9","5.98","0.0","0.0","0.0","0.0","50.43","70.54","324.31","162.15","273.88","253.77","0.0","","","","","","","","",""
"2015.0","8.0","10.0","222.0","1417.0","0.1","0.9","0.0","6.66","0.9","5.99","0.0","0.0","0.0","0.0","56.42","70.54","324.31","162.15","267.89","253.77","0.0","","","","","","","","",""
"2015.0","8.0","11.0","223.0","1417.0","0.1","0.9","0.0","6.52","0.9","5.85","0.0","0.0","0.0","0.0","62.26","70.54","324.31","162.15","262.04","253.77","0.0","","","","","","","","",""
"2015.0","8.0","12.0","224.0","1417.0","0.1","0.89","0.0","6.43","0.89","5.75","0.0","0.0","0.0","0.0","68.02","70.54","324.31","162.15","256.29","253.77","0.0","","","","","","","","",""
"2015.0","8.0","13.0","225.0","1417.0","0.1","0.89","0.0","6.58","0.89","5.87","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","73.89","","","","","","","","",""
"2015.0","8.0","14.0","226.0","1417.0","0.1","0.89","0.0","6.27","0.89","5.58","0.0","0.0","0.0","0.0","5.58","70.54","324.31","162.15","318.72","253.77","0.0","","","","","","","","",""
"2015.0","8.0","15.0","227.0","1417.0","0.1","0.89","0.0","6.53","0.89","5.8","0.0","0.0","0.0","0.0","11.38","70.54","324.31","162.15","312.92","253.77","0.0","","","","","","","","",""
"2015.0","8.0","16.0","228.0","1417.0","0.1","0.89","0.0","6.74","0.89","5.97","0.0","0.0","0.0","0.0","17.35","70.54","324.31","162.15","306.95","253.77","0.0","","","","","","","","",""
"2015.0","8.0","17.0","229.0","1417.0","0.1","0.88","0.0","7.21","0.88","6.37","0.0","0.0","0.0","0.0","23.73","70.54","324.31","162.15","300.58","253.77","0.0","","","","","","","","",""
"2015.0","8.0","18.0","230.0","1417.0","0.09","0.88","0.0","6.94","0.88","6.12","0.0","0.0","0.0","0.0","29.84","70.54","324.31","162.15","294.46","253.77","0.0","","","","","","","","",""
"2015.0","8.0","19.0","231.0","1417.0","0.09","0.88","0.0","6.33","0.88","5.57","0.0","0.0","0.0","0.0","35.41","70.54","324.31","162.15","288.9","253.77","0.0","","","","","","","","",""
"2015.0","8.0","20.0","232.0","1417.0","0.09","0.88","0.0","5.68","0.88","4.98","0.0","0.0","0.0","0.0","40.4","70.54","324.31","162.15","283.91","253.77","0.0","","","","","","","","",""
"2015.0","8.0","21.0","233.0","1417.0","0.09","0.88","0.0","5.73","0.88","5.01","0.0","0.0","0.0","0.0","45.41","70.54","324.31","162.15","278.9","253.77","0.0","","","","","","","","",""
"2015.0","8.0","22.0","234.0","1417.0","0.09","0.87","0.0","5.78","0.87","5.05","0.0","0.0","0.0","0.0","50.46","70.54","324.31","162.15","273.85","253.77","0.0","","","","","","","","",""
"2015.0","8.0","23.0","235.0","1417.0","0.09","0.87","0.0","5.88","0.87","5.12","0.0","0.0","0.0","0.0","55.58","70.54","324.31","162.15","268.73","253.77","0.0","","","","","","","","",""
"2015.0","8.0","24.0","236.0","1417.0","0.09","0.87","0.0","6.35","0.87","5.52","0.0","0.0","0.0","0.0","61.09","70.54","324.31","162.15","263.22","253.77","0.0","","","","","","","","",""
"2015.0","8.0","25.0","237.0","1417.0","0.09","0.87","0.0","6.65","0.87","5.76","0.0","0.0","0.0","0.0","66.85","70.54","324.31","162.15","257.45","253.77","0.0","","","","","","","","",""
"2015.0","8.0","26.0","238.0","1417.0","0.09","0.86","0.0","6.78","0.86","5.86","0.0","0.0","0.0","0.0","0.0","70.54","324.31","162.15","324.31","253.77","72.71","","","","","","","","",""
"2015.0","8.0","27.0","239.0","1417.0","0.09","0.86","0.0","6.93","0.86","5.97","0.0","0.0","0.0","0.0","5.97","70.54","324.31","162.15","318.33","253.77","0.0","","","","","","","","",""
"2015.0","8.0","28.0","240.0","1417.0","0.09","0.86","0.0","6.87","0.86","5.91","0.0","0.0","0.0","0.0","11.88","70.54","324.31","162.15","312.43","253.77","0.0","","","","","","","","",""
"2015.0","8.0","29.0","241.0","1417.0","0.09","0.86","0.0","5.34","0.86","4.58","0.0","0.0","0.0","0.0","16.46","70.54","324.31","162.15","307.85","253.77","0.0","","","","","","","","",""
"2015.0","8.0","30.0","242.0","1417.0","0.09","0.86","0.0","5.64","0.86","4.83","0.0","0.0","0.0","0.0","21.29","70.54","324.31","162.15","303.02","253.77","0.0","","","","","","","","",""
"2015.0","8.0","31.0","243.0","1417.0","0.09","0.85","0.0","5.74","0.85","4.9","0.0","0.0","0.0","0.0","26.19","70.54","324.31","162.15","298.12","253.77","0.0","","","","","","","","",""
"2015.0","9.0","1.0","244.0","1417.0","0.09","0.85","0.0","5.75","0.85","4.89","0.0","0.0","0.0","0.0","31.08","70.54","324.31","162.15","293.23","253.77","0.0","","","","","","","","",""
"2015.0","9.0","2.0","245.0","1417.0","0.09","0.85","0.0","5.63","0.85","4.78","0.0","0.0","0.0","0.0","35.86","70.54","324.31","162.15","288.45","253.77","0.0","","","","","","","","",""
"2015.0","9.0","3.0","246.0","1417.0","0.09","0.85","0.0","5.25","0.85","4.45","0.0","0.0","0.0","0.0","40.31","70.54","324.31","162.15","284.0","253.77","0.0","","","","","","","","",""
"2015.0","9.0","4.0","247.0","1417.0","0.09","0.84","0.0","5.32","0.84","4.49","0.0","0.0","0.0","0.0","44.8","70.54","324.31","162.15","279.51","253.77","0.0","","","","","","","","",""
"2015.0","9.0","5.0","248.0","1417.0","0.09","0.84","0.0","5.71","0.84","4.81","0.0","0.0","0.0","0.0","49.61","70.54","324.31","162.15","274.7","253.77","0.0","","","","","","","","",""
"2015.0","9.0","6.0","249.0","1417.0","0.09","0.84","0.0","5.22","0.84","4.39","0.0","0.0","0.0","0.0","54.0","70.54","324.31","162.15","270.31","253.77","0.0","","","","","","","","",""
"2015.0","9.0","7.0","250.0","1417.0","0.09","0.84","0.0","5.51","0.84","4.62","0.0","0.0","0.0","0.0","58.62","70.54","324.31","162.15","265.69","253.77","0.0","","","","","","","","",""
"2015.0","9.0","8.0","251.0","1417.0","0.09","0.84","0.0","5.49","0.84","4.59","0.0","0.0","0.0","0.0","63.21","70.54","324.31","162.15","261.1","253.77","0.0","","","","","","","","",""
"2015.0","9.0","9.0","252.0","1417.0","0.09","0.83","0.0","6.25","0.83","5.21","0.0","0.0","0.0","0.0","68.42","70.54","324.31","162.15","255.89","253.77","0.0","","","","","","","","",""
"2015.0","9.0","10.0","253.0","1417.0","0.09","0.83","0.0","6.63","0.83","5.52","0.0","0.0","0.0","0.0","73.93","81.08","324.31","162.15","250.37","243.23","0.0","","","","","","","","",""
"2015.0","9.0","11.0","254.0","1417.0","0.09","0.83","0.0","6.3","0.83","5.23","0.0","0.0","0.0","0.0","79.16","81.08","324.31","162.15","245.15","243.23","0.0","","","","","","","","",""
"2015.0","9.0","12.0","255.0","1417.0","0.09","0.83","0.0","4.61","0.83","3.82","0.0","0.0","0.0","0.0","0.0","81.08","324.31","162.15","324.31","243.23","82.98","","","","","","","","",""
"2015.0","9.0","13.0","256.0","1417.0","0.09","0.83","0.0","5.3","0.83","4.38","0.0","0.0","0.0","0.0","4.38","81.08","324.31","162.15","319.93","243.23","0.0","","","","","","","","",""
"2015.0","9.0","14.0","257.0","1417.0","0.09","0.82","0.0","4.07","0.82","3.35","0.0","0.0","0.0","0.0","7.73","81.08","324.31","162.15","316.58","243.23","0.0","","","","","","","","",""
"2015.0","9.0","15.0","258.0","1417.0","0.09","0.82","0.0","4.66","0.82","3.83","0.0","0.0","0.0","0.0","11.56","81.08","324.31","162.15","312.75","243.23","0.0","","","","","","","","",""
"2015.0","9.0","16.0","259.0","1417.0","0.09","0.82","0.0","3.58","0.82","2.93","0.0","0.0","0.0","0.0","14.49","81.08","324.31","162.15","309.81","243.23","0.0","","","","","","","","",""
"2015.0","9.0","17.0","260.0","1417.0","0.09","0.82","0.0","3.96","0.82","3.24","0.0","0.0","0.0","0.0","17.73","81.08","324.31","162.15","306.58","243.23","0.0","","","","","","","","",""
"2015.0","9.0","18.0","261.0","1417.0","0.09","0.82","0.0","4.57","0.82","3.73","0.0","0.0","0.0","0.0","21.46","81.08","324.31","162.15","302.85","243.23","0.0","","","","","","","","",""
"2015.0","9.0","19.0","262.0","1417.0","0.09","0.81","0.0","4.73","0.81","3.85","0.0","0.0","0.0","0.0","25.31","81.08","324.31","162.15","299.0","243.23","0.0","","","","","","","","",""
"2015.0","9.0","20.0","263.0","1417.0","0.09","0.81","0.0","4.79","0.81","3.89","0.0","0.0","0.0","0.0","29.19","81.08","324.31","162.15","295.12","243.23","0.0","","","","","","","","",""
"2015.0","9.0","21.0","264.0","1417.0","0.08","0.81","0.0","5.59","0.81","4.52","0.0","0.0","0.0","0.0","33.72","81.08","324.31","162.15","290.59","243.23","0.0","","","","","","","","",""
"2015.0","9.0","22.0","265.0","1417.0","0.08","0.81","0.0","5.63","0.81","4.55","0.0","0.0","0.0","0.0","38.26","81.08","324.31","162.15","286.05","243.23","0.0","","","","","","","","",""
"2015.0","9.0","23.0","266.0","1417.0","0.08","0.81","0.0","4.66","0.81","3.75","0.0","0.0","0.0","0.0","42.01","81.08","324.31","162.15","282.29","243.23","0.0","","","","","","","","",""
"2015.0","9.0","24.0","267.0","1417.0","0.08","0.8","0.0","4.62","0.8","3.71","0.0","0.0","0.0","0.0","45.73","81.08","324.31","162.15","278.58","243.23","0.0","","","","","","","","",""
"2015.0","9.0","25.0","268.0","1417.0","0.08","0.8","0.0","5.64","0.8","4.52","0.0","0.0","0.0","0.0","50.24","81.08","324.31","162.15","274.06","243.23","0.0","","","","","","","","",""
"2015.0","9.0","26.0","269.0","1417.0","0.08","0.8","0.0","5.48","0.8","4.38","0.0","0.0","0.0","0.0","54.62","81.08","324.31","162.15","269.68","243.23","0.0","","","","","","","","",""
"2015.0","9.0","27.0","270.0","1417.0","0.08","0.8","0.0","3.94","0.8","3.14","0.0","0.0","0.0","0.0","57.77","81.08","324.31","162.15","266.54","243.23","0.0","","","","","","","","",""
"2015.0","9.0","28.0","271.0","1417.0","0.08","0.8","0.0","4.53","0.8","3.6","0.0","0.0","0.0","0.0","61.37","81.08","324.31","162.15","262.94","243.23","0.0","","","","","","","","",""
"2015.0","9.0","29.0","272.0","1417.0","0.08","0.79","0.0","4.04","0.79","3.2","0.0","0.0","0.0","0.0","64.57","81.08","324.31","162.15","259.74","243.23","0.0","","","","","","","","",""
"2015.0","9.0","30.0","273.0","1417.0","0.08","0.79","0.0","2.06","0.79","1.63","0.0","0.0","0.0","0.0","66.2","81.08","324.31","162.15","258.11","243.23","0.0","","","","","","","","",""
